瑷河,ai'he
机场中心售票处,ji'chang'zhong'xin'shou'piao'chu
机电学院,ji'dian'xue'yuan
机电职专,ji'dian'zhi'zhuan
技师学院,ji'shi'xue'yuan
集贤,ji'xian
集贤二组,ji'xian'er'zu
加油站,jia'you'zhan
建材城,jian'cai'cheng
检测中心,jian'ce'zhong'xin
江湾工业区,jiang'wan'gong'ye'qu
金场,jin'chang
金海新村,jin'hai'xin'cun
锦江山公园,jin'jiang'shan'gong'yuan
金泉工业区,jin'quan'gong'ye'qu
金山,jin'shan
锦山大街,jin'shan'da'jie
金山二组,jin'shan'er'zu
金山六组,jin'shan'liu'zu
金山五组,jin'shan'wu'zu
金山镇,jin'shan'zhen
锦绣集团,jin'xiu'ji'tuan
经山街,jing'shan'jie
九道,jiu'dao
九道公墓,jiu'dao'gong'mu
九道沟,jiu'dao'gou
九道桥,jiu'dao'qiao
九号坝门,jiu'hao'ba'men
九连城,jiu'lian'cheng
聚宝,ju'bao
聚宝街,ju'bao'jie
开发区西,kai'fa'qu'xi
看守所,kan'shou'suo
抗美援朝纪念馆,kang'mei'yuan'chao'ji'nian'guan
克隆集团,ke'long'ji'tuan
浪头,lang'tou
浪头仓库,lang'tou'cang'ku
浪头港,lang'tou'gang
浪头医院,lang'tou'yi'yuan
劳动宫,lao'dong'gong
老古沟,lao'gu'gou
老鸹岭,lao'gua'ling
老天祥,lao'tian'xiang
乐园西,le'yuan'xi
梨村沟,li'cun'gou
辽财宾馆,liao'cai'bin'guan
辽东学院,liao'dong'xue'yuan
辽宁地质学院,liao'ning'di'zhi'xue'yuan
烈士陵园,lie'shi'ling'yuan
林科所,lin'ke'suo
六号坝门,liu'hao'ba'men
六纬路,liu'wei'lu
龙湖,long'hu
龙母,long'mu
龙升,long'sheng
龙头,long'tou
楼房,lou'fang
楼房村委会,lou'fang'cun'wei'hui
漏河桥,lou'he'qiao
六合小区,lu'he'xiao'qu
马车桥,ma'che'qiao
马沟,ma'gou
马沟四组,ma'gou'si'zu
马家,ma'jia
马家六组,ma'jia'liu'zu
马市,ma'shi
帽盔山,mao'kui'shan
帽盔山公园,mao'kui'shan'gong'yuan
萌芽,meng'ya
庙岭二组,miao'ling'er'zu
庙岭九组,miao'ling'jiu'zu
庙岭十组,miao'ling'shi'zu
庙岭四组,miao'ling'si'zu
民主桥,min'zhu'qiao
民族学校,min'zu'xue'xiao
盘道岭,pan'dao'ling
炮守营,pao'shou'ying
炮守营大队,pao'shou'ying'da'dui
炮守营二组,pao'shou'ying'er'zu
炮守营三组,pao'shou'ying'san'zu
炮守营四队,pao'shou'ying'si'dui
炮守营小学,pao'shou'ying'xiao'xue
啤酒厂,pi'jiu'chang
平安,ping'an
汽车制造厂,qi'che'zhi'zao'chang
七道,qi'dao
七道村委会,qi'dao'cun'wei'hui
七道沟,qi'dao'gou
七号坝门,qi'hao'ba'men
前锋,qian'feng
桥头,qiao'tou
青龙街,qing'long'jie
青年大街,qing'nian'da'jie
群英,qun'ying
人民广场,ren'min'guang'chang
人民街,ren'min'jie
人民桥,ren'min'qiao
人事局,ren'shi'ju
荣军疗养院,rong'jun'liao'yang'yuan
荣院公寓,rong'yuan'gong'yu
三道沟,san'dao'gou
三道沟路,san'dao'gou'lu
三股流,san'gu'liu
沙河口桥,sha'he'kou'qiao
沙河镇,sha'he'zhen
上尖村,shang'jian'cun
上尖四组,shang'jian'si'zu
上尖五组,shang'jian'wu'zu
沈丹路口,shen'dan'lu'kou
胜利街,sheng'li'jie
胜利桥,sheng'li'qiao
石城,shi'cheng
石城六组,shi'cheng'liu'zu
十二号坝门,shi'er'hao'ba'men
市二医院,shi'er'yi'yuan
十号坝门,shi'hao'ba'men
石灰窑,shi'hui'yao
石街,shi'jie
十九中学,shi'jiu'zhong'xue
市民服务中心,shi'min'fu'wu'zhong'xin
石桥道口,shi'qiao'dao'kou
石桥三组,shi'qiao'san'zu
石桥四组,shi'qiao'si'zu
石桥五组,shi'qiao'wu'zu
十三中学,shi'san'zhong'xue
市委党校,shi'wei'dang'xiao
市一医院,shi'yi'yi'yuan
市政处,shi'zheng'chu
市政府,shi'zheng'fu
师专,shi'zhuan
手表公司,shou'biao'gong'si
曙光路,shu'guang'lu
曙光新区,shu'guang'xin'qu
双岭,shuang'ling
双灵寺,shuang'ling'si
水产市场,shui'chan'shi'chang
水源,shui'yuan
顺泰花园,shun'tai'hua'yuan
顺天村委会,shun'tian'cun'wei'hui
四道沟,si'dao'gou
四纬路,si'wei'lu
隧洞北,sui'dong'bei
孙家堡,sun'jia'bao
孙家大岗,sun'jia'da'gang
孙家道班,sun'jia'dao'ban
孙家五组,sun'jia'wu'zu
孙家小学,sun'jia'xiao'xue
太平,tai'ping
汤池,tang'chi
陶瓷厂,tao'ci'chang
套里,tao'li
桃源街,tao'yuan'jie
桃源立交桥,tao'yuan'li'jiao'qiao
体育馆,ti'yu'guan
体育馆东,ti'yu'guan'dong
体育馆路,ti'yu'guan'lu
体育馆路南,ti'yu'guan'lu'nan
天后宫街,tian'hou'gong'jie
天后宫街宝山大街,tian'hou'gong'jie'bao'shan'da'jie
天康公司,tian'kang'gong'si
铁道口,tie'dao'kou
铁甲,tie'jia
铁矿沟,tie'kuang'gou
铁矿路,tie'kuang'lu
铁路住宅,tie'lu'zhu'zhai
通春街,tong'chun'jie
通天村二组,tong'tian'cun'er'zu
通天沟一组,tong'tian'gou'yi'zu
同兴,tong'xing
同兴镇,tong'xing'zhen
土地局,tu'di'ju
万宝,wan'bao
万家堡,wan'jia'bao
王家堡,wang'jia'bao
王家堡子,wang'jia'bu'zi
文安,wen'an
文化广场,wen'hua'guang'chang
五道桥,wu'dao'qiao
五零二,wu'ling'er
物流中心,wu'liu'zhong'xin
五龙背,wu'long'bei
五纬路,wu'wei'lu
五一八,wu'yi'ba
西门,xi'men
下尖三组,xia'jian'san'zu
下尖一组,xia'jian'yi'zu
纤维街,xian'wei'jie
小孤山一组,xiao'gu'shan'yi'zu
新安街,xin'an'jie
新华街,xin'hua'jie
新加坡城,xin'jia'po'cheng
新建二组,xin'jian'er'zu
新建三组,xin'jian'san'zu
新康,xin'kang
新康六组,xin'kang'liu'zu
新康三组,xin'kang'san'zu
新康五组,xin'kang'wu'zu
新康一组,xin'kang'yi'zu
新立桥,xin'li'qiao
新柳商业城,xin'liu'shang'ye'cheng
欣泰园,xin'tai'yuan
兴八路,xing'ba'lu
兴丹路,xing'dan'lu
兴丹路口,xing'dan'lu'kou
兴东街,xing'dong'jie
兴七路,xing'qi'lu
兴三路,xing'san'lu
兴五路,xing'wu'lu
徐家堡子,xu'jia'bu'zi
压道杆,ya'dao'gan
鸭纸大院,ya'zhi'da'yuan
鄢家堡,yan'jia'bao
燕窝,yan'wo
阳光家园,yang'guang'jia'yuan
窑沟九组,yao'gou'jiu'zu
窑沟六组,yao'gou'liu'zu
窑沟三组,yao'gou'san'zu
窑沟五组,yao'gou'wu'zu
窑沟一组,yao'gou'yi'zu
冶炼厂,ye'lian'chang
移动公司,yi'dong'gong'si
医院,yi'yuan
营房,ying'fang
影台子,ying'tai'zi
永安街,yong'an'jie
永昌市场,yong'chang'shi'chang
邮局,you'ju
于家,yu'jia
于家堡,yu'jia'bao
于家店,yu'jia'dian
于家钰豪优山美地,yu'jia'yu'hao'you'shan'mei'di
御馨源小区,yu'xin'yuan'xiao'qu
渔阳湾,yu'yang'wan
元宝区医院,yuan'bao'qu'yi'yuan
元宝山公园,yuan'bao'shan'gong'yuan
月亮岛,yue'liang'dao
月亮岛东,yue'liang'dao'dong
月亮岛桥北,yue'liang'dao'qiao'bei
运管处,yun'guan'chu
造纸设备厂,zao'zhi'she'bei'chang
站前,zhan'qian
站前广场,zhan'qian'guang'chang
振安桥,zhen'an'qiao
振八街,zhen'ba'jie
振东山,zhen'dong'shan
振四街,zhen'si'jie
振五街,zhen'wu'jie
珍珠乐园,zhen'zhu'le'yuan
珍珠泡,zhen'zhu'pao
珍珠桥,zhen'zhu'qiao
珍珠市场,zhen'zhu'shi'chang
正大清华苑小区,zheng'da'qing'hua'yuan'xiao'qu
种畜厂,zhong'chu'chang
中国电信,zhong'guo'dian'xin
中心医院,zhong'xin'yi'yuan
住院部,zhu'yuan'bu
自来水公司,zi'lai'shui'gong'si
