阿拉伯数字,a'la'bo'shu'zi
二十面体,er'shi'mian'ti
反余割,fan'yu'ge
反余切,fan'yu'qie
反余弦,fan'yu'xian
反正割,fan'zheng'ge
反正切,fan'zheng'qie
反正弦,fan'zheng'xian
方差,fang'cha
方程式,fang'cheng'shi
方位角,fang'wei'jiao
非正态分布,fei'zheng'tai'fen'bu
分半方法,fen'ban'fang'fa
分布,fen'bu
分母,fen'mu
分数,fen'shu
分数混算,fen'shu'hun'suan
分数转百分数,fen'shu'zhuan'bai'fen'shu
分数转小数,fen'shu'zhuan'xiao'shu
分子,fen'zi
复数,fu'shu
概率,gai'lv
根式,gen'shi
公倍数,gong'bei'shu
公理,gong'li
公式,gong'shi
公因子,gong'yin'zi
公因子及公倍数,gong'yin'zi'ji'gong'bei'shu
勾股定理,gou'gu'ding'li
古代计时工具,gu'dai'ji'shi'gong'ju
古代记时工具,gu'dai'ji'shi'gong'ju
古代记数方法,gu'dai'ji'shu'fang'fa
古代数字,gu'dai'shu'zi
轨迹,gui'ji
函数,han'shu
汉英对对碰,han'ying'dui'dui'peng
行列式,hang'lie'shi
合成数,he'cheng'shu
横坐标,heng'zuo'biao
弧度,hu'du
或然率,huo'ran'lv
基础混算乘法,ji'chu'hun'suan'cheng'fa
基础混算除法,ji'chu'hun'suan'chu'fa
基础混算加法,ji'chu'hun'suan'jia'fa
基础混算减法,ji'chu'hun'suan'jian'fa
基础四则混算,ji'chu'si'ze'hun'suan
积分,ji'fen
集合,ji'he
几何,ji'he
几何平均数个数之积的次方根,ji'he'ping'jun'shu'ge'shu'zhi'ji'de'ci'fang'gen
几何学,ji'he'xue
奇偶性,ji'ou'xing
级数,ji'shu
计算,ji'suan
计算器,ji'suan'qi
极限,ji'xian
加法,jia'fa
加法交换性质,jia'fa'jiao'huan'xing'zhi
假分数,jia'fen'shu
加权平均数,jia'quan'ping'jun'shu
假设,jia'she
加数,jia'shu
减法,jian'fa
减少,jian'shao
减数,jian'shu
角度,jiao'du
交集,jiao'ji
阶乘,jie'cheng
截距,jie'ju
解联立方程,jie'lian'li'fang'cheng
截尾,jie'wei
解一元线性方程,jie'yi'yuan'xian'xing'fang'cheng
近似值,jin'si'zhi
进位,jin'wei
九边形,jiu'bian'xing
九面体,jiu'mian'ti
矩形,ju'xing
矩阵,ju'zhen
开方,kai'fang
空集,kong'ji
空间,kong'jian
括号,kuo'hao
棱台,leng'tai
棱柱,leng'zhu
棱锥,leng'zhui
立方,li'fang
立方根,li'fang'gen
立方体,li'fang'ti
菱形,ling'xing
六边形,liu'bian'xing
六面体,liu'mian'ti
六面体菱形,liu'mian'ti'ling'xing
罗马数字,luo'ma'shu'zi
面积,mian'ji
命题,ming'ti
内切圆,nei'qie'yuan
内心,nei'xin
排列,pai'lie
旁心,pang'xin
抛物线,pao'wu'xian
平方,ping'fang
平方根,ping'fang'gen
平角,ping'jiao
平均数,ping'jun'shu
平行,ping'xing
平行六面体,ping'xing'liu'mian'ti
平行四边形,ping'xing'si'bian'xing
七边形,qi'bian'xing
七面体,qi'mian'ti
千万,qian'wan
曲线统计图,qu'xian'tong'ji'tu
全等,quan'deng
锐角,rui'jiao
锐角三角形,rui'jiao'san'jiao'xing
三次方,san'ci'fang
三次方程,san'ci'fang'cheng
三次方根,san'ci'fang'gen
三角,san'jiao
三角形,san'jiao'xing
三角学,san'jiao'xue
三位数,san'wei'shu
扇形,shan'xing
扇形统计图,shan'xing'tong'ji'tu
上舍入,shang'she'ru
射线,she'xian
十边形,shi'bian'xing
十二边形,shi'er'bian'xing
十二面体,shi'er'mian'ti
十进制,shi'jin'zhi
十六进制,shi'liu'jin'zhi
十面体,shi'mian'ti
实数,shi'shu
十万,shi'wan
十一边形,shi'yi'bian'xing
十一面体,shi'yi'mian'ti
售价,shou'jia
数列,shu'lie
数学,shu'xue
数字,shu'zi
数字符号,shu'zi'fu'hao
数字排序,shu'zi'pai'xu
双曲线,shuang'qu'xian
双数,shuang'shu
四边形,si'bian'xing
四次方,si'ci'fang
四次方程,si'ci'fang'cheng
四次方根,si'ci'fang'gen
四面体,si'mian'ti
四舍五入,si'she'wu'ru
四位数,si'wei'shu
四则计算,si'ze'ji'suan
算盘,suan'pan
算术,suan'shu
算术平均数,suan'shu'ping'jun'shu
体积,ti'ji
梯形,ti'xing
条形统计图,tiao'xing'tong'ji'tu
统计,tong'ji
统计学,tong'ji'xue
统计学量度分布,tong'ji'xue'liang'du'fen'bu
统计学量度集中趋势,tong'ji'xue'liang'du'ji'zhong'qu'shi
统计学量度离差,tong'ji'xue'liang'du'li'cha
统计学统计图表,tong'ji'xue'tong'ji'tu'biao
统计学正态分布,tong'ji'xue'zheng'tai'fen'bu
图表,tu'biao
图象,tu'xiang
图形面积,tu'xing'mian'ji
图形周界,tu'xing'zhou'jie
退位,tui'wei
椭圆,tuo'yuan
外切圆,wai'qie'yuan
外心,wai'xin
微分,wei'fen
微积分,wei'ji'fen
未知数,wei'zhi'shu
五边形,wu'bian'xing
无理数,wu'li'shu
五面体,wu'mian'ti
无穷大,wu'qiong'da
无穷小,wu'qiong'xiao
五位数,wu'wei'shu
无效数字,wu'xiao'shu'zi
系数,xi'shu
下舍入,xia'she'ru
现代计算工具,xian'dai'ji'suan'gong'ju
线段,xian'duan
线性规划,xian'xing'gui'hua
相交,xiang'jiao
相似,xiang'si
相位,xiang'wei
象限,xiang'xian
小数,xiao'shu
小数点,xiao'shu'dian
小数混算,xiao'shu'hun'suan
小数转百分数,xiao'shu'zhuan'bai'fen'shu
小于,xiao'yu
小于等于,xiao'yu'deng'yu
斜边,xie'bian
薪俸税,xin'feng'shui
序列,xu'lie
虚数,xu'shu
旋转,xuan'zhuan
循环小数,xun'huan'xiao'shu
一次方程,yi'ci'fang'cheng
因式分解,yin'shi'fen'jie
因子,yin'zi
映射,ying'she
有理数,you'li'shu
有向数,you'xiang'shu
有效数字,you'xiao'shu'zi
余割,yu'ge
余切,yu'qie
余弦,yu'xian
原点,yuan'dian
元素,yuan'su
圆台,yuan'tai
圆心,yuan'xin
圆周,yuan'zhou
圆周率,yuan'zhou'lv
圆柱,yuan'zhu
圆锥,yuan'zhui
运算,yun'suan
运算符,yun'suan'fu
增加,zeng'jia
折扣,zhe'kou
折线统计图,zhe'xian'tong'ji'tu
真分数,zhen'fen'shu
振幅,zhen'fu
整除性,zheng'chu'xing
正多边形,zheng'duo'bian'xing
正方形,zheng'fang'xing
正割,zheng'ge
证明,zheng'ming
正切,zheng'qie
整数,zheng'shu
正态分布,zheng'tai'fen'bu
正弦,zheng'xian
直角,zhi'jiao
直角边,zhi'jiao'bian
直角三角形,zhi'jiao'san'jiao'xing
直角梯形,zhi'jiao'ti'xing
直径,zhi'jing
质数,zhi'shu
指数,zhi'shu
直线方程,zhi'xian'fang'cheng
直线斜率,zhi'xian'xie'lv
直线轴截距,zhi'xian'zhou'jie'ju
值域,zhi'yu
中国数字,zhong'guo'shu'zi
重心,zhong'xin
周长,zhou'chang
周角,zhou'jiao
周期,zhou'qi
周期性,zhou'qi'xing
珠算,zhu'suan
柱形统计图,zhu'xing'tong'ji'tu
子集,zi'ji
自然数,zi'ran'shu
纵坐标,zong'zuo'biao
组合,zu'he
最大公因子,zui'da'gong'yin'zi
最小公倍数,zui'xiao'gong'bei'shu
坐标几何学,zuo'biao'ji'he'xue
坐标系,zuo'biao'xi
坐标轴,zuo'biao'zhou
