暗敷,an'fu
金属通风管,jin'shu'tong'feng'guan
金属屋架,jin'shu'wu'jia
金属屋面,jin'shu'wu'mian
进线,jin'xian
聚氯乙烯护套铜芯阻燃,ju'lv'yi'xi'hu'tao'tong'xin'zu'ran
聚氯乙烯绝缘,ju'lv'yi'xi'jue'yuan
开关,kai'guan
可靠焊接,ke'kao'han'jie
孔洞,kong'dong
空调插座,kong'tiao'cha'zuo
框架,kuang'jia
雷电波的侵入,lei'dian'bo'de'qin'ru
沥青,li'qing
连接线,lian'jie'xian
两路,liang'lu
淋浴,lin'yu
漏电断路器,lou'dian'duan'lu'qi
落地安装,luo'di'an'zhuang
每层,mei'ceng
门磁报警,men'ci'bao'jing
面板,mian'ban
明装,ming'zhuang
末端互投,mo'duan'hu'tou
配电室,pei'dian'shi
配电系统,pei'dian'xi'tong
配线柜,pei'xian'gui
平方米,ping'fang'mi
平面图,ping'mian'tu
普通,pu'tong
起居室烟雾报警,qi'ju'shi'yan'wu'bao'jing
嵌墙,qian'qiang
全部负荷,quan'bu'fu'he
燃气表,ran'qi'biao
燃气泄漏报警,ran'qi'xie'lou'bao'jing
热镀锌扁钢,re'du'xin'bian'gang
热镀锌圆钢,re'du'xin'yuan'gang
热水表,re'shui'biao
三级负荷,san'ji'fu'he
三类,san'lei
设备安装,she'bei'an'zhuang
设计范围,she'ji'fan'wei
设计任务书,she'ji'ren'wu'shu
设计要求,she'ji'yao'qiu
设计依据,she'ji'yi'ju
设有,she'you
审批意见,shen'pi'yi'jian
市政,shi'zheng
树干式,shu'gan'shi
属于,shu'yu
双电源,shuang'dian'yuan
水箱间,shui'xiang'jian
套管,tao'guan
提供,ti'gong
图象清晰度,tu'xiang'qing'xi'du
网格,wang'ge
网络,wang'luo
网络布线系统,wang'luo'bu'xian'xi'tong
网络设备,wang'luo'she'bei
网线,wang'xian
卫生间,wei'sheng'jian
位于,wei'yu
屋顶,wu'ding
系统图,xi'tong'tu
现浇混凝土楼板,xian'jiao'hun'ning'tu'lou'ban
现行主要标准,xian'xing'zhu'yao'biao'zhun
相关,xiang'guan
相关专业,xiang'guan'zhuan'ye
消防,xiao'fang
消防电梯,xiao'fang'dian'ti
小区管理中心,xiao'qu'guan'li'zhong'xin
选择,xuan'ze
一级负荷,yi'ji'fu'he
一类,yi'lei
引来,yin'lai
引入端,yin'ru'duan
引下线,yin'xia'xian
用电,yong'dian
用电指标,yong'dian'zhi'biao
有线电视系统,you'xian'dian'shi'xi'tong
浴缸,yu'gang
预留,yu'liu
照明负荷,zhao'ming'fu'he
照明干线选,zhao'ming'gan'xian'xuan
支路,zhi'lu
主管部门,zhu'guan'bu'men
住户配线箱,zhu'hu'pei'xian'xiang
主筋,zhu'jin
注明,zhu'ming
住宅,zhu'zhai
住宅设计规范,zhu'zhai'she'ji'gui'fan
住宅小区,zhu'zhai'xiao'qu
住宅照明,zhu'zhai'zhao'ming
总等电位联结,zong'deng'dian'wei'lian'jie
总建筑面积,zong'jian'zhu'mian'ji
