阿斯玛,a'si'ma
影手里剑之术,ying'shou'li'jian'zhi'shu
影术,ying'shu
影舞叶,ying'wu'ye
影子绞首术,ying'zi'jiao'shou'shu
影子聚集术,ying'zi'ju'ji'shu
影子模仿术,ying'zi'mo'fang'shu
影子束缚术,ying'zi'shu'fu'shu
影子通灵术,ying'zi'tong'ling'shu
永恒万花筒写轮眼,yong'heng'wan'hua'tong'xie'lun'yan
柚木凉香,you'mu'liang'xiang
油女一族,you'nv'yi'zu
油女志乃,you'nv'zhi'nai
雨虎自在,yu'hu'zi'zai
御手洗红豆,yu'shou'xi'hong'dou
雨隐村,yu'yin'cun
雨隐之村,yu'yin'zhi'cun
宇智波樱,yu'zhi'bo'ying
宇智波鼬,yu'zhi'bo'you
宇智波佐良娜,yu'zhi'bo'zuo'liang'na
宇智波佐助,yu'zhi'bo'zuo'zhu
猿飞红,yuan'fei'hong
猿飞木叶丸,yuan'fei'mu'ye'wan
猿飞日斩,yuan'fei'ri'zhan
猿飞未来,yuan'fei'wei'lai
猿魔,yuan'mo
远藤绫,yuan'teng'ling
月读,yue'du
早见沙织,zao'jian'sha'zhi
增川洋一,zeng'chuan'yang'yi
增幅通灵之术,zeng'fu'tong'ling'zhi'shu
斩斩舞,zhan'zhan'wu
针地藏,zhen'di'zang
指刻封印,zhi'ke'feng'yin
志乃,zhi'nai
中村千绘,zhong'cun'qian'hui
中忍考试,zhong'ren'kao'shi
咒印,zhou'yin
咒印术,zhou'yin'shu
竹内顺子,zhu'nei'shun'zi
追牙之术,zhui'ya'zhi'shu
自杀忍术,zi'sha'ren'shu
自杀斩首之术,zi'sha'zhan'shou'zhi'shu
嘴遁,zui'dun
醉拳,zui'quan
佐井,zuo'jing
