阿鼻元珠,a'bi'yuan'zhu
痴情怜覆水,chi'qing'lian'fu'shui
尺刃寸弩殷鉴空悲,chi'ren'cun'nu'yin'jian'kong'bei
痴上人遁走白犀潭,chi'shang'ren'dun'zou'bai'xi'tan
赤身洞,chi'shen'dong
赤身教,chi'shen'jiao
赤身教主,chi'shen'jiao'zhu
赤身寨,chi'shen'zhai
赤尸七煞神光,chi'shi'qi'sha'shen'guang
赤尸神君,chi'shi'shen'jun
赤手天尊,chi'shou'tian'zun
赤手戏元凶,chi'shou'xi'yuan'xiong
赤手拯群仙,chi'shou'zheng'qun'xian
赤苏剑,chi'su'jian
赤霞神君,chi'xia'shen'jun
赤霞玄阴障,chi'xia'xuan'yin'zhang
痴心终不悔,chi'xin'zhong'bu'hui
赤焰道人,chi'yan'dao'ren
赤阴飞叉,chi'yin'fei'cha
赤阴球,chi'yin'qiu
蚩尤,chi'you
蚩尤九宫鉴,chi'you'jiu'gong'jian
蚩尤墓,chi'you'mu
赤玉杖,chi'yu'zhang
赤杖仙姥,chi'zhang'xian'lao
赤杖仙童,chi'zhang'xian'tong
赤杖真人,chi'zhang'zhen'ren
冲波戏浪,chong'bo'xi'lang
重返仙山,chong'fan'xian'shan
重返珠宫,chong'fan'zhu'gong
重逢慈父,chong'feng'ci'fu
重复乐土,chong'fu'le'tu
重开宝鼎脱神婴,chong'kai'bao'ding'tuo'shen'ying
重开奇境,chong'kai'qi'jing
冲空闻异响,chong'kong'wen'yi'xiang
崇明岛,chong'ming'dao
崇韶,chong'shao
重生,chong'sheng
冲霄剑气化龙飞,chong'xiao'jian'qi'hua'long'fei
冲霄健羽碧崖丹涧拜真仙,chong'xiao'jian'yu'bi'ya'dan'jian'bai'zhen'xian
冲烟入敌阵,chong'yan'ru'di'zhen
惆怅古今情,chou'chang'gu'jin'qing
仇慧珠,chou'hui'zhu
丑魔王,chou'mo'wang
仇魄,chou'po
愁煞断肠人,chou'sha'duan'chang'ren
仇生明,chou'sheng'ming
仇同敌忾,chou'tong'di'kai
愁鹰涧,chou'ying'jian
仇冤难解忒心惊,chou'yuan'nan'jie'tei'xin'jing
初呈妙算,chu'cheng'miao'suan
除恶务尽,chu'e'wu'jin
初番涉险,chu'fan'she'xian
初凤,chu'feng
除根斩草,chu'gen'zhan'cao
褚玲,chu'ling
楚鸣球,chu'ming'qiu
褚南川,chu'nan'chuan
储晴,chu'qing
楚青琴,chu'qing'qin
初试火灵珠,chu'shi'huo'ling'zhu
初探紫云穿秘甬,chu'tan'zi'yun'chuan'mi'yong
除邪九烟丸,chu'xie'jiu'yan'wan
传飞柬,chuan'fei'jian
传声谈旧迹,chuan'sheng'tan'jiu'ji
穿心和尚,chuan'xin'he'shang
传音告急,chuan'yin'gao'ji
传音急友难,chuan'yin'ji'you'nan
传音万里走妖娃,chuan'yin'wan'li'zou'yao'wa
传音针告急,chuan'yin'zhen'gao'ji
穿云飞羿弩,chuan'yun'fei'yi'nu
闯妖云,chuang'yao'yun
春藏魔窟朱矮叟无心得异宝,chun'cang'mo'ku'zhu'ai'sou'wu'xin'de'yi'bao
春卮盛馔,chun'zhi'sheng'zhuan
慈云寺,ci'yun'si
此中有人,ci'zhong'you'ren
从容雅量纵双飞,cong'rong'ya'liang'zong'shuang'fei
从众请,cong'zhong'qing
翠峰瑶岛困群仙,cui'feng'yao'dao'kun'qun'xian
催光穿云法,cui'guang'chuan'yun'fa
崔海客,cui'hai'ke
崔黑女,cui'hei'nv
崔晋,cui'jin
翠练,cui'lian
翠螺洲,cui'luo'zhou
崔绮,cui'qi
崔树,cui'shu
崔天绶,cui'tian'shou
崔文和,cui'wen'he
崔芜,cui'wu
崔五姑,cui'wu'gu
崔瑶仙,cui'yao'xian
崔盈,cui'ying
寸心通妙谛,cun'xin'tong'miao'di
大呆山人,da'dai'shan'ren
大道同修,da'dao'tong'xiu
大地焕珠光,da'di'huan'zhu'guang
大地为洪炉,da'di'wei'hong'lu
大发鸿慈为难女顽童作伐,da'fa'hong'ci'wei'nan'nv'wan'tong'zuo'fa
大方真人,da'fang'zhen'ren
大鼓浪山,da'gu'lang'shan
大荒,da'huang
大荒山,da'huang'shan
大旌旃佛光,da'jing'zhan'fo'guang
大咎山,da'jiu'shan
打擂试登萍,da'lei'shi'deng'ping
大雷音烈火神幡,da'lei'yin'lie'huo'shen'fan
大力法王,da'li'fa'wang
大力金刚,da'li'jin'gang
大力仙童,da'li'xian'tong
大麻山,da'ma'shan
大魅山,da'mei'shan
大鸣地叱雪山崩,da'ming'di'chi'xue'shan'beng
大魔,da'mo
大徒弟,da'tu'di
大熊岭,da'xiong'ling
大熊岭魔火化蓝枭,da'xiong'ling'mo'huo'hua'lan'xiao
大雄神僧,da'xiong'shen'seng
大须弥障,da'xu'mi'zhang
大雪空山割股疗亲行拙孝,da'xue'kong'shan'ge'gu'liao'qin'xing'zhuo'xiao
大雪山,da'xue'shan
大衍天机,da'yan'tian'ji
大有圈,da'you'quan
大战,da'zhan
大智禅师,da'zhi'chan'shi
大竹子山,da'zhu'zi'shan
打坐,da'zuo
戴衡玉,dai'heng'yu
戴家场,dai'jia'chang
戴湘英,dai'xiang'ying
戴湘英立志学神枪,dai'xiang'ying'li'zhi'xue'shen'qiang
丹辰子,dan'chen'zi
丹砂消累劫,dan'sha'xiao'lei'jie
丹书,dan'shu
丹云嶂,dan'yun'zhang
荡女挥拳,dang'nv'hui'quan
盗宝鼎湖峰,dao'bao'ding'hu'feng
道行,dao'heng
道家,dao'jia
道侣修真,dao'lv'xiu'zhen
道书,dao'shu
道童,dao'tong
岛屿星纷,dao'yu'xing'fen
得宝返峨眉,de'bao'fan'e'mei
得宝返仙,de'bao'fan'xian
得道,de'dao
得青霓余莹姑下山,de'qing'ni'yu'ying'gu'xia'shan
邓八姑,deng'ba'gu
登桂屋灵药医奇病,deng'gui'wu'ling'yao'yi'qi'bing
灯花生世界,deng'hua'sheng'shi'jie
邓明,deng'ming
登萍仙子,deng'ping'xian'zi
邓清风,deng'qing'feng
登山逢怨女,deng'shan'feng'yuan'nv
邓隐,deng'yin
地残,di'can
涤尘老尼,di'chen'lao'ni
地叱天鸣,di'chi'tian'ming
地遁,di'dun
涤垢污,di'gou'wu
地棘天荆,di'ji'tian'jing
敌忾同心,di'kai'tong'xin
地灵,di'ling
狄鸣岐,di'ming'qi
地缺,di'que
地阙金章,di'que'jin'zhang
地缺天残参佛相,di'que'tian'can'can'fo'xiang
涤污掩秽,di'wu'yan'hui
地仙,di'xian
地行,di'xing
地穴神碑腾宝焰,di'xue'shen'bei'teng'bao'yan
狄银儿,di'yin'er
敌众火雷风以抗天灾,di'zhong'huo'lei'feng'yi'kang'tian'zai
弟子,di'zi
电掣雷轰,dian'che'lei'hong
滇池,dian'chi
颠倒八门锁仙旗,dian'dao'ba'men'suo'xian'qi
颠倒八门镇仙旗,dian'dao'ba'men'zhen'xian'qi
颠倒迷仙五云网,dian'dao'mi'xian'wu'yun'wang
癫道人,dian'dao'ren
颠颠,dian'dian
癫和尚,dian'he'shang
癫和尚韦秃,dian'he'shang'wei'tu
电射虹堤惊海若,dian'she'hong'di'jing'hai'ruo
电射屠龙驱丑魅,dian'she'tu'long'qu'chou'mei
电射星驰,dian'she'xing'chi
电漩星砂诛老魅,dian'xuan'xing'sha'zhu'lao'mei
电转飙轮穿地肺,dian'zhuan'biao'lun'chuan'di'fei
丁嫦,ding'chang
丁大力,ding'da'li
丁甲幢,ding'jia'zhuang
顶礼拜蛮僧,ding'li'bai'man'seng
订良缘,ding'liang'yuan
丁汝林,ding'ru'lin
丁隐,ding'yin
定珠,ding'zhu
定珠神光,ding'zhu'shen'guang
东方皓,dong'fang'hao
东海,dong'hai
东海三仙,dong'hai'san'xian
东海神山,dong'hai'shen'shan
东海双凶,dong'hai'shuang'xiong
东极,dong'ji
洞灵筝,dong'ling'zheng
董人瑜,dong'ren'yu
东神岛,dong'shen'dao
东天,dong'tian
董天孙,dong'tian'sun
东阳,dong'yang
冻云迷蜀岭几番肠断孝女哭衰亲,dong'yun'mi'shu'ling'ji'fan'chang'duan'xiao'nv'ku'shuai'qin
洞中惊黑眚,dong'zhong'jing'hei'sheng
峒主,dong'zhu
都火梵呗,dou'huo'fan'bai
斗剑,dou'jian
兜率宝伞,dou'lv'bao'san
兜率火,dou'lv'huo
都天烈火神旗,dou'tian'lie'huo'shen'qi
都天神雷烈火旗门,dou'tian'shen'lei'lie'huo'qi'men
斗妖尸,dou'yao'shi
都因疾恶苦追求,dou'yin'ji'e'ku'zhui'qiu
兜元仙,dou'yuan'xian
