阿卜杜,a'bo'du
格蒙登斯沃恩斯,ge'meng'deng'si'wo'en'si
个人犯规,ge'ren'fan'gui
戈塔特,ge'ta'te
哥廷根,ge'ting'gen
各种统计术语,ge'zhong'tong'ji'shu'yu
各种投篮方式,ge'zhong'tou'lan'fang'shi
跟腱,gen'jian
更衣室,geng'yi'shi
龚大明,gong'da'ming
公牛,gong'niu
公牛队,gong'niu'dui
龚松林,gong'song'lin
钩射投篮,gou'she'tou'lan
钩手投篮,gou'shou'tou'lan
古登,gu'deng
孤立打法,gu'li'da'fa
谷立业,gu'li'ye
关键时间,guan'jian'shi'jian
关键时刻,guan'jian'shi'ke
灌篮,guan'lan
关乐,guan'le
广东宏远,guang'dong'hong'yuan
广东宏远队,guang'dong'hong'yuan'dui
广东华南虎,guang'dong'hua'nan'hu
广东华南虎队,guang'dong'hua'nan'hu'dui
广汇,guang'hui
广汇队,guang'hui'dui
广厦,guang'sha
广厦队,guang'sha'dui
广厦建设,guang'sha'jian'she
广厦建设队,guang'sha'jian'she'dui
规则,gui'ze
国际篮球联合会,guo'ji'lan'qiu'lian'he'hui
国家篮球联盟,guo'jia'lan'qiu'lian'meng
国家篮球协会,guo'jia'lan'qiu'xie'hui
郭磊,guo'lei
国王,guo'wang
国王队,guo'wang'dui
哈达威,ha'da'wei
哈德森,ha'de'sen
哈弗里斯,ha'fu'li'si
哈基姆,ha'ji'mu
哈基姆瓦里克,ha'ji'mu'wa'li'ke
哈里森,ha'li'sen
哈里斯,ha'li'si
哈灵顿,ha'ling'dun
哈卢卡斯,ha'lu'ka'si
哈普尔加里勒昂,ha'pu'er'jia'li'le'ang
哈普灵,ha'pu'ling
哈塞尔,ha'sai'er
哈斯勒姆,ha'si'le'mu
哈特,ha'te
哈瓦里斯,ha'wa'li'si
哈瓦里斯克里特顿,ha'wa'li'si'ke'li'te'dun
哈耶斯,ha'ye'si
海德,hai'de
海默法尔姆,hai'mo'fa'er'mu
海瑞,hai'rui
海伍德,hai'wu'de
海耶斯,hai'ye'si
韩磊,han'lei
汉密尔顿,han'mi'er'dun
韩硕,han'shuo
汉斯,han'si
汉斯队,han'si'dui
汉泽瓦斯特,han'ze'wa'si'te
航空中心,hang'kong'zhong'xin
豪斯,hao'si
豪耶斯,hao'ye'si
何奔,he'ben
赫尔曼,he'er'man
赫尔维,he'er'wei
赫尔维拉米扎纳,he'er'wei'la'mi'zha'na
荷兰丹博施埃菲尔塔,he'lan'dan'bo'shi'ai'fei'er'ta
荷兰汉泽瓦斯特,he'lan'han'ze'wa'si'te
合理防守位置,he'li'fang'shou'wei'zhi
赫罗纳阿卡斯瓦伊,he'luo'na'a'ka'si'wa'yi
何宁,he'ning
合同期满,he'tong'qi'man
合同期满的运动员,he'tong'qi'man'de'yun'dong'yuan
黑山共和国布达诺斯特,hei'shan'gong'he'guo'bu'da'nuo'si'te
亨特,heng'te
红河,hong'he
红河队,hong'he'dui
宏远,hong'yuan
宏远队,hong'yuan'dui
轰炸机,hong'zha'ji
轰炸机队,hong'zha'ji'dui
后备球员,hou'bei'qiu'yuan
候冰,hou'bing
后场,hou'chang
后场篮板,hou'chang'lan'ban
后卫组,hou'wei'zu
后仰式跳投,hou'yang'shi'tiao'tou
后仰投篮,hou'yang'tou'lan
胡安,hu'an
胡安卡洛斯纳瓦罗,hu'an'ka'luo'si'na'wa'luo
胡光,hu'guang
胡克,hu'ke
湖人,hu'ren
湖人队,hu'ren'dui
胡雪峰,hu'xue'feng
华莱士,hua'lai'shi
华盛顿国会,hua'sheng'dun'guo'hui
华盛顿国会队,hua'sheng'dun'guo'hui'dui
华盛顿华盛顿国会,hua'sheng'dun'hua'sheng'dun'guo'hui
华盛顿华盛顿国会队,hua'sheng'dun'hua'sheng'dun'guo'hui'dui
华盛顿奇才,hua'sheng'dun'qi'cai
华盛顿奇才队,hua'sheng'dun'qi'cai'dui
怀特,huai'te
换人,huan'ren
换手运球,huan'shou'yun'qiu
黄蜂,huang'feng
黄蜂队,huang'feng'dui
皇家马德里,huang'jia'ma'de'li
黄金,huang'jin
黄金队,huang'jin'dui
灰熊,hui'xiong
灰熊队,hui'xiong'dui
汇中,hui'zhong
汇中队,hui'zhong'dui
霍弗德,huo'fu'de
霍华德,huo'hua'de
火箭,huo'jian
火箭队,huo'jian'dui
霍里,huo'li
霍林斯,huo'lin'si
活球,huo'qiu
活塞,huo'sai
活塞队,huo'sai'dui
获选新秀,huo'xuan'xin'xiu
基本战术配合,ji'ben'zhan'shu'pei'he
吉布森,ji'bu'sen
积臣,ji'chen
基德,ji'de
击地传球,ji'di'chuan'qiu
吉尔,ji'er
吉尔伯特,ji'er'bo'te
吉尔伯特阿里纳斯,ji'er'bo'te'a'li'na'si
吉尔福德热火,ji'er'fu'de're'huo
记分台,ji'fen'tai
基辅,ji'fu
季后赛,ji'hou'sai
吉拉巴勒,ji'la'ba'le
季乐,ji'le
基利,ji'li
基利科沃尔,ji'li'ke'wo'er
基里连科,ji'li'lian'ke
基里洛,ji'li'luo
基里洛费申科,ji'li'luo'fei'shen'ke
吉里塞克,ji'li'sai'ke
吉林东北虎,ji'lin'dong'bei'hu
吉林东北虎队,ji'lin'dong'bei'hu'dui
吉林通钢,ji'lin'tong'gang
吉林通钢队,ji'lin'tong'gang'dui
记录台,ji'lu'tai
吉诺比利,ji'nuo'bi'li
季赛,ji'sai
吉森阿维托斯,ji'sen'a'wei'tuo'si
技术犯规,ji'shu'fan'gui
技术统计,ji'shu'tong'ji
技术统计指标,ji'shu'tong'ji'zhi'biao
基斯,ji'si
基斯博甘斯,ji'si'bo'gan'si
基翁,ji'weng
基翁杜林,ji'weng'du'lin
贾巴尤萨,jia'ba'you'sa
加比,jia'bi
加比普瑞特,jia'bi'pu'rui'te
嘉伯,jia'bo
嘉伯莫内特,jia'bo'mo'nei'te
加德纳,jia'de'na
假动作,jia'dong'zuo
加拉塔萨雷,jia'la'ta'sa'lei
加里,jia'li
贾里德,jia'li'de
贾里德杜德利,jia'li'de'du'de'li
加里蒂,jia'li'di
加里佩顿,jia'li'pei'dun
贾里奇,jia'li'qi
贾伦,jia'lun
贾伦科林斯,jia'lun'ke'lin'si
贾马尔,jia'ma'er
贾马尔克劳福德,jia'ma'er'ke'lao'fu'de
贾马尔马格洛伊尔,jia'ma'er'ma'ge'luo'yi'er
贾马尔汀斯利,jia'ma'er'ting'si'li
贾马里奥,jia'ma'li'ao
贾马里奥穆恩,jia'ma'li'ao'mu'en
贾米森,jia'mi'sen
加拿大航空中心,jia'na'da'hang'kong'zhong'xin
加拿大航空中心球场,jia'na'da'hang'kong'zhong'xin'qiu'chang
贾楠,jia'nan
加内特,jia'nei'te
贾奇,jia'qi
贾瑞德,jia'rui'de
贾瑞德杰弗里斯,jia'rui'de'jie'fu'li'si
贾森,jia'sen
贾森哈特,jia'sen'ha'te
贾森基德,jia'sen'ji'de
贾森卡波诺,jia'sen'ka'bo'nuo
贾森科林斯,jia'sen'ke'lin'si
贾森理查德森,jia'sen'li'cha'de'sen
贾森马克希尔,jia'sen'ma'ke'xi'er
贾森史密斯,jia'sen'shi'mi'si
贾森特里,jia'sen'te'li
贾森威廉姆斯,jia'sen'wei'lian'mu'si
加时赛,jia'shi'sai
贾斯汀,jia'si'ting
贾斯汀布朗,jia'si'ting'bu'lang
贾斯汀威廉姆斯,jia'si'ting'wei'lian'mu'si
加索尔,jia'suo'er
贾维斯,jia'wei'si
贾维斯海耶斯,jia'wei'si'hai'ye'si
加祖里奇,jia'zu'li'qi
简尼诺,jian'ni'nuo
简尼诺帕科,jian'ni'nuo'pa'ke
姜明,jiang'ming
姜楠,jiang'nan
江苏大华,jiang'su'da'hua
江苏大华队,jiang'su'da'hua'dui
江苏龙,jiang'su'long
江苏龙队,jiang'su'long'dui
交叉运球过人,jiao'cha'yun'qiu'guo'ren
焦健,jiao'jian
教练,jiao'lian
脚踢球,jiao'ti'qiu
杰夫,jie'fu
杰弗,jie'fu
杰弗福斯特,jie'fu'fu'si'te
杰夫格林,jie'fu'ge'lin
杰弗里斯,jie'fu'li'si
杰夫麦金尼斯,jie'fu'mai'jin'ni'si
杰弗森,jie'fu'sen
杰弗逊,jie'fu'xun
接军,jie'jun
杰克,jie'ke
捷克尼姆波克,jie'ke'ni'mu'bo'ke
杰克沃斯库尔,jie'ke'wo'si'ku'er
杰克逊,jie'ke'xun
杰拉尔德,jie'la'er'de
杰拉尔德华莱士,jie'la'er'de'hua'lai'shi
杰里,jie'li
杰里斯塔克豪斯,jie'li'si'ta'ke'hao'si
杰罗姆,jie'luo'mu
杰罗姆詹姆斯,jie'luo'mu'zhan'mu'si
杰马里奥,jie'ma'li'ao
杰马里奥戴维森,jie'ma'li'ao'dai'wei'sen
杰梅因,jie'mei'yin
杰梅因奥尼尔,jie'mei'yin'ao'ni'er
杰米尔,jie'mi'er
杰米尔尼尔森,jie'mi'er'ni'er'sen
杰姆森,jie'mu'sen
杰瑞特,jie'rui'te
杰瑞特杰克,jie'rui'te'jie'ke
进攻队员冲撞具有合理防守位置且没有移动的防守队员的犯规,jin'gong'dui'yuan'chong'zhuang'ju'you'he'li'fang'shou'wei'zhi'qie'mei'you'yi'dong'de'fang'shou'dui'yuan'de'fan'gui
进攻方持球球员背对篮框单吃对方防守球员,jin'gong'fang'chi'qiu'qiu'yuan'bei'dui'lan'kuang'dan'chi'dui'fang'fang'shou'qiu'yuan
进攻方持球球员的传切战术,jin'gong'fang'chi'qiu'qiu'yuan'de'chuan'qie'zhan'shu
进攻方干扰投篮得分,jin'gong'fang'gan'rao'tou'lan'de'fen
进攻方十秒钟内未带球过中场,jin'gong'fang'shi'miao'zhong'nei'wei'dai'qiu'guo'zhong'chang
进攻方以运球方式消耗掉比赛所剩下时间,jin'gong'fang'yi'yun'qiu'fang'shi'xiao'hao'diao'bi'sai'suo'sheng'xia'shi'jian
进攻方以运球或传球方式消耗掉比赛所剩下时间,jin'gong'fang'yi'yun'qiu'huo'chuan'qiu'fang'shi'xiao'hao'diao'bi'sai'suo'sheng'xia'shi'jian
进攻方做掩护球员的挡切战术,jin'gong'fang'zuo'yan'hu'qiu'yuan'de'dang'qie'zhan'shu
进攻球员,jin'gong'qiu'yuan
进攻违例,jin'gong'wei'li
金块,jin'kuai
金立鹏,jin'li'peng
禁区,jin'qu
禁区内篮框下的小圆圈区域,jin'qu'nei'lan'kuang'xia'de'xiao'yuan'quan'qu'yu
金隅,jin'yu
金隅队,jin'yu'dui
金州勇士,jin'zhou'yong'shi
金州勇士队,jin'zhou'yong'shi'dui
金字塔,jin'zi'ta
金字塔球场,jin'zi'ta'qiu'chang
竞技场,jing'ji'chang
经纪人,jing'ji'ren
鞠海峰,ju'hai'feng
鞠鹏,ju'peng
掘金,jue'jin
掘金队,jue'jin'dui
爵士,jue'shi
爵士队,jue'shi'dui
卡波诺,ka'bo'nuo
卡迪纳尔,ka'di'na'er
卡蒂诺,ka'di'nuo
卡蒂诺莫布里,ka'di'nuo'mo'bu'li
卡尔,ka'er
卡尔迪伦,ka'er'di'lun
卡尔兰德里,ka'er'lan'de'li
卡尔朗德里,ka'er'lang'de'li
卡尔文,ka'er'wen
卡尔文布斯,ka'er'wen'bu'si
卡尔文迈尔斯,ka'er'wen'mai'er'si
卡勒夫,ka'le'fu
卡里姆,ka'li'mu
卡里姆拉什,ka'li'mu'la'shi
卡龙,ka'long
卡龙巴特勒,ka'long'ba'te'le
卡洛,ka'luo
卡洛斯,ka'luo'si
卡洛斯阿罗约,ka'luo'si'a'luo'yue
卡洛斯布泽尔,ka'luo'si'bu'ze'er
卡洛斯德尔菲诺,ka'luo'si'de'er'fei'nuo
卡马拉,ka'ma'la
卡曼,ka'man
卡梅隆,ka'mei'long
卡梅隆安东尼,ka'mei'long'an'dong'ni
卡那里亚,ka'na'li'ya
卡内,ka'nei
卡塞尔,ka'sai'er
喀山,ka'shan
卡特,ka'te
卡位,ka'wei
卡亚帕,ka'ya'pa
凯尔,kai'er
凯尔罗里,kai'er'luo'li
凯尔特人,kai'er'te'ren
凯尔特人队,kai'er'te'ren'dui
凯利,kai'li
凯利威特尼,kai'li'wei'te'ni
凯赛尔江,kai'sai'er'jiang
开拓者,kai'tuo'zhe
开拓者队,kai'tuo'zhe'dui
凯文,kai'wen
凯文奥利,kai'wen'ao'li
凯文杜兰特,kai'wen'du'lan'te
凯文加内特,kai'wen'jia'nei'te
凯文马丁,kai'wen'ma'ding
坎比,kan'bi
坎图,kan'tu
康利,kang'li
考比,kao'bi
考比卡尔,kao'bi'ka'er
靠近禁区顶端之三分线附近,kao'jin'jin'qu'ding'duan'zhi'san'fen'xian'fu'jin
考那斯萨尔吉利斯,kao'na'si'sa'er'ji'li'si
科比,ke'bi
科比布莱恩特,ke'bi'bu'lai'en'te
客场比赛,ke'chang'bi'sai
客队,ke'dui
科尔克,ke'er'ke
科尔克斯耐德,ke'er'ke'si'nai'de
科尔曼,ke'er'man
克尔斯蒂奇,ke'er'si'di'qi
柯克,ke'ke
柯克辛里奇,ke'ke'xin'li'qi
克拉克斯顿,ke'la'ke'si'dun
克莱蒙,ke'lai'meng
克劳福德,ke'lao'fu'de
克雷格,ke'lei'ge
克雷格史密斯,ke'lei'ge'shi'mi'si
科雷萨,ke'lei'sa
科里,ke'li
科里布鲁尔,ke'li'bu'lu'er
克利夫兰叛逆者,ke'li'fu'lan'pan'ni'zhe
克利夫兰叛逆者队,ke'li'fu'lan'pan'ni'zhe'dui
克里夫兰骑士,ke'li'fu'lan'qi'shi
克里夫兰骑士队,ke'li'fu'lan'qi'shi'dui
科里马盖蒂,ke'li'ma'gai'di
科里森,ke'li'sen
克里斯,ke'li'si
科利斯,ke'li'si
克里斯保罗,ke'li'si'bao'luo
克里斯伯什,ke'li'si'bo'shen
克里斯波什,ke'li'si'bo'shen
克里斯杜洪,ke'li'si'du'hong
克里斯哈弗里斯,ke'li'si'ha'fu'li'si
克里斯卡曼,ke'li'si'ka'man
克里斯理查德,ke'li'si'li'cha'de
克里斯米姆,ke'li'si'mi'mu
克里斯韦伯,ke'li'si'wei'bo
克里斯韦尔考克斯,ke'li'si'wei'er'kao'ke'si
科利斯威廉姆森,ke'li'si'wei'lian'mu'sen
克里特顿,ke'li'te'dun
科林斯,ke'lin'si
科隆九九人,ke'long'jiu'jiu'ren
科隆九十九人,ke'long'jiu'shi'jiu'ren
克伦纳,ke'lun'na
克伦纳阿祖布克,ke'lun'na'a'zu'bu'ke
克罗地亚萨格勒布希波纳,ke'luo'di'ya'sa'ge'le'bu'xi'bo'na
克罗地亚扎达尔,ke'luo'di'ya'zha'da'er
克罗希尔,ke'luo'xi'er
科斯塔,ke'si'ta
科斯塔佩罗维奇,ke'si'ta'pei'luo'wei'qi
柯特,ke'te
科特尼,ke'te'ni
科特尼希姆斯,ke'te'ni'xi'mu'si
柯特托马斯,ke'te'tuo'ma'si
科沃尔,ke'wo'er
科西,ke'xi
科西雅各布森,ke'xi'ya'ge'bu'sen
肯德里克,ken'de'li'ke
肯德里克帕金斯,ken'de'li'ke'pa'jin'si
肯尼,ken'ni
肯尼托马斯,ken'ni'tuo'ma'si
肯塞,ken'sai
肯扬,ken'yang
肯扬马丁,ken'yang'ma'ding
肯约翰逊,ken'yue'han'xun
控球后卫,kong'qiu'hou'wei
空心球,kong'xin'qiu
空心球入篮,kong'xin'qiu'ru'lan
空中接力,kong'zhong'jie'li
库克,ku'ke
库里,ku'li
夸梅,kua'mei
夸梅布朗,kua'mei'bu'lang
胯下运球,kua'xia'yun'qiu
快船,kuai'chuan
快船队,kuai'chuan'dui
快攻,kuai'gong
快攻时长传,kuai'gong'shi'chang'chuan
快速突破,kuai'su'tu'po
快艇,kuai'ting
快要犯满离场,kuai'yao'fan'man'li'chang
狂猛灌篮,kuang'meng'guan'lan
昆廷,kun'ting
昆廷理查德森,kun'ting'li'cha'de'sen
昆廷罗斯,kun'ting'luo'si
昆西,kun'xi
昆西道比,kun'xi'dao'bi
扩充球队,kuo'chong'qiu'dui
拉德马诺维奇,la'de'ma'nuo'wei'qi
拉多斯拉夫,la'duo'si'la'fu
拉多斯拉夫内斯特洛维奇,la'duo'si'la'fu'nei'si'te'luo'wei'qi
拉夫,la'fu
拉夫阿尔斯通,la'fu'a'er'si'tong
拉弗伦茨,la'fu'lun'ci
拉杆式投篮,la'gan'shi'tou'lan
拉加,la'jia
拉加贝尔,la'jia'bei'er
拉简,la'jian
拉简朗多,la'jian'lang'duo
啦啦队,la'la'dui
拉里,la'li
拉里休斯,la'li'xiu'si
拉马尔,la'ma'er
拉马尔奥多姆,la'ma'er'ao'duo'mu
拉马库斯,la'ma'ku'si
拉马库斯阿尔德里奇,la'ma'ku'si'a'er'de'li'qi
拉蒙,la'meng
拉蒙塞申斯,la'meng'sai'shen'si
拉米扎纳,la'mi'zha'na
拉人犯规,la'ren'fan'gui
拉沙德,la'sha'de
拉沙德刘易斯,la'sha'de'liu'yi'si
拉什,la'shi
拉手,la'shou
拉手犯规,la'shou'fan'gui
拉斯姆,la'si'mu
拉特利夫,la'te'li'fu
拉脱维亚里加,la'tuo'wei'ya'li'jia
拉脱维亚文斯比尔斯,la'tuo'wei'ya'wen'si'bi'er'si
拉希德,la'xi'de
拉希德华莱士,la'xi'de'hua'lai'shi
拉希德麦肯茨,la'xi'de'mai'ken'ci
拉希姆,la'xi'mu
拉休,la'xiu
拉休巴特勒,la'xiu'ba'te'le
莱恩,lai'en
莱恩波维,lai'en'bo'wei
莱斯,lai'si
赖特,lai'te
篮板,lan'ban
篮板球,lan'ban'qiu
兰德里,lan'de'li
兰迪,lan'di
兰迪弗耶,lan'di'fu'ye
兰多夫,lan'duo'fu
兰多夫莫里斯,lan'duo'fu'mo'li'si
篮框,lan'kuang
篮筐,lan'kuang
篮球联盟,lan'qiu'lian'meng
篮球联赛,lan'qiu'lian'sai
篮球名人堂,lan'qiu'ming'ren'tang
篮球术语,lan'qiu'shu'yu
篮球运动管理中心,lan'qiu'yun'dong'guan'li'zhong'xin
篮圈,lan'quan
篮外空心球,lan'wai'kong'xin'qiu
篮网,lan'wang
篮下,lan'xia
篮下卡位,lan'xia'ka'wei
篮下三秒钟,lan'xia'san'miao'zhong
朗德里,lang'de'li
朗多,lang'duo
老鸟,lao'niao
老鸟球员,lao'niao'qiu'yuan
老鹰,lao'ying
老鹰队,lao'ying'dui
劳资协定,lao'zi'xie'ding
勒阿弗尔,le'a'fu'er
勒布朗,le'bu'lang
勒布朗詹姆斯,le'bu'lang'zhan'mu'si
勒芒,le'mang
勒沃库森,le'wo'ku'sen
雷阿伦,lei'a'lun
雷迪克,lei'di'ke
雷吉,lei'ji
雷吉埃文斯,lei'ji'ai'wen'si
雷蒙德,lei'meng'de
雷蒙德法尔顿,lei'meng'de'fa'er'dun
雷纳德,lei'na'de
雷纳德巴克曼,lei'na'de'ba'ke'man
雷纳德克尔斯蒂奇,lei'na'de'ke'er'si'di'qi
冷冬,leng'dong
李爱军,li'ai'jun
里安,li'an
里安霍林斯,li'an'huo'lin'si
理查德,li'cha'de
理查德汉密尔顿,li'cha'de'han'mi'er'dun
理查德杰弗森,li'cha'de'jie'fu'sen
理查德森,li'cha'de'sen
里德,li'de
里德诺,li'de'nuo
立定投篮,li'ding'tou'lan
李栋梁,li'dong'liang
里夫,li'fu
里夫拉弗伦茨,li'fu'la'fu'lun'ci
李光,li'guang
李航,li'hang
李厚银,li'hou'yin
里基,li'ji
里基戴维斯,li'ji'dai'wei'si
里加,li'jia
李建周,li'jian'zhou
李俊,li'jun
李克,li'ke
李可,li'ke
李林,li'lin
李萌,li'meng
李纳斯,li'na'si
李纳斯科雷萨,li'na'si'ke'lei'sa
李楠,li'nan
李涛,li'tao
立陶宛考那斯萨尔吉利斯,li'tao'wan'kao'na'si'sa'er'ji'li'si
立陶宛维尔纽斯,li'tao'wan'wei'er'niu'si
立陶宛希奥利埃,li'tao'wan'xi'ao'li'ai
里替索尔索尼卡,li'ti'suo'er'suo'ni'ka
利文斯顿,li'wen'si'dun
李翔,li'xiang
李晓旭,li'xiao'xu
李一丁,li'yi'ding
连败场数,lian'bai'chang'shu
连败纪录,lian'bai'ji'lu
联防防守,lian'fang'fang'shou
联防了,lian'fang'le
联合中心,lian'he'zhong'xin
联合中心球馆,lian'he'zhong'xin'qiu'guan
联盟,lian'meng
连胜场数,lian'sheng'chang'shu
连胜纪录,lian'sheng'ji'lu
连续不胜场数,lian'xu'bu'sheng'chang'shu
连续不胜记录,lian'xu'bu'sheng'ji'lu
两不沾,liang'bu'zhan
两次运球,liang'ci'yun'qiu
两分球,liang'fen'qiu
两双,liang'shuang
梁伟,liang'wei
两项技术统计指标达两位数,liang'xiang'ji'shu'tong'ji'zhi'biao'da'liang'wei'shu
辽宁猎人,liao'ning'lie'ren
辽宁猎人队,liao'ning'lie'ren'dui
辽宁盼盼,liao'ning'pan'pan
辽宁盼盼队,liao'ning'pan'pan'dui
猎鹰,lie'ying
猎鹰队,lie'ying'dui
林晨耀,lin'chen'yao
林德罗,lin'de'luo
林德罗巴博萨,lin'de'luo'ba'bo'sa
林赛,lin'sai
林赛亨特,lin'sai'heng'te
领到一张准毕业证书,ling'dao'yi'zhang'zhun'bi'ye'zheng'shu
领先球队,ling'xian'qiu'dui
柳别尔齐胜利者,liu'bie'er'qi'sheng'li'zhe
刘钢,liu'gang
刘海龙,liu'hai'long
刘昊,liu'hao
刘佳,liu'jia
刘久龙,liu'jiu'long
刘力铭,liu'li'ming
溜马,liu'ma
柳鹏,liu'peng
刘涛,liu'tao
刘铁,liu'tie
刘炜,liu'wei
柳伟,liu'wei
刘维伟,liu'wei'wei
刘相韬,liu'xiang'tao
刘晓宇,liu'xiao'yu
刘旭,liu'xu
刘扬,liu'yang
刘易斯,liu'yi'si
刘宇,liu'yu
刘卓,liu'zhuo
娄延东,lou'yan'dong
鲁本,lu'ben
鲁本帕特森,lu'ben'pa'te'sen
卢布尔雅纳,lu'bu'er'ya'na
路德维希堡,lu'de'wei'xi'bao
鲁迪,lu'di
鲁迪盖,lu'di'gai
鲁芬,lu'fen
卢考伊学院,lu'kao'yi'xue'yuan
鲁克,lu'ke
卢克,lu'ke
鲁克里德诺,lu'ke'li'de'nuo
卢克沃顿,lu'ke'wo'dun
卢瑟,lu'se
卢瑟海德,lu'se'hai'de
卢伟,lu'wei
路遥,lu'yao
路易斯,lu'yi'si
路易斯斯科拉,lu'yi'si'si'ke'la
路易斯威廉姆斯,lu'yi'si'wei'lian'mu'si
罗昂,luo'ang
罗比,luo'bi
罗比乔伊诺,luo'bi'qiao'yi'nuo
罗宾逊,luo'bin'xun
罗伯特,luo'bo'te
罗伯特霍里,luo'bo'te'huo'li
罗伯特斯威福特,luo'bo'te'si'wei'fu'te
罗德里格斯,luo'de'li'ge'si
罗德尼,luo'de'ni
罗德尼卡内,luo'de'ni'ka'nei
罗德尼斯塔基,luo'de'ni'si'ta'ji
罗恩,luo'en
罗恩阿泰斯特,luo'en'a'tai'si'te
罗尔,luo'er
罗尔邓,luo'er'deng
罗格,luo'ge
罗格马森,luo'ge'ma'sen
罗克,luo'ke
罗克乌基奇,luo'ke'wu'ji'qi
罗里,luo'li
洛伦,luo'lun
洛伦岑,luo'lun'cen
洛伦岑赖特,luo'lun'cen'lai'te
洛伦伍兹,luo'lun'wu'zi
罗马罗托马蒂卡,luo'ma'luo'tuo'ma'di'ka
罗马尼亚阿斯索夫特,luo'ma'ni'ya'a'si'suo'fu'te
罗纳德,luo'na'de
罗纳德杜普雷,luo'na'de'du'pu'lei
罗纳德杜普里,luo'na'de'du'pu'li
罗纳德穆雷,luo'na'de'mu'lei
罗尼,luo'ni
罗尼布鲁尔,luo'ni'bu'lu'er
罗尼普莱斯,luo'ni'pu'lai'si
罗尼图里亚夫,luo'ni'tu'li'ya'fu
洛杉矶湖人,luo'shan'ji'hu'ren
洛杉矶湖人队,luo'shan'ji'hu'ren'dui
洛杉矶快船,luo'shan'ji'kuai'chuan
洛杉矶快船队,luo'shan'ji'kuai'chuan'dui
罗斯,luo'si
罗旭东,luo'xu'dong
罗伊,luo'yi
罗伊尔,luo'yi'er
罗伊尔伊沃伊,luo'yi'er'yi'wo'yi
罗智,luo'zhi
吕晓明,lv'xiao'ming
吕岩,lv'yan
马布里,ma'bu'li
马超,ma'chao
马刺,ma'ci
马刺队,ma'ci'dui
马德里埃斯图典特斯,ma'de'li'ai'si'tu'dian'te'si
马蒂,ma'di
马蒂科林斯,ma'di'ke'lin'si
马丁,ma'ding
马尔库斯,ma'er'ku'si
马尔库斯威廉姆斯,ma'er'ku'si'wei'lian'mu'si
马尔辛,ma'er'xin
马尔辛戈塔特,ma'er'xin'ge'ta'te
马盖蒂,ma'gai'di
马格洛伊尔,ma'ge'luo'yi'er
马克,ma'ke
马科,ma'ke
马克贝里内利,ma'ke'bei'li'nei'li
马克布朗特,ma'ke'bu'lang'te
马科贾里奇,ma'ke'jia'li'qi
马克麦德森,ma'ke'mai'de'sen
马克斯,ma'ke'si
马克希尔,ma'ke'xi'er
马库斯,ma'ku'si
马库斯班克斯,ma'ku'si'ban'ke'si
马库斯坎比,ma'ku'si'kan'bi
马库斯文尼西斯,ma'ku'si'wen'ni'xi'si
马奎斯,ma'kui'si
马奎斯丹尼尔斯,ma'kui'si'dan'ni'er'si
马拉加,ma'la'jia
马里昂,ma'li'ang
马里奥,ma'li'ao
马里奥韦斯特,ma'li'ao'wei'si'te
马里克,ma'li'ke
马里克阿伦,ma'li'ke'a'lun
马里克罗斯,ma'li'ke'luo'si
马努,ma'nu
马努吉诺比利,ma'nu'ji'nuo'bi'li
马森,ma'sen
马绍尔,ma'shao'er
马特,ma'te
马特巴内斯,ma'te'ba'nei'si
马特博纳尔,ma'te'bo'na'er
马特尔,ma'te'er
马特尔韦伯斯特,ma'te'er'wei'bo'si'te
马特哈普灵,ma'te'ha'pu'ling
马特卡洛,ma'te'ka'luo
马文,ma'wen
马文威廉姆斯,ma'wen'wei'lian'mu'si
马西奥,ma'xi'ao
马西奥巴斯顿,ma'xi'ao'ba'si'dun
马岩崧,ma'yan'song
马玉坤,ma'yu'kun
迈阿密热火,mai'a'mi're'huo
迈阿密热火队,mai'a'mi're'huo'dui
麦德森,mai'de'sen
麦迪,mai'di
麦迪逊,mai'di'xun
麦迪逊广场,mai'di'xun'guang'chang
麦迪逊广场花园,mai'di'xun'guang'chang'hua'yuan
迈尔斯,mai'er'si
麦格雷迪,mai'ge'lei'di
麦葛瑞迪,mai'ge'rui'di
麦金尼斯,mai'jin'ni'si
麦卡,mai'ka
麦卡布兰迪,mai'ka'bu'lan'di
迈克,mai'ke
麦克,mai'ke
麦克毕比,mai'ke'bi'bi
麦克戴斯,mai'ke'dai'si
麦克邓利维,mai'ke'deng'li'wei
迈克尔,mai'ke'er
迈克尔多列亚克,mai'ke'er'duo'lie'ya'ke
迈克尔芬利,mai'ke'er'fen'li
迈克尔吉拉巴勒,mai'ke'er'ji'la'ba'le
迈克尔里德,mai'ke'er'li'de
迈克尔皮特鲁斯,mai'ke'er'pi'te'lu'si
迈克尔乔丹,mai'ke'er'qiao'dan
麦克格雷迪,mai'ke'ge'lei'di
麦克康利,mai'ke'kang'li
麦克奎尔,mai'ke'kui'er
迈克鲁芬,mai'ke'lu'fen
麦克罗伯茨,mai'ke'luo'bo'ci
麦克米勒,mai'ke'mi'le
麦克图科,mai'ke'tu'ke
麦克维尔克斯,mai'ke'wei'er'ke'si
麦克詹姆斯,mai'ke'zhan'mu'si
麦肯茨,mai'ken'ci
曼雷沙,man'lei'sha
梅尔文,mei'er'wen
梅尔文埃里,mei'er'wen'ai'li
梅尔文埃利,mei'er'wen'ai'li
