安平精度,an'ping'jing'du
石英弹簧重力仪,shi'ying'tan'huang'zhong'li'yi
时钟频率,shi'zhong'pin'lv
手持测角仪,shou'chi'ce'jiao'yi
手持水准仪,shou'chi'shui'zhun'yi
数控绘图机,shu'kong'hui'tu'ji
数字化器,shu'zi'hua'qi
数字经纬仪,shu'zi'jing'wei'yi
双频测深仪,shuang'pin'ce'shen'yi
双色激光测距仪,shuang'se'ji'guang'ce'ju'yi
水尺,shui'chi
水声定位系统,shui'sheng'ding'wei'xi'tong
水声全息系统,shui'sheng'quan'xi'xi'tong
水声应答器,shui'sheng'ying'da'qi
水铊,shui'ta
水位遥报仪,shui'wei'yao'bao'yi
水准尺,shui'zhun'chi
水准器,shui'zhun'qi
水准仪,shui'zhun'yi
缩放仪,suo'fang'yi
缩小仪,suo'xiao'yi
台卡定位系统,tai'ka'ding'wei'xi'tong
天文经纬仪,tian'wen'jing'wei'yi
天文坐标量测仪,tian'wen'zuo'biao'liang'ce'yi
调焦误差,tiao'jiao'wu'cha
调制频率,tiao'zhi'pin'lv
调制器,tiao'zhi'qi
投影器,tou'ying'qi
陀螺经纬仪,tuo'luo'jing'wei'yi
陀螺水准仪,tuo'luo'shui'zhun'yi
弯管目镜,wan'guan'mu'jing
微,wei
微波测距仪,wei'bo'ce'ju'yi
卫星惯导组合定位系统,wei'xing'guan'dao'zu'he'ding'wei'xi'tong
卫星激光测距仪,wei'xing'ji'guang'ce'ju'yi
卫星声学组合定位系统,wei'xing'sheng'xue'zu'he'ding'wei'xi'tong
五角棱镜,wu'jiao'leng'jing
相关器,xiang'guan'qi
象限仪,xiang'xian'yi
行差,xing'cha
悬式经纬仪,xuan'shi'jing'wei'yi
寻北器,xun'bei'qi
验潮仪,yan'chao'yi
砚牌,yan'pai
因瓦基线尺,yin'wa'ji'xian'chi
应变仪,ying'bian'yi
远程定位系统,yuan'cheng'ding'wei'xi'tong
圆一圆定位系统,yuan'yi'yuan'ding'wei'xi'tong
原子钟,yuan'zi'zhong
照相排字机,zhao'xiang'pai'zi'ji
照相制板镜头,zhao'xiang'zhi'ban'jing'tou
正射投影仪,zheng'she'tou'ying'yi
制点仪,zhi'dian'yi
中程定位系统,zhong'cheng'ding'wei'xi'tong
重力梯度仪,zhong'li'ti'du'yi
中星仪,zhong'xing'yi
周期误差,zhou'qi'wu'cha
转点仪,zhuan'dian'yi
转绘仪,zhuan'hui'yi
自动安平水准仪,zi'dong'an'ping'shui'zhun'yi
自动归算照准仪,zi'dong'gui'suan'zhao'zhun'yi
自动绘图机,zi'dong'hui'tu'ji
自动坐标展点仪,zi'dong'zuo'biao'zhan'dian'yi
自准直目镜,zi'zhun'zhi'mu'jing
坐标量测仪,zuo'biao'liang'ce'yi
