比例常数,bi'li'chang'shu
比例尺,bi'li'chi
比例分量,bi'li'fen'liang
比例积分微分酌,bi'li'ji'fen'wei'fen'zhuo
比例系数,bi'li'xi'shu
比率,bi'lv
蓖麻油,bi'ma'you
比粘度,bi'nian'du
比潜热,bi'qian're
必然性,bi'ran'xing
比热,bi're
比热容,bi're'rong
比热容量,bi're'rong'liang
比色高温计,bi'se'gao'wen'ji
比色计,bi'se'ji
比色图表,bi'se'tu'biao
比声阻抗,bi'sheng'zu'kang
铋锶钙铜氧超导体,bi'si'gai'tong'yang'chao'dao'ti
彼特,bi'te
毕特图样,bi'te'tu'yang
闭宇宙,bi'yu'zhou
比约肯标度无关性,bi'yue'ken'biao'du'wu'guan'xing
必择其一,bi'ze'qi'yi
比重,bi'zhong
比重计,bi'zhong'ji
比重瓶,bi'zhong'ping
比重天平,bi'zhong'tian'ping
边带,bian'dai
边带不稳定性,bian'dai'bu'wen'ding'xing
扁豆状孪晶,bian'dou'zhuang'luan'jing
变分法,bian'fen'fa
变分原理,bian'fen'yuan'li
变号的,bian'hao'de
变化,bian'hua
变换,bian'huan
变换不稳定性,bian'huan'bu'wen'ding'xing
变换论,bian'huan'lun
变换器换能器,bian'huan'qi'huan'neng'qi
变换器模数变换器,bian'huan'qi'mo'shu'bian'huan'qi
变换群,bian'huan'qun
变换因数,bian'huan'yin'shu
变焦距透镜,bian'jiao'ju'tou'jing
变焦透镜,bian'jiao'tou'jing
边界层,bian'jie'ceng
边界面,bian'jie'mian
边界摩擦,bian'jie'mo'ca
边界润滑,bian'jie'run'hua
边界条件,bian'jie'tiao'jian
边界值,bian'jie'zhi
边棱音,bian'leng'yin
遍历电子磁性,bian'li'dian'zi'ci'xing
变量,bian'liang
扁率,bian'lv
编码,bian'ma
编码器,bian'ma'qi
编码器编码机,bian'ma'qi'bian'ma'ji
变频管,bian'pin'guan
变频器,bian'pin'qi
扁平螺线管,bian'ping'luo'xian'guan
扁平线圈,bian'ping'xian'quan
变容二极管,bian'rong'er'ji'guan
变数,bian'shu
变速运动,bian'su'yun'dong
变象管,bian'xiang'guan
变形,bian'xing
变性,bian'xing
变星,bian'xing
变形核,bian'xing'he
变旋,bian'xuan
变压器,bian'ya'qi
变压区,bian'ya'qu
编译程序,bian'yi'cheng'xu
边缘光线,bian'yuan'guang'xian
边缘聚焦,bian'yuan'ju'jiao
边缘碰撞,bian'yuan'peng'zhuang
边缘位错,bian'yuan'wei'cuo
边缘效应,bian'yuan'xiao'ying
边值问题,bian'zhi'wen'ti
变阻破动器,bian'zu'po'dong'qi
变阻器,bian'zu'qi
表层,biao'ceng
标出,biao'chu
标灯,biao'deng
标度,biao'du
标度理论,biao'du'li'lun
标度律,biao'du'lv
标度盘,biao'du'pan
标度无关性,biao'du'wu'guan'xing
标度因子,biao'du'yin'zi
标高,biao'gao
表观结构,biao'guan'jie'gou
表观力,biao'guan'li
表观膨胀,biao'guan'peng'zhang
表观频率,biao'guan'pin'lv
表观势,biao'guan'shi
表观失重,biao'guan'shi'zhong
表观寿命,biao'guan'shou'ming
表观吸收系数,biao'guan'xi'shou'xi'shu
表观重量,biao'guan'zhong'liang
标绘,biao'hui
标绘器,biao'hui'qi
标记,biao'ji
标积,biao'ji
标量,biao'liang
标量场,biao'liang'chang
标量粒子,biao'liang'li'zi
标量耦合,biao'liang'ou'he
标量曲率,biao'liang'qu'lv
标量势,biao'liang'shi
表面波,biao'mian'bo
表面粗糙度,biao'mian'cu'cao'du
表面等离子体,biao'mian'deng'li'zi'ti
表面电导,biao'mian'dian'dao
表面电荷,biao'mian'dian'he
表面电荷密度,biao'mian'dian'he'mi'du
表面电势,biao'mian'dian'shi
表面放电,biao'mian'fang'dian
表面复合,biao'mian'fu'he
表面腐蚀,biao'mian'fu'shi
表面改建,biao'mian'gai'jian
表面活性物质,biao'mian'huo'xing'wu'zhi
表面加膜,biao'mian'jia'mo
表面结构,biao'mian'jie'gou
表面扩散,biao'mian'kuo'san
表面力,biao'mian'li
表面密度,biao'mian'mi'du
表面摩擦,biao'mian'mo'ca
表面膜效应,biao'mian'mo'xiao'ying
表面能,biao'mian'neng
表面能级,biao'mian'neng'ji
表面强化喇曼散射,biao'mian'qiang'hua'la'man'san'she
表面色,biao'mian'se
表面声波,biao'mian'sheng'bo
表面饰变,biao'mian'shi'bian
表面势垒型探测器,biao'mian'shi'lei'xing'tan'ce'qi
表面特性记述,biao'mian'te'xing'ji'shu
表面温度,biao'mian'wen'du
表面硬化,biao'mian'ying'hua
表面元激发,biao'mian'yuan'ji'fa
表面张力,biao'mian'zhang'li
表面张力波,biao'mian'zhang'li'bo
表面张力效应,biao'mian'zhang'li'xiao'ying
表面状态,biao'mian'zhuang'tai
表面自由能,biao'mian'zi'you'neng
表面阻力,biao'mian'zu'li
标上刻度,biao'shang'ke'du
表示,biao'shi
表现,biao'xian
表演,biao'yan
表用管,biao'yong'guan
标准,biao'zhun
标准比色系,biao'zhun'bi'se'xi
标准比色系统,biao'zhun'bi'se'xi'tong
标准差,biao'zhun'cha
标准大爆炸模型,biao'zhun'da'bao'zha'mo'xing
标准大气标准大气压,biao'zhun'da'qi'biao'zhun'da'qi'ya
标准大气压,biao'zhun'da'qi'ya
标准大气压强,biao'zhun'da'qi'ya'qiang
标准电池,biao'zhun'dian'chi
标准电极,biao'zhun'dian'ji
标准电容器,biao'zhun'dian'rong'qi
标准电阻,biao'zhun'dian'zu
标准电阻温度计,biao'zhun'dian'zu'wen'du'ji
标准观测员,biao'zhun'guan'ce'yuan
标准光源,biao'zhun'guang'yuan
标准化,biao'zhun'hua
标准具,biao'zhun'ju
标准剌激,biao'zhun'la'ji
标准漏孔,biao'zhun'lou'kong
标准密度,biao'zhun'mi'du
标准模型,biao'zhun'mo'xing
标准偏差,biao'zhun'pian'cha
标准频率,biao'zhun'pin'lv
标准气压计,biao'zhun'qi'ya'ji
标准三色值,biao'zhun'san'se'zhi
标准时,biao'zhun'shi
标准条件,biao'zhun'tiao'jian
标准温度,biao'zhun'wen'du
标准温度计,biao'zhun'wen'du'ji
标准误差,biao'zhun'wu'cha
标准信号发生器,biao'zhun'xin'hao'fa'sheng'qi
