阿尔扎,a'er'zha
楠种,nan'zhong
脑门佛子,nao'men'fo'zi
恁嘞,nen'le
能逗的,neng'dou'de
腻虫的,ni'chong'de
腻虫子,ni'chong'zi
腻的,ni'de
妮儿,ni'er
你弄类那是撒,ni'nong'lei'na'shi'sa
年士,nian'shi
年师,nian'shi
年时,nian'shi
年下,nian'xia
年吓,nian'xia
哦啊车,o'a'che
炮声,pao'sheng
陪送,pei'song
拼种,pin'zhong
普拉娥的,pu'la'e'de
铺体,pu'ti
乾乾,qian'qian
前夜,qian'ye
前以,qian'yi
清起来,qing'qi'lai
日恁,ri'nen
日你妈妈,ri'ni'ma'ma
三运,san'yun
晌午,shang'wu
晌午头,shang'wu'tou
神刀,shen'dao
神道儿,shen'dao'er
神拐的,shen'guai'de
说皮,shuo'pi
四不,si'bu
忒被白,tei'bei'bai
天拦地,tian'lan'di
天拦地儿,tian'lan'di'er
添箱,tian'xiang
添香,tian'xiang
头以耳,tou'yi'er
万人将类,wan'ren'jiang'lei
万人揍类,wan'ren'zou'lei
问事类,wen'shi'lei
问事哩,wen'shi'li
窝老牛,wo'lao'niu
蜗老牛,wo'lao'niu
蜗螺牛子,wo'luo'niu'zi
雾剂,wu'ji
舞渐,wu'jian
雾拉,wu'la
瞎包,xia'bao
瞎呼,xia'hu
瞎啦,xia'la
瞎完,xia'wan
响器,xiang'qi
小闺女儿,xiao'gui'nv'er
小响虫,xiao'xiang'chong
小小虫儿,xiao'xiao'chong'er
小小的,xiao'xiao'de
小小子,xiao'xiao'zi
些虎的,xie'hu'de
欣嘴儿,xin'zui'er
兄哩,xiong'li
雪皮,xue'pi
寻嘴儿,xun'zui'er
牙尘,ya'chen
牙碜,ya'chen
牙狗,ya'gou
沿儿们,yan'er'men
沿没,yan'mei
燕没儿,yan'mei'er
眼没儿,yan'mei'er
檐米虎得,yan'mi'hu'de
眼现,yan'xian
眼现儿,yan'xian'er
洋车的,yang'che'de
洋火跟,yang'huo'gen
洋柿柿,yang'shi'shi
夜没,ye'mei
胰子,yi'zi
月明地,yue'ming'di
咱嘞,zan'le
糟疙瘩,zao'ge'da
早先先,zao'xian'xian
扎歪,zha'wai
丈二,zhang'er
仗儿江类,zhang'er'jiang'lei
仗儿万人揍类,zhang'er'wan'ren'zou'lei
张节,zhang'jie
只马乎,zhi'ma'hu
皱饭,zhou'fan
住点儿,zhu'dian'er
抓扣,zhua'kou
自来匪管,zi'lai'fei'guan
揍类,zou'lei
钻几,zuan'ji
