暗能量,an'neng'liang
蒙格尔,meng'ge'er
蒙雷,meng'lei
蒙娜塔莎,meng'na'ta'sha
蒙阗,meng'tian
弥珈洛荒原,mi'jia'luo'huang'yuan
灭星境,mie'xing'jing
冥皇,ming'huang
冥界,ming'jie
明域,ming'yu
魔闭,mo'bi
魔刀洪烈,mo'dao'hong'lie
魔定,mo'ding
墨菲托,mo'fei'tuo
魔封,mo'feng
魔固,mo'gu
魔光,mo'guang
魔戟诛仙诀,mo'ji'zhu'xian'jue
魔解,mo'jie
摩羯星,mo'jie'xing
魔禁,mo'jin
魔诀,mo'jue
魔力黑洞,mo'li'hei'dong
魔女,mo'nv
魔破,mo'po
魔婴,mo'ying
魔域,mo'yu
魔域的太阳使,mo'yu'de'tai'yang'shi
魔尊,mo'zun
木龙真人,mu'long'zhen'ren
南海剑宗,nan'hai'jian'zong
尼玛拉姆,ni'ma'la'mu
拗道师,niu'dao'shi
牛头人身,niu'tou'ren'shen
怒剑真人,nu'jian'zhen'ren
女娲补天石,nv'wa'bu'tian'shi
欧罗巴联邦,ou'luo'ba'lian'bang
盘古开天斧,pan'gu'kai'tian'fu
破碎虚空,po'sui'xu'kong
菩萨,pu'sa
普通仙人,pu'tong'xian'ren
七大首座,qi'da'shou'zuo
千机,qian'ji
乾坤湮灭,qian'kun'yan'mie
芊芊,qian'qian
羌再生,qiang'zai'sheng
青城道家,qing'cheng'dao'jia
清风真人,qing'feng'zhen'ren
青铜时代,qing'tong'shi'dai
秋林,qiu'lin
秋山远,qiu'shan'yuan
秋小韵,qiu'xiao'yun
秋字家族,qiu'zi'jia'zu
融合,rong'he
熔星丹鼎,rong'xing'dan'ding
入魔,ru'mo
入魔道,ru'mo'dao
睿木族,rui'mu'zu
弱水晶,ruo'shui'jing
三代弟子,san'dai'di'zi
三十六护法韦驮,san'shi'liu'hu'fa'wei'tuo
三味真火,san'wei'zhen'huo
上品宝器,shang'pin'bao'qi
上品灵器,shang'pin'ling'qi
上品神器,shang'pin'shen'qi
上仙,shang'xian
少典之子,shao'dian'zhi'zi
舍利,she'li
慎笃行,shen'du'xing
慎空行,shen'kong'hang
神木果,shen'mu'guo
神器,shen'qi
神器开天,shen'qi'kai'tian
身体机能扫描,shen'ti'ji'neng'sao'miao
申屠计都,shen'tu'ji'dou
身外化身,shen'wai'hua'shen
生灵轮回,sheng'ling'lun'hui
十二都天神煞大阵,shi'er'dou'tian'shen'sha'da'zhen
十二菩萨之一,shi'er'pu'sa'zhi'yi
噬骨龙兽,shi'gu'long'shou
时间规则,shi'jian'gui'ze
时空转换令,shi'kong'zhuan'huan'ling
石器时代,shi'qi'shi'dai
守护新月,shou'hu'xin'yue
蜀山剑宗,shu'shan'jian'zong
蜀州,shu'zhou
蜀州天人广场,shu'zhou'tian'ren'guang'chang
水龙一族,shui'long'yi'zu
水龙族,shui'long'zu
水系道术,shui'xi'dao'shu
四大天君,si'da'tian'jun
四大主司,si'da'zhu'si
司鬼,si'gui
司鬼者,si'gui'zhe
司马长空,si'ma'chang'kong
司马临江,si'ma'lin'jiang
司冥,si'ming
思维感应器,si'wei'gan'ying'qi
司阴,si'yin
司阴者,si'yin'zhe
司幽,si'you
搜魂使,sou'hun'shi
搜魂术,sou'hun'shu
缩地成寸,suo'di'cheng'cun
索命使,suo'ming'shi
太极两仪生灭阵,tai'ji'liang'yi'sheng'mie'zhen
泰山压顶,tai'shan'ya'ding
太阳令,tai'yang'ling
太阳使,tai'yang'shi
天宝,tian'bao
天道仙域宗,tian'dao'xian'yu'zong
天地通,tian'di'tong
天地真人,tian'di'zhen'ren
天防结界,tian'fang'jie'jie
天艮真人,tian'gen'zhen'ren
天狐星,tian'hu'xing
天骄,tian'jiao
天决上人,tian'jue'shang'ren
天雷真人,tian'lei'zhen'ren
天离真人,tian'li'zhen'ren
天命之轮,tian'ming'zhi'lun
天魔,tian'mo
天魔解体大法,tian'mo'jie'ti'da'fa
天人,tian'ren
天师符菉宗,tian'shi'fu'lu'zong
天枢星力剑,tian'shu'xing'li'jian
天枢星力箭,tian'shu'xing'li'jian
天枢星力网,tian'shu'xing'li'wang
天水真人,tian'shui'zhen'ren
天仙,tian'xian
天巽真,tian'xun'zhen
天眼,tian'yan
天眼综合事务所,tian'yan'zong'he'shi'wu'suo
天音寺,tian'yin'si
天泽真人,tian'ze'zhen'ren
调和酱油,tiao'he'jiang'you
铁器时代,tie'qi'shi'dai
铁血基地,tie'xue'ji'di
铁血星,tie'xue'xing
土灵珠,tu'ling'zhu
土系道术,tu'xi'dao'shu
文殊师利菩萨,wen'shu'shi'li'pu'sa
悟道,wu'dao
无间级别星耀,wu'jian'ji'bie'xing'yao
无劫飞升,wu'jie'fei'sheng
五雷灌顶,wu'lei'guan'ding
巫门传人,wu'men'chuan'ren
巫如咸,wu'ru'xian
无生者,wu'sheng'zhe
悟星境,wu'xing'jing
悟星境第,wu'xing'jing'di
巫星长老,wu'xing'zhang'lao
无忧真人,wu'you'zhen'ren
下品宝器,xia'pin'bao'qi
下品灵器,xia'pin'ling'qi
仙闭,xian'bi
仙帝,xian'di
仙定,xian'ding
仙封,xian'feng
仙固,xian'gu
仙后令者,xian'hou'ling'zhe
仙后座,xian'hou'zuo
仙解,xian'jie
仙禁,xian'jin
仙灵威压结界,xian'ling'wei'ya'jie'jie
仙破,xian'po
仙器坊,xian'qi'fang
仙人,xian'ren
仙域,xian'yu
小圜铘天,xiao'huan'ye'tian
逍遥剑宗,xiao'yao'jian'zong
逍遥子,xiao'yao'zi
谢川,xie'chuan
心动,xin'dong
心动期,xin'dong'qi
星辰裂,xing'chen'lie
星辰破碎,xing'chen'po'sui
星辰子,xing'chen'zi
星盾,xing'dun
星光辉映,xing'guang'hui'ying
星空投影,xing'kong'tou'ying
星空真人,xing'kong'zhen'ren
星力法阵,xing'li'fa'zhen
星破,xing'po
星演上人,xing'yan'shang'ren
修罗棋盘城,xiu'luo'qi'pan'cheng
修魔悟道者,xiu'mo'wu'dao'zhe
修魔者,xiu'mo'zhe
修为,xiu'wei
须弥宝座,xu'mi'bao'zuo
虚魔,xu'mo
虚无宗,xu'wu'zong
悬浮飞车,xuan'fu'fei'che
璇姬,xuan'ji
玄机子,xuan'ji'zi
瑄琅居,xuan'lang'ju
玄魔,xuan'mo
玄魔级别,xuan'mo'ji'bie
玄通子,xuan'tong'zi
玄武天君,xuan'wu'tian'jun
轩无翼,xuan'wu'yi
轩辕剑,xuan'yuan'jian
旋照,xuan'zhao
玄真子,xuan'zhen'zi
雪欧上人,xue'ou'shang'ren
巽风诀,xun'feng'jue
炎爆,yan'bao
焉知鱼,yan'zhi'yu
妖界,yao'jie
易尘天,yi'chen'tian
易水天,yi'shui'tian
易重天,yi'zhong'tian
阴曹,yin'cao
隐狐族,yin'hu'zu
隐魔一族,yin'mo'yi'zu
永恒视觉墨水,yong'heng'shi'jue'mo'shui
永昼之光,yong'zhou'zhi'guang
幽冥界,you'ming'jie
优生者,you'sheng'zhe
有无斋,you'wu'zhai
羽飞,yu'fei
欲魔,yu'mo
驭兽师,yu'shou'shi
宇宙射线防护系统,yu'zhou'she'xian'fang'hu'xi'tong
羽字家族,yu'zi'jia'zu
元婴,yuan'ying
粤州,yue'zhou
云盖,yun'gai
云若卿,yun'ruo'qing
云若虚,yun'ruo'xu
云天空,yun'tian'kong
藏族牧民,zang'zu'mu'min
扎西嘉措,zha'xi'jia'cuo
斋主,zhai'zhu
张继麟,zhang'ji'lin
张继龙,zhang'ji'long
长老,zhang'lao
张龙,zhang'long
赵虎,zhao'hu
阵法,zhen'fa
镇魂术,zhen'hun'shu
真身,zhen'shen
正一道,zheng'yi'dao
正一道龙虎宗宗主,zheng'yi'dao'long'hu'zong'zong'zhu
至尊,zhi'zun
中东方家族,zhong'dong'fang'jia'zu
中华联盟,zhong'hua'lian'meng
中华元,zhong'hua'yuan
终极神器,zhong'ji'shen'qi
中南全真剑宗,zhong'nan'quan'zhen'jian'zong
中品法器,zhong'pin'fa'qi
中品灵器,zhong'pin'ling'qi
中央音控装置,zhong'yang'yin'kong'zhuang'zhi
烛龙内丹,zhu'long'nei'dan
朱雀天君,zhu'que'tian'jun
诛仙阵,zhu'xian'zhen
诛心使,zhu'xin'shi
颛魖魔尊,zhuan'xu'mo'zun
庄严,zhuang'yan
追神使,zhui'shen'shi
准神器,zhun'shen'qi
紫龙子,zi'long'zi
综合媒体接收装置,zong'he'mei'ti'jie'shou'zhuang'zhi
宗主,zong'zhu
祖龙,zu'long
族长,zu'zhang
尊者,zun'zhe
左协侍,zuo'xie'shi
