庵兜,an'dou
隆教畲族乡,long'jiao'she'zu'xiang
龙田,long'tian
龙田村,long'tian'cun
龙文,long'wen
龙文区,long'wen'qu
龙溪,long'xi
龙溪地区,long'xi'di'qu
龙溪县,long'xi'xian
龙溪专区,long'xi'zhuan'qu
楼埭,lou'dai
楼埭村,lou'dai'cun
路边村,lu'bian'cun
芦州,lu'zhou
芦州村,lu'zhou'cun
罗坑,luo'keng
罗坑村,luo'keng'cun
马岭,ma'ling
马岭村,ma'ling'cun
马州,ma'zhou
马州村,ma'zhou'cun
美山,mei'shan
美山村,mei'shan'cun
梅市,mei'shi
梅市村,mei'shi'cun
梅市居委会,mei'shi'ju'wei'hui
木棉村,mu'mian'cun
南边村,nan'bian'cun
南靖,nan'jing
南靖县,nan'jing'xian
南坑,nan'keng
南坑村,nan'keng'cun
南门,nan'men
南门村,nan'men'cun
南书,nan'shu
南书村,nan'shu'cun
南苑村,nan'yuan'cun
内丁,nei'ding
内丁农场,nei'ding'nong'chang
内楼,nei'lou
内楼村,nei'lou'cun
内山尾,nei'shan'wei
内社,nei'she
内社村,nei'she'cun
内溪,nei'xi
内溪村,nei'xi'cun
内云,nei'yun
内云村,nei'yun'cun
潘厝,pan'cuo
培厝,pei'cuo
平和县,ping'he'xian
平宁,ping'ning
平宁村,ping'ning'cun
普边,pu'bian
普边村,pu'bian'cun
埔里,pu'li
埔里村,pu'li'cun
埔美山,pu'mei'shan
埔美山村,pu'mei'shan'cun
铺透,pu'tou
铺透村,pu'tou'cun
埔尾,pu'wei
埔尾村,pu'wei'cun
崎岎,qi'fen
崎岎村,qi'fen'cun
崎沟,qi'gou
崎沟村,qi'gou'cun
琪塘,qi'tang
琪塘村,qi'tang'cun
前厝,qian'cuo
前厝村,qian'cuo'cun
侨村,qiao'cun
侨村社区,qiao'cun'she'qu
桥口,qiao'kou
桥口社区,qiao'kou'she'qu
巧山,qiao'shan
巧山村,qiao'shan'cun
桥头村,qiao'tou'cun
侨兴街,qiao'xing'jie
侨兴街居委会,qiao'xing'jie'ju'wei'hui
清泉村,qing'quan'cun
青阳棚,qing'yang'peng
邱厝,qiu'cuo
邱厝村,qiu'cuo'cun
秋租,qiu'zu
秋租村,qiu'zu'cun
仁和村,ren'he'cun
人家村,ren'jia'cun
人民西,ren'min'xi
人民西社区,ren'min'xi'she'qu
沙坂,sha'ban
沙坂村,sha'ban'cun
沙坛,sha'tan
沙坛村,sha'tan'cun
沙州,sha'zhou
沙州村,sha'zhou'cun
山边,shan'bian
山边村,shan'bian'cun
山后,shan'hou
山后村,shan'hou'cun
山美,shan'mei
山美村,shan'mei'cun
山塘村,shan'tang'cun
上房村,shang'fang'cun
上寮,shang'liao
上寮村,shang'liao'cun
上坪,shang'ping
上坪村,shang'ping'cun
上午村,shang'wu'cun
上溪,shang'xi
上溪村,shang'xi'cun
上洋,shang'yang
上洋村,shang'yang'cun
上苑,shang'yuan
上苑村,shang'yuan'cun
社头,she'tou
社头村,she'tou'cun
深沃,shen'wo
深沃村,shen'wo'cun
省山,sheng'shan
省山村,sheng'shan'cun
石埠,shi'bu
石埠村,shi'bu'cun
石厝,shi'cuo
石厝村,shi'cuo'cun
世甲,shi'jia
世甲村,shi'jia'cun
石坑,shi'keng
石坑居委会,shi'keng'ju'wei'hui
石码,shi'ma
石码街道,shi'ma'jie'dao
石码镇,shi'ma'zhen
石美,shi'mei
石美村,shi'mei'cun
石美街,shi'mei'jie
石美街居委会,shi'mei'jie'ju'wei'hui
石牌,shi'pai
石牌村,shi'pai'cun
蔬菜村,shu'cai'cun
双第,shuang'di
双第华侨农场,shuang'di'hua'qiao'nong'chang
水浒村,shui'hu'cun
水头,shui'tou
水头村,shui'tou'cun
松岭,song'ling
松岭村,song'ling'cun
松浦,song'pu
松浦村,song'pu'cun
塔潭,ta'tan
塔潭村,ta'tan'cun
太江,tai'jiang
太江村,tai'jiang'cun
汤头村,tang'tou'cun
田边,tian'bian
田边村,tian'bian'cun
田厝,tian'cuo
田厝村,tian'cuo'cun
田里村,tian'li'cun
田墘,tian'qian
田墘村,tian'qian'cun
田头村,tian'tou'cun
田址,tian'zhi
田址村,tian'zhi'cun
田中央,tian'zhong'yang
田中央村,tian'zhong'yang'cun
亭头,ting'tou
团结居委会,tuan'jie'ju'wei'hui
文苑村,wen'yuan'cun
乌礁,wu'jiao
乌礁岛,wu'jiao'dao
梧浦,wu'pu
梧浦村,wu'pu'cun
浯屿,wu'yu
浯屿村,wu'yu'cun
吴宅,wu'zhai
吴宅村,wu'zhai'cun
溪坂,xi'ban
溪坂村,xi'ban'cun
溪北,xi'bei
溪北村,xi'bei'cun
西边村,xi'bian'cun
西凤,xi'feng
西凤村,xi'feng'cun
西井,xi'jing
西良,xi'liang
西良村,xi'liang'cun
西岭,xi'ling
西岭村,xi'ling'cun
溪墘,xi'qian
溪墘村,xi'qian'cun
溪山,xi'shan
溪山村,xi'shan'cun
溪头,xi'tou
溪头居委会,xi'tou'ju'wei'hui
溪霞,xi'xia
溪霞村,xi'xia'cun
溪州,xi'zhou
溪州村,xi'zhou'cun
下庵,xia'an
下庵村,xia'an'cun
下半林,xia'ban'lin
下半林村,xia'ban'lin'cun
下埭,xia'dai
下埭村,xia'dai'cun
下宫,xia'gong
下宫村,xia'gong'cun
霞郭,xia'guo
霞郭村,xia'guo'cun
下辽,xia'liao
下辽村,xia'liao'cun
下楼村,xia'lou'cun
下浦,xia'pu
下浦村,xia'pu'cun
下士村,xia'shi'cun
下田,xia'tian
下田村,xia'tian'cun
下尾,xia'wei
霞威,xia'wei
霞威村,xia'wei'cun
霞兴,xia'xing
霞兴村,xia'xing'cun
下叶,xia'ye
下叶村,xia'ye'cun
霞屿,xia'yu
霞屿村,xia'yu'cun
霞圳,xia'zhen
霞圳村,xia'zhen'cun
下庄,xia'zhuang
下庄村,xia'zhuang'cun
芗城,xiang'cheng
芗城区,xiang'cheng'qu
小梅溪,xiao'mei'xi
小梅溪村,xiao'mei'xi'cun
新春村,xin'chun'cun
新村,xin'cun
新村村,xin'cun'cun
新厝,xin'cuo
新厝村,xin'cuo'cun
新华社区,xin'hua'she'qu
新林,xin'lin
新林村,xin'lin'cun
新岭,xin'ling
新塘,xin'tang
新塘村,xin'tang'cun
新洋,xin'yang
新洋村,xin'yang'cun
许坂,xu'ban
巽玉,xun'yu
巽玉村,xun'yu'cun
颜厝,yan'cuo
颜厝村,yan'cuo'cun
颜厝镇,yan'cuo'zhen
衍后,yan'hou
衍后村,yan'hou'cun
杨厝,yang'cuo
杨厝村,yang'cuo'cun
洋奎,yang'kui
洋奎村,yang'kui'cun
洋坪,yang'ping
洋坪村,yang'ping'cun
洋西,yang'xi
洋西村,yang'xi'cun
叶仑,ye'lun
叶仑村,ye'lun'cun
玉江,yu'jiang
玉江村,yu'jiang'cun
雩林,yu'lin
雩林村,yu'lin'cun
屿上,yu'shang
屿上村,yu'shang'cun
渔业村,yu'ye'cun
渔业社区,yu'ye'she'qu
玉枕,yu'zhen
玉枕村,yu'zhen'cun
园仔头,yuan'zai'tou
园仔头村,yuan'zai'tou'cun
园中,yuan'zhong
园中村,yuan'zhong'cun
云霄县,yun'xiao'xian
宅前,zhai'qian
宅前村,zhai'qian'cun
漳浦,zhang'pu
漳浦县,zhang'pu'xian
漳州地区,zhang'zhou'di'qu
漳州府,zhang'zhou'fu
漳州市,zhang'zhou'shi
诏安,zhao'an
诏安县,zhao'an'xian
招商局漳州开发区,zhao'shang'ju'zhang'zhou'kai'fa'qu
镇海,zhen'hai
镇海村,zhen'hai'cun
珠浦,zhu'pu
珠浦村,zhu'pu'cun
庄林,zhuang'lin
庄林村,zhuang'lin'cun
卓港,zhuo'gang
卓港村,zhuo'gang'cun
卓崎,zhuo'qi
卓崎村,zhuo'qi'cun
紫光,zi'guang
紫光社区,zi'guang'she'qu
紫泥,zi'ni
紫泥村,zi'ni'cun
紫泥镇,zi'ni'zhen
紫云,zi'yun
紫云社区,zi'yun'she'qu
邹塘,zou'tang
邹塘村,zou'tang'cun
