暗花,an'hua
法灰漆,fa'hui'qi
法漆,fa'qi
法絮漆,fa'xu'qi
矾红漆,fan'hong'qi
凡立水,fan'li'shui
矾胎,fan'tai
仿古漆器,fang'gu'qi'qi
粉金,fen'jin
酚醛清漆,fen'quan'qing'qi
浮花,fu'hua
麸金,fu'jin
复色雕漆,fu'se'diao'qi
复饰,fu'shi
桴炭,fu'tan
麸银,fu'yin
改良广漆,gai'liang'guang'qi
钙塑胎,gai'su'tai
改性漆,gai'xing'qi
钙脂清漆,gai'zhi'qing'qi
干傅,gan'fu
干漆粉,gan'qi'fen
干漆造像,gan'qi'zao'xiang
干设色,gan'she'se
各敲,ge'qiao
勾刀金,gou'dao'jin
骨超,gu'chao
骨灰,gu'hui
古乐浪郡出土的汉代漆绘人物彩箧,gu'yue'lang'jun'chu'tu'de'han'dai'qi'hui'ren'wu'cai'qie
固着剂,gu'zhuo'ji
刮扳,gua'ban
刮灰,gua'hui
光地,guang'di
光明漆,guang'ming'qi
广漆,guang'qi
光油,guang'you
光泽色,guang'ze'se
裹衣,guo'yi
蛤灰,ha'hui
海潮花技法,hai'chao'hua'ji'fa
邗江出土的汉代九子漆奁,han'jiang'chu'tu'de'han'dai'jiu'zi'qi'lian
杭州出土的南宋漆碗,hang'zhou'chu'tu'de'nan'song'qi'wan
合成虫胶,he'cheng'chong'jiao
合成底灰,he'cheng'di'hui
合成树脂,he'cheng'shu'zhi
合缝,he'feng
河姆渡文化髹漆木碗,he'mu'du'wen'hua'xiu'qi'mu'wan
黑漆,hei'qi
黑推光漆,hei'tui'guang'qi
黑釉变技法,hei'you'bian'ji'fa
红宝砂技法,hong'bao'sha'ji'fa
红砂石,hong'sha'shi
红推光漆,hong'tui'guang'qi
厚料漆,hou'liao'qi
厚料色漆,hou'liao'se'qi
厚料髹涂,hou'liao'xiu'tu
厚漆,hou'qi
虎皮漆,hu'pi'qi
桦木漆,hua'mu'qi
淮安出土的北宋花瓣式圈足盘,huai'an'chu'tu'de'bei'song'hua'ban'shi'quan'zu'pan
槐点影技法,huai'dian'ying'ji'fa
黄明漆,huang'ming'qi
黄土岭出土的汉代描漆舞女巵,huang'tu'ling'chu'tu'de'han'dai'miao'qi'wu'nv'zhi
黄鱼胶,huang'yu'jiao
灰,hui
慧光塔藏北宋描金堆雕漆器,hui'guang'ta'zang'bei'song'miao'jin'dui'diao'qi'qi
灰漆,hui'qi
灰头,hui'tou
灰緎,hui'yu
混合色漆,hun'he'se'qi
混合熟油,hun'he'shu'you
鸡血石技法,ji'xue'shi'ji'fa
假洒金,jia'sa'jin
夹纾,jia'shu
夹纻,jia'zhu
夹纻胎,jia'zhu'tai
夹纻造像,jia'zhu'zao'xiang
江陵出土的汉代三鱼纹漆耳杯,jiang'ling'chu'tu'de'han'dai'san'yu'wen'qi'er'bei
江陵出土的秦代漆绘木梳篦,jiang'ling'chu'tu'de'qin'dai'qi'hui'mu'shu'bi
江陵出土的西汉针刻漆奁,jiang'ling'chu'tu'de'xi'han'zhen'ke'qi'lian
江陵出土的战国漆盒,jiang'ling'chu'tu'de'zhan'guo'qi'he
江陵汉代龟盾漆画,jiang'ling'han'dai'gui'dun'qi'hua
角抄,jiao'chao
胶料,jiao'liao
绞漆,jiao'qi
金箔,jin'bo
金地,jin'di
金粉,jin'fen
金胶,jin'jiao
金扣,jin'kou
金漆,jin'qi
金属腐蚀磨漆画,jin'shu'fu'shi'mo'qi'hua
金属铗子,jin'shu'jia'zi
金属胎,jin'shu'tai
金胎,jin'tai
金坛出土的南宋剔犀扇柄,jin'tan'chu'tu'de'nan'song'ti'xi'shan'bing
锦纹枪金地,jin'wen'qiang'jin'di
金叶,jin'ye
金银平脱,jin'yin'ping'tuo
金银文画漆器,jin'yin'wen'hua'qi'qi
净生漆,jing'sheng'qi
聚氨基甲酸脂清漆,ju'an'ji'jia'suan'zhi'qing'qi
聚氨酯改性透明大漆,ju'an'zhi'gai'xing'tou'ming'da'qi
聚酯清漆,ju'zhi'qing'qi
镌甸,juan'dian
棬榡,juan'su
揩光,kai'guang
揩光石,kai'guang'shi
开红,kai'hong
开墨,kai'mo
揩磨,kai'mo
开漆,kai'qi
揩漆工艺,kai'qi'gong'yi
开纹,kai'wen
坎螺,kan'luo
刻灰,ke'hui
刻模压胎堆漆,ke'mo'ya'tai'dui'qi
刻漆,ke'qi
刻丝花,ke'si'hua
刻丝填漆,ke'si'tian'qi
扣器,kou'qi
库路真,ku'lu'zhen
快干漆,kuai'gan'qi
款彩,kuan'cai
腊克,la'ke
老蚌,lao'bang
老山,lao'shan
立德粉,li'de'fen
砾砌技法,li'qi'ji'fa
连云港汉墓出土的嵌银磨显长方形漆,lian'yun'gang'han'mu'chu'tu'de'qian'yin'mo'xian'chang'fang'xing'qi
裂纹漆,lie'wen'qi
临沂出土的汉代漆绘石砚漆盒,lin'yi'chu'tu'de'han'dai'qi'hui'shi'yan'qi'he
临沂出土的汉代朱金彩绘漆盒,lin'yi'chu'tu'de'han'dai'zhu'jin'cai'hui'qi'he
柳斑技法,liu'ban'ji'fa
流丹技法,liu'dan'ji'fa
榴红技法,liu'hong'ji'fa
琉璃河出土的西周漆罍,liu'li'he'chu'tu'de'xi'zhou'qi'lei
笼罩漆,long'zhao'qi
镂染,lou'ran
卢葵生百宝嵌梅花纹琵琶,lu'kui'sheng'bai'bao'qian'mei'hua'wen'pi'pa
螺钿,luo'dian
螺甸技法,luo'dian'ji'fa
落枫技法,luo'feng'ji'fa
箩筛,luo'shai
螺填,luo'tian
罗纹地,luo'wen'di
洛阳出土的春秋漆饰竹编,luo'yang'chu'tu'de'chun'qiu'qi'shi'zhu'bian
洛阳出土的东周漆器盖,luo'yang'chu'tu'de'dong'zhou'qi'qi'gai
洛阳出土的战国漆绘车盖,luo'yang'chu'tu'de'zhan'guo'qi'hui'che'gai
绿宝砂技法,lv'bao'sha'ji'fa
绿沉漆,lv'chen'qi
滤漆,lv'qi
马鞍山出土的三国漆凭几,ma'an'shan'chu'tu'de'san'guo'qi'ping'ji
马鞍山出土的三国戗金盒盖,ma'an'shan'chu'tu'de'san'guo'qiang'jin'he'gai
马鞍山出土的三国犀皮黄口羽觞,ma'an'shan'chu'tu'de'san'guo'xi'pi'huang'kou'yu'shang
马鞍山三国漆槅,ma'an'shan'san'guo'qi'ge
马王堆出土的西汉油彩漆几,ma'wang'dui'chu'tu'de'xi'han'you'cai'qi'ji
鳗水,man'shui
毛坝漆,mao'ba'qi
毛家咀出土的西周漆杯,mao'jia'ju'chu'tu'de'xi'zhou'qi'bei
密陀彩绘,mi'tuo'cai'hui
密陀僧,mi'tuo'seng
密陀僧漆画,mi'tuo'seng'qi'hua
描绘漆笔,miao'hui'qi'bi
描金,miao'jin
描漆,miao'qi
描饰,miao'shi
描饰十五体,miao'shi'shi'wu'ti
描写,miao'xie
描油,miao'you
篾胎,mie'tai
篾胎水仙纹黑漆描金小碟,mie'tai'shui'xian'wen'hei'qi'miao'jin'xiao'die
明代八仙图八方捧盒,ming'dai'ba'xian'tu'ba'fang'peng'he
明代对镜图嵌螺钿黑漆盒,ming'dai'dui'jing'tu'qian'luo'dian'hei'qi'he
明代梵文缠枝莲纹圆盒,ming'dai'fan'wen'chan'zhi'lian'wen'yuan'he
明代凤纹长方盒,ming'dai'feng'wen'chang'fang'he
明代货郎图剔彩盘,ming'dai'huo'lang'tu'ti'cai'pan
明代葵花式剔犀盒,ming'dai'kui'hua'shi'ti'xi'he
明代林檎双鹂纹剔彩大捧盒,ming'dai'lin'qin'shuang'li'wen'ti'cai'da'peng'he
明代龙纹剔彩长方盒,ming'dai'long'wen'ti'cai'chang'fang'he
明代鹭鸶莲花纹嵌螺钿黑漆洗,ming'dai'lu'si'lian'hua'wen'qian'luo'dian'hei'qi'xi
明代描金彩漆大圆盒,ming'dai'miao'jin'cai'qi'da'yuan'he
明代嵌螺钿黑漆长方盘,ming'dai'qian'luo'dian'hei'qi'chang'fang'pan
明代嵌螺钿金银片云龙海水纹漆盒,ming'dai'qian'luo'dian'jin'yin'pian'yun'long'hai'shui'wen'qi'he
明代戗金细钩填漆攒犀地花卉纹盘,ming'dai'qiang'jin'xi'gou'tian'qi'cuan'xi'di'hua'hui'wen'pan
明代苏州金漆器,ming'dai'su'zhou'jin'qi'qi
明代剔红进狮图圆盒,ming'dai'ti'hong'jin'shi'tu'yuan'he
明代剔红牡丹孔雀大盘,ming'dai'ti'hong'mu'dan'kong'que'da'pan
明代剔黄笔管,ming'dai'ti'huang'bi'guan
明代剔黄大椅,ming'dai'ti'huang'da'yi
明代犀皮圆盒,ming'dai'xi'pi'yuan'he
明代云鹤纹戗金砚盒,ming'dai'yun'he'wen'qiang'jin'yan'he
明代云龙纹朱漆戗金长方箱,ming'dai'yun'long'wen'zhu'qi'qiang'jin'chang'fang'xiang
明代云南雕漆,ming'dai'yun'nan'diao'qi
明光漆,ming'guang'qi
明金,ming'jin
明金洒金,ming'jin'sa'jin
明漆,ming'qi
明油,ming'you
明斋,ming'zhai
末金缕,mo'jin'lv
墨漆,mo'qi
磨漆画,mo'qi'hua
磨漆嵌条,mo'qi'qian'tiao
磨炭,mo'tan
磨退,mo'tui
牡丹绞技法,mu'dan'jiao'ji'fa
牡丹涂,mu'dan'tu
木器涂料,mu'qi'tu'liao
木胎,mu'tai
木贼草,mu'zei'cao
耐热漆,nai're'qi
泥金,ni'jin
泥金画漆,ni'jin'hua'qi
泥银,ni'yin
腻子,ni'zi
牛皮胶,niu'pi'jiao
抛光,pao'guang
泡立水,pao'li'shui
喷漆,pen'qi
皮胎,pi'tai
片金,pian'jin
片银,pian'yin
平彩绘,ping'cai'hui
平花,ping'hua
平绘,ping'hui
平锦朱色,ping'jin'zhu'se
平磨螺钿,ping'mo'luo'dian
平脱,ping'tuo
萍映影技法,ping'ying'ying'ji'fa
漆,qi
漆彩漂变,qi'cai'piao'bian
漆层,qi'ceng
漆城,qi'cheng
漆店,qi'dian
漆耳杯,qi'er'bei
漆槅,qi'ge
漆工雕刀,qi'gong'diao'dao
漆刮,qi'gua
漆画,qi'hua
漆际,qi'ji
漆匠,qi'jiang
漆纚菱孔纹冠,qi'li'ling'kong'wen'guan
漆奁,qi'lian
漆料,qi'liao
漆料堆漆,qi'liao'dui'qi
绮罗技法,qi'luo'ji'fa
漆绿,qi'lv
漆墨,qi'mo
漆农,qi'nong
漆盘,qi'pan
漆偏,qi'pian
漆器,qi'qi
漆器铺,qi'qi'pu
漆商,qi'shang
漆饰,qi'shi
漆饰铜器,qi'shi'tong'qi
漆树,qi'shu
漆刷,qi'shua
绮纹刷丝,qi'wen'shua'si
绮纹填漆,qi'wen'tian'qi
漆下彩,qi'xia'cai
漆线雕塑,qi'xian'diao'su
漆用树脂,qi'yong'shu'zhi
漆油,qi'you
漆羽觞,qi'yu'shang
漆作,qi'zuo
嵌金银丝,qian'jin'yin'si
嵌金银丝漆器,qian'jin'yin'si'qi'qi
浅刻,qian'ke
嵌银,qian'yin
铅油,qian'you
枪,qiang
戗彩,qiang'cai
戗红,qiang'hong
枪划,qiang'hua
戗金,qiang'jin
枪金细钩描漆,qiang'jin'xi'gou'miao'qi
枪金细钩填漆,qiang'jin'xi'gou'tian'qi
戗银,qiang'yin
清初黑漆嵌螺钿描金盒,qing'chu'hei'qi'qian'luo'dian'miao'jin'he
清初花卉龙纹大箱,qing'chu'hua'hui'long'wen'da'xiang
清初婴戏图方箱,qing'chu'ying'xi'tu'fang'xiang
清代鹌鹑纹如意,qing'dai'an'chun'wen'ru'yi
清代百宝嵌岁朝图八方盒,qing'dai'bai'bao'qian'sui'chao'tu'ba'fang'he
清代百宝嵌洗象图长方盒,qing'dai'bai'bao'qian'xi'xiang'tu'chang'fang'he
清代斑文圆盒,qing'dai'ban'wen'yuan'he
清代彩漆流云纹鹌鹑笼,qing'dai'cai'qi'liu'yun'wen'an'chun'long
清代楚莲香梅花式碟,qing'dai'chu'lian'xiang'mei'hua'shi'die
清代荻浦网鱼图圆盒,qing'dai'di'pu'wang'yu'tu'yuan'he
清代瓜蝶纹葵花式大捧盒,qing'dai'gua'die'wen'kui'hua'shi'da'peng'he
清代观音坐像,qing'dai'guan'yin'zuo'xiang
清代花鸟纹填漆皮胎椭圆盒,qing'dai'hua'niao'wen'tian'qi'pi'tai'tuo'yuan'he
清代黄面犀皮大盒,qing'dai'huang'mian'xi'pi'da'he
清代夹纻罗汉像,qing'dai'jia'zhu'luo'han'xiang
清代蕉叶饕餮纹大瓶,qing'dai'jiao'ye'tao'tie'wen'da'ping
清代卷草纹嵌螺钿黑漆龛,qing'dai'juan'cao'wen'qian'luo'dian'hei'qi'kan
清代龙纹漆盒,qing'dai'long'wen'qi'he
清代嵌铜片黑漆长方箱,qing'dai'qian'tong'pian'hei'qi'chang'fang'xiang
清代戗金炕桌,qing'dai'qiang'jin'kang'zhuo
清代四龙戏珠纹帽盒,qing'dai'si'long'xi'zhu'wen'mao'he
清代剔彩百子晬盘,qing'dai'ti'cai'bai'zi'zui'pan
清代洗茧图嵌螺钿黑漆墨盒,qing'dai'xi'jian'tu'qian'luo'dian'hei'qi'mo'he
清代犀皮圆盒,qing'dai'xi'pi'yuan'he
清梵文缠枝莲纹三撞委角方盒,qing'fan'wen'chan'zhi'lian'wen'san'zhuang'wei'jiao'fang'he
清宫漆器,qing'gong'qi'qi
清钩,qing'gou
清喷漆,qing'pen'qi
清漆,qing'qi
清油,qing'you
人造漆,ren'zao'qi
溶剂,rong'ji
乳胶漆,ru'jiao'qi
入漆颜料,ru'qi'yan'liao
软螺钿,ruan'luo'dian
瑞光寺塔藏五代嵌螺钿经箱,rui'guang'si'ta'cang'wu'dai'qian'luo'dian'jing'xiang
洒金,sa'jin
洒金地,sa'jin'di
洒朱技法,sa'zhu'ji'fa
塞孔,sai'kong
扫笔,sao'bi
色漆,se'qi
沙洲出土的宋代包银竹胎漆碗,sha'zhou'chu'tu'de'song'dai'bao'yin'zhu'tai'qi'wan
砂子塘出土的西汉木槨墓外棺漆画,sha'zi'tang'chu'tu'de'xi'han'mu'guo'mu'wai'guan'qi'hua
闪光沉花,shan'guang'chen'hua
尚才署,shang'cai'shu
上金,shang'jin
梢当,shao'dang
韶粉,shao'fen
设色画漆,she'se'hua'qi
深刻,shen'ke
生漆,sheng'qi
生桐油,sheng'tong'you
石灰,shi'hui
石绿,shi'lv
湿漆,shi'qi
石青,shi'qing
湿设色,shi'she'se
识文,shi'wen
寿县出土的春秋漆皮残片,shou'xian'chu'tu'de'chun'qiu'qi'pi'can'pian
熟漆,shu'qi
熟漆油,shu'qi'you
熟桐油,shu'tong'you
熟油,shu'you
树脂清漆,shu'zhi'qing'qi
熟猪血,shu'zhu'xue
刷丝,shua'si
水粉漆,shui'fen'qi
水溶性漆,shui'rong'xing'qi
水砂纸,shui'sha'zhi
水稀释漆,shui'xi'shi'qi
水性填孔料,shui'xing'tian'kong'liao
水云纹技法,shui'yun'wen'ji'fa
撕缝钻生,si'feng'zuan'sheng
丝棉球,si'mian'qiu
丝网版刮漆印花,si'wang'ban'gua'qi'yin'hua
宋代剔黑婴戏图漆盘,song'dai'ti'hei'ying'xi'tu'qi'pan
宋代云龙剔红小盘,song'dai'yun'long'ti'hong'xiao'pan
松皮技法,song'pi'ji'fa
松香水,song'xiang'shui
碎珊瑚技法,sui'shan'hu'ji'fa
台花,tai'hua
台西出土的商代漆器,tai'xi'chu'tu'de'shang'dai'qi'qi
炭末,tan'mo
檀木技法,tan'mu'ji'fa
弹染,tan'ran
唐大圣遗音琴,tang'da'sheng'yi'yin'qin
唐代鉴真大师漆像,tang'dai'jian'zhen'da'shi'qi'xiang
唐代嵌金银平脱琴,tang'dai'qian'jin'yin'ping'tuo'qin
陶胎,tao'tai
藤胎,teng'tai
剔彩,ti'cai
剔黑,ti'hei
剔红,ti'hong
剔黄,ti'huang
剔绿,ti'lv
剔犀,ti'xi
体质颜料,ti'zhi'yan'liao
填彩漆,tian'cai'qi
天长出土的汉代彩绘鸭嘴柄盒,tian'chang'chu'tu'de'han'dai'cai'hui'ya'zui'bing'he
天长出土的汉代夹纻彩绘奁,tian'chang'chu'tu'de'han'dai'jia'zhu'cai'hui'lian
填漆,tian'qi
填嵌,tian'qian
天然漆,tian'ran'qi
天然树脂,tian'ran'shu'zhi
调和漆,tiao'he'qi
调漆油,tiao'qi'you
贴花,tie'hua
贴金,tie'jin
铁绣铜斑,tie'xiu'tong'ban
贴叶,tie'ye
铜扣,tong'kou
筒罗,tong'luo
铜丝胎,tong'si'tai
铜胎,tong'tai
桐油,tong'you
透里红技法,tou'li'hong'ji'fa
透明漆,tou'ming'qi
鍮胎,tou'tai
涂料,tu'liao
涂料分类,tu'liao'fen'lei
涂料稀释剂,tu'liao'xi'shi'ji
土子,tu'zi
抟换,tuan'huan
团漆皮,tuan'qi'pi
抟丸,tuan'wan
退光,tui'guang
推光,tui'guang
推光漆,tui'guang'qi
脱空像,tuo'kong'xiang
脱胎,tuo'tai
脱胎堆漆,tuo'tai'dui'qi
瓦灰,wa'hui
挖嵌,wa'qian
万历款缠枝莲纹大箱,wan'li'kuan'chan'zhi'lian'wen'da'xiang
丸漆,wan'qi
晚霞纹技法,wan'xia'wen'ji'fa
王盱墓漆画,wang'xu'mu'qi'hua
纹间,wen'jian
倭漆,wo'qi
芜湖堆漆画,wu'hu'dui'qi'hua
无机去漆剂,wu'ji'qu'qi'ji
吴江出土新石器时代的画漆陶器,wu'jiang'chu'tu'xin'shi'qi'shi'dai'de'hua'qi'tao'qi
武进出土的南宋戗金花卉人物奁,wu'jin'chu'tu'de'nan'song'qiang'jin'hua'hui'ren'wu'lian
武进出土的南宋山水花卉纹盒,wu'jin'chu'tu'de'nan'song'shan'shui'hua'hui'wen'he
细斑地,xi'ban'di
细钩纤皴,xi'gou'xian'cun
西皮,xi'pi
犀毗,xi'pi
犀皮,xi'pi
锡胎,xi'tai
陷蚌,xian'bang
陷地黄锦,xian'di'huang'jin
咸家湖出土的西汉十一子长方形漆奁,xian'jia'hu'chu'tu'de'xi'han'shi'yi'zi'chang'fang'xing'qi'lian
线金,xian'jin
藓苔纹技法,xian'tai'wen'ji'fa
线银,xian'yin
香蕉水,xiang'jiao'shui
橡皮印花,xiang'pi'yin'hua
襄样,xiang'yang
襄阳出土的鸟云纹圆漆奁,xiang'yang'chu'tu'de'niao'yun'wen'yuan'qi'lian
襄阳出土的西汉早期彩绘人物圆漆奁,xiang'yang'chu'tu'de'xi'han'zao'qi'cai'hui'ren'wu'yuan'qi'lian
硝化纤维磁漆,xiao'hua'xian'wei'ci'qi
硝化纤维清漆,xiao'hua'xian'wei'qing'qi
硝基木器清漆,xiao'ji'mu'qi'qing'qi
屑金,xie'jin
屑银,xie'yin
挟纻,xie'zhu
锌钡白,xin'bei'bai
兴化出土的西汉戗金巵,xing'hua'chu'tu'de'xi'han'qiang'jin'zhi
行像,xing'xiang
髹漆样板,xiu'qi'yang'ban
髹饰,xiu'shi
髹彤,xiu'tong
旭辉技法,xu'hui'ji'fa
旋绞纹技法,xuan'jiao'wen'ji'fa
压胎,ya'tai
颜料,yan'liao
研磨彩绘,yan'mo'cai'hui
颜色料,yan'se'liao
严生漆,yan'sheng'qi
岩苔纹技法,yan'tai'wen'ji'fa
洋干漆,yang'gan'qi
阳江漆,yang'jiang'qi
杨茂造款观瀑图剔红八方盘,yang'mao'zao'kuan'guan'pu'tu'ti'hong'ba'fang'pan
洋漆,yang'qi
阳识,yang'shi
扬州出土的汉代漆枕,yang'zhou'chu'tu'de'han'dai'qi'zhen
腰果漆,yao'guo'qi
腰果色漆,yao'guo'se'qi
窑胎,yao'tai
一色漆器,yi'se'qi'qi
银边皱技法,yin'bian'zhou'ji'fa
银箔料,yin'bo'liao
银箔罩漆,yin'bo'zhao'qi
银地,yin'di
银光漆,yin'guang'qi
隐花,yin'hua
印锦,yin'jin
银口黄耳,yin'kou'huang'er
引起料,yin'qi'liao
荫室,yin'shi
窨室,yin'shi
银胎,yin'tai
殷墟出土的商代朱漆镶嵌,yin'xu'chu'tu'de'shang'dai'zhu'qi'xiang'qian
银朱,yin'zhu
硬地花,ying'de'hua
硬灰头,ying'hui'tou
硬螺钿,ying'luo'dian
罂子桐油,ying'zi'tong'you
油光漆,you'guang'qi
油灰,you'hui
有机去漆剂,you'ji'qu'qi'ji
有机涂料,you'ji'tu'liao
油料,you'liao
油漆,you'qi
油漆种类,you'qi'zhong'lei
有色清漆,you'se'qing'qi
油饰,you'shi
油性清漆,you'xing'qing'qi
油性填孔料,you'xing'tian'kong'liao
油性调和漆,you'xing'tiao'he'qi
油质清漆,you'zhi'qing'qi
鱼鳔胶,yu'biao'jiao
玉珧,yu'yao
元代夹纻干漆遗像,yuan'dai'jia'zhu'gan'qi'yi'xiang
垸漆,yuan'qi
云雕,yun'diao
晕金,yun'jin
云梦出土的秦代漆扁壶,yun'meng'chu'tu'de'qin'dai'qi'bian'hu
云梦出土的秦代兽首凤尾漆勺,yun'meng'chu'tu'de'qin'dai'shou'shou'feng'wei'qi'shao
云纹技法,yun'wen'ji'fa
泽漆,ze'qi
揸花漆,zha'hua'qi
战国彩绘木雕小座屏,zhan'guo'cai'hui'mu'diao'xiao'zuo'ping
战国彩绘小瑟,zhan'guo'cai'hui'xiao'se
战国粉彩漆器,zhan'guo'fen'cai'qi'qi
战国夹纻贮漆器,zhan'guo'jia'zhu'zhu'qi'qi
战国卷木漆器,zhan'guo'juan'mu'qi'qi
张成造款栀子花纹剔红圆盘,zhang'cheng'zao'kuan'zhi'zi'hua'wen'ti'hong'yuan'pan
张成造剔犀盒,zhang'cheng'zao'ti'xi'he
彰髹,zhang'xiu
罩红,zhao'hong
罩黄髹,zhao'huang'xiu
罩金髹,zhao'jin'xiu
罩明,zhao'ming
罩漆,zhao'qi
罩色,zhao'se
罩朱髹,zhao'zhu'xiu
针刻,zhen'ke
酯胶清漆,zhi'jiao'qing'qi
纸刻印,zhi'ke'yin
重布胎,zhong'bu'tai
重色雕漆,zhong'se'diao'qi
中油清漆,zhong'you'qing'qi
帚笔,zhou'bi
皱纹漆,zhou'wen'qi
助剂,zhu'ji
朱砂釉变技法,zhu'sha'you'bian'ji'fa
朱盛技法,zhu'sheng'ji'fa
竹胎,zhu'tai
朱檀墓出土的明代沥粉贴金盝顶匣,zhu'tan'mu'chu'tu'de'ming'dai'li'fen'tie'jin'lu'ding'xia
朱檀墓出土的明代戗金盝顶箱,zhu'tan'mu'chu'tu'de'ming'dai'qiang'jin'lu'ding'xiang
朱檀墓出土明代云龙纹朱漆戗金箱,zhu'tan'mu'chu'tu'ming'dai'yun'long'wen'zhu'qi'qiang'jin'xiang
猪血封闭液,zhu'xue'feng'bi'ye
猪血老粉,zhu'xue'lao'fen
砖灰,zhuan'hui
锥画,zhui'hua
着色螺钿,zhuo'se'luo'dian
着色颜料,zhuo'se'yan'liao
紫顶纹技法,zi'ding'wen'ji'fa
紫螺甸砂技法,zi'luo'dian'sha'ji'fa
紫沙漆,zi'sha'qi
梓油,zi'you
