岸壁式码头,an'bi'shi'ma'tou
单舰训练,dan'jian'xun'lian
弹幕射击,dan'mu'she'ji
淡水,dan'shui
单艇,dan'ting
单艇攻击,dan'ting'gong'ji
导标,dao'biao
导弹,dao'dan
导弹攻击,dao'dan'gong'ji
导弹攻击雷达,dao'dan'gong'ji'lei'da
导弹潜艇部队,dao'dan'qian'ting'bu'dui
导弹艇,dao'dan'ting
导航,dao'hang
导航方法,dao'hang'fang'fa
导航雷达,dao'hang'lei'da
导航声纳,dao'hang'sheng'na
导航台,dao'hang'tai
岛礁,dao'jiao
岛礁区,dao'jiao'qu
道头,dao'tou
灯船,deng'chuan
灯光,deng'guang
灯光通信,deng'guang'tong'xin
登陆,deng'lu
登陆编队,deng'lu'bian'dui
登陆场,deng'lu'chang
登陆点,deng'lu'dian
登陆工具,deng'lu'gong'ju
登陆舰,deng'lu'jian
登陆输送队,deng'lu'shu'song'dui
登陆艇,deng'lu'ting
登陆作战,deng'lu'zuo'zhan
灯塔,deng'ta
灯桩,deng'zhuang
敌基地,di'ji'di
低空性能,di'kong'xing'neng
敌我识别器,di'wo'shi'bie'qi
电动鱼雷,dian'dong'yu'lei
殿后舰,dian'hou'jian
吊放式,diao'fang'shi
定深,ding'shen
动磁引信,dong'ci'yin'xin
动磁引信水雷,dong'ci'yin'xin'shui'lei
对海面观察,dui'hai'mian'guan'cha
对抗声纳,dui'kang'sheng'na
对空火力,dui'kong'huo'li
队列方位,dui'lie'fang'wei
队列角,dui'lie'jiao
对潜,dui'qian
对潜发信台,dui'qian'fa'xin'tai
对潜发信网,dui'qian'fa'xin'wang
对潜通信体系,dui'qian'tong'xin'ti'xi
对水下观察,dui'shui'xia'guan'cha
对运动舰船轰炸,dui'yun'dong'jian'chuan'hong'zha
吨位,dun'wei
多波束声纳,duo'bo'shu'sheng'na
多普勒声纳,duo'pu'le'sheng'na
发射阵位,fa'she'zhen'wei
发信台,fa'xin'tai
发信网,fa'xin'wang
反防潜,fan'fang'qian
帆缆,fan'lan
帆缆器材,fan'lan'qi'cai
反潜,fan'qian
反潜机,fan'qian'ji
反潜武器,fan'qian'wu'qi
反潜鱼雷,fan'qian'yu'lei
反潜战,fan'qian'zhan
反潜直升机,fan'qian'zhi'sheng'ji
反水雷,fan'shui'lei
反水雷斗争,fan'shui'lei'dou'zheng
防空部队,fang'kong'bu'dui
防雷,fang'lei
防雷观察,fang'lei'guan'cha
防潜,fang'qian
防潜封锁区,fang'qian'feng'suo'qu
防潜网,fang'qian'wang
防险,fang'xian
防险救生,fang'xian'jiu'sheng
防御布雷,fang'yu'bu'lei
非触发,fei'chu'fa
非触发水雷,fei'chu'fa'shui'lei
飞机布雷,fei'ji'bu'lei
飞机弹射器,fei'ji'dan'she'qi
飞机反潜,fei'ji'fan'qian
飞机攻潜,fei'ji'gong'qian
飞机海上救生,fei'ji'hai'shang'jiu'sheng
飞机升降机,fei'ji'sheng'jiang'ji
飞机搜索,fei'ji'sou'suo
肺气压伤,fei'qi'ya'shang
飞行甲板,fei'xing'jia'ban
分别航渡,fen'bie'hang'du
封锁区,feng'suo'qu
浮标,fu'biao
复合引信水雷,fu'he'yin'xin'shui'lei
副炮,fu'pao
浮式码头,fu'shi'ma'tou
浮筒,fu'tong
辅助舰船,fu'zhu'jian'chuan
感应次声水雷,gan'ying'ci'sheng'shui'lei
港口目标,gang'kou'mu'biao
港域,gang'yu
高低角,gao'di'jiao
跟踪射击,gen'zong'she'ji
公海,gong'hai
攻击出发阵位,gong'ji'chu'fa'zhen'wei
攻击声纳,gong'ji'sheng'na
攻潜,gong'qian
攻势,gong'shi
攻势水雷,gong'shi'shui'lei
工作频率,gong'zuo'pin'lv
工作深度,gong'zuo'shen'du
固定码头,gu'ding'ma'tou
固定式,gu'ding'shi
挂雷,gua'lei
挂弹,gua'tan
挂载,gua'zai
观察器材,guan'cha'qi'cai
观察任务,guan'cha'ren'wu
观察通信站,guan'cha'tong'xin'zhan
观通,guan'tong
观通分队,guan'tong'fen'dui
观通站,guan'tong'zhan
惯性导航,guan'xing'dao'hang
规避,gui'bi
国际信号,guo'ji'xin'hao
国际遇难求救信号,guo'ji'yu'nan'qiu'jiu'xin'hao
海岸,hai'an
海岸防御,hai'an'fang'yu
海岸炮,hai'an'pao
海岸声纳站,hai'an'sheng'na'zhan
海岸训练,hai'an'xun'lian
海道,hai'dao
海道测量,hai'dao'ce'liang
海底,hai'di
海底电缆,hai'di'dian'lan
海防前哨,hai'fang'qian'shao
海港,hai'gang
海港训练,hai'gang'xun'lian
海军,hai'jun
海军岸防兵,hai'jun'an'fang'bing
海军兵力,hai'jun'bing'li
海军帆缆,hai'jun'fan'lan
海军帆缆勤务,hai'jun'fan'lan'qin'wu
海军港湾,hai'jun'gang'wan
海军港湾勤务,hai'jun'gang'wan'qin'wu
海军航空兵,hai'jun'hang'kong'bing
海军轰炸机,hai'jun'hong'zha'ji
海军基地,hai'jun'ji'di
海军歼击轰炸机,hai'jun'jian'ji'hong'zha'ji
海军进攻作战,hai'jun'jin'gong'zuo'zhan
海军军事医学,hai'jun'jun'shi'yi'xue
海军陆战队,hai'jun'lu'zhan'dui
海军陆战队员,hai'jun'lu'zhan'dui'yuan
海军炮,hai'jun'pao
海军强击机,hai'jun'qiang'ji'ji
海军信号通信,hai'jun'xin'hao'tong'xin
海军医学,hai'jun'yi'xue
海军战术,hai'jun'zhan'shu
海军战役,hai'jun'zhan'yi
海军诸兵种,hai'jun'zhu'bing'zhong
海里,hai'li
海区,hai'qu
海区水文条件,hai'qu'shui'wen'tiao'jian
海区资料,hai'qu'zi'liao
海上,hai'shang
海上保障队,hai'shang'bao'zhang'dui
海上补给,hai'shang'bu'ji
海上待机点,hai'shang'dai'ji'dian
海上反封锁,hai'shang'fan'feng'suo
海上封锁,hai'shang'feng'suo
海上航行,hai'shang'hang'xing
海上会合点,hai'shang'hui'he'dian
海上会合区,hai'shang'hui'he'qu
海上活动目标,hai'shang'huo'dong'mu'biao
海上活动目标靶场,hai'shang'huo'dong'mu'biao'ba'chang
海上交通线,hai'shang'jiao'tong'xian
海上进攻战,hai'shang'jin'gong'zhan
海上警戒,hai'shang'jing'jie
海上救护,hai'shang'jiu'hu
海上救生,hai'shang'jiu'sheng
海上空域,hai'shang'kong'yu
海上破袭战,hai'shang'po'xi'zhan
海上起渡点,hai'shang'qi'du'dian
海上跳伞,hai'shang'tiao'san
海上突击,hai'shang'tu'ji
海上拖靶,hai'shang'tuo'ba
海上拖曳飞行,hai'shang'tuo'ye'fei'xing
海上袭击战,hai'shang'xi'ji'zhan
海上训练,hai'shang'xun'lian
海上巡逻,hai'shang'xun'luo
海上巡逻机,hai'shang'xun'luo'ji
海上掩护队,hai'shang'yan'hu'dui
海上运输线,hai'shang'yun'shu'xian
海上遭遇战,hai'shang'zao'yu'zhan
海上战区制空权,hai'shang'zhan'qu'zhi'kong'quan
海上战役,hai'shang'zhan'yi
海上侦察,hai'shang'zhen'cha
海上指挥所,hai'shang'zhi'hui'suo
海上专属经济区,hai'shang'zhuan'shu'jing'ji'qu
海水淡化,hai'shui'dan'hua
海水脱盐,hai'shui'tuo'yan
海图,hai'tu
海洋调查船,hai'yang'diao'cha'chuan
海战,hai'zhan
航标,hang'biao
航程,hang'cheng
航道,hang'dao
航渡,hang'du
航海,hang'hai
航海保障,hang'hai'bao'zhang
航海部门,hang'hai'bu'men
航海计划,hang'hai'ji'hua
航海日志,hang'hai'ri'zhi
航迹,hang'ji
航空兵登舰引导组,hang'kong'bing'deng'jian'yin'dao'zu
航空布雷,hang'kong'bu'lei
航空反潜,hang'kong'fan'qian
航空反潜鱼雷,hang'kong'fan'qian'yu'lei
航空攻潜,hang'kong'gong'qian
航空火箭,hang'kong'huo'jian
航空母舰,hang'kong'mu'jian
航空扫雷,hang'kong'sao'lei
航空深水炸弹,hang'kong'shen'shui'zha'dan
航空深弹,hang'kong'shen'tan
航空声纳,hang'kong'sheng'na
航空声纳浮标,hang'kong'sheng'na'fu'biao
航空水雷,hang'kong'shui'lei
航空搜潜,hang'kong'sou'qian
航空搜潜设备,hang'kong'sou'qian'she'bei
航空鱼雷,hang'kong'yu'lei
航母,hang'mu
航速,hang'su
航线,hang'xian
航向,hang'xiang
航行,hang'xing
航行队形,hang'xing'dui'xing
航行加油,hang'xing'jia'you
航行警戒,hang'xing'jing'jie
航行序列,hang'xing'xu'lie
航行障碍物,hang'xing'zhang'ai'wu
核动力,he'dong'li
合同攻击,he'tong'gong'ji
横倾,heng'qing
红外线观察,hong'wai'xian'guan'cha
红外仪,hong'wai'yi
轰炸航路,hong'zha'hang'lu
轰炸设备,hong'zha'she'bei
后舰桥,hou'jian'qiao
护板炮,hu'ban'pao
护航,hu'hang
护航运输队,hu'hang'yun'shu'dui
护卫舰,hu'wei'jian
护卫舰大队,hu'wei'jian'da'dui
护卫艇,hu'wei'ting
话务员,hua'wu'yuan
换乘,huan'cheng
换乘海域,huan'cheng'hai'yu
换乘区,huan'cheng'qu
回答器,hui'da'qi
会合点,hui'he'dian
会合区,hui'he'qu
火箭式,huo'jian'shi
火箭助飞鱼雷,huo'jian'zhu'fei'yu'lei
火力支援队,huo'li'zhi'yuan'dui
火力支援群,huo'li'zhi'yuan'qun
火炮,huo'pao
火炮射击指挥仪,huo'pao'she'ji'zhi'hui'yi
货运码头,huo'yun'ma'tou
极长波,ji'chang'bo
极长波通信,ji'chang'bo'tong'xin
基地防御,ji'di'fang'yu
基地防御通信,ji'di'fang'yu'tong'xin
机动编队,ji'dong'bian'dui
机动布雷,ji'dong'bu'lei
机关炮,ji'guan'pao
技术观察,ji'shu'guan'cha
极限深度,ji'xian'shen'du
机载声纳,ji'zai'sheng'na
集中突击,ji'zhong'tu'ji
基准舰,ji'zhun'jian
甲板,jia'ban
甲板室,jia'ban'shi
加压,jia'ya
加压治疗,jia'ya'zhi'liao
舰船地理坐标,jian'chuan'di'li'zuo'biao
舰船重量,jian'chuan'zhong'liang
舰队,jian'dui
舰级,jian'ji
舰舰导弹,jian'jian'dao'dan
舰空导弹,jian'kong'dao'dan
舰类,jian'lei
舰炮,jian'pao
舰炮攻击,jian'pao'gong'ji
舰潜导弹,jian'qian'dao'dan
舰桥,jian'qiao
舰艇,jian'ting
舰艇部队,jian'ting'bu'dui
舰艇部署,jian'ting'bu'shu
舰艇部署表,jian'ting'bu'shu'biao
舰艇大队,jian'ting'da'dui
舰艇队,jian'ting'dui
舰艇防疫,jian'ting'fang'yi
舰艇混合编成,jian'ting'hun'he'bian'cheng
舰艇火力支援队,jian'ting'huo'li'zhi'yuan'dui
舰艇基地,jian'ting'ji'di
舰艇上层建筑,jian'ting'shang'ceng'jian'zhu
舰艇速率,jian'ting'su'lv
舰艇支队,jian'ting'zhi'dui
舰位,jian'wei
舰型,jian'xing
减压病,jian'ya'bing
舰用,jian'yong
舰载机,jian'zai'ji
建制编队,jian'zhi'bian'dui
舰种,jian'zhong
舰中队,jian'zhong'dui
降落区,jiang'luo'qu
近程,jin'cheng
近程巡逻,jin'cheng'xun'luo
近海,jin'hai
静磁引信,jing'ci'yin'xin
静磁引信水雷,jing'ci'yin'xin'shui'lei
经济航速,jing'ji'hang'su
警戒幕,jing'jie'mu
警戒艇,jing'jie'ting
距变率,ju'bian'lv
军港,jun'gang
抗风抗风力,kang'feng'kang'feng'li
客运码头,ke'yun'ma'tou
空船排水量,kong'chuan'pai'shui'liang
空舰导弹,kong'jian'dao'dan
空空导弹,kong'kong'dao'dan
空潜鱼雷,kong'qian'yu'lei
控制艇,kong'zhi'ting
空中目标,kong'zhong'mu'biao
口径,kou'jing
拦阻射击,lan'zu'she'ji
拦阻索,lan'zu'suo
拦阻网,lan'zu'wang
捞雷,lao'lei
捞雷船,lao'lei'chuan
雷达导航,lei'da'dao'hang
雷达识别器,lei'da'shi'bie'qi
雷达侦察仪,lei'da'zhen'cha'yi
雷炮,lei'pao
雷炮阵地,lei'pao'zhen'di
雷区,lei'qu
连续突击,lian'xu'tu'ji
两栖攻击舰,liang'qi'gong'ji'jian
两栖作战,liang'qi'zuo'zhan
猎雷,lie'lei
猎雷艇,lie'lei'ting
猎潜,lie'qian
猎潜舰,lie'qian'jian
猎潜艇,lie'qian'ting
临时编队,lin'shi'bian'dui
领航员,ling'hang'yuan
码头,ma'tou
脉冲宽度,mai'chong'kuan'du
满灯,man'deng
满旗,man'qi
满载排水量,man'zai'pai'shui'liang
盲区,mang'qu
锚泊,mao'bo
锚泊加油,mao'bo'jia'you
锚地,mao'di
锚雷,mao'lei
瞄准角,miao'zhun'jiao
瞄准面倾斜角,miao'zhun'mian'qing'xie'jiao
瞄准面转动角,miao'zhun'mian'zhuan'dong'jiao
目标舰,mu'biao'jian
目标舰船线,mu'biao'jian'chuan'xian
目标坐标,mu'biao'zuo'biao
耐波,nai'bo
耐波力,nai'bo'li
内海,nei'hai
排水,pai'shui
排水量,pai'shui'liang
炮击岸上目标,pao'ji'an'shang'mu'biao
炮瞄雷达,pao'miao'lei'da
炮塔炮,pao'ta'pao
炮艇,pao'ting
漂雷,piao'lei
平台甲板,ping'tai'jia'ban
气垫船,qi'dian'chuan
起渡点,qi'du'dian
起飞区,qi'fei'qu
旗号,qi'hao
旗号通信,qi'hao'tong'xin
气象观测员,qi'xiang'guan'ce'yuan
齐转,qi'zhuan
前导舰,qian'dao'jian
前舰桥,qian'jian'qiao
潜水点,qian'shui'dian
潜水疾病,qian'shui'ji'bing
潜水员,qian'shui'yuan
潜水装具,qian'shui'zhuang'ju
潜艇,qian'ting
潜艇报告网,qian'ting'bao'gao'wang
潜艇部队,qian'ting'bu'dui
潜艇固壳,qian'ting'gu'ke
潜艇基地,qian'ting'ji'di
潜艇医学,qian'ting'yi'xue
潜望,qian'wang
潜望镜,qian'wang'jing
潜望深度,qian'wang'shen'du
潜坐,qian'zuo
潜坐海底,qian'zuo'hai'di
桥楼,qiao'lou
勤务舰船,qin'wu'jian'chuan
勤务舰船部队,qin'wu'jian'chuan'bu'dui
轻潜水,qing'qian'shui
轻型战斗舰艇部队,qing'xing'zhan'dou'jian'ting'bu'dui
区域游猎,qu'yu'you'lie
曲折运动,qu'zhe'yun'dong
驱逐舰,qu'zhu'jian
驱逐舰支队,qu'zhu'jian'zhi'dui
全浮式,quan'fu'shi
全浮式气垫船,quan'fu'shi'qi'dian'chuan
全速,quan'su
热动力鱼雷,re'dong'li'yu'lei
热光探测仪,re'guang'tan'ce'yi
软海,ruan'hai
三维声纳,san'wei'sheng'na
扫测,sao'ce
扫海,sao'hai
扫海测量,sao'hai'ce'liang
扫雷,sao'lei
扫雷舰,sao'lei'jian
扫雷舰艇队,sao'lei'jian'ting'dui
扫雷艇,sao'lei'ting
上甲板,shang'jia'ban
射程,she'cheng
射击方位,she'ji'fang'wei
射击距离,she'ji'ju'li
射击扇面,she'ji'shan'mian
射击诸元,she'ji'zhu'yuan
深水炸弹,shen'shui'zha'dan
深水炸弹攻击,shen'shui'zha'dan'gong'ji
深弹,shen'tan
声波磁性水雷,sheng'bo'ci'xing'shui'lei
声波水雷,sheng'bo'shui'lei
声纳,sheng'na
声纳浮标,sheng'na'fu'biao
声纳站,sheng'na'zhan
视觉观察,shi'jue'guan'cha
视觉通信,shi'jue'tong'xin
实施登陆,shi'shi'deng'lu
实习鱼雷,shi'xi'yu'lei
首楼,shou'lou
手旗,shou'qi
手旗通信,shou'qi'tong'xin
输送队,shu'song'dui
双平面自导鱼雷,shuang'ping'mian'zi'dao'yu'lei
水船,shui'chuan
水鼓,shui'gu
水警,shui'jing
水警区,shui'jing'qu
水雷,shui'lei
水雷战,shui'lei'zhan
水雷障碍,shui'lei'zhang'ai
水密,shui'mi
水面舰艇部队,shui'mian'jian'ting'bu'dui
水面目标,shui'mian'mu'biao
水面状态,shui'mian'zhuang'tai
水上飞机,shui'shang'fei'ji
水声,shui'sheng
水声对抗,shui'sheng'dui'kang
水声对抗器材,shui'sheng'dui'kang'qi'cai
水声观察,shui'sheng'guan'cha
水声通信,shui'sheng'tong'xin
水声站,shui'sheng'zhan
水声侦察仪,shui'sheng'zhen'cha'yi
水下电视,shui'xia'dian'shi
水下逗留时间,shui'xia'dou'liu'shi'jian
水下救生,shui'xia'jiu'sheng
水下目标,shui'xia'mu'biao
水下排水量,shui'xia'pai'shui'liang
水下抛锚,shui'xia'pao'mao
水下起锚,shui'xia'qi'mao
水下设施,shui'xia'she'shi
水下运行器,shui'xia'yun'xing'qi
水下状态,shui'xia'zhuang'tai
水下作业,shui'xia'zuo'ye
水压场,shui'ya'chang
水压水雷,shui'ya'shui'lei
水中兵器,shui'zhong'bing'qi
水中防潜障碍物,shui'zhong'fang'qian'zhang'ai'wu
顺岸式码头,shun'an'shi'ma'tou
搜索声纳,sou'suo'sheng'na
速浮,su'fu
速潜,su'qian
随伴,sui'ban
随伴护航,sui'ban'hu'hang
损管,sun'guan
损害管制,sun'hai'guan'zhi
探雷,tan'lei
探雷声纳,tan'lei'sheng'na
探潜器,tan'qian'qi
天文导航,tian'wen'dao'hang
天线转速,tian'xian'zhuan'su
跳帮,tiao'bang
艇波,ting'bo
停泊点,ting'bo'dian
停泊警戒,ting'bo'jing'jie
通气管,tong'qi'guan
通气管状态,tong'qi'guan'zhuang'tai
通信体系,tong'xin'ti'xi
投雷,tou'lei
投雷靶场,tou'lei'ba'chang
投雷航路,tou'lei'hang'lu
投雷航线,tou'lei'hang'xian
投雷要素,tou'lei'yao'su
投雷诸元,tou'lei'zhu'yuan
投射,tou'she
投射鱼雷,tou'she'yu'lei
突岸式码头,tu'an'shi'ma'tou
突击海域,tu'ji'hai'yu
突击基准兵力,tu'ji'ji'zhun'bing'li
突击基准时间,tu'ji'ji'zhun'shi'jian
突击目标,tu'ji'mu'biao
突击群,tu'ji'qun
突击顺序,tu'ji'shun'xu
拖靶,tuo'ba
拖船,tuo'chuan
拖曳飞行,tuo'ye'fei'xing
拖曳式,tuo'ye'shi
挖入式码头,wa'ru'shi'ma'tou
位变率,wei'bian'lv
桅杆,wei'gan
尾楼,wei'lou
卫生舰船,wei'sheng'jian'chuan
危险深度,wei'xian'shen'du
卫星导航,wei'xing'dao'hang
雾警,wu'jing
雾警设备,wu'jing'she'bei
无线电导航,wu'xian'dian'dao'hang
系船,xi'chuan
系船浮筒,xi'chuan'fu'tong
下潜,xia'qian
下潜点,xia'qian'dian
狭水道,xia'shui'dao
舷侧式,xian'ce'shi
线导,xian'dao
线导鱼雷,xian'dao'yu'lei
先敌开火,xian'di'kai'huo
先敌展开,xian'di'zhan'kai
舷号,xian'hao
舷角,xian'jiao
舷内式,xian'nei'shi
消磁,xiao'ci
小口径,xiao'kou'jing
消音,xiao'yin
斜距,xie'ju
信号台,xin'hao'tai
信号通信,xin'hao'tong'xin
形体信号,xing'ti'xin'hao
形体信号通信,xing'ti'xin'hao'tong'xin
修理舰,xiu'li'jian
修正航向,xiu'zheng'hang'xiang
续航力,xu'hang'li
学用鱼雷,xue'yong'yu'lei
巡航速度,xun'hang'su'du
训练海区,xun'lian'hai'qu
巡逻线,xun'luo'xian
询问器,xun'wen'qi
巡洋舰,xun'yang'jian
压制岸上目标,ya'zhi'an'shang'mu'biao
沿海战区,yan'hai'zhan'qu
沿海战区制空权,yan'hai'zhan'qu'zhi'kong'quan
掩护队,yan'hu'dui
遥控水雷,yao'kong'shui'lei
移动式,yi'dong'shi
医院船,yi'yuan'chuan
引导攻潜,yin'dao'gong'qian
引导截击,yin'dao'jie'ji
引导小组,yin'dao'xiao'zu
音响通信,yin'xiang'tong'xin
引信装定量,yin'xin'zhuang'ding'liang
油船,you'chuan
有利阵位,you'li'zhen'wei
右舷,you'xian
右舷角,you'xian'jiao
鱼贯转,yu'guan'zhuan
鱼雷,yu'lei
鱼雷攻击,yu'lei'gong'ji
鱼雷攻击雷达,yu'lei'gong'ji'lei'da
鱼雷潜艇部队,yu'lei'qian'ting'bu'dui
鱼雷提前量,yu'lei'ti'qian'liang
鱼雷艇,yu'lei'ting
预先展开,yu'xian'zhan'kai
语言通信,yu'yan'tong'xin
远程,yuan'cheng
远程巡逻,yuan'cheng'xun'luo
远海,yuan'hai
远航,yuan'hang
远航训练,yuan'hang'xun'lian
运动要素,yun'dong'yao'su
运输船,yun'shu'chuan
在航,zai'hang
在航率,zai'hang'lv
载运淡水,zai'yun'dan'shui
噪声声纳,zao'sheng'sheng'na
战斗队形,zhan'dou'dui'xing
战斗航路,zhan'dou'hang'lu
战斗号码,zhan'dou'hao'ma
战斗舰艇,zhan'dou'jian'ting
战斗舰艇部队,zhan'dou'jian'ting'bu'dui
战斗警戒,zhan'dou'jing'jie
战斗序列,zhan'dou'xu'lie
展开点,zhan'kai'dian
展开区,zhan'kai'qu
栈桥式码头,zhan'qiao'shi'ma'tou
战术群,zhan'shu'qun
战术展开,zhan'shu'zhan'kai
战位,zhan'wei
战位救护,zhan'wei'jiu'hu
战役展开,zhan'yi'zhan'kai
战用鱼雷,zhan'yong'yu'lei
侦察船,zhen'cha'chuan
侦察雷达,zhen'cha'lei'da
侦察声纳,zhen'cha'sheng'na
侦察艇,zhen'cha'ting
阵地伏击,zhen'di'fu'ji
真航向,zhen'hang'xiang
阵位,zhen'wei
正常浮起,zheng'chang'fu'qi
正常深度,zheng'chang'shen'du
指挥舰,zhi'hui'jian
指挥艇,zhi'hui'ting
中海,zhong'hai
中口径,zhong'kou'jing
重潜水,zhong'qian'shui
中小型炸弹,zhong'xiao'xing'zha'dan
中型战斗舰艇,zhong'xing'zhan'dou'jian'ting
重要海域,zhong'yao'hai'yu
重要航道,zhong'yao'hang'dao
主动式,zhu'dong'shi
主动式声纳,zhu'dong'shi'sheng'na
主炮,zhu'pao
主水柜,zhu'shui'gui
转向,zhuan'xiang
转向点,zhuan'xiang'dian
专业调查船,zhuan'ye'diao'cha'chuan
专用码头,zhuan'yong'ma'tou
追雷艇,zhui'lei'ting
自导鱼雷,zi'dao'yu'lei
自导装置,zi'dao'zhuang'zhi
自导装置工作时间,zi'dao'zhuang'zhi'gong'zuo'shi'jian
自动上浮跟踪水雷,zi'dong'shang'fu'gen'zong'shui'lei
自动上浮水雷,zi'dong'shang'fu'shui'lei
自给力,zi'ji'li
自主导航,zi'zhu'dao'hang
综合偏流角,zong'he'pian'liu'jiao
纵倾,zong'qing
阻浪堤,zu'lang'di
组长,zu'zhang
最大航程,zui'da'hang'cheng
最大航速,zui'da'hang'su
最大距离,zui'da'ju'li
左舷,zuo'xian
左舷角,zuo'xian'jiao
作战半径,zuo'zhan'ban'jing
作战海区,zuo'zhan'hai'qu
