褒义,bao'yi
后缀,hou'zhui
呼语,hu'yu
基本句型,ji'ben'ju'xing
集合名词,ji'he'ming'ci
基数词,ji'shu'ci
集体名词,ji'ti'ming'ci
及物动词,ji'wu'dong'ci
简单句,jian'dan'ju
简单谓语,jian'dan'wei'yu
间接宾语,jian'jie'bin'yu
间接引语,jian'jie'yin'yu
降调,jiang'diao
将来进行时,jiang'lai'jin'xing'shi
将来完成进行时,jiang'lai'wan'cheng'jin'xing'shi
将来完成时,jiang'lai'wan'cheng'shi
降升调,jiang'sheng'diao
介词,jie'ci
介词短语,jie'ci'duan'yu
结构,jie'gou
结果状语从句,jie'guo'zhuang'yu'cong'ju
静态动词,jing'tai'dong'ci
就近原则,jiu'jin'yuan'ze
局部否定,ju'bu'fou'ding
句法,ju'fa
句法关系,ju'fa'guan'xi
句号,ju'hao
具体名词,ju'ti'ming'ci
句型的转换,ju'xing'de'zhuan'huan
句子,ju'zi
句子成分,ju'zi'cheng'fen
句子分析,ju'zi'fen'xi
可数名词,ke'shu'ming'ci
肯定句,ken'ding'ju
口语,kou'yu
括号,kuo'hao
连词,lian'ci
连接副词,lian'jie'fu'ci
连接性副词,lian'jie'xing'fu'ci
连系动词,lian'xi'dong'ci
连字号,lian'zi'hao
冒号,mao'hao
美国英语,mei'guo'ying'yu
描绘性定语,miao'hui'xing'ding'yu
名词,ming'ci
名词从句,ming'ci'cong'ju
名词的分类,ming'ci'de'fen'lei
名词性物主代词,ming'ci'xing'wu'zhu'dai'ci
目的状语从句,mu'di'zhuang'yu'cong'ju
派生词,pai'sheng'ci
派生法,pai'sheng'fa
撇号,pie'hao
频度副词,pin'du'fu'ci
破折号,po'zhe'hao
普通格,pu'tong'ge
普通名词,pu'tong'ming'ci
祈使句,qi'shi'ju
祈使语气,qi'shi'yu'qi
前置修饰,qian'zhi'xiu'shi
前缀,qian'zhui
强调,qiang'diao
情态动词,qing'tai'dong'ci
全部倒装,quan'bu'dao'zhuang
全部否定,quan'bu'fou'ding
让步状语从句,rang'bu'zhuang'yu'cong'ju
人称,ren'cheng
人称代词,ren'cheng'dai'ci
升调,sheng'diao
省字号,sheng'zi'hao
实词,shi'ci
时间副词,shi'jian'fu'ci
时间状语从句,shi'jian'zhuang'yu'cong'ju
时态,shi'tai
时态的呼应,shi'tai'de'hu'ying
使役动词,shi'yi'dong'ci
实义动词,shi'yi'dong'ci
数词,shu'ci
双宾语,shuang'bin'yu
双重限制,shuang'chong'xian'zhi
所有格,suo'you'ge
所有格号,suo'you'ge'hao
套语,tao'yu
特殊疑问句,te'shu'yi'wen'ju
条件状语从句,tiao'jian'zhuang'yu'cong'ju
同位语,tong'wei'yu
同位语从句,tong'wei'yu'cong'ju
通性,tong'xing
同义词,tong'yi'ci
同源宾语,tong'yuan'bin'yu
挖苦,wa'ku
谓语,wei'yu
问号,wen'hao
文体,wen'ti
物质名词,wu'zhi'ming'ci
物主代词,wu'zhu'dai'ci
系动词,xi'dong'ci
限定动词,xian'ding'dong'ci
限定性定语,xian'ding'xing'ding'yu
现在分词,xian'zai'fen'ci
现在进行时,xian'zai'jin'xing'shi
现在完成进行时,xian'zai'wan'cheng'jin'xing'shi
现在完成时,xian'zai'wan'cheng'shi
现在形式,xian'zai'xing'shi
限制,xian'zhi
限制性定语从句,xian'zhi'xing'ding'yu'cong'ju
相互代词,xiang'hu'dai'ci
形容词,xing'rong'ci
形容词性物主代词,xing'rong'ci'xing'wu'zhu'dai'ci
形式,xing'shi
修辞疑问句,xiu'ci'yi'wen'ju
修饰,xiu'shi
修饰性副词,xiu'shi'xing'fu'ci
虚词,xu'ci
虚拟语气,xu'ni'yu'qi
序数词,xu'shu'ci
选择疑问句,xuan'ze'yi'wen'ju
阳性,yang'xing
一般过去时,yi'ban'guo'qu'shi
一般将来时,yi'ban'jiang'lai'shi
一般现在时,yi'ban'xian'zai'shi
一般疑问句,yi'ban'yi'wen'ju
疑问代词,yi'wen'dai'ci
疑问副词,yi'wen'fu'ci
疑问句,yi'wen'ju
一致,yi'zhi
引导词,yin'dao'ci
引号,yin'hao
阴性,yin'xing
英国英语,ying'guo'ying'yu
用法,yong'fa
幽默,you'mo
语调,yu'diao
语法,yu'fa
语法一致,yu'fa'yi'zhi
语气,yu'qi
语态,yu'tai
语序,yu'xu
语音,yu'yin
原级,yuan'ji
原形,yuan'xing
原因状语从句,yuan'yin'zhuang'yu'cong'ju
真实条件状语从句,zhen'shi'tiao'jian'zhuang'yu'cong'ju
正式文体,zheng'shi'wen'ti
直接宾语,zhi'jie'bin'yu
直接引语,zhi'jie'yin'yu
指示代词,zhi'shi'dai'ci
中性,zhong'xing
重音号,zhong'yin'hao
主补,zhu'bu
主动词,zhu'dong'ci
助动词,zhu'dong'ci
主动语态,zhu'dong'yu'tai
主格,zhu'ge
主句,zhu'ju
主谓一致,zhu'wei'yi'zhi
主语,zhu'yu
主语从句,zhu'yu'cong'ju
转化法,zhuan'hua'fa
转移否定,zhuan'yi'fou'ding
专有名词,zhuan'you'ming'ci
状语,zhuang'yu
状语从句,zhuang'yu'cong'ju
自然语序,zi'ran'yu'xu
自由间接引语,zi'you'jian'jie'yin'yu
自由直接引语,zi'you'zhi'jie'yin'yu
最高级,zui'gao'ji
