阿金立交桥,a'jin'li'jiao'qiao
儿童公园,er'tong'gong'yuan
发电厂,fa'dian'chang
房产监理处,fang'chan'jian'li'chu
方大液压气动成套公司,fang'da'ye'ya'qi'dong'cheng'tao'gong'si
纺织厂,fang'zhi'chang
封闭母线厂,feng'bi'mu'xian'chang
妇产医院,fu'chan'yi'yuan
福祥家园,fu'xiang'jia'yuan
阜新报社,fu'xin'bao'she
阜新车站,fu'xin'che'zhan
阜新火车站,fu'xin'huo'che'zhan
阜新市第二人民医院,fu'xin'shi'di'er'ren'min'yi'yuan
玍海西,ga'hai'xi
干休所,gan'xiu'suo
高德派出所,gao'de'pai'chu'suo
高德市场,gao'de'shi'chang
高德五小区,gao'de'wu'xiao'qu
高德西部,gao'de'xi'bu
高德小学,gao'de'xiao'xue
高德营子,gao'de'ying'zi
高林台,gao'lin'tai
高专,gao'zhuan
公安医院,gong'an'yi'yuan
公共汽车公司,gong'gong'qi'che'gong'si
公路中专,gong'lu'zhong'zhuan
供热公司,gong're'gong'si
工商局,gong'shang'ju
工商银行,gong'shang'yin'hang
工业街,gong'ye'jie
谷色谷香,gu'se'gu'xiang
广厦钢结构,guang'sha'gang'jie'gou
广厦小区,guang'sha'xiao'qu
国际会议中心,guo'ji'hui'yi'zhong'xin
国家矿山公园,guo'jia'kuang'shan'gong'yuan
郭家洼子,guo'jia'wa'zi
国税局,guo'shui'ju
国土资源局,guo'tu'zi'yuan'ju
果园,guo'yuan
海隆宾馆,hai'long'bin'guan
海泉酒业,hai'quan'jiu'ye
海鑫国际,hai'xin'guo'ji
海州分局,hai'zhou'fen'ju
海州高中,hai'zhou'gao'zhong
海州公墓,hai'zhou'gong'mu
海州街,hai'zhou'jie
海州矿,hai'zhou'kuang
海州矿挖掘厂,hai'zhou'kuang'wa'jue'chang
韩家店村,han'jia'dian'cun
韩家店村西,han'jia'dian'cun'xi
韩家店乡政府,han'jia'dian'xiang'zheng'fu
韩家店小学,han'jia'dian'xiao'xue
河东村,he'dong'cun
河东小学,he'dong'xiao'xue
河畔人家,he'pan'ren'jia
河西小桥,he'xi'xiao'qiao
黑土地油脂,hei'tu'di'you'zhi
恒泰集团,heng'tai'ji'tuan
宏路广告公司,hong'lu'guang'gao'gong'si
红玛瑙广场,hong'ma'nao'guang'chang
红旗小区,hong'qi'xiao'qu
红树广场,hong'shu'guang'chang
户部营子,hu'bu'ying'zi
华东镇,hua'dong'zhen
华丰集团,hua'feng'ji'tuan
化工厂,hua'gong'chang
华西,hua'xi
黄家沟村,huang'jia'gou'cun
黄家街,huang'jia'jie
惠南小区,hui'nan'xiao'qu
火车站,huo'che'zhan
货运站,huo'yun'zhan
计量小区,ji'liang'xiao'qu
技师学院,ji'shi'xue'yuan
加油站,jia'you'zhan
碱巴拉荒,jian'ba'la'huang
建材市场,jian'cai'shi'chang
建行大厦,jian'hang'da'sha
健源堂药房,jian'yuan'tang'yao'fang
交警支队,jiao'jing'zhi'dui
解放广场,jie'fang'guang'chang
解放小学,jie'fang'xiao'xue
街基,jie'ji
街心广场,jie'xin'guang'chang
金地花园,jin'di'hua'yuan
金地佳园,jin'di'jia'yuan
金盾摩托车行,jin'dun'mo'tuo'che'xing
金色花园,jin'se'hua'yuan
金色家园,jin'se'jia'yuan
晶体管厂,jing'ti'guan'chang
旧物市场,jiu'wu'shi'chang
九营子村,jiu'ying'zi'cun
九营子商店,jiu'ying'zi'shang'dian
军干休所,jun'gan'xiu'suo
开发区小学,kai'fa'qu'xiao'xue
康维大药房,kang'wei'da'yao'fang
矿工街,kuang'gong'jie
矿工招待所,kuang'gong'zhao'dai'suo
矿山公园,kuang'shan'gong'yuan
矿总院,kuang'zong'yuan
赖茅酒厂,lai'mao'jiu'chang
老干部局,lao'gan'bu'ju
劳务市场,lao'wu'shi'chang
丽华酒店,li'hua'jiu'dian
力劲集团,li'jin'ji'tuan
利民小区,li'min'xiao'qu
利民小学,li'min'xiao'xue
粮库,liang'ku
粮食局,liang'shi'ju
粮食局住宅,liang'shi'ju'zhu'zhai
辽工大,liao'gong'da
辽工大北校区,liao'gong'da'bei'xiao'qu
辽工大东区,liao'gong'da'dong'qu
辽工大公寓,liao'gong'da'gong'yu
辽工大住宅,liao'gong'da'zhu'zhai
六一一厂,liu'yi'yi'chang
龙馨家园,long'xin'jia'yuan
马家店大厦,ma'jia'dian'da'sha
玛瑙城,ma'nao'cheng
煤气泵房,mei'qi'beng'fang
煤气公司,mei'qi'gong'si
煤炭交易市场,mei'tan'jiao'yi'shi'chang
蒙古高中,meng'gu'gao'zhong
蒙古贞酒厂,meng'gu'zhen'jiu'chang
蒙古贞酒业,meng'gu'zhen'jiu'ye
孟记玛瑙厂,meng'ji'ma'nao'chang
蒙医研究所,meng'yi'yan'jiu'suo
棉麻公司,mian'ma'gong'si
苗圃,miao'pu
民安小区,min'an'xiao'qu
民兵桥,min'bing'qiao
民主村,min'zhu'cun
民主村道口,min'zhu'cun'dao'kou
民族街小学,min'zu'jie'xiao'xue
木材加工厂,mu'cai'jia'gong'chang
农机铸造厂,nong'ji'zhu'zao'chang
农业银行,nong'ye'yin'hang
女子医院,nv'zi'yi'yuan
啤酒厂,pi'jiu'chang
平安实业,ping'an'shi'ye
平安医院,ping'an'yi'yuan
平北小学,ping'bei'xiao'xue
苹果园小区,ping'guo'yuan'xiao'qu
平西圹小,ping'xi'kuang'xiao
平西市场,ping'xi'shi'chang
器材总库,qi'cai'zong'ku
汽贸小区,qi'mao'xiao'qu
前进路加油站,qian'jin'lu'jia'you'zhan
轻工机械,qing'gong'ji'xie
清真寺,qing'zhen'si
邱家店,qiu'jia'dian
热电厂,re'dian'chang
人才市场,ren'cai'shi'chang
人民大街北,ren'min'da'jie'bei
人民公园,ren'min'gong'yuan
人民桥,ren'min'qiao
人寿保险公司,ren'shou'bao'xian'gong'si
润达化妆品商行,run'da'hua'zhuang'pin'shang'hang
三沟酒业,san'gou'jiu'ye
三一八东门,san'yi'ba'dong'men
三一八公园,san'yi'ba'gong'yuan
桑港花园,sang'gang'hua'yuan
沙海村,sha'hai'cun
沙海管理委员会,sha'hai'guan'li'wei'yuan'hui
沙海管委会,sha'hai'guan'wei'hui
山北街,shan'bei'jie
商贸城,shang'mao'cheng
市北小桥,shi'bei'xiao'qiao
市北新村,shi'bei'xin'cun
市博物馆,shi'bo'wu'guan
市第二高中,shi'di'er'gao'zhong
市第七中学,shi'di'qi'zhong'xue
十二厂,shi'er'chang
市二医院,shi'er'yi'yuan
世纪花园,shi'ji'hua'yuan
市经委,shi'jing'wei
食品厂,shi'pin'chang
十三中学,shi'san'zhong'xue
市委,shi'wei
市委党校,shi'wei'dang'xiao
实验二部,shi'yan'er'bu
实验高中,shi'yan'gao'zhong
实验中学,shi'yan'zhong'xue
市一中,shi'yi'zhong
市政处,shi'zheng'chu
市政府,shi'zheng'fu
市中心医院,shi'zhong'xin'yi'yuan
蔬菜批发市场,shu'cai'pi'fa'shi'chang
蜀羊演绎,shu'yang'yan'yi
双汇公司,shuang'hui'gong'si
双汇集团,shuang'hui'ji'tuan
水产公司,shui'chan'gong'si
水泉村,shui'quan'cun
水泉供电所,shui'quan'gong'dian'suo
水泉税务所,shui'quan'shui'wu'suo
水泉小学,shui'quan'xiao'xue
水泉医院,shui'quan'yi'yuan
水泉镇政府,shui'quan'zhen'zheng'fu
顺鑫集团,shun'xin'ji'tuan
四合百货,si'he'bai'huo
四合一中,si'he'yi'zhong
四合镇小学,si'he'zhen'xiao'xue
四合镇政府,si'he'zhen'zheng'fu
四家子,si'jia'zi
四坑,si'keng
塔山公墓,ta'shan'gong'mu
塔子沟村,ta'zi'gou'cun
塔子沟山门,ta'zi'gou'shan'men
泰达公司,tai'da'gong'si
太平大药房,tai'ping'da'yao'fang
太平东街,tai'ping'dong'jie
太平东衔,tai'ping'dong'xian
太平交警,tai'ping'jiao'jing
太平区人民政府,tai'ping'qu'ren'min'zheng'fu
太平实小,tai'ping'shi'xiao
太平钟楼,tai'ping'zhong'lou
唐王铝塑公司,tang'wang'lv'su'gong'si
唐王铝塑集团,tang'wang'lv'su'ji'tuan
桃李园度假村,tao'li'yuan'du'jia'cun
体育场,ti'yu'chang
天隆公司,tian'long'gong'si
天厦水泥,tian'sha'shui'ni
铁锅厂,tie'guo'chang
铁路办事处,tie'lu'ban'shi'chu
铁路货物处,tie'lu'huo'wu'chu
铁路军代处,tie'lu'jun'dai'chu
铁路一小区,tie'lu'yi'xiao'qu
铁路医院,tie'lu'yi'yuan
铁路中学,tie'lu'zhong'xue
同安医院,tong'an'yi'yuan
童颜儿童摄影,tong'yan'er'tong'she'ying
图书馆,tu'shu'guan
王营矿,wang'ying'kuang
王营子,wang'ying'zi
卫生防疫站,wei'sheng'fang'yi'zhan
勿拉毛头,wu'la'mao'tou
五龙东街,wu'long'dong'jie
五龙矿,wu'long'kuang
五龙中街,wu'long'zhong'jie
五中,wu'zhong
细河交警大队,xi'he'jiao'jing'da'dui
细河区政府,xi'he'qu'zheng'fu
西华园,xi'hua'yuan
西华园小区,xi'hua'yuan'xiao'qu
西苗圃,xi'miao'pu
西瓦村,xi'wa'cun
西瓦村商店,xi'wa'cun'shang'dian
西瓦村委会,xi'wa'cun'wei'hui
西瓦村小学,xi'wa'cun'xiao'xue
县财政局,xian'cai'zheng'ju
现代厨房设备厂,xian'dai'chu'fang'she'bei'chang
县东门,xian'dong'men
县公路处,xian'gong'lu'chu
县农电局,xian'nong'dian'ju
县人民医院,xian'ren'min'yi'yuan
县西门,xian'xi'men
县长客,xian'zhang'ke
县政府,xian'zheng'fu
橡胶厂,xiang'jiao'chang
祥宇新华丽都,xiang'yu'xin'hua'li'dou
祥宇一品,xiang'yu'yi'pin
消防烧伤医院,xiao'fang'shao'shang'yi'yuan
鑫成加油站,xin'cheng'jia'you'zhan
新都四季城,xin'du'si'ji'cheng
新都四季城金齿科口腔门诊,xin'du'si'ji'cheng'jin'chi'ke'kou'qiang'men'zhen
新华丽都,xin'hua'li'du
新开,xin'kai
鑫林工贸,xin'lin'gong'mao
新玛特,xin'ma'te
新邱火车站,xin'qiu'huo'che'zhan
新秀街,xin'xiu'jie
兴达汽车修理厂,xing'da'qi'che'xiu'li'chang
星光宾馆,xing'guang'bin'guan
选煤厂,xuan'mei'chang
选煤厂住宅,xuan'mei'chang'zhu'zhai
雅威会馆,ya'wei'hui'guan
烟台营子,yan'tai'ying'zi
养路段,yang'lu'duan
夜压件厂,ye'ya'jian'chang
液压件厂,ye'ya'jian'chang
一坑,yi'keng
迎宾大街,ying'bin'da'jie
迎宾馆,ying'bin'guan
迎宾桥,ying'bin'qiao
英桥外语学校,ying'qiao'wai'yu'xue'xiao
玉龙公园,yu'long'gong'yuan
玉龙新城,yu'long'xin'cheng
元宝洼,yuan'bao'wa
园林处,yuan'lin'chu
圆梦园,yuan'meng'yuan
月亮湾广场,yue'liang'wan'guang'chang
越秀家园,yue'xiu'jia'yuan
运输部,yun'shu'bu
站东街,zhan'dong'jie
站前大厦,zhan'qian'da'sha
站前环卫所,zhan'qian'huan'wei'suo
站前小学,zhan'qian'xiao'xue
站前医院,zhan'qian'yi'yuan
战友玛瑙厂,zhan'you'ma'nao'chang
振隆公司,zhen'long'gong'si
正邦修造厂,zheng'bang'xiu'zao'chang
正骨医院,zheng'gu'yi'yuan
制药厂,zhi'yao'chang
中部电影院,zhong'bu'dian'ying'yuan
中部粮站,zhong'bu'liang'zhan
中诚快递公司,zhong'cheng'kuai'di'gong'si
中华路加油站,zhong'hua'lu'jia'you'zhan
中林酒店,zhong'lin'jiu'dian
中心医院,zhong'xin'yi'yuan
中药厂,zhong'yao'chang
中医药研究所,zhong'yi'yao'yan'jiu'suo
中医院,zhong'yi'yuan
紫荆园,zi'jing'yuan
总机厂,zong'ji'chang
