艾官,ai'guan
程高本,cheng'gao'ben
程甲本,cheng'jia'ben
程日兴,cheng'ri'xing
程伟元,cheng'wei'yuan
程乙本,cheng'yi'ben
痴公子杜撰芙蓉诔,chi'gong'zi'du'zhuan'fu'rong'lei
痴公子余痛触前情,chi'gong'zi'yu'tong'chu'qian'qing
痴男怨女,chi'nan'yuan'nv
痴女儿遗帕惹相思,chi'nv'er'yi'pa're'xiang'si
痴情女情重愈斟情,chi'qing'nv'qing'zhong'yu'zhen'qing
赤瑕宫,chi'xia'gong
痴丫头误拾绣春囊,chi'ya'tou'wu'shi'xiu'chun'nang
敕造,chi'zao
敕造宁国府,chi'zao'ning'guo'fu
敕造荣国府,chi'zao'rong'guo'fu
锄药,chu'yao
川宁侯,chuan'ning'hou
春流到夏,chun'liu'dao'xia
春纤,chun'xian
慈姨妈爱语慰痴颦,ci'yi'ma'ai'yu'wei'chi'pin
骢马使弹劾平安州,cong'ma'shi'tan'he'ping'an'zhou
聪明累,cong'ming'lei
粗绢箩,cu'juan'luo
攒盒,cuan'he
翠缕,cui'lv
翠墨,cui'mo
翠云,cui'yun
翠嶂,cui'zhang
村姥姥是信口开合,cun'lao'lao'shi'xin'kou'kai'he
错里错以错劝哥哥,cuo'li'cuo'yi'cuo'quan'ge'ge
大赤飞金,da'chi'fei'jin
大观园,da'guan'yuan
大观园符水驱妖孽,da'guan'yuan'fu'shui'qu'yao'nie
大观园试才题对额,da'guan'yuan'shi'cai'ti'dui'e
大观园月夜感幽魂,da'guan'yuan'yue'ye'gan'you'hun
大荒山,da'huang'shan
大南蟹爪,da'nan'xie'zhua
大色空,da'se'kong
大著色,da'zhu'se
呆霸王,dai'ba'wang
呆霸王调情遭苦打,dai'ba'wang'tiao'qing'zao'ku'da
戴权,dai'quan
待书,dai'shu
呆香菱情解石榴裙,dai'xiang'ling'qing'jie'shi'liu'qun
黛玉,dai'yu
黛玉葬花,dai'yu'zang'hua
担笔,dan'bi
丹椒,dan'jiao
单聘仁,dan'pin'ren
稻香村,dao'xiang'cun
稻香老农,dao'xiang'lao'nong
得通灵幻境悟仙缘,de'tong'ling'huan'jing'wu'xian'yuan
灯姑娘,deng'gu'niang
邓好时,deng'hao'shi
滴翠亭杨妃戏彩蝶,di'cui'ting'yang'fei'xi'cai'die
菂官,di'guan
靛儿,dian'er
丁郎认父,ding'lang'ren'fu
顶细绢箩,ding'xi'juan'luo
东安郡王,dong'an'jun'wang
东府,dong'fu
东平王,dong'ping'wang
荳官,dou'guan
豆官,dou'guan
杜若蘅芜,du'ruo'heng'wu
堆山塞海,dui'shan'sai'hai
多姑娘,duo'gu'niang
多浑虫,duo'hun'chong
二木头,er'mu'tou
方椿,fang'chun
芳官,fang'guan
翡翠,fei'cui
粉正香,fen'zheng'xiang
丰儿,feng'er
凤姐,feng'jie
凤辣子,feng'la'zi
风连,feng'lian
风炉,feng'lu
封氏,feng'shi
封肃,feng'su
奉严词两番入家塾,feng'yan'ci'liang'fan'ru'jia'shu
蜂腰桥设言传心事,feng'yao'qiao'she'yan'chuan'xin'shi
风雨夕闷制风雨词,feng'yu'xi'men'zhi'feng'yu'ci
冯渊,feng'yuan
风月宝鉴,feng'yue'bao'jian
凤藻宫,feng'zao'gong
富贵闲人,fu'gui'xian'ren
扶留,fu'liu
芙蓉诔,fu'rong'lei
复世职政老沐天恩,fu'shi'zhi'zheng'lao'mu'tian'en
浮炭,fu'tan
尴尬人难免尴尬事,gan'ga'ren'nan'mian'gan'ga'shi
感深秋抚琴悲往事,gan'shen'qiu'fu'qin'bei'wang'shi
高鹗,gao'e
蛤粉,ge'fen
隔珠帘父女勉忠勤,ge'zhu'lian'fu'nv'mian'zhong'qin
庚辰本,geng'chen'ben
狗儿,gou'er
狗彘奴欺天招伙盗,gou'zhi'nu'qi'tian'zhao'huo'dao
广匀胶,guang'yun'jiao
姽婳词,gui'hua'ci
鬼脸青,gui'lian'qing
癸酉本,gui'you'ben
还孽债迎女返真元,hai'nie'zhai'ying'nv'fan'zhen'yuan
海棠春睡图,hai'tang'chun'shui'tu
含耻辱情烈死金钏,han'chi'ru'qing'lie'si'jin'chuan
汗巾子,han'jin'zi
憨湘云醉眠芍药茵,han'xiang'yun'zui'mian'shao'yao'yin
好了歌,hao'le'ge
何婆,he'po
蘅芜君,heng'wu'jun
蘅芜君兰言解疑癖,heng'wu'jun'lan'yan'jie'yi'pi
蘅芜苑,heng'wu'yuan
蘅芜院,heng'wu'yuan
衡芜苑,heng'wu'yuan
蘅芜苑夜拟菊花题,heng'wu'yuan'ye'ni'ju'hua'ti
蘅芷清芬,heng'zhi'qing'fen
红楼梦通灵遇双真,hong'lou'meng'tong'ling'yu'shuang'zhen
红麝串,hong'she'chuan
红香圃,hong'xiang'pu
红玉,hong'yu
候芳魂五儿承错爱,hou'fang'hun'wu'er'cheng'cuo'ai
胡道长,hu'dao'zhang
护官符,hu'guan'fu
胡君荣,hu'jun'rong
葫芦庙,hu'lu'miao
葫芦僧,hu'lu'seng
葫芦僧乱判葫芦案,hu'lu'seng'luan'pan'hu'lu'an
琥珀,hu'po
胡氏,hu'shi
胡太医,hu'tai'yi
胡庸医,hu'yong'yi
胡庸医乱用虎狼药,hu'yong'yi'luan'yong'hu'lang'yao
花姐姐,hua'jie'jie
花母,hua'mu
花袭人,hua'xi'ren
花溆,hua'xu
花自芳,hua'zi'fang
怀金悼玉,huai'jin'dao'yu
鬟婢开口,huan'bi'kai'kou
璜大奶奶,huang'da'nai'nai
潢海,huang'hai
黄金莺巧结梅花络,huang'jin'ying'qiao'jie'mei'hua'luo
璜嫂子,huang'sao'zi
黄莺儿,huang'ying'er
灰待者,hui'dai'zhe
会芳园,hui'fang'yuan
回前批,hui'qian'pi
惠泉酒,hui'quan'jiu
慧紫鹃情辞试忙玉,hui'zi'juan'qing'ci'shi'mang'yu
惑奸谗抄检大观园,huo'jian'chan'chao'jian'da'guan'yuan
藿蒳姜荨,huo'na'jiang'qian
惑偏私惜春矢素志,huo'pian'si'xi'chun'shi'su'zhi
霍启,huo'qi
活冤孽妙尼遭大劫,huo'yuan'nie'miao'ni'zao'da'jie
肌骨莹润,ji'gu'ying'run
机关算尽太聪明,ji'guan'suan'jin'tai'cong'ming
畸笏叟,ji'hu'sou
己卯本,ji'mao'ben
记微嫌舅兄欺弱女,ji'wei'xian'jiu'xiong'qi'ruo'nv
寄闲情淑女解琴书,ji'xian'qing'shu'nv'jie'qin'shu
寄言蜂蝶漫疑猜,ji'yan'feng'die'man'yi'cai
寄言世俗休轻鄙,ji'yan'shi'su'xiu'qing'bi
寄言纨袴与膏粱,ji'yan'wan'ku'yu'gao'liang
贾宝玉,jia'bao'yu
贾宝玉逞醉绛芸轩,jia'bao'yu'cheng'zui'jiang'yun'xuan
贾宝玉初会秦鲸卿,jia'bao'yu'chu'hui'qin'jing'qing
贾宝玉初试云雨情,jia'bao'yu'chu'shi'yun'yu'qing
贾宝玉大醉绛芸轩,jia'bao'yu'da'zui'jiang'yun'xuan
贾宝玉机敏动诸宾,jia'bao'yu'ji'min'dong'zhu'bin
贾宝玉路谒北静王,jia'bao'yu'lu'ye'bei'jing'wang
贾宝玉品茶栊翠庵,jia'bao'yu'pin'cha'long'cui'an
贾宝玉奇缘识金锁,jia'bao'yu'qi'yuan'shi'jin'suo
贾宝玉神游太虚境,jia'bao'yu'shen'you'tai'xu'jing
贾不假,jia'bu'jia
贾菖,jia'chang
贾琛,jia'chen
甲辰本,jia'chen'ben
贾敕,jia'chi
贾琮,jia'cong
贾存周,jia'cun'zhou
贾存周报升郎中任,jia'cun'zhou'bao'sheng'lang'zhong'ren
贾代化,jia'dai'hua
贾代儒,jia'dai'ru
贾代善,jia'dai'shan
贾代修,jia'dai'xiu
贾敦,jia'dun
贾恩侯,jia'en'hou
贾二舍偷娶尤二姨,jia'er'she'tou'qu'you'er'yi
贾法,jia'fa
贾范,jia'fan
贾芳,jia'fang
贾芬,jia'fen
贾复,jia'fu
贾敷,jia'fu
贾夫人仙逝扬州城,jia'fu'ren'xian'shi'yang'zhou'cheng
贾珖,jia'guang
贾珩,jia'heng
贾瑚,jia'hu
贾化,jia'hua
贾环,jia'huan
贾璜,jia'huang
佳蕙,jia'hui
贾敬,jia'jing
贾菌,jia'jun
贾兰,jia'lan
贾蓝,jia'lan
贾琏,jia'lian
贾璘,jia'lin
贾菱,jia'ling
贾敏,jia'min
贾母,jia'mu
贾萍,jia'ping
贾婆,jia'po
贾蔷,jia'qiang
贾巧姐,jia'qiao'jie
贾芹,jia'qin
贾琼,jia'qiong
贾琼之母,jia'qiong'zhi'mu
贾蓉,jia'rong
贾蓉媳妇,jia'rong'xi'fu
贾蓉之妻,jia'rong'zhi'qi
贾瑞,jia'rui
贾赦,jia'she
贾时飞,jia'shi'fei
贾四姐儿,jia'si'jie'er
贾太君祷天消祸患,jia'tai'jun'dao'tian'xiao'huo'huan
贾探春,jia'tan'chun
贾天祥,jia'tian'xiang
贾天祥正照风月鉴,jia'tian'xiang'zheng'zhao'feng'yue'jian
贾王扁,jia'wang'bian
贾惜春,jia'xi'chun
贾喜鸾,jia'xi'luan
贾效,jia'xiao
贾荇,jia'xing
甲戌本,jia'xu'ben
贾演,jia'yan
贾茵,jia'yin
嘉荫堂,jia'yin'tang
贾璎,jia'ying
贾迎春,jia'ying'chun
贾迎春误嫁中山狼,jia'ying'chun'wu'jia'zhong'shan'lang
贾雨村,jia'yu'cun
贾雨村风尘怀闺秀,jia'yu'cun'feng'chen'huai'gui'xiu
贾雨村归结红楼梦,jia'yu'cun'gui'jie'hong'lou'meng
贾雨村夤缘复旧职,jia'yu'cun'yin'yuan'fu'jiu'zhi
贾源,jia'yuan
贾元春,jia'yuan'chun
贾元春才选凤藻宫,jia'yuan'chun'cai'xuan'feng'zao'gong
贾芸,jia'yun
贾藻,jia'zao
贾珍,jia'zhen
贾蓁,jia'zhen
贾政,jia'zheng
贾芝,jia'zhi
贾珠,jia'zhu
假作真时真亦假,jia'zuo'zhen'shi'zhen'yi'jia
见土仪颦卿思故里,jian'tu'yi'pin'qing'si'gu'li
见熙凤贾瑞起淫心,jian'xi'feng'jia'rui'qi'yin'xin
蒋玉菡,jiang'yu'han
蒋玉菡情赠茜香罗,jiang'yu'han'qing'zeng'qian'xiang'luo
绛云轩,jiang'yun'xuan
绛云轩里召将飞符,jiang'yun'xuan'li'zhao'jiang'fei'fu
绛珠草,jiang'zhu'cao
绛珠仙草,jiang'zhu'xian'cao
绛珠仙子,jiang'zhu'xian'zi
焦大,jiao'da
胶矾,jiao'fan
蕉下客,jiao'xia'ke
娇杏,jiao'xing
教引嬷嬷,jiao'yin'mo'mo
嚼用,jiao'yong
金钏,jin'chuan
金钏儿,jin'chuan'er
金簦草,jin'deng'cao
锦珐琅杯,jin'fa'lang'bei
金寡妇贪利权受辱,jin'gua'fu'tan'li'quan'shou'ru
金魁星,jin'kui'xing
金兰契互剖金兰语,jin'lan'qi'hu'pou'jin'lan'yu
金陵,jin'ling
金陵十二钗,jin'ling'shi'er'chai
金陵十二钗副册,jin'ling'shi'er'chai'fu'ce
金陵十二钗又副册,jin'ling'shi'er'chai'you'fu'ce
金陵十二钗正册,jin'ling'shi'er'chai'zheng'ce
锦褥,jin'ru
金文翔,jin'wen'xiang
锦衣军查抄宁国府,jin'yi'jun'cha'chao'ning'guo'fu
金银锞,jin'yin'ke
金玉良缘,jin'yu'liang'yuan
金鸳鸯,jin'yuan'yang
金鸳鸯三宣牙牌令,jin'yuan'yang'san'xuan'ya'pai'ling
靖藏本,jing'cang'ben
净矾,jing'fan
警幻仙姑,jing'huan'xian'gu
惊谜语妻妾谏痴人,jing'mi'yu'qi'qie'jian'chi'ren
净虚,jing'xu
九龙珮,jiu'long'pei
觉大限吞生金自逝,jue'da'xian'tun'sheng'jin'zi'shi
开夜宴异兆发悲音,kai'ye'yan'yi'zhao'fa'bei'yin
可卿,ke'qing
空空道人,kong'kong'dao'ren
苦海慈航,ku'hai'ci'hang
苦绛珠魂归离恨天,ku'jiang'zhu'hun'gui'li'hen'tian
苦尤娘赚入大观园,ku'you'niang'zhuan'ru'da'guan'yuan
葵官,kui'guan
蜡油冻,la'you'dong
赖大,lai'da
赖大家的,lai'da'jia'de
赖二,lai'er
赖二家的,lai'er'jia'de
赖嬷嬷,lai'mo'mo
赖尚荣,lai'shang'rong
来升,lai'sheng
赖升,lai'sheng
癞头和尚,lai'tou'he'shang
来旺,lai'wang
来旺妇倚势霸成亲,lai'wang'fu'yi'shi'ba'cheng'qin
滥情人情误思游艺,lan'qing'ren'qing'wu'si'you'yi
浪荡子情遗九龙佩,lang'dang'zi'qing'yi'jiu'long'pei
老学究讲义警顽心,lao'xue'jiu'jiang'yi'jing'wan'xin
老学士闲征诡画词,lao'xue'shi'xian'zheng'gui'hua'ci
缧丝,lei'si
冷二郎一冷入空门,leng'er'lang'yi'leng'ru'kong'men
冷郎君惧祸走他乡,leng'lang'jun'ju'huo'zou'ta'xiang
冷香丸,leng'xiang'wan
冷子兴,leng'zi'xing
冷子兴演说荣国府,leng'zi'xing'yan'shuo'rong'guo'fu
李贵,li'gui
理国公柳彪,li'guo'gong'liu'biao
离恨天,li'hen'tian
黧鸡,li'ji
李嬷嬷,li'mo'mo
李奶奶,li'nai'nai
李绮,li'qi
李十儿,li'shi'er
李纨,li'wan
李纹,li'wen
梨香院,li'xiang'yuan
琏二爷,lian'er'ye
恋风流情友入家塾,lian'feng'liu'qing'you'ru'jia'shu
莲花儿,lian'hua'er
炼石补天,lian'shi'bu'tian
蓼风轩,liao'feng'xuan
蓼汀花溆,liao'ting'hua'xu
林黛玉,lin'dai'yu
林黛玉重建桃花社,lin'dai'yu'chong'jian'tao'hua'she
林黛玉焚稿断痴情,lin'dai'yu'fen'gao'duan'chi'qing
林黛玉抛父进京都,lin'dai'yu'pao'fu'jin'jing'dou
林黛玉俏语谑娇音,lin'dai'yu'qiao'yu'xue'jiao'yin
林红玉,lin'hong'yu
林如海,lin'ru'hai
林如海捐馆扬州城,lin'ru'hai'juan'guan'yang'zhou'cheng
林潇湘魁夺菊花诗,lin'xiao'xiang'kui'duo'ju'hua'shi
林之孝,lin'zhi'xiao
林之孝家的,lin'zhi'xiao'jia'de
龄官,ling'guan
龄官划蔷痴及局外,ling'guan'hua'qiang'chi'ji'ju'wai
菱洲,ling'zhou
刘二当衣,liu'er'dang'yi
刘姥姥,liu'lao'lao
刘姥姥一进荣国府,liu'lao'lao'yi'jin'rong'guo'fu
琉璃世界白雪红梅,liu'li'shi'jie'bai'xue'hong'mei
柳嫂,liu'sao
柳五儿,liu'wu'er
柳湘莲,liu'xiang'lian
柳叶渚边嗔莺咤燕,liu'ye'zhu'bian'chen'ying'zha'yan
栊翠庵,long'cui'an
栊翠庵茶品梅花雪,long'cui'an'cha'pin'mei'hua'xue
隆儿,long'er
龙禁尉,long'jin'wei
芦雪庵争联即景诗,lu'xue'an'zheng'lian'ji'jing'shi
纶组紫绛,lun'zu'zi'jiang
缕儿,lv'er
绿荑,lv'yi
绿玉斗,lv'yu'dou
马道婆,ma'dao'po
马魁,ma'kui
埋香冢飞燕泣残红,mai'xiang'zhong'fei'yan'qi'can'hong
瞒消息凤姐设奇谋,man'xiao'xi'feng'jie'she'qi'mou
茫茫大士,mang'mang'da'shi
卯正三刻,mao'zheng'san'ke
玫瑰花,mei'gui'hua
玫瑰露引来茯苓霜,mei'gui'lu'yin'lai'fu'ling'shuang
梅花络,mei'hua'luo
美人觚,mei'ren'gu
美香菱屈受贪夫棒,mei'xiang'ling'qu'shou'tan'fu'bang
美优伶斩情归水月,mei'you'ling'zhan'qing'gui'shui'yue
昧真禅雨村空遇旧,mei'zhen'chan'yu'cun'kong'yu'jiu
蒙府本,meng'fu'ben
梦稿本,meng'gao'ben
梦阮,meng'ruan
渺渺真人,miao'miao'zhen'ren
妙玉,miao'yu
敏探春兴利除宿弊,min'tan'chun'xing'li'chu'su'bi
明妃,ming'fei
茗烟,ming'yan
名霑,ming'zhan
茉莉粉替去蔷薇硝,mo'li'fen'ti'qu'qiang'wei'xiao
墨雨,mo'yu
牡丹亭艳曲警芳心,mu'dan'ting'yan'qu'jing'fang'xin
沐皇恩贾家延世泽,mu'huang'en'jia'jia'yan'shi'ze
木石前盟,mu'shi'qian'meng
慕雅女雅集苦吟诗,mu'ya'nv'ya'ji'ku'yin'shi
那府里,na'fu'li
南安王,nan'an'wang
南京,nan'jing
闹闺阃薛宝钗吞声,nao'gui'kun'xue'bao'chai'tun'sheng
倪二,ni'er
宁府,ning'fu
宁国府,ning'guo'fu
宁国府除夕祭宗祠,ning'guo'fu'chu'xi'ji'zong'ci
宁国府骨肉病灾襟,ning'guo'fu'gu'rou'bing'zai'jin
宁国公,ning'guo'gong
宁荣二公,ning'rong'er'gong
扭股糖,niu'gu'tang
弄小巧用借剑杀人,nong'xiao'qiao'yong'jie'jian'sha'ren
暖香坞,nuan'xiang'wu
暖香坞雅制春灯谜,nuan'xiang'wu'ya'zhi'chun'deng'mi
搦湘管姊弟裁题咏,nuo'xiang'guan'zi'di'cai'ti'yong
懦小姐不问累金凤,nuo'xiao'jie'bu'wen'lei'jin'feng
藕官,ou'guan
藕香榭,ou'xiang'xie
藕榭,ou'xie
潘三保,pan'san'bao
潘又安,pan'you'an
判冤决狱平儿行权,pan'yuan'jue'yu'ping'er'xing'quan
佩凤,pei'feng
披凤袄,pi'feng'ao
颦儿,pin'er
平儿,ping'er
平儿理妆,ping'er'li'zhuang
评女传巧姐慕贤良,ping'nv'chuan'qiao'jie'mu'xian'liang
破好事香菱结深恨,po'hao'shi'xiang'ling'jie'shen'hen
琪官,qi'guan
齐国公陈翼,qi'guo'gong'chen'yi
戚蓼生,qi'liao'sheng
起嫌疑顽童闹学堂,qi'xian'yi'wan'tong'nao'xue'tang
欺幼主刁奴蓄险心,qi'you'zhu'diao'nu'xu'xian'xin
千红一窟,qian'hong'yi'ku
钱槐,qian'huai
茜纱窗真情揆痴理,qian'sha'chuang'zhen'qing'kui'chi'li
茜香罗,qian'xiang'luo
茜雪,qian'xue
强欢笑蘅芜庆生辰,qiang'huan'xiao'heng'wu'qing'sheng'chen
樯木,qiang'mu
巧姐,qiao'jie
俏平儿情掩虾须镯,qiao'ping'er'qing'yan'xia'xu'zhuo
俏平儿软语救贾琏,qiao'ping'er'ruan'yu'jiu'jia'lian
俏丫鬟抱屈夭风流,qiao'ya'huan'bao'qu'yao'feng'liu
茄官,qie'guan
沁芳亭,qin'fang'ting
沁芳闸,qin'fang'zha
秦鲸卿得趣馒头庵,qin'jing'qing'de'qu'man'tou'an
秦鲸卿夭逝黄泉路,qin'jing'qing'yao'shi'huang'quan'lu
秦可卿,qin'ke'qing
秦可卿死封龙禁尉,qin'ke'qing'si'feng'long'jin'wei
秦氏,qin'shi
芹溪,qin'xi
秦显,qin'xian
秦显家的,qin'xian'jia'de
秦业,qin'ye
秦钟,qin'zhong
秦锺,qin'zhong
庆儿,qing'er
清葛,qing'ge
情哥哥偏寻根究底,qing'ge'ge'pian'xun'gen'jiu'di
青埂峰,qing'geng'feng
青梗峰,qing'geng'feng
庆国公,qing'guo'gong
情切切良宵花解语,qing'qie'qie'liang'xiao'hua'jie'yu
情僧录,qing'seng'lu
庆寿辰宁府排家宴,qing'shou'chen'ning'fu'pai'jia'yan
青苔赋,qing'tai'fu
晴雯,qing'wen
情小妹耻情归地府,qing'xiao'mei'chi'qing'gui'di'fu
清虚观,qing'xu'guan
清虚观打醮,qing'xu'guan'da'jiao
情中情因情感妹妹,qing'zhong'qing'yin'qing'gan'mei'mei
秋菱,qiu'ling
裘世安,qiu'shi'an
秋爽斋,qiu'shuang'zhai
秋爽斋偶结海棠社,qiu'shuang'zhai'ou'jie'hai'tang'she
秋桐,qiu'tong
秋纹,qiu'wen
曲径通幽处,qu'jing'tong'you'chu
裙钗,qun'chai
群芳髓,qun'fang'sui
燃藜图,ran'li'tu
仁清巷,ren'qing'xiang
人亡物在公子填词,ren'wang'wu'zai'gong'zi'tian'ci
荣府,rong'fu
蓉哥儿,rong'ge'er
荣国府,rong'guo'fu
荣国府归省庆元宵,rong'guo'fu'gui'xing'qing'yuan'xiao
荣国府元宵开夜宴,rong'guo'fu'yuan'xiao'kai'ye'yan
荣国公,rong'guo'gong
荣宁二府,rong'ning'er'fu
荣庆堂,rong'qing'tang
荣禧堂,rong'xi'tang
入画,ru'hua
辱亲女愚妾争闲气,ru'qin'nv'yu'qie'zheng'xian'qi
蕊官,rui'guan
瑞珠,rui'zhu
三更,san'geng
散花寺神签惊异兆,san'hua'si'shen'qian'jing'yi'zhao
散余资贾母明大义,san'yu'zi'jia'mu'ming'da'yi
扫红,sao'hong
缮国公,shan'guo'gong
善姐,shan'jie
善姐儿,shan'jie'er
山子野,shan'zi'ye
赏中秋新词得佳谶,shang'zhong'qiu'xin'ci'de'jia'chen
蛇影杯弓颦卿绝粒,she'ying'bei'gong'pin'qing'jue'li
麝月,she'yue
沈霞旧友,shen'xia'jiu'you
神异经,shen'yi'jing
神瑛侍者,shen'ying'shi'zhe
生齿日繁,sheng'chi'ri'fan
省宫闱贾元妃染恙,sheng'gong'wei'jia'yuan'fei'ran'yang
时宝钗小惠全大体,shi'bao'chai'xiao'hui'quan'da'ti
失宝玉通灵知奇祸,shi'bao'yu'tong'ling'zhi'qi'huo
石呆子,shi'dai'zi
实地纱,shi'di'sha
施毒计金桂自焚身,shi'du'ji'jin'gui'zi'fen'shen
识分定情悟梨香院,shi'fen'ding'qing'wu'li'xiang'yuan
矢孤介杜绝宁国府,shi'gu'jie'du'jue'ning'guo'fu
侍画,shi'hua
释旧憾情婢感痴郎,shi'jiu'han'qing'bi'gan'chi'lang
十里街,shi'li'jie
失绵衣贫女耐嗷嘈,shi'mian'yi'pin'nv'nai'ao'cao
侍书,shi'shu
史太君两宴大观园,shi'tai'jun'liang'yan'da'guan'yuan
史太君破陈腐旧套,shi'tai'jun'po'chen'fu'jiu'tao
史太君寿终归地府,shi'tai'jun'shou'zhong'gui'di'fu
石头记,shi'tou'ji
试文字宝玉始提亲,shi'wen'zi'bao'yu'shi'ti'qin
史湘云,shi'xiang'yun
史湘云偶填柳絮词,shi'xiang'yun'ou'tian'liu'xu'ci
士隐,shi'yin
寿儿,shou'er
守官箴恶奴同破例,shou'guan'zhen'e'nu'tong'po'li
受私贿老官翻案牍,shou'si'hui'lao'guan'fan'an'du
寿怡红群芳开夜宴,shou'yi'hong'qun'fang'kai'ye'yan
手足耽耽小动唇舌,shou'zu'dan'dan'xiao'dong'chun'she
漱盂,shu'yu
双官诰,shuang'guan'gao
双行夹批,shuang'xing'jia'pi
水溶,shui'rong
水月庵,shui'yue'an
水月庵掀翻风月案,shui'yue'an'xian'fan'feng'yue'an
死缠绵潇湘闻鬼哭,si'chan'mian'xiao'xiang'wen'gui'ku
死雠仇赵妾赴冥曹,si'chou'chou'zhao'qie'fu'ming'cao
死金丹独艳理亲丧,si'jin'dan'du'yan'li'qin'sang
司棋,si'qi
撕扇子作千金一笑,si'shan'zi'zuo'qian'jin'yi'xiao
送慈柩故乡全孝道,song'ci'jiu'gu'xiang'quan'xiao'dao
送宫花贾琏戏熙凤,song'gong'hua'jia'lian'xi'xi'feng
送果品小郎惊叵测,song'guo'pin'xiao'lang'jing'po'ce
宋嬷嬷,song'mo'mo
诉肺腑心迷活宝玉,su'fei'fu'xin'mi'huo'bao'yu
酥酪,su'lao
酸凤姐大闹宁国府,suan'feng'jie'da'nao'ning'guo'fu
孙绍祖,sun'shao'zu
太虚幻境,tai'xu'huan'jing
探宝钗黛玉半含酸,tan'bao'chai'dai'yu'ban'han'suan
探春,tan'chun
探惊风贾环重结怨,tan'jing'feng'jia'huan'zhong'jie'yuan
体仁沐德,ti'ren'mu'de
天香楼,tian'xiang'lou
铁槛寺,tie'kan'si
铁网山,tie'wang'shan
听曲文宝玉悟禅机,ting'qu'wen'bao'yu'wu'chan'ji
通灵宝玉,tong'ling'bao'yu
投鼠忌器宝玉瞒赃,tou'shu'ji'qi'bao'yu'man'zang
凸碧堂,tu'bi'tang
凸碧堂品笛感凄清,tu'bi'tang'pin'di'gan'qi'qing
玩母珠贾政参聚散,wan'mu'zhu'jia'zheng'can'ju'san
万艳同杯,wan'yan'tong'bei
王板儿,wang'ban'er
王成,wang'cheng
王道士胡诌妒妇方,wang'dao'shi'hu'zhou'du'fu'fang
王短腿,wang'duan'tui
旺儿,wang'er
旺儿家的,wang'er'jia'de
王尔调,wang'er'tiao
旺儿媳妇,wang'er'xi'fu
王凤姐力诎失人心,wang'feng'jie'li'qu'shi'ren'xin
王凤姐弄权铁槛寺,wang'feng'jie'nong'quan'tie'kan'si
王夫人,wang'fu'ren
王狗儿,wang'gou'er
王和荣,wang'he'rong
王济仁,wang'ji'ren
王君效,wang'jun'xiao
王老爷,wang'lao'ye
王嬷嬷,wang'mo'mo
王奶妈,wang'nai'ma
枉凝眉,wang'ning'mei
王青儿,wang'qing'er
王仁,wang'ren
王善保,wang'shan'bao
王太医,wang'tai'yi
王熙凤,wang'xi'feng
王熙凤毒设相思局,wang'xi'feng'du'she'xiang'si'ju
