白环俞穴,bai'huan'yu'xue
间使穴,jian'shi'xue
肩外俞穴,jian'wai'yu'xue
肩贞穴,jian'zhen'xue
肩中俞穴,jian'zhong'yu'xue
角孙穴,jiao'sun'xue
交信穴,jiao'xin'xue
解溪穴,jie'xi'xue
金门穴,jin'men'xue
筋缩穴,jin'suo'xue
京骨穴,jing'gu'xue
京门穴,jing'men'xue
睛明穴,jing'ming'xue
经渠穴,jing'qu'xue
鸠尾穴,jiu'wei'xue
巨骨穴,ju'gu'xue
巨阙穴,ju'que'xue
厥阴俞穴,jue'yin'yu'xue
孔最穴,kong'zui'xue
库房穴,ku'fang'xue
昆仑穴,kun'lun'xue
劳宫穴,lao'gong'xue
历兑穴,li'dui'xue
蠡沟穴,li'gou'xue
廉泉穴,lian'quan'xue
梁门穴,liang'men'xue
梁丘穴,liang'qiu'xue
列缺穴,lie'que'xue
灵道穴,ling'dao'xue
灵台穴,ling'tai'xue
灵墟穴,ling'xu'xue
漏谷穴,lou'gu'xue
颅息穴,lu'xi'xue
络却穴,luo'que'xue
率谷穴,lv'gu'xue
眉冲穴,mei'chong'xue
命门穴,ming'men'xue
目窗穴,mu'chuang'xue
脑户穴,nao'hu'xue
臑会穴,nao'hui'xue
脑空穴,nao'kong'xue
臑俞穴,nao'yu'xue
内关穴,nei'guan'xue
内庭穴,nei'ting'xue
膀胱俞穴,pang'guang'shu'xue
脾俞穴,pi'yu'xue
偏历穴,pian'li'xue
魄户穴,po'hu'xue
仆参穴,pu'can'xue
气冲穴,qi'chong'xue
气海穴,qi'hai'xue
气海俞穴,qi'hai'yu'xue
气户穴,qi'hu'xue
期门穴,qi'men'xue
气舍穴,qi'she'xue
气穴穴,qi'xue'xue
前顶穴,qian'ding'xue
前谷穴,qian'gu'xue
强间穴,qiang'jian'xue
清冷渊穴,qing'leng'yuan'xue
青灵穴,qing'ling'xue
丘墟穴,qiu'xu'xue
曲鬓穴,qu'bin'xue
曲差穴,qu'cha'xue
曲骨穴,qu'gu'xue
曲泉穴,qu'quan'xue
曲垣穴,qu'yuan'xue
曲泽穴,qu'ze'xue
缺盆穴,que'pen'xue
然谷穴,ran'gu'xue
人迎穴,ren'ying'xue
日月穴,ri'yue'xue
乳根穴,ru'gen'xue
乳中穴,ru'zhong'xue
三间穴,san'jian'xue
三焦俞穴,san'jiao'yu'xue
三阳络穴,san'yang'luo'xue
三阴交穴,san'yin'jiao'xue
上关穴,shang'guan'xue
上巨虚穴,shang'ju'xu'xue
上廉穴,shang'lian'xue
商丘穴,shang'qiu'xue
商曲穴,shang'qu'xue
上脘穴,shang'wan'xue
上星穴,shang'xing'xue
商阳穴,shang'yang'xue
少冲穴,shao'chong'xue
少府穴,shao'fu'xue
少海穴,shao'hai'xue
少商穴,shao'shang'xue
少泽穴,shao'ze'xue
神道穴,shen'dao'xue
神封穴,shen'feng'xue
申脉穴,shen'mai'xue
神门穴,shen'men'xue
神阙穴,shen'que'xue
肾俞穴,shen'yu'xue
神藏穴,shen'zang'xue
身柱穴,shen'zhu'xue
食窦穴,shi'dou'xue
石关穴,shi'guan'xue
石门穴,shi'men'xue
手三里穴,shou'san'li'xue
手五里穴,shou'wu'li'xue
束骨穴,shu'gu'xue
水道穴,shui'dao'xue
水分穴,shui'fen'xue
水沟穴,shui'gou'xue
水泉穴,shui'quan'xue
水突穴,shui'tu'xue
四渎穴,si'du'xue
四满穴,si'man'xue
丝竹空穴,si'zhu'kong'xue
太白穴,tai'bai'xue
太冲穴,tai'chong'xue
太溪穴,tai'xi'xue
太乙穴,tai'yi'xue
太渊穴,tai'yuan'xue
陶道穴,tao'dao'xue
天池穴,tian'chi'xue
天冲穴,tian'chong'xue
天窗穴,tian'chuang'xue
天鼎穴,tian'ding'xue
天府穴,tian'fu'xue
天井穴,tian'jing'xue
天泉穴,tian'quan'xue
天枢穴,tian'shu'xue
天突穴,tian'tu'xue
天溪穴,tian'xi'xue
天牖穴,tian'you'xue
天柱穴,tian'zhu'xue
天宗穴,tian'zong'xue
条口穴,tiao'kou'xue
听宫穴,ting'gong'xue
听会穴,ting'hui'xue
通里穴,tong'li'xue
通天穴,tong'tian'xue
头临泣穴,tou'lin'qi'xue
头窍阴穴,tou'qiao'yin'xue
头维穴,tou'wei'xue
外关穴,wai'guan'xue
外陵穴,wai'ling'xue
外丘穴,wai'qiu'xue
完骨穴,wan'gu'xue
腕骨穴,wan'gu'xue
胃仓穴,wei'cang'xue
胃俞穴,wei'shu'xue
委阳穴,wei'yang'xue
委中穴,wei'zhong'xue
温溜穴,wen'liu'xue
五处穴,wu'chu'xue
五枢穴,wu'shu'xue
屋翳穴,wu'yi'xue
膝关穴,xi'guan'xue
郄门穴,xi'men'xue
膝阳关穴,xi'yang'guan'xue
侠白穴,xia'bai'xue
下关穴,xia'guan'xue
下巨虚穴,xia'ju'xu'xue
下廉穴,xia'lian'xue
下脘穴,xia'wan'xue
侠溪穴,xia'xi'xue
陷谷穴,xian'gu'xue
小肠俞穴,xiao'chang'shu'xue
小海穴,xiao'hai'xue
消泺穴,xiao'luo'xue
囟会穴,xin'hui'xue
心俞穴,xin'shu'xue
胸乡穴,xiong'xiang'xue
璇玑穴,xuan'ji'xue
悬厘穴,xuan'li'xue
悬颅穴,xuan'lu'xue
悬枢穴,xuan'shu'xue
悬钟穴,xuan'zhong'xue
血海穴,xue'hai'xue
哑门穴,ya'men'xue
阳白穴,yang'bai'xue
阳池穴,yang'chi'xue
阳辅穴,yang'fu'xue
阳纲穴,yang'gang'xue
阳谷穴,yang'gu'xue
阳交穴,yang'jiao'xue
养老穴,yang'lao'xue
阳陵泉穴,yang'ling'quan'xue
阳溪穴,yang'xi'xue
腰俞穴,yao'shu'xue
腰阳关穴,yao'yang'guan'xue
液门穴,ye'men'xue
翳风穴,yi'feng'xue
意舍穴,yi'she'xue
隐白穴,yin'bai'xue
阴包穴,yin'bao'xue
阴都穴,yin'du'xue
阴谷穴,yin'gu'xue
阴交穴,yin'jiao'xue
龈交穴,yin'jiao'xue
阴廉穴,yin'lian'xue
阴陵泉穴,yin'ling'quan'xue
殷门穴,yin'men'xue
阴市穴,yin'shi'xue
阴郄穴,yin'xi'xue
膺窗穴,ying'chuang'xue
迎香穴,ying'xiang'xue
涌泉穴,yong'quan'xue
幽门穴,you'men'xue
俞府穴,yu'fu'xue
鱼际穴,yu'ji'xue
玉堂穴,yu'tang'xue
玉枕穴,yu'zhen'xue
彧中穴,yu'zhong'xue
渊腋穴,yuan'ye'xue
云门穴,yun'men'xue
章门穴,zhang'men'xue
照海穴,zhao'hai'xue
辄筋穴,zhe'jin'xue
正营穴,zheng'ying'xue
秩边穴,zhi'bian'xue
支沟穴,zhi'gou'xue
志室穴,zhi'shi'xue
至阳穴,zhi'yang'xue
支正穴,zhi'zheng'xue
中冲穴,zhong'chong'xue
中渎穴,zhong'du'xue
中都穴,zhong'du'xue
中封穴,zhong'feng'xue
中府穴,zhong'fu'xue
中极穴,zhong'ji'xue
中膂俞穴,zhong'lv'yu'xue
中枢穴,zhong'shu'xue
中庭穴,zhong'ting'xue
中脘穴,zhong'wan'xue
中注穴,zhong'zhu'xue
中渚穴,zhong'zhu'xue
周荣穴,zhou'rong'xue
筑宾穴,zhu'bin'xue
紫宫穴,zi'gong'xue
足临泣穴,zu'lin'qi'xue
足窍阴穴,zu'qiao'yin'xue
足三里穴,zu'san'li'xue
足通谷穴,zu'tong'gu'xue
足五里穴,zu'wu'li'xue
