安德路,an'de'lu
通州区长途汽车站,tong'zhou'qu'chang'tu'qi'che'zhan
团河路口,tuan'he'lu'kou
团河路西口,tuan'he'lu'xi'kou
团结湖,tuan'jie'hu
团结湖北口,tuan'jie'hu'bei'kou
团结湖公园,tuan'jie'hu'gong'yuan
团结湖路,tuan'jie'hu'lu
团结湖专线,tuan'jie'hu'zhuan'xian
洼里南口,wa'li'nan'kou
洼里乡,wa'li'xiang
外馆斜街,wai'guan'xie'jie
外文印刷厂,wai'wen'yin'shua'chang
万泉河路,wan'quan'he'lu
万寿路,wan'shou'lu
万寿路南口,wan'shou'lu'nan'kou
万源路,wan'yuan'lu
湾子,wan'zi
王府井,wang'fu'jing
望京花园,wang'jing'hua'yuan
望京科技园,wang'jing'ke'ji'yuan
望京西园,wang'jing'xi'yuan
魏家胡同,wei'jia'hu'tong
文学馆,wen'xue'guan
五道口,wu'dao'kou
吴家村,wu'jia'cun
五间楼,wu'jian'lou
五棵松,wu'ke'song
五孔桥,wu'kong'qiao
五里坨,wu'li'tuo
五路,wu'lu
五路居,wu'lu'ju
武圣东里,wu'sheng'dong'li
武圣路,wu'sheng'lu
西安门,xi'an'men
西八间房,xi'ba'jian'fang
西八间房北站,xi'ba'jian'fang'bei'zhan
西便门,xi'bian'men
西单,xi'dan
西单站,xi'dan'zhan
西二旗,xi'er'qi
西二旗北站,xi'er'qi'bei'zhan
西黄村,xi'huang'cun
西黄村站,xi'huang'cun'zhan
西黄庄,xi'huang'zhuang
西街北口,xi'jie'bei'kou
西局,xi'ju
西军庄,xi'jun'zhuang
西客站,xi'ke'zhan
西罗园,xi'luo'yuan
西马庄,xi'ma'zhuang
西三环,xi'san'huan
西三旗,xi'san'qi
西四,xi'si
西外大街,xi'wai'da'jie
西下庄,xi'xia'zhuang
西小区,xi'xiao'qu
西苑,xi'yuan
夕照寺,xi'zhao'si
西直门,xi'zhi'men
西直门长途汽车站,xi'zhi'men'chang'tu'qi'che'zhan
西直门站外环,xi'zhi'men'zhan'wai'huan
霞光街,xia'guang'jie
夏家胡同,xia'jia'hu'tong
下斜街,xia'xie'jie
线路名,xian'lu'ming
咸宁侯,xian'ning'hou
咸宁侯东站,xian'ning'hou'dong'zhan
先农坛,xian'nong'tan
香河园,xiang'he'yuan
校场口,xiao'chang'kou
肖村,xiao'cun
肖家河,xiao'jia'he
小街,xiao'jie
小经厂,xiao'jing'chang
小马厂,xiao'ma'chang
小清河,xiao'qing'he
小市口,xiao'shi'kou
小寺,xiao'si
小武基桥,xiao'wu'ji'qiao
小西门,xiao'xi'men
小营,xiao'ying
小庄,xiao'zhuang
辛店,xin'dian
新东安市场,xin'dong'an'shi'chang
新发地,xin'fa'di
新街口豁口,xin'jie'kou'huo'kou
欣旺大街,xin'wang'da'jie
新文化街,xin'wen'hua'jie
新兴宾馆门前,xin'xing'bin'guan'men'qian
新源里,xin'yuan'li
辛庄,xin'zhuang
辛庄东站,xin'zhuang'dong'zhan
幸福三村,xing'fu'san'cun
兴化路,xing'hua'lu
杏石口,xing'shi'kou
序号,xu'hao
宣内,xuan'nei
宣武门,xuan'wu'men
宣武医院,xuan'wu'yi'yuan
学府园,xue'fu'yuan
学四口,xue'si'kou
学院路,xue'yuan'lu
学知桥,xue'zhi'qiao
学知园,xue'zhi'yuan
雅宝路,ya'bao'lu
衙门口,ya'men'kou
衙门口站,ya'men'kou'zhan
亚运村,ya'yun'cun
鸭子桥北里,ya'zi'qiao'bei'li
炎黄艺术馆,yan'huang'yi'shu'guan
延静里,yan'jing'li
延庆长途汽车站,yan'qing'chang'tu'qi'che'zhan
洋桥,yang'qiao
羊市口,yang'shi'kou
杨坨,yang'tuo
杨闸,yang'zha
杨闸北,yang'zha'bei
杨庄小区,yang'zhuang'xiao'qu
颐和园南门,yi'he'yuan'nan'men
一日游专线车,yi'ri'you'zhuan'xian'che
一四二中,yi'si'er'zhong
印染厂,yin'ran'chang
迎春园,ying'chun'yuan
英家坟,ying'jia'fen
永安里,yong'an'li
永安路,yong'an'lu
永定门,yong'ding'men
永定门火车站,yong'ding'men'huo'che'zhan
永定门桥头,yong'ding'men'qiao'tou
永丰科技园,yong'feng'ke'ji'yuan
永丰站,yong'feng'zhan
雍和宫,yong'he'gong
永内东街,yong'nei'dong'jie
右安门,you'an'men
右安门大街,you'an'men'da'jie
右外大街,you'wai'da'jie
友谊医院,you'yi'yi'yuan
游泳池,you'yong'chi
育慧里,yu'hui'li
玉桥东路,yu'qiao'dong'lu
玉泉路,yu'quan'lu
玉泉营,yu'quan'ying
育新北口,yu'xin'bei'kou
育新小区,yu'xin'xiao'qu
语言学院,yu'yan'xue'yuan
玉渊潭,yu'yuan'tan
圆明园,yuan'ming'yuan
园区总站,yuan'qu'zong'zhan
月坛,yue'tan
月坛北街,yue'tan'bei'jie
月坛北街北站,yue'tan'bei'jie'bei'zhan
皂君庙,zao'jun'miao
枣林前街,zao'lin'qian'jie
造纸厂,zao'zhi'chang
展览馆,zhan'lan'guan
展览路,zhan'lan'lu
展览中心,zhan'lan'zhong'xin
站前环岛,zhan'qian'huan'dao
张自忠路,zhang'zi'zhong'lu
真武庙,zhen'wu'miao
真武庙二条,zhen'wu'miao'er'tiao
正白旗,zheng'bai'qi
郑王坟,zheng'wang'fen
正义路,zheng'yi'lu
正义路南口,zheng'yi'lu'nan'kou
中纺街,zhong'fang'jie
中关村,zhong'guan'cun
中关村一街,zhong'guan'cun'yi'jie
中关园北站,zhong'guan'yuan'bei'zhan
中国科技馆,zhong'guo'ke'ji'guan
中街,zhong'jie
中科院地球所,zhong'ke'yuan'di'qiu'suo
肿瘤医院,zhong'liu'yi'yuan
中山公园,zhong'shan'gong'yuan
周家井,zhou'jia'jing
珠市口,zhu'shi'kou
紫南家园,zi'nan'jia'yuan
紫南市场,zi'nan'shi'chang
自新路,zi'xin'lu
紫竹院西站,zi'zhu'yuan'xi'zhan
左安东路,zuo'an'dong'lu
左安路,zuo'an'lu
左安门,zuo'an'men
左家庄,zuo'jia'zhuang
