八七路,ba'qi'lu
铺锦,pu'jin
前坑,qian'keng
前廊,qian'lang
前坡,qian'po
前山,qian'shan
前园,qian'yuan
侨光路,qiao'guang'lu
庆辉巷,qing'hui'xiang
青莲,qing'lian
琼林南路,qiong'lin'nan'lu
琼林中路,qiong'lin'zhong'lu
邱下,qiu'xia
泉州港务集装箱股份有限公司,quan'zhou'gang'wu'ji'zhuang'xiang'gu'fen'you'xian'gong'si
泉州市公路局石狮市分局,quan'zhou'shi'gong'lu'ju'shi'shi'shi'fen'ju
泉州银行监管分局石狮监管办事处,quan'zhou'yin'hang'jian'guan'fen'ju'shi'shi'jian'guan'ban'shi'chu
群英北路,qun'ying'bei'lu
群英南路,qun'ying'nan'lu
群英中路,qun'ying'zhong'lu
仁德巷,ren'de'xiang
仁里社区,ren'li'she'qu
人民银行石狮市支行,ren'min'yin'hang'shi'shi'shi'zhi'hang
沙堤,sha'di
沙美,sha'mei
山边,shan'bian
山雅,shan'ya
上浦,shang'pu
深埕,shen'cheng
省公路稽征局石狮市稽征所,sheng'gong'lu'ji'zheng'ju'shi'shi'shi'ji'zheng'suo
石壁,shi'bi
仕林,shi'lin
石农,shi'nong
石泉路,shi'quan'lu
石狮宾馆,shi'shi'bin'guan
石狮服装城管理办公室,shi'shi'fu'zhuang'cheng'guan'li'ban'gong'shi
石狮日报社,shi'shi'ri'bao'she
石狮市安全生产监督管理局,shi'shi'shi'an'quan'sheng'chan'jian'du'guan'li'ju
石狮市八七路边防大楼,shi'shi'shi'ba'qi'lu'bian'fang'da'lou
石狮市八七路东段宝源花园,shi'shi'shi'ba'qi'lu'dong'duan'bao'yuan'hua'yuan
石狮市八七路工商局,shi'shi'shi'ba'qi'lu'gong'shang'ju
石狮市八七路国土综合楼,shi'shi'shi'ba'qi'lu'guo'tu'zong'he'lou
石狮市八七路华宝楼,shi'shi'shi'ba'qi'lu'hua'bao'lou
石獅市八七路建设銀行分理,shi'shi'shi'ba'qi'lu'jian'she'yin'xing'fen'li
石狮市八七路司法局,shi'shi'shi'ba'qi'lu'si'fa'ju
石狮市八七路新世纪电影城,shi'shi'shi'ba'qi'lu'xin'shi'ji'dian'ying'cheng
石狮市八七路洋下村,shi'shi'shi'ba'qi'lu'yang'xia'cun
石狮市八七路悦民超市,shi'shi'shi'ba'qi'lu'yue'min'chao'shi
石狮市八七路中段边防大楼,shi'shi'shi'ba'qi'lu'zhong'duan'bian'fang'da'lou
石狮市八中,shi'shi'shi'ba'zhong
石狮市百货公司,shi'shi'shi'bai'huo'gong'si
石狮市宝岛路振狮开发区,shi'shi'shi'bao'dao'lu'zhen'shi'kai'fa'qu
石狮市宝盖派出所,shi'shi'shi'bao'gai'pai'chu'suo
石狮市宝盖镇工商管理所,shi'shi'shi'bao'gai'zhen'gong'shang'guan'li'suo
石狮市保密局,shi'shi'shi'bao'mi'ju
石狮市边防大队,shi'shi'shi'bian'fang'da'dui
石狮市边防大队东埔边防所,shi'shi'shi'bian'fang'da'dui'dong'pu'bian'fang'suo
石狮市边防大队蚶江边防所,shi'shi'shi'bian'fang'da'dui'han'jiang'bian'fang'suo
石狮市边防大队深埕边防所,shi'shi'shi'bian'fang'da'dui'shen'cheng'bian'fang'suo
石狮市边防大队祥芝边防所,shi'shi'shi'bian'fang'da'dui'xiang'zhi'bian'fang'suo
石狮市边防大队永宁边防所,shi'shi'shi'bian'fang'da'dui'yong'ning'bian'fang'suo
石狮市宾馆,shi'shi'shi'bin'guan
石狮市殡葬管理所,shi'shi'shi'bin'zang'guan'li'suo
石狮市博广律师事务所,shi'shi'shi'bo'guang'lv'shi'shi'wu'suo
石狮市博士后科研工作服务中心,shi'shi'shi'bo'shi'hou'ke'yan'gong'zuo'fu'wu'zhong'xin
石狮市博物馆,shi'shi'shi'bo'wu'guan
石狮市步行街,shi'shi'shi'bu'xing'jie
石狮市财政局,shi'shi'shi'cai'zheng'ju
石狮市残疾人联合会,shi'shi'shi'can'ji'ren'lian'he'hui
石狮市长福路,shi'shi'shi'chang'fu'lu
石狮市长宁路凤里街道办,shi'shi'shi'chang'ning'lu'feng'li'jie'dao'ban
石狮市长宁路凤里街道办事处,shi'shi'shi'chang'ning'lu'feng'li'jie'dao'ban'shi'chu
石狮市城监大队,shi'shi'shi'cheng'jian'da'dui
石狮市城监大队凤里中队,shi'shi'shi'cheng'jian'da'dui'feng'li'zhong'dui
石狮市城监大队湖滨中队,shi'shi'shi'cheng'jian'da'dui'hu'bin'zhong'dui
石狮市城建档案棺,shi'shi'shi'cheng'jian'dang'an'guan
石狮市城建工委,shi'shi'shi'cheng'jian'gong'wei
石狮市打私办,shi'shi'shi'da'si'ban
石狮市大同路号,shi'shi'shi'da'tong'lu'hao
石狮市档案馆,shi'shi'shi'dang'an'guan
石狮市党员电教中心,shi'shi'shi'dang'yuan'dian'jiao'zhong'xin
石狮市第二实验小学,shi'shi'shi'di'er'shi'yan'xiao'xue
石狮市地方税务局宝盖分局,shi'shi'shi'di'fang'shui'wu'ju'bao'gai'fen'ju
石狮市地方税务局北区管理分局,shi'shi'shi'di'fang'shui'wu'ju'bei'qu'guan'li'fen'ju
石狮市地方税务局东区管理分局,shi'shi'shi'di'fang'shui'wu'ju'dong'qu'guan'li'fen'ju
石狮市地方税务局蚶江分局,shi'shi'shi'di'fang'shui'wu'ju'han'jiang'fen'ju
石狮市地方税务局鸿山分局,shi'shi'shi'di'fang'shui'wu'ju'hong'shan'fen'ju
石狮市地方税务局灵秀管理分局,shi'shi'shi'di'fang'shui'wu'ju'ling'xiu'guan'li'fen'ju
石狮市地方税务局南区管理分局,shi'shi'shi'di'fang'shui'wu'ju'nan'qu'guan'li'fen'ju
石狮市地方税务局西区管理分局,shi'shi'shi'di'fang'shui'wu'ju'xi'qu'guan'li'fen'ju
石狮市地方税务局祥芝分局,shi'shi'shi'di'fang'shui'wu'ju'xiang'zhi'fen'ju
石狮市地方税务局永宁分局,shi'shi'shi'di'fang'shui'wu'ju'yong'ning'fen'ju
石狮市第三实验小学,shi'shi'shi'di'san'shi'yan'xiao'xue
石狮市地税局,shi'shi'shi'di'shui'ju
石狮市电力联营公司,shi'shi'shi'dian'li'lian'ying'gong'si
石狮市电信局,shi'shi'shi'dian'xin'ju
石狮市电影放映发行有限公司,shi'shi'shi'dian'ying'fang'ying'fa'xing'you'xian'gong'si
石狮市电子商务管理中心,shi'shi'shi'dian'zi'shang'wu'guan'li'zhong'xin
石狮市东港路,shi'shi'shi'dong'gang'lu
石狮市东港路国防大厦,shi'shi'shi'dong'gang'lu'guo'fang'da'sha
石狮市东港路建德花园二期,shi'shi'shi'dong'gang'lu'jian'de'hua'yuan'er'qi
石狮市东港路建德商住楼,shi'shi'shi'dong'gang'lu'jian'de'shang'zhu'lou
石狮市对外贸易经济合作局,shi'shi'shi'dui'wai'mao'yi'jing'ji'he'zuo'ju
石狮市二幼,shi'shi'shi'er'you
石狮市二中,shi'shi'shi'er'zhong
石狮市法律援助中心,shi'shi'shi'fa'lv'yuan'zhu'zhong'xin
石狮市法制工委,shi'shi'shi'fa'zhi'gong'wei
石狮市反渎职侵权局,shi'shi'shi'fan'du'zhi'qin'quan'ju
石狮市房产登记交易中心,shi'shi'shi'fang'chan'deng'ji'jiao'yi'zhong'xin
石狮市房地产开发公司,shi'shi'shi'fang'di'chan'kai'fa'gong'si
石狮市房改办,shi'shi'shi'fang'gai'ban
石狮市防雷安全检测所,shi'shi'shi'fang'lei'an'quan'jian'ce'suo
石狮市纺织服务质量检测中心,shi'shi'shi'fang'zhi'fu'wu'zhi'liang'jian'ce'zhong'xin
石狮市凤里工商管理所,shi'shi'shi'feng'li'gong'shang'guan'li'suo
石狮市凤里街道宽仁赤渔巷,shi'shi'shi'feng'li'jie'dao'kuan'ren'chi'yu'xiang
石狮市凤里派出所,shi'shi'shi'feng'li'pai'chu'suo
石狮市凤里中学,shi'shi'shi'feng'li'zhong'xue
石狮市妇联,shi'shi'shi'fu'lian
石狮市妇幼保健院,shi'shi'shi'fu'you'bao'jian'yuan
石狮市公安局,shi'shi'shi'gong'an'ju
石狮市公安局交警大队,shi'shi'shi'gong'an'ju'jiao'jing'da'dui
石狮市公安局交警大队蚶江中队,shi'shi'shi'gong'an'ju'jiao'jing'da'dui'han'jiang'zhong'dui
石狮市公安局交警大队鸿山中队,shi'shi'shi'gong'an'ju'jiao'jing'da'dui'hong'shan'zhong'dui
石狮市公安局交警大队祥芝中队,shi'shi'shi'gong'an'ju'jiao'jing'da'dui'xiang'zhi'zhong'dui
石狮市公安局交警大队永宁中队,shi'shi'shi'gong'an'ju'jiao'jing'da'dui'yong'ning'zhong'dui
石狮市公安武警中队,shi'shi'shi'gong'an'wu'jing'zhong'dui
石狮市工商管理局,shi'shi'shi'gong'shang'guan'li'ju
石狮市工商联,shi'shi'shi'gong'shang'lian
石狮市工商特营管理所,shi'shi'shi'gong'shang'te'ying'guan'li'suo
石狮市供水股份有限公司,shi'shi'shi'gong'shui'gu'fen'you'xian'gong'si
石狮市公务大厦,shi'shi'shi'gong'wu'da'sha
石狮市供销合作社,shi'shi'shi'gong'xiao'he'zuo'she
石狮市公证处,shi'shi'shi'gong'zheng'chu
石狮市广播电视事业局,shi'shi'shi'guang'bo'dian'shi'shi'ye'ju
石狮市光电学院,shi'shi'shi'guang'dian'xue'yuan
石狮市龟湖工业区,shi'shi'shi'gui'hu'gong'ye'qu
石狮市规划建设局,shi'shi'shi'gui'hua'jian'she'ju
石狮市规划设计院,shi'shi'shi'gui'hua'she'ji'yuan
石狮市国际商会,shi'shi'shi'guo'ji'shang'hui
石狮市国家税务局宝盖分局,shi'shi'shi'guo'jia'shui'wu'ju'bao'gai'fen'ju
石狮市国家税务局蚶江分局,shi'shi'shi'guo'jia'shui'wu'ju'han'jiang'fen'ju
石狮市国家税务局灵秀分局,shi'shi'shi'guo'jia'shui'wu'ju'ling'xiu'fen'ju
石狮市国家税务局狮城分局,shi'shi'shi'guo'jia'shui'wu'ju'shi'cheng'fen'ju
石狮市国家税务局祥芝分局,shi'shi'shi'guo'jia'shui'wu'ju'xiang'zhi'fen'ju
石狮市国家税务局永宁分局,shi'shi'shi'guo'jia'shui'wu'ju'yong'ning'fen'ju
石狮市国税局,shi'shi'shi'guo'shui'ju
石狮市国土资源局,shi'shi'shi'guo'tu'zi'yuan'ju
石狮市海关,shi'shi'shi'hai'guan
石狮市海关缉私分局,shi'shi'shi'hai'guan'ji'si'fen'ju
石狮市海事处石湖办事处,shi'shi'shi'hai'shi'chu'shi'hu'ban'shi'chu
石狮市海事处永宁办事处,shi'shi'shi'hai'shi'chu'yong'ning'ban'shi'chu
石狮市海事局,shi'shi'shi'hai'shi'ju
石狮市蚶江洪堀村,shi'shi'shi'han'jiang'hong'ku'cun
石狮市蚶江派出所,shi'shi'shi'han'jiang'pai'chu'suo
石狮市蚶江卫生院,shi'shi'shi'han'jiang'wei'sheng'yuan
石狮市蚶江新大街,shi'shi'shi'han'jiang'xin'da'jie
石狮市蚶江运管站,shi'shi'shi'han'jiang'yun'guan'zhan
石狮市蚶江镇工商管理所,shi'shi'shi'han'jiang'zhen'gong'shang'guan'li'suo
石狮市蚶江镇锦田村,shi'shi'shi'han'jiang'zhen'jin'tian'cun
石狮市蚶江镇拘留所,shi'shi'shi'han'jiang'zhen'ju'liu'suo
石狮市蚶江镇石蚶路,shi'shi'shi'han'jiang'zhen'shi'han'lu
石狮市蚶江镇文政小区,shi'shi'shi'han'jiang'zhen'wen'zheng'xiao'qu
石狮市蚶江镇裕圆路,shi'shi'shi'han'jiang'zhen'yu'yuan'lu
石狮市蚶江镇镇政府,shi'shi'shi'han'jiang'zhen'zhen'zheng'fu
石狮市蚶江中学,shi'shi'shi'han'jiang'zhong'xue
石狮市濠江路,shi'shi'shi'hao'jiang'lu
石狮市濠江路宝盖镇镇政府,shi'shi'shi'hao'jiang'lu'bao'gai'zhen'zhen'zheng'fu
石狮市鸿山派出所,shi'shi'shi'hong'shan'pai'chu'suo
石狮市鸿山镇工商管理所,shi'shi'shi'hong'shan'zhen'gong'shang'guan'li'suo
石狮市鸿山镇洪厝邮电局,shi'shi'shi'hong'shan'zhen'hong'cuo'you'dian'ju
石狮市鸿山镇思乡路,shi'shi'shi'hong'shan'zhen'si'xiang'lu
石狮市鸿山镇卫生院,shi'shi'shi'hong'shan'zhen'wei'sheng'yuan
石狮市鸿山镇伍堡村,shi'shi'shi'hong'shan'zhen'wu'bao'cun
石狮市鸿山镇伍堡新大街,shi'shi'shi'hong'shan'zhen'wu'bao'xin'da'jie
石狮市鸿山鎮西墩村,shi'shi'shi'hong'shan'zhen'xi'dun'cun
石狮市鸿山镇镇政府,shi'shi'shi'hong'shan'zhen'zhen'zheng'fu
石狮市湖滨法律服务所,shi'shi'shi'hu'bin'fa'lv'fu'wu'suo
石狮市湖滨工商管理所,shi'shi'shi'hu'bin'gong'shang'guan'li'suo
石狮市湖滨派出所,shi'shi'shi'hu'bin'pai'chu'suo
石狮市湖滨社区农贸市场,shi'shi'shi'hu'bin'she'qu'nong'mao'shi'chang
石狮市华侨医院,shi'shi'shi'hua'qiao'yi'yuan
石狮市华友公司,shi'shi'shi'hua'you'gong'si
石狮市花园路,shi'shi'shi'hua'yuan'lu
石狮市环境保护局,shi'shi'shi'huan'jing'bao'hu'ju
石狮市环卫处,shi'shi'shi'huan'wei'chu
石狮市黄金大道,shi'shi'shi'huang'jin'da'dao
石狮市婚姻登记处,shi'shi'shi'hun'yin'deng'ji'chu
石狮市疾病预防控制中心,shi'shi'shi'ji'bing'yu'fang'kong'zhi'zhong'xin
石狮市机关社保公司,shi'shi'shi'ji'guan'she'bao'gong'si
石狮市机关幼儿园,shi'shi'shi'ji'guan'you'er'yuan
石狮市计划生育协会,shi'shi'shi'ji'hua'sheng'yu'xie'hui
石狮市基建审核中心,shi'shi'shi'ji'jian'shen'he'zhong'xin
石狮市计生服务站,shi'shi'shi'ji'sheng'fu'wu'zhan
石狮市纪委办公室,shi'shi'shi'ji'wei'ban'gong'shi
石狮市机要局,shi'shi'shi'ji'yao'ju
石狮市嘉禄路,shi'shi'shi'jia'lu'lu
石狮市嘉禄路曾坑社区,shi'shi'shi'jia'lu'lu'ceng'keng'she'qu
石狮市健康教育所,shi'shi'shi'jian'kang'jiao'yu'suo
石狮市教科文卫工委,shi'shi'shi'jiao'ke'wen'wei'gong'wei
石狮市交通局,shi'shi'shi'jiao'tong'ju
石狮市教育基地,shi'shi'shi'jiao'yu'ji'di
石狮市教育局,shi'shi'shi'jiao'yu'ju
石狮市锦峰学校,shi'shi'shi'jin'feng'xue'xiao
石狮市金林路兴业大厦,shi'shi'shi'jin'lin'lu'xing'ye'da'sha
石狮市锦尚派出所,shi'shi'shi'jin'shang'pai'chu'suo
石狮市锦尚镇厝上村,shi'shi'shi'jin'shang'zhen'cuo'shang'cun
石狮市锦尚镇卢厝村,shi'shi'shi'jin'shang'zhen'lu'cuo'cun
石狮市锦尚镇深埕村将军山,shi'shi'shi'jin'shang'zhen'shen'cheng'cun'jiang'jun'shan
石狮市锦尚镇邮电大楼,shi'shi'shi'jin'shang'zhen'you'dian'da'lou
石狮市经济局,shi'shi'shi'jing'ji'ju
石狮市九三学社,shi'shi'shi'jiu'san'xue'she
石狮市军休所,shi'shi'shi'jun'xiu'suo
石狮市科技文体旅游局,shi'shi'shi'ke'ji'wen'ti'lv'you'ju
石狮市科学技术协会,shi'shi'shi'ke'xue'ji'shu'xie'hui
石狮市会计核算中心,shi'shi'shi'kuai'ji'he'suan'zhong'xin
石狮市矿管办,shi'shi'shi'kuang'guan'ban
石狮市垃圾处理场,shi'shi'shi'la'ji'chu'li'chang
石狮市劳动监察大队,shi'shi'shi'lao'dong'jian'cha'da'dui
石狮市劳动就业管理中心,shi'shi'shi'lao'dong'jiu'ye'guan'li'zhong'xin
石狮市劳动争议调解中心,shi'shi'shi'lao'dong'zheng'yi'tiao'jie'zhong'xin
石狮市老干部活动中心,shi'shi'shi'lao'gan'bu'huo'dong'zhong'xin
石狮市粮油管理处,shi'shi'shi'liang'you'guan'li'chu
石狮市林业站,shi'shi'shi'lin'ye'zhan
石狮市灵秀派出所,shi'shi'shi'ling'xiu'pai'chu'suo
石狮市灵秀运管站,shi'shi'shi'ling'xiu'yun'guan'zhan
石狮市灵秀镇工商管理所,shi'shi'shi'ling'xiu'zhen'gong'shang'guan'li'suo
石狮市灵秀镇彭田村鹏山工贸学校,shi'shi'shi'ling'xiu'zhen'peng'tian'cun'peng'shan'gong'mao'xue'xiao
石狮市灵秀镇彭田村委会,shi'shi'shi'ling'xiu'zhen'peng'tian'cun'wei'hui
石狮市灵秀镇仕林村,shi'shi'shi'ling'xiu'zhen'shi'lin'cun
石狮市灵秀镇塘园村中英文学校,shi'shi'shi'ling'xiu'zhen'tang'yuan'cun'zhong'ying'wen'xue'xiao
石狮市灵秀镇镇政府,shi'shi'shi'ling'xiu'zhen'zhen'zheng'fu
石狮市流动人口计生管理站,shi'shi'shi'liu'dong'ren'kou'ji'sheng'guan'li'zhan
石狮市六中,shi'shi'shi'liu'zhong
石狮市民革,shi'shi'shi'min'ge
石狮市民建,shi'shi'shi'min'jian
石狮市民进,shi'shi'shi'min'jin
石狮市民盟,shi'shi'shi'min'meng
石狮市民生路华联超市,shi'shi'shi'min'sheng'lu'hua'lian'chao'shi
石狮市民政局,shi'shi'shi'min'zheng'ju
石狮市民族与宗教事务局,shi'shi'shi'min'zu'yu'zong'jiao'shi'wu'ju
石狮市南环路风炉山,shi'shi'shi'nan'huan'lu'feng'lu'shan
石狮市南洋路,shi'shi'shi'nan'yang'lu
石狮市农办,shi'shi'shi'nong'ban
石狮市农村社保公司,shi'shi'shi'nong'cun'she'bao'gong'si
石狮市农村信用社联合社,shi'shi'shi'nong'cun'xin'yong'she'lian'he'she
石狮市农工党,shi'shi'shi'nong'gong'dang
石狮市农技站,shi'shi'shi'nong'ji'zhan
石狮市农机站,shi'shi'shi'nong'ji'zhan
石狮市农业函授大学分校,shi'shi'shi'nong'ye'han'shou'da'xue'fen'xiao
石狮市鹏山附小,shi'shi'shi'peng'shan'fu'xiao
石狮市鹏山工贸学校,shi'shi'shi'peng'shan'gong'mao'xue'xiao
石狮市鹏山社区卫生服务中心,shi'shi'shi'peng'shan'she'qu'wei'sheng'fu'wu'zhong'xin
石狮市鹏翔幼儿园,shi'shi'shi'peng'xiang'you'er'yuan
石狮市气象局,shi'shi'shi'qi'xiang'ju
石狮市企业社保公司,shi'shi'shi'qi'ye'she'bao'gong'si
石狮市七中,shi'shi'shi'qi'zhong
石狮市侨联,shi'shi'shi'qiao'lian
石狮市侨台外事局,shi'shi'shi'qiao'tai'wai'shi'ju
石狮市琼林北路,shi'shi'shi'qiong'lin'bei'lu
石狮市琼林南路,shi'shi'shi'qiong'lin'nan'lu
石狮市泉州纺织服装学院,shi'shi'shi'quan'zhou'fang'zhi'fu'zhuang'xue'yuan
石狮市群英北路,shi'shi'shi'qun'ying'bei'lu
石狮市燃料公司,shi'shi'shi'ran'liao'gong'si
石狮市人才交流中心,shi'shi'shi'ren'cai'jiao'liu'zhong'xin
石狮市人口和计划生育局,shi'shi'shi'ren'kou'he'ji'hua'sheng'yu'ju
石狮市人民法院,shi'shi'shi'ren'min'fa'yuan
石狮市人民法院湖滨法庭,shi'shi'shi'ren'min'fa'yuan'hu'bin'fa'ting
石狮市人民法院祥芝法庭,shi'shi'shi'ren'min'fa'yuan'xiang'zhi'fa'ting
石狮市人民检察院,shi'shi'shi'ren'min'jian'cha'yuan
石狮市人民路,shi'shi'shi'ren'min'lu
石狮市人民政府办公室,shi'shi'shi'ren'min'zheng'fu'ban'gong'shi
石狮市人事代表华侨工委,shi'shi'shi'ren'shi'dai'biao'hua'qiao'gong'wei
石狮市人事劳动和社会保障局,shi'shi'shi'ren'shi'lao'dong'he'she'hui'bao'zhang'ju
石狮市赛特医院,shi'shi'shi'sai'te'yi'yuan
石狮市三会爱卫办卫协办红十字会,shi'shi'shi'san'hui'ai'wei'ban'wei'xie'ban'hong'shi'zi'hui
石狮市三中,shi'shi'shi'san'zhong
石狮市三中附小,shi'shi'shi'san'zhong'fu'xiao
石狮市商业总公司,shi'shi'shi'shang'ye'zong'gong'si
石狮市少体校,shi'shi'shi'shao'ti'xiao
石狮市社会福利中心,shi'shi'shi'she'hui'fu'li'zhong'xin
石狮市审计局,shi'shi'shi'shen'ji'ju
石狮市生产力促进中心,shi'shi'shi'sheng'chan'li'cu'jin'zhong'xin
石狮市狮城影剧院,shi'shi'shi'shi'cheng'ying'ju'yuan
石狮市市地震办中心办,shi'shi'shi'shi'di'zhen'ban'zhong'xin'ban
石狮市石光华侨联合中学,shi'shi'shi'shi'guang'hua'qiao'lian'he'zhong'xue
石狮市石光中学,shi'shi'shi'shi'guang'zhong'xue
石狮市市口岸与海防办,shi'shi'shi'shi'kou'an'yu'hai'fang'ban
石狮市食品公司,shi'shi'shi'shi'pin'gong'si
石狮市市人大办公室,shi'shi'shi'shi'ren'da'ban'gong'shi
石狮市市人防办公室,shi'shi'shi'shi'ren'fang'ban'gong'shi
石狮市市委办公室,shi'shi'shi'shi'wei'ban'gong'shi
石狮市市委编制办公室,shi'shi'shi'shi'wei'bian'zhi'ban'gong'shi
石狮市市委党史研究室,shi'shi'shi'shi'wei'dang'shi'yan'jiu'shi
石狮市市委党校,shi'shi'shi'shi'wei'dang'xiao
石狮市市委文明办,shi'shi'shi'shi'wei'wen'ming'ban
石狮市市委宣传部,shi'shi'shi'shi'wei'xuan'chuan'bu
石狮市市委政法委,shi'shi'shi'shi'wei'zheng'fa'wei
石狮市市委组织部,shi'shi'shi'shi'wei'zu'zhi'bu
石狮市实验小学,shi'shi'shi'shi'yan'xiao'xue
石狮市实验幼儿园,shi'shi'shi'shi'yan'you'er'yuan
石狮市事业单位登记管理中心,shi'shi'shi'shi'ye'dan'wei'deng'ji'guan'li'zhong'xin
石狮市石永路沙美村,shi'shi'shi'shi'yong'lu'sha'mei'cun
石狮市石永路洋厝村,shi'shi'shi'shi'yong'lu'yang'cuo'cun
石狮市石油公司,shi'shi'shi'shi'you'gong'si
石狮市市政管理处,shi'shi'shi'shi'zheng'guan'li'chu
石狮市市政园林管理处,shi'shi'shi'shi'zheng'yuan'lin'guan'li'chu
石狮市市直党工委,shi'shi'shi'shi'zhi'dang'gong'wei
石狮市兽医站,shi'shi'shi'shou'yi'zhan
石狮市水产公司,shi'shi'shi'shui'chan'gong'si
石狮市水技站,shi'shi'shi'shui'ji'zhan
石狮市水务处,shi'shi'shi'shui'wu'chu
石狮市司法局,shi'shi'shi'si'fa'ju
石狮市司法局宝盖司法所,shi'shi'shi'si'fa'ju'bao'gai'si'fa'suo
石狮市司法局凤里司法所,shi'shi'shi'si'fa'ju'feng'li'si'fa'suo
石狮市司法局蚶江司法所,shi'shi'shi'si'fa'ju'han'jiang'si'fa'suo
石狮市司法局鸿山司法所,shi'shi'shi'si'fa'ju'hong'shan'si'fa'suo
石狮市司法局湖滨司法所,shi'shi'shi'si'fa'ju'hu'bin'si'fa'suo
石狮市司法局锦尚司法所,shi'shi'shi'si'fa'ju'jin'shang'si'fa'suo
石狮市司法局灵秀司法所,shi'shi'shi'si'fa'ju'ling'xiu'si'fa'suo
