阿家,a'jia
不以,bu'yi
不用,bu'yong
不谕,bu'yu
不诤,bu'zheng
惭,can
残,can
惨醋,can'cu
惭愧,can'kui
操暴,cao'bao
草草,cao'cao
操次,cao'ci
操恶,cao'e
曹主,cao'zhu
侧,ce
册,ce
恻塞,ce'sai
参差,cen'ci
蹭蹬,ceng'deng
曾寒灾声,ceng'han'zai'sheng
茶,cha
衩,cha
叉,cha
差,cha
杈,cha
差恶,cha'e
茶风,cha'feng
查郎,cha'lang
叉手,cha'shou
差事,chai'shi
长短,chang'duan
唱将罗,chang'jiang'luo
唱口尔,chang'kou'er
唱快,chang'kuai
猖狂,chang'kuang
长眠鬼,chang'mian'gui
唱喏,chang're
长头,chang'tou
长展脚,chang'zhan'jiao
常住,chang'zhu
抄,chao
抄手,chao'shou
朝庭,chao'ting
朝廷,chao'ting
掣拨鬼,che'bo'gui
趁,chen
趁迭,chen'die
趁逐,chen'zhu
趁足央,chen'zu'yang
称断,cheng'duan
称傅,cheng'fu
称可,cheng'ke
称算,cheng'suan
成特,cheng'te
承忘,cheng'wang
承望,cheng'wang
抽,chou
惆怅,chou'chang
抽头,chou'tou
出,chu
除并,chu'bing
触处,chu'chu
出来,chu'lai
初来花下,chu'lai'hua'xia
出巧,chu'qiao
出头,chu'tou
出性,chu'xing
揣,chuai
搋,chuai
垂,chui
蠢动,chun'dong
蠢害,chun'hai
踔,chuo
绰绽,chuo'zhan
次,ci
词乖,ci'guai
伺命,ci'ming
词向,ci'xiang
词谢,ci'xie
辞谢,ci'xie
此者,ci'zhe
从,cong
聪聪,cong'cong
从头,cong'tou
粗赤粗黄,cu'chi'cu'huang
攒虫元,cuan'chong'yuan
攒军,cuan'jun
攒身,cuan'shen
攒水元,cuan'shui'yuan
攒玩,cuan'wan
攒刑,cuan'xing
攒形,cuan'xing
翠,cui
存情,cun'qing
存心,cun'xin
搓,cuo
撮头,cuo'tou
大,da
打,da
打扳,da'ban
大段,da'duan
打钩,da'gou
大户,da'hu
大家,da'jia
大开口,da'kai'kou
大郎君,da'lang'jun
大例,da'li
打强,da'qiang
大煞生,da'sha'sheng
大数,da'shu
大限,da'xian
大须,da'xu
打硬,da'ying
大欲,da'yu
打谕,da'yu
大造,da'zao
大丈夫儿,da'zhang'fu'er
大照,da'zhao
贷便,dai'bian
带类,dai'lei
待诏,dai'zhao
耽,dan
但,dan
噉,dan
担,dan
淡泞,dan'ning
但是,dan'shi
但之,dan'zhi
但知,dan'zhi
当,dang
当本,dang'ben
当才,dang'cai
当家,dang'jia
当来,dang'lai
当头,dang'tou
道,dao
到头,dao'tou
道犹言讫,dao'you'yan'qi
得解,de'jie
德解,de'jie
的莫,de'mo
得能,de'neng
等量,deng'liang
低,di
地,di
底,di
底漠,di'mo
低牟,di'mou
地子,di'zi
典仓,dian'cang
典砚,dian'yan
电祖,dian'zu
掉举,diao'ju
定,ding
碇,ding
东西,dong'xi
东西毛,dong'xi'mao
斗,dou
都来,dou'lai
豆流,dou'liu
逗遛,dou'liu
都要,dou'yao
姤害,du'hai
断割,duan'ge
断送,duan'song
端午,duan'wu
队,dui
对,dui
对会,dui'hui
对量,dui'liang
钝录,dun'lu
顿食,dun'shi
堕,duo
夺,duo
掇,duo
掇地,duo'di
堕负,duo'fu
多少,duo'shao
多生,duo'sheng
掇头,duo'tou
恶发,e'fa
恶绍,e'shao
恩私,en'si
儿,er
儿夫,er'fu
儿婿,er'xu
发侧,fa'ce
发露,fa'lu
法乳,fa'ru
发业,fa'ye
返,fan
翻,fan
返倒,fan'dao
烦笼,fan'long
繁笼,fan'long
返张,fan'zhang
放,fang
仿便,fang'bian
方便,fang'bian
放钝,fang'dun
放匪,fang'fei
房卧,fang'wo
方圆,fang'yuan
非,fei
非不,fei'bu
非分,fei'fen
非甚,fei'shen
非时,fei'shi
非谕,fei'yu
分,fen
芬泊,fen'bo
芬芳,fen'fang
分方,fen'fang
芬菲,fen'fei
芬霏,fen'fei
分非,fen'fei
芬芬,fen'fen
分疏,fen'shu
分析,fen'xi
分雪,fen'xue
分义,fen'yi
纷纭,fen'yun
分张,fen'zhang
风醋,feng'cu
风措,feng'cuo
逢头,feng'tou
复,fu
服,fu
负偿,fu'chang
负持,fu'chi
赴地,fu'di
扶接,fu'jie
附近,fu'jin
负卵,fu'luan
附卵,fu'luan
浮囊,fu'nang
敷荣,fu'rong
幅塞,fu'sai
腹生,fu'sheng
浮逃,fu'tao
负特,fu'te
服子,fu'zi
感惭,gan'can
感得,gan'de
感贺,gan'he
感愧,gan'kui
感招,gan'zhao
敢昭,gan'zhao
刚,gang
高心,gao'xin
哥哥,ge'ge
歌歌,ge'ge
隔勒,ge'le
隔是,ge'shi
根本,gen'ben
贡高,gong'gao
功课,gong'ke
共事,gong'shi
公心公心,gong'xin'gong'xin
勾当,gou'dang
勾留,gou'liu
勾巡,gou'xun
勾引,gou'yin
故,gu
骨咄,gu'duo
固固,gu'gu
故故,gu'gu
顾录,gu'lu
古纸,gu'zhi
故纸,gu'zhi
卦,gua
寡,gua
挂,gua
騧騮,gua'liu
瓜萝,gua'luo
掴,guai
官家,guan'jia
官事,guan'shi
光火贼,guang'huo'zei
贵,gui
鬼朴,gui'pu
过,guo
过案,guo'an
裹角,guo'jiao
国师,guo'shi
过以,guo'yi
过与,guo'yu
还,hai
罕,han
寒盗,han'dao
含类,han'lei
含令,han'ling
含灵,han'ling
寒毛稿竖,han'mao'gao'shu
寒毛卓竖,han'mao'zhuo'shu
含识,han'shi
憨头狼,han'tou'lang
撼战,han'zhan
行业,hang'ye
皓汗,hao'han
浩浩,hao'hao
皓皓,hao'hao
好恶,hao'wu
好住,hao'zhu
褐,he
合,he
和,he
合合亲亲,he'he'qin'qin
和可,he'ke
何劳,he'lao
合门,he'men
何省,he'sheng
何似,he'si
何似生,he'si'sheng
和同,he'tong
何勿,he'wu
何物,he'wu
何意,he'yi
轰轰,hong'hong
后底,hou'di
吼唤,hou'huan
后来日,hou'lai'ri
后翁,hou'weng
后衙,hou'ya
忽,hu
户,hu
胡部,hu'bu
忽而,hu'er
忽尔,hu'er
呼唤,hu'huan
忽雷,hu'lei
忽期,hu'qi
忽然,hu'ran
忽若,hu'ruo
忽要,hu'yao
花色,hua'se
怀担,huai'dan
怀协,huai'xie
怀挟,huai'xie
坏质,huai'zhi
患,huan
患疾,huan'ji
黄沙,huang'sha
荒语,huang'yu
会,hui
回博,hui'bo
回地轴,hui'di'zhou
回换,hui'huan
回惶,hui'huang
回回,hui'hui
浑成,hun'cheng
浑家,hun'jia
浑舍,hun'she
浑谕,hun'yu
火曹,huo'cao
火队,huo'dui
活计,huo'ji
或若,huo'ruo
获时,huo'shi
活业,huo'ye
获指,huo'zhi
极,ji
继,ji
继半,ji'ban
继绊,ji'ban
继缠,ji'chan
几多,ji'duo
击分,ji'fen
击拂,ji'fu
计会,ji'hui
济济苍苍,ji'ji'cang'cang
济济锵锵,ji'ji'qiang'qiang
计较,ji'jiao
伎俩,ji'liang
疾路,ji'lu
继念,ji'nian
计守,ji'shou
急手,ji'shou
伎艺,ji'yi
及以,ji'yi
家,jia
加谤,jia'bang
加被,jia'bei
加备,jia'bei
家常,jia'chang
加持,jia'chi
家计,jia'ji
戛戛,jia'jia
家理,jia'li
假令,jia'ling
加念,jia'nian
假饶,jia'rao
家生,jia'sheng
家生厮儿,jia'sheng'si'er
假使,jia'shi
家缘,jia'yuan
加诸,jia'zhu
奸便,jian'bian
简点,jian'dian
拣炼,jian'lian
简练,jian'lian
奸人,jian'ren
拣甚,jian'shen
减损,jian'sun
尖新,jian'xin
谏异,jian'yi
拣异,jian'yi
见坐,jian'zuo
将,jiang
将军,jiang'jun
将谓,jiang'wei
将为,jiang'wei
将作,jiang'zuo
较,jiao
交,jiao
教,jiao
娇多,jiao'duo
交关,jiao'guan
叫呼,jiao'hu
角睛,jiao'jing
角束,jiao'shu
角眼,jiao'yan
较招,jiao'zhao
交招,jiao'zhao
解,jie
阶,jie
接,jie
皆,jie
结果,jie'guo
节会,jie'hui
结磨,jie'mo
羯磨,jie'mo
解事,jie'shi
结使,jie'shi
借问,jie'wen
解奚,jie'xi
解卸,jie'xie
解摘,jie'zhai
结周,jie'zhou
借助,jie'zhu
近远,jin'yuan
尽月,jin'yue
敬,jing
精,jing
精练,jing'lian
京罗,jing'luo
惊忙,jing'mang
精勤,jing'qin
经求,jing'qiu
经饶,jing'rao
敬日,jing'ri
经行,jing'xing
京样,jing'yang
惊诈,jing'zha
酒黄,jiu'huang
啾唧,jiu'ji
久住,jiu'zhu
举,ju
举取,ju'qu
举使,ju'shi
拒张,ju'zhang
居诸,ju'zhu
觉,jue
决,jue
厥错,jue'cuo
决定,jue'ding
觉黄,jue'huang
峻,jun
开眼尿床,kai'yan'niao'chuang
看,kan
看待,kan'dai
看看,kan'kan
可,ke
可不,ke'bu
可曾,ke'ceng
可堪,ke'kan
咳咳,ke'ke
可怜许,ke'lian'xu
珂佩,ke'pei
可煞,ke'sha
可畏,ke'wei
可憎,ke'zeng
可中,ke'zhong
垦苦,ken'ku
垦款,ken'kuan
恐勤,kong'qin
空手冷面,kong'shou'leng'mian
口承,kou'cheng
口马行头,kou'ma'hang'tou
苦考,ku'kao
苦死,ku'si
蒯,kuai
况,kuang
诳赫,kuang'he
诳语,kuang'yu
愧,kui
愧感,kui'gan
愧荷,kui'he
愧贺,kui'he
括客,kuo'ke
浪,lang
郎君,lang'jun
郎主,lang'zhu
劳鹿,lao'lu
了,le
勒,le
勒铺,le'pu
了首,le'shou
了受,le'shou
乐营,le'ying
羸垂,lei'chui
羸掇,lei'duo
里,li
立地,li'di
连脑,lian'nao
连翩,lian'pian
连胸,lian'xiong
恋着,lian'zhe
量,liang
量口,liang'kou
两盈,liang'ying
撩,liao
聊乳,liao'ru
辽乳,liao'ru
撩乳,liao'ru
了事,liao'shi
料物,liao'wu
疗治,liao'zhi
列,lie
劣时,lie'shi
邻并,lin'bing
临年,lin'nian
陵迟,ling'chi
陵持,ling'chi
凌迟,ling'chi
凌持,ling'chi
令章,ling'zhang
留,liu
留连,liu'lian
留难,liu'nan
流通,liu'tong
陇种,long'zhong
蝼,lou
偻,lou
喽,lou
娄,lou
喽喽,lou'lou
偻罗,lou'luo
喽罗,lou'luo
虏丑,lu'chou
卤莽,lu'mang
鹿齐,lu'qi
露柱,lu'zhu
掠虚,lue'xu
轮,lun
轮钩,lun'gou
论情,lun'qing
洛薄,luo'bao
落荒,luo'huang
洛荒,luo'huang
落节,luo'jie
罗拽,luo'zhuai
马头,ma'tou
马子,ma'zi
麦,mai
慢乏,man'fa
慢慢,man'man
漫漫,man'man
莽,mang
莽路,mang'lu
莽鲁,mang'lu
忙卤,mang'lu
漭卤,mang'lu
忙忙,mang'mang
忙怕,mang'pa
忙祥,mang'xiang
貌,mao
冒掺,mao'chan
冒或,mao'huo
帽惑,mao'huo
貌哨,mao'shao
么,me
梅点,mei'dian
没忽,mei'hu
没量,mei'liang
没没,mei'mei
门富塞,men'fu'sai
门眉,men'mei
觅曲,mi'qu
面,mian
邈,miao
愍,min
命,ming
名部,ming'bu
莫,mo
魔,mo
摩,mo
模,mo
磨,mo
陌刀,mo'dao
末后,mo'hou
磨龙,mo'long
摸马攀鞍,mo'ma'pan'an
摸摸,mo'mo
陌目,mo'mu
末上,mo'shang
莫是,mo'shi
魔冤,mo'yuan
牟,mou
谋点,mou'dian
谋闷,mou'men
某某,mou'mou
某乙,mou'yi
木富塞,mu'fu'sai
乃可,nai'ke
乃然,nai'ran
男女,nan'nv
囊,nang
恼,nao
恼害,nao'hai
脑乳,nao'ru
内亲,nei'qin
能,neng
能得,neng'de
能德,neng'de
逆,ni
拟,ni
溺,ni
捻,nian
捻脚,nian'jiao
念念,nian'nian
年侵蒲柳,nian'qin'pu'liu
娘娘,niang'niang
娘主,niang'zhu
娘子,niang'zi
拗捩,niu'lie
忸怩,niu'ni
奴,nu
孥,nu
弩那,nu'na
怒那,nu'na
搦,nuo
女夫,nv'fu
女男,nv'nan
女翁,nv'weng
怕怕,pa'pa
排备,pai'bei
排比,pai'bi
排打,pai'da
徘徊,pai'huai
拍搦,pai'nuo
排批,pai'pi
排枇,pai'pi
排偷,pai'tou
判,pan
潘,pan
盘缠,pan'chan
判付,pan'fu
抛,pao
抛敌,pao'di
抛涤,pao'di
陪备,pei'bei
朋,peng
蓬悖,peng'bei
蓬勃,peng'bo
枇排,pi'pai
偏,pian
偏并,pian'bing
品官,pin'guan
娉,ping
平善,ping'shan
平隐,ping'yin
颇,po
破,po
破除,po'chu
叵耐,po'nai
叵奈,po'nai
颇我,po'wo
破用,po'yong
朴地,pu'di
浦逃,pu'tao
乞,qi
其,qi
契,qi
乞待,qi'dai
岂可,qi'ke
乞求,qi'qiu
欺屈,qi'qu
其如,qi'ru
乞事,qi'shi
契要,qi'yao
契义,qi'yi
洽背汗流,qia'bei'han'liu
恰恰,qia'qia
乾,qian
前逞,qian'cheng
前程,qian'cheng
千次,qian'ci
前来,qian'lai
潜谋,qian'mou
千年调,qian'nian'tiao
前却,qian'que
倩书,qian'shu
乾言强语,qian'yan'qiang'yu
强,qiang
锵锵济济,qiang'qiang'ji'ji
翘诚,qiao'cheng
钦岑,qin'cen
亲福儿,qin'fu'er
亲罗,qin'luo
亲情,qin'qing
亲枝,qin'zhi
擎,qing
情诚,qing'cheng
青赤,qing'chi
青泥,qing'ni
清泥,qing'ni
情亲,qing'qin
请屈,qing'qu
情识,qing'shi
请书,qing'shu
青阳,qing'yang
穷洲旅际,qiong'zhou'lv'ji
去,qu
取,qu
屈,qu
取次,qu'ci
取此,qu'ci
曲恩,qu'en
屈节,qu'jie
去就,qu'jiu
屈期,qu'qi
屈请,qu'qing
曲情,qu'qing
驱驱,qu'qu
曲取,qu'qu
去天入地,qu'tian'ru'di
取性,qu'xing
取意,qu'yi
却,que
逡速,qun'su
逡巡,qun'xun
然,ran
然乃,ran'nai
苒惹,ran're
饶,rao
娆恼,rao'nao
饶益,rao'yi
热恼,re'nao
惹子,re'zi
仁,ren
任军,ren'jun
任连,ren'lian
人貌,ren'mao
人情,ren'qing
荏苒,ren'ran
人参酢,ren'shen'zuo
人我,ren'wo
人相,ren'xiang
仍仍,reng'reng
如何向,ru'he'xiang
如然,ru'ran
如如,ru'ru
入舍女婿,ru'she'nv'xu
软脚,ruan'jiao
软言,ruan'yan
软语,ruan'yu
若,ruo
弱,ruo
飒,sa
撒花,sa'hua
塞,sai
塞当,sai'dang
塞绍,sai'shao
三八,san'ba
散惮,san'dan
散头,san'tou
丧灵,sang'ling
色,se
色类,se'lei
色养,se'yang
煞,sha
晒,shai
善芽,shan'ya
善牙,shan'ya
上风,shang'feng
上来,shang'lai
尚来,shang'lai
商量,shang'liang
商宜,shang'yi
尚字,shang'zi
稍,shao
少多,shao'duo
稍似,shao'si
慑,she
摄,she
设使,she'shi
审的,shen'de
什没,shen'mei
甚没,shen'mei
甚生,shen'sheng
神王,shen'wang
身无,shen'wu
神猪儿,shen'zhu'er
剩,sheng
圣,sheng
生,sheng
笙,sheng
升常,sheng'chang
生分,sheng'fen
声唤,sheng'huan
生盲,sheng'mang
生宁,sheng'ning
生受,sheng'shou
生涯,sheng'ya
生缘,sheng'yuan
剩仗,sheng'zhang
生杖,sheng'zhang
识,shi
师,shi
时,shi
是,shi
时处,shi'chu
失儿母狼,shi'er'mu'lang
时固,shi'gu
尸骸,shi'hai
时呼,shi'hu
时见,shi'jian
使脚,shi'jiao
十角,shi'jiao
试练,shi'lian
尸灵,shi'ling
世路,shi'lu
是没,shi'mei
实莫,shi'mo
侍娘,shi'niang
十七,shi'qi
石妻,shi'qi
师人,shi'ren
时人,shi'ren
尸丧,shi'sang
使头,shi'tou
时饷,shi'xiang
时向,shi'xiang
事须,shi'xu
是须,shi'xu
事意,shi'yi
事由,shi'you
手,shou
手叉,shou'cha
收后,shou'hou
手力,shou'li
收录,shou'lu
受命,shou'ming
收什,shou'shen
手头,shou'tou
输,shu
数,shu
梳略,shu'lue
属娉,shu'ping
水病,shui'bing
水楔不通,shui'xie'bu'tong
似,si
四大,si'da
四代,si'dai
私理,si'li
思量言讫,si'liang'yan'qi
四片板,si'pian'ban
死朴,si'pu
死生,si'sheng
死事,si'shi
死王,si'wang
肆在,si'zai
四在,si'zai
思在,si'zai
四至,si'zhi
耸,song
耸干,song'gan
搜获,sou'huo
搜麦,sou'mai
素,su
窣地,su'di
俗语,su'yu
筭,suan
随分,sui'fen
随宜,sui'yi
随疑,sui'yi
损,sun
损动,sun'dong
所,suo
索,suo
索强,suo'qiang
所是,suo'shi
所由,suo'you
踏地,ta'di
踏后,ta'hou
滩,tan
贪监,tan'jian
谈量,tan'liang
檀檀,tan'tan
贪着,tan'zhe
汤,tang
唐唐,tang'tang
特达,te'da
特故,te'gu
体,ti
剔,ti
体察,ti'cha
梯梅,ti'mei
提撕,ti'si
剃秃,ti'tu
体问,ti'wen
体悉,ti'xi
田常,tian'chang
田地,tian'di
填置,tian'zhi
条流,tiao'liu
条章,tiao'zhang
怗怗,tie'tie
帖写,tie'xie
铤,ting
亭,ting
停,ting
廷,ting
挺,ting
停腾,ting'teng
停稳,ting'wen
亭隐,ting'yin
通容,tong'rong
透,tou
头尖,tou'jian
头毛,tou'mao
头牟,tou'mou
头稍,tou'shao
头首,tou'shou
头头,tou'tou
荼,tu
徒费,tu'fei
土孔龙,tu'kong'long
徒特,tu'te
团裁,tuan'cai
团估,tuan'gu
退,tui
退败,tui'bai
推巩,tui'gong
退故,tui'gu
推排,tui'pai
退屈,tui'qu
拓,tuo
脱空,tuo'kong
脱头,tuo'tou
万福,wan'fu
顽皮,wan'pi
宛转,wan'zhuan
望风,wang'feng
望空便额,wang'kong'bian'e
汪羸,wang'lei
往前,wang'qian
隈,wei
委,wei
威弛,wei'chi
萎悴,wei'cui
为当,wei'dang
隈地,wei'di
猥地,wei'di
为复,wei'fu
委记,wei'ji
未记,wei'ji
委军,wei'jun
威棱,wei'leng
未省,wei'sheng
为是,wei'shi
隈形,wei'xing
逶迤,wei'yi
威仪,wei'yi
委知,wei'zhi
委嘱,wei'zhu
闻,wen
问头,wen'tou
文文莫莫,wen'wen'mo'mo
问信,wen'xin
闻样,wen'yang
我慢,wo'man
乌,wu
兀,wu
呜,wu
无,wu
无端,wu'duan
五掇,wu'duo
无妨,wu'fang
五花营,wu'hua'ying
乌金,wu'jin
五量,wu'liang
五逆,wu'ni
污泥,wu'ni
无事,wu'shi
无天分,wu'tian'fen
无问,wu'wen
五下,wu'xia
系绊,xi'ban
夏,xia
下牒,xia'die
下官,xia'guan
下脱,xia'tuo
线,xian
先锋,xian'feng
贤首,xian'shou
向,xiang
向口,xiang'kou
向来,xiang'lai
相郎,xiang'lang
祥序,xiang'xu
翔序,xiang'xu
相宜,xiang'yi
向者,xiang'zhe
效,xiao
校,xiao
消得,xiao'de
校量,xiao'liang
萧洒,xiao'sa
消息,xiao'xi
笑效,xiao'xiao
小子,xiao'zi
偕,xie
写,xie
邂逅,xie'hou
些些,xie'xie
邪幢,xie'zhuang
信,xin
心口思惟,xin'kou'si'wei
辛苦,xin'ku
信受,xin'shou
形段,xing'duan
刑迹,xing'ji
形迹,xing'ji
形积,xing'ji
行解,xing'jie
行李,xing'li
性令,xing'ling
性灵,xing'ling
刑名,xing'ming
行钱,xing'qian
形容,xing'rong
兴生,xing'sheng
惺悟,xing'wu
行巷,xing'xiang
刑要,xing'yao
兴易,xing'yi
形则,xing'ze
修理,xiu'li
修种,xiu'zhong
须,xu
须索,xu'suo
虚沾,xu'zhan
选甚,xuan'shen
宣头,xuan'tou
旋旋,xuan'xuan
穴白,xue'bai
寻,xun
巡,xun
寻常,xun'chang
旬门,xun'men
寻时,xun'shi
亚,ya
押背,ya'bei
崖柴,ya'chai
押良,ya'liang
雅责,ya'ze
言,yan
严持,yan'chi
沿房,yan'fang
厌患,yan'huan
延屈,yan'qu
颜容,yan'rong
沿身,yan'shen
严迅,yan'xun
延引,yan'yin
洋铜,yang'tong
阳炎,yang'yan
阳焰,yang'yan
洋洋,yang'yang
要,yao
咬齿,yao'chi
要勒,yao'le
邀勒,yao'le
邀屈,yao'qu
妖桃,yao'tao
野干,ye'gan
野语,ye'yu
憶逼,yi'bi
以不,yi'bu
已不,yi'bu
一从,yi'cong
以否,yi'fou
已否,yi'fou
衣服,yi'fu
一交,yi'jiao
艺解,yi'jie
依赖,yi'lai
熠没,yi'mei
一纳,yi'na
詣实,yi'shi
一似,yi'si
一往,yi'wang
宜悟,yi'wu
疑悟,yi'wu
一向,yi'xiang
一响,yi'xiang
一向子,yi'xiang'zi
一众,yi'zhong
一种,yi'zhong
隐便,yin'bian
印成,yin'cheng
饮户,yin'hu
饮流,yin'liu
音声,yin'sheng
因巡,yin'xun
因循,yin'xun
因依,yin'yi
隐影,yin'ying
影,ying
营乳,ying'ru
影晌,ying'shang
应十,ying'shi
应时,ying'shi
影乡,ying'xiang
影向,ying'xiang
影响,ying'xiang
应有,ying'you
蛹移,yong'yi
俑移,yong'yi
勇伊,yong'yi
蛹悦,yong'yue
尤,you
由,you
犹故,you'gu
尤泥,you'ni
游泥,you'ni
尤深,you'shen
忧泰,you'tai
有相,you'xiang
由绪,you'xu
与,yu
喻,yu
於,yu
欲,yu
馀残,yu'can
喻如,yu'ru
预若,yu'ruo
喻若,yu'ruo
欲俟,yu'si
缘房,yuan'fang
缘没,yuan'mei
缘身,yuan'shen
院长,yuan'zhang
月爱,yue'ai
咋呀,za'ya
在,zai
在生,zai'sheng
在思,zai'si
在意,zai'yi
暂愧,zan'kui
早,zao
造次,zao'ci
糟糠,zao'kang
早是,zao'shi
早晚,zao'wan
责情,ze'qing
责数,ze'shu
乍,zha
乍可,zha'ke
宅舍,zhai'she
斋设,zhai'she
占,zhan
占不,zhan'bu
战陈,zhan'chen
战悼,zhan'dao
战掉,zhan'diao
占相,zhan'xiang
占祥,zhan'xiang
瞻相,zhan'xiang
战酌,zhan'zhuo
战灼,zhan'zhuo
长大,zhang'da
獐狂,zhang'kuang
章令,zhang'ling
长者,zhang'zhe
杖子,zhang'zi
招感,zhao'gan
招交,zhao'jiao
昭苏,zhao'su
照灼,zhao'zhuo
者,zhe
遮,zhe
着,zhe
遮不,zhe'bu
着积,zhe'ji
遮莫,zhe'mo
遮月,zhe'yue
遮嘱,zhe'zhu
镇,zhen
桢,zhen
针钉,zhen'ding
珍重,zhen'zhong
斟酌,zhen'zhuo
祯子,zhen'zi
争,zheng
症见,zheng'jian
争那,zheng'na
症知,zheng'zhi
质,zhi
之,zhi
只,zhi
直,zhi
知,zhi
纸笔,zhi'bi
志诚,zhi'cheng
祗承,zhi'cheng
知当,zhi'dang
祗当,zhi'dang
志道,zhi'dao
致得,zhi'de
指的,zhi'de
直得,zhi'de
置得,zhi'de
祗敌,zhi'di
祗对,zhi'dui
支分,zhi'fen
祗供,zhi'gong
知何道,zhi'he'dao
祗候,zhi'hou
只竟,zhi'jing
志理,zhi'li
智量,zhi'liang
枝罗,zhi'luo
只没,zhi'mei
只磨,zhi'mo
直拟,zhi'ni
祗拟,zhi'ni
直饶,zhi'rao
制受,zhi'shou
只首,zhi'shou
只守,zhi'shou
只手,zhi'shou
质素,zhi'su
指诉,zhi'su
知危,zhi'wei
至心,zhi'xin
志心,zhi'xin
置言,zhi'yan
至意,zhi'yi
志意,zhi'yi
祗揖,zhi'yi
之者,zhi'zhe
志真,zhi'zhen
终诸,zhong'zhu
周,zhou
周旋,zhou'xuan
周章,zhou'zhang
周遮,zhou'zhe
诸,zhu
住,zhu
助,zhu
猪记,zhu'ji
主领,zhu'ling
嘱娉,zhu'ping
祝娉,zhu'ping
竹娉,zhu'ping
诸问,zhu'wen
贮颜,zhu'yan
主已,zhu'yi
诸饮,zhu'yin
转更,zhuan'geng
转加,zhuan'jia
转开,zhuan'kai
专顒,zhuan'yong
专至,zhuan'zhi
专志,zhuan'zhi
转转,zhuan'zhuan
幢,zhuang
状,zhuang
坠,zhui
衠,zhun
准承,zhun'cheng
准拟,zhun'ni
准望,zhun'wang
卓,zhuo
捉,zhuo
卓齿,zhuo'chi
斫营,zhuo'ying
谘,zi
子,zi
谘白,zi'bai
谘报,zi'bao
谘禀,zi'bing
谘陈,zi'chen
紫臭翁,zi'chou'weng
谘量,zi'liang
自扑魂槌,zi'pu'hun'chui
谘屈,zi'qu
谘说,zi'shuo
谘闻,zi'wen
子细,zi'xi
自隐,zi'yin
总,zong
纵饶,zong'rao
坐,zuo
作家,zuo'jia
作剧,zuo'ju
作客,zuo'ke
作者,zuo'zhe
作祖,zuo'zu
