阿部敦,a'bu'dun
户松遥,hu'song'yao
华丽的挑战,hua'li'de'tiao'zhan
华莫雷诺斯,hua'mo'lei'nuo'si
花神旺里,hua'shen'wang'li
花田光,hua'tian'guang
花咲茜,hua'xiao'qian
华园光,hua'yuan'guang
怀兹,huai'zi
惠比寿,hui'bi'shou
灰翅,hui'chi
火下省吾,huo'xia'sheng'wu
机动战士高达,ji'dong'zhan'shi'gao'da
基尔可,ji'er'ke
姬宫千子,ji'gong'qian'zi
鹡鸰,ji'ling
鹡鸰女神,ji'ling'nv'shen
吉野裕行,ji'ye'yu'xing
甲斐荣二,jia'fei'rong'er
甲斐田裕子,jia'fei'tian'yu'zi
加藤久嵩,jia'teng'jiu'song
加藤奈奈绘,jia'teng'nai'nai'hui
加藤英美里,jia'teng'ying'mei'li
贾诩文和,jia'xu'wen'he
架院晓,jia'yuan'xiao
间岛淳司,jian'dao'chun'si
菅生隆之,jian'sheng'long'zhi
交响情人梦,jiao'xiang'qing'ren'meng
皆本光一,jie'ben'guang'yi
结城梨斗,jie'cheng'li'dou
结城美柑,jie'cheng'mei'gan
皆川纯子,jie'chuan'chun'zi
皆口裕子,jie'kou'yu'zi
杰廉,jie'lian
结女,jie'nv
杰伊德卡斯特,jie'yi'de'ka'si'te
今井浩二,jin'jing'hao'er
金井良信,jin'jing'liang'xin
金色黑暗,jin'se'hei'an
禁书目录,jin'shu'mu'lu
进藤正树,jin'teng'zheng'shu
今天的年班,jin'tian'de'nian'ban
津田沼修,jin'tian'zhao'xiu
井坂龙一郎,jing'ban'long'yi'lang
井口裕香,jing'kou'yu'xiang
井上和彦,jing'shang'he'yan
井上麻理奈,jing'shang'ma'li'nai
井上麻里奈,jing'shang'ma'li'nai
井上喜久子,jing'shang'xi'jiu'zi
九凤院苍树,jiu'feng'yuan'cang'shu
九凤院莲丈,jiu'feng'yuan'lian'zhang
九凤院龙士,jiu'feng'yuan'long'shi
九凤院紫,jiu'feng'yuan'zi
九鬼扬羽,jiu'gui'yang'yu
酒井香奈子,jiu'jing'xiang'nai'zi
九具津隆,jiu'ju'jin'long
玖兰枢,jiu'lan'shu
九门真纪,jiu'men'zhen'ji
久能,jiu'neng
九条美海,jiu'tiao'mei'hai
九耀,jiu'yao
久远寺梦,jiu'yuan'si'meng
久远寺森罗,jiu'yuan'si'sen'luo
久远寺未有,jiu'yuan'si'wei'you
菊理,ju'li
橘美琴,ju'mei'qin
绝对冲击,jue'dui'chong'ji
绝对可怜,jue'dui'ke'lian
绝对可怜小孩,jue'dui'ke'lian'xiao'hai
君吻,jun'wen
卡尔班奈迪,ka'er'ban'nai'di
卡娜卡,ka'na'ka
卡夏,ka'xia
凯伊塞希尔,kai'yi'sai'xi'er
克巴克,ke'ba'ke
可尔比,ke'er'bi
可美克,ke'mei'ke
堀江由衣,ku'jiang'you'yi
库罗艾,ku'luo'ai
堀绚子,ku'xuan'zi
狂乱家族日记,kuang'luan'jia'zu'ri'ji
拉欧宇,la'ou'yu
拉欧宇外传,la'ou'yu'wai'zhuan
濑尾香,lai'wei'xiang
蓝堂英,lan'tang'ying
狼与香辛料,lang'yu'xiang'xin'liao
雷光,lei'guang
蕾见不二子,lei'jian'bu'er'zi
雷鸣,lei'ming
蕾娜,lei'na
蕾切尔,lei'qie'er
雷文,lei'wen
莉迪雅,li'di'ya
立花慎之介,li'hua'shen'zhi'jie
栗生恵,li'sheng'hui
里仲成美,li'zhong'cheng'mei
里仲军平,li'zhong'jun'ping
凉崎知惠,liang'qi'zhi'hui
绫濑,ling'lai
绫瀬瑠子,ling'lai'liu'zi
绫濑明日奈,ling'lai'ming'ri'nai
绫濑裕人,ling'lai'yu'ren
铃木达央,ling'mu'da'yang
铃木千寻,ling'mu'qian'xun
绫小路华恋,ling'xiao'lu'hua'lian
零之使魔,ling'zhi'shi'mo
刘备玄徳,liu'bei'xuan'de
六瓢,liu'piao
六条壬晴,liu'tiao'ren'qing
刘月丽,liu'yue'li
琉兹,liu'zi
泷岛彗,long'dao'hui
滝岛悟,long'dao'wu
龙虎斗,long'hu'dou
龙加,long'jia
龙狼,long'lang
路克冯法布雷,lu'ke'feng'fa'bu'lei
露娜,lu'na
陆逊伯言,lu'xun'bo'yan
露易斯,lu'yi'si
乱崎雹霞,luan'qi'bao'xia
乱崎凰火,luan'qi'huang'huo
乱崎凶华,luan'qi'xiong'hua
乱崎银夏,luan'qi'yin'xia
乱崎优歌,luan'qi'you'ge
乱崎月香,luan'qi'yue'xiang
轮入道,lun'ru'dao
落合祐里香,luo'he'you'li'xiang
洛克恩斯托拉托斯,luo'ke'en'si'tuo'la'tuo'si
罗伦斯,luo'lun'si
吕布奉先,lv'bu'feng'xian
緑川光,lv'chuan'guang
吕蒙子明,lv'meng'zi'ming
猫目静,mao'mu'jing
猫目静先生,mao'mu'jing'xian'sheng
美川文伽,mei'chuan'wen'jia
美铃,mei'ling
美哉,mei'zai
密羽,mi'yu
明坂,ming'ban
明坂聪美,ming'ban'cong'mei
明石薫,ming'shi'xun
名冢佳织,ming'zhong'jia'zhi
魔法禁书目录,mo'fa'jin'shu'mu'lu
魔法学园,mo'fa'xue'yuan
木村亚希子,mu'cun'ya'xi'zi
目黒俄雨,mu'hei'e'yu
牧原泉,mu'yuan'quan
幕之内潮,mu'zhi'nei'chao
纳谷六朗,na'gu'liu'lang
那雷逊,na'lei'xun
那奇亚美,na'qi'ya'mei
乃木坂春香,nai'mu'ban'chun'xiang
乃木坂春香的秘密,nai'mu'ban'chun'xiang'de'mi'mi
乃木坂美夏,nai'mu'ban'mei'xia
南斗星,nan'dou'xing
南野,nan'ye
内海贤二,nei'hai'xian'er
能登麻美子,neng'deng'ma'mei'zi
能乃村步巳,neng'nai'cun'bu'si
籾冈理沙,ni'gang'li'sha
尼可,ni'ke
你是主人我是仆,ni'shi'zhu'ren'wo'shi'pu
诺拉,nuo'la
片桐优姬,pian'tong'you'ji
平川夏实,ping'chuan'xia'shi
苹果,ping'guo
平贺才人,ping'he'cai'ren
平田宏美,ping'tian'hong'mei
平野綾,ping'ye'ling
平野绫,ping'ye'ling
普罗依斯加奇,pu'luo'yi'si'jia'qi
七城那波,qi'cheng'na'bo
七海蓝,qi'hai'lan
奇赛鲁爷,qi'sai'lu'ye
千代启二,qian'dai'qi'er
浅间美哉,qian'jian'mei'zai
千津子,qian'jin'zi
千秋真一,qian'qiu'zhen'yi
千叶进步,qian'ye'jin'bu
千叶纱子,qian'ye'sha'zi
浅野有纪,qian'ye'you'ji
前野智昭,qian'ye'zhi'zhao
枪樱姬,qiang'ying'ji
琴南奏江,qin'nan'zou'jiang
清水雷光,qing'shui'lei'guang
青野月音,qing'ye'yue'yin
清原千春,qing'yuan'qian'chun
秋津,qiu'jin
秋山奈奈,qiu'shan'nai'nai
犬冢弥生,quan'zhong'mi'sheng
染红的街道,ran'hong'de'jie'dao
日高惠美,ri'gao'hui'mei
柔泽红香,rou'ze'hong'xiang
塞巴斯蒂安,sai'ba'si'di'an
三代吉,san'dai'ji
三宫紫穂,san'gong'zi'sui
三宮紫穂,san'gong'zi'sui
三美姬的轮舞,san'mei'ji'de'lun'wu
三木真一郎,san'mu'zhen'yi'lang
三瓶由布子,san'ping'you'bu'zi
桑岛法子,sang'dao'fa'zi
桑島法子,sang'dao'fa'zi
森川智之,sen'chuan'zhi'zhi
森次玲二,sen'ci'ling'er
森丘银影,sen'qiu'yin'ying
砂原几,sha'yuan'ji
山本纯,shan'ben'chun
山本芽,shan'ben'ya
杉並,shan'bing
山戸恵,shan'hu'hui
山神,shan'shen
杉田智和,shan'tian'zhi'he
山童,shan'tong
山下悟,shan'xia'wu
杉下先生,shan'xia'xian'sheng
上代由香里,shang'dai'you'xiang'li
上杉炼,shang'shan'lian
上杉美鸠,shang'shan'mei'jiu
上杉严,shang'shan'yan
上条当麻,shang'tiao'dang'ma
上条弘树,shang'tiao'hong'shu
上下山虎子,shang'xia'shan'hu'zi
社倖一,she'xing'yi
神代知衣,shen'dai'zhi'yi
神谷浩史,shen'gu'hao'shi
神乐雛田,shen'le'chu'tian
神乐莹,shen'le'ying
神裂火织,shen'lie'huo'zhi
神奈延年,shen'nai'yan'nian
神田朱未,shen'tian'zhu'wei
深渊传说,shen'yuan'chuan'shuo
矢岛晶子,shi'dao'jing'zi
石动纯,shi'dong'chun
石动乃绘,shi'dong'nai'hui
尸姬赫,shi'ji'he
尸姬玄,shi'ji'xuan
辻龙,shi'long
柿崎怜,shi'qi'lian
石神邦生,shi'shen'bang'sheng
史提尔马格努斯,shi'ti'er'ma'ge'nu'si
柿原徹也,shi'yuan'che'ye
石塚运升,shi'zhong'yun'sheng
十字架与吸血鬼,shi'zi'jia'yu'xi'xue'gui
十字架与吸血姬,shi'zi'jia'yu'xi'xue'ji
矢作纱友里,shi'zuo'sha'you'li
狩野宙,shou'ye'zhou
水树奈奈,shui'shu'nai'nai
水野理纱,shui'ye'li'sha
水泽摩央,shui'ze'mo'yang
水沢史绘,shui'ze'shi'hui
寺冈古市,si'gang'gu'shi
死后文,si'hou'wen
司马懿仲达,si'ma'yi'zhong'da
松本保典,song'ben'bao'dian
松风雅也,song'feng'ya'ye
送仪崇征,song'yi'chong'zheng
松原大典,song'yuan'da'dian
孙策伯符,sun'ce'bo'fu
孙权仲谋,sun'quan'zhong'mou
塔巴莎,ta'ba'sha
汤浅比吕美,tang'qian'bi'lv'mei
桃井,tao'jing
桃太郎,tao'tai'lang
特优生,te'you'sheng
藤村歩,teng'cun'bu
藤原,teng'yuan
缇法尼艾,ti'fa'ni'ai
提雅格朗兹,ti'ya'ge'lang'zi
田端唯,tian'duan'wei
天宫椎菜,tian'gong'zhui'cai
天狐空幻,tian'hu'kong'huan
天狐玉耀,tian'hu'yu'yao
田神景世,tian'shen'jing'shi
天条院沙姫,tian'tiao'yuan'sha'zhen
天心大人,tian'xin'da'ren
天之霸王,tian'zhi'ba'wang
田中理恵,tian'zhong'li'hui
帖里亚阿迪,tie'li'ya'a'di
桐壶帝三,tong'hu'di'san
桐山臣,tong'shan'chen
荼希,tu'xi
丸山美纪,wan'shan'mei'ji
関智一,wan'zhi'yi
魍魉之匣,wang'liang'zhi'xia
亡念之扎姆德,wang'nian'zhi'zha'mu'de
维尔赫姆休尔兹,wei'er'he'mu'xiu'er'zi
我的狐仙女友,wo'de'hu'xian'nv'you
我家有个狐仙大人,wo'jia'you'ge'hu'xian'da'ren
吴荣,wu'rong
雾生司,wu'sheng'si
五十音言叶,wu'shi'yin'yan'ye
武藤环,wu'teng'huan
武装机甲,wu'zhuang'ji'jia
西艾尔,xi'ai'er
西村春,xi'cun'chun
西村绿,xi'cun'lv
西村知道,xi'cun'zhi'dao
喜多村英梨,xi'duo'cun'ying'li
西连寺春菜,xi'lian'si'chun'cai
西连寺秋穂,xi'lian'si'qiu'sui
细女,xi'nv
吸血鬼骑士,xi'xue'gui'qi'shi
夕月薰子,xi'yue'xun'zi
习志野,xi'zhi'ye
夏侯敦元让,xia'hou'dun'yuan'rang
夏侯渊妙才,xia'hou'yuan'miao'cai
夏日阳光,xia'ri'yang'guang
下田麻美,xia'tian'ma'mei
下屋则子,xia'wu'ze'zi
贤木修二,xian'mu'xiu'er
仙童紫,xian'tong'zi
郷田,xiang'tian
相原菜菜,xiang'yuan'cai'cai
相原光一,xiang'yuan'guang'yi
相原和美,xiang'yuan'he'mei
相原一辉,xiang'yuan'yi'hui
香月美子,xiang'yue'mei'zi
相泽虹一,xiang'ze'hong'yi
宵风,xiao'feng
小林,xiao'lin
小林三平,xiao'lin'san'ping
小清水亚美,xiao'qing'shui'ya'mei
小泉千佳,xiao'quan'qian'jia
小日向早苗,xiao'ri'xiang'zao'miao
小山力也,xiao'shan'li'ye
小山田耕太,xiao'shan'tian'geng'tai
小十郎,xiao'shi'lang
小西克幸,xiao'xi'ke'xing
咲野明日夏,xiao'ye'ming'ri'xia
小早川美千,xiao'zao'chuan'mei'qian
谢丝塔,xie'si'ta
新谷良子,xin'gu'liang'zi
新山理沙子,xin'shan'li'sha'zi
星村真姬那,xing'cun'zhen'ji'na
星炼,xing'lian
星乃结美,xing'nai'jie'mei
熊田流星,xiong'tian'liu'xing
绪川結衣,xu'chuan'jie'yi
须磨梓,xu'mo'zi
雪村杏,xue'cun'xing
雪见和彦,xue'jian'he'yan
鸦羽,ya'yu
言灵使,yan'ling'shi
阎魔爱,yan'mo'ai
夜见,ye'jian
野良耳,ye'liang'er
野上葵,ye'shang'kui
野田恵,ye'tian'hui
夜樱四重奏,ye'ying'si'chong'zou
叶月绘理乃,ye'yue'hui'li'nai
野中蓝,ye'zhong'lan
伊奥,yi'ao
伊井塚龙姬,yi'jing'zhong'long'ji
伊九号,yi'jiu'hao
伊濑茉莉也,yi'lai'mo'li'ye
一目连,yi'mu'lian
一骑当千,yi'qi'dang'qian
伊纱贝拉,yi'sha'bei'la
伊势岛绫,yi'shi'dao'ling
伊藤健太郎,yi'teng'jian'tai'lang
伊藤静,yi'teng'jing
一条拓麻,yi'tiao'ta'ma
音羽,yin'yu
隐之王,yin'zhi'wang
樱坂叶月,ying'ban'ye'yue
樱井俊介,ying'jing'jun'jie
櫻井孝宏,ying'jing'xiao'hong
桜内義之,ying'nei'yi'zhi
鹦鹉女神,ying'wu'nv'shen
优希比吕,you'xi'bi'lv
御坂美琴,yu'ban'mei'qin
羽多野涉,yu'duo'ye'she
于吉,yu'ji
玉井夕海,yu'jing'xi'hai
羽濑川玲穗,yu'lai'chuan'ling'sui
羽濑川拓人,yu'lai'chuan'tuo'ren
羽染达也,yu'ran'da'ye
宇梶刚士,yu'wei'gang'shi
御影柚姫,yu'ying'you'zhen
御中广人,yu'zhong'guang'ren
宇佐见秋彦,yu'zuo'jian'qiu'yan
垣巢冻二郎,yuan'chao'dong'er'lang
源千鹤,yuan'qian'he
远矢莉磨,yuan'shi'li'mo
远藤静奈,yuan'teng'jing'nai
远藤泉奈,yuan'teng'quan'nai
月島小恋,yue'dao'xiao'lian
月海,yue'hai
云波,yun'bo
云平帷,yun'ping'wei
雑贺八寻,za'he'ba'xun
早川美咲,zao'chuan'mei'xiao
早川泉,zao'chuan'quan
早濑浩一,zao'lai'hao'yi
早水,zao'shui
早乙女雀,zao'yi'nv'que
早园瑠佳,zao'yuan'liu'jia
沢城,ze'cheng
斋藤千和,zhai'teng'qian'he
长长部澪,zhang'chang'bu'ling
张飞益徳,zhang'fei'yi'de
赵云子龙,zhao'yun'zi'long
折笠富美子,zhe'li'fu'mei'zi
真实之泪,zhen'shi'zhi'lei
真田光一,zhen'tian'guang'yi
支葵千里,zhi'kui'qian'li
直美,zhi'mei
置鲇龙太郎,zhi'nian'long'tai'lang
植田佳奈,zhi'tian'jia'nai
只条深月,zhi'tiao'shen'yue
智一,zhi'yi
中村悠一,zhong'cun'you'yi
中村知世,zhong'cun'zhi'shi
中华料理屋,zhong'hua'liao'li'wu
柊明良,zhong'ming'liang
仲上真一郎,zhong'shang'zhen'yi'lang
中田让治,zhong'tian'rang'zhi
中尾衣里,zhong'wei'yi'li
中原麻衣,zhong'yuan'ma'yi
周瑜公瑾,zhou'yu'gong'jin
诸葛亮孔明,zhu'ge'liang'kong'ming
朱染心爱,zhu'ran'xin'ai
竹原,zhu'yuan
竹原流造,zhu'yuan'liu'zao
竹原明行,zhu'yuan'ming'xing
竹原明之,zhu'yuan'ming'zhi
朱子,zhu'zi
椎菜,zhui'cai
椎名,zhui'ming
椎名观月,zhui'ming'guan'yue
锥生零,zhui'sheng'ling
子安武人,zi'an'wu'ren
诹访部顺一,zou'fang'bu'shun'yi
最上恭子,zui'shang'gong'zi
佐仓美咲,zuo'cang'mei'xiao
佐仓美笑,zuo'cang'mei'xiao
左慈元放,zuo'ci'yuan'fang
佐久夜,zuo'jiu'ye
佐桥高美,zuo'qiao'gao'mei
佐桥皆人,zuo'qiao'jie'ren
佐桥由佳利,zuo'qiao'you'jia'li
佐清,zuo'qing
佐藤聪美,zuo'teng'cong'mei
佐藤利奈,zuo'teng'li'nai
佐藤良太,zuo'teng'liang'tai
