安置房,an'zhi'fang
金顺通驾校,jin'shun'tong'jia'xiao
金怡酒店,jin'yi'jiu'dian
金域蓝湾,jin'yu'lan'wan
经贸校,jing'mao'xiao
景通驾校,jing'tong'jia'xiao
酒厂,jiu'chang
居家花园,ju'jia'hua'yuan
居家花园东站,ju'jia'hua'yuan'dong'zhan
巨宇江南,ju'yu'jiang'nan
卷洞桥,juan'dong'qiao
君临棠城,jun'lin'tang'cheng
康怡棠,kang'yi'tang
科创学院,ke'chuang'xue'yuan
科创职业学院,ke'chuang'zhi'ye'xue'yuan
客运中心,ke'yun'zhong'xin
客运中心东,ke'yun'zhong'xin'dong
来龙湖,lai'long'hu
老高速路口,lao'gao'su'lu'kou
老收费站,lao'shou'fei'zhan
乐和乐都,le'he'le'du
梨花寨,li'hua'zhai
丽人街,li'ren'jie
利中休闲庄,li'zhong'xiu'xian'zhuang
两棵树,liang'ke'shu
粮库,liang'ku
六五二小区,liu'wu'er'xiao'qu
六五二医院,liu'wu'er'yi'yuan
龙海花园,long'hai'hua'yuan
露华浓,lu'hua'nong
蚂蝗桥,ma'huang'qiao
麻圆巷,ma'yuan'xiang
毛家坡,mao'jia'po
美人店,mei'ren'dian
米兰阳光,mi'lan'yang'guang
民兵训练基地,min'bing'xun'lian'ji'di
名豪,ming'hao
南大街办事处,nan'da'jie'ban'shi'chu
南大街小学,nan'da'jie'xiao'xue
农办,nong'ban
农机市场,nong'ji'shi'chang
农机校,nong'ji'xiao
农业机械化学校,nong'ye'ji'xie'hua'xue'xiao
骑龙街,qi'long'jie
沁和山庄,qin'he'shan'zhuang
青城小学,qing'cheng'xiao'xue
青峰,qing'feng
青峰车站,qing'feng'che'zhan
青峰派出所,qing'feng'pai'chu'suo
青峰转盘,qing'feng'zhuan'pan
清华苑,qing'hua'yuan
区建委,qu'jian'wei
区人大,qu'ren'da
区政协,qu'zheng'xie
人保公司,ren'bao'gong'si
任家坝,ren'jia'ba
人民广场东站,ren'min'guang'chang'dong'zhan
人民广场南站,ren'min'guang'chang'nan'zhan
人民医院,ren'min'yi'yuan
三叉路,san'cha'lu
三叉路口,san'cha'lu'kou
三号安置房,san'hao'an'zhi'fang
三湖生态城,san'hu'sheng'tai'cheng
三环路口,san'huan'lu'kou
三圣街,san'sheng'jie
三圣街中段,san'sheng'jie'zhong'duan
三星北路,san'xing'bei'lu
三星北路东段,san'xing'bei'lu'dong'duan
森望滟澜湖,sen'wang'yan'lan'hu
商贸城,shang'mao'cheng
神女湖,shen'nv'hu
胜利路办事处,sheng'li'lu'ban'shi'chu
盛世棠城,sheng'shi'tang'cheng
石板堂,shi'ban'tang
时代国际,shi'dai'guo'ji
十二监区,shi'er'jian'qu
十监区,shi'jian'qu
十里荷香,shi'li'he'xiang
十面埋伏,shi'mian'mai'fu
十一监区,shi'yi'jian'qu
石油叉路口,shi'you'cha'lu'kou
石油路,shi'you'lu
石油四大队,shi'you'si'da'dui
狮子坪,shi'zi'ping
收费站,shou'fei'zhan
蔬菜基地,shu'cai'ji'di
蜀南气矿,shu'nan'qi'kuang
双桉树,shuang'an'shu
双朝门,shuang'chao'men
双河口桥,shuang'he'kou'qiao
双石,shuang'shi
双竹法院,shuang'zhu'fa'yuan
双竹医院,shuang'zhu'yi'yuan
双竹政府,shuang'zhu'zheng'fu
水厂,shui'chang
水电职业学院,shui'dian'zhi'ye'xue'yuan
水东门,shui'dong'men
水观音,shui'guan'yin
水晶城,shui'jing'cheng
水景公园西站,shui'jing'gong'yuan'xi'zhan
水勘,shui'kan
水木年华,shui'mu'nian'hua
水韵书香,shui'yun'shu'xiang
司法局,si'fa'ju
塑料厂,su'liao'chang
泰晤士清晨,tai'wu'shi'qing'chen
太阳路,tai'yang'lu
谭家坝,tan'jia'ba
棠城公园,tang'cheng'gong'yuan
棠城佳苑,tang'cheng'jia'yuan
堂皇坝,tang'huang'ba
棠麓园,tang'lu'yuan
体育馆,ti'yu'guan
体育中心,ti'yu'zhong'xin
体育中心南站,ti'yu'zhong'xin'nan'zhan
田坝,tian'ba
天然气公司,tian'ran'qi'gong'si
天威汽修,tian'wei'qi'xiu
天秀锦地,tian'xiu'jin'di
天之韵,tian'zhi'yun
铁桥,tie'qiao
通威饲料,tong'wei'si'liao
同文理,tong'wen'li
同文里,tong'wen'li
同心苑,tong'xin'yuan
通用厂,tong'yong'chang
途顺驾校,tu'shun'jia'xiao
瓦厂,wa'chang
万达广场北站,wan'da'guang'chang'bei'zhan
万达广场东站,wan'da'guang'chang'dong'zhan
望北路二号站,wang'bei'lu'er'hao'zhan
望北路号站,wang'bei'lu'hao'zhan
望北路三号站,wang'bei'lu'san'hao'zhan
望北路一号站,wang'bei'lu'yi'hao'zhan
望城坡,wang'cheng'po
望望北路一号站,wang'wang'bei'lu'yi'hao'zhan
伟豪创世纪,wei'hao'chuang'shi'ji
威尼斯蓝湾,wei'ni'si'lan'wan
卫星湖,wei'xing'hu
文博书香,wen'bo'shu'xiang
文化艺术中心,wen'hua'yi'shu'zhong'xin
文理附中,wen'li'fu'zhong
文理学院,wen'li'xue'yuan
文理学院北门,wen'li'xue'yuan'bei'men
文理学院东门,wen'li'xue'yuan'dong'men
文理学院西站,wen'li'xue'yuan'xi'zhan
文曲广场,wen'qu'guang'chang
卧龙医院,wo'long'yi'yuan
五板桥,wu'ban'qiao
吴家坳口,wu'jia'ao'kou
五米阳光,wu'mi'yang'guang
西北肉联厂,xi'bei'rou'lian'chang
西北小学,xi'bei'xiao'xue
西北医院,xi'bei'yi'yuan
西源厂,xi'yuan'chang
香海温泉,xiang'hai'wen'quan
香山屿,xiang'shan'yu
小南,xiao'nan
小南村委会,xiao'nan'cun'wei'hui
小南门,xiao'nan'men
小桥子,xiao'qiao'zi
协信中心,xie'xin'zhong'xin
新区人民医院,xin'qu'ren'min'yi'yuan
新泰机械厂,xin'tai'ji'xie'chang
兴龙湖,xing'long'hu
兴龙湖公园南站,xing'long'hu'gong'yuan'nan'zhan
修理所,xiu'li'suo
萱花佳苑,xuan'hua'jia'yuan
萱花西路东段,xuan'hua'xi'lu'dong'duan
萱花小区,xuan'hua'xiao'qu
学府路中段,xue'fu'lu'zhong'duan
学生公寓,xue'sheng'gong'yu
鸭塘,ya'tang
阳光花园,yang'guang'hua'yuan
养殖场,yang'zhi'chang
养猪场,yang'zhu'chang
幺店,yao'dian
一环路口,yi'huan'lu'kou
一环路青峰路口,yi'huan'lu'qing'feng'lu'kou
荫山路西段,yin'shan'lu'xi'duan
荫山路小区,yin'shan'lu'xiao'qu
荫山小区,yin'shan'xiao'qu
永川加气东站,yong'chuan'jia'qi'dong'zhan
永川口腔医院,yong'chuan'kou'qiang'yi'yuan
永红厂,yong'hong'chang
永济食品,yong'ji'shi'pin
永九中,yong'jiu'zhong
永九中后门,yong'jiu'zhong'hou'men
永南物流园,yong'nan'wu'liu'yuan
永青桥,yong'qing'qiao
永荣小区,yong'rong'xiao'qu
永师路口,yong'shi'lu'kou
永师路口银山公馆,yong'shi'lu'kou'yin'shan'gong'guan
永四中,yong'si'zhong
永中,yong'zhong
永中新校区西门,yong'zhong'xin'xiao'qu'xi'men
油库,you'ku
优贸科技,you'mao'ke'ji
御景国际,yu'jing'guo'ji
羽绒厂,yu'rong'chang
渝西广场,yu'xi'guang'chang
渝西回收公司,yu'xi'hui'shou'gong'si
渝西金属回收公司,yu'xi'jin'shu'hui'shou'gong'si
源通变压器厂,yuan'tong'bian'ya'qi'chang
源通公司,yuan'tong'gong'si
跃进厂,yue'jin'chang
月源山水,yue'yuan'shan'shui
站前大道,zhan'qian'da'dao
职教中心,zhi'jiao'zhong'xin
植物园,zhi'wu'yuan
重大城市科技学院,zhong'da'cheng'shi'ke'ji'xue'yuan
中捷数控,zhong'jie'shu'kong
中山路办事处,zhong'shan'lu'ban'shi'chu
中医院,zhong'yi'yuan
周公滩,zhou'gong'tan
竹海红灯笼,zhu'hai'hong'deng'long
竹海湖,zhu'hai'hu
竹林,zhu'lin
竹映三清,zhu'ying'san'qing
竹映三清苑,zhu'ying'san'qing'yuan
