阿母种桃云海际,a'mu'zhong'tao'yun'hai'ji
白日将升第九天,bai'ri'jiang'sheng'di'jiu'tian
白日照空心,bai'ri'zhao'kong'xin
白日照其上,bai'ri'zhao'qi'shang
白日振飞翮,bai'ri'zhen'fei'he
白日左右浮天潢,bai'ri'zuo'you'fu'tian'huang
百舌悲花尽,bai'she'bei'hua'jin
白舍人曹长寄新诗,bai'she'ren'cao'chang'ji'xin'shi
白舍人见酬拙诗,bai'she'ren'jian'chou'zhuo'shi
百神受职争奔驰,bai'shen'shou'zhi'zheng'ben'chi
百神应主持,bai'shen'ying'zhu'chi
百胜本自有前期,bai'sheng'ben'zi'you'qian'qi
百胜难虑敌,bai'sheng'nan'lv'di
百氏旁捃摭,bai'shi'pang'jun'zhi
百事无成老又催,bai'shi'wu'cheng'lao'you'cui
白首相逢处,bai'shou'xiang'feng'chu
白水光参差,bai'shui'guang'cen'ci
白水含东菑,bai'shui'han'dong'zai
白太守行,bai'tai'shou'xing
白头俯伛到江滨,bai'tou'fu'yu'dao'jiang'bin
白头将相逢故人,bai'tou'jiang'xiang'feng'gu'ren
白头自为侣,bai'tou'zi'wei'lv
拜舞戢桑弓,bai'wu'ji'sang'gong
百姓县前挽鱼罟,bai'xing'xian'qian'wan'yu'gu
百寻竿上掷身难,bai'xun'gan'shang'zhi'shen'nan
白盐山下蜀江清,bai'yan'shan'xia'shu'jiang'qing
白衣曾拜汉尚书,bai'yi'ceng'bai'han'shang'shu
白银盘里一青螺,bai'yin'pan'li'yi'qing'luo
百音以繁会,bai'yin'yi'fan'hui
白羽胡床啸咏中,bai'yu'hu'chuang'xiao'yong'zhong
百越南溟统外台,bai'yue'nan'ming'tong'wai'tai
百越酋豪称故吏,bai'yue'qiu'hao'cheng'gu'li
白云满碗花徘徊,bai'yun'man'wan'hua'pai'huai
白云难持寄,bai'yun'nan'chi'ji
百雉俯清沅,bai'zhi'fu'qing'yuan
白芷江边分驿路,bai'zhi'jiang'bian'fen'yi'lu
白昼懵懵眠匡床,bai'zhou'meng'meng'mian'kuang'chuang
白昼曛阳乌,bai'zhou'xun'yang'wu
百转如簧烟景晴,bai'zhuan'ru'huang'yan'jing'qing
半渡趋津吏,ban'du'qu'jin'li
半路逢阴晦,ban'lu'feng'yin'hui
伴侣明月中,ban'lv'ming'yue'zhong
半晴将半阴,ban'qing'jiang'ban'yin
半是西方社中友,ban'shi'xi'fang'she'zhong'you
颁条风有自,ban'tiao'feng'you'zi
颁条匝渭阳,ban'tiao'za'wei'yang
半夜碧云收,ban'ye'bi'yun'shou
斑衣拂征鞍,ban'yi'fu'zheng'an
半蘸波中水鸟栖,ban'zhan'bo'zhong'shui'niao'qi
宝刹摇星影,bao'cha'yao'xing'ying
曝龟惊复沉,bao'gui'jing'fu'chen
保贵在安贫,bao'gui'zai'an'pin
报国松筠心,bao'guo'song'jun'xin
报寒惊边雁,bao'han'jing'bian'yan
包含通远迩,bao'han'tong'yuan'er
宝历方无限,bao'li'fang'wu'xian
暴龙照孤碛,bao'long'zhao'gu'qi
宝马鸣珂踏晓尘,bao'ma'ming'ke'ta'xiao'chen
宝气浮鼎耳,bao'qi'fu'ding'er
抱琴闲望送归鸿,bao'qin'xian'wang'song'gui'hong
抱琴恣闲玩,bao'qin'zi'xian'wan
报施迷夷跖,bao'shi'mi'yi'zhi
宝树攒珊瑚,bao'shu'cuan'shan'hu
宝书翻译学初成,bao'shu'fan'yi'xue'chu'cheng
宝书留旧房,bao'shu'liu'jiu'fang
饱霜孤竹声偏切,bao'shuang'gu'zhu'sheng'pian'qie
宝匣初临手自开,bao'xia'chu'lin'shou'zi'kai
宝匣从此闲,bao'xia'cong'ci'xian
薄言事南征,bao'yan'shi'nan'zheng
暴雨蛟龙生,bao'yu'jiao'long'sheng
苞蔵成别岛,bao'zang'cheng'bie'dao
爆竹惊山鬼,bao'zhu'jing'shan'gui
北兵那得度,bei'bing'na'dei'du
北朝文士重徐陵,bei'chao'wen'shi'zhong'xu'ling
北池含烟瑶草短,bei'chi'han'yan'yao'cao'duan
北窗分明辨鲁鱼,bei'chuang'fen'ming'bian'lu'yu
北地交亲长引领,bei'di'jiao'qin'chang'yin'ling
北都留守将天兵,bei'dou'liu'shou'jiang'tian'bing
北风忽震荡,bei'feng'hu'zhen'dang
背负元气掀重霄,bei'fu'yuan'qi'xian'chong'xiao
北固山边波浪,bei'gu'shan'bian'bo'lang
悲欢故旧情,bei'huan'gu'jiu'qing
杯频粉面騂,bei'pin'fen'mian'xing
杯前胆不豩,bei'qian'dan'bu'bin
贝阙骈红紫,bei'que'pian'hong'zi
北人莫上动乡情,bei'ren'mo'shang'dong'xiang'qing
卑湿久喧浊,bei'shi'jiu'xuan'zhuo
背时犹自居三品,bei'shi'you'zi'ju'san'pin
北叟之言岂便无,bei'sou'zhi'yan'qi'bian'wu
北望长吟澧有兰,bei'wang'chang'yin'li'you'lan
碑文才见满埃尘,bei'wen'cai'jian'man'ai'chen
北向刷毛衣,bei'xiang'shua'mao'yi
北向整毛衣,bei'xiang'zheng'mao'yi
杯行勿遽辞,bei'xing'wu'ju'ci
北渚不堪愁,bei'zhu'bu'kan'chou
北渚吊灵均,bei'zhu'diao'ling'jun
奔驰象马开禅扃,ben'chi'xiang'ma'kai'chan'jiong
本从敲石光,ben'cong'qiao'shi'guang
本寺旧钟声,ben'si'jiu'zhong'sheng
本寺门前曲江碧,ben'si'men'qian'qu'jiang'bi
本吴风俗剽,ben'wu'feng'su'piao
本因遗采掇,ben'yin'yi'cai'duo
本营归计非无意,ben'ying'gui'ji'fei'wu'yi
本欲醉中轻远别,ben'yu'zui'zhong'qing'yuan'bie
本支方百代,ben'zhi'fang'bai'dai
本自云龙庭,ben'zi'yun'long'ting
奔走清波不自由,ben'zou'qing'bo'bu'zi'you
迸笋侵前戺,beng'sun'qin'qian'shi
崩腾天宝末,beng'teng'tian'bao'mo
迸雪打窗声,beng'xue'da'chuang'sheng
碧池涵剑彩,bi'chi'han'jian'cai
碧池逶迤绕画阁,bi'chi'wei'yi'rao'hua'ge
避地江湖知几春,bi'di'jiang'hu'zhi'ji'chun
笔底文章夜应星,bi'di'wen'zhang'ye'ying'xing
笔底心无毒,bi'di'xin'wu'du
笔端破交争,bi'duan'po'jiao'zheng
笔锋不能休,bi'feng'bu'neng'xiu
薜服祠山鬼,bi'fu'ci'shan'gui
碧海连天丹旐回,bi'hai'lian'tian'dan'zhao'hui
彼鹄斯微,bi'hu'si'wei
碧鸡白马回翔久,bi'ji'bai'ma'hui'xiang'jiu
壁记有三台,bi'ji'you'san'tai
比君犹自不逍遥,bi'jun'you'zi'bu'xiao'yao
碧流清浅见琼砂,bi'liu'qing'qian'jian'qiong'sha
碧落仙来虽暂谪,bi'luo'xian'lai'sui'zan'zhe
蔽明添翠帟,bi'ming'tian'cui'yi
比琼虽碌碌,bi'qiong'sui'lu'lu
蔽日无炎威,bi'ri'wu'yan'wei
壁上笔踪龙虎腾,bi'shang'bi'zong'long'hu'teng
碧树空凉飔,bi'shu'kong'liang'si
碧树鸣蝉后,bi'shu'ming'chan'hou
碧树未鸣蝉,bi'shu'wei'ming'chan
碧梧含早凉,bi'wu'han'zao'liang
比屋惸嫠辈,bi'wu'qiong'li'bei
碧溪相并深,bi'xi'xiang'bing'shen
碧虚无云风不起,bi'xu'wu'yun'feng'bu'qi
比翼翔太微,bi'yi'xiang'tai'wei
碧玉孤根生在林,bi'yu'gu'gen'sheng'zai'lin
閈垣适未立,bi'yuan'shi'wei'li
碧云初断信沉沉,bi'yun'chu'duan'xin'chen'chen
碧云佳句久传芳,bi'yun'jia'ju'jiu'chuan'fang
必在审己明,bi'zai'shen'ji'ming
壁中今日题诗处,bi'zhong'jin'ri'ti'shi'chu
碧甃叠琼瑰,bi'zhou'die'qiong'gui
便得诗人喜霁诗,bian'de'shi'ren'xi'ji'shi
边烽寂寂尽收兵,bian'feng'ji'ji'jin'shou'bing
边风满碛生,bian'feng'man'qi'sheng
边鸿不到水南流,bian'hong'bu'dao'shui'nan'liu
变化生言下,bian'hua'sheng'yan'xia
抃会因佳句,bian'hui'yin'jia'ju
便将诗咏向吴侬,bian'jiang'shi'yong'xiang'wu'nong
遍看今日乘轩客,bian'kan'jin'ri'cheng'xuan'ke
遍礼名山适性灵,bian'li'ming'shan'shi'xing'ling
遍历三台各一通,bian'li'san'tai'ge'yi'tong
边马萧萧鸣,bian'ma'xiao'xiao'ming
便门通忏悔,bian'men'tong'chan'hui
编蒲曾苦思,bian'pu'ceng'ku'si
便入清歌满坐听,bian'ru'qing'ge'man'zuo'ting
遍上南朝寺,bian'shang'nan'chao'si
便是法王城,bian'shi'fa'wang'cheng
汴水东流虎眼纹,bian'shui'dong'liu'hu'yan'wen
便送归江陵,bian'song'gui'jiang'ling
便随王母上烟霞,bian'sui'wang'mu'shang'yan'xia
边庭自此无烽火,bian'ting'zi'ci'wu'feng'huo
抃舞罗千官,bian'wu'luo'qian'guan
便引诗情到碧霄,bian'yin'shi'qing'dao'bi'xiao
便应重拜富民侯,bian'ying'zhong'bai'fu'min'hou
便有干霄势,bian'you'gan'xiao'shi
边月空悲芦管秋,bian'yue'kong'bei'lu'guan'qiu
便知蓬阁閟,bian'zhi'peng'ge'bi
汴州忽复承平事,bian'zhou'hu'fu'cheng'ping'shi
便酌砌下金沙水,bian'zhuo'qi'xia'jin'sha'shui
彪炳为我席,biao'bing'wei'wo'xi
标格殊百卉,biao'ge'shu'bai'hui
表墓双碑立,biao'mu'shuang'bei'li
表以坛上石,biao'yi'tan'shang'shi
别愁今尚醉,bie'chou'jin'shang'zui
别鹤重归太乙池,bie'he'chong'gui'tai'yi'chi
别恨几魂销,bie'hen'ji'hun'xiao
别后诗成帙,bie'hou'shi'cheng'zhi
别后相思梦更频,bie'hou'xiang'si'meng'geng'pin
别尽平生欢,bie'jin'ping'sheng'huan
别夔州官吏,bie'kui'zhou'guan'li
别来二十年,bie'lai'er'shi'nian
别来诗且同吟,bie'lai'shi'qie'tong'yin
别来已渡江南春,bie'lai'yi'du'jiang'nan'chun
别离方见情,bie'li'fang'jian'qing
别离含远情,bie'li'han'yuan'qing
别路千嶂里,bie'lu'qian'zhang'li
别侣孤鹤怨,bie'lv'gu'he'yuan
别曲多悲辛,bie'qu'duo'bei'xin
别曲含凄飏晚风,bie'qu'han'qi'yang'wan'feng
别是机中练,bie'shi'ji'zhong'lian
别墅洛城外,bie'shu'luo'cheng'wai
别思入哀筝,bie'si'ru'ai'zheng
别苏州二首,bie'su'zhou'er'shou
宾閤缁衣占,bin'ge'zi'yi'zhan
宾鸿次第飞,bin'hong'ci'di'fei
宾阶荫珠履,bin'jie'yin'zhu'lv
宾惊白鹤飞,bin'jing'bai'he'fei
宾客满青油,bin'ke'man'qing'you
宾客珠成履,bin'ke'zhu'cheng'lv
宾幕初开辟省郎,bin'mu'chu'kai'pi'sheng'lang
宾主两如初,bin'zhu'liang'ru'chu
兵符赐上公,bing'fu'ci'shang'gong
兵符今奉黄公略,bing'fu'jin'feng'huang'gong'lue
病夫卧秋斋,bing'fu'wo'qiu'zhai
兵符下渚宫,bing'fu'xia'zhu'gong
兵符相印无心恋,bing'fu'xiang'yin'wu'xin'lian
并进夔龙位,bing'jin'kui'long'wei
秉耒甘哺糠,bing'lei'gan'bu'kang
禀气终分大小年,bing'qi'zhong'fen'da'xiao'nian
禀生非悬解,bing'sheng'fei'xuan'jie
病树前头万木春,bing'shu'qian'tou'wan'mu'chun
病体得秋轻,bing'ti'de'qiu'qing
病闻北风犹举首,bing'wen'bei'feng'you'ju'shou
病吟犹有思,bing'yin'you'you'si
病中一二禅客见问,bing'zhong'yi'er'chan'ke'jian'wen
秉烛朝天遂不回,bing'zhu'chao'tian'sui'bu'hui
波澄见赪首,bo'cheng'jian'cheng'shou
渤海归人将集去,bo'hai'gui'ren'jiang'ji'qu
波净攒凫鹊,bo'jing'cuan'fu'que
波静繁音弭,bo'jing'fan'yin'mi
波澜起剡藤,bo'lan'qi'shan'teng
卜邻须近祝鸡翁,bo'lin'xu'jin'zhu'ji'weng
薄暮大山上,bo'mu'da'shan'shang
波清蜀栜尽,bo'qing'shu'se'jin
波日漾宾筵,bo'ri'yang'bin'yan
蕃僧如共载,bo'seng'ru'gong'zai
博山炯炯吐香雾,bo'shan'jiong'jiong'tu'xiang'wu
博山炉侧倾寒灰,bo'shan'lu'ce'qing'han'hui
博山炉中香自灭,bo'shan'lu'zhong'xiang'zi'mie
波上神仙妓,bo'shang'shen'xian'ji
波涛无动势,bo'tao'wu'dong'shi
波摇杏梁日,bo'yao'xing'liang'ri
伯仲到家人尽贺,bo'zhong'dao'jia'ren'jin'he
卜昼便三更,bo'zhou'bian'san'geng
不辨俚语词,bu'bian'li'yu'ci
步步相携不觉难,bu'bu'xiang'xie'bu'jue'nan
不出孤峰上,bu'chu'gu'feng'shang
哺雏林岳巅,bu'chu'lin'yue'dian
不辞缄封寄郡斋,bu'ci'jian'feng'ji'jun'zhai
不得多时在世间,bu'de'duo'shi'zai'shi'jian
不得一枝尝,bu'de'yi'zhi'chang
布地买取为丘园,bu'di'mai'qu'wei'qiu'yuan
不独为罗敷,bu'du'wei'luo'fu
不妨从此蹑丹梯,bu'fang'cong'ci'nie'dan'ti
不妨吟咏入篇章,bu'fang'yin'yong'ru'pian'zhang
不负风光向杯酒,bu'fu'feng'guang'xiang'bei'jiu
不复咏陈篇,bu'fu'yong'chen'pian
不复有馀酲,bu'fu'you'yu'cheng
不改南山色,bu'gai'nan'shan'se
不敢径由斜,bu'gan'jing'you'xie
不敢为文学解嘲,bu'gan'wei'wen'xue'jie'chao
不敢有馀斜,bu'gan'you'yu'xie
布濩当轩绿,bu'hu'dang'xuan'lv
不见当关呼早起,bu'jian'dang'guan'hu'zao'qi
不见黄鹤楼,bu'jian'huang'he'lou
不见男婚女嫁时,bu'jian'nan'hun'nv'jia'shi
不见綦下尘,bu'jian'qi'xia'chen
不见翔云姿,bu'jian'xiang'yun'zi
不见岩畔人,bu'jian'yan'pan'ren
不见早梅花,bu'jian'zao'mei'hua
不见蜘蛛集,bu'jian'zhi'zhu'ji
不进终无已,bu'jin'zhong'wu'yi
不觉迟景沉西墙,bu'jue'chi'jing'chen'xi'qiang
不觉抚么弦,bu'jue'fu'me'xian
不觉玉绳斜,bu'jue'yu'sheng'xie
不可见鲈鱼,bu'ke'jian'lu'yu
不乐石门游,bu'le'shi'men'you
不离通德里,bu'li'tong'de'li
簿领乃俗士,bu'ling'nai'su'shi
簿领益为繁,bu'ling'yi'wei'fan
不论年长少欢情,bu'lun'nian'zhang'shao'huan'qing
不论时节请开关,bu'lun'shi'jie'qing'kai'guan
部内有良牧,bu'nei'you'liang'mu
不拟负莺花,bu'ni'fu'ying'hua
不然何至今,bu'ran'he'zhi'jin
不忍过西州,bu'ren'guo'xi'zhou
不容待得晚菘尝,bu'rong'dai'de'wan'song'chang
不如湖上雁,bu'ru'hu'shang'yan
不如人意深,bu'ru'ren'yi'shen
不如摇落树,bu'ru'yao'luo'shu
不如应是欠西施,bu'ru'ying'shi'qian'xi'shi
不慎在提衡,bu'shen'zai'ti'heng
不是画云车,bu'shi'hua'yun'che
不是换佳人,bu'shi'huan'jia'ren
不识鲁衣褒,bu'shi'lu'yi'bao
不是郢中清唱发,bu'shi'ying'zhong'qing'chang'fa
不使恣搜索,bu'shi'zi'sou'suo
簿书纷来萦,bu'shu'fen'lai'ying
簿书来绕身,bu'shu'lai'rao'shen
簿书盈几案,bu'shu'ying'ji'an
不似当初傅粉时,bu'si'dang'chu'fu'fen'shi
不似佳人似老人,bu'si'jia'ren'shi'lao'ren
不似江南三月时,bu'si'jiang'nan'san'yue'shi
不叹流年惜众芳,bu'tan'liu'nian'xi'zhong'fang
不为老人开,bu'wei'lao'ren'kai
不惟文体似相如,bu'wei'wen'ti'si'xiang'ru
不为文雅雄,bu'wei'wen'ya'xiong
不闻千万祀,bu'wen'qian'wan'si
步武离台席,bu'wu'li'tai'xi
不悟泥途适,bu'wu'ni'tu'shi
不嫌憔悴满头来,bu'xian'qiao'cui'man'tou'lai
步嫌双绶重,bu'xian'shuang'shou'zhong
不肖指爪声,bu'xiao'zhi'zhao'sheng
步虚词二首,bu'xu'ci'er'shou
不学碧鸡依井络,bu'xue'bi'ji'yi'jing'luo
不学腰如磬,bu'xue'yao'ru'qing
不学夭桃姿,bu'xue'yao'tao'zi
不言此行远,bu'yan'ci'xing'yuan
不要三乘入便门,bu'yao'san'cheng'ru'bian'men
不因感衰节,bu'yin'gan'shuai'jie
步因驱鹤缓,bu'yin'qu'he'huan
不应有恨事,bu'ying'you'hen'shi
不与王侯与词客,bu'yu'wang'hou'yu'ci'ke
不语望秋山,bu'yu'wang'qiu'shan
不缘宦达性灵慵,bu'yuan'huan'da'xing'ling'yong
不知翻引酒悲来,bu'zhi'fan'yin'jiu'bei'lai
不知何次道,bu'zhi'he'ci'dao
不知何客对胡床,bu'zhi'he'ke'dui'hu'chuang
不知何客荐雄文,bu'zhi'he'ke'jian'xiong'wen
不知何日东瀛变,bu'zhi'he'ri'dong'ying'bian
不知今史氏,bu'zhi'jin'shi'shi
不知人世如风烛,bu'zhi'ren'shi'ru'feng'zhu
不知桑落酒,bu'zhi'sang'luo'jiu
不逐繁华访闲散,bu'zhu'fan'hua'fang'xian'san
不逐张公子,bu'zhu'zhang'gong'zi
不作诗魔即酒颠,bu'zuo'shi'mo'ji'jiu'dian
彩笔题诗出锁闱,cai'bi'ti'shi'chu'suo'wei
彩笔谕戎矜倚马,cai'bi'yu'rong'jin'yi'ma
采采翘英为嘉客,cai'cai'qiao'ying'wei'jia'ke
采从碧海上,cai'cong'bi'hai'shang
菜地黄琼家,cai'di'huang'qiong'jia
才非楚白珩,cai'fei'chu'bai'heng
彩服紫罗囊,cai'fu'zi'luo'nang
彩翰写冲襟,cai'han'xie'chong'jin
彩翰摇风绛锦鲜,cai'han'yao'feng'jiang'jin'xian
才兼文武播雄名,cai'jian'wen'wu'bo'xiong'ming
才惊指下繁韵息,cai'jing'zhi'xia'fan'yun'xi
采菱不顾马上郎,cai'ling'bu'gu'ma'shang'lang
才能疑木雁,cai'neng'yi'mu'yan
彩旂夹岸照蛟室,cai'qi'jia'an'zhao'jiao'shi
彩旗双引到沅湘,cai'qi'shuang'yin'dao'yuan'xiang
彩旗朱户蔚相望,cai'qi'zhu'hu'wei'xiang'wang
采取询乡耋,cai'qu'xun'xiang'die
采石风传柝,cai'shi'feng'chuan'tuo
裁诗又继二南风,cai'shi'you'ji'er'nan'feng
裁诗怨索居,cai'shi'yuan'suo'ju
采撷黄姜蕊,cai'xie'huang'jiang'rui
猜鹰虑奋迅,cai'ying'lv'fen'xun
菜园篱落短,cai'yuan'li'luo'duan
彩云朝望青城起,cai'yun'chao'wang'qing'cheng'qi
彩云迎蹑屐,cai'yun'ying'nie'ji
彩仗神旗猎晓风,cai'zhang'shen'qi'lie'xiao'feng
蔡州城中众心死,cai'zhou'cheng'zhong'zhong'xin'si
蔡洲新草绿,cai'zhou'xin'cao'lv
才子从今一分散,cai'zi'cong'jin'yi'fen'san
才子声名白侍郎,cai'zi'sheng'ming'bai'shi'lang
残兵疑鹤唳,can'bing'yi'he'li
残春柳絮飞,can'chun'liu'xu'fei
惭非末至客,can'fei'mo'zhi'ke
残漏自丁丁,can'lou'zi'ding'ding
粲然叠瑶琼,can'ran'die'yao'qiong
惨舒偏是病身知,can'shu'pian'shi'bing'shen'zhi
残霞忽变色,can'xia'hu'bian'se
残阳寂寞出樵车,can'yang'ji'mo'chu'qiao'che
沧波不归成踏潮,cang'bo'bu'gui'cheng'ta'chao
沧波朝夕流,cang'bo'zhao'xi'liu
苍苍虫网遍,cang'cang'chong'wang'bian
苍苍一雨后,cang'cang'yi'yu'hou
苍苍宰树起寒烟,cang'cang'zai'shu'qi'han'yan
沧海别经年,cang'hai'bie'jing'nian
沧海西头旧丞相,cang'hai'xi'tou'jiu'cheng'xiang
苍黄钟室叹良弓,cang'huang'zhong'shi'tan'liang'gong
苍鳞雨起苔,cang'lin'yu'qi'tai
苍茫冤气凝,cang'mang'yuan'qi'ning
藏镪盘龙形,cang'qiang'pan'long'xing
苍生望北辕,cang'sheng'wang'bei'yuan
苍生望绝士林悲,cang'sheng'wang'jue'shi'lin'bei
苍烟晦乔木,cang'yan'hui'qiao'mu
沧洲谢脁城,cang'zhou'xie'tiao'cheng
沧洲有奇趣,cang'zhou'you'qi'qu
嘈囋琵琶青幕中,cao'can'pi'pa'qing'mu'zhong
曹操祠犹在,cao'cao'ci'you'zai
草虫迎湿吟,cao'chong'ying'shi'yin
操绠不暇汲,cao'geng'bu'xia'ji
草绿春光丽,cao'lv'chun'guang'li
嘈然欻起初骇听,cao'ran'xu'qi'chu'hai'ting
草色连云人去住,cao'se'lian'yun'ren'qu'zhu
草生季伦谷,cao'sheng'ji'lun'gu
草圣数行留坏壁,cao'sheng'shu'xing'liu'huai'bi
草树含远思,cao'shu'han'yuan'si
草堂无主燕飞回,cao'tang'wu'zhu'yan'fei'hui
草檄嫖姚幕,cao'xi'piao'yao'mu
操弦调六气,cao'xian'tiao'liu'qi
草玄门户少尘埃,cao'xuan'men'hu'shao'chen'ai
草有斗生心,cao'you'dou'sheng'xin
草诏令归马,cao'zhao'ling'gui'ma
策成终自诣公车,ce'cheng'zhong'zi'yi'gong'che
册命出宸衷,ce'ming'chu'chen'zhong
策名飞步冠群贤,ce'ming'fei'bu'guan'qun'xian
策慕宋前军,ce'mu'song'qian'jun
策勋礼毕天下泰,ce'xun'li'bi'tian'xia'tai
参差叠碧云,cen'ci'die'bi'yun
层波万顷如熔金,ceng'bo'wan'qing'ru'rong'jin
