氨水,an'shui
压实度检测用标准砂,ya'shi'du'jian'ce'yong'biao'zhun'sha
压碎值测定仪,ya'sui'zhi'ce'ding'yi
研钵,yan'bo
延度仪试模,yan'du'yi'shi'mo
岩石切割机,yan'shi'qie'ge'ji
盐酸,yan'suan
液乳状含水量整套设备,ye'ru'zhuang'han'shui'liang'zheng'tao'she'bei
液体比重计,ye'ti'bi'zhong'ji
液体比重天平,ye'ti'bi'zhong'tian'ping
乙二铵四乙酸二钠,yi'er'an'si'yi'suan'er'na
溢流水箱,yi'liu'shui'xiang
乙醚,yi'mi
移液管,yi'ye'guan
移液管附橡胶皮球,yi'ye'guan'fu'xiang'jiao'pi'qiu
硬度计,ying'du'ji
游标卡尺,you'biao'ka'chi
雨量计,yu'liang'ji
远红外线测温计,yuan'hong'wai'xian'ce'wen'ji
运动粘度计全套,yun'dong'nian'du'ji'quan'tao
蔗糖,zhe'tang
蔗糖分析纯,zhe'tang'fen'xi'chun
震击式标准振筛机,zhen'ji'shi'biao'zhun'zhen'shai'ji
真空干燥器,zhen'kong'gan'zao'qi
针片状归准仪,zhen'pian'zhuang'gui'zhun'yi
直尺,zhi'chi
重型触探仪,zhong'xing'chu'tan'yi
重型动力触探仪,zhong'xing'dong'li'chu'tan'yi
锥形烧杯,zhui'xing'shao'bei
自控沥青延度仪,zi'kong'li'qing'yan'du'yi
自由膨胀率测定仪,zi'you'peng'zhang'lv'ce'ding'yi
棕色广口瓶,zong'se'guang'kou'ping
最大理论密度仪,zui'da'li'lun'mi'du'yi
