霸亭秋,ba'ting'qiu
织女会牵牛,zhi'nv'hui'qian'niu
智赚还珠,zhi'zhuan'huan'zhu
中山救狼,zhong'shan'jiu'lang
中山狼,zhong'shan'lang
中山狼院本,zhong'shan'lang'yuan'ben
周文母,zhou'wen'mu
朱伯通衣锦还乡,zhu'bo'tong'yi'jin'huan'xiang
朱大周屏逐奸臣,zhu'da'zhou'ping'zhu'jian'chen
竹林胜集,zhu'lin'sheng'ji
竹林小记,zhu'lin'xiao'ji
朱楼会合,zhu'lou'hui'he
朱全忠五路犯太原,zhu'quan'zhong'wu'lu'fan'tai'yuan
朱翁子,zhu'weng'zi
诛雄虎,zhu'xiong'hu
捉袁达,zhuo'yuan'da
紫泥宣,zi'ni'xuan
紫微宫,zi'wei'gong
醉写定夷书,zui'xie'ding'yi'shu
醉新丰,zui'xin'feng
左慈飞杯,zuo'ci'fei'bei
