哀哀怨怨后庭花,ai'ai'yuan'yuan'hou'ting'hua
梨园乐府,li'yuan'yue'fu
立中宗,li'zhong'zong
连环记,lian'huan'ji
廉颇负荆,lian'po'fu'jing
梁山伯,liang'shan'bo
两世姻缘,liang'shi'yin'yuan
两团圆,liang'tuan'yuan
两无功,liang'wu'gong
料到底,liao'dao'di
临潼斗宝,lin'tong'dou'bao
凌波梦,ling'bo'meng
陵母伏剑,ling'mu'fu'jian
柳成错背妻,liu'cheng'cuo'bei'qi
刘夫人,liu'fu'ren
刘公书,liu'gong'shu
刘弘嫁婢,liu'hong'jia'bi
流红叶,liu'hong'ye
刘寄奴,liu'ji'nu
刘泉进瓜,liu'quan'jin'gua
刘耍和,liu'shua'he
柳丝亭,liu'si'ting
留鞋记,liu'xie'ji
刘行首,liu'xing'shou
柳毅传书,liu'yi'chuan'shu
龙门隐秀,long'men'yin'xiu
陆绩怀橘,lu'ji'huai'ju
卢仝七碗茶,lu'tong'qi'wan'cha
鲁义姑,lu'yi'gu
鲁斋郎,lu'zhai'lang
栾巴噀酒,luan'ba'xun'jiu
栾城驿,luan'cheng'yi
论杜康,lun'du'kang
罗李郎,luo'li'lang
螺蛳末尼,luo'si'mo'ni
驴皮记,lv'pi'ji
吕无双,lv'wu'shuang
绿珠坠楼,lv'zhu'zhui'lou
马丹阳,ma'dan'yang
麻地捧印,ma'di'peng'yin
马陵道,ma'ling'dao
骂上元,ma'shang'yuan
买臣负薪,mai'chen'fu'xin
梅妃旦,mei'fei'dan
梅梢月,mei'shao'yue
梅香,mei'xiang
门神诉冤,men'shen'su'yuan
孟浩然,meng'hao'ran
孟良盗骨,meng'liang'dao'gu
孟母三移,meng'mu'san'yi
梦天台,meng'tian'tai
孟宗哭竹,meng'zong'ku'zhu
糜竺收资,mi'zhu'shou'zi
渑池会,mian'chi'hui
明昌梦,ming'chang'meng
明达卖子,ming'da'mai'zi
明皇村院会佳期,ming'huang'cun'yuan'hui'jia'qi
磨刀劝妇,mo'dao'quan'fu
魔合罗,mo'he'luo
牡丹记,mu'dan'ji
牡丹亭,mu'dan'ting
牡丹园,mu'dan'yuan
目连救母,mu'lian'jiu'mu
奶干儿,nai'gan'er
南极登仙,nan'ji'deng'xian
南牢记,nan'lao'ji
闹法场,nao'fa'chang
闹衡州,nao'heng'zhou
闹铜台,nao'tong'tai
闹阴司,nao'yin'si
闹元宵,nao'yuan'xiao
霓裳怨,ni'chang'yuan
念奴教乐,nian'nu'jiao'le
奴杀主因福折福,nu'sha'zhu'yin'fu'zhe'fu
怒斩关平,nu'zhan'guan'ping
女学士,nv'xue'shi
女真观,nv'zhen'guan
怕媳妇,pa'xi'fu
潘安掷果,pan'an'zhi'guo
蟠桃会,pan'tao'hui
庞掠四郡,pang'lue'si'jun
裴度还带,pei'du'hai'dai
盆儿鬼,pen'er'gui
劈华山,pi'hua'shan
劈华岳,pi'hua'yue
琵琶怨,pi'pa'yuan
骗英布,pian'ying'bu
撇古老沉珠合,pie'gu'lao'chen'zhu'he
贫儿乍富,pin'er'zha'fu
贫富兴衰,pin'fu'xing'shuai
破风诗,po'feng'shi
破天阵,po'tian'zhen
破窑记,po'yao'ji
破雨伞,po'yu'san
七步成章,qi'bu'cheng'zhang
七德舞,qi'de'wu
戚夫人,qi'fu'ren
七里滩,qi'li'tan
气球末,qi'qiu'mo
齐天大圣,qi'tian'da'sheng
气英布,qi'ying'bu
千里独行,qian'li'du'xing
千里投人,qian'li'tou'ren
牵龙舟,qian'long'zhou
倩女离魂,qian'nv'li'hun
钱神论,qian'shen'lun
钱塘梦,qian'tang'meng
墙头马上,qiang'tou'ma'shang
乔断案,qiao'duan'an
乔教学,qiao'jiao'xue
秦楼月,qin'lou'yue
秦少游,qin'shao'you
青陵台,qing'ling'tai
青衫泪,qing'shan'lei
庆赏端阳,qing'shang'duan'yang
穷风月,qiong'feng'yue
秋胡戏妻,qiu'hu'xi'qi
秋莲梦,qiu'lian'meng
秋千记,qiu'qian'ji
秋香怨,qiu'xiang'yuan
秋夜云窗梦,qiu'ye'yun'chuang'meng
曲江池,qu'jiang'chi
娶小乔,qu'xiao'qiao
屈原投江,qu'yuan'tou'jiang
劝丈夫,quan'zhang'fu
瘸马记,que'ma'ji
任风子,ren'feng'zi
任千四颗头,ren'qian'si'ke'tou
认先皇,ren'xian'huang
仁义礼智信,ren'yi'li'zhi'xin
认玉钗,ren'yu'chai
忍字记,ren'zi'ji
蕊珠宫,rui'zhu'gong
三出小沛,san'chu'xiao'pei
三噉赦,san'dan'she
三夺槊,san'duo'shuo
三负心,san'fu'xin
三告状,san'gao'zhuang
三化邯郸,san'hua'han'dan
三件宝,san'jian'bao
三撇嵌,san'pie'qian
三贤妇,san'xian'fu
三战吕布,san'zhan'lv'bu
森罗殿,sen'luo'dian
杀狗劝夫,sha'gou'quan'fu
赏黄花,shang'huang'hua
射金钱,she'jin'qian
神奴儿,shen'nu'er
圣姑姑,sheng'gu'gu
生金阁,sheng'jin'ge
升堂记,sheng'tang'ji
石榴园,shi'liu'yuan
师婆旦,shi'po'dan
弑齐君,shi'qi'jun
石守信,shi'shou'xin
十样锦,shi'yang'jin
十咏水仙子,shi'yong'shui'xian'zi
石州慢,shi'zhou'man
手卷记,shou'juan'ji
受禅台,shou'shan'tai
疏者下船,shu'zhe'xia'chuan
双斗医,shuang'dou'yi
双赴梦,shuang'fu'meng
双驾车,shuang'jia'che
双教化,shuang'jiao'hua
双林坐化,shuang'lin'zuo'hua
双卖华,shuang'mai'hua
双弃瓢,shuang'qi'piao
双蕖怨,shuang'qu'yuan
双献头,shuang'xian'tou
双献头武松大报仇,shuang'xian'tou'wu'song'da'bao'chou
水里报冤,shui'li'bao'yuan
水帘寨,shui'lian'zhai
水淹蓝桥,shui'yan'lan'qiao
四春园,si'chun'yuan
四国旦,si'guo'dan
驷马奔阵,si'ma'ben'zhen
四马投唐,si'ma'tou'tang
四圣归天,si'sheng'gui'tian
私下三关,si'xia'san'guan
送寒衣,song'han'yi
宋弘不谐,song'hong'bu'xie
松阴梦,song'yin'meng
鹔鹴裘,su'shuang'qiu
苏武还乡,su'wu'huan'xiang
苏小卿怨杨柳,su'xiao'qing'yuan'yang'liu
碎冬凌,sui'dong'ling
谇范睢,sui'fan'sui
岁寒三友,sui'han'san'you
岁寒亭,sui'han'ting
孙康映雪,sun'kang'ying'xue
孙恪遇猿,sun'ke'yu'yuan
锁白猿,suo'bai'yuan
锁水母,suo'shui'mu
踏雪寻梅,ta'xue'xun'mei
探狐洞,tan'hu'dong
叹骷髅,tan'ku'lou
唐庄宗,tang'zhuang'zong
桃符记,tao'fu'ji
桃花女,tao'hua'nv
陶侃拿苏峻,tao'kan'na'su'jun
桃园结义,tao'yuan'jie'yi
滕王阁,teng'wang'ge
题红怨,ti'hong'yuan
替杀妻,ti'sha'qi
提头鬼,ti'tou'gui
田单复齐,tian'dan'fu'qi
天子班,tian'zi'ban
调风月,tiao'feng'yue
铁拐李岳,tie'guai'li'yue
铜瓦记,tong'wa'ji
推车旦,tui'che'dan
托公书,tuo'gong'shu
托妻寄子,tuo'qi'ji'zi
万花堂,wan'hua'tang
玩江楼,wan'jiang'lou
玩江亭,wan'jiang'ting
王粲登楼,wang'can'deng'lou
王公绰,wang'gong'chuo
王皇后,wang'huang'hou
望江亭,wang'jiang'ting
望思台,wang'si'tai
王孙贾,wang'sun'jia
望香亭,wang'xiang'ting
王祥卧冰,wang'xiang'wo'bing
王状元扯休书,wang'zhuang'yuan'che'xiu'shu
为富不仁,wei'fu'bu'ren
卫灵公,wei'ling'gong
危太仆衣锦还乡,wei'tai'pu'yi'jin'huan'xiang
渭塘奇遇,wei'tang'qi'yu
韦贤籝金,wei'xian'ying'jin
魏徵改诏,wei'zheng'gai'zhao
问牛喘,wen'niu'chuan
卧龙冈,wo'long'gang
挝怨鼓,wo'yuan'gu
五侯宴,wu'hou'yan
乌林皓月,wu'lin'hao'yue
五马破曹,wu'ma'po'cao
吴起敌秦,wu'qi'di'qin
误入长安,wu'ru'chang'an
误入桃源,wu'ru'tao'yuan
武三思,wu'san'si
午时牌,wu'shi'pai
武松打虎,wu'song'da'hu
梧桐树,wu'tong'shu
梧桐雨,wu'tong'yu
武王伐纣,wu'wang'fa'zhou
无盐破环,wu'yan'po'huan
伍员吹箫,wu'yuan'chui'xiao
误元宵,wu'yuan'xiao
五丈原,wu'zhang'yuan
伍子胥鞭伏柳盗跖,wu'zi'xu'bian'fu'liu'dao'zhi
惜春堂,xi'chun'tang
西湖梦,xi'hu'meng
细柳营,xi'liu'ying
西天取经,xi'tian'qu'jing
西厢记,xi'xiang'ji
夕阳楼,xi'yang'lou
贤孝妇,xian'xiao'fu
贤孝牌,xian'xiao'pai
相府院,xiang'fu'yuan
相国寺,xiang'guo'si
相如题柱,xiang'ru'ti'zhu
襄阳府调狗掉刀,xiang'yang'fu'tiao'gou'diao'dao
襄阳会,xiang'yang'hui
小二哥大闹查子店,xiao'er'ge'da'nao'cha'zi'dian
销金帐,xiao'jin'zhang
小刘屠,xiao'liu'tu
小秦王,xiao'qin'wang
小孙屠,xiao'sun'tu
潇湘雨,xiao'xiang'yu
小尉迟,xiao'yu'chi
消灾寺,xiao'zai'si
小张屠,xiao'zhang'tu
谢金吾,xie'jin'wu
谢天香,xie'tian'xiang
心猿意马,xin'yuan'yi'ma
兴兵完楚,xing'bing'wan'chu
杏林庄,xing'lin'zhuang
邢台记,xing'tai'ji
幸月宫,xing'yue'gong
宣华妃,xuan'hua'fei
薛苞认母,xue'bao'ren'mu
雪里报冤,xue'li'bao'yuan
薛仁贵,xue'ren'gui
血手记,xue'shou'ji
雪香亭,xue'xiang'ting
哑观音,ya'guan'yin
延安府,yan'an'fu
烟花鬼,yan'hua'gui
眼睛记,yan'jing'ji
燕青博鱼,yan'qing'bo'yu
燕青射雁,yan'qing'she'yan
燕山梦,yan'shan'meng
燕子楼,yan'zi'lou
杨贵妃,yang'gui'fei
杨香跨虎,yang'xiang'kua'hu
杨震辞金,yang'zhen'ci'jin
扬州梦,yang'zhou'meng
谒鲁肃,ye'lu'su
野猿听经,ye'yuan'ting'jing
夜月京娘墓,ye'yue'jing'niang'mu
夜月瑶琴怨,ye'yue'yao'qin'yuan
衣袄车,yi'ao'che
衣锦还乡,yi'jin'huan'xiang
遗留文书,yi'liu'wen'shu
圯桥进履,yi'qiao'jin'lv
伊尹扶汤,yi'yin'fu'tang
因祸致福,yin'huo'zhi'fu
阴山破虏,yin'shan'po'lu
姻缘簿,yin'yuan'bu
银筝怨,yin'zheng'yuan
永不分别,yong'bu'fen'bie
渔父辞剑,yu'fu'ci'jian
于公高门,yu'gong'gao'men
愚鼓惜气劝世道情,yu'gu'xi'qi'quan'shi'dao'qing
玉壶春,yu'hu'chun
玉镜台,yu'jing'tai
鱼篮记,yu'lan'ji
渔樵记,yu'qiao'ji
豫让吞炭,yu'rang'tun'tan
遇上皇,yu'shang'huang
玉堂春,yu'tang'chun
玉溪馆,yu'xi'guan
鱼雁传情,yu'yan'chuan'qing
遇云英,yu'yun'ying
玉簪记,yu'zan'ji
袁盎却坐,yuan'ang'que'zuo
远波亭,yuan'bo'ting
冤家债主,yuan'jia'zhai'zhu
袁觉拖笆,yuan'jue'tuo'ba
鸳鸯被,yuan'yang'bei
鸳鸯会,yuan'yang'hui
岳飞精忠,yue'fei'jing'zhong
越娘背灯,yue'niang'bei'deng
越王尝胆,yue'wang'chang'dan
岳阳楼,yue'yang'lou
月夜闻筝,yue'ye'wen'zheng
月夜紫鸾箫,yue'ye'zi'luan'xiao
乐毅图齐,yue'yi'tu'qi
云台观,yun'tai'guan
云台门,yun'tai'men
凿壁偷光,zao'bi'tou'guang
诈游云梦,zha'you'yun'meng
斋后钟,zhai'hou'zhong
摘椹养母,zhai'shen'yang'mu
窄袖儿武松,zhai'xiu'er'wu'song
斩白蛇,zhan'bai'she
斩蔡阳,zhan'cai'yang
斩陈馀,zhan'chen'yu
斩邓通,zhan'deng'tong
占断风光,zhan'duan'feng'guang
斩韩信,zhan'han'xin
斩健蛟,zhan'jian'jiao
斩吕布,zhan'lv'bu
张敞画眉,zhang'chang'hua'mei
张鼎勘头巾,zhang'ding'kan'tou'jin
张华三撇嵌,zhang'hua'san'pie'qian
张解元墙头调莺燕,zhang'jie'yuan'qiang'tou'tiao'ying'yan
张良辞朝,zhang'liang'ci'chao
张生煮海,zhang'sheng'zhu'hai
章台柳,zhang'tai'liu
张天师,zhang'tian'shi
昭君出塞,zhao'jun'chu'sai
赵礼让肥,zhao'li'rang'fei
赵氏孤儿,zhao'shi'gu'er
赵太祖,zhao'tai'zu
赵尧辞金,zhao'yao'ci'jin
赵宗让肥,zhao'zong'rang'fei
鹧鸪天,zhe'gu'tian
镇凶宅,zhen'xiong'zhai
珍珠旗,zhen'zhu'qi
争报恩,zheng'bao'en
郑参军蜘蛛记,zheng'can'jun'zhi'zhu'ji
正阳门,zheng'yang'men
郑庄公,zheng'zhuang'gong
执笏谏,zhi'hu'jian
智降秦叔宝,zhi'jiang'qin'shu'bao
织锦回文,zhi'jin'hui'wen
指鹿道马,zhi'lu'dao'ma
纸扇记,zhi'shan'ji
智赚鬼擘口,zhi'zhuan'gui'bo'kou
周处三害,zhou'chu'san'hai
周公摄政,zhou'gong'she'zheng
竹窗雨,zhu'chuang'yu
诸葛祭风,zhu'ge'ji'feng
诸葛论功,zhu'ge'lun'gong
竹林寺,zhu'lin'si
硃砂担,zhu'sha'dan
朱砂记,zhu'sha'ji
朱蛇记,zhu'she'ji
竹坞听琴,zhu'wu'ting'qin
竹叶传情,zhu'ye'chuan'qing
竹叶舟,zhu'ye'zhou
赚蒯通,zhuan'kuai'tong
赚兰亭,zhuan'lan'ting
庄周梦,zhuang'zhou'meng
追韩信,zhui'han'xin
捉彭宠,zhuo'peng'chong
卓文君驾车,zhuo'wen'jun'jia'che
卓文君夜奔相如,zhuo'wen'jun'ye'ben'xiang'ru
子房货剑,zi'fang'huo'jian
紫云娘,zi'yun'niang
紫云亭,zi'yun'ting
走樊城,zou'fan'cheng
走昭君,zou'zhao'jun
醉写满庭芳,zui'xie'man'ting'fang
