阿飞,a'fei
万花筒写轮眼,wan'hua'tong'xie'lun'yan
万蛇,wan'she
万象天引,wan'xiang'tian'yin
伪暗,wei'an
尾兽,wei'shou
文太,wen'tai
我爱罗,wo'ai'luo
涡之国,wo'zhi'guo
涡之国女忍者,wo'zhi'guo'nv'ren'zhe
五大国,wu'da'guo
五代目,wu'dai'mu
五代水影,wu'dai'shui'ying
雾忍,wu'ren
五人众,wu'ren'zhong
五食鲛,wu'shi'jiao
五尾,wu'wei
无限沙尘大突破,wu'xian'sha'chen'da'tu'po
五行封印,wu'xing'feng'yin
五行解印,wu'xing'jie'yin
乌鸦,wu'ya
雾隐,wu'yin
雾隐村,wu'yin'cun
雾隐忍者村,wu'yin'ren'zhe'cun
雾隐之术,wu'yin'zhi'shu
五影,wu'ying
五右卫门,wu'you'wei'men
夕日红,xi'ri'hong
霞从者之术,xia'cong'zhe'zhi'shu
下忍,xia'ren
仙法,xian'fa
仙人模式,xian'ren'mo'shi
仙术,xian'shu
香磷,xiang'lin
象转术,xiang'zhuan'shu
象转之术,xiang'zhuan'zhi'shu
小李,xiao'li
小楠,xiao'nan
晓楠,xiao'nan
小樱,xiao'ying
写轮眼,xie'lun'yan
邪神教,xie'shen'jiao
心乱身之术,xin'luan'shen'zhi'shu
心中斩首之术,xin'zhong'zhan'shou'zhi'shu
心转身之术,xin'zhuan'shen'zhi'shu
修罗道,xiu'luo'dao
须佐之男,xu'zuo'zhi'nan
旋涡玖辛奈,xuan'wo'jiu'xin'nai
漩涡鸣人,xuan'wo'ming'ren
漩涡奇奈,xuan'wo'qi'nai
血之通灵,xue'zhi'tong'ling
压害,ya'hai
压垮摊贩术,ya'kua'tan'fan'shu
牙狼牙,ya'lang'ya
牙通牙,ya'tong'ya
岩忍,yan'ren
岩忍村,yan'ren'cun
岩宿崩,yan'su'beng
岩宿大蛤蟆,yan'su'da'ha'ma
岩隐村,yan'yin'cun
岩隐忍者村,yan'yin'ren'zhe'cun
妖狐衣,yao'hu'yi
药师兜,yao'shi'dou
药师天善,yao'shi'tian'shan
夜叉丸,ye'cha'wan
夜凤凰,ye'feng'huang
伊比喜,yi'bi'xi
医疗班,yi'liao'ban
医疗忍者,yi'liao'ren'zhe
伊鲁卡,yi'lu'ka
伊那里,yi'na'li
已生转生,yi'sheng'zhuan'sheng
一尾,yi'wei
一尾守鹤,yi'wei'shou'he
阴封印,yin'feng'yin
音忍,yin'ren
音忍村,yin'ren'cun
影分身,ying'fen'shen
影分身术,ying'fen'shen'shu
影风车,ying'feng'che
影风车手里剑,ying'feng'che'shou'li'jian
影缚颈之术,ying'fu'jing'zhi'shu
樱花冲,ying'hua'chong
影首缚,ying'shou'fu
影手里剑之术,ying'shou'li'jian'zhi'shu
硬涡水刃,ying'wo'shui'ren
影舞叶,ying'wu'ye
影子模仿术,ying'zi'mo'fang'shu
影子束缚术,ying'zi'shu'fu'shu
永恒万花筒写轮眼,yong'heng'wan'hua'tong'xie'lun'yan
右近,you'jin
油女,you'nv
油女一族,you'nv'yi'zu
油女志乃,you'nv'zhi'nai
油女志微,you'nv'zhi'wei
有史以来最强的火影,you'shi'yi'lai'zui'qiang'de'huo'ying
雨忍,yu'ren
雨忍村,yu'ren'cun
御手洗红豆,yu'shou'xi'hong'dou
预言之子,yu'yan'zhi'zi
宇智波带土,yu'zhi'bo'dai'tu
宇智波鼬,yu'zhi'bo'you
宇智波止水,yu'zhi'bo'zhi'shui
宇智波佐助,yu'zhi'bo'zuo'zhu
雨之国,yu'zhi'guo
猿飞,yuan'fei
猿飞阿斯玛,yuan'fei'a'si'ma
猿飞木叶丸,yuan'fei'mu'ye'wan
猿飞日斩,yuan'fei'ri'zhan
远距离攻击型,yuan'ju'li'gong'ji'xing
远眼镜之术,yuan'yan'jing'zhi'shu
月读,yue'du
月光疾风,yue'guang'ji'feng
云忍,yun'ren
云隐村,yun'yin'cun
云隐忍者村,yun'yin'ren'zhe'cun
再不斩,zai'bu'zhan
早蕨之舞,zao'jue'zhi'wu
斩空波,zhan'kong'bo
斩首大刀,zhan'shou'da'dao
斩斩舞,zhan'zhan'wu
掌仙术,zhang'xian'shu
召唤术,zhao'huan'shu
召唤阎罗,zhao'huan'yan'luo
者之书,zhe'zhi'shu
针地藏,zhen'di'zang
指刻封印,zhi'ke'feng'yin
志麻,zhi'ma
志乃,zhi'nai
止水,zhi'shui
中忍,zhong'ren
中忍考试,zhong'ren'kao'shi
重吾,zhong'wu
咒印,zhou'yin
猪鹿蝶,zhu'lu'die
猪鹿蝶三人组,zhu'lu'die'san'ren'zu
猪鹿蝶组合,zhu'lu'die'zu'he
竹内顺子,zhu'nei'shun'zi
朱之螺旋丸,zhu'zhi'luo'xuan'wan
転寝小春,zhuan'qin'xiao'chun
转寝小春,zhuan'qin'xiao'chun
转生,zhuan'sheng
自来也,zi'lai'ye
紫宵,zi'xiao
最强的火影,zui'qiang'de'huo'ying
左近,zuo'jin
佐井,zuo'jing
佐助,zuo'zhu
