阿比西尼亚野驴,a'bi'xi'ni'ya'ye'lv
可拉马,ke'la'ma
克拉斯代重挽马,ke'la'si'dai'zhong'wan'ma
克里福兰红马,ke'li'fu'lan'hong'ma
柯摩哥尔牛,ke'mo'ge'er'niu
库尔德马,ku'er'de'ma
库兰驴,ku'lan'lv
夸特马,kua'te'ma
拉脱维亚马,la'tuo'wei'ya'ma
来航鸡,lai'hang'ji
来亨鸡,lai'heng'ji
兰德瑞斯猪,lan'de'rui'si'zhu
蓝塘猪,lan'tang'zhu
狼山鸡,lang'shan'ji
乐平猪,le'ping'zhu
力克斯兔,li'ke'si'tu
利木赞牛,li'mu'zan'niu
利皮赞马,li'pi'zan'ma
立陶宛马,li'tao'wan'ma
溧阳鸡,li'yang'ji
连城白鸭,lian'cheng'bai'ya
两广小花猪,liang'guang'xiao'hua'zhu
林甸鸡,lin'dian'ji
林肯红牛,lin'ken'hong'niu
酃县白鹅,ling'xian'bai'e
瘤头鸭,liu'tou'ya
隆林猪,long'lin'zhu
龙游乌猪,long'you'wu'zhu
芦花洛克鸡,lu'hua'luo'ke'ji
鲁西牛,lu'xi'niu
鹿苑鸡,lu'yuan'ji
洛岛红鸡,luo'dao'hong'ji
洛克鸡,luo'ke'ji
罗曼诺拉牛,luo'man'nuo'la'niu
罗曼肉鸡,luo'man'rou'ji
罗斯号,luo'si'hao
罗斯褐鸡,luo'si'he'ji
麦克伦堡马,mai'ke'lun'bao'ma
麦洼牦牛,mai'wa'mao'niu
曼安茹牛,man'an'ru'niu
曼契加那牛,man'qi'jia'na'niu
美国花马,mei'guo'hua'ma
美国骑乘马,mei'guo'qi'cheng'ma
美国兔,mei'guo'tu
美国银河马,mei'guo'yin'he'ma
蒙古马,meng'gu'ma
蒙古牛,meng'gu'niu
蒙古野驴,meng'gu'ye'lv
闽北花猪,min'bei'hua'zhu
闽海黑鸭,min'hai'hei'ya
闽南牛,min'nan'niu
民猪,min'zhu
莫尔根马,mo'er'gen'ma
墨累灰牛,mo'lei'hui'niu
耐旱肉牛,nai'han'rou'niu
南德温牛,nan'de'wen'niu
南阳黑猪,nan'yang'hei'zhu
南阳牛,nan'yang'niu
内江猪,nei'jiang'zhu
尼克蛋鸡,ni'ke'dan'ji
尼克肉鸡,ni'ke'rou'ji
宁乡猪,ning'xiang'zhu
奴宾野驴,nu'bin'ye'lv
诺曼底牛,nuo'man'di'niu
诺门马,nuo'men'ma
挪威红牛,nuo'wei'hong'niu
盘江牛,pan'jiang'niu
佩尔代马,pei'er'dai'ma
彭县黄鸡,peng'xian'huang'ji
皮德蒙牛,pi'de'meng'niu
皮尔斯鸡,pi'er'si'ji
皮特兰猪,pi'te'lan'zhu
婆罗门牛,po'luo'men'niu
泼雪龙重挽马,po'xue'long'zhong'wan'ma
浦东鸡,pu'dong'ji
莆田猪,pu'tian'zhu
浅花苏赛克斯鸡,qian'hua'su'sai'ke'si'ji
前苏联黑白花牛,qian'su'lian'hei'bai'hua'niu
切特斯白猪,qie'te'si'bai'zhu
秦川牛,qin'chuan'niu
青海高原牦牛,qing'hai'gao'yuan'mao'niu
清平猪,qing'ping'zhu
清远麻鸡,qing'yuan'ma'ji
青紫蓝兔,qing'zi'lan'tu
琼雷牛,qiong'lei'niu
荣昌猪,rong'chang'zhu
肉鸡,rou'ji
肉牛王,rou'niu'wang
乳用短角牛,ru'yong'duan'jiao'niu
瑞士褐牛,rui'shi'he'niu
萨福克重挽马,sa'fu'ke'zhong'wan'ma
赛克斯白,sai'ke'si'bai
赛克斯褐,sai'ke'si'he
三河马,san'he'ma
三河牛,san'he'niu
三江白猪,san'jiang'bai'zhu
三江牛,san'jiang'niu
三穗鸭,san'sui'ya
沙希华牛,sha'xi'hua'niu
上海白猪,shang'hai'bai'zhu
绍鸭,shao'ya
圣格特鲁牛,sheng'ge'te'lu'niu
嵊县花猪,sheng'xian'hua'zhu
狮头鹅,shi'tou'e
寿光鸡,shou'guang'ji
四川白鹅,si'chuan'bai'e
丝毛乌骨鸡,si'mao'wu'gu'ji
苏白猪,su'bai'zhu
苏赛克斯,su'sai'ke'si
苏塞克斯牛,su'sai'ke'si'niu
苏维埃挽马,su'wei'ai'wan'ma
泰和鸡,tai'he'ji
太湖鹅,tai'hu'e
太湖猪,tai'hu'zhu
太姆华斯猪,tai'mu'hua'si'zhu
台湾牛,tai'wan'niu
台湾猪,tai'wan'zhu
桃源鸡,tao'yuan'ji
特伯卡牛,te'bo'ka'niu
田尼斯走马,tian'ni'si'zou'ma
天祝白牦牛,tian'zhu'bai'mao'niu
铁岭挽马,tie'ling'wan'ma
皖南牛,wan'nan'niu
皖西白鹅,wan'xi'bai'e
皖浙花猪,wan'zhe'hua'zhu
威尔士矮马,wei'er'shi'ai'ma
威尔士黑牛,wei'er'shi'hei'niu
维乐马,wei'le'ma
微型马,wei'xing'ma
圩猪,wei'zhu
温多德鸡,wen'duo'de'ji
温岭高峰牛,wen'ling'gao'feng'niu
翁戈牛,weng'ge'niu
沃腾堡马,wo'teng'bao'ma
武定鸡,wu'ding'ji
无角短角牛,wu'jiao'duan'jiao'niu
无角海福牛,wu'jiao'hai'fu'niu
无角赫里福德牛,wu'jiao'he'li'fu'de'niu
无角红牛,wu'jiao'hong'niu
乌金猪,wu'jin'zhu
巫陵牛,wu'ling'niu
武夷黑猪,wu'yi'hei'zhu
五指山猪,wu'zhi'shan'zhu
乌棕鹅,wu'zong'e
喜马拉雅兔,xi'ma'la'ya'tu
西门塔尔牛,xi'men'ta'er'niu
西藏高山牦牛,xi'zang'gao'shan'mao'niu
西藏牛,xi'zang'niu
西藏野驴,xi'zang'ye'lv
西猪,xi'zhu
夏白雷牛,xia'bai'lei'niu
夏尔重挽马,xia'er'zhong'wan'ma
夏福特牛,xia'fu'te'niu
夏洛来牛,xia'luo'lai'niu
霞烟鸡,xia'yan'ji
仙居鸡,xian'ju'ji
香槟银兔,xiang'bin'yin'tu
湘西黑猪,xiang'xi'hei'zhu
香猪,xiang'zhu
萧山鸡,xiao'shan'ji
辛地牛,xin'di'niu
新汉夏鸡,xin'han'xia'ji
新淮猪,xin'huai'zhu
新疆褐牛,xin'jiang'he'niu
新疆驴,xin'jiang'lv
新西兰兔,xin'xi'lan'tu
星布罗,xing'bu'luo
杏花鸡,xing'hua'ji
星杂,xing'za
溆浦鹅,xu'pu'e
雪特兰矮马,xue'te'lan'ai'ma
雅罗斯拉夫牛,ya'luo'si'la'fu'niu
雅南猪,ya'nan'zhu
亚洲野驴,ya'zhou'ye'lv
延边牛,yan'bian'niu
雁鹅,yan'e
焉耆马,yan'qi'ma
阳新猪,yang'xin'zhu
伊拉瓦拉牛,yi'la'wa'la'niu
伊犁白猪,yi'li'bai'zhu
伊犁鹅,yi'li'e
伊犁马,yi'li'ma
沂蒙黑猪,yi'meng'hei'zhu
伊萨褐鸡,yi'sa'he'ji
英国花兔,ying'guo'hua'tu
油鸡,you'ji
攸县鸭,you'xian'ya
玉江猪,yu'jiang'zhu
粤东黑猪,yue'dong'hei'zhu
云南高峰牛,yun'nan'gao'feng'niu
藏马,zang'ma
枣北牛,zao'bei'niu
浙东白鹅,zhe'dong'bai'e
中国斗鸡,zhong'guo'dou'ji
中国黑白花牛,zhong'guo'hei'bai'hua'niu
中约克夏猪,zhong'yue'ke'xia'zhu
舟山牛,zhou'shan'niu
