保安宫,bao'an'gong
士林,shi'lin
士林官邸,shi'lin'guan'di
士林区,shi'lin'qu
士林夜市,shi'lin'ye'shi
石门水库,shi'men'shui'ku
狮子博物馆,shi'zi'bo'wu'guan
双溪公园,shuang'xi'gong'yuan
祀典武庙,si'dian'wu'miao
松山区,song'shan'qu
松山站,song'shan'zhan
孙逸仙博士图书馆,sun'yi'xian'bo'shi'tu'shu'guan
台北车站,tai'bei'che'zhan
台北城门,tai'bei'cheng'men
台北动物园,tai'bei'dong'wu'yuan
台北公园,tai'bei'gong'yuan
台北故宫博物院,tai'bei'gu'gong'bo'wu'yuan
台北观音山,tai'bei'guan'yin'shan
台北国立故宫博物院,tai'bei'guo'li'gu'gong'bo'wu'yuan
台北海洋生活馆,tai'bei'hai'yang'sheng'huo'guan
台北孔庙,tai'bei'kong'miao
台北龙山寺,tai'bei'long'shan'si
台北木栅动物园,tai'bei'mu'shan'dong'wu'yuan
台北市,tai'bei'shi
台北市立教育大学,tai'bei'shi'li'jiao'yu'da'xue
台北市立美术馆,tai'bei'shi'li'mei'shu'guan
台北市立体育学院,tai'bei'shi'li'ti'yu'xue'yuan
台北天后宫,tai'bei'tian'hou'gong
台北仙迹岩,tai'bei'xian'ji'yan
台北袖珍博物馆,tai'bei'xiu'zhen'bo'wu'guan
台北一零一大厦,tai'bei'yi'ling'yi'da'sha
台湾大学,tai'wan'da'xue
台湾原住民博物馆,tai'wan'yuan'zhu'min'bo'wu'guan
童话世界,tong'hua'shi'jie
通霄海水浴场,tong'xiao'hai'shui'yu'chang
外双溪,wai'shuang'xi
万华,wan'hua
万华区,wan'hua'qu
万瑞森林游乐区,wan'rui'sen'lin'you'le'qu
文山区,wen'shan'qu
五峰渡假村,wu'feng'du'jia'cun
五峰乡,wu'feng'xiang
西门町,xi'men'ding
霞海城隍庙,xia'hai'cheng'huang'miao
霞喀罗古道,xia'ka'luo'gu'dao
香山母圣宫,xiang'shan'mu'sheng'gong
新店溪,xin'dian'xi
新老梅公园,xin'lao'mei'gong'yuan
新生公园,xin'sheng'gong'yuan
信义,xin'yi
信义区,xin'yi'qu
行天宫,xing'tian'gong
行义路温泉,xing'yi'lu'wen'quan
阳明山,yang'ming'shan
阳明山公园,yang'ming'shan'gong'yuan
迎曦门,ying'xi'men
渔港环保公园,yu'gang'huan'bao'gong'yuan
于关渡,yu'guan'du
圆山,yuan'shan
圆山饭店,yuan'shan'fan'dian
圆山文化遗址,yuan'shan'wen'hua'yi'zhi
至德园,zhi'de'yuan
指南宫,zhi'nan'gong
至善园,zhi'shan'yuan
植物园,zhi'wu'yuan
中和圆通禅寺,zhong'he'yuan'tong'chan'si
中华路,zhong'hua'lu
忠烈祠,zhong'lie'ci
中山公园,zhong'shan'gong'yuan
中山区,zhong'shan'qu
中正纪念堂,zhong'zheng'ji'nian'tang
中正区,zhong'zheng'qu
总统府,zong'tong'fu
