安阳航空运动学校,an'yang'hang'kong'yun'dong'xue'xiao
王赛,wang'sai
王珊,wang'shan
王双,wang'shuang
王永利,wang'yong'li
魏宁,wei'ning
夏修身,xia'xiu'shen
小包,xiao'bao
消高,xiao'gao
肖教钰,xiao'jiao'yu
消失高度,xiao'shi'gao'du
肖宇,xiao'yu
小姿势,xiao'zi'shi
熊雪花,xiong'xue'hua
薛峰,xue'feng
循环踩伞,xun'huan'cai'san
亚大跳伞锦标赛,ya'da'tiao'san'jin'biao'sai
杨珂,yang'ke
夜间跳伞,ye'jian'tiao'san
翼肋,yi'lei
翼伞,yi'san
引导伞,yin'dao'san
殷良,yin'liang
余伟,yu'wei
圆伞,yuan'san
运八型伞,yun'ba'xing'san
运七型伞,yun'qi'xing'san
运三丙型伞,yun'san'bing'xing'san
运三型伞,yun'san'xing'san
运十二飞机,yun'shi'er'fei'ji
运十甲型伞,yun'shi'jia'xing'san
运十五型伞,yun'shi'wu'xing'san
运十型伞,yun'shi'xing'san
运五飞机,yun'wu'fei'ji
张翠梅,zhang'cui'mei
张宏伟,zhang'hong'wei
张玲,zhang'ling
张强,zhang'qiang
赵恬恬,zhao'tian'tian
中心点,zhong'xin'dian
中心点海绵垫,zhong'xin'dian'hai'mian'dian
周平亚,zhou'ping'ya
周蜀延,zhou'shu'yan
朱来明,zhu'lai'ming
主伞,zhu'san
坠落,zhui'luo
自动开伞器,zi'dong'kai'san'qi
自由式,zi'you'shi
走航线,zou'hang'xian
邹继民,zou'ji'min
左燕妮,zuo'yan'ni
