安第斯集团,an'di'si'ji'tuan
反对种族隔离特别委员会,fan'dui'zhong'zu'ge'li'te'bie'wei'yuan'hui
方案和协调委员会,fang'an'he'xie'tiao'wei'yuan'hui
纺织品监督机构,fang'zhi'pin'jian'du'ji'gou
防止歧视及保护少数小组委员会,fang'zhi'qi'shi'ji'bao'hu'shao'shu'xiao'zu'wei'yuan'hui
纺织委员会,fang'zhi'wei'yuan'hui
非常任理事国,fei'chang'ren'li'shi'guo
非政府组织委员会,fei'zheng'fu'zu'zhi'wei'yuan'hui
非洲紧急行动办公室,fei'zhou'jin'ji'xing'dong'ban'gong'shi
非洲开发银行,fei'zhou'kai'fa'yin'hang
非洲统一组织,fei'zhou'tong'yi'zu'zhi
关税减让委员会,guan'shui'jian'rang'wei'yuan'hui
关于妇女地位的来文工作组,guan'yu'fu'nv'di'wei'de'lai'wen'gong'zuo'zu
国际保护植物新品种联合会,guo'ji'bao'hu'zhi'wu'xin'pin'zhong'lian'he'hui
国际电信联盟,guo'ji'dian'xin'lian'meng
国际法委员会,guo'ji'fa'wei'yuan'hui
国际法院,guo'ji'fa'yuan
国际复兴开发银行,guo'ji'fu'xing'kai'fa'yin'hang
国际公务员委员会,guo'ji'gong'wu'yuan'wei'yuan'hui
国际海底管理局,guo'ji'hai'di'guan'li'ju
国际海底管理局及国际海洋法法庭筹备委员会,guo'ji'hai'di'guan'li'ju'ji'guo'ji'hai'yang'fa'fa'ting'chou'bei'wei'yuan'hui
国际海事组织,guo'ji'hai'shi'zu'zhi
国际海洋法法庭,guo'ji'hai'yang'fa'fa'ting
国际环境技术中心,guo'ji'huan'jing'ji'shu'zhong'xin
国际货币基金组织,guo'ji'huo'bi'ji'jin'zu'zhi
国际际准化组织,guo'ji'ji'zhun'hua'zu'zhi
国际解决投资争端中心,guo'ji'jie'jue'tou'zi'zheng'duan'zhong'xin
国际金融公司,guo'ji'jin'rong'gong'si
国际经济和社会事务部,guo'ji'jing'ji'he'she'hui'shi'wu'bu
国际开发协会,guo'ji'kai'fa'xie'hui
国际恐怖主义问题特设委员会,guo'ji'kong'bu'zhu'yi'wen'ti'te'she'wei'yuan'hui
国际会计和报告标准政府间专家工作组,guo'ji'kuai'ji'he'bao'gao'biao'zhun'zheng'fu'jian'zhuan'jia'gong'zuo'zu
国际劳工组织,guo'ji'lao'gong'zu'zhi
国际联盟,guo'ji'lian'meng
国际粮食辐照咨询小组,guo'ji'liang'shi'fu'zhao'zi'xun'xiao'zu
国际麻醉品管制局,guo'ji'ma'zui'pin'guan'zhi'ju
国际贸易中心,guo'ji'mao'yi'zhong'xin
国际贸易组织,guo'ji'mao'yi'zu'zhi
国际民用航空组织,guo'ji'min'yong'hang'kong'zu'zhi
国际难民组织,guo'ji'nan'min'zu'zhi
国际农业发展基金组织,guo'ji'nong'ye'fa'zhan'ji'jin'zu'zhi
国际农业研究磋商小组,guo'ji'nong'ye'yan'jiu'cuo'shang'xiao'zu
国际税务合作特设专家小组,guo'ji'shui'wu'he'zuo'te'she'zhuan'jia'xiao'zu
国际原子能机构,guo'ji'yuan'zi'neng'ji'gou
海湾阿拉伯国家合作委员会,hai'wan'a'la'bo'guo'jia'he'zuo'wei'yuan'hui
海湾合作委员会,hai'wan'he'zuo'wei'yuan'hui
海洋法筹备委员会,hai'yang'fa'chou'bei'wei'yuan'hui
和平利用外层空间委员会,he'ping'li'yong'wai'ceng'kong'jian'wei'yuan'hui
和平使用海床委员会,he'ping'shi'yong'hai'chuang'wei'yuan'hui
会议委员会,hui'yi'wei'yuan'hui
加勒比开发银行,jia'le'bi'kai'fa'yin'hang
结社自由委员会,jie'she'zi'you'wei'yuan'hui
近东救济工程处,jin'dong'jiu'ji'gong'cheng'chu
经济发展学院,jing'ji'fa'zhan'xue'yuan
经济合作与发展组织,jing'ji'he'zuo'yu'fa'zhan'zu'zhi
经济及社会理事会,jing'ji'ji'she'hui'li'shi'hui
经济社会和文化权利委员会,jing'ji'she'hui'he'wen'hua'quan'li'wei'yuan'hui
经社理事会的改革,jing'she'li'shi'hui'de'gai'ge
拘禁问题工作小组,ju'jin'wen'ti'gong'zuo'xiao'zu
军事参谋团,jun'shi'can'mou'tuan
可持续发展委员会,ke'chi'xu'fa'zhan'wei'yuan'hui
孔塔多拉集团,kong'ta'duo'la'ji'tuan
跨国公司,kua'guo'gong'si
跨国公司和管理司,kua'guo'gong'si'he'guan'li'si
跨国公司委员会,kua'guo'gong'si'wei'yuan'hui
跨国公司中心,kua'guo'gong'si'zhong'xin
拉丁美洲保护和修复文物研究中心,la'ding'mei'zhou'bao'hu'he'xiu'fu'wen'wu'yan'jiu'zhong'xin
拉丁美洲地区成人教育和识字中心,la'ding'mei'zhou'di'qu'cheng'ren'jiao'yu'he'shi'zi'zhong'xin
拉丁美洲教育交流研究所,la'ding'mei'zhou'jiao'yu'jiao'liu'yan'jiu'suo
拉丁美洲经济体系,la'ding'mei'zhou'jing'ji'ti'xi
拉丁美洲一体化协会,la'ding'mei'zhou'yi'ti'hua'xie'hui
里约集团,li'yue'ji'tuan
联合国,lian'he'guo
联合国安哥拉核查团,lian'he'guo'an'ge'la'he'cha'tuan
联合国巴勒斯坦和解委员会,lian'he'guo'ba'le'si'tan'he'jie'wei'yuan'hui
联合国巴勒斯坦停战监督组织,lian'he'guo'ba'le'si'tan'ting'zhan'jian'du'zu'zhi
联合国保护部队,lian'he'guo'bao'hu'bu'dui
联合国备用部队,lian'he'guo'bei'yong'bu'dui
联合国边境救济行动,lian'he'guo'bian'jing'jiu'ji'xing'dong
联合国裁军审议委员会,lian'he'guo'cai'jun'shen'yi'wei'yuan'hui
联合国裁军委员会,lian'he'guo'cai'jun'wei'yuan'hui
联合国裁军问题研究所,lian'he'guo'cai'jun'wen'ti'yan'jiu'suo
联合国常规武器登记制,lian'he'guo'chang'gui'wu'qi'deng'ji'zhi
联合国出版委员会,lian'he'guo'chu'ban'wei'yuan'hui
联合国大学,lian'he'guo'da'xue
联合国第二期安哥拉核查团,lian'he'guo'di'er'qi'an'ge'la'he'cha'tuan
联合国电视台,lian'he'guo'dian'shi'tai
联合国电台,lian'he'guo'dian'tai
联合国电影委员会,lian'he'guo'dian'ying'wei'yuan'hui
联合国儿童基金会,lian'he'guo'er'tong'ji'jin'hui
联合国非殖民化特别委员会,lian'he'guo'fei'zhi'min'hua'te'bie'wei'yuan'hui
联合国非洲经济委员会,lian'he'guo'fei'zhou'jing'ji'wei'yuan'hui
联合国妇女地位委员会,lian'he'guo'fu'nv'di'wei'wei'yuan'hui
联合国妇女发展基金会,lian'he'guo'fu'nv'fa'zhan'ji'jin'hui
联合国刚果行动中心,lian'he'guo'gang'guo'xing'dong'zhong'xin
联合国工业发展组织,lian'he'guo'gong'ye'fa'zhan'zu'zhi
联合国工作人员养恤金联合委员会,lian'he'guo'gong'zuo'ren'yuan'yang'xu'jin'lian'he'wei'yuan'hui
联合国工作人员养恤金委员会,lian'he'guo'gong'zuo'ren'yuan'yang'xu'jin'wei'yuan'hui
联合国关于国际法教学研究传播和普遍理解方面援助计划咨询委员会,lian'he'guo'guan'yu'guo'ji'fa'jiao'xue'yan'jiu'chuan'bo'he'pu'bian'li'jie'fang'mian'yuan'zhu'ji'hua'zi'xun'wei'yuan'hui
联合国管制麻醉品滥用基金,lian'he'guo'guan'zhi'ma'zui'pin'lan'yong'ji'jin
联合国国际儿童紧急基金会,lian'he'guo'guo'ji'er'tong'jin'ji'ji'jin'hui
联合国国际麻醉品管制规划署,lian'he'guo'guo'ji'ma'zui'pin'guan'zhi'gui'hua'shu
联合国国际贸易法委员会,lian'he'guo'guo'ji'mao'yi'fa'wei'yuan'hui
联合国国际死亡注册办公室,lian'he'guo'guo'ji'si'wang'zhu'ce'ban'gong'shi
联合国国际学校,lian'he'guo'guo'ji'xue'xiao
联合国韩国统一复兴委员会,lian'he'guo'han'guo'tong'yi'fu'xing'wei'yuan'hui
联合国合办工作人员养恤基金,lian'he'guo'he'ban'gong'zuo'ren'yuan'yang'xu'ji'jin
联合国环境规划署,lian'he'guo'huan'jing'gui'hua'shu
联合国技术促进发展部,lian'he'guo'ji'shu'cu'jin'fa'zhan'bu
联合国技术援助,lian'he'guo'ji'shu'yuan'zhu
联合国记者协会,lian'he'guo'ji'zhe'xie'hui
联合国家新闻处,lian'he'guo'jia'xin'wen'chu
联合国柬埔寨过渡时期临时权力机构,lian'he'guo'jian'pu'zhai'guo'du'shi'qi'lin'shi'quan'li'ji'gou
联合国教育科学及文化组织,lian'he'guo'jiao'yu'ke'xue'ji'wen'hua'zu'zhi
联合国近东巴勒斯坦难民救济和工程处,lian'he'guo'jin'dong'ba'le'si'tan'nan'min'jiu'ji'he'gong'cheng'chu
联合国救援遭受酷刑者自愿基金,lian'he'guo'jiu'yuan'zao'shou'ku'xing'zhe'zi'yuan'ji'jin
联合国军事观察团,lian'he'guo'jun'shi'guan'cha'tuan
联合国军事观察员,lian'he'guo'jun'shi'guan'cha'yuan
联合国开发计划署,lian'he'guo'kai'fa'ji'hua'shu
联合国科学与技术促进发展政府间委员会,lian'he'guo'ke'xue'yu'ji'shu'cu'jin'fa'zhan'zheng'fu'jian'wei'yuan'hui
联合国拉丁美洲和加勒比经济委员会,lian'he'guo'la'ding'mei'zhou'he'jia'le'bi'jing'ji'wei'yuan'hui
联合国粮食和农业组织,lian'he'guo'liang'shi'he'nong'ye'zu'zhi
联合国纳米比亚过渡时期协助团,lian'he'guo'na'mi'bi'ya'guo'du'shi'qi'xie'zhu'tuan
联合国纳米比亚基金,lian'he'guo'na'mi'bi'ya'ji'jin
联合国纳米比亚理事会,lian'he'guo'na'mi'bi'ya'li'shi'hui
联合国南部非洲教育及训练方案咨询委员会,lian'he'guo'nan'bu'fei'zhou'jiao'yu'ji'xun'lian'fang'an'zi'xun'wei'yuan'hui
联合国南非信托基金董事会,lian'he'guo'nan'fei'xin'tuo'ji'jin'dong'shi'hui
联合国难民事务高级专员办事处,lian'he'guo'nan'min'shi'wu'gao'ji'zhuan'yuan'ban'shi'chu
联合国欧洲经济委员会,lian'he'guo'ou'zhou'jing'ji'wei'yuan'hui
联合国赔偿委员会,lian'he'guo'pei'chang'wei'yuan'hui
联合国人口活动基金,lian'he'guo'ren'kou'huo'dong'ji'jin
联合国人口奖委员会,lian'he'guo'ren'kou'jiang'wei'yuan'hui
联合国人类住区委员会,lian'he'guo'ren'lei'zhu'qu'wei'yuan'hui
联合国日内瓦办事处,lian'he'guo'ri'nei'wa'ban'shi'chu
联合国萨尔瓦多观察团,lian'he'guo'sa'er'wa'duo'guan'cha'tuan
联合国善后救济总署,lian'he'guo'shan'hou'jiu'ji'zong'shu
联合国社会发展和人道主义事务中心,lian'he'guo'she'hui'fa'zhan'he'ren'dao'zhu'yi'shi'wu'zhong'xin
联合国十国裁军委员会,lian'he'guo'shi'guo'cai'jun'wei'yuan'hui
联合国书店,lian'he'guo'shu'dian
联合国苏丹萨赫勒办事处,lian'he'guo'su'dan'sa'he'le'ban'shi'chu
联合国苏丹萨赫勒活动信托资金,lian'he'guo'su'dan'sa'he'le'huo'dong'xin'tuo'zi'jin
联合国特别委员会,lian'he'guo'te'bie'wei'yuan'hui
联合国提高妇女地位国际研究及训练所,lian'he'guo'ti'gao'fu'nv'di'wei'guo'ji'yan'jiu'ji'xun'lian'suo
联合国提高妇女地位司,lian'he'guo'ti'gao'fu'nv'di'wei'si
联合国土著居民工作组,lian'he'guo'tu'zhu'ju'min'gong'zuo'zu
联合国土著人自愿基金,lian'he'guo'tu'zhu'ren'zi'yuan'ji'jin
联合国脱离接触观察员部队,lian'he'guo'tuo'li'jie'chu'guan'cha'yuan'bu'dui
联合国维持和平部队,lian'he'guo'wei'chi'he'ping'bu'dui
联合国维持和平行动特别委员会,lian'he'guo'wei'chi'he'ping'xing'dong'te'bie'wei'yuan'hui
联合国维也纳办事处,lian'he'guo'wei'ye'na'ban'shi'chu
联合国五十周年筹备委员会,lian'he'guo'wu'shi'zhou'nian'chou'bei'wei'yuan'hui
联合国武装部队,lian'he'guo'wu'zhuang'bu'dui
联合国西撒哈拉公民投票观察团,lian'he'guo'xi'sa'ha'la'gong'min'tou'piao'guan'cha'tuan
联合国西亚经济社会委员会,lian'he'guo'xi'ya'jing'ji'she'hui'wei'yuan'hui
联合国协会世界联合会,lian'he'guo'xie'hui'shi'jie'lian'he'hui
联合国协调行政委员会,lian'he'guo'xie'tiao'xing'zheng'wei'yuan'hui
联合国新闻政策和法规审查委员会,lian'he'guo'xin'wen'zheng'ce'he'fa'gui'shen'cha'wei'yuan'hui
联合国行政法庭,lian'he'guo'xing'zheng'fa'ting
联合国训练研究所,lian'he'guo'xun'lian'yan'jiu'suo
联合国亚洲和太平洋经济社会委员会,lian'he'guo'ya'zhou'he'tai'ping'yang'jing'ji'she'hui'wei'yuan'hui
联合国伊拉克科威特边界划分委员会,lian'he'guo'yi'la'ke'ke'wei'te'bian'jie'hua'fen'wei'yuan'hui
联合国伊朗和伊拉克军事观察团,lian'he'guo'yi'lang'he'yi'la'ke'jun'shi'guan'cha'tuan
联合国印度洋特设委员会,lian'he'guo'yin'du'yang'te'she'wei'yuan'hui
联合国邮政管理处,lian'he'guo'you'zheng'guan'li'chu
联合国志愿人员,lian'he'guo'zhi'yuan'ren'yuan
联合国志愿人员方案,lian'he'guo'zhi'yuan'ren'yuan'fang'an
联合国中美洲观案组,lian'he'guo'zhong'mei'zhou'guan'an'zu
联合国驻阿富汗和巴基斯坦斡旋团,lian'he'guo'zhu'a'fu'han'he'ba'ji'si'tan'wo'xuan'tuan
联合国驻刚果部队,lian'he'guo'zhu'gang'guo'bu'dui
联合国驻格鲁吉亚观察团,lian'he'guo'zhu'ge'lu'ji'ya'guan'cha'tuan
联合国驻柬埔寨先遣团,lian'he'guo'zhu'jian'pu'zhai'xian'qian'tuan
联合国驻黎巴嫩军事观察小组,lian'he'guo'zhu'li'ba'nen'jun'shi'guan'cha'xiao'zu
联合国驻黎巴嫩临时部队,lian'he'guo'zhu'li'ba'nen'lin'shi'bu'dui
联合国驻马其顿维持和平部队,lian'he'guo'zhu'ma'qi'dun'wei'chi'he'ping'bu'dui
联合国驻塞浦路斯维持和平部队,lian'he'guo'zhu'sai'pu'lu'si'wei'chi'he'ping'bu'dui
联合国驻乌干达卢旺达观察团,lian'he'guo'zhu'wu'gan'da'lu'wang'da'guan'cha'tuan
联合国驻西伊里安安全部队,lian'he'guo'zhu'xi'yi'li'an'an'quan'bu'dui
联合国驻也门观察团,lian'he'guo'zhu'ye'men'guan'cha'tuan
联合国驻伊拉克和科威特停火观察团,lian'he'guo'zhu'yi'la'ke'he'ke'wei'te'ting'huo'guan'cha'tuan
联合国驻印度和巴基斯坦观察团,lian'he'guo'zhu'yin'du'he'ba'ji'si'tan'guan'cha'tuan
联合国驻印度和巴基斯坦军事观察小组,lian'he'guo'zhu'yin'du'he'ba'ji'si'tan'jun'shi'guan'cha'xiao'zu
联合国专门机构,lian'he'guo'zhuan'men'ji'gou
联合国自然资源勘探循环基金,lian'he'guo'zi'ran'zi'yuan'kan'tan'xun'huan'ji'jin
联合检查组,lian'he'jian'cha'zu
林业委员会,lin'ye'wei'yuan'hui
麻醉药品委员会,ma'zui'yao'pin'wei'yuan'hui
贸易和发展理事会,mao'yi'he'fa'zhan'li'shi'hui
美洲国家组织,mei'zhou'guo'jia'zu'zhi
美洲开发银行,mei'zhou'kai'fa'yin'hang
秘书长驻阿富汗和巴基斯坦斡旋办公室,mi'shu'zhang'zhu'a'fu'han'he'ba'ji'si'tan'wo'xuan'ban'gong'shi
秘书长驻多米尼加共和国代表团,mi'shu'zhang'zhu'duo'mi'ni'jia'gong'he'guo'dai'biao'tuan
南部非洲教育和训练方案,nan'bu'fei'zhou'jiao'yu'he'xun'lian'fang'an
南部非洲问题专家特设工作小组,nan'bu'fei'zhou'wen'ti'zhuan'jia'te'she'gong'zuo'xiao'zu
农业委员会,nong'ye'wei'yuan'hui
欧洲共同体,ou'zhou'gong'tong'ti
气候变化框架公约政府间磋商委员会,qi'hou'bian'hua'kuang'jia'gong'yue'zheng'fu'jian'cuo'shang'wei'yuan'hui
七十七国集团,qi'shi'qi'guo'ji'tuan
前南斯拉夫问题国际法庭,qian'nan'si'la'fu'wen'ti'guo'ji'fa'ting
强迫或非自愿失踪问题工作小组,qiang'po'huo'fei'zi'yuan'shi'zong'wen'ti'gong'zuo'xiao'zu
区域委员会,qu'yu'wei'yuan'hui
全权证书审查委员会,quan'quan'zheng'shu'shen'cha'wei'yuan'hui
人口委员会,ren'kou'wei'yuan'hui
人权委员会,ren'quan'wei'yuan'hui
人权中心,ren'quan'zhong'xin
萨赫勒抗旱常设国家间委员会,sa'he'le'kang'han'chang'she'guo'jia'jian'wei'yuan'hui
商品问题委员会,shang'pin'wen'ti'wei'yuan'hui
少数人权利问题工作小组,shao'shu'ren'quan'li'wen'ti'gong'zuo'xiao'zu
社会发展委员会,she'hui'fa'zhan'wei'yuan'hui
审计事务委员会,shen'ji'shi'wu'wei'yuan'hui
审计委员会,shen'ji'wei'yuan'hui
十八国裁军委员会,shi'ba'guo'cai'jun'wei'yuan'hui
世界粮食安全委员会,shi'jie'liang'shi'an'quan'wei'yuan'hui
世界粮食计划署,shi'jie'liang'shi'ji'hua'shu
世界粮食理事会,shi'jie'liang'shi'li'shi'hui
世界旅游组织,shi'jie'lv'you'zu'zhi
世界气象组织,shi'jie'qi'xiang'zu'zhi
世界卫生组织,shi'jie'wei'sheng'zu'zhi
世界遗产委员会,shi'jie'yi'chan'wei'yuan'hui
世界银行集团,shi'jie'yin'hang'ji'tuan
世界知识产权组织,shi'jie'zhi'shi'chan'quan'zu'zhi
食品标准法典委员会,shi'pin'biao'zhun'fa'dian'wei'yuan'hui
十人和平使团,shi'ren'he'ping'shi'tuan
石油禁运委员会,shi'you'jin'yun'wei'yuan'hui
太平洋经济合作理事会,tai'ping'yang'jing'ji'he'zuo'li'shi'hui
特别政治委员会,te'bie'zheng'zhi'wei'yuan'hui
特别志愿基金,te'bie'zhi'yuan'ji'jin
同东道国关系非正式混合委员会,tong'dong'dao'guo'guan'xi'fei'zheng'shi'hun'he'wei'yuan'hui
统计委员会,tong'ji'wei'yuan'hui
投资委员会,tou'zi'wei'yuan'hui
土著人问题工作小组,tu'zhu'ren'wen'ti'gong'zuo'xiao'zu
托管理事会,tuo'guan'li'shi'hui
万国邮政联盟,wan'guo'you'zheng'lian'meng
为国际收支平衡而限制进口问题磋商委员会,wei'guo'ji'shou'zhi'ping'heng'er'xian'zhi'jin'kou'wen'ti'cuo'shang'wei'yuan'hui
危险货物运输问题专家委员会,wei'xian'huo'wu'yun'shu'wen'ti'zhuan'jia'wei'yuan'hui
西非国家经济共同体,xi'fei'guo'jia'jing'ji'gong'tong'ti
西非经济共同体,xi'fei'jing'ji'gong'tong'ti
小岛屿发展中国家可持续发展全球会议筹备委员会,xiao'dao'yu'fa'zhan'zhong'guo'jia'ke'chi'xu'fa'zhan'quan'qiu'hui'yi'chou'bei'wei'yuan'hui
小领土请愿新闻和援助小组委员会,xiao'ling'tu'qing'yuan'xin'wen'he'yuan'zhu'xiao'zu'wei'yuan'hui
小型联大,xiao'xing'lian'da
新闻委员会,xin'wen'wei'yuan'hui
行政和预算问题咨询委员会,xing'zheng'he'yu'suan'wen'ti'zi'xun'wei'yuan'hui
亚太经济合作组织,ya'tai'jing'ji'he'zuo'zu'zhi
亚洲开发银行,ya'zhou'kai'fa'yin'hang
要求复核行政法庭所作判决的申请书审查委员会,yao'qiu'fu'he'xing'zheng'fa'ting'suo'zuo'pan'jue'de'shen'qing'shu'shen'cha'wei'yuan'hui
印度和巴基斯坦问题委员会,yin'du'he'ba'ji'si'tan'wen'ti'wei'yuan'hui
渔业委员会,yu'ye'wei'yuan'hui
原子辐射影响问题科学委员会,yuan'zi'fu'she'ying'xiang'wen'ti'ke'xue'wei'yuan'hui
原子能委员会,yuan'zi'neng'wei'yuan'hui
政府间海洋学委员会,zheng'fu'jian'hai'yang'xue'wei'yuan'hui
中国联合国协会,zhong'guo'lian'he'guo'xie'hui
中近东非法贩运毒品和有关事务小组委员会,zhong'jin'dong'fei'fa'fan'yun'du'pin'he'you'guan'shi'wu'xiao'zu'wei'yuan'hui
中美洲共同市场,zhong'mei'zhou'gong'tong'shi'chang
种族歧视罪问题工作小组,zhong'zu'qi'shi'zui'wen'ti'gong'zuo'xiao'zu
资料系统协调事务咨询委员会,zi'liao'xi'tong'xie'tiao'shi'wu'zi'xun'wei'yuan'hui
组织机构,zu'zhi'ji'gou
