八专,ba'zhuan
干神一字,gan'shen'yi'zi
干头相类,gan'tou'xiang'lei
隔八生子,ge'ba'sheng'zi
庚辰,geng'chen
庚金,geng'jin
庚年,geng'nian
庚人,geng'ren
庚申,geng'shen
庚食壬,geng'shi'ren
庚午,geng'wu
庚辛,geng'xin
庚戌,geng'xu
庚阳,geng'yang
庚寅,geng'yin
庚子,geng'zi
孤辰寡宿,gu'chen'gua'su
古今图书集成,gu'jin'tu'shu'ji'cheng
姑洗,gu'xi
怪物大仙,guai'wu'da'xian
冠带,guan'dai
官贵,guan'gui
官禄,guan'lu
管辂,guan'lu
广禄,guang'lu
广圣历,guang'sheng'li
广信集,guang'xin'ji
癸丑,gui'chou
鬼谷命书,gui'gu'ming'shu
鬼谷要诀,gui'gu'yao'jue
鬼谷遗文,gui'gu'yi'wen
鬼谷子,gui'gu'zi
癸亥,gui'hai
鬼合格,gui'he'ge
贵窠,gui'ke
癸卯,gui'mao
癸年,gui'nian
癸人,gui'ren
贵神,gui'shen
癸食乙,gui'shi'yi
癸水,gui'shui
癸巳,gui'si
癸未,gui'wei
癸阴,gui'yin
癸酉,gui'you
郭景纯,guo'jing'chun
郭璞,guo'pu
亥丑,hai'chou
亥卯,hai'mao
亥卯未,hai'mao'wei
亥水,hai'shui
亥未,hai'wei
亥阴,hai'yin
海中金,hai'zhong'jin
亥子,hai'zi
亥子丑,hai'zi'chou
汉志,han'zhi
合财,he'cai
合官,he'guan
合贵,he'gui
河魁,he'kui
合禄,he'lu
合马,he'ma
合刃,he'ren
合煞,he'sha
合伤,he'shang
合食,he'shi
壶中子,hu'zhong'zi
华盖,hua'gai
淮南子,huai'nan'zi
黄锺,huang'zhong
火多木焚,huo'duo'mu'fen
火多土焦,huo'duo'tu'jiao
火克金,huo'ke'jin
火空,huo'kong
火赖木生,huo'lai'mu'sheng
火能克金,huo'neng'ke'jin
火能生土,huo'neng'sheng'tu
火弱逢水,huo'ruo'feng'shui
火生土,huo'sheng'tu
火旺得水,huo'wang'de'shui
火炎水热,huo'yan'shui're
己丑,ji'chou
己亥,ji'hai
吉会,ji'hui
己卯,ji'mao
己年,ji'nian
己人,ji'ren
继善篇,ji'shan'pian
吉神,ji'shen
忌神,ji'shen
己食辛,ji'shi'xin
己巳,ji'si
吉宿,ji'su
纪岁历,ji'sui'li
己土,ji'tu
即为,ji'wei
己未,ji'wei
己阴,ji'yin
己酉,ji'you
忌之,ji'zhi
甲丙庚壬,jia'bing'geng'ren
甲丙戊庚壬,jia'bing'wu'geng'ren
甲辰,jia'chen
甲庚丙壬,jia'geng'bing'ren
甲己,jia'ji
假令,jia'ling
甲木,jia'mu
甲年,jia'nian
甲人,jia'ren
甲申,jia'shen
甲食丙,jia'shi'bing
甲午,jia'wu
甲戊庚,jia'wu'geng
甲戌,jia'xu
甲阳,jia'yang
甲乙,jia'yi
甲乙丙丁戊己庚辛壬癸,jia'yi'bing'ding'wu'ji'geng'xin'ren'gui
甲寅,jia'yin
夹锺,jia'zhong
甲子,jia'zi
建除,jian'chu
建德,jian'de
剑锋金,jian'feng'jin
涧下水,jian'xia'shui
薦枕星,jian'zhen'xing
将星,jiang'xing
交神,jiao'shen
劫财,jie'cai
截路,jie'lu
截路空亡,jie'lu'kong'wang
金泊金,jin'bo'jin
金多火熄,jin'duo'huo'xi
金多水浊,jin'duo'shui'zhuo
金多土变,jin'duo'tu'bian
金克木,jin'ke'mu
金空,jin'kong
金赖土生,jin'lai'tu'sheng
金木水火土,jin'mu'shui'huo'tu
金能克木,jin'neng'ke'mu
金能生水,jin'neng'sheng'shui
进神,jin'shen
金生水,jin'sheng'shui
金书命诀,jin'shu'ming'jue
金衰遇火,jin'shuai'yu'huo
金旺得火,jin'wang'de'huo
金舆,jin'yu
京房,jing'fang
井栏叉,jing'lan'cha
井泉水,jing'quan'shui
九醜,jiu'chou
绝于,jue'yu
考原,kao'yuan
克身,ke'shen
控神煞,kong'shen'sha
空亡,kong'wang
魁罡,kui'gang
困敦,kun'dun
蘭臺妙選,lan'tai'miao'xuan
老年,lao'nian
类破煞,lei'po'sha
李淳风,li'chun'feng
李鼎祚,li'ding'zuo
蠡海集,li'hai'ji
历纪,li'ji
李家,li'jia
历例,li'li
离明,li'ming
李仝,li'tong
李虚中,li'xu'zhong
理愚歌,li'yu'ge
连珠粹美格,lian'zhu'cui'mei'ge
梁相润,liang'xiang'run
两仪,liang'yi
廖中,liao'zhong
列御寇,lie'yu'kou
临官,lin'guan
林开,lin'kai
林开五命,lin'kai'wu'ming
林锺,lin'zhong
六八为足,liu'ba'wei'zu
六冲,liu'chong
六甲趋乾,liu'jia'qu'qian
六壬趋艮,liu'ren'qu'gen
六壬移换,liu'ren'yi'huan
六神,liu'shen
六十花甲子,liu'shi'hua'jia'zi
六十甲子,liu'shi'jia'zi
六微指论,liu'wei'zhi'lun
六微旨论,liu'wei'zhi'lun
六乙鼠贵,liu'yi'shu'gui
六阴朝阳,liu'yin'zhao'yang
六合,lu'he
禄合,lu'he
禄库,lu'ku
禄马,lu'ma
禄马同乡,lu'ma'tong'xiang
禄命身,lu'ming'shen
路旁土,lu'pang'tu
炉中火,lu'zhong'huo
珞琭子,luo'lu'zi
珞琭子三命消息赋注,luo'lu'zi'san'ming'xiao'xi'fu'zhu
律历志,lv'li'zhi
卯辰,mao'chen
卯木,mao'mu
卯巳,mao'si
卯未,mao'wei
卯戌,mao'xu
卯阴,mao'yin
卯酉,mao'you
明时总要,ming'shi'zong'yao
明通赋,ming'tong'fu
木盛水缩,mu'cheng'shui'suo
木多火炽,mu'duo'huo'chi
木火金水,mu'huo'jin'shui
木坚金缺,mu'jian'jin'que
木克土,mu'ke'tu
木空,mu'kong
木赖水生,mu'lai'shui'sheng
木能克土,mu'neng'ke'tu
木能生火,mu'neng'sheng'huo
木弱逢金,mu'ruo'feng'jin
木生火,mu'sheng'huo
木旺得金,mu'wang'de'jin
沐浴,mu'yu
纳音,na'yin
南吕,nan'lv
年干,nian'gan
年上七煞,nian'shang'qi'sha
年月日,nian'yue'ri
年月日时,nian'yue'ri'shi
年月日时胎,nian'yue'ri'shi'tai
攀鞍,pan'an
蓬瀛书,peng'ying'shu
霹雷火,pi'lei'huo
霹雳火,pi'li'huo
偏财,pian'cai
偏官,pian'guan
偏禄,pian'lu
偏印,pian'yin
平地木,ping'di'mu
破字,po'zi
歧伯,qi'bo
起例,qi'li
弃命从财,qi'ming'cong'cai
弃命从煞,qi'ming'cong'sha
七煞,qi'sha
其义,qi'yi
其意,qi'yi
乾坤宝典,qian'kun'bao'dian
强火得土,qiang'huo'de'tu
强金得水,qiang'jin'de'shui
强木得火,qiang'mu'de'huo
强水得木,qiang'shui'de'mu
强土得金,qiang'tu'de'jin
强圉,qiang'yu
穷通宝鉴,qiong'tong'bao'jian
秋戊申,qiu'wu'shen
曲脚,qu'jiao
阙字,que'zi
壬辰,ren'chen
壬癸,ren'gui
壬癸辛,ren'gui'xin
壬年,ren'nian
壬骑龙背,ren'qi'long'bei
壬人,ren'ren
壬申,ren'shen
壬食甲,ren'shi'jia
壬水,ren'shui
任铁樵,ren'tie'qiao
壬午,ren'wu
壬戌,ren'xu
壬阳,ren'yang
壬寅,ren'yin
人元秘枢经,ren'yuan'mi'shu'jing
壬子,ren'zi
日干,ri'gan
日禄归时,ri'lu'gui'shi
荣神,rong'shen
柔兆,rou'zhao
蕤宾,rui'bin
瑞桂堂暇录,rui'gui'tang'xia'lu
三八为木,san'ba'wei'mu
三辰,san'chen
三历会同,san'li'hui'tong
三命篡局,san'ming'cuan'ju
三命篡要,san'ming'cuan'yao
三命铃,san'ming'ling
三命提要,san'ming'ti'yao
三命通会,san'ming'tong'hui
三命指迷赋,san'ming'zhi'mi'fu
三命指掌,san'ming'zhi'zhang
三奇贵人,san'qi'gui'ren
三五连合格,san'wu'lian'he'ge
丧弔,sang'diao
丧门,sang'men
桑柘木,sang'zhe'mu
煞印相生,sha'yin'xiang'sheng
沙中金,sha'zhong'jin
沙中土,sha'zhong'tu
善神,shan'shen
山头火,shan'tou'huo
山下火,shan'xia'huo
伤官,shang'guan
上章,shang'zhang
少年,shao'nian
攝提格,she'ti'ge
神白经,shen'bai'jing
神藏煞没格,shen'cang'sha'mei'ge
申辰,shen'chen
神峰通考,shen'feng'tong'kao
申亥,shen'hai
申金,shen'jin
神枢经,shen'shu'jing
沈孝瞻,shen'xiao'zhan
申戌,shen'xu
申阳,shen'yang
申酉,shen'you
申酉戌,shen'you'xu
沈芝,shen'zhi
神祗,shen'zhi
沈芝源髓,shen'zhi'yuan'sui
申子,shen'zi
申子辰,shen'zi'chen
胜光,sheng'guang
生马,sheng'ma
生年,sheng'nian
生日,sheng'ri
生时,sheng'shi
生月,sheng'yue
十恶大败,shi'e'da'bai
十二长生,shi'er'chang'sheng
十二地支,shi'er'di'zhi
十二地支所属阴阳,shi'er'di'zhi'suo'shu'yin'yang
十干,shi'gan
时干,shi'gan
十干不杂,shi'gan'bu'za
十干禄,shi'gan'lu
十干食禄,shi'gan'shi'lu
石榴木,shi'liu'mu
食神,shi'shen
十神,shi'shen
是生两仪,shi'sheng'liang'yi
释昙莹,shi'tan'ying
十天干,shi'tian'gan
十天干所属阴阳,shi'tian'gan'suo'shu'yin'yang
曙光,shu'guang
枢要历,shu'yao'li
衰处,shuai'chu
衰位,shuai'wei
水多金沉,shui'duo'jin'chen
水多木漂,shui'duo'mu'piao
水多土流,shui'duo'tu'liu
水克火,shui'ke'huo
水空,shui'kong
水赖金生,shui'lai'jin'sheng
水能克火,shui'neng'ke'huo
水能生木,shui'neng'sheng'mu
水弱逢土,shui'ruo'feng'tu
水生木,shui'sheng'mu
水旺得土,shui'wang'de'tu
顺挑连合,shun'tiao'lian'he
四辰,si'chen
巳丑,si'chou
四大空亡,si'da'kong'wang
死符,si'fu
四贵,si'gui
巳亥,si'hai
巳火,si'huo
四季,si'ji
四忌,si'ji
四九为金,si'jiu'wei'jin
死绝病败,si'jue'bing'bai
司马季主,si'ma'ji'zhu
四孟,si'meng
四平,si'ping
四气,si'qi
死气,si'qi
四煞,si'sha
巳申,si'shen
死神,si'shen
巳未,si'wei
死位,si'wei
四位纯全,si'wei'chun'quan
巳午,si'wu
巳午未,si'wu'wei
四象,si'xiang
四言独步,si'yan'du'bu
巳阴,si'yin
巳酉,si'you
巳酉丑,si'you'chou
四正,si'zheng
四仲,si'zhong
四柱,si'zhu
松柏木,song'bai'mu
岁干,sui'gan
岁禄,sui'lu
岁神,sui'shen
太白经,tai'bai'jing
泰蔟,tai'cu
太极贵人,tai'ji'gui'ren
胎生旺库,tai'sheng'wang'ku
太岁,tai'sui
太玄经,tai'xuan'jing
太阳,tai'yang
太阴,tai'yin
胎月日时,tai'yue'ri'shi
天宝历,tian'bao'li
天德,tian'de
天德贵人,tian'de'gui'ren
天地转煞,tian'di'zhuan'sha
天干,tian'gan
天干合,tian'gan'he
天罡,tian'gang
天狗,tian'gou
天河水,tian'he'shui
天罗地网,tian'luo'di'wang
天清地浊,tian'qing'di'zhuo
天上火,tian'shang'huo
天赦,tian'she
天巫,tian'wu
天乙,tian'yi
天乙贵人,tian'yi'gui'ren
天元变化书,tian'yuan'bian'hua'shu
通变,tong'bian
通书,tong'shu
土多火晦,tu'duo'huo'hui
土多金埋,tu'duo'jin'mai
土克水,tu'ke'shui
土空,tu'kong
土赖火生,tu'lai'huo'sheng
土能克水,tu'neng'ke'shui
土能生金,tu'neng'sheng'jin
土生金,tu'sheng'jin
土衰遇木,tu'shuai'yu'mu
土旺得木,tu'wang'de'mu
屠维,tu'wei
土重木折,tu'zhong'mu'zhe
退神,tui'shen
涒滩,tun'tan
万民英,wan'min'ying
万明英,wan'ming'ying
晚年,wan'nian
万育吾,wan'yu'wu
旺处,wang'chu
旺衰,wang'shuai
王廷光,wang'ting'guang
旺位,wang'wei
旺相休囚死,wang'xiang'xiu'qiu'si
王子晋,wang'zi'jin
为福,wei'fu
渭经篇,wei'jing'pian
为什么,wei'shen'me
未土,wei'tu
未阴,wei'yin
谓之,wei'zhi
五辰,wu'chen
戊辰,wu'chen
五鬼,wu'gui
五虎遁,wu'hu'dun
午火,wu'huo
戊己,wu'ji
五居中央,wu'ju'zhong'yang
戊年,wu'nian
戊人,wu'ren
屋上土,wu'shang'tu
无射,wu'she
戊申,wu'shen
戊食庚,wu'shi'geng
五十为土,wu'shi'wei'tu
无寿,wu'shou
戊土,wu'tu
午未,wu'wei
午未申酉戌亥,wu'wei'shen'you'xu'hai
戊午,wu'wu
五行,wu'xing
五行纯阴阳格,wu'xing'chun'yin'yang'ge
五行精纪,wu'xing'jing'ji
五行旺相,wu'xing'wang'xiang
五行相克,wu'xing'xiang'ke
五行相生,wu'xing'xiang'sheng
五行要论,wu'xing'yao'lun
五行之性,wu'xing'zhi'xing
五行昼夜气象,wu'xing'zhou'ye'qi'xiang
午戌,wu'xu
戊戌,wu'xu
五言独步,wu'yan'du'bu
午阳,wu'yang
戊阳,wu'yang
戊寅,wu'yin
戊子,wu'zi
喜忌篇,xi'ji'pian
夏甲午,xia'jia'wu
相穿,xiang'chuan
相心赋,xiang'xin'fu
枭神,xiao'shen
消息赋,xiao'xi'fu
小灾,xiao'zai
协纪辨方书,xie'ji'bian'fang'shu
协洽,xie'qia
辛丑,xin'chou
新雕注珞琭子三命消息赋注,xin'diao'zhu'luo'lu'zi'san'ming'xiao'xi'fu'zhu
辛亥,xin'hai
辛金,xin'jin
辛卯,xin'mao
辛年,xin'nian
辛人,xin'ren
辛食癸,xin'shi'gui
辛巳,xin'si
辛未,xin'wei
辛阴,xin'yin
辛酉,xin'you
刑冲,xing'chong
刑合格,xing'he'ge
星历考原,xing'li'kao'yuan
行运,xing'yun
熊发清,xiong'fa'qing
凶会,xiong'hui
徐大升,xu'da'sheng
徐乐吾,xu'le'wu
戌土,xu'tu
戌为地网,xu'wei'di'wang
戌阳,xu'yang
徐子平,xu'zi'ping
玄黓,xuan'yi
选择宗镜,xuan'ze'zong'jing
悬针,xuan'zhen
阎东叟,yan'dong'sou
阉茂,yan'mao
炎上,yan'shang
阳辰,yang'chen
阳干,yang'gan
阳干顺行,yang'gan'shun'xing
阳建,yang'jian
杨柳木,yang'liu'mu
阳男,yang'nan
阳女,yang'nv
阳刃,yang'ren
羊刃,yang'ren
阳月,yang'yue
阳运,yang'yun
夭祥赋,yao'xiang'fu
乙丙丁,yi'bing'ding
一辰,yi'chen
乙丑,yi'chou
乙丁己辛癸,yi'ding'ji'xin'gui
乙庚,yi'geng
易卦,yi'gua
乙亥,yi'hai
乙己,yi'ji
一六为水,yi'liu'wei'shui
驿马,yi'ma
乙卯,yi'mao
乙木,yi'mu
乙年,yi'nian
乙人,yi'ren
乙食丁,yi'shi'ding
乙巳,yi'si
乙未,yi'wei
易位,yi'wei
乙辛丁癸,yi'xin'ding'gui
乙阴,yi'yin
乙酉,yi'you
易有太极,yi'you'tai'ji
易曰,yi'yue
夷则,yi'ze
阴辰,yin'chen
寅辰,yin'chen
阴错阳差,yin'cuo'yang'cha
阴干,yin'gan
阴干逆行,yin'gan'ni'xing
寅亥,yin'hai
阴建,yin'jian
寅卯,yin'mao
寅卯辰,yin'mao'chen
隐迷赋,yin'mi'fu
寅木,yin'mu
阴男,yin'nan
阴女,yin'nv
寅申,yin'shen
寅申巳亥,yin'shen'si'hai
寅巳,yin'si
寅巳申,yin'si'shen
寅午,yin'wu
寅午戌,yin'wu'xu
寅戌,yin'xu
阴阳,yin'yang
寅阳,yin'yang
阴月,yin'yue
阴运,yin'yun
莹和尚,ying'he'shang
应锺,ying'zhong
用神,yong'shen
酉丑,you'chou
酉亥,you'hai
尤吉,you'ji
酉金,you'jin
尤妙,you'miao
有寿,you'shou
尤喜,you'xi
酉戌,you'xu
酉阴,you'yin
余仿此,yu'fang'ci
余仿此推,yu'fang'ci'tui
玉井奥诀,yu'jing'ao'jue
玉门关集,yu'men'guan'ji
玉霄宝鉴,yu'xiao'bao'jian
渊海子平,yuan'hai'zi'ping
元理赋,yuan'li'fu
月德,yue'de
月德贵人,yue'de'gui'ren
月德合,yue'de'he
月干,yue'gan
岳珂,yue'ke
月日时,yue'ri'shi
运到,yun'dao
灾福,zai'fu
灾滞,zai'zhi
造微赋,zao'wei'fu
怎么,zen'me
缯缟,zeng'gao
旃蒙,zhan'meng
昭阳,zhao'yang
浙江,zhe'jiang
真鬼刑疾,zhen'gui'xing'ji
真气交互格,zhen'qi'jiao'hu'ge
正财,zheng'cai
正官,zheng'guan
正化,zheng'hua
正禄马,zheng'lu'ma
正马,zheng'ma
正印,zheng'yin
之辰,zhi'chen
直道歌,zhi'dao'ge
之福,zhi'fu
指迷赋,zhi'mi'fu
之命,zhi'ming
之象,zhi'xiang
执徐,zhi'xu
之义,zhi'yi
之意,zhi'yi
之月,zhi'yue
之运,zhi'yun
之灾,zhi'zai
中宫,zhong'gong
仲吕,zhong'lv
中年,zhong'nian
烛神经,zhu'shen'jing
著雍,zhu'yong
注云,zhu'yun
转角进化,zhuan'jiao'jin'hua
转角退化,zhuan'jiao'tui'hua
子辰,zi'chen
子丑,zi'chou
子丑寅卯辰巳,zi'chou'yin'mao'chen'si
子丑寅卯辰巳午未申酉戌亥,zi'chou'yin'mao'chen'si'wu'wei'shen'you'xu'hai
子晋,zi'jin
子平术,zi'ping'shu
子平真诠,zi'ping'zhen'quan
子水,zi'shui
自旺,zi'wang
子未,zi'wei
紫微,zi'wei
子午,zi'wu
子午卯酉,zi'wu'mao'you
自刑,zi'xing
紫虚竹,zi'xu'zhu
子阳,zi'yang
子遥巳,zi'yao'si
子遥巳格,zi'yao'si'ge
子寅辰午申戌,zi'yin'chen'wu'shen'xu
总要历,zong'yao'li
醉醒子,zui'xing'zi
作噩,zuo'e
左三右七,zuo'san'you'qi
做什么,zuo'shen'me
坐下有化,zuo'xia'you'hua
