皑皑轻趁步,ai'ai'qing'chen'bu
残漏声催秋雨急,can'lou'sheng'cui'qiu'yu'ji
惭违共穴之盟,can'wei'gong'xue'zhi'meng
草木也知愁,cao'mu'ye'zhi'chou
曾为歌舞场,ceng'wei'ge'wu'chang
槎枒谁惜诗肩瘦,cha'ya'shui'xi'shi'jian'shou
茝兰竟被芟锄,chai'lan'jing'bei'shan'chu
柴门邻水稻花香,chai'men'lin'shui'dao'hua'xiang
蟾光如有意,chan'guang'ru'you'yi
蝉噪鸦栖转眼过,chan'zao'ya'qi'zhuan'yan'guo
长安公子因花癖,chang'an'gong'zi'yin'hua'pi
长安涎口盼重阳,chang'an'xian'kou'pan'chong'yang
肠断乌骓夜啸风,chang'duan'wu'zhui'ye'xiao'feng
怅望西风抱闷思,chang'wang'xi'feng'bao'men'si
长揖雄谈态自殊,chang'yi'xiong'tan'tai'zi'shu
朝罢谁携两袖烟,chao'ba'shui'xie'liang'xiu'yan
朝叩富儿门,chao'kou'fu'er'men
彻旦休云倦,che'dan'xiu'yun'juan
沉酣一梦终须醒,chen'han'yi'meng'zhong'xu'xing
尘霾敛兮星高,chen'mai'lian'xi'xing'gao
沉烟重拨索烹茶,chen'yan'chong'bo'suo'peng'cha
趁着这,chen'zhe'zhe
乘槎待帝孙,cheng'cha'dai'di'sun
成礼兮期祥,cheng'li'xi'qi'xiang
诚忘三尺冷,cheng'wang'san'chi'leng
逞艳先迎醉眼开,cheng'yan'xian'ying'zui'yan'kai
乘玉虬以游乎穹窿耶,cheng'yu'qiu'yi'you'hu'qiong'long'ye
持螯更喜桂阴凉,chi'ao'geng'xi'gui'yin'liang
赤壁沉埋水不流,chi'bi'chen'mai'shui'bu'liu
驰城逐堑势狰狞,chi'cheng'zhu'qian'shi'zheng'ning
尺幅鲛绡劳解赠,chi'fu'jiao'xiao'lao'jie'zeng
痴迷的,chi'mi'de
池水任浮漂,chi'shui'ren'fu'piao
池塘一夜秋风冷,chi'tang'yi'ye'qiu'feng'leng
赤条条来去无牵挂,chi'tiao'tiao'lai'qu'wu'qian'gua
痴心父母古来多,chi'xin'fu'mu'gu'lai'duo
叱咤时闻口舌香,chi'zha'shi'wen'kou'she'xiang
冲寒先已笑东风,chong'han'xian'yi'xiao'dong'feng
愁多焉得玉无痕,chou'duo'yan'de'yu'wu'hen
愁开麝月之奁,chou'kai'she'yue'zhi'lian
愁绪满怀无释处,chou'xu'man'huai'wu'shi'chu
初罢莺啼,chu'ba'ying'ti
处处风波处处愁,chu'chu'feng'bo'chu'chu'chou
雏凤清于老凤声,chu'feng'qing'yu'lao'feng'sheng
樗栎应惭万古羞,chu'li'ying'can'wan'gu'xiu
出没花间兮,chu'mo'hua'jian'xi
出浴太真冰作影,chu'yu'tai'zhen'bing'zuo'ying
处运筹之界者,chu'yun'chou'zhi'jie'zhe
出自屏帏,chu'zi'ping'wei
传得虚名在,chuan'de'xu'ming'zai
传花鼓滥喧,chuan'hua'gu'lan'xuan
穿帘碍鼎香,chuan'lian'ai'ding'xiang
穿帘不度寒砧,chuan'lian'bu'du'han'zhen
窗灯焰已昏,chuang'deng'yan'yi'hun
窗隔疏灯描远近,chuang'ge'shu'deng'miao'yuan'jin
窗明麝月开宫镜,chuang'ming'she'yue'kai'gong'jing
窗前亦有千竿竹,chuang'qian'yi'you'qian'gan'zhu
吹散芰荷红玉影,chui'san'ji'he'hong'yu'ying
春风桃李未淹留,chun'feng'tao'li'wei'yan'liu
春酣欲醒移珊枕,chun'han'yu'xing'yi'shan'zhen
春恨秋悲皆自惹花容月貌为谁妍,chun'hen'qiu'bei'jie'zi're'hua'rong'yue'mao'wei'shui'yan
春困葳蕤拥绣衾,chun'kun'wei'rui'yong'xiu'qin
春流到夏,chun'liu'dao'xia
春梅绽雪,chun'mei'zhan'xue
春梦随云散,chun'meng'sui'yun'san
春荣秋谢花折磨,chun'rong'qiu'xie'hua'zhe'mo
春夜即事,chun'ye'ji'shi
唇绽樱颗兮,chun'zhan'ying'ke'xi
春妆儿女竞奢华,chun'zhuang'er'nv'jing'she'hua
此谨奉,ci'jin'feng
赐裘怜抚戍,ci'qiu'lian'fu'shu
此日青州土亦香,ci'ri'qing'zhou'tu'yi'xiang
此日衣衾尚有香,ci'ri'yi'qin'shang'you'xiang
此时文武皆垂首,ci'shi'wen'wu'jie'chui'shou
此系身前身后事,ci'xi'shen'qian'shen'hou'shi
此乡多宝玉,ci'xiang'duo'bao'yu
从今分两地,cong'jin'fen'liang'di
聪明累,cong'ming'lei
从前碌碌却因何,cong'qian'lu'lu'que'yin'he
从他不解伊,cong'ta'bu'jie'yi
从未将儿女私情略萦心上,cong'wei'jiang'er'nv'si'qing'lue'ying'xin'shang
凑成便是个蓬头鬼,cou'cheng'bian'shi'ge'peng'tou'gui
凑成便是一枝花,cou'cheng'bian'shi'yi'zhi'hua
凑成二郎游五岳,cou'cheng'er'lang'you'wu'yue
凑成篮子好采花,cou'cheng'lan'zi'hao'cai'hua
凑成铁锁练孤舟,cou'cheng'tie'suo'lian'gu'zhou
凑成樱桃九熟,cou'cheng'ying'tao'jiu'shu
翠凤毛翎扎帚叉,cui'feng'mao'ling'zha'zhou'cha
错叫人留恨碧桃花,cuo'jiao'ren'liu'hen'bi'tao'hua
大盗乃,da'dao'nai
大风吹倒梳妆楼,da'feng'chui'dao'shu'zhuang'lou
大哥有角只八只,da'ge'you'jiao'zhi'ba'zhi
大哥只在床头坐,da'ge'zhi'zai'chuang'tou'zuo
大观园试才题对额,da'guan'yuan'shi'cai'ti'dui'e
大火烧了毛毛虫,da'huo'shao'le'mao'mao'chong
代别离,dai'bie'li
带断鸳鸯,dai'duan'yuan'yang
待止而欲行,dai'zhi'er'yu'xing
殚残天下之圣法,dan'can'tian'xia'zhi'sheng'fa
淡淡梅花香欲染,dan'dan'mei'hua'xiang'yu'ran
淡极始知花更艳,dan'ji'shi'zhi'hua'geng'yan
淡浓神会风前影,dan'nong'shen'hui'feng'qian'ying
但行处,dan'xing'chu
当年笏满床,dang'nian'hu'man'chuang
当时枉杀毛延寿,dang'shi'wang'sha'mao'yan'shou
荡悠悠把芳魂消耗,dang'you'you'ba'fang'hun'xiao'hao
荡悠悠三更梦,dang'you'you'san'geng'meng
当中二五是杂七,dang'zhong'er'wu'shi'za'qi
当中三六九点在,dang'zhong'san'liu'jiu'dian'zai
当中是个五与六,dang'zhong'shi'ge'wu'yu'liu
到底意难平,dao'di'yi'nan'ping
到如今,dao'ru'jin
到头来,dao'tou'lai
到头来都是为他人作嫁衣裳,dao'tou'lai'dou'shi'wei'ta'ren'zuo'jia'yi'shang
到头谁似一盆兰,dao'tou'shui'si'yi'pen'lan
稻香村,dao'xiang'cun
岛云蒸大海,dao'yun'zheng'da'hai
得志便猖狂,de'zhi'bian'chang'kuang
灯花并头结双蕊,deng'hua'bing'tou'jie'shuang'rui
登利禄之场,deng'li'lu'zhi'chang
灯前似伴离人泣,deng'qian'si'ban'li'ren'qi
登仙非慕庄生蝶,deng'xian'fei'mu'zhuang'sheng'die
滴不尽相思血泪抛红豆,di'bu'jin'xiang'si'xue'lei'pao'hong'dou
抵多少门外即天涯,di'duo'shao'men'wai'ji'tian'ya
地何如是之茫茫兮,di'he'ru'shi'zhi'mang'mang'xi
娣虽不才,di'sui'bu'cai
娣探谨奉,di'tan'jin'feng
蒂有余香金淡泊,di'you'yu'xiang'jin'dan'bo
娣则扫花以待,di'ze'sao'hua'yi'dai
点点花愁为我嗔,dian'dian'hua'chou'wei'wo'chen
鼎炉之剩药犹存,ding'lu'zhi'sheng'yao'you'cun
鼎飘麝脑之香,ding'piao'she'nao'zhi'xiang
丁香结子芙蓉绦,ding'xiang'jie'zi'fu'rong'tao
洞宾呵,dong'bin'he
洞房花烛朝慵起,dong'fang'hua'zhu'chao'yong'qi
东风卷得均匀,dong'feng'juan'de'jun'yun
东风有意揭帘栊,dong'feng'you'yi'jie'lian'long
东海缺少白玉床龙王来请金陵王,dong'hai'que'shao'bai'yu'chuang'long'wang'lai'qing'jin'ling'wang
冻脸有痕皆是血,dong'lian'you'hen'jie'shi'xue
冻浦不闻潮,dong'pu'bu'wen'chao
冬夜即事,dong'ye'ji'shi
斗草庭前,dou'cao'ting'qian
都道是金玉良姻,dou'dao'shi'jin'yu'liang'yin
豆蔻开花三月三,dou'kou'kai'hua'san'yue'san
都难丢下,dou'nan'diu'xia
都难描画,dou'nan'miao'hua
都缘顽福前生造,dou'yuan'wan'fu'qian'sheng'zao
都云作者痴,dou'yun'zuo'zhe'chi
都知爱慕此生才,dou'zhi'ai'mu'ci'sheng'cai
都只为风月情浓,dou'zhi'wei'feng'yue'qing'nong
独抱幽芳出绣闺,du'bao'you'fang'chu'xiu'gui
杜鹃无语正黄昏,du'juan'wu'yu'zheng'huang'hun
度青春,du'qing'chun
杜若香飘明月洲,du'ruo'xiang'piao'ming'yue'zhou
独卧青灯古佛旁,du'wo'qing'deng'gu'fo'pang
独许须眉,du'xu'xu'mei
独倚花锄泪暗洒,du'yi'hua'chu'lei'an'sa
独倚画栏如有意,du'yi'hua'lan'ru'you'yi
短鬓冷沾三径露,duan'bin'leng'zhan'san'jing'lu
对镜晨妆颜色美,dui'jing'chen'zhuang'yan'se'mei
对菊,dui'ju
对立东风里,dui'li'dong'feng'li
堆盘色相喜先尝,dui'pan'se'xiang'xi'xian'chang
对斯佳品酬佳节,dui'si'jia'pin'chou'jia'jie
遁入空门,dun'ru'kong'men
多情公子空牵念,duo'qing'gong'zi'kong'qian'nian
多肉更怜卿八足,duo'rou'geng'lian'qing'ba'zu
多少工夫筑始成,duo'shao'gong'fu'zhu'shi'cheng
蛾眉颦笑兮,e'mei'pin'xiao'xi
恶乃烂乎其位,e'nai'lan'hu'qi'wei
阿房宫三百里住不下金陵一个史,e'pang'gong'san'bai'li'zhu'bu'xia'jin'ling'yi'ge'shi
恩爱夫妻不到冬,en'ai'fu'qi'bu'dao'dong
儿夫染病在垂危,er'fu'ran'bing'zai'chui'wei
二哥爱在房上蹲,er'ge'ai'zai'fang'shang'dun
二哥有角只两根,er'ge'you'jiao'zhi'liang'gen
而闺阁始人含其劝矣,er'gui'ge'shi'ren'han'qi'quan'yi
而闺阁之美恶食相类矣,er'gui'ge'zhi'mei'e'shi'xiang'lei'yi
而兼慕薛林之技,er'jian'mu'xue'lin'zhi'ji
尔今死去侬收葬,er'jin'si'qu'nong'shou'zang
而民不争,er'min'bu'zheng
而民朴鄙,er'min'pu'bi
而民始可与论议,er'min'shi'ke'yu'lun'yi
儿命已入黄泉,er'ming'yi'ru'huang'quan
耳目所见尚如此,er'mu'suo'jian'shang'ru'ci
尔乃西风古寺,er'nai'xi'feng'gu'si
二十年来辨是非,er'shi'nian'lai'bian'shi'fei
而天下始人含其聪矣,er'tian'xia'shi'ren'han'qi'cong'yi
而天下始人含其明矣,er'tian'xia'shi'ren'han'qi'ming'yi
而天下始人有其巧矣,er'tian'xia'shi'ren'you'qi'qiao'yi
二兄文几,er'xiong'wen'ji
而玉得于衾枕栉沐之间,er'yu'de'yu'qin'zhen'zhi'mu'zhi'jian
发轫乎霞城,fa'ren'hu'xia'cheng
犯斗邀牛女,fan'dou'yao'niu'nv
返旌乎玄圃,fan'jing'hu'xuan'pu
凡鸟偏从末世来,fan'niao'pian'cong'mo'shi'lai
反其真而复奚化耶,fan'qi'zhen'er'fu'xi'hua'ye
反认他乡是故乡,fan'ren'ta'xiang'shi'gu'xiang
泛若不系之舟,fan'ruo'bu'xi'zhi'zhou
反算了卿卿性命,fan'suan'le'qing'qing'xing'ming
仿佛有所觇耶,fang'fu'you'suo'chan'ye
芳魂与倩影同销,fang'hun'yu'qian'ying'tong'xiao
访菊,fang'ju
方离柳坞,fang'li'liu'wu
房栊昼夜困鸳鸯,fang'long'zhou'ye'kun'yuan'yang
访妙玉乞红梅,fang'miao'yu'qi'hong'mei
芳名未泯,fang'ming'wei'min
芳情只自遣,fang'qing'zhi'zi'qian
芳心一点娇无力,fang'xin'yi'dian'jiao'wu'li
芳园应锡大观名,fang'yuan'ying'xi'da'guan'ming
芳园筑向帝城西,fang'yuan'zhu'xiang'di'cheng'xi
芳趾难寻,fang'zhi'nan'xun
翡翠楼边悬玉镜,fei'cui'lou'bian'xuan'yu'jing
非簠非筥,fei'fu'fei'ju
非关倩女亦离魂,fei'guan'qian'nv'yi'li'hun
飞花逐水流,fei'hua'zhu'shui'liu
飞来我自知,fei'lai'wo'zi'zhi
飞鸟各投林,fei'niao'ge'tou'lin
非银非水映寒窗,fei'yin'fei'shui'ying'han'chuang
分曹尊一令,fen'cao'zun'yi'ling
粉堕百花州,fen'duo'bai'hua'zhou
纷纷将士只保身,fen'fen'jiang'shi'zhi'bao'shen
纷纷说甚亲疏密,fen'fen'shuo'shen'qin'shu'mi
焚符破玺,fen'fu'po'xi
分骨肉,fen'gu'rou
分瓜笑绿媛,fen'gua'xiao'lv'yuan
焚花散麝,fen'hua'san'she
分离聚合皆前定,fen'li'ju'he'jie'qian'ding
分明报应,fen'ming'bao'ying
愤起恒王得意人,fen'qi'heng'wang'de'yi'ren
忿犹未释,fen'you'wei'shi
粉正香,fen'zheng'xiang
粉渍脂痕污宝光,fen'zi'zhi'hen'wu'bao'guang
风刀霜剑严相逼,feng'dao'shuang'jian'yan'xiang'bi
风急江天过雁哀,feng'ji'jiang'tian'guo'yan'ai
风流灵巧招人怨,feng'liu'ling'qiao'zhao'ren'yuan
风流文采胜蓬莱,feng'liu'wen'cai'sheng'peng'lai
风露清愁莫怨东风当自嗟,feng'lu'qing'chou'mo'yuan'dong'feng'dang'zi'jie
枫露之茗,feng'lu'zhi'ming
奉命何惭学浅微,feng'ming'he'can'xue'qian'wei
奉命羞题额旷怡,feng'ming'xiu'ti'e'kuang'yi
丰年好大雪珍珠如土金如铁,feng'nian'hao'da'xue'zhen'zhu'ru'tu'jin'ru'tie
风亭月榭,feng'ting'yue'xie
风透湘帘花满庭,feng'tou'xiang'lian'hua'man'ting
蜂团蝶阵乱纷纷,feng'tuan'die'zhen'luan'fen'fen
风叶聚云根,feng'ye'ju'yun'gen
风雨阴晴任变迁,feng'yu'yin'qing'ren'bian'qian
凤翥龙翔,feng'zhu'long'xiang
夫唱妇随真和合,fu'chang'fu'sui'zhen'he'he
富儿犹未足,fu'er'you'wei'zu
富贵不知乐业,fu'gui'bu'zhi'le'ye
富贵的,fu'gui'de
富贵又何为,fu'gui'you'he'wei
复含罔屈于无穷,fu'han'wang'qu'yu'wu'qiong
父母叹双亡,fu'mu'tan'shuang'wang
腹内原来草莽,fu'nei'yuan'lai'cao'mang
芙蓉女儿诔,fu'rong'nv'er'lei
芙蓉影破归兰桨菱藕香深写竹桥,fu'rong'ying'po'gui'lan'jiang'ling'ou'xiang'shen'xie'zhu'qiao
浮生着甚苦奔忙,fu'sheng'zhe'shen'ku'ben'mang
罘思晓露屯,fu'si'xiao'lu'tun
伏象千峰凸,fu'xiang'qian'feng'tu
俯窈窕而属耳兮,fu'yao'tiao'er'shu'er'xi
复氤氲而倏阻,fu'yin'yun'er'shu'zu
复又数遣侍儿问切,fu'you'shu'qian'shi'er'wen'qie
复拄杖而近抛孤柩,fu'zhu'zhang'er'jin'pao'gu'jiu
竿竿青欲滴,gan'gan'qing'yu'di
高标见嫉,gao'biao'jian'ji
告爹娘,gao'die'niang
高柳喜迁莺出谷,gao'liu'xi'qian'ying'chu'gu
高情不入时人眼,gao'qing'bu'ru'shi'ren'yan
缟仙扶醉跨残虹,gao'xian'fu'zui'kua'can'hong
隔岸花分一脉香,ge'an'hua'fen'yi'mai'xiang
歌成余意尚彷徨,ge'cheng'yu'yi'shang'pang'huang
个个绿生凉,ge'ge'lv'sheng'liang
葛巾香染九秋霜,ge'jin'xiang'ran'jiu'qiu'shuang
隔帘消息风吹透,ge'lian'xiao'xi'feng'chui'tou
隔雾圹以啼猿,ge'wu'kuang'yi'ti'yuan
隔巷蟆更听未真,ge'xiang'ma'geng'ting'wei'zhen
隔院稀闻怨笛,ge'yuan'xi'wen'yuan'di
个中谁拾画婵娟,ge'zhong'shui'shi'hua'chan'juan
各自保平安,ge'zi'bao'ping'an
隔座香分三径露,ge'zuo'xiang'fen'san'jing'lu
根并荷花一茎香,gen'bing'he'hua'yi'jing'xiang
更残月已谖,geng'can'yue'yi'xuan
耿耿秋灯秋夜长,geng'geng'qiu'deng'qiu'ye'chang
更兼着,geng'jian'zhe
更那堪梦里功名,geng'na'kan'meng'li'gong'ming
更有情痴抱恨长,geng'you'qing'chi'bao'hen'chang
更有同归慰寂寥,geng'you'tong'gui'wei'ji'liao
宫车过往频,gong'che'guo'wang'pin
觥筹乱绮园,gong'chou'luan'qi'yuan
工垂之,gong'chui'zhi
公府千金似下流,gong'fu'qian'jin'si'xia'liu
供菊,gong'ju
公子金貂酒力轻,gong'zi'jin'diao'jiu'li'qing
公子情深,gong'zi'qing'shen
苟非其人,gou'fei'qi'ren
构思时倚槛,gou'si'shi'yi'kan
孤标傲世偕谁隐,gu'biao'ao'shi'xie'shui'yin
顾恩思义,gu'en'si'yi
故而樱唇红褪,gu'er'ying'chun'hong'tui
辜负了,gu'fu'le
固鬼蜮之为灾,gu'gui'yu'zhi'wei'zai
古今不肖无双,gu'jin'bu'xiao'wu'shuang
古今垂旷典九州万国被恩荣,gu'jin'chui'kuang'dian'jiu'zhou'wan'guo'bei'en'rong
古今将相在何方,gu'jin'jiang'xiang'zai'he'fang
古今一梦尽荒唐,gu'jin'yi'meng'jin'huang'tang
故绝圣弃知,gu'jue'sheng'qi'zhi
孤衾有梦,gu'qin'you'meng
古人惜别怜朋友,gu'ren'xi'bie'lian'peng'you
故向爹娘梦里相寻告,gu'xiang'die'niang'meng'li'xiang'xun'gao
故相物以配才,gu'xiang'wu'yi'pei'cai
怪奴底事倍伤神,guai'nu'di'shi'bei'shang'shen
惯养娇生笑你痴,guan'yang'jiao'sheng'xiao'ni'chi
观音未有世家传,guan'yin'wei'you'shi'jia'chuan
光灿灿胸悬金印,guang'can'can'xiong'xuan'jin'yin
光夺窗前镜,guang'duo'chuang'qian'jing
光摇朱户金铺地雪照琼窗玉作宫,guang'yao'zhu'hu'jin'pu'di'xue'zhao'qiong'chuang'yu'zuo'gong
光阴荏苒须当惜,guang'yin'ren'ran'xu'dang'xi
桂霭桐阴坐举殇,gui'ai'tong'yin'zuo'ju'shang
龟呈洛浦之灵,gui'cheng'luo'pu'zhi'ling
桂殿兰宫妃子家,gui'dian'lan'gong'fei'zi'jia
桂拂清风菊带霜,gui'fu'qing'feng'ju'dai'shuang
姽婳词,gui'hua'ci
姽婳将军林四娘,gui'hua'jiang'jun'lin'si'niang
桂魄流光浸茜纱,gui'po'liu'guang'jin'qian'sha
闺帏恨比长沙,gui'wei'hen'bi'chang'sha
闺中女儿惜春暮,gui'zhong'nv'er'xi'chun'mu
果何人哉,guo'he'ren'zai
过洁世同嫌,guo'jie'shi'tong'xian
果然万物生光辉,guo'ran'wan'wu'sheng'guang'hui
还登寂历原,hai'deng'ji'li'yuan
海失灵槎,hai'shi'ling'cha
海市失鲛绡,hai'shi'shi'jiao'xiao
寒芳留照魂应驻,han'fang'liu'zhao'hun'ying'zhu
寒簧击敔,han'huang'ji'yu
汉家制度诚堪叹,han'jia'zhi'du'cheng'kan'tan
汉南春历历,han'nan'chun'li'li
寒山已失翠,han'shan'yi'shi'cui
寒塘渡鹤影,han'tang'du'he'ying
寒烟小院转萧条,han'yan'xiao'yuan'zhuan'xiao'tiao
汉苑零星有限,han'yuan'ling'xing'you'xian
好把唏嘘答上苍,hao'ba'xi'xu'da'shang'cang
毫端蕴秀临霜写,hao'duan'yun'xiu'lin'shuang'xie
好防佳节元宵后,hao'fang'jia'jie'yuan'xiao'hou
好风凭借力,hao'feng'ping'jie'li
豪华虽足羡,hao'hua'sui'zu'xian
号令秦姬驱赵女,hao'ling'qin'ji'qu'zhao'nv
好梦昼初长,hao'meng'zhou'chu'chang
好事终,hao'shi'zhong
好一似,hao'yi'si
好一似食尽鸟投林,hao'yi'si'shi'jin'niao'tou'lin
好云香护采芹人,hao'yun'xiang'hu'cai'qin'ren
好知井径绝尘埃,hao'zhi'jing'jing'jue'chen'ai
何必觅闲愁,he'bi'mi'xian'chou
何必枉悲伤,he'bi'wang'bei'shang
何曾石尉重娇娆,he'ceng'shi'wei'zhong'jiao'rao
何曾闻得梵铃声,he'ceng'wen'de'fan'ling'sheng
荷锄归去掩重门,he'chu'gui'qu'yan'zhong'men
何处秋窗无雨声,he'chu'qiu'chuang'wu'yu'sheng
何处染尘埃,he'chu'ran'chen'ai
何处有香丘,he'chu'you'xiang'qiu
荷花出水喜相逢,he'hua'chu'shui'xi'xiang'feng
何禁骤雨,he'jin'zhou'yu
何来却死之香,he'lai'que'si'zhi'xiang
何事文武立朝纲,he'shi'wen'wu'li'chao'gang
何痌瘝惠爱之深哉,he'tong'guan'hui'ai'zhi'shen'zai
何心意之忡忡,he'xin'yi'zhi'chong'chong
何幸邀恩宠,he'xing'yao'en'chong
何须耕织忙,he'xu'geng'zhi'mang
何也,he'ye
荷衣欲动兮,he'yi'yu'dong'xi
和云伴月不分明,he'yun'ban'yue'bu'fen'ming
黑水茫茫咽不流,hei'shui'mang'mang'yan'bu'liu
恨无常,hen'wu'chang
恨无常又到,hen'wu'chang'you'dao
恒王得意数谁行,heng'wang'de'yi'shu'shui'xing
恒王好武兼好色,heng'wang'hao'wu'jian'hao'se
蘅芜满净苑,heng'wu'man'jing'yuan
蘅芜苑,heng'wu'yuan
横行公子却无肠,heng'xing'gong'zi'que'wu'chang
蘅芷阶通萝薜门,heng'zhi'jie'tong'luo'bi'men
蘅芷清芬,heng'zhi'qing'fen
红衬湘裙舞落梅,hong'chen'xiang'qun'wu'luo'mei
红尘游戏,hong'chen'you'xi
红粉不知愁,hong'fen'bu'zhi'chou
红粉朱楼春色阑,hong'fen'zhu'lou'chun'se'lan
鸿归蛩病可相思,hong'gui'qiong'bing'ke'xiang'si
红楼梦,hong'lou'meng
红楼梦引子,hong'lou'meng'yin'zi
烘楼照壁红模糊,hong'lou'zhao'bi'hong'mo'hu
红香绿玉,hong'xiang'lv'yu
红消香断有谁怜,hong'xiao'xiang'duan'you'shui'lian
红袖楼头夜倚栏,hong'xiu'lou'tou'ye'yi'lan
红颜命薄古今同,hong'yan'ming'bo'gu'jin'tong
红妆夜未眠,hong'zhuang'ye'wei'mian
后户青山列锦屏,hou'hu'qing'shan'lie'jin'ping
侯门艳质同蒲柳,hou'men'yan'zhi'tong'pu'liu
后事终难继,hou'shi'zhong'nan'ji
猴子身轻站树梢,hou'zi'shen'qing'zhan'shu'shao
忽喇喇似大厦倾,hu'la'la'si'da'sha'qing
壶漏声将涸,hu'lou'sheng'jiang'he
琥珀杯倾荷露滑,hu'po'bei'qing'he'lu'hua
虎兕相逢大梦归,hu'si'xiang'feng'da'meng'gui
忽遇恩人,hu'yu'en'ren
花儿落了结个大倭瓜,hua'er'luo'le'jie'ge'da'wo'gua
花飞人倦易黄昏,hua'fei'ren'juan'yi'huang'hun
花宫待诏,hua'gong'dai'zhao
花魂点点无情绪鸟梦痴痴何处惊,hua'hun'dian'dian'wu'qing'xu'niao'meng'chi'chi'he'chu'jing
