保费收入,bao'fei'shou'ru
损余物资,sun'yu'wu'zi
所得税,suo'de'shui
摊回保险责任准备金,tan'hui'bao'xian'ze'ren'zhun'bei'jin
摊回分保费用,tan'hui'fen'bao'fei'yong
摊回赔付支出,tan'hui'pei'fu'zhi'chu
套期工具,tao'qi'gong'ju
提取未到期责任准备金,ti'qu'wei'dao'qi'ze'ren'zhun'bei'jin
贴现负债,tie'xian'fu'zhai
贴现资产,tie'xian'zi'chan
同业存放,tong'ye'cun'fang
投资收益,tou'zi'shou'yi
投资性房地产,tou'zi'xing'fang'di'chan
退保金,tui'bao'jin
外汇买卖,wai'hui'mai'mai
未担保余值,wei'dan'bao'yu'zhi
未到期责任准备金,wei'dao'qi'ze'ren'zhun'bei'jin
未确认融资费用,wei'que'ren'rong'zi'fei'yong
未实现融资收益,wei'shi'xian'rong'zi'shou'yi
委托加工物资,wei'tuo'jia'gong'wu'zi
无形资产,wu'xing'zi'chan
无形资产减值准备,wu'xing'zi'chan'jian'zhi'zhun'bei
吸收存款,xi'shou'cun'kuan
向中央银行借款,xiang'zhong'yang'yin'hang'jie'kuan
消耗性物物资产,xiao'hao'xing'wu'wu'zi'chan
销售费用,xiao'shou'fei'yong
研发支出,yan'fa'zhi'chu
衍生工具,yan'sheng'gong'ju
一般风险准备,yi'ban'feng'xian'zhun'bei
以前年度损益调整,yi'qian'nian'du'sun'yi'tiao'zheng
银行存款,yin'hang'cun'kuan
应付保户红利,ying'fu'bao'hu'hong'li
应付分保帐款,ying'fu'fen'bao'zhang'kuan
应付股利,ying'fu'gu'li
应付利息,ying'fu'li'xi
应付票据,ying'fu'piao'ju
应付帐款,ying'fu'zhang'kuan
应付职工薪酬,ying'fu'zhi'gong'xin'chou
应交税费,ying'jiao'shui'fei
应收保护储金,ying'shou'bao'hu'chu'jin
应收代位追偿款,ying'shou'dai'wei'zhui'chang'kuan
应收分保保险责任准备金,ying'shou'fen'bao'bao'xian'ze'ren'zhun'bei'jin
应收分保未到期责任准备金,ying'shou'fen'bao'wei'dao'qi'ze'ren'zhun'bei'jin
应收分保帐款,ying'shou'fen'bao'zhang'kuan
应收股利,ying'shou'gu'li
应收利息,ying'shou'li'xi
应收票据,ying'shou'piao'ju
应收帐款,ying'shou'zhang'kuan
营业税金及附加,ying'ye'shui'jin'ji'fu'jia
营业外收入,ying'ye'wai'shou'ru
营业外支出,ying'ye'wai'zhi'chu
盈余公积,ying'yu'gong'ji
油气资产,you'qi'zi'chan
预付帐款,yu'fu'zhang'kuan
预计负债,yu'ji'fu'zhai
预收帐款,yu'shou'zhang'kuan
预提费用,yu'ti'fei'yong
原材料,yuan'cai'liao
在建工程,zai'jian'gong'cheng
在途物资,zai'tu'wu'zi
制造费用,zhi'zao'fei'yong
周转材料,zhou'zhuan'cai'liao
主营业务成本,zhu'ying'ye'wu'cheng'ben
主营业务收入,zhu'ying'ye'wu'shou'ru
专出回购金融资产款,zhuan'chu'hui'gou'jin'rong'zi'chan'kuan
专项应付款,zhuan'xiang'ying'fu'kuan
资本公积,zi'ben'gong'ji
资产减值损失,zi'chan'jian'zhi'sun'shi
租赁收入,zu'lin'shou'ru
