艾撒,ai'sa
忍岳,ren'yue
撒艾,sa'ai
撒昂,sa'ang
撒布,sa'bu
撒隆,sa'long
撒米,sa'mi
撒妙,sa'miao
撒穆,sa'mu
撒沙,sa'sha
撒修,sa'xiu
撒鱼,sa'yu
塞夏,sai'xia
三净,san'jing
三空,san'kong
森石,sen'shi
沙弥,sha'mi
沙妙,sha'miao
沙穆,sha'mu
杀犬,sha'quan
沙撒,sha'sa
杀阴,sha'yin
杉铃,shan'ling
蛇佐,she'zuo
申老,shen'lao
神乐酱,shen'le'jiang
石保,shi'bao
十花,shi'hua
石菊,shi'ju
市日,shi'ri
尸银,shi'yin
鼠猫,shu'mao
鼠猫王道,shu'mao'wang'dao
双树,shuang'shu
双藤,shuang'teng
孙焦,sun'jiao
索路,suo'lu
索香,suo'xiang
太和,tai'he
太龙,tai'long
太吕,tai'lv
太蒙,tai'meng
桃雪,tao'xue
桃月,tao'yue
筒井,tong'jing
童史,tong'shi
土冲,tu'chong
土银,tu'yin
团酷,tuan'ku
丸慈,wan'ci
望普,wang'pu
王游戏,wang'you'xi
我鸣,wo'ming
武辅,wu'fu
武和,wu'he
乌萩,wu'qiu
武贤,wu'xian
西杰,xi'jie
西团,xi'tuan
西伊,xi'yi
仙流,xian'liu
香索,xiang'suo
萧伊,xiao'yi
邪昭,xie'zhao
新八几,xin'ba'ji
幸不二,xing'bu'er
星柳,xing'liu
星昴,xing'mao
修迪,xiu'di
修弓,xiu'gong
修夜,xiu'ye
徐庆,xu'qing
徐三爷,xu'san'ye
玄亮,xuan'liang
焰钢,yan'gang
叶好,ye'hao
叶莲,ye'lian
夜碎,ye'sui
伊,yi
伊耳谜,yi'er'mi
伊耳迷,yi'er'mi
一弓,yi'gong
伊桂,yi'gui
伊角,yi'jiao
一恋,yi'lian
伊路谜,yi'lu'mi
伊路迷,yi'lu'mi
一雨,yi'yu
翼枣,yi'zao
银白,yin'bai
阴刀,yin'dao
银高,yin'gao
银桂,yin'gui
银吉,yin'ji
银蛮,yin'man
阴杀,yin'sha
银土,yin'tu
樱铃,ying'ling
有保,you'bao
鼬鸣,you'ming
友鹰,you'ying
鼬佐,you'zuo
裕观,yu'guan
雨花,yu'hua
瑜亮,yu'liang
玉杨,yu'yang
越不二,yue'bu'er
越迹,yue'ji
越菊,yue'ju
越前龙雅,yue'qian'long'ya
越前南次郎,yue'qian'nan'ci'lang
越冢,yue'zhong
越塚,yue'zhong
云亮,yun'liang
再白,zai'bai
枣流,zao'liu
扎伊,zha'yi
斎青,zhai'qing
昭白,zhao'bai
真幸,zhen'xing
智茂,zhi'mao
冢不二,zhong'bu'er
塚不二,zhong'bu'er
冢迹,zhong'ji
塚迹,zhong'ji
塚越,zhong'yue
助怜,zhu'lian
朱修,zhu'xiu
诹铃,zou'ling
诹鲇,zou'nian
钻天鼠,zuan'tian'shu
佐光,zuo'guang
佐鸣,zuo'ming
