艾林商城,ai'lin'shang'cheng
潘家坝,pan'jia'ba
蟠龙冲,pan'long'chong
飘香园,piao'xiang'yuan
平交道,ping'jiao'dao
千紫门学校,qian'zi'men'xue'xiao
桥板凼,qiao'ban'dang
轻机厂,qing'ji'chang
邱家山,qiu'jia'shan
邱家嘴,qiu'jia'zui
人防办,ren'fang'ban
人民公园,ren'min'gong'yuan
容器厂,rong'qi'chang
三洞桥,san'dong'qiao
三墩铺,san'dun'pu
三圣寺,san'sheng'si
三湾路,san'wan'lu
三元井,san'yuan'jing
桑树湾,sang'shu'wan
沙鱼坝,sha'yu'ba
沙鱼坝招呼站,sha'yu'ba'zhao'hu'zhan
善人坝,shan'ren'ba
商检局,shang'jian'ju
上南街,shang'nan'jie
胜爱路口,sheng'ai'lu'kou
圣水寺,sheng'shui'si
石靶子,shi'ba'zi
狮宝山,shi'bao'shan
市残联,shi'can'lian
师范附小,shi'fan'fu'xiao
史家,shi'jia
史家加油站,shi'jia'jia'you'zhan
史家油站,shi'jia'you'zhan
史家邮政,shi'jia'you'zheng
史家政府,shi'jia'zheng'fu
市六医院,shi'liu'yi'yuan
市六医院招呼站,shi'liu'yi'yuan'zhao'hu'zhan
石龙口,shi'long'kou
石龙五队,shi'long'wu'dui
石盘六队,shi'pan'liu'dui
石破冲,shi'po'chong
市人大,shi'ren'da
试验田,shi'yan'tian
石油二区,shi'you'er'qu
石油指挥部,shi'you'zhi'hui'bu
师院东区,shi'yuan'dong'qu
市政府,shi'zheng'fu
收费站,shou'fei'zhan
寿溪桥,shou'xi'qiao
双安驾校,shuang'an'jia'xiao
双河,shuang'he
双龙二队,shuang'long'er'dui
水厂,shui'chang
水果市场,shui'guo'shi'chang
水口子,shui'kou'zi
司马桥,si'ma'qiao
松山南路,song'shan'nan'lu
太白路,tai'bai'lu
太平寺,tai'ping'si
太子碑,tai'zi'bei
糖厂,tang'chang
糖房坳,tang'fang'ao
桃花园,tao'hua'yuan
体育馆,ti'yu'guan
天津街,tian'jin'jie
天桥,tian'qiao
桐梓农贸市场,tong'zi'nong'mao'shi'chang
桐梓小学,tong'zi'xiao'xue
土地庙,tu'di'miao
沱动,tuo'dong
沱江,tuo'jiang
沱江剧院,tuo'jiang'ju'yuan
沱桥北,tuo'qiao'bei
万家,wan'jia
王家壕,wang'jia'hao
文英街,wen'ying'jie
武功桥,wu'gong'qiao
五一,wu'yi
武装部,wu'zhuang'bu
西锦园,xi'jin'yuan
西林渡运码头,xi'lin'du'yun'ma'tou
西林公园,xi'lin'gong'yuan
西林批发市场,xi'lin'pi'fa'shi'chang
西林桥北,xi'lin'qiao'bei
西林桥南,xi'lin'qiao'nan
西林中心小学,xi'lin'zhong'xin'xiao'xue
西林中学,xi'lin'zhong'xue
西雅图,xi'ya'tu
翔龙山,xiang'long'shan
肖家冲,xiao'jia'chong
谢家坝,xie'jia'ba
新坝大桥,xin'ba'da'qiao
新华路口,xin'hua'lu'kou
新华印刷厂,xin'hua'yin'shua'chang
新六中,xin'liu'zhong
新桥,xin'qiao
新堰,xin'yan
新宇广厦,xin'yu'guang'sha
兴隆路,xing'long'lu
烟草公司,yan'cao'gong'si
晏家湾,yan'jia'wan
移动公司,yi'dong'gong'si
医科学校,yi'ke'xue'xiao
一中,yi'zhong
迎凤山,ying'feng'shan
永安,yong'an
拥共,yong'gong
永远,yong'yuan
友爱湾,you'ai'wan
友家湾,you'jia'wan
友谊,you'yi
园坝,yuan'ba
月儿湾,yue'er'wan
张二湾,zhang'er'wan
张家,zhang'jia
正大,zheng'da
纸厂,zhi'chang
制药厂,zhi'yao'chang
中区法院,zhong'qu'fa'yuan
中区国税局,zhong'qu'guo'shui'ju
中央路,zhong'yang'lu
中医院,zhong'yi'yuan
周家坡,zhou'jia'po
砖瓦厂,zhuan'wa'chang
梓橦宫物流,zi'tong'gong'wu'liu
