阿伏伽德罗常数,a'fu'ga'de'luo'chang'shu
化学反应速率,hua'xue'fan'ying'su'lv
化学方程式,hua'xue'fang'cheng'shi
化学腐蚀,hua'xue'fu'shi
化学能,hua'xue'neng
化学平衡,hua'xue'ping'heng
化学平衡常数,hua'xue'ping'heng'chang'shu
化学平衡问题,hua'xue'ping'heng'wen'ti
环丙烷,huan'bing'wan
环丁烷,huan'ding'wan
环庚烷,huan'geng'wan
环己烷,huan'ji'wan
环烷烃,huan'wan'ting
环戊烷,huan'wu'wan
磺化反应,huang'hua'fan'ying
挥发性酸,hui'fa'xing'suan
己烯,ji'xi
极性分子,ji'xing'fen'zi
极性键,ji'xing'jian
极值法,ji'zhi'fa
甲苯,jia'ben
加成反应,jia'cheng'fan'ying
甲基,jia'ji
甲基环己烷,jia'ji'huan'ji'wan
加聚反应,jia'ju'fan'ying
甲酸甲酯,jia'suan'jia'zhi
甲酸乙酯,jia'suan'yi'zhi
碱金属元素,jian'jin'shu'yuan'su
碱式滴定管,jian'shi'di'ding'guan
碱式盐,jian'shi'yan
碱性干燥剂,jian'xing'gan'zao'ji
碱性气体,jian'xing'qi'ti
胶头滴管,jiao'tou'di'guan
结构简式,jie'gou'jian'shi
结构式,jie'gou'shi
结晶,jie'jing
解题规律,jie'ti'gui'lv
金属氧化物,jin'shu'yang'hua'wu
金属元素,jin'shu'yuan'su
净化装置,jing'hua'zhuang'zhi
酒精灯,jiu'jing'deng
聚丙烯,ju'bing'xi
聚碳酸酯,ju'tan'suan'zhi
聚酰胺,ju'xian'an
可逆反应,ke'ni'fan'ying
蓝矾,lan'fan
冷凝管,leng'ning'guan
离子半径,li'zi'ban'jing
离子反应,li'zi'fan'ying
离子方程式,li'zi'fang'cheng'shi
量取,liang'qu
量筒,liang'tong
邻二溴苯,lin'er'xiu'ben
磷酸盐,lin'suan'yan
硫酸盐,liu'suan'yan
卤化反应,lu'hua'fan'ying
络合物,luo'he'wu
绿矾,lv'fan
氯酸钾,lv'suan'jia
铝酸三钙,lv'suan'san'gai
氯乙烯,lv'yi'xi
明矾,ming'fan
摩尔质量,mo'er'zhi'liang
泥三角,ni'san'jiao
脲醛塑料,niao'quan'su'liao
镊子,nie'zi
牛角管,niu'jiao'guan
浓缩,nong'suo
配合物,pei'he'wu
配液,pei'ye
平底烧瓶,ping'di'shao'ping
平面三角型,ping'mian'san'jiao'xing
启普发生器,qi'pu'fa'sheng'qi
气态氢化物,qi'tai'qing'hua'wu
气体发生器,qi'ti'fa'sheng'qi
气体摩尔体积,qi'ti'mo'er'ti'ji
强电解质,qiang'dian'jie'zhi
羟基,qiang'ji
强碱弱酸盐,qiang'jian'ruo'suan'yan
强酸弱碱盐,qiang'suan'ruo'jian'yan
氢碘酸,qing'dian'suan
氢氟酸,qing'fu'suan
氢氯酸,qing'lv'suan
氢溴酸,qing'xiu'suan
取代反应,qu'dai'fan'ying
醛基,quan'ji
溶解度,rong'jie'du
容量瓶,rong'liang'ping
熔融状态,rong'rong'zhuang'tai
弱电解质,ruo'dian'jie'zhi
弱碱弱酸盐,ruo'jian'ruo'suan'yan
三氯甲烷,san'lv'jia'wan
三硝基苯酚,san'xiao'ji'ben'fen
三硝基甲苯,san'xiao'ji'jia'ben
三溴苯酚,san'xiu'ben'fen
三元酸,san'yuan'suan
烧杯,shao'bei
升华装置,sheng'hua'zhuang'zhi
试管,shi'guan
试管刷,shi'guan'shua
试剂瓶,shi'ji'ping
石棉网,shi'mian'wang
石蕊试液,shi'rui'shi'ye
实验步骤,shi'yan'bu'zhou
实验方案,shi'yan'fang'an
实验方案设计,shi'yan'fang'an'she'ji
实验用品,shi'yan'yong'pin
实验原理,shi'yan'yuan'li
试液,shi'ye
守恒法,shou'heng'fa
收集装置,shou'ji'zhuang'zhi
水解,shui'jie
水浴,shui'yu
水浴加热,shui'yu'jia're
四面体型,si'mian'ti'xing
苏打,su'da
酸式滴定管,suan'shi'di'ding'guan
酸式盐,suan'shi'yan
酸性干燥剂,suan'xing'gan'zao'ji
酸性气体,suan'xing'qi'ti
羧基,suo'ji
缩聚反应,suo'ju'fan'ying
碳酸盐,tan'suan'yan
羰基,tang'ji
调整液面,tiao'zheng'ye'mian
铜矾,tong'fan
同分异构体,tong'fen'yi'gou'ti
同系物,tong'xi'wu
托盘天平,tuo'pan'tian'ping
烷基苯,wan'ji'ben
烷烃,wan'ting
戊基,wu'ji
戊烯,wu'xi
无氧酸盐,wu'yang'suan'yan
物质的量,wu'zhi'de'liang
物质的量浓度,wu'zhi'de'liang'nong'du
洗涤装置,xi'di'zhuang'zhi
细口瓶,xi'kou'ping
吸收装置,xi'shou'zhuang'zhi
相对密度,xiang'dui'mi'du
消去反应,xiao'qu'fan'ying
小苏打,xiao'su'da
硝酸盐,xiao'suan'yan
辛烷,xin'wan
溴化钠,xiu'hua'na
溴化银,xiu'hua'yin
溴乙烷,xiu'yi'wan
亚硫酸钠,ya'liu'suan'na
亚硝酸钠,ya'xiao'suan'na
盐类水解,yan'lei'shui'jie
衍生物,yan'sheng'wu
盐酸盐,yan'suan'yan
氧化性酸,yang'hua'xing'suan
阳极产物,yang'ji'chan'wu
乙苯,yi'ben
异丁基,yi'ding'ji
异丁烷,yi'ding'wan
乙二醇,yi'er'chun
乙基,yi'ji
乙醚,yi'mi
乙醛,yi'quan
乙炔,yi'que
乙酸乙酯,yi'suan'yi'zhi
异戊基,yi'wu'ji
乙烯,yi'xi
一元强酸,yi'yuan'qiang'suan
一元酸,yi'yuan'suan
银氨溶液,yin'an'rong'ye
阴极产物,yin'ji'chan'wu
应接管,ying'jie'guan
硬质玻璃管,ying'zhi'bo'li'guan
硬脂酸,ying'zhi'suan
硬脂酸钠,ying'zhi'suan'na
游离态,you'li'tai
圆底烧瓶,yuan'di'shao'ping
原电池,yuan'dian'chi
原子半径,yuan'zi'ban'jing
原子序数,yuan'zi'xu'shu
杂化轨道,za'hua'gui'dao
杂化理论,za'hua'li'lun
皂化反应,zao'hua'fan'ying
蒸发皿,zheng'fa'min
蒸发装置,zheng'fa'zhuang'zhi
蒸馏装置,zheng'liu'zhuang'zhi
脂肪烃,zhi'fang'ting
酯化反应,zhi'hua'fan'ying
置换反应,zhi'huan'fan'ying
直接加热,zhi'jie'jia're
支链,zhi'lian
直链,zhi'lian
质量分数,zhi'liang'fen'shu
指示剂,zhi'shi'ji
直线型,zhi'xian'xing
中和反应,zhong'he'fan'ying
重结晶,zhong'jie'jing
灼烧,zhuo'shao
紫色石蕊试液,zi'se'shi'rui'shi'ye
总体思路,zong'ti'si'lu
最高正价,zui'gao'zheng'jia
