暗褐色,an'he'se
面无血色,mian'wu'xue'se
面颜,mian'yan
面有赧色,mian'you'nan'se
墨面,mo'mian
木然,mu'ran
模样,mu'yang
难色,nan'se
胖脸,pang'lian
皮泡脸肿,pi'pao'lian'zhong
苹果脸,ping'guo'lian
平头正脸,ping'tou'zheng'lian
气色,qi'se
青黄,qing'huang
青灰色,qing'hui'se
穷酸相,qiong'suan'xiang
颧骨高耸,quan'gu'gao'song
容光,rong'guang
容光焕发,rong'guang'huan'fa
容貌,rong'mao
容颜,rong'yan
容颜苍老,rong'yan'cang'lao
容颜枯槁,rong'yan'ku'gao
肉红,rou'hong
肉色,rou'se
腮帮子,sai'bang'zi
腮红,sai'hong
腮颊,sai'jia
腮颊窝瘪,sai'jia'wo'bie
三角脸,san'jiao'lian
神采,shen'cai
神采飞扬,shen'cai'fei'yang
神采奕奕,shen'cai'yi'yi
神气,shen'qi
神情,shen'qing
神色,shen'se
神态,shen'tai
声色,sheng'se
瘦猴脸,shou'hou'lian
瘦黄,shou'huang
瘦脸,shou'lian
四方脸,si'fang'lian
四方脸膛,si'fang'lian'tang
桃花脸,tao'hua'lian
桃色,tao'se
铁青,tie'qing
通红,tong'hong
透红,tou'hong
土红色,tu'hong'se
椭圆,tuo'yuan
椭圆脸,tuo'yuan'lian
瓦刀脸,wa'dao'lian
娃娃脸,wa'wa'lian
微黑,wei'hei
五官端正,wu'guan'duan'zheng
妩媚,wu'mei
喜笑颜开,xi'xiao'yan'kai
喜形于色,xi'xing'yu'se
下巴,xia'ba
下巴颏儿,xia'ba'ke'er
下颌,xia'he
相貌,xiang'mao
笑涡,xiao'wo
笑窝,xiao'wo
笑靥,xiao'ye
杏脸桃腮,xing'lian'tao'sai
杏仁小脸,xing'ren'xiao'lian
杏腮桃脸,xing'sai'tao'lian
羞红,xiu'hong
鸭蛋脸,ya'dan'lian
颜面,yan'mian
胭脂红,yan'zhi'hong
洋红,yang'hong
洋娃娃,yang'wa'wa
仪容,yi'rong
银盆脸,yin'pen'lian
黝黑,you'hei
玉颜,yu'yan
圆乎乎,yuan'hu'hu
圆脸,yuan'lian
枣红脸,zao'hong'lian
长脸,zhang'lian
长脸膛,zhang'lian'tang
朱颜,zhu'yan
紫红,zi'hong
姿容,zi'rong
尊容,zun'rong
