安规,an'gui
模糊推理矩阵,mo'hu'tui'li'ju'zhen
母线,mu'xian
母线保护,mu'xian'bao'hu
耐张,nai'zhang
耐张段,nai'zhang'duan
南瑞,nan'rui
南自,nan'zi
能量输送,neng'liang'shu'song
配电系统,pei'dian'xi'tong
配电箱,pei'dian'xiang
偏桥,pian'qiao
偏桥电站,pian'qiao'dian'zhan
偏桥水电站,pian'qiao'shui'dian'zhan
偏移量,pian'yi'liang
频率,pin'lv
频率变阻器,pin'lv'bian'zu'qi
频率表,pin'lv'biao
启动器,qi'dong'qi
起动失败停机,qi'dong'shi'bai'ting'ji
汽端,qi'duan
其它故障显示及输入,qi'ta'gu'zhang'xian'shi'ji'shu'ru
千阀,qian'fa
千伏安,qian'fu'an
千瓦,qian'wa
强行励磁,qiang'xing'li'ci
切机,qie'ji
氢侧,qing'ce
求和器,qiu'he'qi
区内故障,qu'nei'gu'zhang
全面地,quan'mian'di
热备用,re'bei'yong
热电偶,re'dian'ou
热继电器,re'ji'dian'qi
热控,re'kong
熔断器,rong'duan'qi
容量,rong'liang
三角形隶属度函数,san'jiao'xing'li'shu'du'han'shu
三菱,san'ling
三绕组变压器,san'rao'zu'bian'ya'qi
三相电度表,san'xiang'dian'du'biao
三相电压,san'xiang'dian'ya
三相故障,san'xiang'gu'zhang
沙坪,sha'ping
沙坪电站,sha'ping'dian'zhan
沙坪水电站,sha'ping'shui'dian'zhan
栅差,shan'cha
杉铁二线,shan'tie'er'xian
杉铁三线,shan'tie'san'xian
杉铁一线,shan'tie'yi'xian
上限,shang'xian
神经网络,shen'jing'wang'luo
神经元,shen'jing'yuan
声控开关,sheng'kong'kai'guan
升压变压器,sheng'ya'bian'ya'qi
事故底油压,shi'gu'di'you'ya
事故停机,shi'gu'ting'ji
时间继电器,shi'jian'ji'dian'qi
时控开关,shi'kong'kai'guan
失灵保护,shi'ling'bao'hu
失去同步,shi'qu'tong'bu
失真,shi'zhen
受端,shou'duan
输电距离,shu'dian'ju'li
输电系统,shu'dian'xi'tong
输电线,shu'dian'xian
输电线路故障,shu'dian'xian'lu'gu'zhang
双电源,shuang'dian'yuan
双回同杆并架,shuang'hui'tong'gan'bing'jia
双绕组变压器,shuang'rao'zu'bian'ya'qi
双水内冷,shuang'shui'nei'leng
水冷,shui'leng
水氢氢,shui'qing'qing
水位差,shui'wei'cha
四分线损,si'fen'xian'sun
算法,suan'fa
隧洞进口,sui'dong'jin'kou
调节,tiao'jie
调节仪,tiao'jie'yi
调速器,tiao'su'qi
调压井,tiao'ya'jing
铁厂河,tie'chang'he
铁厂河电站,tie'chang'he'dian'zhan
铁厂河水电站,tie'chang'he'shui'dian'zhan
铁损,tie'sun
铁芯,tie'xin
铁心,tie'xin
停机备用,ting'ji'bei'yong
同步,tong'bu
铜电偶,tong'dian'ou
铜排,tong'pai
铜损,tong'sun
透平油,tou'ping'you
投运,tou'yun
微动开关,wei'dong'kai'guan
稳定,wen'ding
温控仪,wen'kong'yi
误动作,wu'dong'zuo
无功,wu'gong
无功补偿,wu'gong'bu'chang
无功电流,wu'gong'dian'liu
无功负载,wu'gong'fu'zai
无功功率,wu'gong'gong'lv
无功损耗,wu'gong'sun'hao
无刷励磁机,wu'shua'li'ci'ji
西北电力设计院,xi'bei'dian'li'she'ji'yuan
西门子,xi'men'zi
西屋,xi'wu
下降率,xia'jiang'lv
下降特性,xia'jiang'te'xing
下限,xia'xian
线夹,xian'jia
线路补偿器,xian'lu'bu'chang'qi
线路快速接地刀闸,xian'lu'kuai'su'jie'di'dao'zha
相减运算,xiang'jian'yun'suan
箱式变压器,xiang'shi'bian'ya'qi
小波变换,xiao'bo'bian'huan
小水电,xiao'shui'dian
小型断路器,xiao'xing'duan'lu'qi
谐波电流,xie'bo'dian'liu
泄洪,xie'hong
泄洪闸,xie'hong'zha
斜井,xie'jing
斜率,xie'lv
信号灯,xin'hao'deng
行程开关,xing'cheng'kai'guan
修改的,xiu'gai'de
许继,xu'ji
学报,xue'bao
压力表,ya'li'biao
压力传感器,ya'li'chuan'gan'qi
压力油,ya'li'you
延迟变换,yan'chi'bian'huan
延迟时间,yan'chi'shi'jian
研究方向,yan'jiu'fang'xiang
样本集合,yang'ben'ji'he
样本空间,yang'ben'kong'jian
摇摆,yao'bai
遥测,yao'ce
遥信,yao'xin
荧光灯,ying'guang'deng
应急灯,ying'ji'deng
用电需求管理,yong'dian'xu'qiu'guan'li
有功,you'gong
有功负载,you'gong'fu'zai
有功功率,you'gong'gong'lv
有功损耗,you'gong'sun'hao
油压装置,you'ya'zhuang'zhi
裕度,yu'du
预付费电度表,yu'fu'fei'dian'du'biao
运行,yun'xing
运行转速,yun'xing'zhuan'su
暂态分量,zan'tai'fen'liang
暂态行波,zan'tai'hang'bo
暂态稳定,zan'tai'wen'ding
兆瓦,zhao'wa
正序阻抗,zheng'xu'zu'kang
值班房,zhi'ban'fang
值班室,zhi'ban'shi
支洞,zhi'dong
直流电抗器,zhi'liu'dian'kang'qi
中电投集团公司,zhong'dian'tou'ji'tuan'gong'si
中国大唐集团公司,zhong'guo'da'tang'ji'tuan'gong'si
中国电力,zhong'guo'dian'li
中间继电器,zhong'jian'ji'dian'qi
中线电流,zhong'xian'dian'liu
中心环,zhong'xin'huan
中压,zhong'ya
轴承,zhou'cheng
轴瓦,zhou'wa
主变中性点刀闸,zhu'bian'zhong'xing'dian'dao'zha
主令开关,zhu'ling'kai'guan
主配拒动,zhu'pei'ju'dong
柱上变压器,zhu'shang'bian'ya'qi
柱上开关,zhu'shang'kai'guan
转换开关,zhuan'huan'kai'guan
转子,zhuan'zi
转子电枢,zhuan'zi'dian'shu
装机容量,zhuang'ji'rong'liang
自动开关,zi'dong'kai'guan
自适应控制方法,zi'shi'ying'kong'zhi'fang'fa
自适应系统,zi'shi'ying'xi'tong
子系统,zi'xi'tong
自学习功能,zi'xue'xi'gong'neng
组合开关,zu'he'kai'guan
阻抗,zu'kang
阻尼,zu'ni
最低电流,zui'di'dian'liu
最低电压,zui'di'dian'ya
最高电流,zui'gao'dian'liu
最高电压,zui'gao'dian'ya
