阿斗,a'dou
鬼神再临,gui'shen'zai'lin
归心,gui'xin
归隐的杰女,gui'yin'de'jie'nv
过河,guo'he
过河拆桥,guo'he'chai'qiao
郭淮,guo'huai
郭嘉,guo'jia
国色,guo'se
国无懈,guo'wu'xie
国战,guo'zhan
旱魃,han'ba
寒冰,han'bing
寒冰剑,han'bing'jian
韩当,han'dang
汉寿亭侯,han'shou'ting'hou
汉统,han'tong
汉献帝,han'xian'di
韩旭,han'xu
豪情烈胆,hao'qing'lie'dan
好施,hao'shi
河北瑰杰,he'bei'gui'jie
何进,he'jin
黑色,hei'se
黑桃,hei'tao
黑月乱,hei'yue'luan
横置,heng'zhi
红色,hong'se
红桃,hong'tao
红桃邓,hong'tao'deng
红颜,hong'yan
弘援,hong'yuan
虎痴,hu'chi
护驾,hu'jia
虎牢关吕布,hu'lao'guan'lv'bu
虎威,hu'wei
虎啸,hu'xiao
骅骝,hua'liu
花色,hua'se
化身,hua'shen
华佗,hua'tuo
华雄,hua'xiong
怀才自负,huai'cai'zi'fu
幻岛,huan'dao
缓释,huan'shi
皇恩,huang'en
黄盖,huang'gai
黄天,huang'tian
黄须儿,huang'xu'er
黄月英,huang'yue'ying
黄忠,huang'zhong
回复,hui'fu
回合,hui'he
回合结束阶段,hui'he'jie'shu'jie'duan
回合结束阶段开始时,hui'he'jie'shu'jie'duan'kai'shi'shi
回合开始阶段,hui'he'kai'shi'jie'duan
回合开始阶段开始时,hui'he'kai'shi'jie'duan'kai'shi'shi
挥泪,hui'lei
魂姿,hun'zi
火包,huo'bao
获得牌,huo'de'pai
火攻,huo'gong
火计,huo'ji
火杀,huo'sha
祸首,huo'shou
祸水,huo'shui
惑心之魅,huo'xin'zhi'mei
激昂,ji'ang
吉本,ji'ben
基本牌,ji'ben'pai
计策,ji'ce
嫉恶,ji'e
激将,ji'jiang
急救,ji'jiu
鸡肋,ji'lei
纪灵,ji'ling
极略,ji'lue
技能表述,ji'neng'biao'shu
急速,ji'su
棘途壮志,ji'tu'zhuang'zhi
急袭,ji'xi
疾行的猎豹,ji'xing'de'lie'bao
集智,ji'zhi
贾诩,jia'xu
甲鱼,jia'yu
坚城宿将,jian'cheng'su'jiang
奸雄,jian'xiong
简雍,jian'yong
将弛,jiang'chi
江东的铁壁,jiang'dong'de'tie'bi
江东的小霸王,jiang'dong'de'xiao'ba'wang
江东小霸王,jiang'dong'xiao'ba'wang
江东小白板,jiang'dong'xiao'bai'ban
江东之花,jiang'dong'zhi'hua
将门虎子,jiang'men'hu'zi
姜维,jiang'wei
骄才,jiao'cai
交给,jiao'gei
交换,jiao'huan
矫情之花,jiao'qing'zhi'hua
矫然的壮士,jiao'ran'de'zhuang'shi
教主,jiao'zhu
桀骜的野心家,jie'ao'de'ye'xin'jia
借刀,jie'dao
借刀杀人,jie'dao'sha'ren
阶段,jie'duan
解烦,jie'fan
结婚,jie'hun
节命,jie'ming
结束阶段,jie'shu'jie'duan
结束阶段开始时,jie'shu'jie'duan'kai'shi'shi
结算,jie'suan
结算的原则,jie'suan'de'yuan'ze
结姻,jie'yin
竭缘,jie'yuan
金璧之才,jin'bi'zhi'cai
矜持之花,jin'chi'zhi'hua
锦帆游侠,jin'fan'you'xia
进攻马,jin'gong'ma
晋国之祖,jin'guo'zhi'zu
进化论,jin'hua'lun
禁酒,jin'jiu
锦囊牌,jin'nang'pai
精策,jing'ce
酒池,jiu'chi
酒诗,jiu'shi
救援,jiu'yuan
救主,jiu'zhu
菊花刀,ju'hua'dao
举荐,ju'jian
距离,ju'li
据守,ju'shou
巨象,ju'xiang
局长,ju'zhang
决策,jue'ce
绝策,jue'ce
决斗,jue'dou
绝境,jue'jing
绝情,jue'qing
角色的牌,jue'se'de'pai
角色的区域,jue'se'de'qu'yu
绝世的舞姬,jue'shi'de'wu'ji
觉醒技,jue'xing'ji
决意的巾帼,jue'yi'de'jin'guo
绝影,jue'ying
军威,jun'wei
峻刑,jun'xing
看破,kan'po
克己,ke'ji
可以,ke'yi
空城,kong'cheng
孔融,kong'rong
扣减体力,kou'jian'ti'li
扣减体力后,kou'jian'ti'li'hou
扣减体力前,kou'jian'ti'li'qian
苦肉,ku'rou
跨蹈江南,kua'dao'jiang'nan
狂暴,kuang'bao
狂风,kuang'feng
狂斧,kuang'fu
狂骨,kuang'gu
狂直之士,kuang'zhi'zhi'shi
溃围,kui'wei
来源,lai'yuan
狼顾,lang'gu
狼顾之鬼,lang'gu'zhi'gui
狼虎兄弟,lang'hu'xiong'di
老当益壮,lao'dang'yi'zhuang
老头,lao'tou
老诸葛,lao'zhu'ge
乐不思蜀,le'bu'si'shu
乐进,le'jin
雷击,lei'ji
雷没才,lei'mei'cai
雷杀,lei'sha
冷酷的毒士,leng'ku'de'du'shi
冷血皇后,leng'xue'huang'hou
离婚,li'hun
离魂,li'hun
疠火,li'huo
疬火,li'huo
离间,li'jian
历尽沧桑,li'jin'cang'sang
礼让,li'rang
李儒,li'ru
历战之躯,li'zhan'zhi'qu
连环,lian'huan
联军上将,lian'jun'shang'jiang
联盟的维系者,lian'meng'de'wei'xi'zhe
连弩,lian'nu
连破,lian'po
连清人,lian'qing'ren
连营,lian'ying
亮出,liang'chu
料敌机先,liao'di'ji'xian
廖化,liao'hua
列弓,lie'gong
烈弓,lie'gong
烈刃,lie'ren
猎刃,lie'ren
林包,lin'bao
凛然重义,lin'ran'zhong'yi
临危受命,lin'wei'shou'ming
灵雎,ling'ju
凌天翼,ling'tian'yi
凌统,ling'tong
另一名角色,ling'yi'ming'jue'se
刘备,liu'bei
刘表,liu'biao
刘封,liu'feng
遛狗,liu'gou
流离,liu'li
流氓云,liu'mang'yun
刘禅,liu'shan
刘协,liu'xie
刘周,liu'zhou
龙胆,long'dan
龙的衣钵,long'de'yi'bo
龙魂,long'hun
龙吟,long'yin
鲁大师,lu'da'shi
陆连清,lu'lian'qing
陆神将,lu'shen'jiang
鲁肃,lu'su
陆逊,lu'xun
乱击,luan'ji
乱世的枭雄,luan'shi'de'xiao'xiong
乱武,luan'wu
乱舞,luan'wu
罗森,luo'sen
洛神,luo'shen
落雁,luo'yan
裸衣,luo'yi
落英,luo'ying
吕布,lv'bu
吕蒙,lv'meng
马参军,ma'can'jun
马超,ma'chao
马岱,ma'dai
马术,ma'shu
马谡,ma'su
马腾,ma'teng
马忠,ma'zhong
卖血,mai'xue
满宠,man'chong
螨虫,man'chong
漫卷,man'juan
慢苦流,man'ku'liu
蛮裔,man'yi
梅花,mei'hua
美髯公,mei'ran'gong
孟获,meng'huo
猛进,meng'jin
梦魇,meng'yan
梦魇标记,meng'yan'biao'ji
梦醉良缘,meng'zui'liang'yuan
秘技,mi'ji
秘计,mi'ji
迷信,mi'xin
密诏,mi'zhao
谜之仙人,mi'zhi'xian'ren
妙脆角,miao'cui'jiao
苗裔,miao'yi
灭计,mie'ji
明策,ming'ce
名士,ming'shi
明哲,ming'zhe
明置,ming'zhi
魔鬼鱼,mo'gui'yu
魔将,mo'jiang
摸牌,mo'pai
摸牌阶段,mo'pai'jie'duan
摸牌阶段结束时,mo'pai'jie'duan'jie'shu'shi
摸牌阶段开始时,mo'pai'jie'duan'kai'shi'shi
摸牌阶段摸牌时,mo'pai'jie'duan'mo'pai'shi
魔仕,mo'shi
魔王,mo'wang
谋断,mou'duan
谋溃,mou'kui
谋诛,mou'zhu
木美人,mu'mei'ren
穆顺,mu'shun
南蛮,nan'man
南蛮入侵,nan'man'ru'qin
南蛮王,nan'man'wang
你信吗,ni'xin'ma
年轻的贤君,nian'qing'de'xian'jun
涅槃,nie'pan
诺思冥羽,nuo'si'ming'yu
女王,nv'wang
牌堆,pai'dui
牌面信息,pai'mian'xin'xi
排异,pai'yi
判定,pan'ding
判定阶段,pan'ding'jie'duan
判定区,pan'ding'qu
潘凤,pan'feng
潘马,pan'ma
潘璋,pan'zhang
潘璋马忠,pan'zhang'ma'zhong
庞德,pang'de
庞统,pang'tong
咆哮,pao'xiao
翩仪,pian'yi
拼点,pin'dian
平置,ping'zhi
破军,po'jun
破竹之咒,po'zhu'zhi'zhou
普通伤害,pu'tong'shang'hai
奇才,qi'cai
奇策,qi'ce
骑虎之殇,qi'hu'zhi'shang
麒麟,qi'lin
麒麟弓,qi'lin'gong
弃牌堆,qi'pai'dui
弃牌阶段,qi'pai'jie'duan
弃牌阶段结束时,qi'pai'jie'duan'jie'shu'shi
弃牌阶段开始时,qi'pai'jie'duan'kai'shi'shi
奇袭,qi'xi
七星,qi'xing
弃置,qi'zhi
前将军,qian'jiang'jun
潜龙勿用,qian'long'wu'yong
迁迁婷婷,qian'qian'ting'ting
黔武,qian'wu
潜袭,qian'xi
谦逊,qian'xun
强命,qiang'ming
强袭,qiang'xi
巧变,qiao'bian
巧说,qiao'shui
巧说,qiao'shuo
擒龙伏虎,qin'long'fu'hu
琴音,qin'yin
清侧重臣,qing'ce'zhong'chen
倾城,qing'cheng
青釭,qing'gang
青釭剑,qing'gang'jian
倾国,qing'guo
青龙,qing'long
青龙偃月刀,qing'long'yan'yue'dao
青囊,qing'nang
轻身为国,qing'shen'wei'guo
情随梦逝,qing'sui'meng'shi
求援,qiu'yuan
驱虎,qu'hu
屈身为国,qu'shen'wei'guo
取消,qu'xiao
区域,qu'yu
权计,quan'ji
群马超,qun'ma'chao
群雄,qun'xiong
然后,ran'hou
仁爱的神童,ren'ai'de'shen'tong
仁德,ren'de
忍戒,ren'jie
人马一体,ren'ma'yi'ti
仁王,ren'wang
仁王盾,ren'wang'dun
仁心,ren'xin
肉林,rou'lin
儒生雄才,ru'sheng'xiong'cai
若愚,ruo'yu
三国杀,san'guo'sha
三国杀国战,san'guo'sha'guo'zhan
三尖两刃刀,san'jian'liang'ren'dao
三将成名,san'jiang'cheng'ming
三三,san'san
三原色,san'yuan'se
三朝虎臣,san'zhao'hu'chen
色厉内荏,se'li'nei'ren
杀死,sha'si
杀我,sha'wo
杀我神技,sha'wo'shen'ji
山包,shan'bao
闪电,shan'dian
伤害结束时,shang'hai'jie'shu'shi
伤害结算开始时,shang'hai'jie'suan'kai'shi'shi
伤害来源,shang'hai'lai'yuan
上将,shang'jiang
伤势,shang'shi
伤逝,shang'shi
少年将军,shao'nian'jiang'jun
勺子妞,shao'zi'niu
涉猎,she'lie
神曹,shen'cao
神曹操,shen'cao'cao
神愤,shen'fen
神粪,shen'fen
身份牌,shen'fen'pai
神关羽,shen'guan'yu
神戟,shen'ji
神吕,shen'lv
神吕布,shen'lv'bu
神吕蒙,shen'lv'meng
神势力,shen'shi'li
神司马,shen'si'ma
神司马懿,shen'si'ma'yi
神速,shen'su
神威,shen'wei
神威如龙,shen'wei'ru'long
神医,shen'yi
神赵,shen'zhao
神赵云,shen'zhao'yun
神智,shen'zhi
神周,shen'zhou
神周瑜,shen'zhou'yu
神诸葛,shen'zhu'ge
神诸葛亮,shen'zhu'ge'liang
盛大,sheng'da
圣光之国士,sheng'guang'zhi'guo'shi
恃才放旷,shi'cai'fang'kuang
石城侯,shi'cheng'hou
誓仇,shi'chou
时机,shi'ji
事件,shi'jian
势力,shi'li
失去牌,shi'qu'pai
誓死除奸恶,shi'si'chu'jian'e
视为,shi'wei
嗜血的独狼,shi'xue'de'du'lang
使用,shi'yong
恃勇,shi'yong
受到伤害时,shou'dao'shang'hai'shi
受困天子,shou'kun'tian'zi
手牌,shou'pai
手牌上限,shou'pai'shang'xian
受伤,shou'shang
淑德,shu'de
蜀国,shu'guo
蜀汉的辅异,shu'han'de'fu'yi
蜀黑,shu'hei
淑慎,shu'shen
蜀孙尚香,shu'sun'shang'xiang
蜀香,shu'xiang
属性伤害,shu'xing'shang'hai
数值,shu'zhi
双乔,shuang'qiao
双刃,shuang'ren
双头,shuang'tou
双雄,shuang'xiong
双叶松,shuang'ye'song
水箭,shui'jian
水淹七军,shui'yan'qi'jun
水泳,shui'yong
顺手,shun'shou
顺手牵羊,shun'shou'qian'yang
死谏,si'jian
司马懿,si'ma'yi
死亡,si'wang
颂词,song'ci
送闪,song'shan
颂威,song'wei
素资,su'zi
算无遗策,suan'wu'yi'ce
随势,sui'shi
孙策,sun'ce
孙坚,sun'jian
孙权,sun'quan
孙尚香,sun'shang'xiang
孙杨,sun'yang
锁定技,suo'ding'ji
抬榇之悟,tai'chen'zhi'wu
太平道人,tai'ping'dao'ren
太史慈,tai'shi'ci
探虎,tan'hu
桃花僧,tao'hua'seng
桃园,tao'yuan
桃园结义,tao'yuan'jie'yi
特殊武将,te'shu'wu'jiang
藤甲,teng'jia
替换,ti'huan
体力,ti'li
体力上限,ti'li'shang'xian
天妒,tian'du
田丰,tian'feng
天公将军,tian'gong'jiang'jun
天空之城,tian'kong'zhi'cheng
天命,tian'ming
天香,tian'xiang
天义,tian'yi
跳过,tiao'guo
挑衅,tiao'xin
铁骑,tie'qi
铁索,tie'suo
铁索连环,tie'suo'lian'huan
同疾,tong'ji
铜雀台,tong'que'tai
突袭,tu'xi
屯田,tun'tian
万夫不当,wan'fu'bu'dang
万箭,wan'jian
万箭齐发,wan'jian'qi'fa
婉容,wan'rong
完杀,wan'sha
王异,wang'yi
妄尊,wang'zun
王佐之才,wang'zuo'zhi'cai
魏蔡文姬,wei'cai'wen'ji
伪帝,wei'di
魏关羽,wei'guan'yu
魏国,wei'guo
魏贾诩,wei'jia'xu
帷幕,wei'mu
魏庞德,wei'pang'de
魏武帝,wei'wu'di
魏武之刚,wei'wu'zhi'gang
魏延,wei'yan
文丑,wen'chou
文聘,wen'pin
文武,wen'wu
卧龙,wo'long
卧龙诸葛,wo'long'zhu'ge
卧龙诸葛亮,wo'long'zhu'ge'liang
武的化身,wu'de'hua'shen
五谷,wu'gu
五谷丰登,wu'gu'feng'deng
吴国,wu'guo
吴国太,wu'guo'tai
武魂,wu'hun
武姬,wu'ji
武继,wu'ji
武将牌,wu'jiang'pai
武将牌的处理,wu'jiang'pai'de'chu'li
武烈帝,wu'lie'di
武烈皇后,wu'lie'huang'hou
吴六剑,wu'liu'jian
无冕之后,wu'mian'zhi'hou
无谋,wu'mou
武器,wu'qi
无前,wu'qian
无色,wu'se
武神,wu'shen
武圣,wu'sheng
无视,wu'shi
无双,wu'shuang
无为的真命主,wu'wei'de'zhen'ming'zhu
无效,wu'xiao
无懈,wu'xie
无懈可击,wu'xie'ke'ji
无懈可击国,wu'xie'ke'ji'guo
无言,wu'yan
五中,wu'zhong
无中生有,wu'zhong'sheng'you
西凉的猛狮,xi'liang'de'meng'shi
吸血,xi'xue
夏侯霸,xia'hou'ba
夏侯惇,xia'hou'dun
夏侯渊,xia'hou'yuan
下家,xia'jia
限定技,xian'ding'ji
陷嗣,xian'si
陷阵,xian'zhen
享乐,xiang'le
香蒲神殇,xiang'pu'shen'shang
香香,xiang'xiang
响应,xiang'ying
小关张,xiao'guan'zhang
效果,xiao'guo
骁果,xiao'guo
枭姬,xiao'ji
小立,xiao'li
小乔,xiao'qiao
骁袭,xiao'xi
小莘,xiao'xin
小诸葛,xiao'zhu'ge
挟缠,xie'chan
新生,xin'sheng
心惔,xin'tan
心战,xin'zhan
性别,xing'bie
行殇,xing'shang
星舞,xing'wu
雄异,xiong'yi
修罗,xiu'luo
修罗之道,xiu'luo'zhi'dao
许褚,xu'chu
徐晃,xu'huang
徐盛,xu'sheng
徐庶,xu'shu
许坦,xu'tan
许诸,xu'zhu
旋风,xuan'feng
眩惑,xuan'huo
选择目标的个数上限,xuan'ze'mu'biao'de'ge'shu'shang'xian
选择一项,xuan'ze'yi'xiang
雪恨,xue'hen
血祭,xue'ji
雪君,xue'jun
血裔,xue'yi
荀攸,xun'you
荀彧,xun'yu
哑巴,ya'ba
延祸,yan'huo
颜良,yan'liang
颜良文丑,yan'liang'wen'chou
颜色,yan'se
延时类锦囊牌,yan'shi'lei'jin'nang'pai
颜文,yan'wen
言笑,yan'xiao
严整,yan'zheng
杨修,yang'xiu
耀武,yao'wu
叶诗文,ye'shi'wen
野心渐增,ye'xin'jian'zeng
野性的女王,ye'xing'de'nv'wang
业炎,ye'yan
一波流,yi'bo'liu
移出游戏,yi'chu'you'xi
依次,yi'ci
一次伤害,yi'ci'shang'hai
义从,yi'cong
移动,yi'dong
遗计,yi'ji
一将成名,yi'jiang'cheng'ming
一骑当千,yi'qi'dang'qian
已损失的体力值,yi'sun'shi'de'ti'li'zhi
异乡的孤女,yi'xiang'de'gu'nv
以逸待劳,yi'yi'dai'lao
毅重,yi'zhong
姻礼,yin'li
银铃,yin'ling
银月枪,yin'yue'qiang
影兵,ying'bing
樱花闪乱,ying'hua'shan'luan
英魂,ying'hun
英姿,ying'zi
庸肆,yong'si
用语集,yong'yu'ji
游卡,you'ka
游戏的流程,you'xi'de'liu'cheng
游戏结束,you'xi'jie'shu
游戏开始,you'xi'kai'shi
游戏流程,you'xi'liu'cheng
游戏牌,you'xi'pai
游戏牌的处理,you'xi'pai'de'chu'li
优游风议,you'you'feng'yi
御策,yu'ce
羽柴文理,yu'chai'wen'li
虞翻,yu'fan
于吉,yu'ji
于禁,yu'jin
与世不侵,yu'shi'bu'qin
援护,yuan'hu
远交近攻,yuan'jiao'jin'gong
袁绍,yuan'shao
袁术,yuan'shu
月英,yue'ying
再起,zai'qi
造成伤害后,zao'cheng'shang'hai'hou
造成伤害时,zao'cheng'shang'hai'shi
凿险,zao'xian
早终的先知,zao'zhong'de'xian'zhi
战神,zhan'shen
展示,zhan'shi
丈八,zhang'ba
丈八蛇矛,zhang'ba'she'mao
张宝,zhang'bao
张苞,zhang'bao
张春华,zhang'chun'hua
张飞,zhang'fei
张颌,zhang'he
张合理,zhang'he'li
张纮,zhang'hong
张角,zhang'jiao
张辽,zhang'liao
张帅,zhang'shuai
章鱼,zhang'yu
张昭,zhang'zhao
张昭张纮,zhang'zhao'zhang'hong
爪黄飞电,zhao'huang'fei'dian
昭烈,zhao'lie
昭烈皇后,zhao'lie'huang'hou
昭心,zhao'xin
赵云,zhao'yun
浙媒,zhe'mei
甄姬,zhen'ji
贞烈,zhen'lie
甄女王,zhen'nv'wang
镇卫,zhen'wei
政法饼牟,zheng'fa'bing'mou
制霸,zhi'ba
智迟,zhi'chi
制衡,zhi'heng
志继,zhi'ji
知己知彼,zhi'ji'zhi'bi
直谏,zhi'jian
炙日,zhi'ri
置入弃牌堆,zhi'ru'qi'pai'dui
直言,zhi'yan
质疑,zhi'yi
智愚,zhi'yu
置于,zhi'yu
忠臣孝子,zhong'chen'xiao'zi
仲达与孔明,zhong'da'yu'kong'ming
钟会,zhong'hui
仲家的主将,zhong'jia'de'zhu'jiang
仲家帝,zhong'jia'di
忠孝的侠士,zhong'xiao'de'xia'shi
忠义,zhong'yi
咒缚,zhou'fu
周泰,zhou'tai
周亚夫之风,zhou'ya'fu'zhi'feng
周瑜,zhou'yu
诸葛,zhu'ge
诸葛瑾,zhu'ge'jin
诸葛恪,zhu'ge'ke
诸葛连弩,zhu'ge'lian'nu
猪哥亮,zhu'ge'liang
诸葛亮,zhu'ge'liang
主公技,zhu'gong'ji
珠联璧合,zhu'lian'bi'he
朱雀,zhu'que
朱雀羽扇,zhu'que'yu'shan
朱然,zhu'ran
祝融,zhu'rong
转移,zhuan'yi
装备牌,zhuang'bei'pai
装备区,zhuang'bei'qu
惴恐,zhui'kong
追忆,zhui'yi
准备阶段,zhun'bei'jie'duan
准备阶段开始时,zhun'bei'jie'duan'kai'shi'shi
自立,zi'li
自守,zi'shou
紫骍,zi'xing
宗室,zong'shi
纵适,zong'shi
纵玄,zong'xuan
邹氏,zou'shi
最强神话,zui'qiang'shen'hua
醉乡,zui'xiang
左慈,zuo'ci
坐骑,zuo'qi
