鞍山新村,an'shan'xin'cun
浦东国际机场,pu'dong'guo'ji'ji'chang
浦江镇,pu'jiang'zhen
七宝,qi'bao
祁连山路,qi'lian'shan'lu
祁连山南路,qi'lian'shan'nan'lu
曲阜路,qu'fu'lu
曲阳路,qu'yang'lu
人民广场,ren'min'guang'chang
三门路,san'men'lu
陕西南路,shan'xi'nan'lu
商城路,shang'cheng'lu
上大路,shang'da'lu
上海大学,shang'hai'da'xue
上海动物园,shang'hai'dong'wu'yuan
上海儿童医学中心,shang'hai'er'tong'yi'xue'zhong'xin
上海火车站,shang'hai'huo'che'zhan
上海科技馆,shang'hai'ke'ji'guan
上海马戏城,shang'hai'ma'xi'cheng
上海南站,shang'hai'nan'zhan
上海汽车城,shang'hai'qi'che'cheng
上海赛车场,shang'hai'sai'che'chang
上海体育场,shang'hai'ti'yu'chang
上海体育馆,shang'hai'ti'yu'guan
上海图书馆,shang'hai'tu'shu'guan
上海西站,shang'hai'xi'zhan
上海站,shang'hai'zhan
上南路,shang'nan'lu
佘山,she'shan
市光路,shi'guang'lu
世纪大道,shi'ji'da'dao
世纪公园,shi'ji'gong'yuan
石龙路,shi'long'lu
水产路,shui'chan'lu
水城路,shui'cheng'lu
四川北路,si'chuan'bei'lu
泗泾,si'jing
四平路,si'ping'lu
淞滨路,song'bin'lu
淞发路,song'fa'lu
淞虹路,song'hong'lu
松江大学城,song'jiang'da'xue'cheng
松江南站,song'jiang'nan'zhan
松江体育中心,song'jiang'ti'yu'zhong'xin
松江新城,song'jiang'xin'cheng
宋园路,song'yuan'lu
塘桥,tang'qiao
唐镇,tang'zhen
桃浦新村,tao'pu'xin'cun
天潼路,tian'tong'lu
铁力路,tie'li'lu
通河新村,tong'he'xin'cun
同济大学,tong'ji'da'xue
外高桥保税区北,wai'gao'qiao'bao'shui'qu'bei
外高桥保税区南,wai'gao'qiao'bao'shui'qu'nan
外环路,wai'huan'lu
威宁路,wei'ning'lu
文井路,wen'jing'lu
汶水路,wen'shui'lu
五角场,wu'jiao'chang
五莲路,wu'lian'lu
武威路,wu'wei'lu
五洲大道,wu'zhou'da'dao
西藏北路,xi'zang'bei'lu
西藏南路,xi'zang'nan'lu
翔殷路,xiang'yin'lu
小南门,xiao'nan'men
新村路,xin'cun'lu
新江湾城,xin'jiang'wan'cheng
新天地,xin'tian'di
新闸路,xin'zha'lu
莘庄,xin'zhuang
行知路,xing'zhi'lu
星中路,xing'zhong'lu
徐家汇,xu'jia'hui
徐泾东,xu'jing'dong
延安西路,yan'an'xi'lu
延长路,yan'chang'lu
延吉中路,yan'ji'zhong'lu
杨高南路,yang'gao'nan'lu
杨高中路,yang'gao'zhong'lu
杨树浦路,yang'shu'pu'lu
杨思路,yang'si'lu
耀华路,yao'hua'lu
伊犁路,yi'li'lu
宜山路,yi'shan'lu
银都路,yin'du'lu
殷高东路,yin'gao'dong'lu
殷高西路,yin'gao'xi'lu
邮电新村,you'dian'xin'cun
友谊路,you'yi'lu
友谊西路,you'yi'xi'lu
豫园,yu'yuan
远东大道,yuan'dong'da'dao
源深体育中心,yuan'shen'ti'yu'zhong'xin
云山路,yun'shan'lu
云台路,yun'tai'lu
张华浜,zhang'hua'bang
张江高科,zhang'jiang'gao'ke
肇嘉浜路,zhao'jia'bang'lu
肇家浜路,zhao'jia'bang'lu
真北路,zhen'bei'lu
镇坪路,zhen'ping'lu
真如,zhen'ru
中春路,zhong'chun'lu
中华艺术宫站,zhong'hua'yi'shu'gong'zhan
中山北路,zhong'shan'bei'lu
中山公园,zhong'shan'gong'yuan
中潭路,zhong'tan'lu
中兴路,zhong'xing'lu
洲海路,zhou'hai'lu
颛桥,zhuan'qiao
紫藤路,zi'teng'lu
醉白池,zui'bai'chi
