爱丽丝,ai'li'si
乌丸雾火,wu'wan'wu'huo
五五,wu'wu
雾雨魔理沙,wu'yu'mo'li'sha
夕日红,xi'ri'hong
西行寺幽幽子,xi'xing'si'you'you'zi
西园寺世界,xi'yuan'si'shi'jie
下半身无敌,xia'ban'shen'wu'di
夏莉,xia'li
夏娜,xia'na
下强,xia'qiang
下弱,xia'ruo
下中,xia'zhong
仙女座,xian'nv'zuo
香吉士,xiang'ji'shi
響美空,xiang'mei'kong
相杀,xiang'sha
宵町历,xiao'ding'li
小技,xiao'ji
小受,xiao'shou
小松奈奈,xiao'song'nai'nai
小跳,xiao'tiao
小野冢小町,xiao'ye'zhong'xiao'ding
篠原明里,xiao'yuan'ming'li
小早川唯,xiao'zao'chuan'wei
新人群,xin'ren'qun
辛西娅,xin'xi'ya
星河,xing'he
星河大吾,xing'he'da'wu
星河昴,xing'he'mao
雄狮,xiong'shi
修正值,xiu'zheng'zhi
旋风管家,xuan'feng'guan'jia
押帧,ya'zhen
压制,ya'zhi
演出,yan'chu
言峰绮礼,yan'feng'qi'li
眼睛控,yan'jing'kong
眼镜娘,yan'jing'niang
异常食欲者,yi'chang'shi'yu'zhe
伊吹萃香,yi'chui'cui'xiang
异次元,yi'ci'yuan
移动起身,yi'dong'qi'shen
一击必杀,yi'ji'bi'sha
一濑巧,yi'lai'qiao
伊莉雅,yi'li'ya
伊藤诚,yi'teng'cheng
隐藏超杀,yin'cang'chao'sha
因幡,yin'fan
硬身,ying'shen
樱田纯,ying'tian'chun
映像特典,ying'xiang'te'dian
鹰眼,ying'yan
鹰眼米霍克,ying'yan'mi'huo'ke
硬直,ying'zhi
硬直差,ying'zhi'cha
有爱,you'ai
尤菲米亚,you'fei'mi'ya
有利时间,you'li'shi'jian
优昙华院,you'tan'hua'yuan
御坂美琴,yu'ban'mei'qin
预备动作,yu'bei'dong'zuo
御姐,yu'jie
御姐控,yu'jie'kong
御手洗红豆,yu'shou'xi'hong'dou
宇田海,yu'tian'hai
宇田海深佑,yu'tian'hai'shen'you
予约缔切日,yu'yue'di'qie'ri
御宅,yu'zhai
御宅文化,yu'zhai'wen'hua
御宅族,yu'zhai'zu
远坂凛,yuan'ban'lin
圆笔尖,yuan'bi'jian
原画,yuan'hua
远藤章司,yuan'teng'zhang'si
远野贵树,yuan'ye'gui'shu
远中,yuan'zhong
月城雪兔,yue'cheng'xue'tu
月读,yue'du
早乙女淳子,zao'yi'nv'chun'zi
泽永泰介,ze'yong'tai'jie
渣网,zha'wang
宅见将典,zhai'jian'jiang'dian
宅男,zhai'nan
宅女,zhai'nv
站防,zhan'fang
站精防,zhan'jing'fang
真红,zhen'hong
帧速,zhen'su
帧速表,zhen'su'biao
震退,zhen'tui
正太,zheng'tai
正太控,zheng'tai'kong
制作担当,zhi'zuo'dan'dang
中段,zhong'duan
柊镜,zhong'jing
柊司,zhong'si
周边产品,zhou'bian'chan'pin
咒印,zhou'yin
主役,zhu'yi
追打,zhui'da
追加,zhui'jia
椎名真白,zhui'ming'zhen'bai
卓洛,zhuo'luo
自来也,zi'lai'ye
最小院,zui'xiao'yuan
最小院次麻吕,zui'xiao'yuan'ci'ma'lv
最终回忆,zui'zhong'hui'yi
作画监督,zuo'hua'jian'du
