阿米芹属,a'mi'qin'shu
保亭花属,bao'ting'hua'shu
苞叶兰属,bao'ye'lan'shu
苞叶木属,bao'ye'mu'shu
苞叶藤属,bao'ye'teng'shu
薄柱草属,bao'zhu'cao'shu
豹子花属,bao'zi'hua'shu
杯冠木属,bei'guan'mu'shu
北极果属,bei'ji'guo'shu
北极花属,bei'ji'hua'shu
杯菊属,bei'ju'shu
贝壳杉属,bei'ke'shan'shu
北美红杉属,bei'mei'hong'shan'shu
贝母兰属,bei'mu'lan'shu
贝母属,bei'mu'shu
杯苋属,bei'xian'shu
杯药草属,bei'yao'cao'shu
贝叶棕属,bei'ye'zong'shu
荸艾属,bi'ai'shu
篦齿蕨属,bi'chi'jue'shu
碧冬茄属,bi'dong'jia'shu
笔花豆属,bi'hua'dou'shu
闭花木属,bi'hua'mu'shu
鼻花属,bi'hua'shu
蓖麻属,bi'ma'shu
荸荠属,bi'qi'shu
闭鞘姜属,bi'qiao'jiang'shu
臂形草属,bi'xing'cao'shu
鼻烟盒树属,bi'yan'he'shu'shu
扁柏属,bian'bai'shu
扁柄草属,bian'bing'cao'shu
鞭打绣球属,bian'da'xiu'qiu'shu
扁担杆属,bian'dan'gan'shu
变豆菜属,bian'dou'cai'shu
扁豆属,bian'dou'shu
蝙蝠草属,bian'fu'cao'shu
蝙蝠葛属,bian'fu'ge'shu
扁果草属,bian'guo'cao'shu
边果蕨属,bian'guo'jue'shu
扁核木属,bian'he'mu'shu
扁蕾属,bian'lei'shu
扁芒草属,bian'mang'cao'shu
扁芒菊属,bian'mang'ju'shu
扁莎草属,bian'sha'cao'shu
扁蒴苣苔属,bian'shuo'ju'tai'shu
扁蒴藤属,bian'shuo'teng'shu
扁穗草属,bian'sui'cao'shu
鞭叶蕨属,bian'ye'jue'shu
变叶木属,bian'ye'mu'shu
扁轴木属,bian'zhou'mu'shu
藨草属,biao'cao'shu
鳔冠花属,biao'guan'hua'shu
藨寄生属,biao'ji'sheng'shu
杓兰属,biao'lan'shu
滨菊属,bin'ju'shu
滨藜属,bin'li'shu
滨木患属,bin'mu'huan'shu
滨紫草属,bin'zi'cao'shu
冰草属,bing'cao'shu
柄翅果属,bing'chi'guo'shu
柄唇兰属,bing'chun'lan'shu
冰岛蓼属,bing'dao'liao'shu
兵豆属,bing'dou'shu
柄盖蕨属,bing'gai'jue'shu
柄果木属,bing'guo'mu'shu
槟榔青属,bing'lang'qing'shu
槟榔属,bing'lang'shu
冰沼草科,bing'zhao'cao'ke
冰沼草属,bing'zhao'cao'shu
菠菜属,bo'cai'shu
薄唇蕨属,bo'chun'jue'shu
驳骨草属,bo'gu'cao'shu
薄荷属,bo'he'shu
伯乐树科,bo'le'shu'ke
伯乐树属,bo'le'shu'shu
波棱瓜属,bo'leng'gua'shu
博落回属,bo'luo'hui'shu
波罗蜜属,bo'luo'mi'shu
播娘蒿属,bo'niang'hao'shu
波喜荡属,bo'xi'dang'shu
捕虫堇属,bu'chong'jin'shu
布袋兰属,bu'dai'lan'shu
补骨脂属,bu'gu'zhi'shu
补血草属,bu'xue'cao'shu
菜豆属,cai'dou'shu
菜豆树属,cai'dou'shu'shu
彩花属,cai'hua'shu
菜蓟属,cai'ji'shu
菜蕨属,cai'jue'shu
采木属,cai'mu'shu
菜棕属,cai'zong'shu
藏豆属,cang'dou'shu
苍耳属,cang'er'shu
藏瓜属,cang'gua'shu
藏荠属,cang'ji'shu
藏芥属,cang'jie'shu
藏榄属,cang'lan'shu
苍山蕨属,cang'shan'jue'shu
藏玄参属,cang'xuan'shen'shu
藏掖花属,cang'ye'hua'shu
苍术属,cang'zhu'shu
糙草属,cao'cao'shu
草苁蓉属,cao'cong'rong'shu
糙果芹属,cao'guo'qin'shu
草海桐科,cao'hai'tong'ke
草海桐属,cao'hai'tong'shu
草胡椒属,cao'hu'jiao'shu
槽裂木属,cao'lie'mu'shu
草莓属,cao'mei'shu
草木犀属,cao'mu'xi'shu
草瑞香属,cao'rui'xiang'shu
草沙蚕属,cao'sha'can'shu
草珊瑚属,cao'shan'hu'shu
槽舌兰属,cao'she'lan'shu
草属,cao'shu
糙苏属,cao'su'shu
草绣球属,cao'xiu'qiu'shu
糙叶树属,cao'ye'shu'shu
草茱萸属,cao'zhu'yu'shu
侧柏属,ce'bai'shu
侧金盏花属,ce'jin'zhan'hua'shu
箣柊属,ce'zhong'shu
梣属,cen'shu
茶藨子属,cha'biao'zi'shu
叉花草属,cha'hua'cao'shu
叉喙兰属,cha'hui'lan'shu
叉蕨科,cha'jue'ke
叉蕨属,cha'jue'shu
茶梨属,cha'li'shu
茶菱属,cha'ling'shu
叉毛蓬属,cha'mao'peng'shu
檫木属,cha'mu'shu
茶条木属,cha'tiao'mu'shu
叉序草属,cha'xu'cao'shu
叉叶蓝属,cha'ye'lan'shu
叉柱花属,cha'zhu'hua'shu
叉柱兰属,cha'zhu'lan'shu
茶茱萸科,cha'zhu'yu'ke
柴胡属,chai'hu'shu
柴龙树属,chai'long'shu'shu
钗子股属,chai'zi'gu'shu
蝉翼藤属,chan'yi'teng'shu
长苞蓝属,chang'bao'lan'shu
长柄荚属,chang'bing'jia'shu
长柄芥属,chang'bing'jie'shu
长柄山蚂蚁属,chang'bing'shan'ma'yi'shu
长春花属,chang'chun'hua'shu
常春木属,chang'chun'mu'shu
常春藤属,chang'chun'teng'shu
长萼木通属,chang'e'mu'tong'shu
长隔木属,chang'ge'mu'shu
长冠苣苔属,chang'guan'ju'tai'shu
长果报春属,chang'guo'bao'chun'shu
长果姜属,chang'guo'jiang'shu
长喙兰属,chang'hui'lan'shu
长节珠属,chang'jie'zhu'shu
肠蕨属,chang'jue'shu
长片蕨属,chang'pian'jue'shu
菖蒲属,chang'pu'shu
长蕊斑种草属,chang'rui'ban'zhong'cao'shu
长蕊琉璃草属,chang'rui'liu'li'cao'shu
长蕊木兰属,chang'rui'mu'lan'shu
长蕊青兰属,chang'rui'qing'lan'shu
常山属,chang'shan'shu
长蒴苣苔属,chang'shuo'ju'tai'shu
长穗花属,chang'sui'hua'shu
长筒蕨属,chang'tong'jue'shu
肠须草属,chang'xu'cao'shu
长檐苣苔属,chang'yan'ju'tai'shu
长柱草属,chang'zhu'cao'shu
长柱琉璃草属,chang'zhu'liu'li'cao'shu
长柱山丹属,chang'zhu'shan'dan'shu
长足兰属,chang'zu'lan'shu
巢蕨属,chao'jue'shu
扯根菜属,che'gen'cai'shu
车前蕨科,che'qian'jue'ke
车前蕨属,che'qian'jue'shu
车前科,che'qian'ke
车前属,che'qian'shu
车前紫草属,che'qian'zi'cao'shu
车桑子属,che'sang'zi'shu
车叶草属,che'ye'cao'shu
车轴草属,che'zhou'cao'shu
沉香属,chen'xiang'shu
秤锤树属,cheng'chui'shu'shu
秤钩风属,cheng'gou'feng'shu
澄广花属,cheng'guang'hua'shu
柽柳科,cheng'liu'ke
柽柳属,cheng'liu'shu
橙桑属,cheng'sang'shu
赤壁木属,chi'bi'mu'shu
赤瓟儿属,chi'bo'er'shu
赤才属,chi'cai'shu
赤苍藤属,chi'cang'teng'shu
赤车属,chi'che'shu
齿稃草属,chi'fu'cao'shu
齿果草属,chi'guo'cao'shu
翅果草属,chi'guo'cao'shu
翅果菊属,chi'guo'ju'shu
翅果蓼属,chi'guo'liao'shu
翅果麻属,chi'guo'ma'shu
翅果藤属,chi'guo'teng'shu
翅鹤虱属,chi'he'shi'shu
赤箭莎属,chi'jian'sha'shu
翅茎草属,chi'jing'cao'shu
翅棱芹属,chi'leng'qin'shu
齿鳞草属,chi'lin'cao'shu
翅鳞莎属,chi'lin'sha'shu
翅膜菊属,chi'mo'ju'shu
翅苹婆属,chi'ping'po'shu
翅实藤属,chi'shi'teng'shu
赤杨叶属,chi'yang'ye'shu
翅叶木属,chi'ye'mu'shu
齿缘草属,chi'yuan'cao'shu
赤竹属,chi'zhu'shu
翅子瓜属,chi'zi'gua'shu
翅子树属,chi'zi'shu'shu
翅子藤科,chi'zi'teng'ke
翅子藤属,chi'zi'teng'shu
重寄生属,chong'ji'sheng'shu
重楼属,chong'lou'shu
虫实属,chong'shi'shu
崇澍蕨属,chong'shu'jue'shu
臭草属,chou'cao'shu
臭常山属,chou'chang'shan'shu
臭椿属,chou'chun'shu
臭荠属,chou'ji'shu
稠李属,chou'li'shu
臭菘属,chou'song'shu
臭樱属,chou'ying'shu
雏菊属,chu'ju'shu
蒭雷草属,chu'lei'cao'shu
串果藤属,chuan'guo'teng'shu
川蔓藻属,chuan'man'zao'shu
川明参属,chuan'ming'can'shu
川木香属,chuan'mu'xiang'shu
穿鞘花属,chuan'qiao'hua'shu
川苔草科,chuan'tai'cao'ke
川犀草属,chuan'xi'cao'shu
穿心草属,chuan'xin'cao'shu
穿心莲属,chuan'xin'lian'shu
川续断科,chuan'xu'duan'ke
川续断属,chuan'xu'duan'shu
川藻属,chuan'zao'shu
垂头菊属,chui'tou'ju'shu
槌柱兰属,chui'zhu'lan'shu
唇萼苣苔属,chun'e'ju'tai'shu
春黄菊属,chun'huang'ju'shu
莼属,chun'shu
唇形科,chun'xing'ke
唇柱苣苔属,chun'zhu'ju'tai'shu
刺柏属,ci'bai'shu
刺苞果属,ci'bao'guo'shu
刺苞菊属,ci'bao'ju'shu
慈姑属,ci'gu'shu
刺冠菊属,ci'guan'ju'shu
刺果芹属,ci'guo'qin'shu
刺果树属,ci'guo'shu'shu
刺果藤属,ci'guo'teng'shu
刺核藤属,ci'he'teng'shu
刺槐属,ci'huai'shu
刺蕨属,ci'jue'shu
刺葵属,ci'kui'shu
刺榄属,ci'lan'shu
刺篱木属,ci'li'mu'shu
刺鳞草科,ci'lin'cao'ke
刺鳞草属,ci'lin'cao'shu
刺毛头黍属,ci'mao'tou'shu'shu
刺茉莉科,ci'mo'li'ke
刺茉莉属,ci'mo'li'shu
刺芹属,ci'qin'shu
刺楸属,ci'qiu'shu
刺蕊草属,ci'rui'cao'shu
刺参属,ci'shen'shu
刺蒴麻属,ci'shuo'ma'shu
刺通草属,ci'tong'cao'shu
刺桐属,ci'tong'shu
刺头菊属,ci'tou'ju'shu
刺续断属,ci'xu'duan'shu
刺叶属,ci'ye'shu
刺芋属,ci'yu'shu
刺榆属,ci'yu'shu
茨藻科,ci'zao'ke
茨藻属,ci'zao'shu
慈竹属,ci'zhu'shu
刺子莞属,ci'zi'guan'shu
丛菔属,cong'fu'shu
葱芥属,cong'jie'shu
葱莲属,cong'lian'shu
楤木属,cong'mu'shu
葱属,cong'shu
葱叶兰属,cong'ye'lan'shu
簇花芹属,cu'hua'qin'shu
簇芥属,cu'jie'shu
粗毛藤属,cu'mao'teng'shu
粗丝木属,cu'si'mu'shu
粗筒苣苔属,cu'tong'ju'tai'shu
簇序草属,cu'xu'cao'shu
粗叶木属,cu'ye'mu'shu
翠柏属,cui'bai'shu
翠菊属,cui'ju'shu
翠蕨属,cui'jue'shu
脆兰属,cui'lan'shu
翠雀属,cui'que'shu
大百合属,da'bai'he'shu
大瓣活属,da'ban'huo'shu
大苞寄生属,da'bao'ji'sheng'shu
大苞姜属,da'bao'jiang'shu
大苞苣苔属,da'bao'ju'tai'shu
大苞兰属,da'bao'lan'shu
大苞鞘花属,da'bao'qiao'hua'shu
达边蕨属,da'bian'jue'shu
大参属,da'can'shu
大翅蓟属,da'chi'ji'shu
大丁草属,da'ding'cao'shu
大豆蔻属,da'dou'kou'shu
大豆属,da'dou'shu
大萼葵属,da'e'kui'shu
大风子科,da'feng'zi'ke
大风子属,da'feng'zi'shu
大合欢属,da'he'huan'shu
大胡椒属,da'hu'jiao'shu
大花草科,da'hua'cao'ke
大花藤属,da'hua'teng'shu
大黄属,da'huang'shu
大喙兰属,da'hui'lan'shu
大戟科,da'ji'ke
大戟属,da'ji'shu
大节竹属,da'jie'zhu'shu
大丽花属,da'li'hua'shu
大麻属,da'ma'shu
大麦属,da'mai'shu
大明竹属,da'ming'zhu'shu
大膜盖蕨属,da'mo'gai'jue'shu
大薸属,da'piao'shu
大青属,da'qing'shu
大沙叶属,da'sha'ye'shu
大蒜芥属,da'suan'jie'shu
大头茶属,da'tou'cha'shu
打碗花属,da'wan'hua'shu
大吴风草属,da'wu'feng'cao'shu
大血藤属,da'xue'teng'shu
大叶藤属,da'ye'teng'shu
大叶藻属,da'ye'zao'shu
大叶子属,da'ye'zi'shu
大翼豆属,da'yi'dou'shu
大油芒属,da'you'mang'shu
大爪草属,da'zhao'cao'shu
大钟花属,da'zhong'hua'shu
大柱藤属,da'zhu'teng'shu
呆白菜属,dai'bai'cai'shu
袋唇兰属,dai'chun'lan'shu
带唇兰属,dai'chun'lan'shu
代儿茶属,dai'er'cha'shu
袋果草属,dai'guo'cao'shu
戴星草属,dai'xing'cao'shu
带叶兰属,dai'ye'lan'shu
带状瓶尔小草属,dai'zhuang'ping'er'xiao'cao'shu
单侧花属,dan'ce'hua'shu
单刺蓬属,dan'ci'peng'shu
单花荠属,dan'hua'ji'shu
蛋黄果属,dan'huang'guo'shu
单球芹属,dan'qiu'qin'shu
单蕊草属,dan'rui'cao'shu
单蕊麻属,dan'rui'ma'shu
单室茱萸属,dan'shi'zhu'yu'shu
单性木兰属,dan'xing'mu'lan'shu
单序草属,dan'xu'cao'shu
单叶豆属,dan'ye'dou'shu
单叶假脉蕨属,dan'ye'jia'mai'jue'shu
单叶藤橘属,dan'ye'teng'ju'shu
单枝竹属,dan'zhi'zhu'shu
淡竹叶属,dan'zhu'ye'shu
单座苣苔属,dan'zuo'ju'tai'shu
当归属,dang'gui'shu
党参属,dang'shen'shu
稻槎菜属,dao'cha'cai'shu
倒地铃属,dao'di'ling'shu
倒吊笔属,dao'diao'bi'shu
倒吊兰属,dao'diao'lan'shu
刀豆属,dao'dou'shu
倒挂金钟属,dao'gua'jin'zhong'shu
稻属,dao'shu
倒缨木属,dao'ying'mu'shu
灯台树属,deng'tai'shu'shu
灯心草科,deng'xin'cao'ke
灯心草属,deng'xin'cao'shu
地宝兰属,di'bao'lan'shu
地胆草属,di'dan'cao'shu
地耳蕨属,di'er'jue'shu
地肤属,di'fu'shu
地构叶属,di'gou'ye'shu
地桂属,di'gui'shu
地海椒属,di'hai'jiao'shu
地黄连属,di'huang'lian'zhu
地黄属,di'huang'shu
地锦属,di'jin'shu
地皮消属,di'pi'xiao'shu
地蔷薇属,di'qiang'wei'shu
荻属,di'shu
地笋属,di'sun'shu
地毯草属,di'tan'cao'shu
棣棠花属,di'tang'hua'shu
地杨梅属,di'yang'mei'shu
地杨桃属,di'yang'tao'shu
低药兰属,di'yao'lan'shu
地涌金莲属,di'yong'jin'lian'shu
地榆属,di'yu'shu
滇藏细叶芹属,dian'cang'xi'ye'qin'shu
滇赤才属,dian'chi'cai'shu
电灯花属,dian'deng'hua'shu
点地梅属,dian'di'mei'shu
滇丁香属,dian'ding'xiang'shu
滇蕨属,dian'jue'shu
滇兰属,dian'lan'shu
颠茄属,dian'qie'shu
滇芹属,dian'qin'shu
滇桐属,dian'tong'shu
滇芎属,dian'xiong'shu
垫紫草属,dian'zi'cao'shu
滇紫草属,dian'zi'cao'shu
吊灯花属,diao'deng'hua'shu
吊灯树属,diao'deng'shu'shu
吊兰属,diao'lan'shu
吊石苣苔属,diao'shi'ju'tai'shu
凋缨菊属,diao'ying'ju'shu
吊钟花属,diao'zhong'hua'shu
蝶豆属,die'dou'shu
叠鞘兰属,die'qiao'lan'shu
蝶须属,die'xu'shu
顶冰花属,ding'bing'hua'shu
丁公藤属,ding'gong'teng'shu
丁癸草属,ding'gui'cao'shu
顶果树属,ding'guo'shu'shu
丁茜属,ding'qian'shu
钉头果属,ding'tou'guo'shu
丁香蓼属,ding'xiang'liao'shu
丁香属,ding'xiang'shu
定心藤属,ding'xin'teng'shu
顶羽菊属,ding'yu'ju'shu
顶育蕨属,ding'yu'jue'shu
东俄芹属,dong'e'qin'shu
东风菜属,dong'feng'cai'shu
冬瓜属,dong'gua'shu
冬红属,dong'hong'shu
东京桐属,dong'jing'tong'shu
冬麻豆属,dong'ma'dou'shu
冬青科,dong'qing'ke
冬青属,dong'qing'shu
动蕊花属,dong'rui'hua'shu
东爪草属,dong'zhao'cao'shu
豆瓣菜属,dou'ban'cai'shu
兜被兰属,dou'bei'lan'shu
豆腐柴属,dou'fu'chai'shu
豆科,dou'ke
豆蔻属,dou'kou'shu
兜兰属,dou'lan'shu
都丽菊属,dou'li'ju'shu
兜藜属,dou'li'shu
豆列当属,dou'lie'dang'shu
兜蕊兰属,dou'rui'lan'shu
豆薯属,dou'shu'shu
毒扁豆属,du'bian'dou'shu
毒参属,du'can'shu
毒豆属,du'dou'shu
独根草属,du'gen'cao'shu
杜根藤属,du'gen'teng'shu
毒瓜属,du'gua'shu
独花报春属,du'hua'bao'chun'shu
独花兰属,du'hua'lan'shu
独活属,du'huo'shu
独脚金属,du'jiao'jin'shu
杜茎山属,du'jing'shan'shu
杜鹃花科,du'juan'hua'ke
杜鹃兰属,du'juan'lan'shu
杜鹃属,du'juan'shu
独丽花属,du'li'hua'shu
杜楝属,du'lian'shu
度量草属,du'liang'cao'shu
毒芹属,du'qin'shu
杜若属,du'ruo'shu
毒鼠子科,du'shu'zi'ke
毒鼠子属,du'shu'zi'shu
独蒜兰属,du'suan'lan'shu
独尾草属,du'wei'cao'shu
杜香属,du'xiang'shu
独行菜属,du'xing'cai'shu
毒药树属,du'yao'shu'shu
独叶草属,du'ye'cao'shu
独一味属,du'yi'wei'shu
杜英科,du'ying'ke
杜英属,du'ying'shu
杜仲科,du'zhong'ke
杜仲属,du'zhong'shu
杜仲藤属,du'zhong'teng'shu
短瓣花属,duan'ban'hua'shu
短瓣兰属,duan'ban'lan'shu
短柄草属,duan'bing'cao'shu
短肠蕨属,duan'chang'jue'shu
短萼齿木属,duan'e'chi'mu'shu
短冠草属,duan'guan'cao'shu
断节莎属,duan'jie'sha'shu
短舌菊属,duan'she'ju'shu
椴树科,duan'shu'ke
椴树属,duan'shu'shu
短穗竹属,duan'sui'zhu'shu
短筒苣苔属,duan'tong'ju'tai'shu
短星菊属,duan'xing'ju'shu
短檐苣苔属,duan'yan'ju'tai'shu
短颖草属,duan'ying'cao'shu
对刺藤属,dui'ci'teng'shu
对节刺属,dui'jie'ci'shu
对开蕨属,dui'kai'jue'shu
对叶兰属,dui'ye'lan'shu
对叶盐蓬属,dui'ye'yan'peng'shu
盾苞藤属,dun'bao'teng'shu
钝背草属,dun'bei'cao'shu
盾柄兰属,dun'bing'lan'shu
盾翅藤属,dun'chi'teng'shu
盾果草属,dun'guo'cao'shu
钝果寄生属,dun'guo'ji'sheng'shu
钝基草属,dun'ji'cao'shu
盾蕨属,dun'jue'shu
盾片蛇菰属,dun'pian'she'gu'shu
钝叶草属,dun'ye'cao'shu
盾叶苣苔属,dun'ye'ju'tai'shu
盾柱木属,dun'zhu'mu'shu
盾柱属,dun'zhu'shu
盾座苣苔属,dun'zuo'ju'tai'shu
多瓣核果茶属,duo'ban'he'guo'cha'shu
多核果属,duo'he'guo'shu
多荚草属,duo'jia'cao'shu
多榔菊属,duo'lang'ju'shu
多轮草属,duo'lun'cao'shu
多蕊木属,duo'rui'mu'shu
多穗兰属,duo'sui'lan'shu
多香木属,duo'xiang'mu'shu
多裔草属,duo'yi'cao'shu
桗栘属,duo'yi'shu
多足蕨属,duo'zu'jue'shu
峨参属,e'can'shu
鹅肠菜属,e'chang'cai'shu
萼翅藤属,e'chi'teng'shu
鹅耳枥属,e'er'li'shu
鹅观草属,e'guan'cao'shu
萼脊兰属,e'ji'lan'shu
萼距花属,e'ju'hua'shu
鳄梨属,e'li'shu
蛾眉蕨属,e'mei'jue'shu
峨屏草属,e'ping'cao'shu
鹅绒藤属,e'rong'teng'shu
鹅掌柴属,e'zhang'chai'shu
鹅掌楸属,e'zhang'qiu'shu
鳄嘴花属,e'zui'hua'shu
耳草属,er'cao'shu
耳唇兰属,er'chun'lan'shu
耳稃草属,er'fu'cao'shu
耳菊属,er'ju'shu
耳蕨属,er'jue'shu
二尾兰属,er'wei'lan'shu
二型花属,er'xing'hua'shu
二行芥属,er'xing'jie'shu
耳药花属,er'yao'hua'shu
二药藻属,er'yao'zao'shu
耳叶马蓝属,er'ye'ma'lan'shu
发草属,fa'cao'shu
反唇兰属,fan'chun'lan'shu
翻唇兰属,fan'chun'lan'shu
番红花属,fan'hong'hua'shu
番荔枝科,fan'li'zhi'ke
番荔枝属,fan'li'zhi'shu
番龙眼属,fan'long'yan'shu
繁缕属,fan'lv'shu
番木瓜科,fan'mu'gua'ke
番木瓜属,fan'mu'gua'shu
番茄属,fan'qie'shu
番石榴属,fan'shi'liu'shu
番薯属,fan'shu'shu
梵天花属,fan'tian'hua'shu
番杏科,fan'xing'ke
番杏属,fan'xing'shu
番樱桃属,fan'ying'tao'shu
方鼎木属,fang'ding'mu'shu
防风属,fang'feng'shu
方秆蕨属,fang'gan'jue'shu
防己科,fang'ji'ke
方茎草属,fang'jing'cao'shu
肺草属,fei'cao'shu
飞蛾藤属,fei'e'teng'shu
肥根兰属,fei'gen'lan'shu
飞廉属,fei'lian'shu
飞龙掌血属,fei'long'zhang'xue'shu
肥牛树属,fei'niu'shu'shu
飞蓬属,fei'peng'shu
飞瀑草属,fei'pu'cao'shu
榧树属,fei'shu'shu
飞燕草属,fei'yan'cao'shu
肥皂草属,fei'zao'cao'shu
肥皂荚属,fei'zao'jia'shu
菲柞属,fei'zha'shu
非洲楝属,fei'zhou'lian'shu
粉苞菊属,fen'bao'ju'shu
粉背蕨属,fen'bei'jue'shu
粉口兰属,fen'kou'lan'shu
粉绿藤属,fen'lv'teng'shu
粉条儿菜属,fen'tiao'er'cai'shu
分药花属,fen'yao'hua'shu
粉叶蕨属,fen'ye'jue'shu
风车子属,feng'che'zi'shu
蜂出巢属,feng'chu'chao'shu
风吹楠属,feng'chui'nan'shu
凤蝶兰属,feng'die'lan'shu
蜂斗菜属,feng'dou'cai'shu
蜂斗草属,feng'dou'cao'shu
丰花草属,feng'hua'cao'shu
凤凰木属,feng'huang'mu'shu
风兰属,feng'lan'shu
凤梨科,feng'li'ke
凤梨属,feng'li'shu
风铃草属,feng'ling'cao'shu
风龙属,feng'long'shu
风轮菜属,feng'lun'cai'shu
风轮桐属,feng'lun'tong'shu
锋芒草属,feng'mang'cao'shu
风毛菊属,feng'mao'ju'shu
凤头黍属,feng'tou'shu'shu
凤尾蕨科,feng'wei'jue'ke
凤尾蕨属,feng'wei'jue'shu
凤仙花科,feng'xian'hua'ke
凤仙花属,feng'xian'hua'shu
风箱果属,feng'xiang'guo'shu
风箱树属,feng'xiang'shu'shu
枫香树属,feng'xiang'shu'shu
凤丫蕨属,feng'ya'jue'shu
凤眼蓝属,feng'yan'lan'shu
枫杨属,feng'yang'shu
蜂腰兰属,feng'yao'lan'shu
