阿日,a'ri
筛筛地豆米大哥马得虾老弟,shai'shai'di'dou'mi'da'ge'ma'de'xia'lao'di
山儿,shan'er
衫裤,shan'ku
烧燶,shao'nong
食饭,shi'fan
屎忽,shi'hu
屎忽痒,shi'hu'yang
时时熟熟三文六,shi'shi'shu'shu'san'wen'liu
十五月亮真真真,shi'wu'yue'liang'zhen'zhen'zhen
食嘢,shi'ye
手骨,shou'gu
熟鸡,shu'ji
熟鸡过洞尾拖拖,shu'ji'guo'dong'wei'tuo'tuo
爽斗,shuang'dou
水碾,shui'nian
死开你去,si'kai'ni'qu
缩窿,suo'long
缩窿蛤,suo'long'ge
搪挎,tang'kua
镗羊,tang'yang
劏豬,tang'zhu
劏豬作社,tang'zhu'zuo'she
田城,tian'cheng
天马嗨光地马嗨亮,tian'ma'hai'guang'di'ma'hai'liang
天簌簌地簌簌,tian'su'su'di'su'su
添之,tian'zhi
粜谷,tiao'gu
粜米,tiao'mi
头报冇值钱二报值三千,tou'bao'mao'zhi'qian'er'bao'zhi'san'qian
外父佬,wai'fu'lao
外姆婆,wai'mu'po
喂猪匾狗,wei'zhu'bian'gou
喂猪荡狗,wei'zhu'dang'gou
唔凯,wu'kai
唔里,wu'li
唔朴,wu'pu
唔声狗咬死人,wu'sheng'gou'yao'si'ren
唔溪,wu'xi
细姑,xi'gu
细姑大姐,xi'gu'da'jie
虾己,xia'ji
虾你,xia'ni
虾我,xia'wo
行路,xing'lu
学子,xue'zi
盐西,yan'xi
啱先,yan'xian
啱啱,yan'yan
啱啱线,yan'yan'xian
羊古,yang'gu
野儿,ye'er
夜晚,ye'wan
嘢西,ye'xi
夜宵,ye'xiao
一代亲二代表,yi'dai'qin'er'dai'biao
一只老矮矮矮,yi'zhi'lao'ai'ai'ai
饮水,yin'shui
饮水酒,yin'shui'jiu
饮醒,yin'xing
银牙菜,yin'ya'cai
银纸,yin'zhi
有排着事,you'pai'zhe'shi
月亮真真姑娘好洗身,yue'liang'zhen'zhen'gu'niang'hao'xi'shen
晕头鸡,yun'tou'ji
早朝,zao'chao
着水石灰河河发啊,zhao'shui'shi'hui'he'he'fa'a
着默,zhe'mo
斟一斟,zhen'yi'zhen
斟斟先,zhen'zhen'xian
中间村,zhong'jian'cun
自众人,zi'zhong'ren
作社,zuo'she
作生,zuo'sheng
左生,zuo'sheng
做贴,zuo'tie
