阿里红,a'li'hong
薄树灵芝,bao'shu'ling'zhi
薄硬皮马勃,bao'ying'pi'ma'bo
背柄紫灵芝,bei'bing'zi'ling'zhi
北虫草,bei'chong'cao
杯珊瑚菌,bei'shan'hu'jun
贝形刺革菌,bei'xing'ci'ge'jun
杯形秃马勃,bei'xing'tu'ma'bo
贝状木层孔菌,bei'zhuang'mu'ceng'kong'jun
篦边红菇,bi'bian'hong'gu
变黑红菇,bian'hei'hong'gu
变红齿菌,bian'hong'chi'jun
变绿枝珊瑚菌,bian'lv'zhi'shan'hu'jun
扁韧革菌,bian'ren'ge'jun
变色红菇,bian'se'hong'gu
柄灰包,bing'hui'bao
柄灰锤,bing'hui'chui
钹孔菌,bo'kong'jun
薄皮纤孔菌,bo'pi'xian'kong'jun
波缘多孔菌,bo'yuan'duo'kong'jun
波缘盘菌,bo'yuan'pan'jun
布里丝膜菌,bu'li'si'mo'jun
不整囊菌纲,bu'zheng'nang'jun'gang
残托斑鹅膏菌,can'tuo'ban'e'gao'jun
苍白鸡油菌,cang'bai'ji'you'jun
苍白乳菇,cang'bai'ru'gu
草地蘑菇,cao'di'mo'gu
草菇,cao'gu
槽荀革菌,cao'xun'ge'jun
草野栓菌,cao'ye'shuan'jun
茶藨子葡萄座腔菌,cha'biao'zi'pu'tao'zuo'qiang'jun
茶病灵芝,cha'bing'ling'zhi
茶褐黄菇,cha'he'huang'gu
茶色银耳,cha'se'yin'er
长白毛杯菌,chang'bai'mao'bei'jun
长棒瑚菌,chang'bang'hu'jun
长柄静灰球菌,chang'bing'jing'hui'qiu'jun
长柄炭角菌,chang'bing'tan'jiao'jun
长柄秃马勃,chang'bing'tu'ma'bo
长刺白齿耳菌,chang'ci'bai'chi'er'jun
长刺马勃,chang'ci'ma'bo
长茎黄枝瑚菌,chang'jing'huang'zhi'hu'jun
长茎枝瑚菌,chang'jing'zhi'hu'jun
长毛囊孔菌,chang'mao'nang'kong'jun
潮湿乳菇,chao'shi'ru'gu
橙环锈伞,cheng'huan'xiu'san
橙黄革菌,cheng'huang'ge'jun
橙黄褐韧伞,cheng'huang'he'ren'san
橙黄蘑菇,cheng'huang'mo'gu
橙黄银耳,cheng'huang'yin'er
橙黄硬皮马勃,cheng'huang'ying'pi'ma'bo
齿贝栓菌,chi'bei'shuan'jun
齿环球盖菇,chi'huan'qiu'gai'gu
虫形珊瑚菌,chong'xing'shan'hu'jun
垂头虫草,chui'tou'chong'cao
纯黄竹荪,chun'huang'zhu'sun
刺孢地菇,ci'bao'di'gu
丛梗孢目,cong'geng'bao'mu
丛片韧革菌,cong'pian'ren'ge'jun
丛生炭角菌,cong'sheng'tan'jiao'jun
粗柄蘑菇,cu'bing'mo'gu
粗毛黄褐孔菌,cu'mao'huang'he'kong'jun
粗毛栓菌,cu'mao'shuan'jun
粗皮灵芝,cu'pi'ling'zhi
粗皮秃马勃,cu'pi'tu'ma'bo
簇生黄韧伞,cu'sheng'huang'ren'san
大白桩菇,da'bai'zhuang'gu
大孢花褶伞,da'bao'hua'zhe'san
大孢硬皮马勃,da'bao'ying'pi'ma'bo
大别山灵芝,da'bie'shan'ling'zhi
大丛耳菌,da'cong'er'jun
大肥蘑菇,da'fei'mo'gu
大盖小皮伞,da'gai'xiao'pi'san
大红菇,da'hong'gu
大孔菌,da'kong'jun
大口静灰球菌,da'kou'jing'hui'qiu'jun
大毛木耳,da'mao'mu'er
大青褶伞,da'qing'zhe'san
大肉齿耳菌,da'rou'chi'er'jun
大丝膜菌,da'si'mo'jun
大团囊虫草,da'tuan'nang'chong'cao
大朱菇,da'zhu'gu
大紫蘑菇,da'zi'mo'gu
袋形地星,dai'xing'di'xing
单鞭毛菌目,dan'bian'mao'jun'mu
淡红枝瑚菌,dan'hong'zhi'hu'jun
淡黄蘑菇,dan'huang'mo'gu
淡黄木层孔菌,dan'huang'mu'ceng'kong'jun
淡黄乳菇,dan'huang'ru'gu
单色云芝,dan'se'yun'zhi
淡紫红菇,dan'zi'hong'gu
稻绿核菌,dao'lv'he'jun
地毛柄环锈伞,di'mao'bing'huan'xiu'san
点柄臭黄菇,dian'bing'chou'huang'gu
垫状银耳,dian'zhuang'yin'er
碟形马鞍菌,die'xing'ma'an'jun
东方栓菌,dong'fang'shuan'jun
东方纤孔菌,dong'fang'xian'kong'jun
豆包菌,dou'bao'jun
毒光盖伞,du'guang'gai'san
毒蘑菇,du'mo'gu
毒蕈,du'xun
毒蝇鹅膏菌,du'ying'e'gao'jun
短孢黄绿红菇,duan'bao'huang'lv'hong'gu
短柄大丛耳菌,duan'bing'da'cong'er'jun
短柄蘑菇,duan'bing'mo'gu
短棱柄盘菌,duan'leng'bing'pan'jun
端圆白蚁伞,duan'yuan'bai'yi'san
盾形木耳,dun'xing'mu'er
多分枝灵芝,duo'fen'zhi'ling'zhi
多口地星,duo'kou'di'xing
多年拟层孔菌,duo'nian'ni'ceng'kong'jun
多腔菌目,duo'qiang'jun'mu
多形马勃,duo'xing'ma'bo
多形炭角菌,duo'xing'tan'jiao'jun
多汁乳菇,duo'zhi'ru'gu
耳匙菌,er'shi'jun
发酵食品微生物,fa'jiao'shi'pin'wei'sheng'wu
芳香杯伞,fang'xiang'bei'san
芳香喇叭菌,fang'xiang'la'ba'jun
费赖斯鬼伞,fei'lai'si'gui'san
粪鬼伞,fen'gui'san
粉红粘帚菌,fen'hong'zhan'zhou'jun
粉黄红菇,fen'huang'hong'gu
粉迷孔菌,fen'mi'kong'jun
粉肉拟层孔菌,fen'rou'ni'ceng'kong'jun
分生孢子盘,fen'sheng'bao'zi'pan
粪生光盖伞,fen'sheng'guang'gai'san
粪土生光盖伞,fen'tu'sheng'guang'gai'san
粉粘粪锈伞,fen'zhan'fen'xiu'san
粉褶乳菇,fen'zhe'ru'gu
缝裂木层孔菌,feng'lie'mu'ceng'kong'jun
蜂头虫草,feng'tou'chong'cao
蜂窝孢猪地菇,feng'wo'bao'zhu'di'gu
辐毛鬼伞,fu'mao'gui'san
腐生菌,fu'sheng'jun
富硒酵母,fu'xi'jiao'mu
干巴革菌,gan'ba'ge'jun
橄榄色红菇,gan'lan'se'hong'gu
橄榄褶乳菇,gan'lan'zhe'ru'gu
干朽菌,gan'xiu'jun
高粱坚轴黑粉菌,gao'liang'jian'zhou'hei'fen'jun
高山猴头菌,gao'shan'hou'tou'jun
高羊肚菌,gao'yang'du'jun
根霉属,gen'mei'shu
根肿菌目,gen'zhong'jun'mu
拱状灵芝,gong'zhuang'ling'zhi
古巴光盖伞,gu'ba'guang'gai'san
骨质多孔菌,gu'zhi'duo'kong'jun
冠锁瑚菌,guan'suo'hu'jun
冠突多孔菌,guan'tu'duo'kong'jun
管形鸡油菌,guan'xing'ji'you'jun
光盖大孔菌,guang'gai'da'kong'jun
光黄丝膜菌,guang'huang'si'mo'jun
光皮马勃,guang'pi'ma'bo
光头鬼伞,guang'tou'gui'san
鲑贝云芝,gui'bei'yun'zhi
鬼笔目,gui'bi'mu
鬼笔状钉灰包,gui'bi'zhuang'ding'hui'bao
桂花耳,gui'hua'er
鲑色乳菇,gui'se'ru'gu
果生炭角菌,guo'sheng'tan'jiao'jun
哈尔蒂木层孔菌,ha'er'di'mu'ceng'kong'jun
海绵皮孔菌,hai'mian'pi'kong'jun
海南灵芝,hai'nan'ling'zhi
褐白肉齿菌,he'bai'rou'chi'jun
褐薄芝,he'bao'zhi
褐柄灰包,he'bing'hui'bao
褐柄灰锤,he'bing'hui'chui
褐侧盘菌,he'ce'pan'jun
褐黄木耳,he'huang'mu'er
褐黄韧伞,he'huang'ren'san
褐黄纤孔菌,he'huang'xian'kong'jun
褐鳞环柄菇,he'lin'huan'bing'gu
褐鳞蘑菇,he'lin'mo'gu
核盘菌,he'pan'jun
褐皮马勃,he'pi'ma'bo
禾生指梗霉,he'sheng'zhi'geng'mei
褐血耳,he'xue'er
褐亚脐菇,he'ya'qi'gu
褐粘褶菌,he'zhan'zhe'jun
褐赭色羊肚菌,he'zhe'se'yang'du'jun
褐紫红菇,he'zi'hong'gu
褐紫囊孔菌,he'zi'nang'kong'jun
黑柄拟多孔菌,hei'bing'ni'duo'kong'jun
黑柄炭角菌,hei'bing'tan'jiao'jun
黑腹菌,hei'fu'jun
黑根须腹菌,hei'gen'xu'fu'jun
黑褐乳菇,hei'he'ru'gu
黑胶耳,hei'jiao'er
黑脉羊肚菌,hei'mai'yang'du'jun
黑肉假芝,hei'rou'jia'zhi
黑乳菇,hei'ru'gu
黑芝,hei'zhi
黑皱木耳,hei'zhou'mu'er
黑紫红菇,hei'zi'hong'gu
黑紫马勃,hei'zi'ma'bo
红斑干酪菌,hong'ban'gan'lao'jun
红斑黄菇,hong'ban'huang'gu
红贝栓菌,hong'bei'shuan'jun
红边绿菇,hong'bian'lv'gu
红柄丛枝瑚菌,hong'bing'cong'zhi'hu'jun
红佛手菌,hong'fo'shou'jun
红根须腹菌,hong'gen'xu'fu'jun
红菇,hong'gu
红鬼笔,hong'gui'bi
红褐乳菇,hong'he'ru'gu
红鸡油菌,hong'ji'you'jun
红颊拟层孔菌,hong'jia'ni'ceng'kong'jun
红笼头菌,hong'long'tou'jun
红马勃,hong'ma'bo
红拟迷孔菌,hong'ni'mi'kong'jun
红拟锁瑚菌,hong'ni'suo'hu'jun
红皮美口菌,hong'pi'mei'kou'jun
红曲菌,hong'qu'jun
红肉蘑菇,hong'rou'mo'gu
红肉拟层孔菌,hong'rou'ni'ceng'kong'jun
红锈刺革菌,hong'xiu'ci'ge'jun
红疣柄牛肝菌,hong'you'bing'niu'gan'jun
红缘拟层孔菌,hong'yuan'ni'ceng'kong'jun
红枝瑚菌,hong'zhi'hu'jun
红汁乳菇,hong'zhi'ru'gu
红棕肉座菌,hong'zong'rou'zuo'jun
猴头蘑,hou'tou'mo
壶菌目,hu'jun'mu
胡桃肉状菌,hu'tao'rou'zhuang'jun
虎掌刺银耳,hu'zhang'ci'yin'er
花盖菇,hua'gai'gu
华南假芝,hua'nan'jia'zhi
花褶伞,hua'zhe'san
槐栓菌,huai'shuan'jun
环柄香菇,huan'bing'xiang'gu
环孔菌,huan'kong'jun
环棱黄褐孔菌,huan'leng'huang'he'kong'jun
环纹苦乳菇,huan'wen'ku'ru'gu
环形丽齿菌,huan'xing'li'chi'jun
黄白卧孔菌,huang'bai'wo'kong'jun
黄斑绿菇,huang'ban'lv'gu
黄斑蘑菇,huang'ban'mo'gu
黄孢红菇,huang'bao'hong'gu
黄薄芝,huang'bao'zhi
黄孢紫菇,huang'bao'zi'gu
黄柄笼头菌,huang'bing'long'tou'jun
黄柄小孔菌,huang'bing'xiao'kong'jun
黄地锤,huang'di'chui
黄地勺菌,huang'di'shao'jun
黄多孔菌,huang'duo'kong'jun
黄盖丝膜菌,huang'gai'si'mo'jun
黄褐光盖伞,huang'he'guang'gai'san
黄花耳,huang'hua'er
黄花丝膜菌,huang'hua'si'mo'jun
黄孔灵芝,huang'kong'ling'zhi
黄鳞多孔菌,huang'lin'duo'kong'jun
黄鳞环锈伞,huang'lin'huan'xiu'san
黄灵芝,huang'ling'zhi
黄毛乳菇,huang'mao'ru'gu
黄囊孔菌,huang'nang'kong'jun
黄伞,huang'san
黄卧孔菌,huang'wo'kong'jun
黄硬皮马勃,huang'ying'pi'ma'bo
黄皱孔菌,huang'zhou'kong'jun
灰包菇,hui'bao'gu
灰高脚盘菌,hui'gao'jiao'pan'jun
灰褐鸡油菌,hui'he'ji'you'jun
灰褐马鞍菌,hui'he'ma'an'jun
灰褐乳菇,hui'he'ru'gu
灰喇叭菌,hui'la'ba'jun
灰色锁瑚菌,hui'se'suo'hu'jun
灰树花,hui'shu'hua
灰紫香蘑,hui'zi'xiang'mo
火木层孔菌,huo'mu'ceng'kong'jun
鸡冠孢芝,ji'guan'bao'zhi
笄霉属,ji'mei'shu
棘托竹荪,ji'tuo'zhu'sun
畸形外囊菌,ji'xing'wai'nang'jun
鸡油菌,ji'you'jun
鸡足山乳菇,ji'zu'shan'ru'gu
假大白菇,jia'da'bai'gu
假根蘑菇,jia'gen'mo'gu
假黑盘菌,jia'hei'pan'jun
假猴头菌,jia'hou'tou'jun
家园鬼伞,jia'yuan'gui'san
加州蘑菇,jia'zhou'mo'gu
尖顶地星,jian'ding'di'xing
尖顶乳菇,jian'ding'ru'gu
尖顶丝膜菌,jian'ding'si'mo'jun
尖顶羊肚菌,jian'ding'yang'du'jun
尖峰岭灵芝,jian'feng'ling'ling'zhi
茧皮伏革菌,jian'pi'fu'ge'jun
尖褶红菇,jian'zhe'hong'gu
尖枝瑚菌,jian'zhi'hu'jun
茭白黑粉菌,jiao'bai'hei'fen'jun
较高丝膜菌,jiao'gao'si'mo'jun
胶角菌,jiao'jiao'jun
角拟锁瑚菌,jiao'ni'suo'hu'jun
焦色炭团菌,jiao'se'tan'tuan'jun
胶珊耳菌,jiao'shan'er'jun
胶陀螺,jiao'tuo'luo
角质木耳,jiao'zhi'mu'er
胶质肉座菌,jiao'zhi'rou'zuo'jun
角质亚肉座菌,jiao'zhi'ya'rou'zuo'jun
胶皱孔菌,jiao'zhou'kong'jun
接骨木干酪菌,jie'gu'mu'gan'lao'jun
截头炭团菌,jie'tou'tan'tuan'jun
近白鸡油菌,jin'bai'ji'you'jun
金顶侧耳,jin'ding'ce'er
金耳,jin'er
金黄鸡油菌,jin'huang'ji'you'jun
金黄喇叭菌,jin'huang'la'ba'jun
金黄鳞盖菇,jin'huang'lin'gai'gu
金黄银耳,jin'huang'yin'er
金黄硬皮马勃,jin'huang'ying'pi'ma'bo
金色枝瑚菌,jin'se'zhi'hu'jun
堇紫珊瑚菌,jin'zi'shan'hu'jun
晶粒鬼伞,jing'li'gui'san
具柄灵芝,ju'bing'ling'zhi
卷须齿耳菌,juan'xu'chi'er'jun
龟裂秃马勃,jun'lie'tu'ma'bo
菌索蘑菇,jun'suo'mo'gu
壳丝枝瑚菌,ke'si'zhi'hu'jun
块状杯盘菌,kuai'zhuang'bei'pan'jun
宽鳞大孔菌,kuan'lin'da'kong'jun
宽圆羊肚菌,kuan'yuan'yang'du'jun
宽褶革褶菌,kuan'zhe'ge'zhe'jun
宽褶黑乳菇,kuan'zhe'hei'ru'gu
喇叭陀螺菌,la'ba'tuo'luo'jun
蓝柄丽齿菌,lan'bing'li'chi'jun
蓝灰干酪菌,lan'hui'gan'lao'jun
蓝绿乳菇,lan'lv'ru'gu
蓝丝膜菌,lan'si'mo'jun
肋脉羊肚菌,lei'mai'yang'du'jun
肋状皱盘菌,lei'zhuang'zhou'pan'jun
棱边马勃,leng'bian'ma'bo
棱柄马鞍菌,leng'bing'ma'an'jun
冷杉囊孔菌,leng'shan'nang'kong'jun
栗黑褐拟层孔菌,li'hei'he'ni'ceng'kong'jun
梨红菇,li'hong'gu
粒皮马勃,li'pi'ma'bo
沥青色乳菇,li'qing'se'ru'gu
栗色丝膜菌,li'se'si'mo'jun
粒状大团囊菌,li'zhuang'da'tuan'nang'jun
镰刀菌属,lian'dao'jun'shu
莲座革菌,lian'zuo'ge'jun
亮色丝膜菌,liang'se'si'mo'jun
凉山虫草,liang'shan'chong'cao
亮炭球菌,liang'tan'qiu'jun
裂迭灵芝,lie'die'ling'zhi
裂顶柄包,lie'ding'bing'bao
裂顶柄灰锤,lie'ding'bing'hui'chui
裂干酪菌,lie'gan'lao'jun
裂蹄木层孔菌,lie'ti'mu'ceng'kong'jun
裂褶菌,lie'zhe'jun
林地蘑菇,lin'di'mo'gu
林地盘菌,lin'di'pan'jun
鳞盖韧伞,lin'gai'ren'san
菱红菇,ling'hong'gu
灵芝,ling'zhi
灵芝属,ling'zhi'shu
瘤孢地菇,liu'bao'di'gu
硫黄菌,liu'huang'jun
隆纹黑蛋巢菌,long'wen'hei'dan'chao'jun
漏斗大孔菌,lou'dou'da'kong'jun
漏斗鸡油菌,lou'dou'ji'you'jun
鹿胶角菌,lu'jiao'jiao'jun
鹿角炭角菌,lu'jiao'tan'jiao'jun
卵菌门,luan'jun'men
落叶松革褶菌,luo'ye'song'ge'zhe'jun
绿小碗菌,lv'xiao'wan'jun
绿真菌,lv'zhen'jun
马鞍菌,ma'an'jun
马勃目,ma'bo'mu
马勃状硬皮马勃,ma'bo'zhuang'ying'pi'ma'bo
麦角菌,mai'jiao'jun
麦散黑粉菌,mai'san'hei'fen'jun
镘形灵芝,man'xing'ling'zhi
毛柄钉灰包,mao'bing'ding'hui'bao
毛柄库恩菌,mao'bing'ku'en'jun
毛带褐薄芝,mao'dai'he'bao'zhi
毛蜂窝菌,mao'feng'wo'jun
毛盖干酪菌,mao'gai'gan'lao'jun
毛盖绵皮孔菌,mao'gai'mian'pi'kong'jun
毛革盖菌,mao'ge'gai'jun
毛咀地星,mao'ju'di'xing
毛霉属,mao'mei'shu
毛云芝,mao'yun'zhi
玫瑰柄红菇,mei'gui'bing'hong'gu
玫瑰红菇,mei'gui'hong'gu
玫色栓菌,mei'se'shuan'jun
美味齿菌,mei'wei'chi'jun
美洲丛耳菌,mei'zhou'cong'er'jun
美洲环柄菇,mei'zhou'huan'bing'gu
蒙古灵芝,meng'gu'ling'zhi
蜜环丝膜菌,mi'huan'si'mo'jun
蜜黄菇,mi'huang'gu
米黄枝瑚菌,mi'huang'zhi'hu'jun
密集木层孔菌,mi'ji'mu'ceng'kong'jun
密孔薄芝,mi'kong'bao'zhi
密纹薄灵芝,mi'wen'bao'ling'zhi
密纹灵芝,mi'wen'ling'zhi
密粘褶菌,mi'zhan'zhe'jun
密枝瑚菌,mi'zhi'hu'jun
绵腐卧孔菌,mian'fu'wo'kong'jun
绵粒黄菇,mian'li'huang'gu
绵毛盖多孔菌,mian'mao'gai'duo'kong'jun
绵毛蘑菇,mian'mao'mo'gu
蘑菇,mo'gu
木耳,mu'er
木霉属,mu'mei'shu
木生条孢牛肝菌,mu'sheng'tiao'bao'niu'gan'jun
木蹄层孔菌,mu'ti'ceng'kong'jun
囊孔菌,nang'kong'jun
拟篦边红菇,ni'bi'bian'hong'gu
拟臭黄菇,ni'chou'huang'gu
拟多孔菌,ni'duo'kong'jun
拟双环林地蘑菇,ni'shuang'huan'lin'di'mo'gu
酿酒酵母,niang'jiu'jiao'mu
牛舌菌,niu'she'jun
牛丝膜菌,niu'si'mo'jun
偏白枝瑚菌,pian'bai'zhi'hu'jun
偏肿栓菌,pian'zhong'shuan'jun
平伏褐层孔菌,ping'fu'he'ceng'kong'jun
平伏韧革菌,ping'fu'ren'ge'jun
平截棒瑚菌,ping'jie'bang'hu'jun
平座蕉孢壳,ping'zuo'jiao'bao'ke
葡紫红菇,pu'zi'hong'gu
脐形鸡油菌,qi'xing'ji'you'jun
浅褐陀螺菌,qian'he'tuo'luo'jun
浅黄根须腹菌,qian'huang'gen'xu'fu'jun
浅黄褐丝膜菌,qian'huang'he'si'mo'jun
浅灰香乳菇,qian'hui'xiang'ru'gu
铅色灰球菌,qian'se'hui'qiu'jun
青柄多孔菌,qing'bing'duo'kong'jun
青黄红菇,qing'huang'hong'gu
青蓝多孔菌,qing'lan'duo'kong'jun
青霉菌,qing'mei'jun
球盖白蚁伞,qiu'gai'bai'yi'san
球根白丝膜菌,qiu'gen'bai'si'mo'jun
球基蘑菇,qiu'ji'mo'gu
秋盔孢伞,qiu'kui'bao'san
热带灵芝,re'dai'ling'zhi
日本考巴菌,ri'ben'kao'ba'jun
日本美口菌,ri'ben'mei'kou'jun
日本拟秃马勃,ri'ben'ni'tu'ma'bo
绒白乳菇,rong'bai'ru'gu
绒柄地勺,rong'bing'di'shao
绒拟云芝,rong'ni'yun'zhi
绒圈环锈伞,rong'quan'huan'xiu'san
绒紫红菇,rong'zi'hong'gu
肉褐鳞环柄菇,rou'he'lin'huan'bing'gu
肉色红菇,rou'se'hong'gu
肉色迷孔菌,rou'se'mi'kong'jun
柔锥盖伞,rou'zhui'gai'san
乳白耙菌,ru'bai'ba'jun
乳白马鞍菌,ru'bai'ma'an'jun
乳白锥盖伞,ru'bai'zhui'gai'san
软刺革菌,ruan'ci'ge'jun
弱光泽灵芝,ruo'guang'ze'ling'zhi
散放多孔菌,san'fang'duo'kong'jun
三色拟迷孔菌,san'se'ni'mi'kong'jun
三生菌丝体,san'sheng'jun'si'ti
伞枝犁头霉,san'zhi'li'tou'mei
沙生蒙氏假菇,sha'sheng'meng'shi'jia'gu
扇盖干酪菌,shan'gai'gan'lao'jun
珊瑚虫草,shan'hu'chong'cao
珊瑚菌科,shan'hu'jun'ke
珊瑚状猴头菌,shan'hu'zhuang'hou'tou'jun
扇形小孔菌,shan'xing'xiao'kong'jun
烧地环锈伞,shao'di'huan'xiu'san
蛇头菌,she'tou'jun
伸长云芝,shen'chang'yun'zhi
深褐枝瑚菌,shen'he'zhi'hu'jun
石芥花霜霉,shi'jie'hua'shuang'mei
施魏多孔菌,shi'wei'duo'kong'jun
食用菌,shi'yong'jun
湿粘田头菇,shi'zhan'tian'tou'gu
树皮生卧孔菌,shu'pi'sheng'wo'kong'jun
树舌灵芝,shu'she'ling'zhi
栓皮马勃,shuan'pi'ma'bo
双环林地蘑菇,shuang'huan'lin'di'mo'gu
霜霉病,shuang'mei'bing
霜霉菌目,shuang'mei'jun'mu
霜霉目,shuang'mei'mu
霜疫霉科,shuang'yi'mei'ke
双柱小林鬼笔,shuang'zhu'xiao'lin'gui'bi
四孢蘑菇,si'bao'mo'gu
松口蘑,song'kou'mo
松蘑,song'mo
松木层孔菌,song'mu'ceng'kong'jun
松乳菇,song'ru'gu
碎纹伏革菌,sui'wen'fu'ge'jun
梭形黄拟锁瑚菌,suo'xing'huang'ni'suo'hu'jun
锁状联合,suo'zhuang'lian'he
台湾灵芝,tai'wan'ling'zhi
太原块菌,tai'yuan'kuai'jun
炭角菌科,tan'jiao'jun'ke
炭球菌,tan'qiu'jun
糖真菌,tang'zhen'jun
蹄形干酪菌,ti'xing'gan'lao'jun
菾菜霜霉,tian'cai'shuang'mei
田野蘑菇,tian'ye'mo'gu
条纹炭角菌,tiao'wen'tan'jiao'jun
通江银耳,tong'jiang'yin'er
铜绿红菇,tong'lv'hong'gu
铜绿球盖菇,tong'lv'qiu'gai'gu
通羊肚菌,tong'yang'du'jun
头状虫草,tou'zhuang'chong'cao
头状金耳,tou'zhuang'jin'er
兔耳侧盘菌,tu'er'ce'pan'jun
土生环锈伞,tu'sheng'huan'xiu'san
团核黄褐孔菌,tuan'he'huang'he'kong'jun
褪色红菇,tui'se'hong'gu
托柄灰锤,tuo'bing'hui'chui
托柄丝膜菌,tuo'bing'si'mo'jun
脱顶小马勃,tuo'ding'xiao'ma'bo
陀螺菌,tuo'luo'jun
脱皮球马勃,tuo'pi'qiu'ma'bo
歪孢菌寄生,wai'bao'jun'ji'sheng
歪盘菌,wai'pan'jun
弯柄灵芝,wan'bing'ling'zhi
网孢盘菌,wang'bao'pan'jun
网纹灰包,wang'wen'hui'bao
网纹马勃,wang'wen'ma'bo
微黄拟锁瑚菌,wei'huang'ni'suo'hu'jun
无柄灵芝,wu'bing'ling'zhi
无环田头菇,wu'huan'tian'tou'gu
乌鸡油菌,wu'ji'you'jun
污胶陀螺菌,wu'jiao'tuo'luo'jun
五棱散尾鬼笔,wu'leng'san'wei'gui'bi
五指山假芝,wu'zhi'shan'jia'zhi
细虫草,xi'chong'cao
细褐鳞蘑菇,xi'he'lin'mo'gu
细环柄菇,xi'huan'bing'gu
细黄鬼笔,xi'huang'gui'bi
喜热灵芝,xi're'ling'zhi
细绒韧革菌,xi'rong'ren'ge'jun
细弱蒙假菇,xi'ruo'meng'jia'gu
喜湿小脆柄菇,xi'shi'xiao'cui'bing'gu
稀硬木层孔菌,xi'ying'mu'ceng'kong'jun
西藏灵芝,xi'zang'ling'zhi
稀褶黑菇,xi'zhe'hei'gu
稀褶乳菇,xi'zhe'ru'gu
细质乳菇,xi'zhi'ru'gu
狭长孢灵芝,xia'chang'bao'ling'zhi
夏块菌,xia'kuai'jun
夏生蘑菇,xia'sheng'mo'gu
狭檐栓菌,xia'yan'shuan'jun
香菇,xiang'gu
香鬼笔,xiang'gui'bi
橡胶灵芝,xiang'jiao'ling'zhi
橡胶木层孔菌,xiang'jiao'mu'ceng'kong'jun
香肉齿菌,xiang'rou'chi'jun
香乳菇,xiang'ru'gu
香栓菌,xiang'shuan'jun
香杏丽蘑,xiang'xing'li'mo
象牙白木耳,xiang'ya'bai'mu'er
小白菇,xiao'bai'gu
小白蘑菇,xiao'bai'mo'gu
小孢柄灰包,xiao'bao'bing'hui'bao
小孢毛鬼伞,xiao'bao'mao'gui'san
小孢枝瑚菌,xiao'bao'zhi'hu'jun
小柄灰锤,xiao'bing'hui'chui
小柄马勃,xiao'bing'ma'bo
小刺猴头菌,xiao'ci'hou'tou'jun
小红白毛杯菌,xiao'hong'bai'mao'bei'jun
小红褐蘑菇,xiao'hong'he'mo'gu
小鸡油菌,xiao'ji'you'jun
小节纤孔菌,xiao'jie'xian'kong'jun
小马勃,xiao'ma'bo
小栓菌,xiao'shuan'jun
小羊肚菌,xiao'yang'du'jun
小疣地杯菌,xiao'you'di'bei'jun
斜脚牛肝菌,xie'jiao'niu'gan'jun
辛辣乳菇,xin'la'ru'gu
新型隐球菌,xin'xing'yin'qiu'jun
绣球菌,xiu'qiu'jun
锈色木层孔菌,xiu'se'mu'ceng'kong'jun
悬垂箭皮菌,xuan'chui'jian'pi'jun
悬垂网孔菌,xuan'chui'wang'kong'jun
血红菇,xue'hong'gu
血红铆钉菇,xue'hong'mao'ding'gu
血红拟云芝,xue'hong'ni'yun'zhi
血红乳菇,xue'hong'ru'gu
血红丝膜菌,xue'hong'si'mo'jun
