阿尔,a'er
符蚀药,fu'shi'yao
赋予他人幸运的能力,fu'yu'ta'ren'xing'yun'de'neng'li
符之二,fu'zhi'er
符之三,fu'zhi'san
符之一,fu'zhi'yi
符咒规则,fu'zhou'gui'ze
感情的摩天大楼,gan'qing'de'mo'tian'da'lou
感应活动事物的能力,gan'ying'huo'dong'shi'wu'de'neng'li
干燥尻子丸,gan'zao'kao'zi'wan
港符,gang'fu
冈崎教授,gang'qi'jiao'shou
冈崎梦美,gang'qi'meng'mei
高感度娜兹琳摆子,gao'gan'du'na'zi'lin'bai'zi
高速封印,gao'su'feng'yin
高天原,gao'tian'yuan
高压光刃,gao'ya'guang'ren
割海成路之日,ge'hai'cheng'lu'zhi'ri
葛井的清水,ge'jing'de'qing'shui
宫古,gong'gu
宫古芳香,gong'gu'fang'xiang
狗符,gou'fu
狗仔击退结界,gou'zai'ji'tui'jie'jie
古代翡翠,gu'dai'fei'cui
固定弹,gu'ding'dan
古老的冥界寺,gu'lao'de'ming'jie'si
古老地缚灵的复苏,gu'lao'di'fu'ling'de'fu'su
古明地,gu'ming'di
古明地觉,gu'ming'di'jue
古明地恋,gu'ming'di'lian
古时之针与痛楚的怨灵,gu'shi'zhi'zhen'yu'tong'chu'de'yuan'ling
谷物神的允诺,gu'wu'shen'de'yun'nuo
古雨,gu'yu
古之间歇泉,gu'zhi'jian'xie'quan
古之铁轮,gu'zhi'tie'lun
怪符,guai'fu
怪轮,guai'lun
怪猫,guai'mao
怪绮谈,guai'qi'tan
管灵,guan'ling
光弹,guang'dan
光符,guang'fu
光击,guang'ji
光精,guang'jing
光灵,guang'ling
光龙的吐息,guang'long'de'tu'xi
光魔,guang'mo
光星,guang'xing
广有射怪鸟事,guang'you'she'guai'niao'shi
光玉,guang'yu
光与暗的网孔,guang'yu'an'de'wang'kong
广重三十六号,guang'zhong'san'shi'liu'hao
鬼灯般的红色之魂,gui'deng'ban'de'hong'se'zhi'hun
鬼符,gui'fu
鬼缚之术,gui'fu'zhi'shu
鬼门金神,gui'men'jin'shen
鬼气狂澜,gui'qi'kuang'lan
鬼神术,gui'shen'shu
鬼声,gui'sheng
归于虚无,gui'yu'xu'wu
国符,guo'fu
过目不忘程度的能力,guo'mu'bu'wang'cheng'du'de'neng'li
过去之花,guo'qu'zhi'hua
国士无双之药,guo'shi'wu'shuang'zhi'yao
哈德曼的妖怪少女,ha'de'man'de'yao'guai'shao'nv
哈恩,ha'en
海中的人偶,hai'zhong'de'ren'ou
寒符,han'fu
好死的灵,hao'si'de'ling
河城,he'cheng
河城荷取,he'cheng'he'qu
核反应失去控制,he'fan'ying'shi'qu'kong'zhi
核符,he'fu
核功率骤增,he'gong'lv'zhou'zeng
荷取,he'qu
核热的怨灵,he're'de'yuan'ling
核热造神,he're'zao'shen
河童的幻想大瀑布,he'tong'de'huan'xiang'da'pu'bu
合葬,he'zang
合掌,he'zhang
黑谷,hei'gu
黑谷山女,hei'gu'shan'nv
黑莉莉,hei'li'li
黑魔,hei'mo
黑之海中的红,hei'zhi'hai'zhong'de'hong
恨符,hen'fu
恨弓,hen'gong
恨灵,hen'ling
弘安的神风,hong'an'de'shen'feng
红蝙蝠,hong'bian'fu
虹川三姐妹,hong'chuan'san'jie'mei
红寸刭,hong'cun'jing
红点,hong'dian
红发的荷兰人偶,hong'fa'de'he'lan'ren'ou
红符,hong'fu
虹符,hong'fu
虹光,hong'guang
红美铃,hong'mei'ling
红魔,hong'mo
红魔馆,hong'mo'guan
红魔馆的女仆,hong'mo'guan'de'nv'pu
红魔乡,hong'mo'xiang
红魔组,hong'mo'zu
红炮,hong'pao
红披风蓝披风,hong'pi'feng'lan'pi'feng
红色的幻想乡,hong'se'de'huan'xiang'xiang
红色的冥界,hong'se'de'ming'jie
虹色太极拳,hong'se'tai'ji'quan
红色之境,hong'se'zhi'jing
红雾异变,hong'wu'yi'bian
红叶扇风,hong'ye'shan'feng
红月之下潇洒的从者,hong'yue'zhi'xia'xiao'sa'de'cong'zhe
红之恶魔,hong'zhi'e'mo
红之自警队,hong'zhi'zi'jing'dui
后光,hou'guang
后悔打开的玉手箱,hou'hui'da'kai'de'yu'shou'xiang
蝴蝶风暴,hu'die'feng'bao
蝴蝶梦丸,hu'die'meng'wan
蝴蝶梦之扇,hu'die'meng'zhi'shan
护法天童乱舞,hu'fa'tian'tong'luan'wu
狐狗狸的契约,hu'gou'li'de'qi'yue
呼唤神风的星之仪式,hu'huan'shen'feng'de'xing'zhi'yi'shi
弧激光,hu'ji'guang
虎劲,hu'jin
湖上的冰精,hu'shang'de'bing'jing
湖上的魔精,hu'shang'de'mo'jing
胡桃,hu'tao
虎纹的毘沙门天,hu'wen'de'pi'sha'men'tian
户隐山之投,hu'yin'shan'zhi'tou
冴月,hu'yue
冴月麟,hu'yue'lin
壶中的大银河,hu'zhong'de'da'yin'he
壶中的天地,hu'zhong'de'tian'di
化符,hua'fu
华符,hua'fu
花冠视线,hua'guan'shi'xian
华光玉,hua'guang'yu
花果子念报,hua'guo'zi'nian'bao
桦黄小町,hua'huang'xiao'ding
华灵,hua'ling
花鸟风月啸风弄月,hua'niao'feng'yue'xiao'feng'nong'yue
华人少女,hua'ren'shao'nv
花似幻想,hua'si'huan'xiang
花昙,hua'tan
化铁,hua'tie
华胥的亡灵,hua'xu'de'wang'ling
华胥的永眠,hua'xu'de'yong'mian
华胥之梦,hua'xu'zhi'meng
华严明星,hua'yan'ming'xing
花映冢,hua'ying'zhong
花盅大江山,hua'zhong'da'jiang'shan
坏灭的咆吼,huai'mie'de'pao'hou
幻爆,huan'bao
幻波,huan'bo
幻巢,huan'chao
幻创神主,huan'chuang'shen'zhu
幻弹,huan'dan
幻符,huan'fu
缓缓移动的太阳,huan'huan'yi'dong'de'tai'yang
幻惑,huan'huo
幻胧月睨,huan'long'yue'ni
幻神,huan'shen
幻世,huan'shi
幻视调律,huan'shi'diao'lv
幻视之夜,huan'shi'zhi'ye
幻兔,huan'tu
幻象,huan'xiang
幻想的境界,huan'xiang'de'jing'jie
幻想的永远祭,huan'xiang'de'yong'yuan'ji
幻想风靡,huan'xiang'feng'mi
幻想机械,huan'xiang'ji'xie
幻想狂想穴,huan'xiang'kuang'xiang'xue
幻想视差,huan'xiang'shi'cha
幻想天皇,huan'xiang'tian'huang
幻想卍伞,huan'xiang'wan'san
幻想乡,huan'xiang'xiang
幻想乡传说,huan'xiang'xiang'chuan'shuo
幻想乡的黄泉归还,huan'xiang'xiang'de'huang'quan'gui'huan
幻想乡的记忆,huan'xiang'xiang'de'ji'yi
幻想乡的开花,huan'xiang'xiang'de'kai'hua
幻想乡风土记,huan'xiang'xiang'feng'tu'ji
幻想乡空中神战,huan'xiang'xiang'kong'zhong'shen'zhan
幻想乡缘起,huan'xiang'xiang'yuan'qi
幻想月面战争骚动,huan'xiang'yue'mian'zhan'zheng'sao'dong
幻想之月,huan'xiang'zhi'yue
欢迎来到月面旅行团,huan'ying'lai'dao'yue'mian'lv'xing'tuan
幻幽,huan'you
唤雨的雨蛙,huan'yu'de'yu'wa
幻与实的境界,huan'yu'shi'de'jing'jie
幻月,huan'yue
幻乐团,huan'yue'tuan
幻乐团的历史,huan'yue'tuan'de'li'shi
幻在,huan'zai
幻葬,huan'zang
幻之月,huan'zhi'yue
黄点,huang'dian
黄金的震眩,huang'jin'de'zhen'xuan
黄泉平坂行路,huang'quan'ping'ban'xing'lu
黄震脚,huang'zhen'jiao
会被稻田公主骂的啦,hui'bei'dao'tian'gong'zhu'ma'de'la
回符,hui'fu
灰姑娘的笼子,hui'gu'niang'de'long'zi
回灵,hui'ling
回收线,hui'shou'xian
辉夜,hui'ye
回忆京都,hui'yi'jing'du
慧音,hui'yin
昏暗的风穴,hun'an'de'feng'xue
昏暗洞窟中明亮的网,hun'an'dong'ku'zhong'ming'liang'de'wang
魂符,hun'fu
