阿斗泥,a'dou'ni
侯伏侯龙恩,hou'fu'hou'long'en
侯景,hou'jing
侯吕陵氏,hou'lv'ling'shi
侯莫陈崇,hou'mo'chen'chong
侯莫陈凯,hou'mo'chen'kai
侯莫陈琼,hou'mo'chen'qiong
侯莫陈芮,hou'mo'chen'rui
侯莫陈氏,hou'mo'chen'shi
侯莫陈顺,hou'mo'chen'shun
侯莫陈相,hou'mo'chen'xiang
侯莫陈悦,hou'mo'chen'yue
侯尼于,hou'ni'yu
侯植,hou'zhi
胡布头,hu'bu'tou
胡长仁,hu'chang'ren
胡皇后,hu'huang'hou
斛律光,hu'lv'guang
斛律恒伽,hu'lv'heng'jia
斛律金,hu'lv'jin
斛律沙门,hu'lv'sha'men
斛律世雄,hu'lv'shi'xiong
斛律武都,hu'lv'wu'du
斛律羡,hu'lv'xian
斛律须达,hu'lv'xu'da
斛斯征,hu'si'zheng
华光,hua'guang
华皎,hua'jiao
华林遍略,hua'lin'bian'lue
华胜,hua'sheng
华首,hua'shou
华阳公主,hua'yang'gong'zhu
华阴公主获泽公主,hua'yin'gong'zhu'huo'ze'gong'zhu
淮安王元育,huai'an'wang'yuan'yu
淮阳长公主,huai'yang'zhang'gong'zhu
皇甫璠,huang'fu'fan
皇甫氏,huang'fu'shi
皇甫遐,huang'fu'xia
皇建,huang'jian
济北公元迪,ji'bei'gong'yuan'di
冀俊,ji'jun
济南公主,ji'nan'gong'zhu
济阴王拓跋小新成,ji'yin'wang'tuo'ba'xiao'xin'cheng
建安长公主,jian'an'zhang'gong'zhu
建德,jian'de
建德公主,jian'de'gong'zhu
建宁王拓跋崇,jian'ning'wang'tuo'ba'chong
建武,jian'wu
建兴公主,jian'xing'gong'zhu
蒋升,jiang'sheng
江总,jiang'zong
解拔弥俄突,jie'ba'mi'e'tu
晋安公主,jin'an'gong'zhu
尽地利,jin'di'li
金明公主,jin'ming'gong'zhu
晋王拓跋伏罗,jin'wang'tuo'ba'fu'luo
静德皇后,jing'de'huang'hou
荆可,jing'ke
景穆帝拓跋晃,jing'mu'di'tuo'ba'huang
京兆康王拓跋子推,jing'zhao'kang'wang'tuo'ba'zi'tui
京兆王拓跋黎,jing'zhao'wang'tuo'ba'li
京兆王元愉,jing'zhao'wang'yuan'yu
沮渠夫人,ju'qu'fu'ren
峻成陵,jun'cheng'ling
均赋役,jun'fu'yi
可贺敦皇后,ke'he'dun'huang'hou
可频氏,ke'pin'shi
可朱浑元,ke'zhu'hun'yuan
寇俊,kou'jun
寇洛,kou'luo
库狄干,ku'di'gan
库狄回洛,ku'di'hui'luo
库狄峙,ku'di'zhi
库汗氏,ku'han'shi
兰改,lan'gai
兰京,lan'jing
兰陵公主,lan'ling'gong'zhu
兰钦,lan'qin
琅琊公主,lang'ya'gong'zhu
琅琊公主元玉仪,lang'ya'gong'zhu'yuan'yu'yi
乐陵康王拓跋胡儿,lao'ling'kang'wang'tuo'ba'hu'er
乐安公主,le'an'gong'zhu
乐安宣王拓跋范,le'an'xuan'wang'tuo'ba'fan
乐良公主,le'liang'gong'zhu
乐良厉王拓跋万寿,le'liang'li'wang'tuo'ba'wan'shou
乐平公主,le'ping'gong'zhu
乐平戾王拓跋丕,le'ping'li'wang'tuo'ba'pi
乐逊,le'xun
乐运,le'yun
李百药,li'bai'yao
李弼,li'bi
李檦,li'biao
李昶,li'chang
李昌仪,li'chang'yi
李德林,li'de'lin
李娥姿,li'e'zi
李和,li'he
李皇后,li'huang'hou
李辉,li'hui
黎景熙,li'jing'xi
李敏,li'min
李穆,li'mu
李迁哲,li'qian'zhe
李顺兴,li'shun'xing
李棠,li'tang
李贤,li'xian
李询,li'xun
李彦,li'yan
李延孙,li'yan'sun
溧阳公主,li'yang'gong'zhu
李耀,li'yao
李远,li'yuan
李元忠,li'yuan'zhong
李植,li'zhi
李祖娥,li'zu'e
李祖升,li'zu'sheng
梁椿,liang'chun
良家子,liang'jia'zi
梁弥定,liang'mi'ding
梁默,liang'mo
梁睿,liang'rui
梁士彦,liang'shi'yan
梁台,liang'tai
梁昕,liang'xin
梁御,liang'yu
林贵妃,lin'gui'fei
临淮王拓跋谭,lin'huai'wang'tuo'ba'tan
临淮王元彧,lin'huai'wang'yuan'yu
麟趾格,lin'zhi'ge
令狐熙,ling'hu'xi
令狐休,ling'hu'xiu
令狐整,ling'hu'zheng
灵太后,ling'tai'hou
刘璠,liu'fan
刘昉,liu'fang
刘丰生,liu'feng'sheng
刘贵,liu'gui
柳桧,liu'gui
柳弘,liu'hong
刘皇后,liu'huang'hou
柳机,liu'ji
刘亮,liu'liang
刘没铎,liu'mei'duo
柳敏,liu'min
柳庆,liu'qing
柳虬,liu'qiu
柳述,liu'shu
刘桃枝,liu'tao'zhi
刘逖,liu'ti
六条诏书,liu'tiao'zhao'shu
刘雄,liu'xiong
刘休征,liu'xiu'zheng
刘志,liu'zhi
隆化,long'hua
娄妃,lou'fei
娄内干,lou'nei'gan
娄睿,lou'rui
娄昭,lou'zhao
娄昭君,lou'zhao'jun
卢辩,lu'bian
陆操,lu'cao
陆逞,lu'cheng
卢诞,lu'dan
卢光,lu'guang
卢景裕,lu'jing'yu
卢恺,lu'kai
陆令萱,lu'ling'xuan
庐陵长公主,lu'ling'zhang'gong'zhu
卢潜,lu'qian
卢柔,lu'rou
鲁氏,lu'shi
卢思道,lu'si'dao
陆腾,lu'teng
陆通,lu'tong
吕思礼,lv'si'li
闾左昭仪,lv'zuo'zhao'yi
祢罗突,mi'luo'tu
乜列河,mie'lie'he
灭齐三策,mie'qi'san'ce
明德皇后,ming'de'huang'hou
明帝独孤皇后,ming'di'du'gu'huang'hou
明元帝拓跋嗣,ming'yuan'di'tuo'ba'si
明元昭哀皇后西平公主,ming'yuan'zhao'ai'huang'hou'xi'ping'gong'zhu
莫多娄贷文,mo'duo'lou'dai'wen
莫多娄敬显,mo'duo'lou'jing'xian
莫胡卢氏,mo'hu'lu'shi
万俟丑奴,mo'qi'chou'nu
万俟洛,mo'qi'luo
万俟普,mo'qi'pu
万俟受洛干,mo'qi'shou'luo'gan
摩头陀,mo'tou'tuo
穆黄花,mu'huang'hua
慕容皇后,mu'rong'huang'hou
慕容三藏,mu'rong'san'zang
慕容绍宗,mu'rong'shao'zong
穆提婆,mu'ti'po
穆邪利,mu'xie'li
穆子容,mu'zi'rong
那罗延,na'luo'yan
南安公主,nan'an'gong'zhu
南安惠王拓跋桢,nan'an'hui'wang'tuo'ba'zhen
南安隐王拓跋余,nan'an'yin'wang'tuo'ba'yu
南赵郡公,nan'zhao'jun'gong
念贤,nian'xian
牛弘,niu'hong
潘相乐,pan'xiang'le
裴果,pei'guo
裴宽,pei'kuan
裴让之,pei'rang'zhi
裴文举,pei'wen'ju
彭城公主,peng'cheng'gong'zhu
彭城武宣王元勰,peng'cheng'wu'xuan'wang'yuan'xie
毗贺突,pi'he'tu
匹娄氏,pi'lou'shi
平秦王,ping'qin'wang
平阳公主,ping'yang'gong'zhu
平原公主,ping'yuan'gong'zhu
破六韩拔陵,po'liu'han'ba'ling
破六汗拔陵,po'liu'han'ba'ling
破六韩常,po'liu'han'chang
破六汗裒,po'liu'han'pou
婆罗,po'luo
普六茹坚,pu'liu'ru'jian
普屯氏,pu'tun'shi
乞伏慧,qi'fu'hui
乞伏令和,qi'fu'ling'he
齐郡顺王拓跋简,qi'jun'shun'wang'tuo'ba'jian
綦母怀文,qi'mu'huai'wen
千金公主,qian'jin'gong'zhu
乾明,qian'ming
强练,qiang'lian
谯国夫人洗氏,qiao'guo'fu'ren'xi'shi
秦族,qin'zu
清都公主,qing'dou'gong'zhu
清河王拓跋绍,qing'he'wang'tuo'ba'shao
清河王元怿,qing'he'wang'yuan'yi
权景宣,quan'jing'xuan
泉企,quan'qi
权如玖,quan'ru'jiu
权如璋,quan'ru'zhang
泉元礼,quan'yuan'li
泉仲遵,quan'zhong'zun
任城康王拓跋云,ren'cheng'kang'wang'tuo'ba'yun
任果,ren'guo
任胄,ren'zhou
柔然公主,rou'ran'gong'zhu
汝南王元悦,ru'nan'wang'yuan'yue
茹茹公主,ru'ru'gong'zhu
蠕蠕公主,ru'ru'gong'zhu
汝阴灵王拓跋天赐,ru'yin'ling'wang'tuo'ba'tian'ci
若干惠,ruo'gan'hui
若口引氏,ruo'kou'yin'shi
萨保,sa'bao
三辅著姓,san'fu'zhu'xing
上谷公主,shang'gu'gong'zhu
绍信,shao'xin
厍狄昌,she'di'chang
厍汗氏,she'han'shi
申徽,shen'hui
神武,shen'wu
什翼犍,shen'yi'jian
沈重,shen'zhong
史宁,shi'ning
石平,shi'ping
始平公元孝矩,shi'ping'gong'yuan'xiao'ju
始平公主,shi'ping'gong'zhu
是云宝,shi'yun'bao
顺阳公主,shun'yang'gong'zhu
司马令姬,si'ma'ling'ji
司马消难,si'ma'xiao'nan
司马裔,si'ma'yi
司马子如,si'ma'zi'ru
宋安公元景山,song'an'gong'yuan'jing'shan
宋钦道,song'qin'dao
宋游道,song'you'dao
苏椿,su'chun
苏绰,su'chuo
苏夔,su'kui
苏亮,su'liang
苏琼,su'qiong
苏威,su'wei
孙搴,sun'qian
孙腾,sun'teng
太武帝拓跋焘,tai'wu'di'tuo'ba'tao
太原公主,tai'yuan'gong'zhu
太原长公主,tai'yuan'zhang'gong'zhu
檀翥,tan'zhu
唐瑾,tang'jin
唐邕,tang'yong
天保,tian'bao
天和,tian'he
田弘,tian'hong
天平,tian'ping
天统,tian'tong
统万突,tong'wan'tu
徒河氏,tu'he'shi
拓跋拔,tuo'ba'ba
拓跋绰立,tuo'ba'chuo'li
拓跋聪,tuo'ba'cong
拓跋珪,tuo'ba'gui
拓跋纥那,tuo'ba'he'na
拓跋贺傉,tuo'ba'he'nu
拓跋宏,tuo'ba'hong
拓跋晃,tuo'ba'huang
拓跋浑,tuo'ba'hun
拓跋浚,tuo'ba'jun
拓跋力微,tuo'ba'li'wei
拓跋禄官,tuo'ba'lu'guan
拓跋普根,tuo'ba'pu'gen
拓跋涉圭,tuo'ba'she'gui
拓跋嗣,tuo'ba'si
拓跋焘,tuo'ba'tao
拓跋悉鹿,tuo'ba'xi'lu
拓跋翳槐,tuo'ba'yi'huai
拓跋猗卢,tuo'ba'yi'lu
拓跋猗迤,tuo'ba'yi'yi
拓跋郁律,tuo'ba'yu'lv
陀罗尼,tuo'luo'ni
拓王氏,tuo'wang'shi
万宝常,wan'bao'chang
万纽于氏,wan'niu'yu'shi
王褒,wang'bao
王德,wang'de
王轨,wang'gui
王纮,wang'hong
王杰,wang'jie
王励,wang'li
王茂,wang'mao
王盟,wang'meng
王罴,wang'pi
王谦,wang'qian
王庆,wang'qing
王庆远,wang'qing'yuan
王氏,wang'shi
王士良,wang'shi'liang
王师罗,wang'shi'luo
王述,wang'shu
王思政,wang'si'zheng
王伟,wang'wei
王雄,wang'xiong
王雅,wang'ya
王谊,wang'yi
王勇,wang'yong
王悦,wang'yue
王子直,wang'zi'zhi
尉景,wei'jing
卫可孤,wei'ke'gu
魏兰根,wei'lan'gen
魏收,wei'shou
韦孝宽,wei'xiao'kuan
韦敻,wei'xiong
魏玄,wei'xuan
韦祐,wei'you
卫元嵩,wei'yuan'song
韦瑱,wei'zhen
韦子迁,wei'zi'qian
文成帝拓跋浚,wen'cheng'di'tuo'ba'jun
文明皇后冯有,wen'ming'huang'hou'feng'you
文襄,wen'xiang
文宣,wen'xuan
文宣叱奴皇后,wen'xuan'chi'nu'huang'hou
武成,wu'cheng
武帝阿史那皇后,wu'di'a'shi'na'huang'hou
武定,wu'ding
武平,wu'ping
乌丸轨,wu'wan'gui
武威公主,wu'wei'gong'zhu
武邑公主,wu'yi'gong'zhu
吴遵世,wu'zun'shi
席固,xi'gu
西河公主,xi'he'gong'zhu
西河长公主,xi'he'zhang'gong'zhu
席世雅,xi'shi'ya
献文帝拓跋弘,xian'wen'di'tuo'ba'hong
咸阳王元禧,xian'yang'wang'yuan'xi
鲜于世荣,xian'yu'shi'rong
鲜于修礼,xian'yu'xiu'li
先治心,xian'zhi'xin
显祖,xian'zu
襄城郡公主,xiang'cheng'jun'gong'zhu
襄阳公主,xiang'yang'gong'zhu
萧瑒,xiao'chang
萧琮,xiao'cong
小尔朱,xiao'er'zhu
萧纲,xiao'gang
孝瓘,xiao'guan
孝珩,xiao'heng
孝基,xiao'ji
萧岿,xiao'kui
孝明皇帝元诩,xiao'ming'huang'di'yuan'xu
萧詧,xiao'qie
小蠕蠕公主,xiao'ru'ru'gong'zhu
孝琬,xiao'wan
孝文帝拓跋宏,xiao'wen'di'tuo'ba'hong
萧瓛,xiao'ya
萧衍,xiao'yan
萧绎,xiao'yi
孝瑜,xiao'yu
萧渊明,xiao'yuan'ming
孝昭,xiao'zhao
孝庄帝元子攸,xiao'zhuang'di'yuan'zi'you
萧综,xiao'zong
新丰公主,xin'feng'gong'zhu
辛庆之,xin'qing'zhi
辛术,xin'shu
辛威,xin'wei
新兴公主,xin'xing'gong'zhu
新兴王拓跋俊,xin'xing'wang'tuo'ba'jun
辛仲景,xin'zhong'jing
兴和,xing'he
邢邵,xing'shao
熊安生,xiong'an'sheng
许善心,xu'shan'xin
恤狱讼,xu'yu'song
徐招,xu'zhao
徐之才,xu'zhi'cai
许遵,xu'zun
宣武帝元恪,xuan'wu'di'yuan'ke
宣政,xuan'zheng
薛道衡,xue'dao'heng
薛憕,xue'deng
薛氏,xue'shi
薛置,xue'zhi
阎毗,yan'pi
阎庆,yan'qing
阎氏,yan'shi
颜之仪,yan'zhi'yi
燕子献,yan'zi'xian
延宗,yan'zong
杨阿五,yang'a'wu
杨敷,yang'fu
杨荐,yang'jian
杨俭,yang'jian
杨宽,yang'kuan
杨丽华,yang'li'hua
杨穆,yang'mu
阳平公主,yang'ping'gong'zhu
阳平王拓跋熙,yang'ping'wang'tuo'ba'xi
阳平幽王拓跋新成,yang'ping'you'wang'tuo'ba'xin'cheng
杨乾运,yang'qian'yun
杨绍,yang'shao
阳雄,yang'xiong
阳休之,yang'xiu'zhi
杨愔,yang'yin
阳翟公主,yang'zhai'gong'zhu
杨整,yang'zheng
杨忠,yang'zhong
杨纂,yang'zuan
杨遵彦,yang'zun'yan
姚察,yao'cha
姚僧垣,yao'seng'yuan
姚思廉,yao'si'lian
姚最,yao'zui
义安长公主,yi'an'zhang'gong'zhu
怡峰,yi'feng
乙弗库根,yi'fu'ku'gen
乙弗虔,yi'fu'qian
义归公主,yi'gui'gong'zhu
伊娄穆,yi'lou'mu
义平陵,yi'ping'ling
义阳公主,yi'yang'gong'zhu
永昌庄王拓跋健,yong'chang'zhuang'wang'tuo'ba'jian
永富公主,yong'fu'gong'zhu
永熙,yong'xi
游夫人,you'fu'ren
幽皇后冯润,you'huang'hou'feng'run
尉迟炽繁,yu'chi'chi'fan
尉迟惇,yu'chi'dun
尉迟纲,yu'chi'gang
尉迟迥,yu'chi'jiong
尉迟俟兜,yu'chi'si'dou
尉迟运,yu'chi'yun
尉迟真檀,yu'chi'zhen'tan
于皇后,yu'huang'hou
于谨,yu'jin
虞庆则,yu'qing'ze
于寔,yu'shi
虞世基,yu'shi'ji
宇文弼,yu'wen'bi
宇文宾,yu'wen'bin
宇文测,yu'wen'ce
宇文阐,yu'wen'chan
宇文充,yu'wen'chong
宇文椿,yu'wen'chun
宇文纯,yu'wen'chun
宇文达,yu'wen'da
宇文导,yu'wen'dao
宇文兑,yu'wen'dui
宇文娥英,yu'wen'e'ying
宇文肱,yu'wen'gong
宇文广,yu'wen'guang
宇文贵,yu'wen'gui
宇文颢,yu'wen'hao
宇文黑獭,yu'wen'hei'ta
宇文护,yu'wen'hu
宇文会,yu'wen'hui
宇文俭,yu'wen'jian
宇文静,yu'wen'jing
宇文觉,yu'wen'jue
宇文恺,yu'wen'kai
宇文康,yu'wen'kang
宇文连,yu'wen'lian
宇文亮,yu'wen'liang
宇文洛生,yu'wen'luo'sheng
宇文明,yu'wen'ming
宇文菩提,yu'wen'pu'ti
宇文洽,yu'wen'qia
宇文虬,yu'wen'qiu
宇文善,yu'wen'shan
宇文深,yu'wen'shen
宇文什肥,yu'wen'shen'fei
宇文神举,yu'wen'shen'ju
宇文神庆,yu'wen'shen'qing
宇文盛,yu'wen'sheng
宇文述,yu'wen'shu
宇文术,yu'wen'shu
宇文泰,yu'wen'tai
宇文通,yu'wen'tong
宇文温,yu'wen'wen
宇文贤,yu'wen'xian
宇文宪,yu'wen'xian
宇文孝伯,yu'wen'xiao'bo
宇文忻,yu'wen'xin
宇文衍,yu'wen'yan
宇文翼,yu'wen'yi
宇文颖,yu'wen'ying
宇文邕,yu'wen'yong
宇文逌,yu'wen'you
宇文毓,yu'wen'yu
宇文元,yu'wen'yuan
宇文元宝,yu'wen'yuan'bao
宇文赟,yu'wen'yun
宇文允,yu'wen'yun
宇文云英,yu'wen'yun'ying
宇文赞,yu'wen'zan
宇文招,yu'wen'zhao
宇文震,yu'wen'zhen
宇文至,yu'wen'zhi
宇文质,yu'wen'zhi
宇文贽,yu'wen'zhi
宇文直,yu'wen'zhi
宇文众,yu'wen'zhong
宇文胄,yu'wen'zhou
于玺,yu'xi
庾信,yu'xin
渔阳王,yu'yang'wang
于翼,yu'yi
舆珍,yu'zhen
羽真氏,yu'zhen'shi
于智,yu'zhi
于仲文,yu'zhong'wen
元昂,yuan'ang
元宝炬,yuan'bao'ju
元弼,yuan'bi
元斌,yuan'bin
元昌,yuan'chang
元颢,yuan'hao
元宏,yuan'hong
元胡摩,yuan'hu'mo
元皇后李氏,yuan'huang'hou'li'shi
元黄头,yuan'huang'tou
元晖业,yuan'hui'ye
元蒺藜,yuan'ji'li
元季艳,yuan'ji'yan
元静仪,yuan'jing'yi
元恪,yuan'ke
元廓,yuan'kuo
元乐尚,yuan'le'shang
元烈,yuan'lie
元罗,yuan'luo
元明月,yuan'ming'yue
元谦,yuan'qian
元钦,yuan'qin
元善见,yuan'shan'jian
元韶,yuan'shao
元晟,yuan'sheng
元氏,yuan'shi
元坦,yuan'tan
元天穆,yuan'tian'mu
元恌,yuan'tiao
元伟,yuan'wei
元威,yuan'wei
元文遥,yuan'wen'yao
元象,yuan'xiang
元孝友,yuan'xiao'you
元谐,yuan'xie
元勰,yuan'xie
元欣,yuan'xin
元修,yuan'xiu
元诩,yuan'xu
元恂,yuan'xun
元岩,yuan'yan
元怿,yuan'yi
元雍,yuan'yong
元玉仪,yuan'yu'yi
元悦,yuan'yue
元湛,yuan'zhan
元仲华,yuan'zhong'hua
元胄,yuan'zhou
元子孝,yuan'zi'xiao
元子攸,yuan'zi'you
元纂,yuan'zuan
张轨,zhang'gui
长孙澄,zhang'sun'cheng
长孙俭,zhang'sun'jian
长孙览,zhang'sun'lan
长孙绍远,zhang'sun'shao'yuan
章武敬王拓跋太洛,zhang'wu'jing'wang'tuo'ba'tai'luo
张元,zhang'yuan
章昭达,zhang'zhao'da
赵昶,zhao'chang
赵道德,zhao'dao'de
赵刚,zhao'gang
赵贵,zhao'gui
赵郡灵王元干,zhao'jun'ling'wang'yuan'gan
赵善,zhao'shan
赵肃,zhao'su
赵王拓跋深,zhao'wang'tuo'ba'shen
赵文表,zhao'wen'biao
赵文深,zhao'wen'shen
赵文渊,zhao'wen'yuan
赵彦深,zhao'yan'shen
赵隐,zhao'yin
赵育,zhao'yu
赵仲卿,zhao'zhong'qing
郑大车,zheng'da'che
郑氏,zheng'shi
郑述祖,zheng'shu'zu
郑伟,zheng'wei
郑孝穆,zheng'xiao'mu
郑译,zheng'yi
郑颐,zheng'yi
郑仲礼,zheng'zhong'li
周惠达,zhou'hui'da
褚该,zhu'gai
朱满月,zhu'man'yue
擢贤良,zhuo'xian'liang
祖珽,zu'ting
