阿益,a'yi
号兰片,hao'lan'pian
号兰片如样,hao'lan'pian'ru'yang
何中琴,he'zhong'qin
黑茶,hei'cha
黑茶如样,hei'cha'ru'yang
黑底漆银,hei'di'qi'yin
黑红,hei'hong
黑灰,hei'hui
黑灰如样,hei'hui'ru'yang
黑脚,hei'jiao
黑脚套,hei'jiao'tao
黑软脚套,hei'ruan'jiao'tao
横旦,heng'dan
横旦飞边,heng'dan'fei'bian
横旦两面,heng'dan'liang'mian
横旦外壳镙丝,heng'dan'wai'ke'luo'si
亨得利,heng'de'li
横梁,heng'liang
横梁外壳,heng'liang'wai'ke
红茶茶,hong'cha'cha
红茶渐进,hong'cha'jian'jin
红都,hong'du
宏鸿,hong'hong
红胶脚套,hong'jiao'jiao'tao
红脚套,hong'jiao'tao
红片无色样,hong'pian'wu'se'yang
宏盛,hong'sheng
后关组,hou'guan'zu
后值,hou'zhi
华丽,hua'li
华能,hua'neng
华绅,hua'shen
黄白蜡,huang'bai'la
黄出,huang'chu
黄锦炎,huang'jin'yan
黄娟,huang'juan
黄梁外壳,huang'liang'wai'ke
黄片,huang'pian
黄片如样,huang'pian'ru'yang
黄入,huang'ru
黄仕美,huang'shi'mei
黄双孔臼,huang'shuang'kong'jiu
黄铜框,huang'tong'kuang
黄先兰,huang'xian'lan
黄子军,huang'zi'jun
灰冰兰,hui'bing'lan
灰茶茶,hui'cha'cha
灰镀浅水银,hui'du'qian'shui'yin
灰渐进红,hui'jian'jin'hong
灰酒红,hui'jiu'hong
灰桔,hui'ju
灰兰,hui'lan
灰兰如样,hui'lan'ru'yang
灰绿,hui'lv
灰绿片,hui'lv'pian
灰绿如样,hui'lv'ru'yang
灰片,hui'pian
灰片白水银,hui'pian'bai'shui'yin
灰片如样,hui'pian'ru'yang
灰浅红,hui'qian'hong
灰浅黄,hui'qian'huang
灰浅水银,hui'qian'shui'yin
灰如样,hui'ru'yang
灰色,hui'se
灰色如样,hui'se'ru'yang
灰在的基础上加深,hui'zai'de'ji'chu'shang'jia'shen
灰紫,hui'zi
汇总查询,hui'zong'cha'xun
混合框,hun'he'kuang
计件,ji'jian
计时,ji'shi
假圈丝球,jia'quan'si'qiu
