阿魏,a'wei
高良姜,gao'liang'jiang
葛根,ge'gen
蛤蚧,ge'jie
蛤壳,ge'ke
功劳木,gong'lao'mu
枸骨叶,gou'gu'ye
狗脊,gou'ji
枸杞子,gou'qi'zi
钩藤,gou'teng
谷精草,gu'jing'cao
骨碎补,gu'sui'bu
谷芽,gu'ya
瓜蒌,gua'lou
瓜蒌皮,gua'lou'pi
瓜蒌子,gua'lou'zi
关木通,guan'mu'tong
广防己,guang'fang'ji
广藿香,guang'huo'xiang
广金钱草,guang'jin'qian'cao
广枣,guang'zao
龟甲,gui'jia
桂枝,gui'zhi
海风藤,hai'feng'teng
海金沙,hai'jin'sha
海龙,hai'long
海马,hai'ma
海螵蛸,hai'piao'xiao
海藻,hai'zao
合欢花,he'huan'hua
合欢皮,he'huan'pi
鹤虱,he'shi
何首乌,he'shou'wu
核桃仁,he'tao'ren
荷叶,he'ye
诃子,he'zi
黑芝麻,hei'zhi'ma
红大戟,hong'da'ji
红豆蔻,hong'dou'kou
红粉,hong'fen
红花,hong'hua
红芪,hong'qi
红参,hong'shen
厚朴,hou'po
厚朴花,hou'pu'hua
胡黄连,hu'huang'lian
胡椒,hu'jiao
葫芦巴,hu'lu'ba
虎杖,hu'zhang
花椒,hua'jiao
花蕊石,hua'rui'shi
滑石,hua'shi
槐花,huai'hua
槐角,huai'jiao
黄柏,huang'bo
黄精,huang'jing
黄连,huang'lian
黄芪,huang'qi
黄芩,huang'qin
火麻仁,huo'ma'ren
鸡骨草,ji'gu'cao
鸡冠花,ji'guan'hua
藉节,ji'jie
蒺藜,ji'li
鸡内金,ji'nei'jin
急性子,ji'xing'zi
积雪草,ji'xue'cao
鸡血藤,ji'xue'teng
僵蚕,jiang'can
姜黄,jiang'huang
降香,jiang'xiang
焦槟榔,jiao'bing'lang
焦栀子,jiao'zhi'zi
桔梗,jie'geng
芥子,jie'zi
锦灯笼,jin'deng'long
金沸草,jin'fei'cao
金果榄,jin'guo'lan
金铃子,jin'ling'zi
金礞石,jin'meng'shi
金钱白花蛇,jin'qian'bai'hua'she
金钱草,jin'qian'cao
金荞麦,jin'qiao'mai
金银花,jin'yin'hua
金樱子,jin'ying'zi
京大戟,jing'da'ji
荆芥,jing'jie
韭菜子,jiu'cai'zi
九里香,jiu'li'xiang
九香虫,jiu'xiang'chong
橘核,ju'he
橘红,ju'hong
菊花,ju'hua
菊苣,ju'ju
卷柏,juan'bai
决明子,jue'ming'zi
苦楝皮,ku'lian'pi
苦木,ku'mu
苦参,ku'shen
苦杏仁,ku'xing'ren
款冬花,kuan'dong'hua
昆布,kun'bu
老鹳草,lao'guan'cao
雷丸,lei'wan
藜芦,li'lu
荔枝核,li'zhi'he
连房,lian'fang
连钱草,lian'qian'cao
连翘,lian'qiao
莲须,lian'xu
莲子,lian'zi
莲子心,lian'zi'xin
两面针,liang'mian'zhen
两头尖,liang'tou'jian
蓼大青叶,liao'da'qing'ye
辽细辛,liao'xi'xin
凌霄花,ling'xiao'hua
羚羊角,ling'yang'jiao
灵芝,ling'zhi
硫黄,liu'huang
龙胆,long'dan
龙眼肉,long'yan'rou
漏芦,lou'lu
炉甘石,lu'gan'shi
芦根,lu'gen
芦荟,lu'hui
鹿角,lu'jiao
鹿角霜,lu'jiao'shuang
路路通,lu'lu'tong
鹿茸,lu'rong
鹿衔草,lu'xian'cao
罗布麻叶,luo'bu'ma'ye
罗汉果,luo'han'guo
络石滕,luo'shi'teng
马鞭草,ma'bian'cao
马勃,ma'bo
马齿苋,ma'chi'xian
马兜铃,ma'dou'ling
麻黄,ma'huang
麻黄根,ma'huang'gen
马钱子,ma'qian'zi
麻油,ma'you
麦冬,mai'dong
麦芽,mai'ya
蔓荆子,man'jing'zi
满山红,man'shan'hong
芒硝,mang'xiao
毛诃子,mao'he'zi
猫爪草,mao'zhao'cao
玫瑰花,mei'gui'hua
梅花,mei'hua
蜜蒙花,mi'meng'hua
绵萆薢,mian'bi'xie
绵马贯众,mian'ma'guan'zhong
明党参,ming'dang'shen
墨旱莲,mo'han'lian
木鳖子,mu'bie'zi
牡丹皮,mu'dan'pi
木瓜,mu'gua
木蝴蝶,mu'hu'die
牡蛎,mu'li
木香,mu'xiang
木贼,mu'zei
南沙参,na'sha'shen
南板蓝根,nan'ban'lan'gen
南鹤虱,nan'he'shi
南五味子,nan'wu'wei'zi
闹羊花,nao'yang'hua
牛蒡子,niu'bang'zi
牛黄,niu'huang
牛膝,niu'xi
女贞子,nv'zhen'zi
胖大海,pang'da'hai
炮姜,pao'jiang
佩兰,pei'lan
枇杷叶,pi'pa'ye
片姜黄,pian'jiang'huang
平贝母,ping'bei'mu
蒲公英,pu'gong'ying
蒲黄,pu'huang
蕲蛇,qi'she
茜草,qian'cao
前胡,qian'hu
千金子,qian'jin'zi
千金子霜,qian'jin'zi'shuang
千年健,qian'nian'jian
牵牛子,qian'niu'zi
芡实,qian'shi
羌活,qiang'huo
秦艽,qin'jiao
秦皮,qin'pi
青黛,qing'dai
轻粉,qing'fen
青风藤,qing'feng'teng
青果,qing'guo
青蒿,qing'hao
青礞石,qing'meng'shi
青木香,qing'mu'xiang
青皮,qing'pi
青葙子,qing'xiang'zi
青叶胆,qing'ye'dan
蚯蚓,qiu'yin
瞿麦,qu'mai
拳参,quan'shen
全蝎,quan'xie
忍冬藤,ren'dong'teng
人参,ren'shen
人参叶,ren'shen'ye
肉豆蔻,rou'dou'kou
肉桂,rou'gui
肉巫蓉,rou'wu'rong
蕤仁,rui'ren
三白草,san'bai'cao
三棱,san'leng
三七,san'qi
桑白皮,sang'bai'pi
桑寄生,sang'ji'sheng
桑螵蛸,sang'piao'xiao
桑椹,sang'shen
桑叶,sang'ye
桑枝,sang'zhi
沙棘,sha'ji
砂仁,sha'ren
沙苑子,sha'yuan'zi
山慈姑,shan'ci'gu
山豆根,shan'dou'gen
山麦冬,shan'mai'dong
山柰,shan'nai
山药,shan'yao
山楂,shan'zha
山栀子,shan'zhi'zi
山茱萸,shan'zhu'yu
商陆,shang'lu
蛇床子,she'chuang'zi
蛇蜕,she'tui
麝香,she'xiang
伸筋草,shen'jin'cao
生姜,sheng'jiang
升麻,sheng'ma
石菖蒲,shi'chang'pu
柿蒂,shi'di
石膏,shi'gao
石斛,shi'hu
石决明,shi'jue'ming
使君子,shi'jun'zi
石榴皮,shi'liu'pi
石苇,shi'wei
首乌藤,shou'wu'teng
熟地黄,shu'di'huang
水红花子,shui'hong'hua'zi
水牛角,shui'niu'jiao
水蛭,shui'zhi
丝瓜络,si'gua'luo
松花粉,song'hua'fen
松节油,song'jie'you
苏合香,su'he'xiang
苏木,su'mu
酸枣仁,suan'zao'ren
娑罗子,suo'luo'zi
锁阳,suo'yang
太子参,tai'zi'shen
檀香,tan'xiang
桃仁,tao'ren
天冬,tian'dong
天花粉,tian'hua'fen
天葵子,tian'kui'zi
天麻,tian'ma
天南星,tian'nan'xing
天仙藤,tian'xian'teng
天仙子,tian'xian'zi
天竺黄,tian'zhu'huang
葶苈子,ting'li'zi
通草,tong'cao
土贝母,tu'bei'mu
土鳖虫,tu'bie'chong
土茯苓,tu'fu'ling
土荆皮,tu'jing'pi
土木香,tu'mu'xiang
菟丝子,tu'si'zi
瓦楞子,wa'leng'zi
王不留行,wang'bu'liu'xing
委陵菜,wei'ling'cai
威灵仙,wei'ling'xian
五倍子,wu'bei'zi
蜈蚣,wu'gong
五加皮,wu'jia'pi
乌梅,wu'mei
乌梢蛇,wu'shao'she
五味子,wu'wei'zi
乌药,wu'yao
吴茱萸,wu'zhu'yu
西河柳,xi'he'liu
西红花,xi'hong'hua
豨莶草,xi'xian'cao
细辛,xi'xin
西洋参,xi'yang'shen
夏枯草,xia'ku'cao
夏天无,xia'tian'wu
仙鹤草,xian'he'cao
仙茅,xian'mao
香附,xiang'fu
香加皮,xiang'jia'pi
香薷,xiang'ru
香橼,xiang'yuan
小茴香,xiao'hui'xiang
小蓟,xiao'ji
小通草,xiao'tong'cao
小叶莲,xiao'ye'lian
薤白,xie'bai
辛夷,xin'yi
杏仁,xing'ren
雄黄,xiong'huang
徐长卿,xu'chang'qing
续断,xu'duan
续随子,xu'sui'zi
旋覆花,xuan'fu'hua
玄明粉,xuan'ming'fen
玄参,xuan'shen
血竭,xue'jie
血余炭,xue'yu'tan
鸦胆子,ya'dan'zi
亚乎奴,ya'hu'nu
亚麻子,ya'ma'zi
鸭跖草,ya'zhi'cao
延胡索,yan'hu'suo
洋金花,yang'jin'hua
射干,ye'gan
野菊花,ye'ju'hua
伊贝母,yi'bei'mu
益母草,yi'mu'cao
薏苡仁,yi'yi'ren
益智,yi'zhi
银柴胡,yin'chai'hu
茵陈,yin'chen
银杏叶,yin'xing'ye
淫羊藿,yin'yang'huo
罂粟壳,ying'su'ke
余甘子,yu'gan'zi
郁金,yu'jin
郁李仁,yu'li'ren
鱼腥草,yu'xing'cao
禹余粮,yu'yu'liang
预知子,yu'zhi'zi
禹州漏芦,yu'zhou'lou'lu
玉竹,yu'zhu
芫花,yuan'hua
远志,yuan'zhi
月季花,yue'ji'hua
皂角刺,zao'jiao'ci
泽兰,ze'lan
泽泻,ze'xie
浙贝母,zhe'bei'mu
赭石,zhe'shi
珍珠,zhen'zhu
珍珠母,zhen'zhu'mu
制草乌,zhi'cao'wu
制川乌,zhi'chuan'wu
炙甘草,zhi'gan'cao
制何首乌,zhi'he'shou'wu
炙红芪,zhi'hong'qi
炙黄芪,zhi'huang'qi
枳壳,zhi'ke
知母,zhi'mu
枳实,zhi'shi
栀子,zhi'zi
肿节风,zhong'jie'feng
钟乳石,zhong'ru'shi
竹节参,zhu'jie'shen
猪苓,zhu'ling
竹茹,zhu'ru
朱砂,zhu'sha
猪牙皂,zhu'ya'zao
珠子参,zhu'zi'shen
紫草,zi'cao
紫河车,zi'he'che
紫花地丁,zi'hua'di'ding
自然铜,zi'ran'tong
紫石英,zi'shi'ying
紫苏梗,zi'su'geng
紫苏叶,zi'su'ye
紫苏子,zi'su'zi
紫菀,zi'wan
棕榈,zong'lv
