暗伤人,an'shang'ren
递过去,di'guo'qu
地溜平,di'liu'ping
地平川,di'ping'chuan
狄仁杰,di'ren'jie
低头一计,di'tou'yi'ji
低头一计有有有,di'tou'yi'ji'you'you'you
雕翎箭,diao'ling'jian
爹和娘,die'he'niang
定斩不饶,ding'zhan'bu'rao
丢死人,diu'si'ren
动刀兵,dong'dao'bing
洞房中,dong'fang'zhong
都安然,dou'an'ran
都伤情,dou'shang'qing
抖威风,dou'wei'feng
抖威武,dou'wei'wu
都有情,dou'you'qing
度光阴,du'guang'yin
度秋冬,du'qiu'dong
度日难,du'ri'nan
度时光,du'shi'guang
断了后,duan'le'hou
对你讲,dui'ni'jiang
对你明,dui'ni'ming
对我云,dui'wo'yun
多包涵,duo'bao'han
多保重,duo'bao'zhong
朵朵红,duo'duo'hong
多尽孝,duo'jin'xiao
多苦情,duo'ku'qing
多少春,duo'shao'chun
多照看,duo'zhao'kan
二老爹娘,er'lao'die'niang
二老双亲,er'lao'shuang'qin
二目眩,er'mu'xuan
二品官,er'pin'guan
二品卿,er'pin'qing
二员将,er'yuan'jiang
发了懵,fa'le'meng
犯边关,fan'bian'guan
犯愁肠,fan'chou'chang
翻翻身,fan'fan'shen
犯思量,fan'si'liang
防备老,fang'bei'lao
放悲声,fang'bei'sheng
放光明,fang'guang'ming
放金光,fang'jin'guang
方腊,fang'la
放下去,fang'xia'qu
分八字,fen'ba'zi
分男女,fen'nan'nv
焚香火,fen'xiang'huo
分心刺,fen'xin'ci
凤凰山,feng'huang'shan
冯奎,feng'kui
扶保,fu'bao
富贵荣华,fu'gui'rong'hua
驸马公,fu'ma'gong
驸马官,fu'ma'guan
驸马令,fu'ma'ling
府门庭,fu'men'ting
改了口,gai'le'kou
盖苏文,gai'su'wen
肝肠断,gan'chang'duan
赶贼兵,gan'zei'bing
高山下,gao'shan'xia
高声喝,gao'sheng'he
高声叫,gao'sheng'jiao
高声骂,gao'sheng'ma
高堂老母,gao'tang'lao'mu
给你餐,gei'ni'can
根牙,gen'ya
根由,gen'you
更得宠,geng'de'chong
功劳大,gong'lao'da
狗奸臣,gou'jian'chen
姑娘装,gu'niang'zhuang
古人名,gu'ren'ming
挂心中,gua'xin'zhong
观不尽,guan'bu'jin
关帝庙,guan'di'miao
关王庙,guan'wang'miao
官星,guan'xing
关云长,guan'yun'chang
观仔细,guan'zi'xi
跪埃尘,gui'ai'chen
归朝转,gui'chao'zhuan
跪地上,gui'di'shang
归了天,gui'le'tian
归了正,gui'le'zheng
跪溜平,gui'liu'ping
鬼门关,gui'men'guan
归天去,gui'tian'qu
归西天,gui'xi'tian
桂英,gui'ying
滚出去吧滚出去,gun'chu'qu'ba'gun'chu'qu
过百年,guo'bai'nian
过小年,guo'xiao'nian
还罢了,hai'ba'le
还不算,hai'bu'suan
还有气,hai'you'qi
寒贫,han'pin
喊冤枉,han'yuan'wang
好恩情,hao'en'qing
好汉男,hao'han'nan
好和歹,hao'he'dai
好婆家,hao'po'jia
好凄凉,hao'qi'liang
好心肠,hao'xin'chang
好心伤,hao'xin'shang
好心田,hao'xin'tian
喝个光,he'ge'guang
何为证,he'wei'zheng
黑包公,hei'bao'gong
黑旋风,hei'xuan'feng
狠心狼,hen'xin'lang
横批贴写,heng'pi'tie'xie
哼一声,heng'yi'sheng
红绫被,hong'ling'bei
哄下堂,hong'xia'tang
后边行,hou'bian'hang
后花园,hou'hua'yuan
后堂中,hou'tang'zhong
哗楞楞,hua'leng'leng
怀里装,huai'li'zhuang
怀中抱,huai'zhong'bao
还不起,huan'bu'qi
荒旱连年,huang'han'lian'nian
慌了神,huang'le'shen
黄氏女,huang'shi'nv
黄子灵,huang'zi'ling
回过身,hui'guo'shen
回过身来,hui'guo'shen'lai
回家门,hui'jia'men
回家转,hui'jia'zhuan
回门庭,hui'men'ting
回头看,hui'tou'kan
会云雨,hui'yun'yu
回转,hui'zhuan
昏沉沉,hun'chen'chen
昏迷处,hun'mi'chu
浑身冷,hun'shen'leng
活命难,huo'ming'nan
活性命,huo'xing'ming
几千冬,ji'qian'dong
及时雨,ji'shi'yu
记下善人,ji'xia'shan'ren
记心间,ji'xin'jian
记心中,ji'xin'zhong
家门庭,jia'men'ting
家业兴,jia'ye'xing
见阎王,jian'yan'wang
疆场上,jiang'chang'shang
降下方,jiang'xia'fang
讲一遍,jiang'yi'bian
叫喳喳,jiao'cha'cha
叫夫郎,jiao'fu'lang
叫何名,jiao'he'ming
叫几声,jiao'ji'sheng
叫了一声,jiao'le'yi'sheng
叫声,jiao'sheng
叫声狂,jiao'sheng'kuang
饺子掐,jiao'zi'qia
结仇冤,jie'chou'yuan
接手间,jie'shou'jian
接手中,jie'shou'zhong
结姻缘,jie'yin'yuan
接着听,jie'zhe'ting
金贵,jin'gui
锦江红,jin'jiang'hong
锦江山,jin'jiang'shan
金陵府,jin'ling'fu
金銮殿,jin'luan'dian
进一言,jin'yi'yan
惊上苍,jing'shang'cang
救了我,jiu'le'wo
酒一盅,jiu'yi'zhong
君臣散,jun'chen'san
俊俏郎,jun'qiao'lang
君王伴,jun'wang'ban
开虎口,kai'hu'kou
开金口,kai'jin'kou
开口唱,kai'kou'chang
开了腔,kai'le'qiang
开了声,kai'le'sheng
开门吧,kai'men'ba
开门双,kai'men'shuang
开双扇,kai'shuang'shan
开言道,kai'yan'dao
看罢,kan'ba
看罢多时,kan'ba'duo'shi
看得真,kan'de'zhen
看分明,kan'fen'ming
看一遍,kan'yi'bian
看一看,kan'yi'kan
看仔细,kan'zi'xi
靠不住,kao'bu'zhu
可安宁,ke'an'ning
可不行,ke'bu'xing
客爷叫,ke'ye'jiao
空中悬,kong'zhong'xuan
口内含,kou'nei'han
口尊,kou'zun
哭不的,ku'bu'de
哭苍天,ku'cang'tian
快开腔,kuai'kai'qiang
快用饭,kuai'yong'fan
奎木狼星,kui'mu'lang'xing
困朦胧,kun'meng'long
拉把成人,la'ba'cheng'ren
拉长腔,la'chang'qiang
拉衣裳,la'yi'shang
蜡渣黄,la'zha'huang
来帮忙,lai'bang'mang
来到此,lai'dao'ci
来得快,lai'de'kuai
来的全,lai'de'quan
来观看,lai'guan'kan
来几盅,lai'ji'zhong
来为君,lai'wei'jun
来一场,lai'yi'chang
来用饭,lai'yong'fan
来招亲,lai'zhao'qin
老祖宗,lao'zu'zong
乐无穷,le'wu'qiong
泪悲啼,lei'bei'ti
泪纷纷,lei'fen'fen
泪涟涟,lei'lian'lian
理不当,li'bu'dang
理不端,li'bu'duan
理不公,li'bu'gong
离长安,li'chang'an
立两旁,li'liang'pang
理难容,li'nan'rong
梨山圣母,li'shan'sheng'mu
脸挺长,lian'ting'chang
脸无光,lian'wu'guang
两边分,liang'bian'fen
两分离,liang'fen'li
亮纱窗,liang'sha'chuang
列两旁,lie'liang'pang
列四方,lie'si'fang
列一旁,lie'yi'pang
另改更,ling'gai'geng
另婚配,ling'hun'pei
灵霄殿,ling'xiao'dian
留丑名,liu'chou'ming
刘翠萍,liu'cui'ping
留恶名,liu'e'ming
刘关张,liu'guan'zhang
刘家庄,liu'jia'zhuang
刘姥姥,liu'lao'lao
溜溜光,liu'liu'guang
溜溜空,liu'liu'kong
留骂名,liu'ma'ming
留美名,liu'mei'ming
柳眉弯,liu'mei'wan
六品官,liu'pin'guan
溜平地,liu'ping'di
刘全,liu'quan
刘三姐,liu'san'jie
刘世昌,liu'shi'chang
龙耳听,long'er'ting
龙心喜,long'xin'xi
漏风声,lou'feng'sheng
喽啰兵,lou'luo'bing
路途景,lu'tu'jing
乱朝政,luan'chao'zheng
罗成,luo'cheng
罗士信,luo'shi'xin
落下泪,luo'xia'lei
马寡妇,ma'gua'fu
骂几声,ma'ji'sheng
马缰绳,ma'jiang'sheng
马桃红,ma'tao'hong
买对联,mai'dui'lian
卖油郎,mai'you'lang
满山红,man'shan'hong
忙搭躬,mang'da'gong
忙跪倒,mang'gui'dao
莽黄袍,mang'huang'pao
忙回话,mang'hui'hua
忙拣起,mang'jian'qi
忙开口,mang'kai'kou
忙赔礼,mang'pei'li
忙施礼,mang'shi'li
忙下轿,mang'xia'jiao
忙追赶,mang'zhui'gan
没唱好,mei'chang'hao
没搭上,mei'da'shang
没个完,mei'ge'wan
没脸见人,mei'lian'jian'ren
没影踪,mei'ying'zong
没用餐,mei'yong'can
没用饭,mei'yong'fan
美又鲜,mei'you'xian
没踪影,mei'zong'ying
门上闩,men'shang'shuan
门外看,men'wai'kan
迷魂阵,mi'hun'zhen
面前存,mian'qian'cun
面前迎,mian'qian'ying
命残生,ming'can'sheng
酩酊醉,ming'ding'zui
命归阴,ming'gui'yin
明礼仪,ming'li'yi
名声扬,ming'sheng'yang
明一明,ming'yi'ming
命由天,ming'you'tian
莫担惊,mo'dan'jing
莫心伤,mo'xin'shang
摸一把,mo'yi'ba
穆桂英,mu'gui'ying
哪般,na'ban
哪府并哪县,na'fu'bing'na'xian
拿手心,na'shou'xin
拿完毕,na'wan'bi
哪一个,na'yi'ge
拿章程,na'zhang'cheng
拿主张,na'zhu'zhang
奈何妨,nai'he'fang
南北和西东,nan'bei'he'xi'dong
男和女,nan'he'nv
难讲话,nan'jiang'hua
难开张,nan'kai'zhang
难睁眼,nan'zheng'yan
闹公堂,nao'gong'tang
闹荒旱,nao'huang'han
闹洋洋,nao'yang'yang
能掐会算,neng'qia'hui'suan
你当我是哪一个,ni'dang'wo'shi'na'yi'ge
你老听,ni'lao'ting
你是听,ni'shi'ting
你听言,ni'ting'yan
你听真,ni'ting'zhen
你听知,ni'ting'zhi
你细听,ni'xi'ting
念诗篇,nian'shi'pian
念书篇,nian'shu'pian
念一遍,nian'yi'bian
扭腰晃,niu'yao'huang
女钗裙,nv'chai'qun
女红妆,nv'gong'zhuang
女花容,nv'hua'rong
女娇娘,nv'jiao'niang
女善人,nv'shan'ren
女贤良,nv'xian'liang
怕的是,pa'de'shi
拍门板,pai'men'ban
袍袖装,pao'xiu'zhuang
配夫君,pei'fu'jun
配夫男,pei'fu'nan
撇撇嘴,pie'pie'zui
平川地,ping'chuan'di
破瓦寒窑,po'wa'han'yao
破衣裳,po'yi'shang
破阵,po'zhen
气冲天,qi'chong'tian
起个名,qi'ge'ming
齐跪倒,qi'gui'dao
气红眼,qi'hong'yan
起空云,qi'kong'yun
七品官,qi'pin'guan
七色花,qi'se'hua
气眼红,qi'yan'hong
起在空,qi'zai'kong
千般好,qian'ban'hao
千斤重,qian'jin'zhong
千斤坠,qian'jin'zhui
千两银,qian'liang'yin
千千万,qian'qian'wan
千张纸,qian'zhang'zhi
巧机关,qiao'ji'guan
巧计生,qiao'ji'sheng
巧梳妆,qiao'shu'zhuang
且不表,qie'bu'biao
秦香莲,qin'xiang'lian
秦雪梅,qin'xue'mei
秦仲,qin'zhong
晴了天,qing'le'tian
求功名,qiu'gong'ming
去从良,qu'cong'liang
去存身,qu'cun'shen
娶姑娘,qu'gu'niang
去喊冤,qu'han'yuan
去交令,qu'jiao'ling
去请,qu'qing
去求官,qu'qiu'guan
去逃荒,qu'tao'huang
去望风,qu'wang'feng
去歇凉,qu'xie'liang
去征战,qu'zheng'zhan
劝夫郎,quan'fu'lang
染黄泉,ran'huang'quan
惹祸端,re'huo'duan
热气腾腾,re'qi'teng'teng
热心肠,re'xin'chang
任我行,ren'wo'xing
人一个,ren'yi'ge
日落山,ri'luo'shan
日落西山,ri'luo'xi'shan
入梦乡,ru'meng'xiang
如墨染,ru'mo'ran
如山倒,ru'shan'dao
软又酸,ruan'you'suan
软又暄,ruan'you'xuan
赛天仙,sai'tian'xian
三品官,san'pin'guan
三品卿,san'pin'qing
三三见九,san'san'jian'jiu
三太子,san'tai'zi
三贤,san'xian
丧天良,sang'tian'liang
杀不的,sha'bu'de
傻相公,sha'xiang'gong
啥原因,sha'yuan'yin
上公堂,shang'gong'tang
上金銮,shang'jin'luan
上了路,shang'le'lu
上梁山,shang'liang'shan
上楼房,shang'lou'fang
上无,shang'wu
上写,shang'xie
上一联,shang'yi'lian
上有,shang'you
烧个光,shao'ge'guang
少金银,shao'jin'yin
佘太君,she'tai'jun
身穿孝,shen'chuan'xiao
身发抖,shen'fa'dou
身贫贱,shen'pin'jian
身上穿,shen'shang'chuan
审一番,shen'yi'fan
升了天,sheng'le'tian
生巧计,sheng'qiao'ji
声声长,sheng'sheng'chang
生一计,sheng'yi'ji
事不好,shi'bu'hao
十两银,shi'liang'yin
实难言,shi'nan'yan
实情话,shi'qing'hua
是贤良,shi'xian'liang
湿衣衫,shi'yi'shan
湿衣裳,shi'yi'shang
事一宗,shi'yi'zong
受孤单,shou'gu'dan
守了寡,shou'le'gua
受贫寒,shou'pin'han
受贫穷,shou'pin'qiong
兽中王,shou'zhong'wang
鼠眼睛,shu'yan'jing
耍大钱,shua'da'qian
耍花腔,shua'hua'qiang
耍滑腔,shua'hua'qiang
刷刷点点,shua'shua'dian'dian
水灵灵,shui'ling'ling
说罢,shuo'ba
说分明,shuo'fen'ming
说个清,shuo'ge'qing
死得惨,si'de'can
似流水,si'liu'shui
四品官,si'pin'guan
四品卿,si'pin'qing
宋朝忠臣,song'chao'zhong'chen
送二目,song'er'mu
松了绑,song'le'bang
送一程,song'yi'cheng
诉情肠,su'qing'chang
诉冤枉,su'yuan'wang
算白扔,suan'bai'reng
他不晓,ta'bu'xiao
她不晓,ta'bu'xiao
太绝情,tai'jue'qing
太阳红,tai'yang'hong
唐朝忠臣,tang'chao'zhong'chen
淌哈喇子,tang'ha'la'zi
唐金蕊,tang'jin'rui
掏灰耙,tao'hui'ba
逃了跑,tao'le'pao
疼死个人,teng'si'ge'ren
体格强,ti'ge'qiang
天地拜,tian'di'bai
天注定,tian'zhu'ding
贴写,tie'xie
听其详,ting'qi'xiang
听我讲,ting'wo'jiang
听衷肠,ting'zhong'chang
听周全,ting'zhou'quan
痛心肝,tong'xin'gan
头前走,tou'qian'zou
头一名,tou'yi'ming
土埃尘,tu'ai'chen
徒儿叫,tu'er'jiao
吐狂言,tu'kuang'yan
托手心,tuo'shou'xin
瓦窑,wa'yao
万般出在无计奈,wan'ban'chu'zai'wu'ji'nai
万不能,wan'bu'neng
万古留,wan'gu'liu
万两银,wan'liang'yin
往后退,wang'hou'tui
王家庄,wang'jia'zhuang
王魁元,wang'kui'yuan
往上蹿,wang'shang'cuan
往西行,wang'xi'xing
往下看,wang'xia'kan
为何故,wei'he'gu
为何情,wei'he'qing
为了难,wei'le'nan
为哪般,wei'na'ban
为一段,wei'yi'duan
问安宁,wen'an'ning
问苍天,wen'cang'tian
问我,wen'wo
文武兵,wen'wu'bing
文武臣,wen'wu'chen
问斩刑,wen'zhan'xing
我不帮,wo'bu'bang
我不容,wo'bu'rong
我不受,wo'bu'shou
我不贪,wo'bu'tan
我不忘,wo'bu'wang
我父亲,wo'fu'qin
我何不,wo'he'bu
我家门,wo'jia'men
我有气,wo'you'qi
五百冬,wu'bai'dong
无爹娘,wu'die'niang
武二郎,wu'er'lang
无计奈,wu'ji'nai
乌江中,wu'jiang'zhong
五两银,wu'liang'yin
五龙堂,wu'long'tang
无名少姓人,wu'ming'shao'xing'ren
五品官,wu'pin'guan
无人走,wu'ren'zou
五色花,wu'se'hua
五阎佛,wu'yan'fo
无义男,wu'yi'nan
细打量,xi'da'liang
细端详,xi'duan'xiang
洗屈情,xi'qu'qing
细商量,xi'shang'liang
喜心中,xi'xin'zhong
喜洋洋,xi'yang'yang
喜在心,xi'zai'xin
瞎叨叨,xia'dao'dao
下锅粮,xia'guo'liang
下接,xia'jie
下天宫,xia'tian'gong
下一联,xia'yi'lian
下有,xia'you
闲来无事,xian'lai'wu'shi
想到此,xiang'dao'ci
像刀剜,xiang'dao'wan
响叮当,xiang'ding'dang
响哗楞,xiang'hua'leng
响连声,xiang'lian'sheng
像妖精,xiang'yao'jing
小白龙,xiao'bai'long
小奴家,xiao'nu'jia
小奴我,xiao'nu'wo
笑吟吟,xiao'yin'yin
笑盈盈,xiao'ying'ying
小玉环,xiao'yu'huan
写的强,xie'de'qiang
血淋淋,xie'lin'lin
写完毕,xie'wan'bi
谢阎君,xie'yan'jun
心暗想,xin'an'xiang
心胆寒,xin'dan'han
心胆惊,xin'dan'jing
心发颤,xin'fa'chan
心害怕,xin'hai'pa
心好恼,xin'hao'nao
心欢喜,xin'huan'xi
心里明,xin'li'ming
心落地,xin'luo'di
心生一计,xin'sheng'yi'ji
心中暗暗,xin'zhong'an'an
行此路,xing'ci'lu
杏核眼,xing'he'yan
醒来吧呀醒来吧,xing'lai'ba'ya'xing'lai'ba
兴许,xing'xu
休发狂,xiu'fa'kuang
休回家,xiu'hui'jia
羞又愧,xiu'you'kui
绣鸳鸯,xiu'yuan'yang
徐茂公,xu'mao'gong
薛礼,xue'li
血染红,xue'ran'hong
熏得慌,xun'de'huang
寻了短见,xun'le'duan'jian
牙床上,ya'chuang'shang
牙床下,ya'chuang'xia
烟花行,yan'hua'xing
眼难睁,yan'nan'zheng
眼气红,yan'qi'hong
眼前来到,yan'qian'lai'dao
眼前来在,yan'qian'lai'zai
仰巴跤,yang'ba'jiao
杨家将,yang'jia'jiang
杨金豹,yang'jin'bao
扬威名,yang'wei'ming
杨延顺,yang'yan'shun
养育恩,yang'yu'en
要说清,yao'shuo'qing
要听真,yao'ting'zhen
要听知,yao'ting'zhi
要贤良,yao'xian'liang
咬牙根,yao'ya'gen
腰中系,yao'zhong'xi
一百单八将,yi'bai'dan'ba'jiang
一般同,yi'ban'tong
一般样,yi'ban'yang
一辈古,yi'bei'gu
一点红,yi'dian'hong
衣服连,yi'fu'lian
一老农,yi'lao'nong
一溜风,yi'liu'feng
一命归西,yi'ming'gui'xi
一命坑,yi'ming'keng
一命亡,yi'ming'wang
一旁扔,yi'pang'reng
一品官,yi'pin'guan
一品卿,yi'pin'qing
一声响,yi'sheng'xiang
一十八冬,yi'shi'ba'dong
一十六冬,yi'shi'liu'dong
一双儿女,yi'shuang'er'nv
一位相公,yi'wei'xiang'gong
一小段,yi'xiao'duan
一样般,yi'yang'ban
一员将,yi'yuan'jiang
已圆满,yi'yuan'man
一栽楞,yi'zai'leng
阴魂阵,yin'hun'zhen
饮酒浆,yin'jiu'jiang
阴了天,yin'le'tian
饮刘伶,yin'liu'ling
樱桃口,ying'tao'kou
樱桃小口,ying'tao'xiao'kou
影无踪,ying'wu'zong
英雄汉,ying'xiong'han
用脚踢,yong'jiao'ti
用目看,yong'mu'kan
用目瞧,yong'mu'qiao
有长短,you'chang'duan
有仇冤,you'chou'yuan
有短长,you'duan'chang
有多悬,you'duo'xuan
有高堂,you'gao'tang
有家乡,you'jia'xiang
有门庭,you'men'ting
有你名,you'ni'ming
有人声,you'ren'sheng
有人言,you'ren'yan
有人云,you'ren'yun
有银铜,you'yin'tong
有余零,you'yu'ling
有冤情,you'yuan'qing
与我报,yu'wo'bao
院当心,yuan'dang'xin
月昏黄,yue'hun'huang
运败,yun'bai
再把,zai'ba
再表明,zai'biao'ming
再表那,zai'biao'na
在朝居官,zai'chao'ju'guan
在此中,zai'ci'zhong
在当心,zai'dang'xin
栽楞,zai'leng
在面旁,zai'mian'pang
在身旁,zai'shen'pang
再相逢,zai'xiang'feng
在心中,zai'xin'zhong
栽栽楞楞,zai'zai'leng'leng
咱不表,zan'bu'biao
暂不表,zan'bu'biao
遭荒旱,zao'huang'han
早回还,zao'hui'huan
早回转,zao'hui'zhuan
早清闲,zao'qing'xian
早团圆,zao'tuan'yuan
遭灾殃,zao'zai'yang
贼兵退,zei'bing'tui
怎挡寒,zen'dang'han
站埃尘,zhan'ai'chen
站起身,zhan'qi'shen
长得强,zhang'de'qiang
张君瑞,zhang'jun'rui
掌乾坤,zhang'qian'kun
张士贵,zhang'shi'gui
赵公明,zhao'gong'ming
赵家庄,zhao'jia'zhuang
赵匡胤,zhao'kuang'yin
赵连芳,zhao'lian'fang
这一行,zhe'yi'xing
震朝纲,zhen'chao'gang
真叫我,zhen'jiao'wo
整八年,zheng'ba'nian
整八载,zheng'ba'zai
正悲痛,zheng'bei'tong
正当中,zheng'dang'zhong
睁二目,zheng'er'mu
整二年,zheng'er'nian
整二载,zheng'er'zai
整九年,zheng'jiu'nian
整九载,zheng'jiu'zai
整六年,zheng'liu'nian
整六载,zheng'liu'zai
正年轻,zheng'nian'qing
整七年,zheng'qi'nian
整七载,zheng'qi'zai
正青春,zheng'qing'chun
整三年,zheng'san'nian
整三载,zheng'san'zai
正是,zheng'shi
整十冬,zheng'shi'dong
整十年,zheng'shi'nian
整十载,zheng'shi'zai
整四年,zheng'si'nian
整四载,zheng'si'zai
整五年,zheng'wu'nian
整五载,zheng'wu'zai
整一年,zheng'yi'nian
整一载,zheng'yi'zai
止步观,zhi'bu'guan
止步看,zhi'bu'kan
只管用,zhi'guan'yong
只见她,zhi'jian'ta
直叫娘,zhi'jiao'niang
止住步,zhi'zhu'bu
重恩情,zhong'en'qing
忠烈名,zhong'lie'ming
忠心报国,zhong'xin'bao'guo
主意定,zhu'yi'ding
转成人,zhuan'cheng'ren
转回房,zhuan'hui'fang
状元府,zhuang'yuan'fu
追赶咱,zhui'gan'zan
准保行,zhun'bao'xing
桌中央,zhuo'zhong'yang
仔细看,zi'xi'kan
仔细瞧,zi'xi'qiao
走出关,zou'chu'guan
走得欢,zou'de'huan
走得急,zou'de'ji
奏一本,zou'yi'ben
走一程,zou'yi'cheng
走至近前,zou'zhi'jin'qian
足下登,zu'xia'deng
祖宗叫,zu'zong'jiao
钻心疼,zuan'xin'teng
罪不轻,zui'bu'qing
罪该死,zui'gai'si
醉朦胧,zui'meng'long
尊夫君,zun'fu'jun
尊声,zun'sheng
坐汴梁,zuo'bian'liang
坐东京,zuo'dong'jing
坐龙墩,zuo'long'dun
坐正堂,zuo'zheng'tang
坐中央,zuo'zhong'yang
