氨二泵,an'er'beng
氮四段,dan'si'duan
氮压机,dan'ya'ji
氮液,dan'ye
氮液蒸馏塔,dan'ye'zheng'liu'ta
氮一段,dan'yi'duan
倒班,dao'ban
澄清桶,deng'qing'tong
低报,di'bao
低变废锅,di'bian'fei'guo
低变废热锅炉,di'bian'fei're'guo'lu
低变炉,di'bian'lu
低变气,di'bian'qi
低变气分离器,di'bian'qi'fen'li'qi
低变气再沸器,di'bian'qi'zai'fei'qi
低低报,di'di'bao
低温变换炉,di'wen'bian'huan'lu
地下槽泵,di'xia'cao'beng
低压洗氨泵,di'ya'xi'an'beng
低压洗氨塔,di'ya'xi'an'ta
低压蒸汽,di'ya'zheng'qi
电测,dian'ce
电磁阀,dian'ci'fa
电导仪,dian'dao'yi
点火调节阀,dian'huo'tiao'jie'fa
点火装置,dian'huo'zhuang'zhi
电加热器,dian'jia're'qi
电气,dian'qi
电气车间,dian'qi'che'jian
电气工程师,dian'qi'gong'cheng'shi
电源柜,dian'yuan'gui
电子测量与仪器,dian'zi'ce'liang'yu'yi'qi
调度长,diao'du'chang
调度室,diao'du'shi
蝶阀,die'fa
煅烧,duan'shao
煅烧楼,duan'shao'lou
煅烧炉,duan'shao'lu
端子板,duan'zi'ban
端子板柜,duan'zi'ban'gui
端子柜,duan'zi'gui
端子号,duan'zi'hao
吨袋,dun'dai
吨袋包装,dun'dai'bao'zhuang
二氨分,er'an'fen
二氨冷,er'an'leng
二次风机,er'ci'feng'ji
二次风门,er'ci'feng'men
二段炉,er'duan'lu
二段炉进口保护蒸汽,er'duan'lu'jin'kou'bao'hu'zheng'qi
二段转换炉,er'duan'zhuan'huan'lu
二过程,er'guo'cheng
二氧化碳分析仪,er'yang'hua'tan'fen'xi'yi
二氧化碳冷却器,er'yang'hua'tan'leng'que'qi
二氧化碳压缩机,er'yang'hua'tan'ya'suo'ji
反吹,fan'chui
反渗透,fan'shen'tou
反渗透高压泵,fan'shen'tou'gao'ya'beng
反渗透增压泵,fan'shen'tou'zeng'ya'beng
放氨阀,fang'an'fa
放空阀,fang'kong'fa
废氮液,fei'dan'ye
废氮液泵,fei'dan'ye'beng
霏凡软件,fei'fan'ruan'jian
废锅,fei'guo
废热锅炉,fei're'guo'lu
沸腾干铵炉,fei'teng'gan'an'lu
费希尔,fei'xi'er
分离液,fen'li'ye
分离液沉淀泵,fen'li'ye'chen'dian'beng
分离液桶,fen'li'ye'tong
分馏塔,fen'liu'ta
分配槽,fen'pei'cao
分散剂溶解槽,fen'san'ji'rong'jie'cao
分散剂溶液泵,fen'san'ji'rong'ye'beng
粉碎机,fen'sui'ji
分子筛,fen'zi'shai
分子筛吸附器,fen'zi'shai'xi'fu'qi
风机,feng'ji
风门调节阀,feng'men'tiao'jie'fa
风压,feng'ya
副操,fu'cao
附电机,fu'dian'ji
富氧,fu'yang
富氧加热炉,fu'yang'jia're'lu
富液,fu'ye
富液槽,fu'ye'cao
富液闪蒸槽,fu'ye'shan'zheng'cao
富液预热器,fu'ye'yu're'qi
辅助触点,fu'zhu'chu'dian
干铵,gan'an
干铵楼,gan'an'lou
干铵炉,gan'an'lu
高报,gao'bao
高高报,gao'gao'bao
高压泵,gao'ya'beng
高压洗氨泵,gao'ya'xi'an'beng
高压蒸汽,gao'ya'zheng'qi
隔离栅,ge'li'shan
给煤机,gei'mei'ji
公称通径,gong'cheng'tong'jing
工具柜,gong'ju'gui
工艺,gong'yi
工艺空气,gong'yi'kong'qi
工艺冷凝液,gong'yi'leng'ning'ye
工艺冷凝液泵,gong'yi'leng'ning'ye'beng
工艺冷凝液气提塔,gong'yi'leng'ning'ye'qi'ti'ta
工艺天然气,gong'yi'tian'ran'qi
工艺氧气,gong'yi'yang'qi
供应部,gong'ying'bu
鼓风机,gu'feng'ji
谷歌词库,gu'ge'ci'ku
广海社区,guang'hai'she'qu
锅炉房,guo'lu'fang
锅炉给水,guo'lu'ji'shui
锅炉上水,guo'lu'shang'shui
锅炉上水调节阀,guo'lu'shang'shui'tiao'jie'fa
锅炉循环水泵,guo'lu'xun'huan'shui'beng
锅炉压力,guo'lu'ya'li
过滤器,guo'lv'qi
焊工班,han'gong'ban
和邦,he'bang
和邦防腐队,he'bang'fang'fu'dui
和邦化工公司,he'bang'hua'gong'gong'si
和邦集团,he'bang'ji'tuan
和邦顺城盐业有限公司,he'bang'shun'cheng'yan'ye'you'xian'gong'si
和邦投资集团有限公司,he'bang'tou'zi'ji'tuan'you'xian'gong'si
和邦投资集团有限公司化工公司,he'bang'tou'zi'ji'tuan'you'xian'gong'si'hua'gong'gong'si
合成,he'cheng
合成氨,he'cheng'an
合成废锅,he'cheng'fei'guo
合成分厂,he'cheng'fen'chang
合成界区,he'cheng'jie'qu
合成开工加热炉,he'cheng'kai'gong'jia're'lu
合成配电班,he'cheng'pei'dian'ban
合成配电房,he'cheng'pei'dian'fang
合成片区,he'cheng'pian'qu
合成气,he'cheng'qi
合成气给水预热器,he'cheng'qi'ji'shui'yu're'qi
合成水冷器,he'cheng'shui'leng'qi
合成塔,he'cheng'ta
和利时,he'li'shi
核子秤,he'zi'cheng
横河川仪,heng'he'chuan'yi
后截阀,hou'jie'fa
化八院,hua'ba'yuan
化合水,hua'he'shui
化合水冷却器,hua'he'shui'leng'que'qi
滑环风机,hua'huan'feng'ji
化水,hua'shui
化水站,hua'shui'zhan
环安部,huan'an'bu
环保安全部,huan'bao'an'quan'bu
缓冲罐,huan'chong'guan
换热管,huan're'guan
黄河制氧,huang'he'zhi'yang
灰斗,hui'dou
回收塔,hui'shou'ta
回收桶,hui'shou'tong
混合器二段,hun'he'qi'er'duan
混合气三段,hun'he'qi'san'duan
混合气四段,hun'he'qi'si'duan
混合气压缩机,hun'he'qi'ya'suo'ji
混合气一段,hun'he'qi'yi'duan
霍尼韦尔,huo'ni'wei'er
集合槽,ji'he'cao
集灰罐,ji'hui'guan
计量室,ji'liang'shi
集散控制系统,ji'san'kong'zhi'xi'tong
给水调节阀,ji'shui'tiao'jie'fa
计算机班,ji'suan'ji'ban
机械过滤器,ji'xie'guo'lv'qi
集油器,ji'you'qi
甲二换,jia'er'huan
甲二换热器,jia'er'huan're'qi
加料斗,jia'liao'dou
加料器,jia'liao'qi
加热炉,jia're'lu
夹套水,jia'tao'shui
夹套水泵,jia'tao'shui'beng
夹套水贮水槽,jia'tao'shui'zhu'shui'cao
甲烷化,jia'wan'hua
甲烷化分离器,jia'wan'hua'fen'li'qi
甲烷化换热器,jia'wan'hua'huan're'qi
甲烷化炉,jia'wan'hua'lu
甲烷气分离器,jia'wan'qi'fen'li'qi
甲一换,jia'yi'huan
甲一换热器,jia'yi'huan're'qi
碱仓,jian'cang
碱车,jian'che
碱尘,jian'chen
间断排污罐,jian'duan'pai'wu'guan
碱库,jian'ku
碱皮带,jian'pi'dai
碱筛,jian'shai
监视器,jian'shi'qi
角阀,jiao'fa
交流继电器,jiao'liu'ji'dian'qi
焦炭仓,jiao'tan'cang
焦炭称,jiao'tan'cheng
焦炭加料器,jiao'tan'jia'liao'qi
接班,jie'ban
解除联锁,jie'chu'lian'suo
界区,jie'qu
接线柱,jie'xian'zhu
进出塔预热器,jin'chu'ta'yu're'qi
紧急停车,jin'ji'ting'che
紧急停车按钮,jin'ji'ting'che'an'niu
紧急停车方案,jin'ji'ting'che'fang'an
进口阀,jin'kou'fa
进料阀,jin'liao'fa
进料蛟龙,jin'liao'jiao'long
进气阀,jin'qi'fa
静电除尘,jing'dian'chu'chen
净化气,jing'hua'qi
净化器分离器,jing'hua'qi'fen'li'qi
净化气分离器,jing'hua'qi'fen'li'qi
净化气冷却器,jing'hua'qi'leng'que'qi
静水站,jing'shui'zhan
径向触媒层,jing'xiang'chu'mei'ceng
卷扬机,juan'yang'ji
卡件,ka'jian
开封压缩机,kai'feng'ya'suo'ji
开工加热炉,kai'gong'jia're'lu
开工烧嘴,kai'gong'shao'zui
开关量输出模块,kai'guan'liang'shu'chu'mo'kuai
开关量输入模块,kai'guan'liang'shu'ru'mo'kuai
空二段,kong'er'duan
空分,kong'fen
空分岗位,kong'fen'gang'wei
空分塔,kong'fen'ta
空气发散消音器,kong'qi'fa'san'xiao'yin'qi
空气分馏塔,kong'qi'fen'liu'ta
空气缓冲器,kong'qi'huan'chong'qi
空气加热器,kong'qi'jia're'qi
空气喷射蒸发器,kong'qi'pen'she'zheng'fa'qi
空气压缩机,kong'qi'ya'suo'ji
空三段,kong'san'duan
空四段,kong'si'duan
空压机,kong'ya'ji
空压机放空,kong'ya'ji'fang'kong
空压机后冷却器,kong'ya'ji'hou'leng'que'qi
空一段,kong'yi'duan
库房班,ku'fang'ban
快关阀,kuai'guan'fa
拉钩螺栓,la'gou'luo'shuan
乐山,le'shan
乐山和邦集团,le'shan'he'bang'ji'tuan
乐山天然气化工公司,le'shan'tian'ran'qi'hua'gong'gong'si
乐山五通,le'shan'wu'tong
冷氨泵,leng'an'beng
冷冻机,leng'dong'ji
冷交,leng'jiao
冷交换器,leng'jiao'huan'qi
冷凝液桶,leng'ning'ye'tong
冷凝液贮槽,leng'ning'ye'zhu'cao
冷析,leng'xi
冷析稠厚器,leng'xi'chou'hou'qi
冷析结晶器,leng'xi'jie'jing'qi
冷析桶,leng'xi'tong
冷析轴流泵,leng'xi'zhou'liu'beng
离心机,li'xin'ji
离心滤铵机,li'xin'lv'an'ji
离心滤液泵,li'xin'lv'ye'beng
离心滤液桶,li'xin'lv'ye'tong
离心式压缩机,li'xin'shi'ya'suo'ji
联合压缩机,lian'he'ya'suo'ji
联碱,lian'jian
联碱分厂,lian'jian'fen'chang
联碱配电班,lian'jian'pei'dian'ban
联锁,lian'suo
连续排污罐,lian'xu'pai'wu'guan
凉碱机,liang'jian'ji
料仓,liao'cang
磷酸盐泵,lin'suan'yan'beng
流化,liu'hua
硫化钠高位槽,liu'hua'na'gao'wei'cao
硫化钠溶解槽,liu'hua'na'rong'jie'cao
流量,liu'liang
流量变送器,liu'liang'bian'song'qi
龙静静电除尘,long'jing'jing'dian'chu'chen
炉气,lu'qi
炉气分离器,lu'qi'fen'li'qi
炉气冷凝器,lu'qi'leng'ning'qi
炉气洗涤塔,lu'qi'xi'di'ta
罗斯蒙特,luo'si'meng'te
滤氨,lv'an
氯铵包装,lv'an'bao'zhuang
滤氨液泵,lv'an'ye'beng
滤氨液桶,lv'an'ye'tong
氯化铵离心机,lv'hua'an'li'xin'ji
氯化铵皮带,lv'hua'an'pi'dai
滤碱机,lv'jian'ji
滤液泵,lv'ye'beng
滤液桶,lv'ye'tong
膜分离器,mo'fen'li'qi
膜回收,mo'hui'shou
模拟量输出模块,mo'ni'liang'shu'chu'mo'kuai
模拟量输入模块,mo'ni'liang'shu'ru'mo'kuai
母换,mu'huan
木蚂蚁软件,mu'ma'yi'ruan'jian
母液,mu'ye
母液泵,mu'ye'beng
母液澄清桶,mu'ye'deng'qing'tong
母液换热器,mu'ye'huan're'qi
母液回收泵,mu'ye'hui'shou'beng
母液回收桶,mu'ye'hui'shou'tong
母液一泵,mu'ye'yi'beng
母液一沉淀泵,mu'ye'yi'chen'dian'beng
逆流泵,ni'liu'beng
牛华,niu'hua
牛华盐厂,niu'hua'yan'chang
牛华镇,niu'hua'zhen
浓水,nong'shui
欧姆龙,ou'mu'long
排污阀,pai'wu'fa
排污沟,pai'wu'gou
排污罐,pai'wu'guan
排污冷却器,pai'wu'leng'que'qi
盘车器,pan'che'qi
跑冒滴漏,pao'mao'di'lou
配气站,pei'qi'zhan
膨胀螺栓,peng'zhang'luo'shuan
皮带秤,pi'dai'cheng
贫液,pin'ye
贫液泵,pin'ye'beng
贫液再生度,pin'ye'zai'sheng'du
汽包,qi'bao
汽包上水调节阀,qi'bao'shang'shui'tiao'jie'fa
汽包液位,qi'bao'ye'wei
气闭阀,qi'bi'fa
气动阀,qi'dong'fa
气关阀,qi'guan'fa
七化建,qi'hua'jian
气开阀,qi'kai'fa
气力输灰,qi'li'shu'hui
气提塔,qi'ti'ta
起停,qi'ting
气相,qi'xiang
气液分离器,qi'ye'fen'li'qi
钳工班,qian'gong'ban
前后截止阀,qian'hou'jie'zhi'fa
前截阀,qian'jie'fa
桥架,qiao'jia
桥式吊车,qiao'shi'diao'che
氢氮,qing'dan
氢氮比,qing'dan'bi
氢氮分析,qing'dan'fen'xi
氢氮分析仪,qing'dan'fen'xi'yi
氢氮机,qing'dan'ji
氢氮压缩机,qing'dan'ya'suo'ji
氢二段,qing'er'duan
轻灰,qing'hui
青灰,qing'hui
轻灰煅烧炉,qing'hui'duan'shao'lu
轻灰料仓,qing'hui'liao'cang
轻灰炉气洗涤塔,qing'hui'lu'qi'xi'di'ta
轻灰螺旋输送机,qing'hui'luo'xuan'shu'song'ji
轻灰埋刮板输送机,qing'hui'mai'gua'ban'shu'song'ji
轻灰提升机,qing'hui'ti'sheng'ji
氢三段,qing'san'duan
氢四段,qing'si'duan
清洗氨母液二泵,qing'xi'an'mu'ye'er'beng
氢循机,qing'xun'ji
氢一段,qing'yi'duan
轻质碱,qing'zhi'jian
燃料气缓冲罐,ran'liao'qi'huan'chong'guan
燃料天然气,ran'liao'tian'ran'qi
热导式分析仪,re'dao'shi'fen'xi'yi
热电偶,re'dian'ou
热电阻,re'dian'zu
人事部,ren'shi'bu
溶液泵,rong'ye'beng
溶液换热器,rong'ye'huan're'qi
入口压力,ru'kou'ya'li
软水,ruan'shui
三次气阀,san'ci'qi'fa
三江自控,san'jiang'zi'kong
色谱分析仪,se'pu'fen'xi'yi
闪发器,shan'fa'qi
上部温度,shang'bu'wen'du
上部液位,shang'bu'ye'wei
上段触媒层,shang'duan'chu'mei'ceng
上段换热器,shang'duan'huan're'qi
上水,shang'shui
烧嘴,shao'zui
设备部,she'bei'bu
深夜班,shen'ye'ban
生产,sheng'chan
生技部,sheng'ji'bu
湿铵,shi'an
湿铵带式输送机,shi'an'dai'shi'shu'song'ji
湿铵皮带,shi'an'pi'dai
石灰石仓,shi'hui'shi'cang
石灰石称,shi'hui'shi'cheng
石灰石加料器,shi'hui'shi'jia'liao'qi
石灰窑,shi'hui'yao
输氨,shu'an
输氨气相管,shu'an'qi'xiang'guan
输氨液相管,shu'an'ye'xiang'guan
输送机,shu'song'ji
数显表,shu'xian'biao
数字量输出模块,shu'zi'liang'shu'chu'mo'kuai
数字量输入模块,shu'zi'liang'shu'ru'mo'kuai
水合机,shui'he'ji
水冷器,shui'leng'qi
水汽,shui'qi
水汽车间,shui'qi'che'jian
顺城包装,shun'cheng'bao'zhuang
顺城盐业,shun'cheng'yan'ye
顺城盐业办公楼,shun'cheng'yan'ye'ban'gong'lou
四川和邦集团,si'chuan'he'bang'ji'tuan
四川乐山,si'chuan'le'shan
四川乐山和邦化工有限公司,si'chuan'le'shan'he'bang'hua'gong'you'xian'gong'si
四川乐山和邦投资集团有限公司,si'chuan'le'shan'he'bang'tou'zi'ji'tuan'you'xian'gong'si
四川省乐山市五通桥区牛华镇,si'chuan'sheng'le'shan'shi'wu'tong'qiao'qu'niu'hua'zhen
四川鑫兴自动化,si'chuan'xin'xing'zi'dong'hua
搜狗词库,sou'gou'ci'ku
酸洗泵,suan'xi'beng
酸洗桶,suan'xi'tong
碳化塔,tan'hua'ta
天二段,tian'er'duan
天空机,tian'kong'ji
天空压缩机,tian'kong'ya'suo'ji
天然气加热炉,tian'ran'qi'jia're'lu
天然气流量,tian'ran'qi'liu'liang
天然气压力,tian'ran'qi'ya'li
天一段,tian'yi'duan
调节阀,tiao'jie'fa
停车回路,ting'che'hui'lu
通径,tong'jing
透平机,tou'ping'ji
透平膨胀机,tou'ping'peng'zhang'ji
土建部,tu'jian'bu
脱硫,tuo'liu
脱硫槽,tuo'liu'cao
脱硫系统,tuo'liu'xi'tong
脱碳,tuo'tan
脱碳风机,tuo'tan'feng'ji
脱碳塔,tuo'tan'ta
脱盐,tuo'yan
脱盐水,tuo'yan'shui
脱盐水槽,tuo'yan'shui'cao
脱盐水箱,tuo'yan'shui'xiang
脱盐水预热器,tuo'yan'shui'yu're'qi
外冷楼,wai'leng'lou
外冷器,wai'leng'qi
往复式压缩机,wang'fu'shi'ya'suo'ji
往复压缩机,wang'fu'ya'suo'ji
位号,wei'hao
尾气,wei'qi
尾气排气槽,wei'qi'pai'qi'cao
尾气洗涤塔,wei'qi'xi'di'ta
维修班,wei'xiu'ban
温度,wen'du
温度变送器,wen'du'bian'song'qi
温度计,wen'du'ji
污氮,wu'dan
污氮排放消音器,wu'dan'pai'fang'xiao'yin'qi
五通,wu'tong
五通桥,wu'tong'qiao
五通桥区,wu'tong'qiao'qu
无锡工装,wu'xi'gong'zhuang
洗氨,xi'an
吸氨器,xi'an'qi
洗氨器,xi'an'qi
洗涤水,xi'di'shui
洗涤水水封槽,xi'di'shui'shui'feng'cao
洗涤塔,xi'di'ta
洗涤液泵,xi'di'ye'beng
洗水泵,xi'shui'beng
洗水槽,xi'shui'cao
洗水桶,xi'shui'tong
系统调试,xi'tong'tiao'shi
系统维护员,xi'tong'wei'hu'yuan
稀油站,xi'you'zhan
下部温度,xia'bu'wen'du
下部液位,xia'bu'ye'wei
下段触媒层,xia'duan'chu'mei'ceng
下段换热器,xia'duan'huan're'qi
下料,xia'liao
下料斗,xia'liao'dou
线号,xian'hao
鑫兴自动化,xin'xing'zi'dong'hua
行车,xing'che
星形出灰机,xing'xing'chu'hui'ji
星形出料器,xing'xing'chu'liao'qi
星形下料器,xing'xing'xia'liao'qi
旋风分离器,xuan'feng'fen'li'qi
旋流器,xuan'liu'qi
旋转提升机,xuan'zhuan'ti'sheng'ji
循环气,xun'huan'qi
循环水泵,xun'huan'shui'beng
循环水站,xun'huan'shui'zhan
压力,ya'li
压力变送器,ya'li'bian'song'qi
压力表,ya'li'biao
压缩厂房,ya'suo'chang'fang
盐仓,yan'cang
盐库,yan'ku
盐库房,yan'ku'fang
盐皮带,yan'pi'dai
堰式流量计,yan'shi'liu'liang'ji
盐析,yan'xi
盐析稠厚器,yan'xi'chou'hou'qi
盐析结晶器,yan'xi'jie'jing'qi
盐析桶,yan'xi'tong
盐析轴流泵,yan'xi'zhou'liu'beng
氧化皓分析仪,yang'hua'hao'fen'xi'yi
氧化锰脱硫槽,yang'hua'meng'tuo'liu'cao
氧化锌脱硫槽,yang'hua'xin'tuo'liu'cao
氧气缓冲罐,yang'qi'huan'chong'guan
氧气压缩机,yang'qi'ya'suo'ji
氧压机,yang'ya'ji
窑气,yao'qi
窑气分离器,yao'qi'fen'li'qi
窑气洗涤塔,yao'qi'xi'di'ta
液氨蒸发外冷器,ye'an'zheng'fa'wai'leng'qi
液氨贮罐,ye'an'zhu'guan
液位,ye'wei
液位变送器,ye'wei'bian'song'qi
液相,ye'xiang
仪表工程师,yi'biao'gong'cheng'shi
仪表工手册,yi'biao'gong'shou'ce
一次风机,yi'ci'feng'ji
一次风门,yi'ci'feng'men
一段炉,yi'duan'lu
一段转换炉,yi'duan'zhuan'huan'lu
仪控,yi'kong
仪控车间,yi'kong'che'jian
仪控车间计算机班,yi'kong'che'jian'ji'suan'ji'ban
仪控计量班,yi'kong'ji'liang'ban
仪控计算机班,yi'kong'ji'suan'ji'ban
仪控维修班,yi'kong'wei'xiu'ban
引风机,yin'feng'ji
引压管,yin'ya'guan
阴阳转子,yin'yang'zhuan'zi
油分,you'fen
油分离器,you'fen'li'qi
油箱,you'xiang
原水箱,yuan'shui'xiang
原水增压泵,yuan'shui'zeng'ya'beng
原水站,yuan'shui'zhan
允许运行,yun'xu'yun'xing
再生度,zai'sheng'du
再生塔,zai'sheng'ta
造气工序,zao'qi'gong'xu
浙大,zhe'da
浙大中控,zhe'da'zhong'kong
振静皮革,zhen'jing'pi'ge
真空泵,zhen'kong'beng
真空分离器,zhen'kong'fen'li'qi
正吹,zheng'chui
正反转,zheng'fan'zhuan
蒸馏塔,zheng'liu'ta
蒸馏尾气分离器,zheng'liu'wei'qi'fen'li'qi
蒸汽流量,zheng'qi'liu'liang
郑州锅炉,zheng'zhou'guo'lu
制动风机,zhi'dong'feng'ji
制动风机排放消音器,zhi'dong'feng'ji'pai'fang'xiao'yin'qi
制动风机入口滤清器,zhi'dong'feng'ji'ru'kou'lv'qing'qi
直流继电器,zhi'liu'ji'dian'qi
中保系统,zhong'bao'xi'tong
中变废锅,zhong'bian'fei'guo
中变锅炉,zhong'bian'guo'lu
中变炉,zhong'bian'lu
中变气,zhong'bian'qi
中变气废热锅炉,zhong'bian'qi'fei're'guo'lu
中变气锅炉给水预热器,zhong'bian'qi'guo'lu'ji'shui'yu're'qi
中部温度,zhong'bu'wen'du
中部液位,zhong'bu'ye'wei
重大危险源区域,zhong'da'wei'xian'yuan'qu'yu
中低变,zhong'di'bian
中段触媒层,zhong'duan'chu'mei'ceng
中段换热器,zhong'duan'huan're'qi
中化仪修楼,zhong'hua'yi'xiu'lou
重灰,zhong'hui
重灰煅烧炉,zhong'hui'duan'shao'lu
重灰凉碱机,zhong'hui'liang'jian'ji
重灰炉气,zhong'hui'lu'qi
重灰炉气洗涤塔,zhong'hui'lu'qi'xi'di'ta
重灰埋刮板提升机,zhong'hui'mai'gua'ban'ti'sheng'ji
重碱,zhong'jian
重碱带式输送机,zhong'jian'dai'shi'shu'song'ji
重碱离心机,zhong'jian'li'xin'ji
重碱楼,zhong'jian'lou
重碱螺旋输送器,zhong'jian'luo'xuan'shu'song'qi
重碱皮带,zhong'jian'pi'dai
中间水箱,zhong'jian'shui'xiang
中温变换炉,zhong'wen'bian'huan'lu
中压蒸汽,zhong'ya'zheng'qi
中压蒸汽管,zhong'ya'zheng'qi'guan
重质碱,zhong'zhi'jian
轴承温度,zhou'cheng'wen'du
主触点,zhu'chu'dian
主换热器,zhu'huan're'qi
主控楼,zhu'kong'lou
贮水槽,zhu'shui'cao
贮水桶,zhu'shui'tong
转换废锅,zhuan'huan'fei'guo
转换管,zhuan'huan'guan
转换汽包,zhuan'huan'qi'bao
自洁式空气过滤器,zi'jie'shi'kong'qi'guo'lv'qi
资料柜,zi'liao'gui
总变站,zong'bian'zhan
总变站站长,zong'bian'zhan'zhan'zhang
总工办,zong'gong'ban
总工程师,zong'gong'cheng'shi
综合回收塔,zong'he'hui'shou'ta
组态工程师,zu'tai'gong'cheng'shi
