暗埋段,an'mai'duan
车体传感器,che'ti'chuan'gan'qi
车体高度,che'ti'gao'du
车体结构,che'ti'jie'gou
车体宽度,che'ti'kuan'du
车外进气式,che'wai'jin'qi'shi
车厢,che'xiang
车型,che'xing
车载设备,che'zai'she'bei
车站,che'zhan
车站代号,che'zhan'dai'hao
车轴,che'zhou
车轴应力,che'zhou'ying'li
衬砌,chen'qi
衬套,chen'tao
成都铁路局,cheng'du'tie'lu'ju
城际特快列车,cheng'ji'te'kuai'lie'che
成昆铁路,cheng'kun'tie'lu
成列,cheng'lie
城市轨道车辆,cheng'shi'gui'dao'che'liang
乘务员,cheng'wu'yuan
乘务员室,cheng'wu'yuan'shi
乘务制度,cheng'wu'zhi'du
乘务组,cheng'wu'zu
成组,cheng'zu
齿轮,chi'lun
齿轮箱,chi'lun'xiang
齿轮锥孔,chi'lun'zhui'kong
持续功率,chi'xu'gong'lv
持续运行速度,chi'xu'yun'xing'su'du
冲程数,chong'cheng'shu
冲击力,chong'ji'li
冲击振动,chong'ji'zhen'dong
重载化,chong'zai'hua
丑轴,chou'zhou
除尘器,chu'chen'qi
触点电器,chu'dian'dian'qi
厨房设备,chu'fang'she'bei
触杆,chu'gan
出口货车,chu'kou'huo'che
出气壳,chu'qi'ke
初速度,chu'su'du
除雪车,chu'xue'che
除雪器,chu'xue'qi
传递作用,chuan'di'zuo'yong
传动系统,chuan'dong'xi'tong
传动油,chuan'dong'you
传动装置,chuan'dong'zhuang'zhi
传感器,chuan'gan'qi
串励电动机,chuan'li'dian'dong'ji
传热系数,chuan're'xi'shu
传输信息,chuan'shu'xin'xi
床托,chuang'tuo
垂向,chui'xiang
垂向振动,chui'xiang'zhen'dong
垂直形,chui'zhi'xing
垂直载荷,chui'zhi'zai'he
春城号,chun'cheng'hao
磁钢,ci'gang
次水泵,ci'shui'beng
磁通量,ci'tong'liang
次循环水路,ci'xun'huan'shui'lu
磁滞耦合式,ci'zhi'ou'he'shi
从动齿轮,cong'dong'chi'lun
粗滤器,cu'lv'qi
大白鲨,da'bai'sha
大白鲨号,da'bai'sha'hao
大北京,da'bei'jing
大齿轮,da'chi'lun
大底架,da'di'jia
大功率内燃机车,da'gong'lv'nei'ran'ji'che
打滑,da'hua
大货物车,da'huo'wu'che
大气温度,da'qi'wen'du
大秦铁路,da'qin'tie'lu
大容积棚车,da'rong'ji'peng'che
大容量缓冲器,da'rong'liang'huan'chong'qi
大型敞车,da'xing'chang'che
大修,da'xiu
大闸,da'zha
带活动墙板式,dai'huo'dong'qiang'ban'shi
单层,dan'ceng
单层客车,dan'ceng'ke'che
单车,dan'che
单独控制,dan'du'kong'zhi
单独式,dan'du'shi
单级涡轮变矩器,dan'ji'wo'lun'bian'ju'qi
单孔,dan'kong
单辆车,dan'liang'che
单曲叶片,dan'qu'ye'pian
单线,dan'xian
单线电气化,dan'xian'dian'qi'hua
单线隧道,dan'xian'sui'dao
单相变矩器,dan'xiang'bian'ju'qi
单循环水路,dan'xun'huan'shui'lu
单元车组,dan'yuan'che'zu
单元式,dan'yuan'shi
单元式敞车,dan'yuan'shi'chang'che
单元式空调机组,dan'yuan'shi'kong'tiao'ji'zu
单元式空调装置,dan'yuan'shi'kong'tiao'zhuang'zhi
导槽,dao'cao
道岔,dao'cha
导框,dao'kuang
导轮,dao'lun
倒汽制动,dao'qi'zhi'dong
导向距离,dao'xiang'ju'li
导向梁,dao'xiang'liang
导向装置,dao'xiang'zhuang'zhi
灯钩,deng'gou
等效斜度,deng'xiao'xie'du
低动力作用转向架,di'dong'li'zuo'yong'zhuan'xiang'jia
低合金钢,di'he'jin'gang
低合金钢薄板,di'he'jin'gang'bao'ban
底架,di'jia
地面传输信息,di'mian'chuan'shu'xin'xi
地面分析处理软件,di'mian'fen'xi'chu'li'ruan'jian
地面设备,di'mian'she'bei
地面微机系统,di'mian'wei'ji'xi'tong
地面信息,di'mian'xin'xi
地铁,di'tie
低温风扇,di'wen'feng'shan
低温回路,di'wen'hui'lu
低温水泵,di'wen'shui'beng
低温循环水路,di'wen'xun'huan'shui'lu
地下隧道,di'xia'sui'dao
低压风缸,di'ya'feng'gang
低压轨道供电,di'ya'gui'dao'gong'dian
低站台,di'zhan'tai
低转速,di'zhuan'su
电茶炉,dian'cha'lu
电传,dian'chuan
电磁阀,dian'ci'fa
电磁接触器,dian'ci'jie'chu'qi
电磁驱动,dian'ci'qu'dong
点灯,dian'deng
电动触摸式自动内端门,dian'dong'chu'mo'shi'zi'dong'nei'duan'men
电动卷扬机,dian'dong'juan'yang'ji
电动平车,dian'dong'ping'che
电化,dian'hua
电机空心轴驱动装置,dian'ji'kong'xin'zhou'qu'dong'zhuang'zhi
电机轴,dian'ji'zhou
电空接触器,dian'kong'jie'chu'qi
电空驱动,dian'kong'qu'dong
电空制动机,dian'kong'zhi'dong'ji
电缆槽,dian'lan'cao
电缆卷筒,dian'lan'juan'tong
电力动车组,dian'li'dong'che'zu
电力机车,dian'li'ji'che
电力牵引,dian'li'qian'yin
电力驱动,dian'li'qu'dong
电路修理车,dian'lu'xiu'li'che
电气化,dian'qi'hua
电气化区段,dian'qi'hua'qu'duan
电气化铁道,dian'qi'hua'tie'dao
电器控制柜,dian'qi'kong'zhi'gui
电气系统,dian'qi'xi'tong
电气信号,dian'qi'xin'hao
电热,dian're
电热装置,dian're'zhuang'zhi
电枢轴,dian'shu'zhou
电压降,dian'ya'jiang
电压调整器,dian'ya'tiao'zheng'qi
电子防滑器,dian'zi'fang'hua'qi
电子信息显示装置,dian'zi'xin'xi'xian'shi'zhuang'zhi
电阻制动,dian'zu'zhi'dong
调车,diao'che
调车机,diao'che'ji
调车作业,diao'che'zuo'ye
定期检修,ding'qi'jian'xiu
定位装置,ding'wei'zhuang'zhi
定员,ding'yuan
动车,dong'che
动车组,dong'che'zu
动触头,dong'chu'tou
东方红,dong'fang'hong
东风,dong'feng
动力车,dong'li'che
动力分散,dong'li'fen'san
动力集中,dong'li'ji'zhong
动力切除,dong'li'qie'chu
动力室,dong'li'shi
动力性能,dong'li'xing'neng
动力装置,dong'li'zhuang'zhi
动轮,dong'lun
洞门,dong'men
洞身,dong'shen
动液力,dong'ye'li
动作电流,dong'zuo'dian'liu
动作温度,dong'zuo'wen'du
独立通风式,du'li'tong'feng'shi
独立循环水路,du'li'xun'huan'shui'lu
端壁,duan'bi
短编组,duan'bian'zu
短毂,duan'gu
短交路,duan'jiao'lu
端门,duan'men
端墙,duan'qiang
短隧道,duan'sui'dao
段修,duan'xiu
盾构法,dun'gou'fa
多级涡轮变矩器,duo'ji'wo'lun'bian'ju'qi
多线,duo'xian
多线隧道,duo'xian'sui'dao
多相变矩器,duo'xiang'bian'ju'qi
多轴车,duo'zhou'che
多装快运,duo'zhuang'kuai'yun
额定功率,e'ding'gong'lv
额定流量,e'ding'liu'liang
二冲程柴油机,er'chong'cheng'chai'you'ji
二等软座车,er'deng'ruan'zuo'che
二等软座行李合造车,er'deng'ruan'zuo'xing'li'he'zao'che
二位端,er'wei'duan
二系静挠度,er'xi'jing'nao'du
二系悬挂,er'xi'xuan'gua
发电车,fa'dian'che
发电车集中供电,fa'dian'che'ji'zhong'gong'dian
发电机,fa'dian'ji
发电机组,fa'dian'ji'zu
发电设备,fa'dian'she'bei
阀门管路,fa'men'guan'lu
帆布,fan'bu
返程站,fan'cheng'zhan
反向器,fan'xiang'qi
反转变矩器,fan'zhuan'bian'ju'qi
反转工祝,fan'zhuan'gong'zhu
防护板,fang'hu'ban
防护网,fang'hu'wang
防滑,fang'hua
防滑行,fang'hua'xing
防火措施,fang'huo'cuo'shi
防夹手门,fang'jia'shou'men
防空转,fang'kong'zhuan
防空转防滑行保护,fang'kong'zhuan'fang'hua'xing'bao'hu
防水帆布,fang'shui'fan'bu
方向别,fang'xiang'bie
方轴,fang'zhou
非摆式,fei'bai'shi
非闭锁式变矩器,fei'bi'suo'shi'bian'ju'qi
非电化,fei'dian'hua
非空调客车,fei'kong'tiao'ke'che
分配阀,fen'pei'fa
封闭性,feng'bi'xing
风挡,feng'dang
风档,feng'dang
风挡型式,feng'dang'xing'shi
风缸压力,feng'gang'ya'li
风缸座,feng'gang'zuo
风喇叭,feng'la'ba
风路,feng'lu
风扇耦合器,feng'shan'ou'he'qi
风源净化装置,feng'yuan'jing'hua'zhuang'zhi
风源系统,feng'yuan'xi'tong
腹板,fu'ban
辐板式,fu'ban'shi
复合制动,fu'he'zhi'dong
副司机,fu'si'ji
副司机号,fu'si'ji'hao
扶梯,fu'ti
辐条式,fu'tiao'shi
复线,fu'xian
辅修,fu'xiu
辅修库,fu'xiu'ku
辅助泵,fu'zhu'beng
辅助触头,fu'zhu'chu'tou
辅助电路,fu'zhu'dian'lu
辅助室,fu'zhu'shi
辅助型号,fu'zhu'xing'hao
辅助装置,fu'zhu'zhuang'zhi
辅助装置驱动,fu'zhu'zhuang'zhi'qu'dong
盖板,gai'ban
盖板箱涵,gai'ban'xiang'han
干线客运牵引,gan'xian'ke'yun'qian'yin
感烟探头,gan'yan'tan'tou
钢弹簧,gang'dan'huang
钢骨车,gang'gu'che
钢管,gang'guan
钢轨,gang'gui
钢轨长度,gang'gui'chang'du
纲簧,gang'huang
钢筋混凝土涵,gang'jin'hun'ning'tu'han
刚性旁承,gang'xing'pang'cheng
高级包厢车,gao'ji'bao'xiang'che
高级软卧车,gao'ji'ruan'wo'che
高级软卧车定员,gao'ji'ruan'wo'che'ding'yuan
高架桥,gao'jia'qiao
高频振动,gao'pin'zhen'dong
高强度,gao'qiang'du
高速,gao'su
高速动车组,gao'su'dong'che'zu
高速钢轨探伤车,gao'su'gang'gui'tan'shang'che
高速化,gao'su'hua
高速客车,gao'su'ke'che
高速客运电力机车,gao'su'ke'yun'dian'li'ji'che
高速列车,gao'su'lie'che
高速运行,gao'su'yun'xing
高速专线牵引,gao'su'zhuan'xian'qian'yin
高温风扇,gao'wen'feng'shan
高温回路,gao'wen'hui'lu
高温冷却,gao'wen'leng'que
高温水泵,gao'wen'shui'beng
高温水循环系统,gao'wen'shui'xun'huan'xi'tong
高温循环水路,gao'wen'xun'huan'shui'lu
高压安全阀,gao'ya'an'quan'fa
高压油,gao'ya'you
高压油泵,gao'ya'you'beng
高圆簧加减振器,gao'yuan'huang'jia'jian'zhen'qi
隔板,ge'ban
隔音减振,ge'yin'jian'zhen
隔音减振措施,ge'yin'jian'zhen'cuo'shi
给水,gei'shui
供电电动平车,gong'dian'dian'dong'ping'che
供电技术,gong'dian'ji'shu
供电系统,gong'dian'xi'tong
供电制式,gong'dian'zhi'shi
拱涵,gong'han
工矿电力机车,gong'kuang'dian'li'ji'che
工矿用调车机,gong'kuang'yong'diao'che'ji
功率恢复控制,gong'lv'hui'fu'kong'zhi
功率因数,gong'lv'yin'shu
供暖装置,gong'nuan'zhuang'zhi
拱圈,gong'quan
公务车,gong'wu'che
供氧装置,gong'yang'zhuang'zhi
工作路,gong'zuo'lu
鞲鞴,gou'bei
鞲鞴杆,gou'bei'gan
构架,gou'jia
构架式,gou'jia'shi
构架式转向架,gou'jia'shi'zhuan'xiang'jia
构造速度,gou'zao'su'du
构造型式,gou'zao'xing'shi
固定配属,gu'ding'pei'shu
固定轴,gu'ding'zhou
鼓风机,gu'feng'ji
固体润滑剂,gu'ti'run'hua'ji
刮雨器,gua'yu'qi
管板,guan'ban
罐车,guan'che
管带式,guan'dai'shi
观光旅游客车,guan'guang'lv'you'ke'che
管件,guan'jian
管路,guan'lu
管路系统,guan'lu'xi'tong
管片式散热器,guan'pian'shi'san're'qi
惯性力,guan'xing'li
广深铁路,guang'shen'tie'lu
广铁集团,guang'tie'ji'tuan
轨道,gui'dao
轨道车辆,gui'dao'che'liang
轨道吊车,gui'dao'diao'che
轨道检查车,gui'dao'jian'cha'che
轨道末端,gui'dao'mo'duan
规定距离,gui'ding'ju'li
规定值,gui'ding'zhi
轨距,gui'ju
硅整流装置,gui'zheng'liu'zhuang'zhi
滚道,gun'dao
滚动轴承轴箱,gun'dong'zhou'cheng'zhou'xiang
滚子,gun'zi
国产化,guo'chan'hua
过渡继电器,guo'du'ji'dian'qi
国际联运,guo'ji'lian'yun
过跨车,guo'kua'che
过流继电器,guo'liu'ji'dian'qi
锅炉间,guo'lu'jian
过滤网,guo'lv'wang
过热蒸汽,guo're'zheng'qi
过载能力,guo'zai'neng'li
哈尔滨铁路局,ha'er'bin'tie'lu'ju
海峡水底隧道,hai'xia'shui'di'sui'dao
涵顶,han'ding
涵洞,han'dong
旱露号,han'lu'hao
罕露号,han'lu'hao
豪华包间,hao'hua'bao'jian
号码,hao'ma
和平,he'ping
和谐号,he'xie'hao
和谐号动车组,he'xie'hao'dong'che'zu
横动量,heng'dong'liang
横动装置,heng'dong'zhuang'zhi
横卧圆筒形,heng'wo'yuan'tong'xing
横向,heng'xiang
横向力,heng'xiang'li
横向振动,heng'xiang'zhen'dong
横移量,heng'yi'liang
红灯,hong'deng
红皮车,hong'pi'che
红旗,hong'qi
后变速箱,hou'bian'su'xiang
后冷却,hou'leng'que
后退,hou'tui
后退位,hou'tui'wei
后制,hou'zhi
后中冷器,hou'zhong'leng'qi
呼和浩特铁路局,hu'he'hao'te'tie'lu'ju
呼唤系统,hu'huan'xi'tong
呼唤终端按钮,hu'huan'zhong'duan'an'niu
呼唤主机,hu'huan'zhu'ji
弧形,hu'xing
滑动侧墙棚车,hua'dong'ce'qiang'peng'che
滑动轴承轴箱,hua'dong'zhou'cheng'zhou'xiang
滑门,hua'men
滑行,hua'xing
换长,huan'chang
缓冲,huan'chong
缓冲器,huan'chong'qi
环境温度,huan'jing'wen'du
换向手柄,huan'xiang'shou'bing
回动手把,hui'dong'shou'ba
会议室,hui'yi'shi
回油管路,hui'you'guan'lu
混合式,hun'he'shi
混流式工作轮,hun'liu'shi'gong'zuo'lun
混凝土涵,hun'ning'tu'han
货车,huo'che
活动窗,huo'dong'chuang
活动管板,huo'dong'guan'ban
活动墙板,huo'dong'qiang'ban
货济重载化,huo'ji'chong'zai'hua
货机交路,huo'ji'jiao'lu
活牛专用车,huo'niu'zhuan'yong'che
活塞杆,huo'sai'gan
活塞式,huo'sai'shi
活塞式辅助泵,huo'sai'shi'fu'zhu'beng
活塞行程,huo'sai'xing'cheng
货物,huo'wu
活鱼车,huo'yu'che
货运电力机车,huo'yun'dian'li'ji'che
基本段,ji'ben'duan
基本型号,ji'ben'xing'hao
集便式,ji'bian'shi
集便式厕所,ji'bian'shi'ce'suo
计长,ji'chang
机车,ji'che
机车车辆,ji'che'che'liang
机车车辆工厂,ji'che'che'liang'gong'chang
机车乘务员,ji'che'cheng'wu'yuan
机车乘务组,ji'che'cheng'wu'zu
机车供电,ji'che'gong'dian
机车工况,ji'che'gong'kuang
机车功率,ji'che'gong'lv
机车号,ji'che'hao
机车横向动力学,ji'che'heng'xiang'dong'li'xue
机车检修,ji'che'jian'xiu
机车交路,ji'che'jiao'lu
机车交路距离,ji'che'jiao'lu'ju'li
机车利用效率,ji'che'li'yong'xiao'lv
机车轮,ji'che'lun
机车轮径,ji'che'lun'jing
机车滤波电路,ji'che'lv'bo'dian'lu
机车黏着力,ji'che'nian'zhuo'li
机车牵引,ji'che'qian'yin
机车牵引齿轮制造,ji'che'qian'yin'chi'lun'zhi'zao
机车驱动装置,ji'che'qu'dong'zhuang'zhi
机车燃油,ji'che'ran'you
机车散热装置制造,ji'che'san're'zhuang'zhi'zhi'zao
机车踏面,ji'che'ta'mian
机车台数,ji'che'tai'shu
机车信号,ji'che'xin'hao
机车信号色灯信息,ji'che'xin'hao'se'deng'xin'xi
机车信号信息,ji'che'xin'hao'xin'xi
机车整备作业,ji'che'zheng'bei'zuo'ye
机车制动缸压力,ji'che'zhi'dong'gang'ya'li
机车制动机,ji'che'zhi'dong'ji
机车轴箱,ji'che'zhou'xiang
集成式电空制动装置,ji'cheng'shi'dian'kong'zhi'dong'zhuang'zhi
基础制动,ji'chu'zhi'dong
继电器,ji'dian'qi
机件,ji'jian
记录,ji'lu
冀墙,ji'qiang
技术参数,ji'shu'can'shu
计算限速值,ji'suan'xian'su'zhi
机务段,ji'wu'duan
机务设备,ji'wu'she'bei
机械保温车,ji'xie'bao'wen'che
机械负荷,ji'xie'fu'he
机械强迫,ji'xie'qiang'po
机械强迫通风装置,ji'xie'qiang'po'tong'feng'zhuang'zhi
机械驱动,ji'xie'qu'dong
机械损失,ji'xie'sun'shi
机械系统,ji'xie'xi'tong
机械杂质,ji'xie'za'zhi
机油,ji'you
机油泵,ji'you'beng
机油管路,ji'you'guan'lu
机油浇清器,ji'you'jiao'qing'qi
机油滤清器,ji'you'lv'qing'qi
机油热交换器,ji'you're'jiao'huan'qi
机油系统,ji'you'xi'tong
集中供电,ji'zhong'gong'dian
集中控制,ji'zhong'kong'zhi
集中式,ji'zhong'shi
集装箱,ji'zhuang'xiang
集装箱平车,ji'zhuang'xiang'ping'che
集装箱专用平车,ji'zhuang'xiang'zhuan'yong'ping'che
加长敞车,jia'chang'chang'che
家畜车,jia'chu'che
加力牵引坡度,jia'li'qian'yin'po'du
加速度,jia'su'du
架悬式,jia'xuan'shi
架悬式悬挂,jia'xuan'shi'xuan'gua
加油管,jia'you'guan
检测信号,jian'ce'xin'hao
检查坑,jian'cha'keng
检衡车,jian'heng'che
肩回式,jian'hui'shi
肩回式长交路,jian'hui'shi'chang'jiao'lu
肩回式短交路,jian'hui'shi'duan'jiao'lu
肩回运转制,jian'hui'yun'zhuan'zhi
监控,jian'kong
监控系统,jian'kong'xi'tong
监控主机,jian'kong'zhu'ji
监控装置,jian'kong'zhuang'zhi
减速,jian'su
减速度,jian'su'du
减速装置,jian'su'zhuang'zhi
检修库,jian'xiu'ku
减振器,jian'zhen'qi
角撑,jiao'cheng
铰节点,jiao'jie'dian
交流传动,jiao'liu'chuan'dong
交流传动电力机车,jiao'liu'chuan'dong'dian'li'ji'che
交流传动机车,jiao'liu'chuan'dong'ji'che
交流电,jiao'liu'dian
交流电机,jiao'liu'dian'ji
交路,jiao'lu
交路距离,jiao'lu'ju'li
交路类型,jiao'lu'lei'xing
浇清器,jiao'qing'qi
角速度,jiao'su'du
脚踏开关,jiao'ta'kai'guan
脚制动机,jiao'zhi'dong'ji
接触器,jie'chu'qi
接触网,jie'chu'wang
接触网电压,jie'chu'wang'dian'ya
接触应力,jie'chu'ying'li
接地保护,jie'di'bao'hu
接地继电器,jie'di'ji'dian'qi
解放,jie'fang
节流口,jie'liu'kou
节能效率,jie'neng'xiao'lv
解锁,jie'suo
进风道,jin'feng'dao
紧固件,jin'gu'jian
紧急救助,jin'ji'jiu'zhu
紧急制动,jin'ji'zhi'dong
紧急制动距离,jin'ji'zhi'dong'ju'li
紧急制动位,jin'ji'zhi'dong'wei
紧急状态,jin'ji'zhuang'tai
晋龙号,jin'long'hao
金轮号,jin'lun'hao
进气,jin'qi
进气式,jin'qi'shi
进气系统,jin'qi'xi'tong
金鹰,jin'ying
静触头,jing'chu'tou
京沪线,jing'hu'xian
径流式工作轮,jing'liu'shi'gong'zuo'lun
警惕键,jing'ti'jian
径向转向架,jing'xiang'zhuan'xiang'jia
静液压,jing'ye'ya
静液压泵,jing'ye'ya'beng
静液压马达,jing'ye'ya'ma'da
静液压驱动,jing'ye'ya'qu'dong
静液压油热交换器,jing'ye'ya'you're'jiao'huan'qi
旧钢轨,jiu'gang'gui
九广通,jiu'guang'tong
九江号,jiu'jiang'hao
救援车,jiu'yuan'che
救援人员,jiu'yuan'ren'yuan
巨龙,ju'long
矩形,ju'xing
卷筒,juan'tong
卷筒供电电动平车,juan'tong'gong'dian'dian'dong'ping'che
掘进机,jue'jin'ji
开车,kai'che
开关电器,kai'guan'dian'qi
开门位置,kai'men'wei'zhi
开式,kai'shi
开式双循环,kai'shi'shuang'xun'huan
开式水循环系统,kai'shi'shui'xun'huan'xi'tong
可变节流阀,ke'bian'jie'liu'fa
客车,ke'che
客车高速化,ke'che'gao'su'hua
客车技术规范,ke'che'ji'shu'gui'fan
客车系列,ke'che'xi'lie
客车组,ke'che'zu
客货车别,ke'huo'che'bie
客机交路,ke'ji'jiao'lu
可控,ke'kong
可控力,ke'kong'li
可逆性原理,ke'ni'xing'yuan'li
可调,ke'tiao
可维修性,ke'wei'xiu'xing
客运电力机车,ke'yun'dian'li'ji'che
客运机车,ke'yun'ji'che
坑道,keng'dao
空车,kong'che
孔盖,kong'gai
空间叶片,kong'jian'ye'pian
空气动力,kong'qi'dong'li
空气动力性能,kong'qi'dong'li'xing'neng
空气阀,kong'qi'fa
空气管路,kong'qi'guan'lu
空气管路系统,kong'qi'guan'lu'xi'tong
空气滤清,kong'qi'lv'qing
空气滤清器,kong'qi'lv'qing'qi
空气滤清系统,kong'qi'lv'qing'xi'tong
空气弹簧,kong'qi'tan'huang
空气温度,kong'qi'wen'du
空气压,kong'qi'ya
空气压缩机,kong'qi'ya'suo'ji
空气制动,kong'qi'zhi'dong
空气制动机,kong'qi'zhi'dong'ji
空气自动调节装置,kong'qi'zi'dong'tiao'jie'zhuang'zhi
空气阻力,kong'qi'zu'li
空调,kong'tiao
空调发电车,kong'tiao'fa'dian'che
空调机组,kong'tiao'ji'zu
空调客车,kong'tiao'ke'che
空调双层客车,kong'tiao'shuang'ceng'ke'che
空调型式,kong'tiao'xing'shi
空调装置,kong'tiao'zhuang'zhi
空心车轴,kong'xin'che'zhou
空心轴,kong'xin'zhou
空心轴套,kong'xin'zhou'tao
空载工况,kong'zai'gong'kuang
控制电路,kong'zhi'dian'lu
控制柜,kong'zhi'gui
控制手柄,kong'zhi'shou'bing
控制系统,kong'zhi'xi'tong
控制指令,kong'zhi'zhi'ling
控制装置,kong'zhi'zhuang'zhi
空重自动调整,kong'zhong'zi'dong'tiao'zheng
空转,kong'zhuan
空转继电器,kong'zhuan'ji'dian'qi
空转信号,kong'zhuan'xin'hao
快速,kuai'su
快速动车组,kuai'su'dong'che'zu
快速客车,kuai'su'ke'che
快速疏散,kuai'su'shu'san
快运行包专用车,kuai'yun'xing'bao'zhuan'yong'che
宽轨,kuan'gui
宽轨车,kuan'gui'che
矿砂车,kuang'sha'che
矿石车,kuang'shi'che
昆明铁路局,kun'ming'tie'lu'ju
拉杆,la'gan
拉杆定位,la'gan'ding'wei
蓝箭,lan'jian
篮箭号,lan'jian'hao
拦马杆托,lan'ma'gan'tuo
兰州铁路局,lan'zhou'tie'lu'ju
冷藏车,leng'cang'che
冷空气,leng'kong'qi
冷凝水,leng'ning'shui
冷却风扇,leng'que'feng'shan
冷却片,leng'que'pian
冷却室,leng'que'shi
冷却水温度,leng'que'shui'wen'du
冷却水系统,leng'que'shui'xi'tong
冷却系统,leng'que'xi'tong
冷却芯,leng'que'xin
冷却主发电机,leng'que'zhu'fa'dian'ji
