安全生产,an'quan'sheng'chan
动平衡,dong'ping'heng
断槽,duan'cao
断槽洗机,duan'cao'xi'ji
对讲机,dui'jiang'ji
吨糖,dun'tang
吨糖秤,dun'tang'cheng
吨糖袋,dun'tang'dai
多效蒸发,duo'xiao'zheng'fa
二次风机,er'ci'feng'ji
二级泵,er'ji'beng
二级糖,er'ji'tang
二级糖袋,er'ji'tang'dai
二滤汁,er'lv'zhi
二滤汁箱,er'lv'zhi'xiang
二效,er'xiao
二效汽,er'xiao'qi
翻仓,fan'cang
反底,fan'di
方联轴器,fang'lian'zhou'qi
放糖,fang'tang
方糖,fang'tang
方轴,fang'zhou
废蜜,fei'mi
废蜜秤,fei'mi'cheng
废砂,fei'sha
废糖蜜,fei'tang'mi
分类筛,fen'lei'shai
分蜜,fen'mi
分蜜机,fen'mi'ji
分蜜机打水,fen'mi'ji'da'shui
分蜜机工,fen'mi'ji'gong
分配槽,fen'pei'cao
缝包机,feng'bao'ji
缝包线,feng'bao'xian
副链,fu'lian
干油站,gan'you'zhan
干燥机,gan'zao'ji
甘蔗车,gan'zhe'che
甘蔗堆场,gan'zhe'dui'chang
甘蔗清净,gan'zhe'qing'jing
高频振筛,gao'pin'zhen'shai
高位槽,gao'wei'cao
给水泵,gei'shui'beng
工段,gong'duan
工段长,gong'duan'zhang
供外电量,gong'wai'dian'liang
勾机,gou'ji
鼓风机,gu'feng'ji
光辊,guang'gun
滚筒干燥机,gun'tong'gan'zao'ji
滚筒筛,gun'tong'shai
过磅,guo'bang
过饱充,guo'bao'chong
锅炉,guo'lu
锅炉清洗剂,guo'lu'qing'xi'ji
过蔗,guo'zhe
过蒸发,guo'zheng'fa
过汁,guo'zhi
含糖分,han'tang'fen
耗汽量,hao'qi'liang
和尚头,he'shang'tou
核子秤,he'zi'cheng
后辊,hou'gun
缓蚀阻垢剂,huan'shi'zu'gou'ji
洄溶,hui'rong
回溶机,hui'rong'ji
回溶量,hui'rong'liang
回溶糖,hui'rong'tang
回收不及,hui'shou'bu'ji
回煮,hui'zhu
混合产糖率,hun'he'chan'tang'lv
混合汁,hun'he'zhi
混汁泵,hun'zhi'beng
混汁箱,hun'zhi'xiang
机底糖,ji'di'tang
机架,ji'jia
机械冷却水泵,ji'xie'leng'que'shui'beng
加灰汁,jia'hui'zhi
加灰汁泵,jia'hui'zhi'beng
加灰汁箱,jia'hui'zhi'xiang
加热室,jia're'shi
甲糖,jia'tang
甲糖膏,jia'tang'gao
甲糖糊,jia'tang'hu
甲洗,jia'xi
甲原,jia'yuan
简纯度,jian'chun'du
简纯度差,jian'chun'du'cha
减速机,jian'su'ji
检修期,jian'xiu'qi
降低背压,jiang'di'bei'ya
交班簿,jiao'ban'bu
校秤,jiao'cheng
结晶罐,jie'jing'guan
解列,jie'lie
解体,jie'ti
接种,jie'zhong
精糖,jing'tang
精糖产率,jing'tang'chan'lv
精糖袋,jing'tang'dai
精制糖,jing'zhi'tang
桔水,ju'shui
桔水秤,ju'shui'cheng
桔水罐,ju'shui'guan
桔水塔,ju'shui'ta
均衡进榨,jun'heng'jin'zha
均衡进榨系统,jun'heng'jin'zha'xi'tong
开回收,kai'hui'shou
开筛,kai'shai
开榨期,kai'zha'qi
快沉,kuai'chen
快沉反底,kuai'chen'fan'di
快速沉淀池,kuai'su'chen'dian'chi
快速带,kuai'su'dai
快速胶带,kuai'su'jiao'dai
捆绑带,kun'bang'dai
捆蔗,kun'zhe
冷凝器,leng'ning'qi
理平机,li'ping'ji
立式助晶箱,li'shi'zhu'jing'xiang
离心分蜜机,li'xin'fen'mi'ji
联动试机,lian'dong'shi'ji
炼精糖,lian'jing'tang
炼糖,lian'tang
炼糖期,lian'tang'qi
链条,lian'tiao
连续排污,lian'xu'pai'wu
连续煮糖罐,lian'xu'zhu'tang'guan
列管式,lie'guan'shi
流化床,liu'hua'chuang
流化床干燥机,liu'hua'chuang'gan'zao'ji
硫熏,liu'xun
硫熏强度,liu'xun'qiang'du
硫熏中和,liu'xun'zhong'he
炉排,lu'pai
螺旋槽,luo'xuan'cao
螺旋输送机,luo'xuan'shu'song'ji
落蔗工,luo'zhe'gong
滤泥,lv'ni
滤泥带,lv'ni'dai
滤泥斗,lv'ni'dou
滤汁箱,lv'zhi'xiang
卖电,mai'dian
卖电量,mai'dian'liang
蜜秤,mi'cheng
面辊,mian'gun
面后梳,mian'hou'shu
面梳,mian'shu
面网,mian'wang
磨梳,mo'shu
末效,mo'xiao
末效真空,mo'xiao'zhen'kong
末效真空度,mo'xiao'zhen'kong'du
磨种,mo'zhong
磨种机,mo'zhong'ji
难筛,nan'shai
泥汁,ni'zhi
泥汁箱,ni'zhi'xiang
农务,nong'wu
农务员,nong'wu'yuan
耙齿机,pa'chi'ji
耙齿链,pa'chi'lian
耙齿链条,pa'chi'lian'tiao
排刀,pai'dao
排底阀,pai'di'fa
排水位,pai'shui'wei
排污泵,pai'wu'beng
排汁沟,pai'zhi'gou
盘车,pan'che
跑糖,pao'tang
喷渣风机,pen'zha'feng'ji
平衡箱,ping'heng'xiang
平均日榨量,ping'jun'ri'zha'liang
汽包,qi'bao
气闭锁,qi'bi'suo
起晶,qi'jing
汽轮机,qi'lun'ji
汽凝水,qi'ning'shui
汽凝水泵,qi'ning'shui'beng
前辊,qian'gun
切撕机,qie'si'ji
切蔗机,qie'zhe'ji
清度,qing'du
清糖浆,qing'tang'jiang
清糖浆泵,qing'tang'jiang'beng
轻型喂料器,qing'xing'wei'liao'qi
清蔗场,qing'zhe'chang
清汁,qing'zhi
清汁泵,qing'zhi'beng
曲筛,qu'shai
全厂跳闸,quan'chang'tiao'zha
燃硫炉,ran'liu'lu
热水泵,re'shui'beng
热水平衡箱,re'shui'ping'heng'xiang
人字纹,ren'zi'wen
日回溶量,ri'hui'rong'liang
日榨,ri'zha
日榨量,ri'zha'liang
溶糖,rong'tang
入料,ru'liao
入炉水,ru'lu'shui
入糖浆,ru'tang'jiang
入汁,ru'zhi
散气箱,san'qi'xiang
三效,san'xiao
三效汽,san'xiao'qi
三星齿轮,san'xing'chi'lun
散榨,san'zha
散渣堆放,san'zha'dui'fang
散渣堆放量,san'zha'dui'fang'liang
杀菌剂,sha'jun'ji
杀菌灭藻剂,sha'jun'mie'zao'ji
筛篮,shai'lan
筛糖,shai'tang
筛透,shai'tou
筛网,shai'wang
上浮,shang'fu
上汽包,shang'qi'bao
上网卖电量,shang'wang'mai'dian'liang
设备解体,she'bei'jie'ti
渗透水,shen'tou'shui
升炉,sheng'lu
省煤器,sheng'mei'qi
石灰法,shi'hui'fa
石灰消和器,shi'hui'xiao'he'qi
石灰窑,shi'hui'yao
食品胶带,shi'pin'jiao'dai
收榨,shou'zha
疏水,shu'shui
输蔗带,shu'zhe'dai
输蔗带工,shu'zhe'dai'gong
输蔗机,shu'zhe'ji
输蔗链,shu'zhe'lian
梳汁刀,shu'zhi'dao
双螺旋,shuang'luo'xuan
双梳,shuang'shu
水冷壁,shui'leng'bi
水冷屏,shui'leng'ping
撕解机,si'jie'ji
四效,si'xiao
四效汽,si'xiao'qi
碎蔗渣,sui'zhe'zha
碳法,tan'fa
糖厂,tang'chang
糖袋,tang'dai
糖斗,tang'dou
糖膏采样斗,tang'gao'cai'yang'dou
糖糊,tang'hu
糖化钙,tang'hua'gai
糖浆,tang'jiang
糖浆锤度,tang'jiang'chui'du
糖浆上浮,tang'jiang'shang'fu
糖蜜,tang'mi
糖头,tang'tou
糖头回溶,tang'tou'hui'rong
糖头回溶机,tang'tou'hui'rong'ji
糖头筛,tang'tou'shai
糖头筛选机,tang'tou'shai'xuan'ji
提高背压,ti'gao'bei'ya
提升机,ti'sheng'ji
提糖,ti'tang
提糖率,ti'tang'lv
停磅,ting'bang
停洄溶,ting'hui'rong
停炉,ting'lu
停溶,ting'rong
停筛,ting'shai
停榨,ting'zha
停榨期,ting'zha'qi
停榨洗机,ting'zha'xi'ji
停蒸发,ting'zheng'fa
铜轴瓦,tong'zhou'wa
投粉,tou'fen
喂料器,wei'liao'qi
喂蔗台,wei'zhe'tai
卧式回溶机,wo'shi'hui'rong'ji
物料多,wu'liao'duo
物料空,wu'liao'kong
物料少,wu'liao'shao
五效,wu'xiao
五效蒸发,wu'xiao'zheng'fa
洗罐,xi'guan
洗机,xi'ji
吸滤机,xi'lv'ji
吸铁器,xi'tie'qi
稀油站,xi'you'zhan
稀汁箱,xi'zhi'xiang
下汽包,xia'qi'bao
下送辊,xia'song'gun
纤维分,xian'wei'fen
小糖斗,xiao'tang'dou
斜垫板,xie'dian'ban
卸蔗,xie'zhe
絮凝剂,xu'ning'ji
旋风分离器,xuan'feng'fen'li'qi
旋空分离器,xuan'kong'fen'li'qi
旋转气锁,xuan'zhuan'qi'suo
循环泵,xun'huan'beng
亚硫酸法,ya'liu'suan'fa
压滤机,ya'lv'ji
压榨,ya'zha
压榨抽出率,ya'zha'chou'chu'lv
压榨机,ya'zha'ji
养晶,yang'jing
液封箱,ye'feng'xiang
仪表,yi'biao
一级泵,yi'ji'beng
一级糖,yi'ji'tang
一级糖袋,yi'ji'tang'dai
一滤汁,yi'lv'zhi
一滤汁箱,yi'lv'zhi'xiang
乙糖,yi'tang
乙糖膏,yi'tang'gao
乙糖糊,yi'tang'hu
乙洗,yi'xi
一效,yi'xiao
一效汽,yi'xiao'qi
乙原,yi'yuan
引风机,yin'feng'ji
用电紧张,yong'dian'jin'zhang
用汽紧张,yong'qi'jin'zhang
优级糖,you'ji'tang
优幼糖,you'you'tang
预灰,yu'hui
与蔗比,yu'zhe'bi
原糖,yuan'tang
原糖产率,yuan'tang'chan'lv
原糖稀汁箱,yuan'tang'xi'zhi'xiang
匀落器,yun'luo'qi
榨辊,zha'gun
榨季,zha'ji
榨机,zha'ji
榨机工,zha'ji'gong
榨季期,zha'ji'qi
榨面,zha'mian
榨面落蔗,zha'mian'luo'zhe
榨面落蔗工,zha'mian'luo'zhe'gong
粘晶,zhan'jing
蔗场,zhe'chang
蔗场工,zhe'chang'gong
蔗票,zhe'piao
蔗糖,zhe'tang
蔗糖分,zhe'tang'fen
蔗渣,zhe'zha
蔗渣场,zhe'zha'chang
蔗渣秤,zhe'zha'cheng
蔗渣秤带,zhe'zha'cheng'dai
蔗渣打包,zhe'zha'da'bao
蔗渣带,zhe'zha'dai
蔗渣堆放,zhe'zha'dui'fang
蔗渣堆放量,zhe'zha'dui'fang'liang
蔗渣回收,zhe'zha'hui'shou
蔗渣输送带,zhe'zha'shu'song'dai
蔗渣水分,zhe'zha'shui'fen
蔗渣外卖,zhe'zha'wai'mai
蔗渣外卖量,zhe'zha'wai'mai'liang
蔗汁泵,zhe'zhi'beng
振槽,zhen'cao
振动输送机,zhen'dong'shu'song'ji
真空泵,zhen'kong'beng
真空度,zhen'kong'du
真空吸滤机,zhen'kong'xi'lv'ji
振筛,zhen'shai
蒸发,zheng'fa
蒸发查定,zheng'fa'cha'ding
蒸发工,zheng'fa'gong
蒸发罐,zheng'fa'guan
蒸发量,zheng'fa'liang
值班长,zhi'ban'zhang
直冷式铜轴瓦,zhi'leng'shi'tong'zhou'wa
制炼,zhi'lian
制炼顶笼,zhi'lian'ding'long
汁盆,zhi'pen
汁汽,zhi'qi
汁汽室,zhi'qi'shi
制水,zhi'shui
制糖,zhi'tang
中和汁,zhong'he'zhi
中和汁箱,zhong'he'zhi'xiang
中间带,zhong'jian'dai
重力纯度,zhong'li'chun'du
重型喂料器,zhong'xing'wei'liao'qi
种子,zhong'zi
主动链轮,zhu'dong'lian'lun
主动轮,zhu'dong'lun
助晶,zhu'jing
助晶箱,zhu'jing'xiang
煮炼,zhu'lian
煮炼回收率,zhu'lian'hui'shou'lv
煮炉,zhu'lu
助滤剂,zhu'lv'ji
煮水,zhu'shui
煮水罐,zhu'shui'guan
煮糖,zhu'tang
煮糖工,zhu'tang'gong
煮糖罐,zhu'tang'guan
煮糖制度,zhu'tang'zhi'du
转废气,zhuan'fei'qi
转光度,zhuan'guang'du
转汁汽,zhuan'zhi'qi
装包,zhuang'bao
装包袋,zhuang'bao'dai
装包间,zhuang'bao'jian
装包绳,zhuang'bao'sheng
走内圈,zou'nei'quan
走外圆,zou'wai'yuan
阻垢剂,zu'gou'ji
做种,zuo'zhong
