阿朮,a'shu
陈利用,chen'li'yong
陈亮,chen'liang
陈良翰,chen'liang'han
陈良祐,chen'liang'you
陈烈,chen'lie
陈隆之,chen'long'zhi
陈宓,chen'mi
陈敏,chen'min
陈彭年,chen'peng'nian
陈谦,chen'qian
陈求道,chen'qiu'dao
陈若拙,chen'ruo'zhuo
陈升之,chen'sheng'zhi
陈师道,chen'shi'dao
陈世卿,chen'shi'qing
陈师锡,chen'shi'xi
陈恕,chen'shu
陈舜俞,chen'shun'yu
陈思道,chen'si'dao
陈思让,chen'si'rang
陈太素,chen'tai'su
陈抟,chen'tuan
陈橐,chen'tuo
陈韡,chen'wei
陈文颢,chen'wen'hao
陈文龙,chen'wen'long
陈文显,chen'wen'xian
陈文顼,chen'wen'xu
陈文顗,chen'wen'yi
陈希亮,chen'xi'liang
陈咸,chen'xian
陈襄,chen'xiang
陈兴,chen'xing
陈轩,chen'xuan
陈埙,chen'xun
陈衍,chen'yan
陈琰,chen'yan
陈暘,chen'yang
陈尧叟,chen'yao'sou
陈尧咨,chen'yao'zi
陈尧佐,chen'yao'zuo
陈绎,chen'yi
陈宜中,chen'yi'zhong
陈寅,chen'yin
陈祐,chen'you
陈与义,chen'yu'yi
陈渊,chen'yuan
陈源,chen'yuan
陈元桂,chen'yuan'gui
陈越,chen'yue
陈炤,chen'zhao
陈知微,chen'zhi'wei
陈执中,chen'zhi'zhong
陈仲微,chen'zhong'wei
陈子敬,chen'zi'jing
陈自强,chen'zi'qiang
陈宗,chen'zong
陈宗礼,chen'zong'li
程珌,cheng'bi
程大昌,cheng'da'chang
程德玄,cheng'de'xuan
程迪,cheng'di
程昉,cheng'fang
程公许,cheng'gong'xu
程颢,cheng'hao
程迥,cheng'jiong
程俱,cheng'ju
程戡,cheng'kan
程琳,cheng'lin
成闵,cheng'min
程师孟,cheng'shi'meng
程松,cheng'song
成象,cheng'xiang
程颐,cheng'yi
程瑀,cheng'yu
程羽,cheng'yu
程元凤,cheng'yuan'feng
程振,cheng'zhen
程之邵,cheng'zhi'shao
仇悆,chou'shu
楚建中,chu'jian'zhong
楚王赵似,chu'wang'zhao'si
楚王赵元偁,chu'wang'zhao'yuan'chen
楚衍,chu'yan
楚昭辅,chu'zhao'fu
除臻,chu'zhen
楚芝兰,chu'zhi'lan
崔福,cui'fu
崔公度,cui'gong'du
崔翰,cui'han
崔立,cui'li
崔颂,cui'song
崔台符,cui'tai'fu
崔偓佺,cui'wo'quan
崔鶠,cui'yan
崔彦进,cui'yan'jin
崔峄,cui'yi
崔颐正,cui'yi'zheng
崔与之,cui'yu'zhi
崔纵,cui'zong
崔遵度,cui'zun'du
戴庆炣,dai'qing'ke
戴溪,dai'xi
戴兴,dai'xing
代渊,dai'yuan
单煦,dan'xu
党进,dang'jin
悼献太子赵祐,dao'xian'tai'zi'zhao'you
邓得遇,deng'de'yu
邓考甫,deng'kao'fu
邓润甫,deng'run'fu
邓若水,deng'ruo'shui
邓守恩,deng'shou'en
邓肃,deng'su
邓绾,deng'wan
邓洵武,deng'xun'wu
狄棐,di'fei
狄青,di'qing
狄遵度,di'zun'du
刁衎,diao'kan
丁大全,ding'da'quan
丁德裕,ding'de'yu
丁度,ding'du
丁黼,ding'fu
丁罕,ding'han
丁少微,ding'shao'wei
丁谓,ding'wei
丁元,ding'yuan
丁仲脩,ding'zhong'xiu
董必,dong'bi
董敦逸,dong'dun'yi
董槐,dong'huai
董枢,dong'shu
董宋臣,dong'song'chen
董俨,dong'yan
董元亨,dong'yuan'heng
董遵诲,dong'zun'hui
窦卞,dou'bian
窦偁,dou'chen
窦神宝,dou'shen'bao
窦舜卿,dou'shun'qing
窦俨,dou'yan
窦仪,dou'yi
窦贞固,dou'zhen'gu
杜曾,du'ceng
杜常,du'chang
杜充,du'chong
杜纯,du'chun
杜范,du'fan
杜镐,du'gao
杜杲,du'gao
杜汉徽,du'han'hui
杜紘,du'hong
杜浒,du'hu
杜杞,du'qi
杜审进,du'shen'jin
杜莘老,du'shen'lao
杜审琦,du'shen'qi
杜审琼,du'shen'qiong
杜审肇,du'shen'zhao
杜生,du'sheng
杜守元,du'shou'yuan
杜庶,du'shu
杜衍,du'yan
杜彦圭,du'yan'gui
杜彦钧,du'yan'jun
杜谊,du'yi
度正,du'zheng
段少连,duan'shao'lian
段思恭,duan'si'gong
范百禄,fan'bai'lu
范成大,fan'cheng'da
范冲,fan'chong
藩崇彻,fan'chong'che
范纯粹,fan'chun'cui
范纯礼,fan'chun'li
范纯仁,fan'chun'ren
范纯祐,fan'chun'you
范讽,fan'feng
范杲,fan'gao
范恪,fan'ke
范旻,fan'min
范如圭,fan'ru'gui
范师道,fan'shi'dao
范坦,fan'tan
范天顺,fan'tian'shun
范廷召,fan'ting'zhao
范同,fan'tong
范旺,fan'wang
范祥,fan'xiang
范应铃,fan'ying'ling
范雍,fan'yong
范育,fan'yu
范镇,fan'zhen
范正辞,fan'zheng'ci
范正平,fan'zheng'ping
樊知古,fan'zhi'gu
范致虚,fan'zhi'xu
范锺,fan'zhong
范仲淹,fan'zhong'yan
范子奇,fan'zi'qi
范宗尹,fan'zong'yin
范祖禹,fan'zu'yu
方纲,fang'gang
方腊,fang'la
方偕,fang'xie
方信孺,fang'xin'ru
方允武,fang'yun'wu
丰稷,feng'ji
冯吉,feng'ji
冯继业,feng'ji'ye
冯京,feng'jing
冯康国,feng'kang'guo
冯谧,feng'mi
冯去非,feng'qu'fei
冯伸己,feng'shen'ji
冯世宁,feng'shi'ning
冯文智,feng'wen'zhi
冯澥,feng'xie
冯行己,feng'xing'ji
冯益,feng'yi
冯元,feng'yuan
冯瓒,feng'zan
冯拯,feng'zheng
富弼,fu'bi
傅伯成,fu'bo'cheng
傅察,fu'cha
辅超,fu'chao
傅楫,fu'ji
傅潜,fu'qian
傅求,fu'qiu
富绍庭,fu'shao'ting
傅思让,fu'si'rang
符惟忠,fu'wei'zhong
符彦卿,fu'yan'qing
傅尧俞,fu'yao'yu
符昭寿,fu'zhao'shou
符昭愿,fu'zhao'yuan
富直柔,fu'zhi'rou
甘昪,gan'bian
甘昭吉,gan'zhao'ji
高弁,gao'bian
高登,gao'deng
高觌,gao'di
高頔,gao'di
高定子,gao'ding'zi
高防,gao'fang
高赋,gao'fu
高公纪,gao'gong'ji
高化,gao'hua
高怀德,gao'huai'de
高继宣,gao'ji'xuan
高继勋,gao'ji'xun
高稼,gao'jia
高居简,gao'ju'jian
高闶,gao'kang
高冕,gao'mian
高敏,gao'min
高琼,gao'qiong
高若讷,gao'ruo'ne
高士林,gao'shi'lin
高世则,gao'shi'ze
高斯得,gao'si'de
高谈,gao'tan
高文虎,gao'wen'hu
高锡,gao'xi
高彦俦,gao'yan'chou
高彦晖,gao'yan'hui
高怿,gao'yi
高应松,gao'ying'song
高永能,gao'yong'neng
高永年,gao'yong'nian
高遵惠,gao'zun'hui
高遵裕,gao'zun'yu
葛霸,ge'ba
葛邲,ge'bi
葛宫,ge'gong
葛洪,ge'hong
葛怀敏,ge'huai'min
葛胜仲,ge'sheng'zhong
耿南仲,geng'nan'zhong
耿全斌,geng'quan'bin
耿世安,geng'shi'an
龚澄枢,gong'cheng'shu
龚鼎臣,gong'ding'chen
龚夬,gong'guai
龚楫李,gong'ji'li
龚茂良,gong'mao'liang
巩信,gong'xin
龚原,gong'yuan
勾龙如渊,gou'long'ru'yuan
勾涛,gou'tao
顾临,gu'lin
顾忻,gu'xin
关礼,guan'li
管师仁,guan'shi'ren
郭成,guo'cheng
郭承祐,guo'cheng'you
郭崇,guo'chong
郭崇仁,guo'chong'ren
郭琮,guo'cong
郭从义,guo'cong'yi
郭恩,guo'en
郭浩,guo'hao
郭浒,guo'hu
郭进,guo'jin
郭靖,guo'jing
郭逵,guo'kui
郭密,guo'mi
郭琼,guo'qiong
郭劝,guo'quan
郭申锡,guo'shen'xi
郭守文,guo'shou'wen
郭天信,guo'tian'xin
郭廷谓,guo'ting'wei
郭无为,guo'wu'wei
郭祥正,guo'xiang'zheng
郭延濬,guo'yan'jun
郭延泽,guo'yan'ze
郭药师,guo'yao'shi
郭义,guo'yi
郭雍,guo'yong
郭永,guo'yong
郭载,guo'zai
郭赞,guo'zan
郭稹,guo'zhen
郭贽,guo'zhi
郭知章,guo'zhi'zhang
郭忠恕,guo'zhong'shu
郭忠孝,guo'zhong'xiao
郭僎,guo'zhuan
郭谘,guo'zi
韩保正,han'bao'zheng
韩崇训,han'chong'xun
韩崇业,han'chong'ye
韩川,han'chuan
韩公裔,han'gong'yi
韩国华,han'guo'hua
韩浩,han'hao
韩绛,han'jiang
韩晋卿,han'jin'qing
韩驹,han'ju
韩令坤,han'ling'kun
韩伦,han'lun
韩丕,han'pi
韩溥,han'pu
韩琦,han'qi
韩世忠,han'shi'zhong
韩守英,han'shou'ying
韩璹,han'shu
韩通,han'tong
韩侂冑,han'tuo'zhou
汉王赵元佐,han'wang'zhao'yuan'zuo
韩维,han'wei
韩熙载,han'xi'zai
韩显符,han'xian'fu
韩肖冑,han'xiao'zhou
韩彦直,han'yan'zhi
韩亿,han'yi
韩缜,han'zhen
韩贽,han'zhi
韩忠彦,han'zhong'yan
韩重贇,han'zhong'yun
韩综,han'zong
韩宗师,han'zong'shi
韩宗武,han'zong'wu
郝戭,hao'yan
郝质,hao'zhi
郝仲连,hao'zhong'lian
和斌,he'bin
何常,he'chang
何承矩,he'cheng'ju
何充,he'chong
何澹,he'dan
何灌,he'guan
何基,he'ji
何继筠,he'ji'jun
贺兰栖真,he'lan'qi'zhen
何栗,he'li
贺令图,he'ling'tu
何蒙,he'meng
何群,he'qun
何涉,he'she
和诜,he'shen
何时,he'shi
何郯,he'tan
和王赵栻,he'wang'zhao'shi
贺惟忠,he'wei'zhong
和岘,he'xian
何异,he'yi
何正臣,he'zheng'chen
何执中,he'zhi'zhong
何中立,he'zhong'li
贺铸,he'zhu
何铸,he'zhu
洪皓,hong'hao
洪迈,hong'mai
洪拟,hong'ni
洪芹,hong'qin
洪适,hong'shi
洪天锡,hong'tian'xi
洪文抚,hong'wen'fu
洪兴祖,hong'xing'zu
洪彦升,hong'yan'sheng
洪湛,hong'zhan
洪咨夔,hong'zi'kui
洪遵,hong'zun
侯畐,hou'bi
侯可,hou'ke
侯蒙,hou'meng
侯莫,hou'mo
侯仁宝,hou'ren'bao
侯仁矩,hou'ren'ju
侯延广,hou'yan'guang
侯义,hou'yi
侯益,hou'yi
侯贇,hou'yun
侯章,hou'zhang
侯陟,hou'zhi
胡安国,hu'an'guo
胡斌,hu'bin
胡旦,hu'dan
胡宏,hu'hong
胡紘,hu'hong
胡闳休,hu'hong'xiu
胡交修,hu'jiao'xiu
胡晋臣,hu'jin'chen
扈蒙,hu'meng
胡宁,hu'ning
胡铨,hu'quan
胡世将,hu'shi'jiang
胡舜陟,hu'shun'zhi
胡顺之,hu'shun'zhi
胡松年,hu'song'nian
胡宿,hu'su
胡唐老,hu'tang'lao
胡宪,hu'xian
扈彦珂,hu'yan'ke
呼延赞,hu'yan'zan
胡沂,hu'yi
胡寅,hu'yin
胡颖,hu'ying
胡瑗,hu'yuan
扈再兴,hu'zai'xing
胡则,hu'ze
胡仲容,hu'zhong'rong
胡仲尧,hu'zhong'yao
胡宗回,hu'zong'hui
胡宗炎,hu'zong'yan
胡宗愈,hu'zong'yu
华岳,hua'yue
黄葆光,huang'bao'guang
黄伯思,huang'bo'si
黄畴若,huang'chou'ruo
黄度,huang'du
黄黼,huang'fu
皇甫继明,huang'fu'ji'ming
皇甫继勋,huang'fu'ji'xun
皇甫坦,huang'fu'tan
黄榦,huang'gan
黄龟年,huang'gui'nian
黄灏,huang'hao
黄鉴,huang'jian
黄介,huang'jie
黄亢,huang'kang
黄廉,huang'lian
黄履,huang'lv
黄洽,huang'qia
黄潜善,huang'qian'shan
黄裳,huang'shang
黄申,huang'shen
黄寔,huang'shi
黄师雍,huang'shi'yong
黄庭坚,huang'ting'jian
黄文政,huang'wen'zheng
黄晞,huang'xi
黄夷简,huang'yi'jian
黄友,huang'you
黄震,huang'zhen
黄中,huang'zhong
黄祖舜,huang'zu'shun
霍安国,huo'an'guo
霍端友,huo'duan'you
季陵,ji'ling
济王赵栩,ji'wang'zhao'xu
嵇颖,ji'ying
贾黯,jia'an
贾昌朝,jia'chang'chao
贾昌衡,jia'chang'heng
贾黄中,jia'huang'zhong
贾逵,jia'kui
贾涉,jia'she
贾似道,jia'si'dao
贾同,jia'tong
贾伟节,jia'wei'jie
家铉翁,jia'xuan'weng
贾炎,jia'yan
贾易,jia'yi
家愿,jia'yuan
贾子坤,jia'zi'kun
建国公,jian'guo'gong
蹇序辰,jian'xu'chen
蹇彝,jian'yi
蹇周辅,jian'zhou'fu
江白,jiang'bai
姜才,jiang'cai
蒋芾,jiang'fei
江公望,jiang'gong'wang
蒋静,jiang'jing
彊霓,jiang'ni
姜潜,jiang'qian
姜绶,jiang'shou
蒋堂,jiang'tang
姜特立,jiang'te'li
江万里,jiang'wan'li
蒋偕,jiang'xie
江休复,jiang'xiu'fu
蒋猷,jiang'you
蒋之奇,jiang'zhi'qi
江仲明,jiang'zhong'ming
蒋重珍,jiang'zhong'zhen
姜遵,jiang'zun
焦继勋,jiao'ji'xun
焦守节,jiao'shou'jie
解晖,jie'hui
解元,jie'yuan
金安节,jin'an'jie
靳怀德,jin'huai'de
金应,jin'ying
金渊,jin'yuan
荆罕儒,jing'han'ru
荆嗣,jing'si
景思立,jing'si'li
景思忠,jing'si'zhong
景泰,jing'tai
京镗,jing'tang
景王赵杞,jing'wang'zhao'qi
景献太子赵询,jing'xian'tai'zi'zhao'xun
鞠常,ju'chang
剧可久,ju'ke'jiu
鞠嗣复,ju'si'fu
鞠咏,ju'yong
句中正,ju'zhong'zheng
康保裔,kang'bao'yi
康德舆,kang'de'yu
康履,kang'lv
康延泽,kang'yan'ze
孔承恭,kong'cheng'gong
孔道辅,kong'dao'fu
孔旼,kong'min
孔平仲,kong'ping'zhong
孔守正,kong'shou'zheng
孔维,kong'wei
孔文仲,kong'wen'zhong
孔武仲,kong'wu'zhong
孔宜,kong'yi
孔宗旦,kong'zong'dan
孔宗翰,kong'zong'han
寇瑊,kou'jian
寇准,kou'zhun
来之邵,lai'zhi'shao
蓝珪,lan'gui
蓝继宗,lan'ji'zong
郎简,lang'jian
乐黄目,le'huang'mu
雷德骧,lei'de'xiang
雷简夫,lei'jian'fu
雷孝先,lei'xiao'xian
雷有终,lei'you'zhong
雷允恭,lei'yun'gong
冷应澂,leng'ying'cheng
李邦彦,li'bang'yan
李宝,li'bao
李壁,li'bi
李斌,li'bin
李邴,li'bing
李伯玉,li'bo'yu
李伯宗,li'bo'zong
李参,li'can
李曾伯,li'ceng'bo
李常,li'chang
李昌龄,li'chang'ling
李成大,li'cheng'da
李诚之,li'cheng'zhi
李承之,li'cheng'zhi
李崇矩,li'chong'ju
李筹,li'chou
李处耘,li'chu'yun
李垂,li'chui
李椿,li'chun
李琮,li'cong
李从誧,li'cong'bu
李从善,li'cong'shan
李大临,li'da'lin
李大同,li'da'tong
李大性,li'da'xing
李迨,li'dai
李道,li'dao
李焘,li'dao
李道传,li'dao'chuan
李迪,li'di
李定,li'ding
李侗,li'dong
李度,li'du
李渎,li'du
李端懿,li'duan'yi
李端愿,li'duan'yuan
李兑,li'dui
李蘩,li'fan
李燔,li'fan
李防,li'fang
李昉,li'fang
李方子,li'fang'zi
李芾,li'fei
李符,li'fu
李复圭,li'fu'gui
李纲,li'gang
李格非,li'ge'fei
李公麟,li'gong'lin
李觏,li'gou
李谷,li'gu
李观象,li'guan'xiang
李光,li'guang
李汉超,li'han'chao
李汉琼,li'han'qiong
李沆,li'hang
李昊,li'hao
李浩,li'hao
李好义,li'hao'yi
李衡,li'heng
李恒,li'heng
李紘,li'hong
李洪信,li'hong'xin
李洪义,li'hong'yi
李怀忠,li'huai'zhong
李澣,li'huan
李及,li'ji
李稷,li'ji
李季操,li'ji'cao
李继昌,li'ji'chang
李继和,li'ji'he
李继隆,li'ji'long
李继宣,li'ji'xuan
李继勋,li'ji'xun
李及之,li'ji'zhi
李继周,li'ji'zhou
李柬之,li'jian'zhi
李建中,li'jian'zhong
李进卿,li'jin'qing
李京,li'jing
李涓,li'juan
李觉,li'jue
李筠,li'jun
李靓,li'liang
李孟传,li'meng'chuan
李弥大,li'mi'da
李弥逊,li'mi'xun
李邈,li'miao
李鸣复,li'ming'fu
李穆,li'mu
李南公,li'nan'gong
李玭,li'pin
李评,li'ping
李朴,li'pu
李溥,li'pu
李琪,li'qi
李谦溥,li'qian'pu
李清臣,li'qing'chen
李琼,li'qiong
李璆,li'qiu
李全,li'quan
李若谷,li'ruo'gu
李若水,li'ruo'shui
李若拙,li'ruo'zhuo
李韶,li'shao
李神福,li'shen'fu
李神祐,li'shen'you
李仕衡,li'shi'heng
李师中,li'shi'zhong
李守恩,li'shou'en
李寿朋,li'shou'peng
李淑,li'shu
李舜臣,li'shun'chen
李舜举,li'shun'ju
李肃,li'su
李肃之,li'su'zhi
李韬,li'tao
李涛,li'tao
李廷珪,li'ting'gui
李庭芝,li'ting'zhi
李托,li'tuo
李万超,li'wan'chao
李万全,li'wan'quan
李渭,li'wei
李玮,li'wei
李维,li'wei
李惟清,li'wei'qing
李熙靖,li'xi'jing
李宪,li'xian
李显忠,li'xian'zhong
李祥,li'xiang
李孝称,li'xiao'cheng
李孝基,li'xiao'ji
李孝寿,li'xiao'shou
李心传,li'xin'chuan
李性传,li'xing'chuan
李行简,li'xing'jian
李虚己,li'xu'ji
李绚,li'xuan
李珣,li'xun
李彦,li'yan
李延渥,li'yan'wo
李彦仙,li'yan'xian
李绎,li'yi
李翼,li'yi
李用和,li'yong'he
李宥,li'you
李吁,li'yu
李恽,li'yun
李允则,li'yun'ze
李允正,li'yun'zheng
李载,li'zai
李璋,li'zhang
李昭亮,li'zhao'liang
李昭述,li'zhao'shu
李震,li'zhen
李政,li'zheng
李至,li'zhi
李廌,li'zhi
李稙,li'zhi
李之才,li'zhi'cai
李之纯,li'zhi'chun
李知孝,li'zhi'xiao
李之仪,li'zhi'yi
李重贵,li'zhong'gui
李重诲,li'zhong'hui
李重进,li'zhong'jin
李仲容,li'zhong'rong
李中师,li'zhong'shi
李仲寓,li'zhong'yu
李周,li'zhou
李谘,li'zi
李宗谔,li'zong'e
李宗勉,li'zong'mian
李宗讷,li'zong'ne
李遵勗,li'zun'xu
连庶,lian'shu
连万夫,lian'wan'fu
梁成大,liang'cheng'da
梁从吉,liang'cong'ji
梁焘,liang'dao
梁鼎,liang'ding
梁固,liang'gu
梁颢,liang'hao
梁迥,liang'jiong
梁克家,liang'ke'jia
梁汝嘉,liang'ru'jia
梁适,liang'shi
梁师成,liang'shi'cheng
梁延嗣,liang'yan'si
梁周翰,liang'zhou'han
梁子美,liang'zi'mei
廖德明,liao'de'ming
廖刚,liao'gang
林逋,lin'bu
林冲之,lin'chong'zhi
林大中,lin'da'zhong
林旦,lin'dan
林概,lin'gai
林广,lin'guang
林光朝,lin'guang'chao
林空斋,lin'kong'zhai
林栗,lin'li
林灵素,lin'ling'su
林略,lin'lue
林琦,lin'qi
林摅,lin'shu
林特,lin'te
林霆,lin'ting
林希,lin'xi
林勋,lin'xun
林郁,lin'yu
林之奇,lin'zhi'qi
凌策,ling'ce
凌唐佐,ling'tang'zuo
刘安世,liu'an'shi
刘攽,liu'ban
刘保勋,liu'bao'xun
刘昺,liu'bing
刘伯正,liu'bo'zheng
刘才邵,liu'cai'shao
刘敞,liu'chang
刘昌言,liu'chang'yan
刘昌祚,liu'chang'zuo
刘承规,liu'cheng'gui
刘承宗,liu'cheng'zong
刘从德,liu'cong'de
刘从广,liu'cong'guang
留从效,liu'cong'xiao
刘奉世,liu'feng'shi
刘褔,liu'fu
刘黻,liu'fu
刘韐,liu'ge
刘珙,liu'gong
刘光世,liu'guang'shi
刘光祖,liu'guang'zu
刘翰,liu'han
刘汉弼,liu'han'bi
刘沆,liu'hang
刘沪,liu'hu
刘化源,liu'hua'yuan
刘涣,liu'huan
刘几,liu'ji
刘汲,liu'ji
刘甲,liu'jia
刘兼济,liu'jian'ji
刘瑾,liu'jin
刘泾,liu'jing
刘珏,liu'jue
刘筠,liu'jun
柳开,liu'kai
刘逵,liu'kui
刘夔,liu'kui
刘美,liu'mei
刘蒙叟,liu'meng'sou
刘蒙正,liu'meng'zheng
刘勉之,liu'mian'zhi
刘沐,liu'mu
刘宁止,liu'ning'zhi
刘蟠,liu'pan
刘平,liu'ping
刘錡,liu'qi
刘谦,liu'qian
刘清之,liu'qing'zhi
刘阒,liu'qu
刘锐,liu'rui
刘绍能,liu'shao'neng
刘诜,liu'shen
刘审琼,liu'shen'qiong
刘湜,liu'shi
刘师道,liu'shi'dao
刘士英,liu'shi'ying
刘士昭,liu'shi'zhao
刘述,liu'shu
刘恕,liu'shu
刘舜卿,liu'shun'qing
刘嗣明,liu'si'ming
刘随,liu'sui
刘泰,liu'tai
刘涛,liu'tao
刘廷翰,liu'ting'han
刘廷让,liu'ting'rang
刘庭式,liu'ting'shi
陆万友,liu'wan'you
刘惟辅,liu'wei'fu
刘惟简,liu'wei'jian
刘温叟,liu'wen'sou
刘文裕,liu'wen'yu
刘文质,liu'wen'zhi
刘熙古,liu'xi'gu
刘羲叟,liu'xi'sou
刘庠,liu'xiang
刘孝忠,liu'xiao'zhong
刘宣,liu'xuan
刘绚,liu'xuan
刘颜,liu'yan
刘弇,liu'yan
刘晏,liu'yan
刘延庆,liu'yan'qing
刘烨,liu'ye
刘彝,liu'yi
刘易,liu'yi
刘翊,liu'yi
刘仪凤,liu'yi'feng
刘一止,liu'yi'zhi
刘颖,liu'ying
刘应龙,liu'ying'long
刘用,liu'yong
刘永年,liu'yong'nian
刘永一,liu'yong'yi
刘豫,liu'yu
刘遇,liu'yu
刘愚,liu'yu
刘元瑜,liu'yuan'yu
刘爚,liu'yue
柳约,liu'yue
刘载,liu'zai
刘宰,liu'zai
刘章,liu'zhang
刘拯,liu'zheng
留正,liu'zheng
刘正夫,liu'zheng'fu
刘正彦,liu'zheng'yan
刘挚,liu'zhi
柳植,liu'zhi
刘知信,liu'zhi'xin
刘重进,liu'zhong'jin
刘仲武,liu'zhong'wu
刘子翬,liu'zi'hui
刘子荐,liu'zi'jian
刘子俊,liu'zi'jun
刘子羽,liu'zi'yu
刘综,liu'zong
龙大渊,long'da'yuan
龙景昭,long'jing'zhao
娄机,lou'ji
楼钥,lou'yao
楼异,lou'yi
娄寅亮,lou'yin'liang
楼炤,lou'zhao
卢斌,lu'bin
卢秉,lu'bing
路昌衡,lu'chang'heng
陆持之,lu'chi'zhi
陆佃,lu'dian
卢多逊,lu'duo'xun
卢法原,lu'fa'yuan
卢革,lu'ge
卢怀忠,lu'huai'zhong
卢鉴,lu'jian
陆九龄,lu'jiu'ling
陆九渊,lu'jiu'yuan
陆诜,lu'shen
卢士宏,lu'shi'hong
陆师闵,lu'shi'min
卢士宗,lu'shi'zong
卢守懃,lu'shou'qin
陆秀夫,lu'xiu'fu
卢琰,lu'yan
卢亿,lu'yi
陆游,lu'you
鲁有开,lu'you'kai
陆蕴,lu'yun
路振,lu'zhen
卢政,lu'zheng
卢之翰,lu'zhi'han
卢知原,lu'zhi'yuan
鲁宗道,lu'zong'dao
栾崇吉,luan'chong'ji
罗必元,luo'bi'yuan
罗处约,luo'chu'yue
罗从彦,luo'cong'yan
罗点,luo'dian
罗汝楫,luo'ru'ji
罗彦瓌,luo'yan'gui
罗愿,luo'yuan
罗拯,luo'zheng
吕本中,lv'ben'zhong
吕大防,lv'da'fang
吕大钧,lv'da'jun
吕大临,lv'da'lin
吕大忠,lv'da'zhong
吕端,lv'duan
吕公弼,lv'gong'bi
吕公绰,lv'gong'chuo
吕公孺,lv'gong'ru
吕公着,lv'gong'zhe
吕沆,lv'hang
吕好问,lv'hao'wen
吕诲,lv'hui
吕惠卿,lv'hui'qing
吕嘉问,lv'jia'wen
吕景初,lv'jing'chu
吕蒙正,lv'meng'zheng
吕南公,lv'nan'gong
吕溱,lv'qin
吕陶,lv'tao
吕文信,lv'wen'xin
吕文仲,lv'wen'zhong
吕午,lv'wu
吕武,lv'wu
吕希纯,lv'xi'chun
吕希哲,lv'xi'zhe
吕夏卿,lv'xia'qing
吕颐浩,lv'yi'hao
吕夷简,lv'yi'jian
吕由诚,lv'you'cheng
吕祐之,lv'you'zhi
