挨黑打,ai'hei'da
扯一火,che'yi'huo
车远点,che'yuan'dian
抻抖,chen'dou
琛过来,chen'guo'lai
琛子,chen'zi
称称头头,cheng'cheng'tou'tou
称东西,cheng'dong'xi
称抖,cheng'dou
撑唤,cheng'huan
称唤,cheng'huan
城墙倒拐,cheng'qiang'dao'guai
逞下去,cheng'xia'qu
吃得下切,chi'de'xia'qie
吃多球了,chi'duo'qiu'le
吃嘎嘎,chi'ga'ga
痴过来,chi'guo'lai
吃胡,chi'hu
吃胡了,chi'hu'le
吃九斗碗,chi'jiu'dou'wan
吃酒碗,chi'jiu'wan
吃莽莽,chi'mang'mang
吃皮,chi'pi
吃欺头,chi'qi'tou
吃球多了,chi'qiu'duo'le
吃赏午,chi'shang'wu
宠祸,chong'huo
冲壳壳,chong'ke'ke
冲壳子,chong'ke'zi
臭惨,chou'can
抽活,chou'huo
除脱,chu'tuo
揣起,chuai'qi
穿鼻子,chuan'bi'zi
川川,chuan'chuan
穿孩子,chuan'hai'zi
川普,chuan'pu
闯鬼,chuang'gui
闯你妈个鬼哟,chuang'ni'ma'ge'gui'yo
吹壳子,chui'ke'zi
吹垮垮,chui'kua'kua
春卷儿,chun'juan'er
春台会,chun'tai'hui
戳锅漏,chuo'guo'lou
戳脱,chuo'tuo
糍粑子,ci'ba'zi
窜窜儿,cuan'cuan'er
窜瞌睡,cuan'ke'shui
撮儿,cuo'er
打饱嗝,da'bao'ge
打标枪,da'biao'qiang
打波,da'bo
打啵儿,da'bo'er
打冲拳,da'chong'quan
打锤,da'chui
打捶,da'chui
跶倒,da'dao
打侗侗,da'dong'dong
打飞白,da'fei'bai
打黑猫,da'hei'mao
打伙,da'huo
打豁嗨,da'huo'hai
打金章,da'jin'zhang
打烂账,da'lan'zhang
打烂帐,da'lan'zhang
打猫儿心肠,da'mao'er'xin'chang
打猫心肠,da'mao'xin'chang
打摩登,da'mo'deng
打平伙,da'ping'huo
达扑爬,da'pu'pa
打燃火,da'ran'huo
打丧火,da'sang'huo
打上靶,da'shang'ba
打摔手,da'shuai'shou
打霜,da'shuang
大天白亮,da'tian'bai'liang
打望,da'wang
打王逛,da'wang'guang
打牙祭,da'ya'ji
打幺台,da'yao'tai
打一头,da'yi'tou
带把子,dai'ba'zi
逮猫儿,dai'mao'er
单被子,dan'bei'zi
弹绷子,dan'beng'zi
蛋烘糕,dan'hong'gao
蛋球腾,dan'qiu'teng
蛋球疼,dan'qiu'teng
淡瓦瓦,dan'wa'wa
淡瓦瓦的,dan'wa'wa'de
荡荡,dang'dang
凼凼,dang'dang
刀儿匠,dao'er'jiang
倒拐,dao'guai
倒拐子,dao'guai'zi
到拐子,dao'guai'zi
倒欠皮,dao'qian'pi
叨嘴,dao'zui
道佐乡,dao'zuo'xiang
得嘛好,de'ma'hao
得行呢,de'xing'ne
灯毒,deng'du
登读,deng'du
登犊,deng'du
灯竿,deng'gan
等哈哈儿,deng'ha'ha'er
灯晃,deng'huang
等一哈儿,deng'yi'ha'er
低低儿,di'di'er
低低嘎嘎,di'di'ga'ga
低低噶噶儿,di'di'ga'ga'er
地瓜儿,di'gua'er
抵拢,di'long
抵拢倒拐,di'long'dao'guai
地转转儿,di'zhuan'zhuan'er
地转子,di'zhuan'zi
点灯儿,dian'deng'er
点都不爱惜,dian'dou'bu'ai'xi
钉锤儿,ding'chui'er
丁丁猫,ding'ding'mao
叮叮猫,ding'ding'mao
丁丁猫儿,ding'ding'mao'er
碇子,ding'zi
丢翻,diu'fan
冻糕,dong'gao
东西太烫,dong'xi'tai'tang
豆腐帘子,dou'fu'lian'zi
逗毛,dou'mao
都求不晓得,dou'qiu'bu'xiao'de
豆是,dou'shi
逗是,dou'shi
斗是,dou'shi
豆子神,dou'zi'shen
短处处,duan'chu'chu
对到整,dui'dao'zheng
堆堆大,dui'dui'da
兑老,dui'lao
对勒嘛,dui'le'ma
对明,dui'ming
对头,dui'tou
剁皮,duo'pi
多想切,duo'xiang'qie
饿痨饿虾,e'lao'e'xia
额楼,e'lou
峨眉山耍,e'mei'shan'shua
屙尿,e'niao
屙稀,e'xi
恶扎,e'zha
恩个快,en'ge'kuai
恩脚,en'jiao
摁是,en'shi
耳巴子,er'ba'zi
二不垮五,er'bu'kua'wu
二锤,er'chui
二杆子,er'gan'zi
耳瓜子,er'gua'zi
二回,er'hui
二麻二麻,er'ma'er'ma
儿麻婆,er'ma'po
二盘,er'pan
耳屎你,er'shi'ni
发梦癫,fa'meng'dian
烦造造,fan'zao'zao
反正后头,fan'zheng'hou'tou
放黄,fang'huang
放假得嘛,fang'jia'de'ma
方脑壳,fang'nao'ke
放帕子,fang'pa'zi
放生会,fang'sheng'hui
飞叉叉的,fei'cha'cha'de
肥肠血旺,fei'chang'xue'wang
肥胴胴,fei'dong'dong
飞飞儿,fei'fei'er
非几吧,fei'ji'ba
非求贵,fei'qiu'gui
费头子,fei'tou'zi
分儿钱,fen'er'qian
风车车,feng'che'che
疯扯扯,feng'che'che
疯球了,feng'qiu'le
风丝麻木,feng'si'ma'mu
风屑,feng'xie
副开,fu'kai
付你两耳屎,fu'ni'liang'er'shi
嘠嘎,ga'ga
旮旮角角,ga'ga'jiao'jiao
该背实,gai'bei'shi
该死鸡儿球朝天,gai'si'ji'er'qiu'chao'tian
赶场,gan'chang
干豇豆,gan'jiang'dou
干精火旺,gan'jing'huo'wang
干啥子,gan'sha'zi
干西儿,gan'xi'er
干心儿,gan'xin'er
钢得起,gang'de'qi
搞刨,gao'bao
搞刨了,gao'bao'le
搞不到着,gao'bu'dao'zhe
搞不醒豁,gao'bu'xing'huo
搞不赢,gao'bu'ying
搞巢,gao'chao
告哈儿,gao'ha'er
告哈撒,gao'ha'sa
搞紧,gao'jin
搞球,gao'qiu
搞球不懂,gao'qiu'bu'dong
搞求不醒豁,gao'qiu'bu'xing'huo
搞球事,gao'qiu'shi
搞啥子嘛,gao'sha'zi'ma
高耸耸,gao'song'song
高头,gao'tou
搞眼,gao'yan
哥老倌,ge'lao'guan
格老子,ge'lao'zi
各人,ge'ren
格蚤,ge'zao
给你摆哈,gei'ni'bai'ha
给是哈,gei'shi'ha
耿直不嘛,geng'zhi'bu'ma
共过来,gong'guo'lai
弓起,gong'qi
狗日的,gou'ri'de
勾子,gou'zi
沟子,gou'zi
鼓到,gu'dao
估倒,gu'dao
古倒,gu'dao
鼓斗,gu'dou
姑妮儿,gu'ni'er
瓜不兮兮,gua'bu'xi'xi
瓜不兮兮的,gua'bu'xi'xi'de
瓜戳戳,gua'chuo'chuo
寡淡,gua'dan
瓜得很,gua'de'hen
瓜儿,gua'er
挂挂钱,gua'gua'qian
瓜了,gua'le
瓜麻批,gua'ma'pi
瓜眉瓜眼,gua'mei'gua'yan
瓜眉日眼,gua'mei'ri'yan
瓜迷日眼,gua'mi'ri'yan
瓜婆娘,gua'po'niang
呱娃子,gua'wa'zi
瓜娃子,gua'wa'zi
瓜西西,gua'xi'xi
瓜兮兮,gua'xi'xi
瓜兮兮的,gua'xi'xi'de
怪眉日眼,guai'mei'ri'yan
怪头扭精,guai'tou'niu'jing
罐罐鸡,guan'guan'ji
关你球事,guan'ni'qiu'shi
关钱,guan'qian
关求他的哦,guan'qiu'ta'de'o
光巴子,guang'ba'zi
光膀膀,guang'bang'bang
光叉叉,guang'cha'cha
光胴胴,guang'dong'dong
光董董,guang'dong'dong
广耳屎,guang'er'shi
广儿石,guang'er'shi
光生,guang'sheng
鬼扯,gui'che
龟儿,gui'er
龟儿子,gui'er'zi
鬼火冲,gui'huo'chong
鬼火冒,gui'huo'mao
鬼迷日眼,gui'mi'ri'yan
鬼头刀把,gui'tou'dao'ba
鬼头子,gui'tou'zi
滚滚儿,gun'gun'er
滚龙,gun'long
锅魁,guo'kui
郭孽,guo'nie
哈宝儿,ha'bao'er
哈波儿,ha'bo'er
哈戳戳,ha'chuo'chuo
哈绰绰,ha'chuo'chuo
哈得批爆,ha'de'pi'bao
哈儿,ha'er
哈哈去看,ha'ha'qu'kan
哈黑儿,ha'hei'er
哈猴,ha'hou
哈开,ha'kai
哈老壳,ha'lao'ke
哈批,ha'pi
哈起整,ha'qi'zheng
哈求老,ha'qiu'lao
哈子,ha'zi
骇得,hai'de
憨包,han'bao
憨吃死涨,han'chi'si'zhang
憨口水,han'kou'shui
喊你休息,han'ni'xiu'xi
夯那个,hang'na'ge
好吃嘴,hao'chi'zui
好吃嘴儿,hao'chi'zui'er
好多钟老,hao'duo'zhong'lao
好港,hao'gang
好黑人,hao'hei'ren
好久点儿,hao'jiu'dian'er
好球瓜,hao'qiu'gua
好球撇,hao'qiu'pie
好生检查,hao'sheng'jian'cha
好歪,hao'wai
好凶,hao'xiong
好造孽,hao'zao'nie
好走得,hao'zou'de
喝开开,he'kai'kai
喝麻咯,he'ma'ge
喝麻了,he'ma'le
喝死当睡着,he'si'dang'shui'zhao
黑挨球,hei'ai'qiu
黑不好得,hei'bu'hao'de
嘿惨了,hei'can'le
黑戳戳,hei'chuo'chuo
黑搓,hei'cuo
黑多件,hei'duo'jian
黑多面,hei'duo'mian
黑多男人,hei'duo'nan'ren
黑多页,hei'duo'ye
嘿多种,hei'duo'zhong
黑乖的,hei'guai'de
黑哈,hei'ha
黑尽,hei'jin
黑起屁儿,hei'qi'pi'er
黑起屁眼,hei'qi'pi'yan
黑起事,hei'qi'shi
黑区麻拱,hei'qu'ma'gong
嘿容易,hei'rong'yi
嘿死个人,hei'si'ge'ren
黑想切,hei'xiang'qie
红扯扯,hong'che'che
红扯扯的,hong'che'che'de
烘笼子,hong'long'zi
红苕花,hong'shao'hua
红糖冰粉,hong'tang'bing'fen
后颈窝,hou'jing'wo
后脑抓,hou'nao'zhua
厚皮菜,hou'pi'cai
猴秋子,hou'qiu'zi
吼人,hou'ren
吼啥子吼,hou'sha'zi'hou
吼他,hou'ta
吼头,hou'tou
后头觉得,hou'tou'jue'de
吼我,hou'wo
后抓抓,hou'zhua'zhua
糊起糊起,hu'qi'hu'qi
划不着,hua'bu'zhao
划补着,hua'bu'zhe
化得戳,hua'de'chuo
划得着,hua'de'zhe
花古灵当,hua'gu'ling'dang
划球不着,hua'qiu'bu'zhao
换得老,huan'de'lao
黄坝大桥,huang'ba'da'qiao
黄帮,huang'bang
黄棒,huang'bang
黄话,huang'hua
黄辣丁,huang'la'ding
黄了,huang'le
黄师父,huang'shi'fu
灰巴拢耸,hui'ba'long'song
灰包蛋,hui'bao'dan
灰赖,hui'lai
回龙镇,hui'long'zhen
灰面,hui'mian
回切,hui'qie
荤豆花,hun'dou'hua
混糖锅魁,hun'tang'guo'kui
豁别个,huo'bie'ge
火锅粉,huo'guo'fen
火井镇,huo'jing'zhen
豁老子,huo'lao'zi
豁你,huo'ni
活腻了,huo'ni'le
豁抛,huo'pao
火炮儿,huo'pao'er
豁皮,huo'pi
豁人,huo'ren
火撒,huo'sa
豁我,huo'wo
豁我哦,huo'wo'o
火窑裤,huo'yao'ku
鸡芭,ji'ba
急到交,ji'dao'jiao
鸡儿,ji'er
几儿屎,ji'er'shi
几哈,ji'ha
几娘母,ji'niang'mu
鸡婆,ji'po
鸡娃儿,ji'wa'er
几爷子,ji'ye'zi
假巴意思,jia'ba'yi'si
假打,jia'da
家搭子,jia'da'zi
夹关镇,jia'guan'zhen
甲甲,jia'jia
架架儿,jia'jia'er
假精灵,jia'jing'ling
假老练,jia'lao'lian
家里头,jia'li'tou
夹毛拘,jia'mao'ju
假密假眼,jia'mi'jia'yan
夹色子,jia'shai'zi
夹舌子,jia'she'zi
贾淑芬,jia'shu'fen
贾素芬,jia'su'fen
家头,jia'tou
捡底,jian'di
剪脑壳,jian'nao'ke
贱皮子,jian'pi'zi
拣起,jian'qi
捡相因,jian'xiang'yin
将就日,jiang'jiu'ri
脚粑手软,jiao'ba'shou'ruan
脚板儿,jiao'ban'er
脚板心,jiao'ban'xin
脚肚子,jiao'du'zi
搅儿,jiao'er
脚杆,jiao'gan
脚脚,jiao'jiao
脚脚爪爪,jiao'jiao'zhao'zhao
角角子,jiao'jiao'zi
焦苦,jiao'ku
角孽,jiao'nie
搅起搅起,jiao'qi'jiao'qi
嚼舌头,jiao'she'tou
交湿,jiao'shi
焦湿,jiao'shi
脚踏,jiao'ta
脚塔,jiao'ta
脚弯弯,jiao'wan'wan
脚趾母儿,jiao'zhi'mu'er
脚猪,jiao'zhu
饺子抄手,jiao'zi'chao'shou
街娃儿,jie'wa'er
紧倒,jin'dao
紧到不回来,jin'dao'bu'hui'lai
禁得整,jin'de'zheng
今年子,jin'nian'zi
今晚夕,jin'wan'xi
精彩不嘛,jing'cai'bu'ma
警防,jing'fang
惊风火扯,jing'feng'huo'che
惊叫唤,jing'jiao'huan
经叫唤,jing'jiao'huan
经事,jing'shi
精瘦,jing'shou
经佑,jing'you
惊爪爪,jing'zhao'zhao
惊抓抓的,jing'zhua'zhua'de
九斗碗,jiu'dou'wan
就愣个,jiu'leng'ge
酒米饭,jiu'mi'fan
就睡不戳,jiu'shui'bu'chuo
舅子些,jiu'zi'xie
卡得批爆,ka'de'pi'bao
卡卡各各,ka'ka'ge'ge
卡卡角角,ka'ka'jiao'jiao
咔咔壳壳,ka'ka'ke'ke
开黄腔,kai'huang'qiang
看倒,kan'dao
看哈,kan'ha
坎肩子,kan'jian'zi
砍老壳,kan'lao'ke
砍脑壳,kan'nao'ke
砍脑壳的,kan'nao'ke'de
看一哈,kan'yi'ha
拷沙罐,kao'sha'guan
考试得嘛,kao'shi'de'ma
科不平,ke'bu'ping
磕得平,ke'de'ping
克骂,ke'ma
可能要且,ke'neng'yao'qie
壳膝头,ke'xi'tou
客膝头,ke'xi'tou
磕膝头儿,ke'xi'tou'er
空搞灯儿,kong'gao'deng'er
空老吹,kong'lao'chui
空了吹,kong'le'chui
孔明乡,kong'ming'xiang
抠的很,kou'de'hen
抠门,kou'men
苦毛子,ku'mao'zi
垮杆,kua'gan
快点儿,kuai'dian'er
诓睡着,kuang'shui'zhao
拉爆,la'bao
拉豁,la'huo
拉稀摆带,la'xi'bai'dai
来不起了哈,lai'bu'qi'le'ha
来得陡,lai'de'dou
赖嗝宝,lai'ge'bao
癞疙宝,lai'ge'bao
癞克宝,lai'ke'bao
来老索,lai'lao'suo
癞皮狗儿,lai'pi'gou'er
懒得烧蛇吃,lan'de'shao'she'chi
懒球的管,lan'qiu'de'guan
烂牙巴,lan'ya'ba
烂眼儿,lan'yan'er
烂帐,lan'zhang
拦中半腰,lan'zhong'ban'yao
浪高,lang'gao
啷个,lang'ge
朗个,lang'ge
浪个得,lang'ge'de
浪个读,lang'ge'du
浪个还,lang'ge'hai
浪个回答,lang'ge'hui'da
啷个嘛,lang'ge'ma
啷个起的,lang'ge'qi'de
浪块,lang'kuai
老巴子,lao'ba'zi
老把子,lao'ba'zi
老庚,lao'geng
老哈,lao'ha
老汉儿,lao'han'er
老汉过生,lao'han'guo'sheng
老坎,lao'kan
老猫儿,lao'mao'er
老南桥,lao'nan'qiao
捞前,lao'qian
捞轻,lao'qing
老人公,lao'ren'gong
老人婆,lao'ren'po
老水子,lao'shui'zi
痨死,lao'si
老太爷,lao'tai'ye
劳慰,lao'wei
醪糟蛋,lao'zao'dan
老丈母,lao'zhang'mu
老子心头,lao'zi'xin'tou
勒豆是,le'dou'shi
嘞句话,le'ju'hua
勒里,le'li
勒两张,le'liang'zhang
嘞样子,le'yang'zi
肋巴骨,lei'ba'gu
冷个长,leng'ge'chang
冷个丑,leng'ge'chou
冷个恼火,leng'ge'nao'huo
冷个撇,leng'ge'pie
愣个想,leng'ge'xiang
楞个做,leng'ge'zuo
冷疼了,leng'teng'le
李扯火,li'che'huo
理扯火,li'che'huo
梨儿,li'er
里骂,li'ma
理抹,li'mo
连二杆,lian'er'gan
两耳屎,liang'er'shi
亮火虫,liang'huo'chong
两娘母,liang'niang'mu
亮皮子,liang'pi'zi
亮瓦瓦,liang'wa'wa
两爷子,liang'ye'zi
临济镇,lin'ji'zhen
临邛镇,lin'qiong'zhen
流鼻子,liu'bi'zi
刘前进,liu'qian'jin
溜酸,liu'suan
拢打,long'da
龙门阵,long'men'zhen
笼起,long'qi
乱决人,luan'jue'ren
卵子大,luan'zi'da
罗兜,luo'dou
落教,luo'jiao
落气,luo'qi
螺丝骨,luo'si'gu
码不实在,ma'bu'shi'zai
马倒,ma'dao
麻广广,ma'guang'guang
麻鬼哦,ma'gui'o
妈老汉了,ma'lao'han'le
马老壳,ma'lao'ke
麻了,ma'le
麻麻鱼,ma'ma'yu
麻麻扎扎,ma'ma'zha'zha
妈卖嘛批,ma'mai'ma'pi
马脑壳,ma'nao'ke
麻坯,ma'pi
麻批,ma'pi
嘛批,ma'pi
麻起,ma'qi
马起脸,ma'qi'lian
麻人,ma'ren
麻肉,ma'rou
麻汤,ma'tang
麻糖,ma'tang
麻窝子,ma'wo'zi
妈哟,ma'yo
麻杂,ma'za
麻扎扎,ma'zha'zha
卖勾子,mai'gou'zi
慢慢摆,man'man'bai
铓铓,mang'mang
莽子,mang'zi
毛厕,mao'ce
猫得,mao'de
毛根儿,mao'gen'er
毛焦火辣,mao'jiao'huo'la
毛了,mao'le
冒莽的,mao'mang'de
冒皮皮,mao'pi'pi
茂起,mao'qi
毛起,mao'qi
猫起,mao'qi
猫起麻起,mao'qi'ma'qi
猫杀,mao'sha
猫煞,mao'sha
茅室,mao'shi
茅斯,mao'si
猫司机,mao'si'ji
毛脱,mao'tuo
毛血旺,mao'xue'wang
猫优,mao'you
么姑娘,me'gu'niang
没得,mei'de
没得搞,mei'de'gao
每夺,mei'duo
妹儿娃子,mei'er'wa'zi
没来头,mei'lai'tou
没老少,mei'lao'shao
霉老子,mei'lao'zi
煤油灯,mei'you'deng
没有搞赢,mei'you'gao'ying
没长醒,mei'zhang'xing
闷墩,men'dun
闷墩儿,men'dun'er
闷起,men'qi
梦脚,meng'jiao
免求得,mian'qiu'de
瞄到,miao'dao
蔑到,mie'dao
灭灭,mie'mie
抿甜,min'tian
泯甜,min'tian
明儿天,ming'er'tian
明年子,ming'nian'zi
摸包包,mo'bao'bao
默倒,mo'dao
莫得,mo'de
默得,mo'de
莫的咯,mo'de'ge
莫的钱钱,mo'de'qian'qian
默斗,mo'dou
莫搞,mo'gao
莫慌,mo'huang
抹货,mo'huo
莫来头,mo'lai'tou
莫棱个,mo'leng'ge
莫名堂,mo'ming'tang
磨皮擦痒,mo'pi'ca'yang
那才怪,na'cai'guai
哪们,na'men
拿切吃,na'qie'chi
拿切卖,na'qie'mai
拿问你,na'wen'ni
拿下切,na'xia'qie
哪阵,na'zhen
奶汤面,nai'tang'mian
奶娃儿,nai'wa'er
奶娃娃,nai'wa'wa
南宝乡,nan'bao'xiang
难球的,nan'qiu'de
脑壳有包,nao'ke'you'bao
脑壳有乒乓,nao'ke'you'ping'pang
闹麻了,nao'ma'le
闹热,nao're
闹噻,nao'sai
呢儿,ne'er
恁个,nen'ge
嫩凯,nen'kai
你得行不,ni'dei'xing'bu
你过场多,ni'guo'chang'duo
你黑扯,ni'hei'che
你嘿想,ni'hei'xiang
你莫遭,ni'mo'zao
你娃,ni'wa
你想不想耍,ni'xiang'bu'xiang'shua
你凶啥子,ni'xiong'sha'zi
你硬是以为,ni'ying'shi'yi'wei
年纪吧轻,nian'ji'ba'qing
娘个儿,niang'ge'er
娘人,niang'ren
娘西,niang'xi
扭精,niu'jing
扭掐,niu'qia
扭骚,niu'sao
牛跳马板,niu'tiao'ma'ban
农二哥,nong'er'ge
弄归一,nong'gui'yi
弄过切,nong'guo'qie
农喝皮,nong'he'pi
弄你,nong'ni
弄死当睡着,nong'si'dang'shui'zhao
弄血腥,nong'xue'xing
女娃儿,nv'wa'er
哦豁,o'huo
哦霍,o'huo
哦尿尿,o'niao'niao
怄人,ou'ren
趴耳朵,pa'er'duo
葩红苕,pa'hong'shao
爬开,pa'kai
怕毛,pa'mao
爬哦,pa'o
爬远点,pa'yuan'dian
排轮子,pai'lun'zi
盘海,pan'hai
滂臭,pang'chou
跑得脱,pao'de'tuo
跑的脱,pao'de'tuo
跑得脱马脑壳,pao'de'tuo'ma'nao'ke
抛皮,pao'pi
跑起去了,pao'qi'qu'le
泡哨,pao'shao
泡梢,pao'shao
烹香,peng'xiang
屁儿,pi'er
批话,pi'hua
批话多,pi'hua'duo
批人,pi'ren
批噻噻,pi'sai'sai
批酸壳掉,pi'suan'ke'diao
片片鱼,pian'pian'yu
撇的很,pie'de'hen
撇火,pie'huo
撇火药,pie'huo'yao
撇脱,pie'tuo
凭哪点,ping'na'dian
泼烦,po'fan
婆娘,po'niang
婆婆儿,po'po'er
铺盖窝儿,pu'gai'wo'er
匍爬,pu'pa
扑爬,pu'pa
气倒起,qi'dao'qi
起都起来不到,qi'dou'qi'lai'bu'dao
七拱八翘,qi'gong'ba'qiao
起哈,qi'ha
气起跑,qi'qi'pao
七翘八拱,qi'qiao'ba'gong
欺头,qi'tou
千烦,qian'fan
千翻儿,qian'fan'er
前进镇,qian'jin'zhen
签啥子字,qian'sha'zi'zi
强头子,qiang'tou'zi
翘根,qiao'gen
撬狗儿,qiao'gou'er
跷脚牛肉,qiao'jiao'niu'rou
敲盘子,qiao'pan'zi
悄悄个儿,qiao'qiao'ge'er
悄悄咪咪,qiao'qiao'mi'mi
切猫儿,qie'mao'er
清风雅静,qing'feng'ya'jing
情够,qing'gou
青勾子,qing'gou'zi
倾候,qing'hou
清候,qing'hou
清汤面,qing'tang'mian
青头姑娘,qing'tou'gu'niang
清早八晨,qing'zao'ba'chen
清早八早,qing'zao'ba'zao
穷痨饿虾,qiong'lao'e'xia
穷痨饿瞎,qiong'lao'e'xia
丘八儿,qiu'ba'er
秋瓣儿,qiu'ban'er
球打个,qiu'da'ge
秋得很,qiu'de'hen
丘儿,qiu'er
秋儿,qiu'er
球烦,qiu'fan
球逛逛,qiu'guang'guang
球光光,qiu'guang'guang
球经不懂,qiu'jing'bu'dong
球莫名堂,qiu'mo'ming'tang
秋蚊子,qiu'wen'zi
曲薄,qu'bo
区黑,qu'hei
黢麻黑,qu'ma'hei
雀到,que'dao
雀黑,que'hei
确黑,que'hei
缺缺,que'que
雀雀儿,que'que'er
确实看起,que'shi'kan'qi
群头哦,qun'tou'o
冉义镇,ran'yi'zhen
热不热和,re'bu're'he
惹毛,re'mao
惹毛老,re'mao'lao
热天头,re'tian'tou
人笨怪刀顿,ren'ben'guai'dao'dun
认都不认不到,ren'dou'bu'ren'bu'dao
人些也,ren'xie'ye
人造不住,ren'zao'bu'zhu
认账不赖帐,ren'zhang'bu'lai'zhang
日白,ri'bai
日白匠,ri'bai'jiang
日不拢耸,ri'bu'long'song
日不弄耸,ri'bu'nong'song
日得起壳子,ri'de'qi'ke'zi
日的起壳子,ri'de'qi'ke'zi
日怪,ri'guai
日龙,ri'long
日龙包,ri'long'bao
日妈那,ri'ma'na
日妈一天,ri'ma'yi'tian
日批,ri'pi
萨果,sa'guo
撒俩,sa'lia
撒子,sa'zi
撒子哦,sa'zi'o
三大三天,san'da'san'tian
丧德,sang'de
嗓等,sang'deng
桑泡儿,sang'pao'er
骚龙门阵,sao'long'men'zhen
臊皮,sao'pi
扫皮,sao'pi
臊堂子,sao'tang'zi
瑟天,se'tian
杀坊,sha'fang
杀鸽,sha'ge
杀割,sha'ge
刹郭,sha'guo
刹国,sha'guo
杀锅,sha'guo
杀果,sha'guo
杀铁,sha'tie
杀一脚,sha'yi'jiao
啥子,sha'zi
啥子不得了,sha'zi'bu'de'liao
啥子接口,sha'zi'jie'kou
啥子角色,sha'zi'jue'se
啥子课件,sha'zi'ke'jian
啥子女人,sha'zi'nv'ren
啥子哦,sha'zi'o
啥子人些,sha'zi'ren'xie
啥子社会哦,sha'zi'she'hui'o
啥子事,sha'zi'shi
啥子意思也,sha'zi'yi'si'ye
啥子注意,sha'zi'zhu'yi
闪火,shan'huo
闪骰子,shan'tou'zi
上前天,shang'qian'tian
赏午,shang'wu
烧符纸,shao'fu'zhi
烧公鸡,shao'gong'ji
少来哄我,shao'lai'hong'wo
少午,shao'wu
烧鸭子,shao'ya'zi
射拱,she'gong
舌老,she'lao
舍物,she'wu
身材撇,shen'cai'pie
