宝剑八,bao'jian'ba
逆位权杖侍从,ni'wei'quan'zhang'shi'cong
逆位权杖四,ni'wei'quan'zhang'si
逆位权杖五,ni'wei'quan'zhang'wu
逆位权杖一,ni'wei'quan'zhang'yi
逆位审判,ni'wei'shen'pan
逆位圣杯八,ni'wei'sheng'bei'ba
逆位圣杯二,ni'wei'sheng'bei'er
逆位圣杯国王,ni'wei'sheng'bei'guo'wang
逆位圣杯皇后,ni'wei'sheng'bei'huang'hou
逆位圣杯九,ni'wei'sheng'bei'jiu
逆位圣杯六,ni'wei'sheng'bei'liu
逆位圣杯七,ni'wei'sheng'bei'qi
逆位圣杯骑士,ni'wei'sheng'bei'qi'shi
逆位圣杯三,ni'wei'sheng'bei'san
逆位圣杯十,ni'wei'sheng'bei'shi
逆位圣杯侍从,ni'wei'sheng'bei'shi'cong
逆位圣杯四,ni'wei'sheng'bei'si
逆位圣杯五,ni'wei'sheng'bei'wu
逆位圣杯一,ni'wei'sheng'bei'yi
逆位世界,ni'wei'shi'jie
逆位死神,ni'wei'si'shen
逆位太阳,ni'wei'tai'yang
逆位星币八,ni'wei'xing'bi'ba
逆位星币二,ni'wei'xing'bi'er
逆位星币国王,ni'wei'xing'bi'guo'wang
逆位星币皇后,ni'wei'xing'bi'huang'hou
逆位星币九,ni'wei'xing'bi'jiu
逆位星币六,ni'wei'xing'bi'liu
逆位星币七,ni'wei'xing'bi'qi
逆位星币骑士,ni'wei'xing'bi'qi'shi
逆位星币三,ni'wei'xing'bi'san
逆位星币十,ni'wei'xing'bi'shi
逆位星币侍从,ni'wei'xing'bi'shi'cong
逆位星币四,ni'wei'xing'bi'si
逆位星币五,ni'wei'xing'bi'wu
逆位星币一,ni'wei'xing'bi'yi
逆位星星,ni'wei'xing'xing
逆位隐者,ni'wei'yin'zhe
逆位愚者,ni'wei'yu'zhe
逆位月亮,ni'wei'yue'liang
逆位战车,ni'wei'zhan'che
逆位正义,ni'wei'zheng'yi
女祭司,nv'ji'si
权杖八,quan'zhang'ba
权杖二,quan'zhang'er
权杖国王,quan'zhang'guo'wang
权杖皇后,quan'zhang'huang'hou
权杖九,quan'zhang'jiu
权杖六,quan'zhang'liu
权杖七,quan'zhang'qi
权杖骑士,quan'zhang'qi'shi
权杖三,quan'zhang'san
权杖十,quan'zhang'shi
权杖侍从,quan'zhang'shi'cong
权杖四,quan'zhang'si
权杖五,quan'zhang'wu
权杖一,quan'zhang'yi
审判,shen'pan
圣杯八,sheng'bei'ba
圣杯二,sheng'bei'er
圣杯国王,sheng'bei'guo'wang
圣杯皇后,sheng'bei'huang'hou
圣杯九,sheng'bei'jiu
圣杯六,sheng'bei'liu
圣杯七,sheng'bei'qi
圣杯骑士,sheng'bei'qi'shi
圣杯三,sheng'bei'san
圣杯十,sheng'bei'shi
圣杯侍从,sheng'bei'shi'cong
圣杯四,sheng'bei'si
圣杯五,sheng'bei'wu
圣杯一,sheng'bei'yi
世界,shi'jie
死神,si'shen
太阳,tai'yang
星币八,xing'bi'ba
星币二,xing'bi'er
星币国王,xing'bi'guo'wang
星币皇后,xing'bi'huang'hou
星币九,xing'bi'jiu
星币六,xing'bi'liu
星币七,xing'bi'qi
星币骑士,xing'bi'qi'shi
星币三,xing'bi'san
星币十,xing'bi'shi
星币侍从,xing'bi'shi'cong
星币四,xing'bi'si
星币五,xing'bi'wu
星币一,xing'bi'yi
星星,xing'xing
隐者,yin'zhe
愚者,yu'zhe
月亮,yue'liang
战车,zhan'che
正义,zheng'yi
