暗脉菜粉蝶,an'mai'cai'fen'die
桅子灰蝶,wei'zi'hui'die
纹环蝶,wen'huan'die
无尾灰蝶,wu'wei'hui'die
乌鸦凤蝶,wu'ya'feng'die
无趾弄蝶,wu'zhi'nong'die
细纹青斑蝶,xi'wen'qing'ban'die
西藏翠蛱蝶,xi'zang'cui'jia'die
纤粉蝶,xian'fen'die
小青凤蝶,xiao'qing'feng'die
小透翅斑蝶,xiao'tou'chi'ban'die
斜带缺尾蚬蝶,xie'dai'que'wei'xian'die
猩灰蝶,xing'hui'die
蚜灰蝶,ya'hui'die
雅灰蝶,ya'hui'die
燕凤蝶,yan'feng'die
烟环蝶,yan'huan'die
瑶凤蝶,yao'feng'die
椰眼蝶,ye'yan'die
异型紫斑蝶,yi'xing'zi'ban'die
银白蛱蝶,yin'bai'jia'die
银线灰蝶,yin'xian'hui'die
玉斑凤蝶,yu'ban'feng'die
玉带蝶,yu'dai'die
玉带凤蝶,yu'dai'feng'die
鱼纹环蝶,yu'wen'huan'die
圆翅钩粉蝶,yuan'chi'gou'fen'die
圆弧蛱蝶,yuan'hu'jia'die
月纹矩环蝶,yue'wen'ju'huan'die
窄斑翠凤蝶,zhai'ban'cui'feng'die
樟青凤蝶,zhang'qing'feng'die
赭灰蝶,zhe'hui'die
甄蝶,zhen'die
苎麻斑蛱蝶,zhu'ma'ban'jia'die
苎麻珍蝶,zhu'ma'zhen'die
竹蚜小灰蝶,zhu'ya'xiao'hui'die
紫端斑蝶,zi'duan'ban'die
紫线黛眼蝶,zi'xian'dai'yan'die
棕脉粉蝶,zong'mai'fen'die
