阿比拉玛勒达,a'bi'la'ma'le'da
金色疋杀地蔵,jin'se'pi'sha'di'cang
金色疋杀地藏,jin'se'pi'sha'di'zang
金沙罗,jin'sha'luo
金沙罗奏曲,jin'sha'luo'zou'qu
金狮子将,jin'shi'zi'jiang
禁术,jin'shu
金彦,jin'yan
镜花水月,jing'hua'shui'yue
京乐,jing'le
京乐春水,jing'le'chun'shui
瀞灵壁,jing'ling'bi
静灵壁,jing'ling'bi
瀞灵门,jing'ling'men
净灵廷,jing'ling'ting
瀞灵廷,jing'ling'ting
静灵庭,jing'ling'ting
静灵廷,jing'ling'ting
瀞灵廷的阴谋之秋,jing'ling'ting'de'yin'mou'zhi'qiu
井露,jing'lu
镜门,jing'men
井上,jing'shang
井上公主,jing'shang'gong'zhu
井上旻,jing'shang'min
井上织姬,jing'shang'zhi'ji
井上织姫,jing'shang'zhi'zhen
精神体,jing'shen'ti
京乐队长,jing'yue'dui'chang
京紫,jing'zi
久保,jiu'bao
酒饱,jiu'bao
久保大人,jiu'bao'da'ren
久保带人,jiu'bao'dai'ren
久保帯人,jiu'bao'dai'ren
久保宣章,jiu'bao'xuan'zhang
久川绫,jiu'chuan'ling
久南白,jiu'nan'bai
久南白原九番队副队长,jiu'nan'bai'yuan'jiu'fan'dui'fu'dui'zhang
九相轮杀,jiu'xiang'lun'sha
拘流,ju'liu
拘突,ju'tu
巨腕鲸,ju'wan'jing
巨象兵,ju'xiang'bing
拘之花开,ju'zhi'hua'kai
卷卷,juan'juan
卡迪谢,ka'di'xie
柯雅泰史塔克,ke'ya'tai'shi'ta'ke
肯恩,ken'en
吭景,keng'jing
空蝉,kong'chan
空鹤,kong'he
空鹤大姐,kong'he'da'jie
空间转位,kong'jian'zhuan'wei
空间转移,kong'jian'zhuan'yi
空战鹫,kong'zhan'jiu
空座町,kong'zuo'ding
枯咙萨柒壹既咕,ku'long'sa'qi'yi'ji'gu
骷髅大帝,ku'lou'da'di
骷髅军团,ku'lou'jun'tuan
骷髅树,ku'lou'shu
堀内广行,ku'nei'guang'xing
狂伽蟋蟀,kuang'jia'xi'shuai
蓝大,lan'da
蓝露,lan'lu
蓝染,lan'ran
蓝染总佑介,lan'ran'zong'you'jie
蓝染总右介,lan'ran'zong'you'jie
蓝桃,lan'tao
雷吼炮,lei'hou'pao
雷霆之枪,lei'ting'zhi'qiang
雷牙,lei'ya
雷兹艾尔,lei'zi'ai'er
理吉,li'ji
理吉中井,li'ji'zhong'jing
莉莉,li'li
莉莉妮特,li'li'ni'te
莉琳,li'lin
莉玲,li'ling
立木文彦,li'mu'wen'yan
里欧尼斯,li'ou'ni'si
莉莎,li'sha
利特菲尔特,li'te'fei'er'te
里挺队,li'ting'dui
丽滋,li'zi
恋次,lian'ci
恋露,lian'lu
恋一,lian'yi
亮茶色,liang'cha'se
梁田清之,liang'tian'qing'zhi
烈风,lie'feng
灵波计测所,ling'bo'ji'ce'suo
零番队,ling'fan'dui
灵弓,ling'gong
灵魂吸,ling'hun'xi
绫濑川弓亲,ling'lai'chuan'gong'qin
灵络,ling'luo
羚骑士,ling'qi'shi
灵压,ling'ya
灵压解放,ling'ya'jie'fang
另一个冰轮丸,ling'yi'ge'bing'lun'wan
灵珠核,ling'zhu'he
灵子,ling'zi
灵子兵装,ling'zi'bing'zhuang
灵子转换机,ling'zi'zhuan'huan'ji
六车九番队,liu'che'jiu'fan'dui
六车拳西,liu'che'quan'xi
六车拳西原九番队队长,liu'che'quan'xi'yuan'jiu'fan'dui'dui'zhang
流魂街,liu'hun'jie
琉璃,liu'li
琉璃酱,liu'li'jiang
琉璃孔雀,liu'li'kong'que
琉璃千代,liu'li'qian'dai
琉璃色孔雀,liu'li'se'kong'que
琉璃色藤孔雀,liu'li'se'teng'kong'que
流刃若火,liu'ren'ruo'huo
六丈光牢,liu'zhang'guang'lao
六杖光牢,liu'zhang'guang'lao
龙贵,long'gui
龙拳,long'quan
竜纹鬼灯丸,long'wen'gui'deng'wan
龙纹鬼灯丸,long'wen'gui'deng'wan
龙弦,long'xian
龙霰架,long'xian'jia
露比,lu'bi
鹭巣诗郎,lu'chao'shi'lang
路德本,lu'de'ben
露儿,lu'er
露后宫,lu'hou'gong
露井,lu'jing
录灵虫,lu'ling'chong
路鲁,lu'lu
露露,lu'lu
露露殿下,lu'lu'dian'xia
露露酱,lu'lu'jiang
露露美眉,lu'lu'mei'mei
卢米纳,lu'mi'na
露女王,lu'nv'wang
露琪亚,lu'qi'ya
露琪亚酱,lu'qi'ya'jiang
露琪亚节,lu'qi'ya'jie
露琪亚妹妹,lu'qi'ya'mei'mei
露琪亚小姐,lu'qi'ya'xiao'jie
露一,lu'yi
露织,lu'zhi
露总受,lu'zong'shou
乱菊,luan'ju
乱菊大姐,luan'ju'da'jie
乱装天傀,luan'zhuang'tian'kui
洛莉,luo'li
落位十刃,luo'wei'shi'ren
罗武,luo'wu
罗兹,luo'zi
罗兹原三番队队长,luo'zi'yuan'san'fan'dui'dui'zhang
绿杯,lv'bei
旅祸,lv'huo
马尔杰拉,ma'er'jie'la
马桥,ma'qiao
卯大姐,mao'da'jie
毛利前辈,mao'li'qian'bei
茂雄,mao'xiong
卯之花,mao'zhi'hua
卯之花队长,mao'zhi'hua'dui'zhang
卯之花烈,mao'zhi'hua'lie
梅达赛皮,mei'da'sai'pi
梅定敏盛,mei'ding'min'sheng
梅诺莉,mei'nuo'li
梅若丽,mei'ruo'li
梅萨,mei'sa
梅严,mei'yan
门乘寺辰房,men'cheng'si'chen'fang
米拉罗慈,mi'la'luo'ci
米菈罗兹,mi'la'luo'zi
弥勒丸,mi'le'wan
面纹,mian'wen
灭火皇子,mie'huo'huang'zi
灭却师,mie'que'shi
灭却专精,mie'que'zhuan'jing
灭亡之斧,mie'wang'zhi'fu
灭紫,mie'zi
明王,ming'wang
莫司克达,mo'si'ke'da
木屐帽子,mu'ji'mao'zi
纳见佳容,na'jian'jia'rong
纳奇姆,na'qi'mu
南部研一郎,nan'bu'yan'yi'lang
男性死神协会,nan'xing'si'shen'xie'hui
尼尔格帕尔多克,ni'er'ge'pa'er'duo'ke
逆拂,ni'fu
妮莉艾露,ni'li'ai'lu
妮莉艾露杜欧德凡修克,ni'li'ai'lu'du'ou'de'fan'xiu'ke
妮莉艾露杜欧德修凡克,ni'li'ai'lu'du'ou'de'xiu'fan'ke
妮露,ni'lu
妮露杜,ni'lu'du
茑娘,niao'niang
茑嬢,niao'niang
涅音梦,nie'yin'meng
涅音无,nie'yin'wu
努尼刚卡,nu'ni'gang'ka
糯米年糕豆粥,nuo'mi'nian'gao'dou'zhou
诺伊特拉,nuo'yi'te'la
诺伊特拉吉尔加,nuo'yi'te'la'ji'er'jia
女王,nv'wang
女性死神协会,nv'xing'si'shen'xie'hui
咆哮吧蛇尾丸,pao'xiao'ba'she'wei'wan
沛薛,pei'xue
沛薛卡迪谢,pei'xue'ka'di'xie
鹏和磐,peng'he'pan
鹏磐,peng'pan
劈鸟,pi'niao
疋杀地藏,pi'sha'di'zang
劈乌,pi'wu
漂灵,piao'ling
平松晶子,ping'song'jing'zi
平松品子,ping'song'pin'zi
平子,ping'zi
平子真子,ping'zi'zhen'zi
平子真子原五番队队长,ping'zi'zhen'zi'yuan'wu'fan'dui'dui'zhang
破道,po'dao
破道九十黒棺,po'dao'jiu'shi'hei'guan
破道三十三苍火坠,po'dao'san'shi'san'cang'huo'zhui
破道三十一赤火炮,po'dao'san'shi'yi'chi'huo'pao
破道四白雷,po'dao'si'bai'lei
破道之八十八飛龍擊賊震天雷炮,po'dao'zhi'ba'shi'ba'fei'long'ji'zei'zhen'tian'lei'pao
破道之九十黑之月,po'dao'zhi'jiu'shi'hei'zhi'yue
破道之九十九銀,po'dao'zhi'jiu'shi'jiu'yin
破道之六十三雷吼炮,po'dao'zhi'liu'shi'san'lei'hou'pao
破到之五十八天嵐,po'dao'zhi'wu'shi'ba'tian'lan
破芒阵,po'mang'zhen
破面,po'mian
破面露,po'mian'lu
破弃咏唱,po'qi'yong'chang
普拉提多,pu'la'ti'duo
浦露,pu'lu
朴璐美,pu'lu'mei
朴路美,pu'lu'mei
浦原,pu'yuan
浦原商店,pu'yuan'shang'dian
浦原喜助,pu'yuan'xi'zhu
齐鲁奇,qi'lu'qi
奇鲁奇山达威奇,qi'lu'qi'shan'da'wei'qi
齐木美帆,qi'mu'mei'fan
奇农波,qi'nong'bo
齐藤次郎,qi'teng'ci'lang
启吾,qi'wu
七绪,qi'xu
千本樱,qian'ben'ying
千本桜景厳,qian'ben'ying'jing'yan
千本樱景严,qian'ben'ying'jing'yan
浅打,qian'da
茜泪,qian'lei
茜雫,qian'na
千年冰牢,qian'nian'bing'lao
千岁绿,qian'sui'lv
浅田启吾,qian'tian'qi'wu
牵星箝,qian'xing'qian
牵星箱,qian'xing'xiang
浅野,qian'ye
千叶繁,qian'ye'fan
千叶进步,qian'ye'jin'bu
浅野启吾,qian'ye'qi'wu
浅野瑞慧,qian'ye'rui'hui
浅野瑞穗,qian'ye'rui'sui
浅野同学,qian'ye'tong'xue
枪纱雨,qiang'sha'yu
切魂之物,qie'hun'zhi'wu
清虫,qing'chong
清虫百式,qing'chong'bai'shi
清虫终式,qing'chong'zhong'shi
清川元梦,qing'chuan'yuan'meng
晴空,qing'kong
黥面,qing'mian
青山,qing'shan
青山穣,qing'shan'rang
清音,qing'yin
蛆虫之巢,qu'chong'zhi'chao
曲光,qu'guang
拳西,quan'xi
雀步长次郎,que'bu'chang'ci'lang
雀部长次郎,que'bu'zhang'ci'lang
雀蜂,que'feng
雀蜂雷公鞭,que'feng'lei'gong'bian
群狼,qun'lang
群鸟冰柱,qun'niao'bing'zhu
日番谷,ri'fan'gu
日番谷冬狮郎,ri'fan'gu'dong'shi'lang
日番谷冬獅郎,ri'fan'gu'dong'shi'lang
日露,ri'lu
日世里,ri'shi'li
日野香穗子,ri'ye'xiang'sui'zi
融合虚闪,rong'he'xu'shan
润林安,run'lin'an
若死神,ruo'si'shen
萨阿波罗格兰兹,sa'a'bo'luo'ge'lan'zi
萨尔阿波罗,sa'er'a'bo'luo
散灵手套,san'ling'shou'tao
散落记忆中的碎片,san'luo'ji'yi'zhong'de'sui'pian
三木真一郎,san'mu'zhen'yi'lang
三天结盾,san'tian'jie'dun
三舞,san'wu
三舞白刀,san'wu'bai'dao
三宅健太,san'zhai'jian'tai
三之舞,san'zhi'wu
桑达薇琪,sang'da'wei'qi
桑塔露琪亚,sang'ta'lu'qi'ya
森川智之,sen'chuan'zhi'zhi
森田,sen'tian
森田成一,sen'tian'cheng'yi
森田叔叔,sen'tian'shu'shu
森折,sen'zhe
森折王道,sen'zhe'wang'dao
杀气石,sha'qi'shi
山本老头,shan'ben'lao'tou
山本元柳齐重国,shan'ben'yuan'liu'qi'zhong'guo
山本元柳斋,shan'ben'yuan'liu'zhai
山本总队长,shan'ben'zong'dui'zhang
闪花,shan'hua
山口太郎,shan'kou'tai'lang
山老头,shan'lao'tou
杉山纪彰,shan'shan'ji'zhang
杉田,shan'tian
山田花太郎,shan'tian'hua'tai'lang
杉田智和,shan'tian'zhi'he
上谷秀夫,shang'gu'xiu'fu
梢绫,shao'ling
射场,she'chang
射场铁左,she'chang'tie'zuo
射场鉄左卫门,she'chang'tie'zuo'wei'men
射场铁左卫门,she'chang'tie'zuo'wei'men
舍弃咏唱,she'qi'yong'chang
蛇尾狒狒,she'wei'fei'fei
蛇尾丸,she'wei'wan
神鎗,shen'qiang
甚太,shen'tai
圣光虹霞,sheng'guang'hong'xia
圣哭螳螂,sheng'ku'tang'lang
圣露琪亚,sheng'lu'qi'ya
胜生真沙子,sheng'sheng'zhen'sha'zi
圣噬,sheng'shi
生天目仁美,sheng'tian'mu'ren'mei
石波,shi'bo
十川诚志,shi'chuan'cheng'zhi
石川英郎,shi'chuan'ying'lang
矢胴丸莉纱,shi'dong'wan'li'sha
矢胴丸莉莎,shi'dong'wan'li'sha
矢胴丸莉莎原八番队副队长,shi'dong'wan'li'sha'yuan'ba'fan'dui'fu'dui'zhang
尸魂界,shi'hun'jie
时间停止,shi'jian'ting'zhi
始解,shi'jie
十六夜蔷薇,shi'liu'ye'qiang'wei
十刃,shi'ren
十刃的剔除者,shi'ren'de'ti'chu'zhe
十三番队,shi'san'fan'dui
史塔克,shi'ta'ke
石田,shi'tian
石田龙弦,shi'tian'long'xian
石田雨龙,shi'tian'yu'long
石田宗弦,shi'tian'zong'xian
市丸,shi'wan
市丸队长,shi'wan'dui'zhang
市丸银,shi'wan'yin
噬虚,shi'xu
十字绞刑台,shi'zi'jiao'xing'tai
手铐,shou'kao
狩矢,shou'shi
狩矢神,shou'shi'shen
受胎告知,shou'tai'gao'zhi
戍吊,shu'diao
双重咏唱,shuang'chong'yong'chang
双儿响转,shuang'er'xiang'zhuan
双鲤挺,shuang'li'ting
双莲苍火坠,shuang'lian'cang'huo'zhui
双天归盾,shuang'tian'gui'dun
双鱼理,shuang'yu'li
双鱼鲤,shuang'yu'li
水色,shui'se
水天逆卷,shui'tian'ni'juan
瞬步,shun'bu
瞬閧,shun'hong
瞬花,shun'hua
瞬开,shun'kai
瞬神夜一,shun'shen'ye'yi
舜樱,shun'ying
兕丹坊,si'dan'fang
四枫院,si'feng'yuan
四枫院家,si'feng'yuan'jia
四枫院夜,si'feng'yuan'ye
四枫院夜一,si'feng'yuan'ye'yi
思念珠,si'nian'zhu
死神灵能力半虚,si'shen'ling'neng'li'ban'xu
死神专精,si'shen'zhuan'jing
四十六室,si'shi'liu'shi
四兽塞门,si'shou'sai'men
死亡气息,si'wang'qi'xi
死舞,si'wu
死刑执行人,si'xing'zhi'xing'ren
松本大,song'ben'da
松本考平,song'ben'kao'ping
松本乱菊,song'ben'luan'ju
松冈由贵,song'gang'you'gui
松谷彼哉,song'gu'bi'zai
松元乱菊,song'yuan'luan'ju
碎峰,sui'feng
碎蜂队长,sui'feng'dui'zhang
孙孙,sun'sun
荪荪,sun'sun
锁结,suo'jie
索卡奇奥,suo'ka'qi'ao
锁倏锁缚,suo'shu'suo'fu
锁条锁缚,suo'tiao'suo'fu
泰虎,tai'hu
探查回路,tan'cha'hui'lu
探査回路,tan'zha'hui'lu
唐观音寺,tang'guan'yin'si
桃原,tao'yuan
特制滋养强壮剂,te'zhi'zi'yang'qiang'zhuang'ji
藤冈春绯,teng'gang'chun'fei
藤孔雀,teng'kong'que
藤孔雀鬼道,teng'kong'que'gui'dao
缇鲁蒂,ti'lu'di
天贝绣助,tian'bei'xiu'zhu
天风乱天魔笑,tian'feng'luan'tian'mo'xiao
天狗丸,tian'gou'wan
阗岚,tian'lan
天谴明王,tian'qian'ming'wang
田清之魂,tian'qing'zhi'hun
天锁斩月,tian'suo'zhan'yue
天踏绚,tian'ta'xuan
天挺空罗,tian'ting'kong'luo
天相从临时,tian'xiang'cong'lin'shi
甜心前辈,tian'xin'qian'bei
铁浆蜻蜓,tie'jiang'qing'ting
铁齐,tie'qi
铁斋,tie'zhai
桐本琢也,tong'ben'zhuo'ye
同步认知,tong'bu'ren'zhi
通廷证,tong'ting'zheng
荼风林,tu'feng'lin
土屋,tu'wu
瓦史托德,wa'shi'tuo'de
歪面反应,wai'mian'fan'ying
万解,wan'jie
卍解,wan'jie
卐解,wan'jie
卍解秀,wan'jie'xiu
卍禁,wan'jin
