艾窝窝,ai'wo'wo
水果一品,shui'guo'yi'pin
水晶梅花包,shui'jing'mei'hua'bao
水晶软糖,shui'jing'ruan'tang
四甜蜜饯,si'tian'mi'jian
四喜饺,si'xi'jiao
四喜乾果,si'xi'qian'guo
松鹤延年,song'he'yan'nian
松树猴头蘑,song'shu'hou'tou'mo
松子海罗干,song'zi'hai'luo'gan
素炒鳝丝,su'chao'shan'si
酥炸金糕,su'zha'jin'gao
酥炸腰果,su'zha'yao'guo
酸辣黄瓜,suan'la'huang'gua
随上薄饼,sui'shang'bao'bing
随上荷叶卷,sui'shang'he'ye'juan
随上围碟十二品,sui'shang'wei'die'shi'er'pin
糖炒大扁,tang'chao'da'bian
糖炒花生,tang'chao'hua'sheng
糖醋荷藕,tang'cu'he'ou
糖蒜,tang'suan
桃仁山鸡丁,tao'ren'shan'ji'ding
甜合锦,tian'he'jin
甜酱,tian'jiang
甜酱姜牙,tian'jiang'jiang'ya
甜酱萝葡,tian'jiang'luo'pu
甜辣乾,tian'la'qian
甜面酱,tian'mian'jiang
甜酸乳瓜,tian'suan'ru'gua
天香鲍鱼,tian'xiang'bao'yu
廷臣宴,ting'chen'yan
豌豆黄,wan'dou'huang
万寿宴,wan'shou'yan
万字麻辣肚丝,wan'zi'ma'la'du'si
万字珊瑚白,wan'zi'shan'hu'bai
万字珊瑚白菜,wan'zi'shan'hu'bai'cai
维族烤羊肉,wei'zu'kao'yang'rou
芜爆散丹,wu'bao'san'dan
五彩抄手,wu'cai'chao'shou
五彩炒驼峰,wu'cai'chao'tuo'feng
五彩牛柳,wu'cai'niu'liu
乌龙吐珠,wu'long'tu'zhu
五丝洋粉,wu'si'yang'fen
五香鳜鱼,wu'xiang'gui'yu
五香酱鸡,wu'xiang'jiang'ji
五香熟芥,wu'xiang'shu'jie
五香杏仁,wu'xiang'xing'ren
五香腰果,wu'xiang'yao'guo
五香仔鸽,wu'xiang'zai'ge
无字盐水牛肉,wu'zi'yan'shui'niu'rou
喜鹊登梅,xi'que'deng'mei
稀珍黑米粥,xi'zhen'hei'mi'zhou
暇油黄瓜,xia'you'huang'gua
虾籽冬笋,xia'zi'dong'sun
鲜豆苗,xian'dou'miao
鲜蘑菜心,xian'mo'cai'xin
鲜鱼肉,xian'yu'rou
香辣黄瓜条,xiang'la'huang'gua'tiao
祥龙双飞,xiang'long'shuang'fei
香麻鹿肉饼,xiang'ma'lu'rou'bing
香烹狍脊,xiang'peng'pao'ji
香酥苹果,xiang'su'ping'guo
香油膳糊,xiang'you'shan'hu
箱子豆腐,xiang'zi'dou'fu
小豆糕,xiao'dou'gao
蟹肉双笋丝,xie'rou'shuang'sun'si
信阳毛尖,xin'yang'mao'jian
杏仁豆腐,xing'ren'dou'fu
杏仁佛手,xing'ren'fo'shou
熊猫蟹肉虾,xiong'mao'xie'rou'xia
绣球乾贝,xiu'qiu'qian'bei
雪里蕻,xue'li'hong
雪山梅,xue'shan'mei
盐煎肉,yan'jian'rou
腌水芥皮,yan'shui'jie'pi
盐水里脊,yan'shui'li'ji
杨河春绿,yang'he'chun'lv
腰果鹿丁,yao'guo'lu'ding
腰果芹心,yao'guo'qin'xin
野味火锅,ye'wei'huo'guo
野鸭脯,ye'ya'pu
野鸭桃仁丁,ye'ya'tao'ren'ding
野猪肉,ye'zhu'rou
椰子盏,ye'zi'zhan
一品豆腐,yi'pin'dou'fu
一品官燕,yi'pin'guan'yan
应时水果拼盘一品,ying'shi'shui'guo'pin'pan'yi'pin
油焖草菇,you'men'cao'gu
油焖鲜蘑,you'men'xian'mo
油焖鲜蘑蜜汁蕃茄,you'men'xian'mo'mi'zhi'fan'qie
鱿鱼卷,you'yu'juan
御菜三品,yu'cai'san'pin
御菜四品,yu'cai'si'pin
御菜五品,yu'cai'wu'pin
御菜一品,yu'cai'yi'pin
玉面葫芦,yu'mian'hu'lu
御膳豆黄,yu'shan'dou'huang
御膳烤鸡,yu'shan'kao'ji
玉笋蕨菜,yu'sun'jue'cai
玉兔白菜,yu'tu'bai'cai
玉掌献寿,yu'zhang'xian'shou
芫爆仔鸽,yuan'bao'zai'ge
原壳鲜鲍鱼,yuan'ke'xian'bao'yu
鸳鸯卷,yuan'yang'juan
月饼,yue'bing
芸豆卷,yun'dou'juan
枣泥糕,zao'ni'gao
珍珠鱼丸,zhen'zhu'yu'wan
芝麻卷,zhi'ma'juan
芝麻南糖,zhi'ma'nan'tang
芝麻鱼,zhi'ma'yu
珠兰大方,zhu'lan'da'fang
籽冬笋,zi'dong'sun
紫香乾,zi'xiang'qian
