安正文,an'zheng'wen
石锐,shi'rui
史文,shi'wen
史忠,shi'zhong
壽鑈,shou'nie
舒同,shu'tong
宋伯魯,song'bo'lu
宋旭,song'xu
蘇局仙,su'ju'xian
孙艾,sun'ai
孙祜,sun'hu
孫克弘,sun'ke'hong
孫揆均,sun'kui'jun
孙隆,sun'long
孫墨佛,sun'mo'fo
孙启,sun'qi
孫文,sun'wen
孫雪泥,sun'xue'ni
孙逸,sun'yi
孫枝,sun'zhi
臺靜農,tai'jing'nong
譚建丞,tan'jian'cheng
譚延闓,tan'yan'kai
譚澤闓,tan'ze'kai
唐苂,tang'chan
唐岱,tang'dai
唐棣,tang'di
湯滌,tang'di
湯壽潛,tang'shou'qian
湯貽汾,tang'yi'fen
唐寅,tang'yin
唐宇昭,tang'yu'zhao
唐醉石,tang'zui'shi
陶博吾,tao'bo'wu
陶成,tao'cheng
童大年,tong'da'nian
万邦治,wan'bang'zhi
萬嵐,wan'lan
王彪,wang'biao
王迪简,wang'di'jian
汪東,wang'dong
王铎,wang'duo
王谔,wang'e
王绂,wang'fu
王福庵,wang'fu'an
王槩,wang'gai
王个簃,wang'ge'yi
王榖祥,wang'gu'xiang
王國維,wang'guo'wei
汪汉,wang'han
王翚,wang'hui
王鉴,wang'jian
王闓運,wang'kai'yun
王禮,wang'li
王履,wang'lv
王蒙,wang'meng
王冕,wang'mian
王谦,wang'qian
王蘧常,wang'qu'chang
王石,wang'shi
王世昌,wang'shi'chang
王时敏,wang'shi'min
汪士慎,wang'shi'shen
王世鏜,wang'shi'tang
王師子,wang'shi'zi
王樹,wang'shu
王樹榖,wang'shu'gu
王同愈,wang'tong'yu
王維烈,wang'wei'lie
王问,wang'wen
王武,wang'wu
王遐舉,wang'xia'ju
王偕,wang'xie
汪星伯,wang'xing'bo
王绎,wang'yi
王一鹏,wang'yi'peng
汪詒書,wang'yi'shu
王昱,wang'yu
王渊,wang'yuan
王原祁,wang'yuan'qi
王云,wang'yun
汪肇,wang'zhao
王震,wang'zhen
王振鹏,wang'zhen'peng
王仲玉,wang'zhong'yu
卫九鼎,wei'jiu'ding
魏之璜,wei'zhi'huang
文伯仁,wen'bo'ren
文俶,wen'chu
文点,wen'dian
文嘉,wen'jia
文征明,wen'zheng'ming
吳彬,wu'bin
吴昌,wu'chang
吳昌碩,wu'chang'shi
吳茀之,wu'fu'zhi
吴瓘,wu'guan
吴宏,wu'hong
吳湖帆,wu'hu'fan
吳敬恒,wu'jing'heng
吴历,wu'li
武慕姚,wu'mu'yao
吴山涛,wu'shan'tao
吳士鑒,wu'shi'jian
吴伟,wu'wei
吴伟业,wu'wei'ye
吴应贞,wu'ying'zhen
吳玉如,wu'yu'ru
吳振,wu'zhen
吴镇,wu'zhen
吳之英,wu'zhi'ying
吳子復,wu'zi'fu
奚岡,xi'gang
夏昶,xia'chang
夏承燾,xia'cheng'dao
夏厚,xia'hou
夏叔文,xia'shu'wen
夏永,xia'yong
夏芷,xia'zhi
項德新,xiang'de'xin
项圣谟,xiang'sheng'mo
項元汴,xiang'yuan'bian
萧晨,xiao'chen
蕭勞,xiao'lao
蕭蛻庵,xiao'tui'an
蕭嫻,xiao'xian
萧云从,xiao'yun'cong
谢环,xie'huan
谢缙,xie'jin
謝無量,xie'mo'liang
谢时臣,xie'shi'chen
谢荪,xie'sun
谢庭芝,xie'ting'zhi
謝稚柳,xie'zhi'liu
邢慈靜,xing'ci'jing
徐悲鴻,xu'bei'hong
徐冈,xu'gang
虛谷,xu'gu
徐轨,xu'gui
徐鎬,xu'hao
許鈞,xu'jun
徐霖,xu'lin
徐無聞,xu'mo'wen
徐生翁,xu'sheng'weng
徐泰,xu'tai
徐渭,xu'wei
徐扬,xu'yang
徐璋,xu'zhang
雪界翁,xue'jie'weng
薛素素,xue'su'su
薛宣,xue'xuan
嚴復,yan'fu
颜辉,yan'hui
顏楷,yan'kai
严绳孙,yan'sheng'sun
颜峄,yan'yi
颜宗,yan'zong
楊度,yang'du
杨晋,yang'jin
楊守敬,yang'shou'jing
楊文驄,yang'wen'cong
杨铉,yang'xuan
楊忠,yang'zhong
姚華,yao'hua
姚绶,yao'shou
姚宋,yao'song
姚廷美,yao'ting'mei
姚文瀚,yao'wen'han
葉昌熾,ye'chang'chi
叶澄,ye'cheng
葉恭綽,ye'gong'chao
葉聖陶,ye'sheng'tao
叶欣,ye'xin
葉玉森,ye'yu'sen
易君左,yi'jun'zuo
易培基,yi'pei'ji
易孺,yi'ru
尹立勲,yin'li'xun
殷偕,yin'xie
尤求,you'qiu
游壽,you'shou
语滨,yu'bin
俞培,yu'pei
余任天,yu'ren'tian
余紹宋,yu'shao'song
余舒,yu'shu
余樨,yu'xi
余燮陽,yu'xie'yang
于右任,yu'you'ren
虞沅,yu'yuan
禹之鼎,yu'zhi'ding
余中英,yu'zhong'ying
原济,yuan'ji
袁江,yuan'jiang
袁克文,yuan'ke'wen
袁耀,yuan'yao
恽丙,yun'bing
恽冰,yun'bing
惲壽平,yun'shou'ping
惲向,yun'xiang
章炳麟,zhang'bing'lin
張伯駒,zhang'bo'ju
張伯英,zhang'bo'ying
張翀,zhang'chong
張大千,zhang'da'qian
张风,zhang'feng
张复,zhang'fu
张观,zhang'guan
張宏,zhang'hong
張繼,zhang'ji
張謇,zhang'jian
張靖,zhang'jing
张灵,zhang'ling
张路,zhang'lu
張默君,zhang'mo'jun
张洽,zhang'qia
章梫,zhang'qin
張瑞圖,zhang'rui'tu
张尚思,zhang'shang'si
章声,zhang'sheng
章士釗,zhang'shi'zhao
张舜咨,zhang'shun'zi
张伟,zhang'wei
张渥,zhang'wo
张习,zhang'xi
张学曾,zhang'xue'ceng
张逊,zhang'xun
张彦辅,zhang'yan'fu
张崟,zhang'yin
张远,zhang'yuan
張元濟,zhang'yuan'ji
张中,zhang'zhong
张宗昌,zhang'zong'chang
張宗祥,zhang'zong'xiang
趙備,zhao'bei
趙昌燮,zhao'chang'xie
赵麟,zhao'lin
赵孟頫,zhao'meng'fu
趙石,zhao'shi
趙世駿,zhao'shi'jun
趙叔孺,zhao'shu'ru
趙熙,zhao'xi
赵雍,zhao'yong
赵原,zhao'yuan
趙之謙,zhao'zhi'qian
赵衷,zhao'zhong
趙左,zhao'zuo
鄭昶,zheng'chang
郑旼,zheng'min
郑松,zheng'song
鄭誦先,zheng'song'xian
鄭文焯,zheng'wen'chao
郑文林,zheng'wen'lin
鄭燮,zheng'xie
鄭沅,zheng'yuan
鄭重,zheng'zhong
钟学,zhong'xue
周臣,zhou'chen
周官,zhou'guan
周韩,zhou'han
周朗,zhou'lang
周文靖,zhou'wen'jing
周閑,zhou'xian
周用,zhou'yong
周之冕,zhou'zhi'mian
祝昌,zhu'chang
朱耷,zhu'da
朱德润,zhu'de'run
褚德彝,zhu'de'yi
朱東潤,zhu'dong'run
朱端,zhu'duan
朱多炡,zhu'duo'zheng
朱復戡,zhu'fu'kan
朱拱椤,zhu'gong'luo
祝嘉,zhu'jia
朱孔阳,zhu'kong'yang
诸昇,zhu'sheng
朱王,zhu'wang
朱孝臧,zhu'xiao'zang
朱益藩,zhu'yi'fan
朱瑛,zhu'ying
朱约佶,zhu'yue'ji
諸樂三,zhu'yue'san
朱瞻基,zhu'zhan'ji
諸宗元,zhu'zong'yuan
庄麟,zhuang'lin
莊蘊寬,zhuang'yun'kuan
邹复雷,zou'fu'lei
鄒一桂,zou'yi'gui
邹喆,zou'zhe
邹之麟,zou'zhi'lin
