安和,an'he
七星市场,qi'xing'shi'chang
人民东路,ren'min'dong'lu
人民西路,ren'min'xi'lu
人民医院,ren'min'yi'yuan
人民中路,ren'min'zhong'lu
三完小,san'wan'xiao
商校,shang'xiao
商业大厦,shang'ye'da'sha
升平路,sheng'ping'lu
升平路国庆路,sheng'ping'lu'guo'qing'lu
省四建,sheng'si'jian
石盖塘,shi'gai'tang
市公汽公司,shi'gong'qi'gong'si
市国税局,shi'guo'shui'ju
市交警站,shi'jiao'jing'zhan
市交警支队,shi'jiao'jing'zhi'dui
市交通局,shi'jiao'tong'ju
市精神病院,shi'jing'shen'bing'yuan
市九中,shi'jiu'zhong
市军分区,shi'jun'fen'qu
市劳动局,shi'lao'dong'ju
市六中,shi'liu'zhong
石马洞,shi'ma'dong
市民政局,shi'min'zheng'ju
市三人民医院,shi'san'ren'min'yi'yuan
市石油公司,shi'shi'you'gong'si
市委,shi'wei
市委党校,shi'wei'dang'xiao
市五中,shi'wu'zhong
市消防支队,shi'xiao'fang'zhi'dui
市一中,shi'yi'zhong
市政府,shi'zheng'fu
市中医院,shi'zhong'yi'yuan
柿竹园,shi'zhu'yuan
四清湖,si'qing'hu
四一四,si'yi'si
松脂厂,song'zhi'chang
苏仙岭,su'xian'ling
苏仙南路,su'xian'nan'lu
苏仙桥,su'xian'qiao
苏仙桥游园,su'xian'qiao'you'yuan
苏仙区政府,su'xian'qu'zheng'fu
苏园路,su'yuan'lu
锁石路,suo'shi'lu
炭素厂,tan'su'chang
体育路,ti'yu'lu
梯子岭,ti'zi'ling
天湖宾馆,tian'hu'bin'guan
天华大厦,tian'hua'da'sha
天华商场,tian'hua'shang'chang
天龙站,tian'long'zhan
铁桥,tie'qiao
铜坑湖,tong'keng'hu
同心市场,tong'xin'shi'chang
同心小区,tong'xin'xiao'qu
万达市场,wan'da'shi'chang
万花冲,wan'hua'chong
万华大道,wan'hua'da'dao
万华岩,wan'hua'yan
王家冲,wang'jia'chong
王仙岭风景区,wang'xian'ling'feng'jing'qu
文化路,wen'hua'lu
五里堆,wu'li'dui
五连冠大酒店,wu'lian'guan'da'jiu'dian
五岭大道,wu'ling'da'dao
五岭大市场,wu'ling'da'shi'chang
五岭广场,wu'ling'guang'chang
五零一,wu'ling'yi
西街,xi'jie
下湄桥,xia'mei'qiao
仙岭水库,xian'ling'shui'ku
香花路,xiang'hua'lu
湘南地质队,xiang'nan'di'zhi'dui
湘南技校,xiang'nan'ji'xiao
湘南酒家,xiang'nan'jiu'jia
湘南学院附属医院,xiang'nan'xue'yuan'fu'shu'yi'yuan
香山坪,xiang'shan'ping
相思宾馆,xiang'si'bin'guan
香雪大道,xiang'xue'da'dao
小溪,xiao'xi
新华书店,xin'hua'shu'dian
兴隆街,xing'long'jie
许家洞,xu'jia'dong
烟厂,yan'chang
燕泉路,yan'quan'lu
燕泉路口,yan'quan'lu'kou
养路段,yang'lu'duan
一零七国道,yi'ling'qi'guo'dao
皂角树,zao'jiao'shu
张家巷,zhang'jia'xiang
职中,zhi'zhong
中级人民法院,zhong'ji'ren'min'fa'yuan
筑路机械厂,zhu'lu'ji'xie'chang
