阿斗,a'dou
不出杀,bu'chu'sha
不出闪,bu'chu'shan
补刀,bu'dao
不得不服老啊,bu'de'bu'fu'lao'a
不得撤退,bu'de'che'tui
不得相随兮空断肠,bu'de'xiang'sui'xi'kong'duan'chang
不动如山,bu'dong'ru'shan
不放,bu'fang
不挂,bu'gua
不管这些了,bu'guan'zhe'xie'le
不悔不怨,bu'hui'bu'yuan
不救,bu'jiu
不惧祸否,bu'ju'huo'fou
不可被闪避,bu'ke'bei'shan'bi
不可逞匹夫之勇,bu'ke'cheng'pi'fu'zhi'yong
不可冲动,bu'ke'chong'dong
不可挡也,bu'ke'dang'ye
不可方思,bu'ke'fang'si
不可能,bu'ke'neng
不乐,bu'le
不乐你,bu'le'ni
不乐他,bu'le'ta
不乐我,bu'le'wo
步练师,bu'lian'shi
不留,bu'liu
不留酒,bu'liu'jiu
不留杀,bu'liu'sha
不留闪,bu'liu'shan
不纳吾言,bu'na'wu'yan
不纳吾言而反诛吾心,bu'na'wu'yan'er'fan'zhu'wu'xin
不怕被兵,bu'pa'bei'bing
不怕被乐,bu'pa'bei'le
不怕兵,bu'pa'bing
不怕挂,bu'pa'gua
不怕乐,bu'pa'le
不怕没柴烧,bu'pa'mei'chai'shao
不怕劈,bu'pa'pi
不怕杀,bu'pa'sha
不怕死,bu'pa'si
补牌,bu'pai
不弃,bu'qi
不弃掉,bu'qi'diao
不弃了,bu'qi'le
不弃杀,bu'qi'sha
不弃桃,bu'qi'tao
不屈,bu'qu
不屈牌,bu'qu'pai
不扔了,bu'reng'le
不扔杀,bu'reng'sha
不扔闪,bu'reng'shan
不扔桃,bu'reng'tao
不杀,bu'sha
不闪,bu'shan
不是不报,bu'shi'bu'bao
不顺,bu'shun
补他,bu'ta
不同花色,bu'tong'hua'se
补我,bu'wo
不无懈,bu'wu'xie
不先为备,bu'xian'wei'bei
不要小瞧女孩子哦,bu'yao'xiao'qiao'nv'hai'zi'o
补益,bu'yi
不亦辱乎,bu'yi'ru'hu
不遗余力,bu'yi'yu'li
不战屈兵,bu'zhan'qu'bing
不诛此贼三族,bu'zhu'ci'zei'san'zu
不装,bu'zhuang
不装疯卖傻,bu'zhuang'feng'mai'sha
补自己,bu'zi'ji
猜猜看,cai'cai'kan
猜猜看呐,cai'cai'kan'na
蔡文姬,cai'wen'ji
藏机,cang'ji
曹操,cao'cao
曹冲,cao'chong
曹洪,cao'hong
曹丕,cao'pi
曹仁,cao'ren
草头天子,cao'tou'tian'zi
曹魏的谋主,cao'wei'de'mou'zhu
曹彰,cao'zhang
曹植,cao'zhi
策敌万全,ce'di'wan'quan
策守如山,ce'shou'ru'shan
插标卖首,cha'biao'mai'shou
拆八卦,chai'ba'gua
拆兵,chai'bing
拆兵粮,chai'bing'liang
拆刀,chai'dao
拆盾,chai'dun
拆防具,chai'fang'ju
拆方天,chai'fang'tian
拆弓,chai'gong
拆古锭,chai'gu'ding
拆光,chai'guang
拆寒冰,chai'han'bing
拆加一,chai'jia'yi
拆减一,chai'jian'yi
拆菊花刀,chai'ju'hua'dao
拆距离,chai'ju'li
拆乐,chai'le
拆连弩,chai'lian'nu
拆马,chai'ma
拆你,chai'ni
拆你的,chai'ni'de
拆青缸,chai'qing'gang
拆青釭,chai'qing'gang
拆青龙,chai'qing'long
拆仁王,chai'ren'wang
拆闪电,chai'shan'dian
拆手牌,chai'shou'pai
拆他,chai'ta
拆她,chai'ta
拆他的,chai'ta'de
拆她的,chai'ta'de
拆藤甲,chai'teng'jia
拆我,chai'wo
拆我兵,chai'wo'bing
拆我的,chai'wo'de
拆我的兵,chai'wo'de'bing
拆我的乐,chai'wo'de'le
拆我乐,chai'wo'le
拆武器,chai'wu'qi
拆丈八,chai'zhang'ba
拆装备,chai'zhuang'bei
颤抖吧,chan'dou'ba
尝尝我飞刀的厉害,chang'chang'wo'fei'dao'de'li'hai
常山赵子龙,chang'shan'zhao'zi'long
常胜将军,chang'sheng'jiang'jun
嘲讽,chao'feng
嘲讽脸,chao'feng'lian
超世之英杰,chao'shi'zhi'ying'jie
臣不得不死,chen'bu'de'bu'si
臣等正欲死战,chen'deng'zheng'yu'si'zhan
陈宫,chen'gong
陈琳,chen'lin
臣先行告退,chen'xian'xing'gao'tui
趁虚而入,chen'xu'er'ru
沉毅的国丈,chen'yi'de'guo'zhang
诚惶诚恐,cheng'huang'cheng'kong
城破人亡,cheng'po'ren'wang
程普,cheng'pu
称象,cheng'xiang
丞相厚恩,cheng'xiang'hou'en
丞相视某如子,cheng'xiang'shi'mou'ru'zi
丞相助我,cheng'xiang'zhu'wo
城在人在,cheng'zai'ren'zai
成竹在胸,cheng'zhu'zai'xiong
赤壁的火神,chi'bi'de'huo'shen
赤壁的妖术师,chi'bi'de'yao'shu'shi
赤胆忠心,chi'dan'zhong'xin
持久战,chi'jiu'zhan
迟暮的丞相,chi'mu'de'cheng'xiang
痴人说梦,chi'ren'shuo'meng
吃桃,chi'tao
赤兔,chi'tu
吃我一戟,chi'wo'yi'ji
吃我一记三尖两刃刀,chi'wo'yi'ji'san'jian'liang'ren'dao
吃我一箭,chi'wo'yi'jian
冲啊,chong'a
冲阵,chong'zhen
冲阵云,chong'zhen'yun
重置,chong'zhi
重铸,chong'zhu
仇恨值,chou'hen'zhi
抽牌,chou'pai
抽取,chou'qu
初尝胜果,chu'chang'sheng'guo
初出茅庐,chu'chu'mao'lu
出大点,chu'da'dian
锄禾日当午,chu'he'ri'dang'wu
初级杀手,chu'ji'sha'shou
出来混,chu'lai'hun
出来混早晚要还的,chu'lai'hun'zao'wan'yao'huan'de
初来乍到,chu'lai'zha'dao
出牌,chu'pai
出牌阶段,chu'pai'jie'duan
出其不意,chu'qi'bu'yi
出杀,chu'sha
出闪,chu'shan
初试身手,chu'shi'shen'shou
出小点,chu'xiao'dian
垂问秦雍,chui'wen'qin'yong
春华,chun'hua
春花,chun'hua
醇醪,chun'lao
此等小事,ci'deng'xiao'shi
此地名叫麦城,ci'di'ming'jiao'mai'cheng
此地容不下你,ci'di'rong'bu'xia'ni
此地容不下你妨碍我的人都得死,ci'di'rong'bu'xia'ni'fang'ai'wo'de'ren'dou'de'si
此非万全之策,ci'fei'wan'quan'zhi'ce
此火可助我军大获全胜,ci'huo'ke'zhu'wo'jun'da'huo'quan'sheng
此计,ci'ji
此计可保你一时平安,ci'ji'ke'bao'ni'yi'shi'ping'an
此计伤不到我,ci'ji'shang'bu'dao'wo
此联盟一破,ci'lian'meng'yi'po
刺美人,ci'mei'ren
此乃孟达之计,ci'nai'meng'da'zhi'ji
此乃驱虎吞狼之计,ci'nai'qu'hu'tun'lang'zhi'ji
雌雄,ci'xiong
雌雄双股剑,ci'xiong'shuang'gu'jian
此诏事关重大,ci'zhao'shi'guan'zhong'da
此真乃吾之佳婿也,ci'zhen'nai'wu'zhi'jia'xu'ye
存牌,cun'pai
存桃,cun'tao
错看我,cuo'kan'wo
挫锐,cuo'rui
大仇未报,da'chou'wei'bao
打出,da'chu
打打杀杀,da'da'sha'sha
打打杀杀真没意思,da'da'sha'sha'zhen'mei'yi'si
大都督,da'du'du
大汉天下,da'han'tian'xia
大喝,da'he
大幻化师,da'huan'hua'shi
大将,da'jiang
大将军,da'jiang'jun
打酱油的,da'jiang'you'de
大军在此,da'jun'zai'ci
大吏兹,da'li'zi
大狸子,da'li'zi
大乔,da'qiao
大乔小乔,da'qiao'xiao'qiao
大人莫走,da'ren'mo'zou
大事化小,da'shi'hua'xiao
打铁匠,da'tie'jiang
大头,da'tou
大宛,da'wan
大王看我的,da'wang'kan'wo'de
大雾,da'wu
大雾标记,da'wu'biao'ji
大业必成,da'ye'bi'cheng
大勇若怯,da'yong'ruo'qie
大丈夫不惧死亡,da'zhang'fu'bu'ju'si'wang
大丈夫当,da'zhang'fu'dang
大丈夫当带三尺之剑,da'zhang'fu'dang'dai'san'chi'zhi'jian
大智如愚,da'zhi'ru'yu
带三尺之剑,dai'san'chi'zhi'jian
啖酪,dan'lao
但没牌是万万不能的,dan'mei'pai'shi'wan'wan'bu'neng'de
单骑,dan'qi
胆守,dan'shou
单挑,dan'tiao
当见其功,dang'jian'qi'gong
荡寇将军,dang'kou'jiang'jun
当前体力,dang'qian'ti'li
当先,dang'xian
当在此时,dang'zai'ci'shi
当在今朝,dang'zai'jin'zhao
到此为止了,dao'ci'wei'zhi'le
刀剑无眼,dao'jian'wu'yan
悼良会之永绝兮,dao'liang'hui'zhi'yong'jue'xi
刀枪不入,dao'qiang'bu'ru
得人恩果千年记,de'ren'en'guo'qian'nian'ji
邓艾,deng'ai
邓红桃,deng'hong'tao
地公将军,di'gong'jiang'jun
的卢,di'lu
缔盟,di'meng
滴水之恩,di'shui'zhi'en
点将卡,dian'jiang'ka
点券,dian'quan
点数,dian'shu
点体力,dian'ti'li
典韦,dian'wei
貂禅,diao'chan
貂蝉,diao'chan
雕虫小计,diao'chong'xiao'ji
掉上限,diao'shang'xian
掉血,diao'xue
丁奉,ding'feng
洞察一切,dong'cha'yi'qie
董胖,dong'pang
董胖子,dong'pang'zi
董卓,dong'zhuo
都得死,dou'dei'si
都去死吧,dou'qu'si'ba
斗则两伤,dou'ze'liang'shang
毒菜,du'cai
毒策士,du'ce'shi
独断的外交家,du'duan'de'wai'jiao'jia
笃烈之士,du'lie'zhi'shi
度势,du'shi
黩武,du'wu
独眼的罗刹,du'yan'de'luo'cha
短兵,duan'bing
短兵轻甲,duan'bing'qing'jia
断肠,duan'chang
短刀出鞘,duan'dao'chu'qiao
断粮,duan'liang
断其粮,duan'qi'liang
断杀,duan'sha
堆顶,dui'ding
对面有,dui'mian'you
夺刀,duo'dao
夺敌兵刃,duo'di'bing'ren
夺取天下,duo'qu'tian'xia
饿得慌,e'de'huang
扼敌咽喉,e'di'yan'hou
恩怨,en'yuan
恩怨分明,en'yuan'fen'ming
二刀,er'dao
尔等,er'deng
尔等敢应战否,er'deng'gan'ying'zhan'fou
尔等看好了,er'deng'kan'hao'le
尔等受死,er'deng'shou'si
二号位,er'hao'wei
二将,er'jiang
二乔,er'qiao
二十年后,er'shi'nian'hou
二桃,er'tao
二位反,er'wei'fan
二血,er'xue
二爷,er'ye
二张,er'zhang
法不容情,fa'bu'rong'qing
发动技能,fa'dong'ji'neng
法正,fa'zheng
翻过来,fan'guo'lai
反间,fan'jian
反馈,fan'kui
翻面,fan'mian
凡人们,fan'ren'men
饭是钢,fan'shi'gang
反贼,fan'zei
反诛吾心,fan'zhu'wu'xin
妨碍我的人,fang'ai'wo'de'ren
防兵,fang'bing
方策精详,fang'ce'jing'xiang
防拆,fang'chai
防冲,fang'chong
髣髴兮若轻云之蔽月,fang'fei'xi'ruo'qing'yun'zhi'bi'yue
防贯石,fang'guan'shi
放箭,fang'jian
防具,fang'ju
防决斗,fang'jue'dou
方可不败,fang'ke'bu'bai
方块闪,fang'kuai'shan
方块桃,fang'kuai'tao
防乐,fang'le
放南蛮,fang'nan'man
防南蛮,fang'nan'man
方能,fang'neng
方能养生,fang'neng'yang'sheng
方能以弱胜强,fang'neng'yi'ruo'sheng'qiang
防劈,fang'pi
方片闪,fang'pian'shan
放权,fang'quan
防顺,fang'shun
放桃园,fang'tao'yuan
方天,fang'tian
方天画戟,fang'tian'hua'ji
放万箭,fang'wan'jian
防万箭,fang'wan'jian
放逐,fang'zhu
飞将,fei'jiang
飞升太虚,fei'sheng'tai'xu
费手牌,fei'shou'pai
非孙伯符也,fei'sun'bo'fu'ye
非我所愿,fei'wo'suo'yuan
非我一人之罪,fei'wo'yi'ren'zhi'zui
非延时锦囊,fei'yan'shi'jin'nang
非延时类锦囊,fei'yan'shi'lei'jin'nang
飞影,fei'ying
焚城,fen'cheng
分发,fen'fa
焚尽你的罪恶,fen'jin'ni'de'zui'e
奋强突固,fen'qiang'tu'gu
奋身出命,fen'shen'chu'ming
奋迅,fen'xun
愤勇,fen'yong
风包,feng'bao
风驰电掣,feng'chi'dian'che
凤雏,feng'chu
凤雏岂能消亡,feng'chu'qi'neng'xiao'wang
丰悼王,feng'dao'wang
风火林山,feng'huo'lin'shan
风扩展包,feng'kuo'zhan'bao
锋芒毕露,feng'mang'bi'lu
风平浪静,feng'ping'lang'jing
风起,feng'qi
奉先,feng'xian
锋线杀手,feng'xian'sha'shou
凤仪之姿,feng'yi'zhi'zi
佛挡杀佛,fo'dang'sha'fo
伏皇后,fu'huang'hou
父魂,fu'hun
福将,fu'jiang
夫君,fu'jun
伏枥,fu'li
扶乱,fu'luan
父亲大人,fu'qin'da'ren
父亲定会刮目相看,fu'qin'ding'hui'gua'mu'xiang'kan
父亲快走,fu'qin'kuai'zou
父亲在上,fu'qin'zai'shang
赴汤蹈火,fu'tang'dao'huo
伏完,fu'wan
伏望天恩,fu'wang'tian'en
辅吴将军,fu'wu'jiang'jun
辅翼,fu'yi
辅翼既折,fu'yi'ji'zhe
改判,gai'pan
甘夫人,gan'fu'ren
甘露,gan'lu
甘宁,gan'ning
甘兴霸,gan'xing'ba
刚烈,gang'lie
刚直壮烈,gang'zhi'zhuang'lie
高嘲讽,gao'chao'feng
高贵的名门,gao'gui'de'ming'men
高级杀手,gao'ji'sha'shou
高顺,gao'shun
高玩,gao'wan
隔墙有耳,ge'qiang'you'er
给你的十倍奉还给我,gei'ni'de'shi'bei'feng'huan'gei'wo
给牌,gei'pai
给我安静一会儿,gei'wo'an'jing'yi'hui'er
给我翻过来,gei'wo'fan'guo'lai
给我就好,gei'wo'jiu'hao
更大的炮灰,geng'da'de'pao'hui
攻城为下,gong'cheng'wei'xia
公覆,gong'fu
公会,gong'hui
攻击范围,gong'ji'fan'wei
弓箭手,gong'jian'shou
弓箭手准备,gong'jian'shou'zhun'bei
弓箭手准备放箭,gong'jian'shou'zhun'bei'fang'jian
公瑾,gong'jin
公瑾在旁,gong'jin'zai'pang
共谋天下,gong'mou'tian'xia
弓骑,gong'qi
攻其不备,gong'qi'bu'bei
公孙,gong'sun
公孙二,gong'sun'er
公孙瓒,gong'sun'zan
攻无不克,gong'wu'bu'ke
攻心,gong'xin
攻心为上,gong'xin'wei'shang
弓腰姬,gong'yao'ji
狗货,gou'huo
苟或,gou'huo
苟延残喘,gou'yan'can'chuan
苟攸,gou'you
勾玉,gou'yu
古锭,gu'ding
古锭刀,gu'ding'dao
固国安邦,gu'guo'an'bang
孤好梦中杀人,gu'hao'meng'zhong'sha'ren
蛊惑,gu'huo
蛊惑拆,gu'huo'chai
蛊惑闪,gu'huo'shan
蛊惑桃,gu'huo'tao
蛊惑无中,gu'huo'wu'zhong
固若金汤,gu'ruo'jin'tang
孤善于千里袭人,gu'shan'yu'qian'li'xi'ren
固政,gu'zheng
古之恶来,gu'zhi'e'lai
孤注一掷,gu'zhu'yi'zhi
挂出来,gua'chu'lai
挂个刀,gua'ge'dao
挂个闪电,gua'ge'shan'dian
挂个这,gua'ge'zhe
刮目相看,gua'mu'xiang'kan
挂上,gua'shang
观不到,guan'bu'dao
关二爷,guan'er'ye
观个红桃,guan'ge'hong'tao
观今夜天象,guan'jin'ye'tian'xiang
观看,guan'kan
贯了,guan'le
关平,guan'ping
管杀还管埋,guan'sha'hai'guan'mai
观闪电,guan'shan'dian
贯石,guan'shi
贯石斧,guan'shi'fu
关兴,guan'xing
观星,guan'xing
关兴张苞,guan'xing'zhang'bao
关银屏,guan'yin'ping
关羽,guan'yu
关羽在此,guan'yu'zai'ci
关云长,guan'yun'chang
关张,guan'zhang
鬼才,gui'cai
鬼道,gui'dao
归汉的才女,gui'han'de'cai'nv
鬼神再临,gui'shen'zai'lin
鬼神之勇,gui'shen'zhi'yong
归心,gui'xin
归隐的杰女,gui'yin'de'jie'nv
果敢决断,guo'gan'jue'duan
过河拆桥,guo'he'chai'qiao
郭淮,guo'huai
郭嘉,guo'jia
过牌量,guo'pai'liang
国色,guo'se
国色天香,guo'se'tian'xiang
国士之风,guo'shi'zhi'feng
国太,guo'tai
国战,guo'zhan
还不够,hai'bu'gou
还不可以死,hai'bu'ke'yi'si
还不能放弃,hai'bu'neng'fang'qi
还不速速领死,hai'bu'su'su'ling'si
海不厌深,hai'bu'yan'shen
孩儿不孝,hai'er'bu'xiao
孩儿断后,hai'er'duan'hou
咳咳咳,hai'hai'ke
还没完呢,hai'mei'wan'ne
寒冰,han'bing
寒冰剑,han'bing'jian
韩当,han'dang
汗滴禾下土,han'di'he'xia'tu
喊什么喊,han'shen'me'han
汉升,han'sheng
汉室衰落,han'shi'shuai'luo
汉寿亭侯,han'shou'ting'hou
汉统,han'tong
汉献帝,han'xian'di
行伍严整,hang'wu'yan'zheng
好大一股酒气啊,hao'da'yi'gu'jiu'qi'a
好大一股杀气啊,hao'da'yi'gu'sha'qi'a
毫发无伤,hao'fa'wu'shang
好酒好酒,hao'jiu'hao'jiu
好冷,hao'leng
好冷啊,hao'leng'a
豪情烈胆,hao'qing'lie'dan
好施,hao'shi
好舒服,hao'shu'fu
好舒服呀,hao'shu'fu'ya
号位,hao'wei
何进,he'jin
何惧于天下,he'ju'yu'tian'xia
何惧之有,he'ju'zhi'you
和鸾雍雍,he'luan'yong'yong
何人敢造次,he'ren'gan'zao'ci
何人竟有如此之胆,he'ren'jing'you'ru'ci'zhi'dan
何生亮,he'sheng'liang
合天地之造化,he'tian'di'zhi'zao'hua
和我同归于尽吧,he'wo'tong'gui'yu'jin'ba
何须耳,he'xu'er
何以待敌,he'yi'dai'di
何以解忧,he'yi'jie'you
合则两利,he'ze'liang'li
何知曲成兮心转愁,he'zhi'qu'cheng'xi'xin'zhuan'chou
合纵连横,he'zong'lian'heng
黑色杀,hei'se'sha
黑杀,hei'sha
横扫千军,heng'sao'qian'jun
横野将军,heng'ye'jiang'jun
横置,heng'zhi
洪福齐天,hong'fu'qi'tian
红莲灿世,hong'lian'can'shi
红脸长须,hong'lian'chang'xu
红莲业火,hong'lian'ye'huo
红色杀,hong'se'sha
红杀,hong'sha
红桃邓,hong'tao'deng
红桃闪,hong'tao'shan
红颜,hong'yan
弘援,hong'yuan
鸿运当头,hong'yun'dang'tou
后发制人,hou'fa'zhi'ren
后手,hou'shou
虎痴,hu'chi
虎父无犬女,hu'fu'wu'quan'nv
护国军师,hu'guo'jun'shi
护驾,hu'jia
虎狼兄弟,hu'lang'xiong'di
虎牢关,hu'lao'guan
虎啸,hu'xiao
虎啸既响,hu'xiao'ji'xiang
骅骝,hua'liu
花色,hua'se
化身,hua'shen
华佗,hua'tuo
华雄,hua'xiong
怀才自负,huai'cai'zi'fu
换斗移星,huan'dou'yi'xing
幻化由心,huan'hua'you'xin
幻幻无穷,huan'huan'wu'qiong
换将卡,huan'jiang'ka
缓释,huan'shi
还施彼身,huan'shi'bi'shen
皇恩,huang'en
黄盖,huang'gai
黄公覆,huang'gong'fu
黄汉国祚,huang'han'guo'zuo
黄汉升,huang'han'sheng
黄天,huang'tian
黄天也死了,huang'tian'ye'si'le
黄须儿,huang'xu'er
黄月英,huang'yue'ying
黄忠,huang'zhong
灰飞烟灭,hui'fei'yan'mie
回复体力,hui'fu'ti'li
回合,hui'he
回合结束,hui'he'jie'shu
回合结束阶段,hui'he'jie'shu'jie'duan
回合开始,hui'he'kai'shi
回合开始阶段,hui'he'kai'shi'jie'duan
回合内,hui'he'nei
回合外,hui'he'wai
挥泪,hui'lei
回血,hui'xue
浑身是胆,hun'shen'shi'dan
魂佑江东,hun'you'jiang'dong
魂姿,hun'zi
火包,huo'bao
火攻,huo'gong
火计,huo'ji
火扩展包,huo'kuo'zhan'bao
火杀,huo'sha
活生生的地狱,huo'sheng'sheng'de'di'yu
祸首,huo'shou
祸水,huo'shui
火焰伤害,huo'yan'shang'hai
火诸葛,huo'zhu'ge
火诸葛亮,huo'zhu'ge'liang
活罪难赦,huo'zui'nan'she
激昂,ji'ang
基本牌,ji'ben'pai
饥肠辘辘,ji'chang'lu'lu
继丞相之遗志,ji'cheng'xiang'zhi'yi'zhi
嫉恶,ji'e
急火,ji'huo
急火对象,ji'huo'dui'xiang
激将,ji'jiang
急救,ji'jiu
极乐世界,ji'le'shi'jie
鸡肋,ji'lei
纪灵,ji'ling
极略,ji'lue
击其懈怠,ji'qi'xie'dai
既生瑜,ji'sheng'yu
既生瑜何生,ji'sheng'yu'he'sheng
棘途壮志,ji'tu'zhuang'zhi
急袭,ji'xi
祭先父之灵,ji'xian'fu'zhi'ling
疾行的猎豹,ji'xing'de'lie'bao
集智,ji'zhi
集智方取天下,ji'zhi'fang'qu'tian'xia
贾诩,jia'xu
加一马,jia'yi'ma
见面分一半,jian'mian'fen'yi'ban
箭无虚发,jian'wu'xu'fa
奸雄,jian'xiong
减一马,jian'yi'ma
简雍,jian'yong
姜伯约,jiang'bo'yue
将驰,jiang'chi
江东的铁壁,jiang'dong'de'tie'bi
江东的小霸王,jiang'dong'de'xiao'ba'wang
江东小霸王,jiang'dong'xiao'ba'wang
江东小白板,jiang'dong'xiao'bai'ban
江东小白板儿,jiang'dong'xiao'bai'ban'er
江东之虎,jiang'dong'zhi'hu
江东之花,jiang'dong'zhi'hua
江东子弟,jiang'dong'zi'di
将军,jiang'jun
将军岂愿抓牌乎,jiang'jun'qi'yuan'zhua'pai'hu
将门虎女,jiang'men'hu'nv
将门虎子,jiang'men'hu'zi
将士们,jiang'shi'men
姜维,jiang'wei
姜维小儿,jiang'wei'xiao'er
将星陨落,jiang'xing'yun'luo
江之永矣,jiang'zhi'yong'yi
交给你了,jiao'gei'ni'le
叫你得意,jiao'ni'de'yi
脚气卡,jiao'qi'ka
矫情之花,jiao'qing'zhi'hua
矫然的壮士,jiao'ran'de'zhuang'shi
教主,jiao'zhu
桀骜野心家,jie'ao'ye'xin'jia
借刀,jie'dao
借刀杀人,jie'dao'sha'ren
解烦,jie'fan
竭力尽智,jie'li'jin'zhi
姐妹齐心,jie'mei'qi'xin
节命,jie'ming
借你刀,jie'ni'dao
借你之手,jie'ni'zhi'shou
借你之手与他一搏吧,jie'ni'zhi'shou'yu'ta'yi'bo'ba
截其源,jie'qi'yuan
劫数难逃,jie'shu'nan'tao
结算,jie'suan
借他刀,jie'ta'dao
借他的刀,jie'ta'de'dao
借我刀,jie'wo'dao
结姻,jie'yin
接招吧,jie'zhao'ba
接着哦,jie'zhe'o
竭智尽忠,jie'zhi'jin'zhong
金壁之才,jin'bi'zhi'cai
金璧之才,jin'bi'zhi'cai
矜持之花,jin'chi'zhi'hua
今当,jin'dang
今当稳固内政,jin'dang'wen'gu'nei'zheng
锦帆游侠,jin'fan'you'xia
尽管来吧,jin'guan'lai'ba
巾帼英雄,jin'guo'ying'xiong
晋国之祖,jin'guo'zhi'zu
今后就靠你们了,jin'hou'jiu'kao'ni'men'le
今后只能靠你了,jin'hou'zhi'neng'kao'ni'le
金甲映日,jin'jia'ying'ri
禁酒,jin'jiu
尽可放心,jin'ke'fang'xin
禁聊,jin'liao
锦囊,jin'nang
锦囊袋,jin'nang'dai
锦囊牌,jin'nang'pai
金枪不倒,jin'qiang'bu'dao
今日起兵,jin'ri'qi'bing
今汝势孤,jin'ru'shi'gu
今天是个拼命的好日子,jin'tian'shi'ge'pin'ming'de'hao'ri'zi
近位,jin'wei
近位反,jin'wei'fan
近卫忠,jin'wei'zhong
今吾欲拜应为王,jin'wu'yu'bai'ying'wei'wang
尽忠徇节,jin'zhong'xun'jie
谨遵父训,jin'zun'fu'xun
竟被,jing'bei
精兵据敌,jing'bing'ju'di
精策,jing'ce
荆楚之高俊,jing'chu'zhi'gao'jun
靖国大将纪灵在此,jing'guo'da'jiang'ji'ling'zai'ci
竞技场,jing'ji'chang
敬请养精蓄锐,jing'qing'yang'jing'xu'rui
竟然被猜到了,jing'ran'bei'cai'dao'le
竟然比我还快,jing'ran'bi'wo'hai'kuai
竟然伤我,jing'ran'shang'wo
惊天逆转,jing'tian'ni'zhuan
经天纬地,jing'tian'wei'di
荆襄,jing'xiang
竟想赢我,jing'xiang'ying'wo
荆襄之地,jing'xiang'zhi'di
竟葬于奸贼之手,jing'zang'yu'jian'zei'zhi'shou
就差一步,jiu'cha'yi'bu
就差一步了,jiu'cha'yi'bu'le
酒池,jiu'chi
旧的不去,jiu'de'bu'qu
旧的不去新的不来,jiu'de'bu'qu'xin'de'bu'lai
酒火杀,jiu'huo'sha
纠结之心,jiu'jie'zhi'xin
救救大汉江山,jiu'jiu'da'han'jiang'shan
酒雷杀,jiu'lei'sha
救人一命,jiu'ren'yi'ming
救人一命胜造七级浮屠,jiu'ren'yi'ming'sheng'zao'qi'ji'fu'tu
酒杀,jiu'sha
