澳门路,ao'men'lu
捞沙巷,lao'sha'xiang
雷台山,lei'tai'shan
礼仪坝,li'yi'ba
凉水井,liang'shui'jing
六地质队,liu'di'zhi'dui
刘家湾,liu'jia'wan
六一基地,liu'yi'ji'di
龙井沟,long'jing'gou
龙坑,long'keng
洛江桥,luo'jiang'qiao
罗庄,luo'zhuang
马家湾,ma'jia'wan
茅草铺客运站,mao'cao'pu'ke'yun'zhan
毛主席旧居,mao'zhu'xi'jiu'ju
梅岭厂,mei'ling'chang
民政小学,min'zheng'xiao'xue
木材厂,mu'cai'chang
南白,nan'bai
南宫山,nan'gong'shan
南关办事处,nan'guan'ban'shi'chu
南关法庭,nan'guan'fa'ting
南郊水厂,nan'jiao'shui'chang
南岭公园,nan'ling'gong'yuan
南岭路口,nan'ling'lu'kou
南山路口,nan'shan'lu'kou
南站路口,nan'zhan'lu'kou
泥桥,ni'qiao
宁波路口,ning'bo'lu'kou
坪丰市场,ping'feng'shi'chang
平庄大道,ping'zhuang'da'dao
三阁公园,san'ge'gong'yuan
三四一七医院,san'si'yi'qi'yi'yuan
沙坝,sha'ba
沙坝新天地,sha'ba'xin'tian'di
沙河路口,sha'he'lu'kou
沙河小区,sha'he'xiao'qu
汕头路口,shan'tou'lu'kou
上海路办事处,shang'hai'lu'ban'shi'chu
市博物馆,shi'bo'wu'guan
石佛路,shi'fo'lu
事故科,shi'gu'ke
石龙坡,shi'long'po
狮山酒店,shi'shan'jiu'dian
市医院,shi'yi'yuan
市政府二小区,shi'zheng'fu'er'xiao'qu
十字坳,shi'zi'ao
水钢站台,shui'gang'zhan'tai
丝织厂,si'zhi'chang
嵩山路口,song'shan'lu'kou
松桃路口,song'tao'lu'kou
松庄小区,song'zhuang'xiao'qu
塑料厂,su'liao'chang
钛厂,tai'chang
桃溪河畔,tao'xi'he'pan
桃溪路口,tao'xi'lu'kou
桃溪寺,tao'xi'si
添阳小区,tian'yang'xiao'qu
天仪厂,tian'yi'chang
土地坝,tu'di'ba
万福桥,wan'fu'qiao
温州路口,wen'zhou'lu'kou
乌江大厦,wu'jiang'da'sha
武装部,wu'zhuang'bu
西安路口,xi'an'lu'kou
夏家湾,xia'jia'wan
县老交警队,xian'lao'jiao'jing'dui
香樟印象,xiang'zhang'yin'xiang
小岛渔村,xiao'dao'yu'cun
小凉水井,xiao'liang'shui'jing
新店子,xin'dian'zi
新蒲,xin'pu
新舟村,xin'zhou'cun
杨家巷,yang'jia'xiang
药业园区,yao'ye'yuan'qu
一分厂,yi'fen'chang
医学院,yi'xue'yuan
医学院门诊部,yi'xue'yuan'men'zhen'bu
一中分校,yi'zhong'fen'xiao
银杉路口,yin'shan'lu'kou
迎红桥,ying'hong'qiao
鱼芽坝,yu'ya'ba
园宝山,yuan'bao'shan
运输科,yun'shu'ke
湛江路口,zhan'jiang'lu'kou
珍酒厂,zhen'jiu'chang
镇隆,zhen'long
珍珠路口,zhen'zhu'lu'kou
政府二小区,zheng'fu'er'xiao'qu
政府一小区,zheng'fu'yi'xiao'qu
智慧名城,zhi'hui'ming'cheng
重美技校,zhong'mei'ji'xiao
忠庄客运站,zhong'zhuang'ke'yun'zhan
忠庄铺,zhong'zhuang'pu
舟水桥,zhou'shui'qiao
舟水桥派出所,zhou'shui'qiao'pai'chu'suo
朱家湾,zhu'jia'wan
遵松路口,zun'song'lu'kou
遵绥路口,zun'sui'lu'kou
遵义宾馆,zun'yi'bin'guan
遵义会议会址,zun'yi'hui'yi'hui'zhi
遵义驾校,zun'yi'jia'xiao
遵义九中,zun'yi'jiu'zhong
遵义六中,zun'yi'liu'zhong
遵义市委,zun'yi'shi'wei
遵义十一中,zun'yi'shi'yi'zhong
遵义师院,zun'yi'shi'yuan
遵义市政府,zun'yi'shi'zheng'fu
遵义烟厂新大门,zun'yi'yan'chang'xin'da'men
遵义医院,zun'yi'yi'yuan
