阿里布哥,a'li'bu'ge
陈矩,chen'ju
陈联芳,chen'lian'fang
陈其学,chen'qi'xue
陈如谟,chen'ru'mo
陈亦勤,chen'yi'qin
陈音,chen'yin
陈友谅,chen'you'liang
陈有年,chen'you'nian
陈愚衷,chen'yu'zhong
陈准,chen'zhun
陈子龙,chen'zi'long
陈祖义,chen'zu'yi
成化,cheng'hua
程敏敏,cheng'min'min
程信,cheng'xin
承宣布政使司,cheng'xuan'bu'zheng'shi'si
称宗祔庙,cheng'zong'fu'miao
赤珍浦,chi'zhen'pu
崇文门,chong'wen'men
崇祯,chong'zhen
仇成,chou'cheng
仇鸾,chou'luan
初成,chu'cheng
处州,chu'zhou
滁州,chu'zhou
雌木兰,ci'mu'lan
崔呈秀,cui'cheng'xiu
大伯颜山,da'bo'yan'shan
大浩,da'hao
大驾卤簿,da'jia'lu'bu
大将军炮,da'jiang'jun'pao
大理寺,da'li'si
大礼仪,da'li'yi
大明律,da'ming'lv
大漠挥刀,da'mo'hui'dao
打赏功臣,da'shang'gong'chen
戴才,dai'cai
戴德孺,dai'de'ru
戴铣,dai'xi
待诏,dai'zhao
单程票,dan'cheng'piao
丹东瓜,dan'dong'gua
丹霞禅师,dan'xia'chan'shi
当年明月,dang'nian'ming'yue
倒插门,dao'cha'men
道德先生,dao'de'xian'sheng
岛津义弘,dao'jin'yi'hong
道经,dao'jing
岛山营,dao'shan'ying
道同,dao'tong
德川家康,de'chuan'jia'kang
德山和尚,de'shan'he'shang
德胜门,de'sheng'men
邓愈,deng'yu
邓子龙,deng'zi'long
狄道,di'dao
地方,di'fang
典吏,dian'li
丁此吕,ding'ci'lv
丁景禄,ding'jing'lu
丁懋逊,ding'mao'xun
丁普郎,ding'pu'lang
丁汝夔,ding'ru'kui
丁廷,ding'ting
丁忧,ding'you
定远,ding'yuan
东厂掌印太监,dong'chang'zhang'yin'tai'jian
董传策,dong'chuan'ce
东宫,dong'gong
东海女真,dong'hai'nv'zhen
董杰,dong'jie
东莱,dong'lai
东林点将录,dong'lin'dian'jiang'lu
东人党,dong'ren'dang
董伤,dong'shang
董事局,dong'shi'ju
东吴弄珠客,dong'wu'nong'zhu'ke
董一奎,dong'yi'kui
董一元,dong'yi'yuan
东直门,dong'zhi'men
董子行,dong'zi'xing
都事,dou'shi
都转运盐使司,dou'zhuan'yun'yan'shi'si
都察院,du'cha'yuan
独抒性灵,du'shu'xing'ling
杜松,du'song
都指挥使司,du'zhi'hui'shi'si
端妃,duan'fei
多邦,duo'bang
夺门之变,duo'men'zhi'bian
夺前蛟阵,duo'qian'jiao'zhen
朵颜三卫,duo'yan'san'wei
额森,e'sen
二混子,er'hun'zi
发审,fa'shen
藩王,fan'wang
樊忠,fan'zhong
房寰,fang'huan
方克勤,fang'ke'qin
方献夫,fang'xian'fu
方孝复,fang'xiao'fu
费宏,fei'hong
腓特烈二世,fei'te'lie'er'shi
冯保,feng'bao
封驳,feng'bo
丰臣秀次,feng'chen'xiu'ci
丰臣秀吉,feng'chen'xiu'ji
冯国胜,feng'guo'sheng
冯国用,feng'guo'yong
封爵,feng'jue
封赏,feng'shang
封赏制度,feng'shang'zhi'du
奉天殿,feng'tian'dian
奉天靖难,feng'tian'jing'nan
冯惟敏,feng'wei'min
蜂须贺家政,feng'xu'he'jia'zheng
冯益,feng'yi
奉御,feng'yu
佛郎机,fo'lang'ji
富不过三代,fu'bu'guo'san'dai
阜成门,fu'cheng'men
福岛正则,fu'dao'zheng'ze
富国强兵,fu'guo'qiang'bing
傅友德,fu'you'de
高策,gao'ce
高第,gao'di
高杰,gao'jie
高立克,gao'li'ke
高启愚,gao'qi'yu
高时,gao'shi
高仪,gao'yi
高迎祥,gao'ying'xiang
高邮之战,gao'you'zhi'zhan
葛诚,ge'cheng
各省巡抚,ge'sheng'xun'fu
各总督,ge'zong'du
耿炳,geng'bing
庚戍之变,geng'shu'zhi'bian
耿通,geng'tong
公安派,gong'an'pai
宫本武藏,gong'ben'wu'zang
工部,gong'bu
攻城拔寨,gong'cheng'ba'zhai
碽妃,gong'fei
公侯勋贵,gong'hou'xun'gui
公事钱,gong'shi'qian
拱卫司,gong'wei'si
龚子敬,gong'zi'jing
顾彬,gu'bin
顾秉谦,gu'bing'qian
谷大用,gu'da'yong
顾大章,gu'da'zhang
顾鼎臣,gu'ding'chen
古今谭概,gu'jin'tan'gai
古勒山之战,gu'le'shan'zhi'zhan
古里,gu'li
顾璘,gu'lin
古麻剌朗国,gu'ma'la'lang'guo
顾宪成,gu'xian'cheng
顾兴祖,gu'xing'zu
顾养谦,gu'yang'qian
顾允成,gu'yun'cheng
关门打狗,guan'men'da'gou
冠以正义,guan'yi'zheng'yi
观音浦,guan'yin'pu
官应震,guan'ying'zhen
光禄寺,guang'lu'si
光州权节度使,guang'zhou'quan'jie'du'shi
龟船,gui'chuan
桂萼,gui'e
鬼话连篇录,gui'hua'lian'pian'lu
龟井真钜,gui'jing'zhen'ju
鬼力赤,gui'li'chi
鬼石曼子,gui'shi'man'zi
滚水坝,gun'shui'ba
锅岛直茂,guo'dao'zhi'mao
郭桓,guo'huan
郭谏臣,guo'jian'chen
过节钱,guo'jie'qian
郭朴,guo'pu
国史异考,guo'shi'yi'kao
郭松龄,guo'song'ling
郭天叙,guo'tian'xu
国姓爷,guo'xing'ye
国子监,guo'zi'jian
郭子兴,guo'zi'xing
哈布斯堡,ha'bu'si'bao
哈剌章,ha'la'zhang
海国记,hai'guo'ji
海若,hai'ruo
海西女真,hai'xi'nv'zhen
邯郸记,han'dan'ji
韩楫,han'ji
翰林院,han'lin'yuan
翰林院侍讲学士,han'lin'yuan'shi'jiang'xue'shi
汉那吉,han'na'ji
含山,han'shan
韩山童,han'shan'tong
韩文,han'wen
韩一良,han'yi'liang
韩雍,han'yong
杭雄,hang'xiong
濠州,hao'zhou
何鳌,he'ao
何典,he'dian
河东狮,he'dong'shi
何锦义,he'jin'yi
何景明,he'jing'ming
何孟春,he'meng'chun
何文辉,he'wen'hui
何心隐,he'xin'yin
贺一桂,he'yi'gui
和州,he'zhou
贺宗哲,he'zong'zhe
黑龙江女真,hei'long'jiang'nv'zhen
黑田长政,hei'tian'chang'zheng
黑田官兵卫,hei'tian'guan'bing'wei
黑衣宰相,hei'yi'zai'xiang
横涧山,heng'jian'shan
横屿,heng'yu
洪朝选,hong'chao'xuan
洪承畴,hong'cheng'chou
洪湖,hong'hu
鸿胪寺,hong'lu'si
红梅记,hong'mei'ji
洪武,hong'wu
洪熙,hong'xi
虹县,hong'xian
弘治,hong'zhi
后军各属,hou'jun'ge'shu
侯先春,hou'xian'chun
虎豹骑,hu'bao'qi
虎贲军,hu'ben'jun
户部,hu'bu
胡大海,hu'da'hai
胡广,hu'guang
湖海散人,hu'hai'san'ren
虎加藤,hu'jia'teng
虎丘,hu'qiu
胡汝宁,hu'ru'ning
胡十八,hu'shi'ba
胡士相,hu'shi'xiang
浒倏战役,hu'shu'zhan'yi
胡惟庸,hu'wei'yong
湖心亭看雪,hu'xin'ting'kan'xue
胡尧元,hu'yao'yuan
胡应嘉,hu'ying'jia
胡宗宪,hu'zong'xian
花云,hua'yun
华云龙,hua'yun'long
怀恩,huai'en
怀远,huai'yuan
还魂记,huan'hun'ji
浣纱记,huan'sha'ji
还乡团,huan'xiang'tuan
黄道周,huang'dao'zhou
黄光升,huang'guang'sheng
黄淮,huang'huai
黄家渡,huang'jia'du
黄锦,huang'jin
皇觉寺,huang'jue'si
黄明,huang'ming
黄璞,huang'pu
黄莺儿,huang'ying'er
黄正宾,huang'zheng'bin
黄宗明,huang'zong'ming
黄尊素,huang'zun'su
会议纪要,hui'yi'ji'yao
昏着,hun'zhe
火龙出水,huo'long'chu'shui
霍韬,huo'tao
吉川幸次郎,ji'chuan'xing'ci'lang
纪妃,ji'fei
纪纲,ji'gang
纪连海,ji'lian'hai
集庆,ji'qing
稷山大捷,ji'shan'da'jie
纪效新书,ji'xiao'xin'shu
嘉靖,jia'jing
嘉靖遗诏,jia'jing'yi'zhao
嘉林江,jia'lin'jiang
贾名儒,jia'ming'ru
贾三近,jia'san'jin
加藤嘉明,jia'teng'jia'ming
加藤清正,jia'teng'qing'zheng
贾仲明,jia'zhong'ming
监丞,jian'cheng
检校,jian'jiao
奸绝,jian'jue
建文,jian'wen
蹇义,jian'yi
贱岳七本枪,jian'yue'qi'ben'qiang
贱岳之战,jian'yue'zhi'zhan
建州女真,jian'zhou'nv'zhen
江彬,jiang'bin
江东,jiang'dong
姜冬崖,jiang'dong'ya
江东之,jiang'dong'zhi
匠户,jiang'hu
蒋冕,jiang'mian
江南经略,jiang'nan'jing'lue
江文清,jiang'wen'qing
蒋瑶,jiang'yao
蒋应奎,jiang'ying'kui
姜应鳞,jiang'ying'lin
江右学派,jiang'you'xue'pai
江渊,jiang'yuan
焦芳,jiao'fang
娇红记,jiao'hong'ji
交趾,jiao'zhi
金川门,jin'chuan'men
金甲倭将,jin'jia'wo'jiang
金书铁券,jin'shu'tie'quan
金顺良,jin'shun'liang
锦衣卫指挥使,jin'yi'wei'zhi'hui'shi
晋应槐,jin'ying'huai
金幼孜,jin'you'zi
荆楚长剑,jing'chu'chang'jian
竟陵派,jing'ling'pai
荆人,jing'ren
景泰,jing'tai
京卫指挥使司,jing'wei'zhi'hui'shi'si
静闻,jing'wen
井源,jing'yuan
九鬼嘉隆,jiu'gui'jia'long
觉昌安,jue'chang'an
掘内吉善,jue'nei'ji'shan
军户,jun'hu
开国辅运,kai'guo'fu'yun
康海,kang'hai
康郎山,kang'lang'shan
康茂,kang'mao
客印月,ke'yin'yue
科泽科德,ke'ze'ke'de
空观主人,kong'guan'zhu'ren
孔目,kong'mu
空印案,kong'yin'an
口食钱,kou'shi'qian
苦孝说,ku'xiao'shuo
库子钱,ku'zi'qian
狂鼓史,kuang'gu'shi
扩廓帖木儿,kuo'kuo'tie'mu'er
蓝道行,lan'dao'heng
兰陵笑笑生,lan'ling'xiao'xiao'sheng
蓝玉,lan'yu
琅環文集,lang'huan'wen'ji
狼土兵,lang'tu'bing
老乡会,lao'xiang'hui
老朱家开的食堂,lao'zhu'jia'kai'de'shi'tang
老祖宗成法,lao'zu'zong'cheng'fa
乐安,le'an
雷州,lei'zhou
李彬,li'bin
吏部,li'bu
礼部,li'bu
李朝实录,li'chao'shi'lu
李成梁,li'cheng'liang
黎淳,li'chun
李春芳,li'chun'fang
李存义,li'cun'yi
李登云,li'deng'yun
李栋,li'dong
李芳远,li'fang'yuan
李贯,li'guan
立花宗茂,li'hua'zong'mao
黎季犛,li'ji'li
李进忠,li'jin'zhong
李景隆,li'jing'long
李开先,li'kai'xian
李可灼,li'ke'zhuo
李连芳,li'lian'fang
李良钦,li'liang'qin
李默,li'mo
李宁,li'ning
李攀龙,li'pan'long
李如柏,li'ru'bai
李如梅,li'ru'mei
李如松,li'ru'song
李如梧,li'ru'wu
李如樟,li'ru'zhang
李如桢,li'ru'zhen
李三才,li'san'cai
李善长,li'shan'chang
李时勉,li'shi'mian
李士实,li'shi'shi
李淑妃,li'shu'fei
李舜臣,li'shun'chen
李愬,li'shuo
李思良,li'si'liang
李腾芳,li'teng'fang
李天宠,li'tian'chong
李莞,li'wan
李文忠,li'wen'zhong
李贤,li'xian
李献可,li'xian'ke
李应试,li'ying'shi
李贞,li'zhen
李值,li'zhi
李植,li'zhi
李贽,li'zhi
梨峙大捷,li'zhi'da'jie
李志刚,li'zhi'gang
李自成,li'zi'cheng
李孜省,li'zi'sheng
李宗城,li'zong'cheng
镰仓幕府,lian'cang'mu'fu
连弩,lian'nu
梁储,liang'chu
梁芳,liang'fang
梁有誉,liang'you'yu
廖立,liao'li
廖永忠,liao'yong'zhong
临济和尚,lin'ji'he'shang
淋尖踹斛,lin'jian'chuai'hu
林俊,lin'jun
林润,lin'run
凌濛初,ling'meng'chu
零式战斗机,ling'shi'zhan'dou'ji
六哀,liu'ai
刘秉忠,liu'bing'zhong
刘伯温,liu'bo'wen
六部,liu'bu
刘成,liu'cheng
柳成龙,liu'cheng'long
刘福通,liu'fu'tong
刘光世,liu'guang'shi
刘晖,liu'hui
刘吉,liu'ji
刘基,liu'ji
刘健,liu'jian
刘瑾,liu'jin
柳敬亭说书,liu'jing'ting'shuo'shu
六科,liu'ke
刘球,liu'qiu
六如真言,liu'ru'zhen'yan
溜山,liu'shan
刘尚志,liu'shang'zhi
刘嵩,liu'song
刘台,liu'tai
刘天直,liu'tian'zhi
刘廷元,liu'ting'yuan
刘显,liu'xian
刘小德,liu'xiao'de
刘养正,liu'yang'zheng
柳月娥,liu'yue'e
刘泽清,liu'ze'qing
龙江驿,long'jiang'yi
隆科多,long'ke'duo
隆庆,long'qing
隆庆新政,long'qing'xin'zheng
龙山之战,long'shan'zhi'zhan
龙湾,long'wan
娄门,lou'men
路霸,lu'ba
陆炳,lu'bing
陆凤仪,lu'feng'yi
逯杲,lu'gao
录鬼簿续篇,lu'gui'bu'xu'pian
卢洪春,lu'hong'chun
卢继忠,lu'ji'zhong
露梁海,lu'liang'hai
露梁海峡,lu'liang'hai'xia
陆梦龙,lu'meng'long
陆树德,lu'shu'de
陆松,lu'song
卢象昇,lu'xiang'sheng
陆秀夫,lu'xiu'fu
卢忠,lu'zhong
论辅臣科臣疏,lun'fu'chen'ke'chen'shu
落堡,luo'bao
罗大纮,luo'da'hong
罗复仁,luo'fu'ren
罗贯中,luo'guan'zhong
罗嘉宾,luo'jia'bin
雒遒,luo'qiu
骆尚志,luo'shang'zhi
罗万化,luo'wan'hua
罗文龙,luo'wen'long
罗性,luo'xing
雒于仁,luo'yu'ren
雒遵,luo'zun
吕调阳,lv'tiao'yang
马昂,ma'ang
马芳,ma'fang
麻贵,ma'gui
马哈木,ma'ha'mu
马亮,ma'liang
马林,ma'lin
马三保,ma'san'bao
马森,ma'sen
马山馆,ma'shan'guan
马顺,ma'shun
马文升,ma'wen'sheng
马显,ma'xian
骂仗铁三角,ma'zhang'tie'san'jiao
马自强,ma'zi'qiang
麦志德,mai'zhi'de
满桂,man'gui
满剌加,man'la'jia
曼斯坦因,man'si'tan'yin
毛伯温,mao'bo'wen
毛澄,mao'cheng
猫岛,mao'dao
毛福寿,mao'fu'shou
毛贵,mao'gui
毛海峰,mao'hai'feng
毛纪,mao'ji
茅坤,mao'kun
毛利辉元,mao'li'hui'yuan
毛利秀元,mao'li'xiu'yuan
毛佩琪,mao'pei'qi
毛文龙,mao'wen'long
梅之涣,mei'zhi'huan
孟冲,meng'chong
蒙哥,meng'ge
孟养浩,meng'yang'hao
沔阳,mian'yang
民户,min'hu
明朝那些事儿,ming'chao'na'xie'shi'er
明成祖,ming'cheng'zu
明代宗,ming'dai'zong
名额限制,ming'e'xian'zhi
鸣凤记,ming'feng'ji
明光宗,ming'guang'zong
明惠帝,ming'hui'di
明会典,ming'hui'dian
明穆宗,ming'mu'zong
明仁宗,ming'ren'zong
明儒学案,ming'ru'xue'an
明神宗,ming'shen'zong
明世宗,ming'shi'zong
明思宗,ming'si'zong
明太祖,ming'tai'zu
明武宗,ming'wu'zong
明熹宗,ming'xi'zong
明宪宗,ming'xian'zong
明孝宗,ming'xiao'zong
明宣宗,ming'xuan'zong
明夷待访录,ming'yi'dai'fang'lu
明英宗,ming'ying'zong
明智光秀,ming'zhi'guang'xiu
缪大亨,miu'da'heng
谋定战,mou'ding'zhan
木车,mu'che
牡丹亭,mu'dan'ting
沐晟,mu'sheng
木下藤吉郎,mu'xia'teng'ji'lang
木下秀吉,mu'xia'xiu'ji
母子不相认,mu'zi'bu'xiang'ren
纳哈出,na'ha'chu
那林脖罗,na'lin'bo'luo
乃剌吾,nai'la'wu
南京太常寺志,nan'jing'tai'chang'si'zhi
南柯记,nan'ke'ji
南雷文集,nan'lei'wen'ji
南人派,nan'ren'pai
南原,nan'yuan
南镇抚司,nan'zhen'fu'si
内阁,nei'ge
逆臣录,ni'chen'lu
拟话本,ni'hua'ben
倪进贤,ni'jin'xian
倪文俊,ni'wen'jun
聂豹,nie'bao
牛首山,niu'shou'shan
牛玉,niu'yu
女状元,nv'zhuang'yuan
欧阳德,ou'yang'de
欧阳东凤,ou'yang'dong'feng
欧阳一敬,ou'yang'yi'jing
潘季驯,pan'ji'xun
盘门,pan'men
潘鹏,pan'peng
庞保,pang'bao
裴伯耆,pei'bo'qi
彭华,peng'hua
彭信古,peng'xin'gu
平江城,ping'jiang'cheng
平章果来,ping'zhang'guo'lai
仆大欺主,pu'da'qi'zhu
蒲篓钱,pu'lou'qian
溥洽,pu'qia
祁彪佳,qi'biao'jia
骑缝印,qi'feng'yin
淇国公,qi'guo'gong
戚景通,qi'jing'tong
齐康,qi'kang
亓诗教,qi'shi'jiao
戚祥,qi'xiang
钱德洪,qian'de'hong
前军,qian'jun
钱宁,qian'ning
谦谦君子,qian'qian'jun'zi
钱谦益,qian'qian'yi
强而不欺,qiang'er'bu'qi
乔应甲,qiao'ying'jia
乔宇,qiao'yu
秦金,qin'jin
覃力鹏,qin'li'peng
钦天监,qin'tian'jian
清风和尚,qing'feng'he'shang
清佳努,qing'jia'nu
清江浦,qing'jiang'pu
清平山堂话本,qing'ping'shan'tang'hua'ben
庆尚,qing'shang
清太宗实录,qing'tai'zong'shi'lu
清远道人,qing'yuan'dao'ren
庆州,qing'zhou
丘浚,qiu'jun
囚笼战术,qiu'long'zhan'shu
秋日杂感,qiu'ri'za'gan
丘橓,qiu'shun
全罗,quan'luo
全罗道水军节度使,quan'luo'dao'shui'jun'jie'du'shi
权应铢,quan'ying'zhu
权欲熏心,quan'yu'xun'xin
全州,quan'zhou
仁不带兵,ren'bu'dai'bing
人浑胆大,ren'hun'dan'da
人微言轻,ren'wei'yan'qing
日本外史,ri'ben'wai'shi
日本战史,ri'ben'zhan'shi
日知录,ri'zhi'lu
阮浪,ruan'lang
若士,ruo'shi
撒花钱,sa'hua'qian
赛刊王,sai'kan'wang
赛上重阳,sai'shang'chong'yang
三才阵,san'cai'zhen
三叠阵,san'die'zhen
三段击,san'duan'ji
三佛齐,san'fo'qi
三公,san'gong
三孤,san'gu
三菱重工,san'ling'zhong'gong
三遂平妖传,san'sui'ping'yao'chuan
三线战术,san'xian'zhan'shu
三言二拍,san'yan'er'pai
三垣笔记,san'yuan'bi'ji
三朝要典,san'zhao'yao'dian
僧录司,seng'lu'si
山坡羊十不足,shan'po'yang'shi'bu'zu
上朝族,shang'chao'zu
商君书,shang'jun'shu
尚铭,shang'ming
上泉信纲,shang'quan'xin'gang
商鞅,shang'yang
赏银,shang'yin
邵荣,shao'rong
邵元节,shao'yuan'jie
神佛钱,shen'fo'qian
沈璟,shen'jing
沈恺,shen'kai
沈鲤,shen'li
沈链,shen'lian
申时行,shen'shi'xing
沈思孝,shen'si'xiao
沈万三,shen'wan'san
沈惟敬,shen'wei'jing
沈永,shen'yong
盛世修书,sheng'shi'xiu'shu
盛庸,sheng'yong
诗必盛唐,shi'bi'sheng'tang
石彪,shi'biao
市舶提举司,shi'bo'ti'ju'si
时春,shi'chun
施寒微,shi'han'wei
石亨,shi'heng
十家牌法,shi'jia'pai'fa
石敬瑭,shi'jing'tang
史可法,shi'ke'fa
石曼子,shi'man'zi
史孟麟,shi'meng'lin
施耐庵,shi'nai'an
诗逆,shi'ni
时穷节乃现,shi'qiong'jie'nai'xian
史儒,shi'ru
世袭公侯,shi'xi'gong'hou
石悦,shi'yue
释藏,shi'zang
施舟人,shi'zhou'ren
守初和尚,shou'chu'he'shang
狩野直喜,shou'ye'zhi'xi
守正文臣,shou'zheng'wen'chen
舒尔哈齐,shu'er'ha'qi
舒弘绪,shu'hong'xu
束水冲沙法,shu'shui'chong'sha'fa
水脚钱,shui'jiao'qian
水仙子瓦匠,shui'xian'zi'wa'jiang
谁言书生无用,shui'yan'shu'sheng'wu'yong
顺天府,shun'tian'fu
朔州,shuo'zhou
泗川,si'chuan
司礼监,si'li'jian
司礼监掌印太监,si'li'jian'zhang'yin'tai'jian
四声猿,si'sheng'yuan
四宜堂诗集,si'yi'tang'shi'ji
司狱,si'yu
宋会要辑稿,song'hui'yao'ji'gao
宋太宗龙虎风云会,song'tai'zong'long'hu'feng'yun'hui
宋应昌,song'ying'chang
宋元学案,song'yuan'xue'an
苏禄,su'lu
苏门答腊,su'men'da'la
隋唐志传,sui'tang'zhi'chuan
孙承宗,sun'cheng'zong
孙传庭,sun'chuan'ting
孙德崖,sun'de'ya
孙立人,sun'li'ren
孙如法,sun'ru'fa
孙如游,sun'ru'you
孙燧,sun'sui
孙镗,sun'tang
孙玺,sun'xi
孙应奎,sun'ying'kui
孙元化,sun'yuan'hua
泰昌,tai'chang
太常寺,tai'chang'si
台阁体,tai'ge'ti
泰宁,tai'ning
太平十策,tai'ping'shi'ce
太仆寺,tai'pu'si
太医院,tai'yi'yuan
泰州,tai'zhou
台州大捷,tai'zhou'da'jie
泰州学派,tai'zhou'xue'pai
太子三少,tai'zi'san'shao
太子三师,tai'zi'san'shi
谭纶,tan'lun
谭元春,tan'yuan'chun
汤和,tang'he
唐顺之,tang'shun'zhi
唐宋派,tang'song'pai
汤显祖,tang'xian'zu
汤序,tang'xu
陶庵梦忆,tao'an'meng'yi
陶瑾,tao'jin
陶仲文,tao'zhong'wen
藤堂高虎,teng'tang'gao'hu
替天行道,ti'tian'xing'dao
提刑按察使司,ti'xing'an'cha'shi'si
天城,tian'cheng
天启,tian'qi
天泉论道,tian'quan'lun'dao
天水冰山录,tian'shui'bing'shan'lu
天顺,tian'shun
天完国,tian'wan'guo
田中谦二,tian'zhong'qian'er
条法律例,tiao'fa'lv'li
铁甲船,tie'jia'chuan
亭林诗文集,ting'lin'shi'wen'ji
佟国纲,tong'guo'gang
佟国维,tong'guo'wei
通鉴纂要,tong'jian'zuan'yao
佟图赖,tong'tu'lai
佟养性,tong'yang'xing
佟养正,tong'yang'zheng
通政司,tong'zheng'si
同知,tong'zhi
土剌河,tu'la'he
屠龙,tu'long
推官,tui'guan
脱欢,tuo'huan
脱火赤,tuo'huo'chi
妥贴贴木耳,tuo'tie'tie'mu'er
脱脱不花,tuo'tuo'bu'hua
瓦杜丁,wa'du'ding
瓦剌,wa'la
万安,wan'an
万贵妃,wan'gui'fei
万历,wan'li
万历三大征考,wan'li'san'da'zheng'kao
王安,wang'an
王翱,wang'ao
王邦瑞,wang'bang'rui
王保保,wang'bao'bao
王本固,wang'ben'gu
王弼,wang'bi
王长随,wang'chang'sui
王崇古,wang'chong'gu
王聪,wang'cong
王翠翘,wang'cui'qiao
汪道昆,wang'dao'kun
王栋,wang'dong
王恩任,wang'en'ren
王府仪卫司,wang'fu'yi'wei'si
王纲,wang'gang
王杲,wang'gao
王艮,wang'gen
汪广洋,wang'guang'yang
汪广阳,wang'guang'yang
汪鋐,wang'hong
王鸿绪,wang'hong'xu
王华,wang'hua
王化贞,wang'hua'zhen
王慧迪,wang'hui'di
王畿,wang'ji
王继,wang'ji
王家屏,wang'jia'ping
王家胤,wang'jia'yin
王江泾大捷,wang'jiang'jing'da'jie
王京,wang'jing
王景弘,wang'jing'hong
王九思,wang'jiu'si
汪俊,wang'jun
王磐,wang'pan
王如坚,wang'ru'jian
王尚学,wang'shang'xue
王慎中,wang'shen'zhong
王时敏,wang'shi'min
王世贞,wang'shi'zhen
王忬,wang'shu
王恕,wang'shu
王述古,wang'shu'gu
王体乾,wang'ti'qian
王廷相,wang'ting'xiang
王文,wang'wen
汪文言,wang'wen'yan
王锡爵,wang'xi'jue
王学曾,wang'xue'ceng
王学书,wang'xue'shu
王学益,wang'xue'yi
王勋,wang'xun
王一宁,wang'yi'ning
王用汲,wang'yong'ji
王元正,wang'yuan'zheng
王岳,wang'yue
王曰乾,wang'yue'qian
王在晋,wang'zai'jin
王哲,wang'zhe
汪直,wang'zhi
王之寀,wang'zhi'cai
王之栋,wang'zhi'dong
王之垣,wang'zhi'yuan
王之桢,wang'zhi'zhen
魏彬,wei'bin
威而不霸,wei'er'bu'ba
威服四海,wei'fu'si'hai
魏广微,wei'guang'wei
蔚山,wei'shan
魏时亮,wei'shi'liang
卫所制度,wei'suo'zhi'du
威武大将军,wei'wu'da'jiang'jun
卫指挥使司,wei'zhi'hui'shi'si
魏忠贤,wei'zhong'xian
文必秦汉,wen'bi'qin'han
文华殿,wen'hua'dian
文化总动员,wen'hua'zong'dong'yuan
温泉馆,wen'quan'guan
文坛三栖明星,wen'tan'san'qi'ming'xing
温体仁,wen'ti'ren
文献大成,wen'xian'da'cheng
文渊阁,wen'yuan'ge
我本淮右布衣,wo'ben'huai'you'bu'yi
倭国,wo'guo
倭奴,wo'nu
倭酋,wo'qiu
武备志,wu'bei'zhi
五城兵马指挥司,wu'cheng'bing'ma'zhi'hui'si
吴琮,wu'cong
无敌舰队,wu'di'jian'dui
乌龟铁舰,wu'gui'tie'jian
吴国伦,wu'guo'lun
五虎门,wu'hu'men
吴继爵,wu'ji'jue
吴瑾,wu'jin
吴经,wu'jing
五军都督府中军,wu'jun'du'du'fu'zhong'jun
兀良哈三卫,wu'liang'ha'san'wei
吴龙徵,wu'long'zheng
无钱在家里的孙,wu'qian'zai'jia'li'de'sun
吴时来,wu'shi'lai
五寺,wu'si
武田胜赖,wu'tian'sheng'lai
武田信玄,wu'tian'xin'xuan
